"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","種類","山系","面積","最高峰","最高標高","所在海域","事業主体","海岸線長","開館","外部リンク","開山","国","閉山","水系","場所","延長"
"唐桑半島","[011唐桑半島宮城] 唐桑半島 （からくわはんとう）は、 宮城県 気仙沼市 唐桑町 にある 半島 。","https://ja.wikipedia.org/wiki/唐桑半島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯38度53分29.1秒 東経141度39分11.8秒","","","","","","","","","","","","","","","","","","",""
"松島","[012松島宮城] 松島 （まつしま）は、 宮城県 の松島湾内外にある 諸島 のこと。または、それら諸島と湾周囲を囲む 松島丘陵 も含めた修景地区のことである。 日本三景 の1つに数えられている。2018年の観光入込客数は600万人  。","https://ja.wikipedia.org/wiki/松島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"蔵王連峰","[013蔵王火山宮城・山形] 蔵王連峰 （ざおうれんぽう）は、 東北地方 の中央を南北に連なる 奥羽山脈 の中にあって、 宮城県 と 山形県 の両県南部の県境に位置する 連峰     。奥羽山脈において時と場所を移しながら次々と繰り返された火山活動によって形成された複合火山群である  。","https://ja.wikipedia.org/wiki/蔵王連峰","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯38度08分37秒東経140度26分22秒","宮城県・山形県","北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944座標:北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944（熊野岳）","","","","","熊野岳（1,841m）","","","","","","","","","","","",""
"尾去沢鉱山","[014尾去沢鉱山秋田] 尾去沢鉱山 （おさりざわこうざん）とは、 秋田県 鹿角市 にあった 鉱山 である。 銅 や 金 が採掘された。 708年 （ 和銅 元年）に 銅山 が発見されたとの伝説が残されており、 1978年 （ 昭和 53年）に閉山した。跡地は テーマパーク ・ 史跡 尾去沢鉱山 として開業している。","https://ja.wikipedia.org/wiki/尾去沢鉱山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯40度11分00秒東経140度45分00秒","秋田県鹿角市尾去沢","","","","","","","","","","","","","708年?","日本","1978年","","",""
"男鹿半島","[015男鹿一ノ目潟秋田] 男鹿半島 （おがはんとう）は、 秋田県 北西部にある 日本海 に突き出た 半島 。半島部の大半が 男鹿市 に属する。","https://ja.wikipedia.org/wiki/男鹿半島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯40度00分24秒 東経139度42分03秒","","","","","","","","","","","","","","","","","","",""
"鳥海山","[016鳥海山秋田・山形] 鳥海山 （ちょうかいさん、ちょうかいざん  ）は、 山形県 と 秋田県 に跨がる 標高 2,236mの 活火山 。山頂に雪が積もった姿が富士山に類似しているため、 出羽富士 （でわふじ）とも呼ばれ親しまれている。秋田県では 秋田富士 （あきたふじ）、山形県では 庄内富士 （しょうないふじ）とも呼ばれている。古くからの名では鳥見山（とりみやま）という。 鳥海国定公園 に属する。 日本百名山  ・ 日本百景 の一つ。2007年（平成19年）に 日本の地質百選 に選定された。2009年（平成21年）に 国史跡 「鳥海山」として指定された。","https://ja.wikipedia.org/wiki/鳥海山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯39度05分57秒東経140度02分56秒","日本山形県飽海郡遊佐町・酒田市・秋田県由利本荘市・にかほ市","北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889座標:北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889","2,236m","成層火山","出羽山地","","","","","","","","","","","","","",""
"磐梯山","[017磐梯山福島] 磐梯山 （ばんだいさん）は 福島県 耶麻郡 猪苗代町 、 磐梯町 、 北塩原村 にまたがる 山 である。会津盆地側からは、綺麗な三角の頂が見えることから 会津富士 （あいづふじ）、あるいは民謡にあるように 会津磐梯山 （あいづばんだいさん）とも呼ばれている。 日本百名山 に選定されており、福島県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/磐梯山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯37度36分04秒東経140度04分20秒","日本福島県猪苗代町・磐梯町・北塩原村","北緯37度36分04秒東経140度04分20秒﻿ / ﻿北緯37.60111度 東経140.07222度﻿ /37.60111; 140.07222座標:北緯37度36分04秒東経140度04分20秒﻿ / ﻿北緯37.60111度 東経140.07222度﻿ /37.60111; 140.07222","1,816.29m","成層火山（活火山ランクB）","独立峰","","","","","","","","","","","","","",""
"筑波山","[018筑波山茨城] 筑波山 （つくばさん）は、 日本 の 関東地方 東部、 茨城県 つくば市 北端にある 標高 877mの 山 。 筑波山神社 の 境内 地で西側の 男体山 （標高871m）と東側の 女体山 （標高877m）からなる。雅称は 紫峰 （しほう）。 筑波嶺 （つくばね）とも言い、茨城県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/筑波山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度13分31秒東経140度6分24秒","日本茨城県つくば市","北緯36度13分31秒東経140度6分24秒﻿ / ﻿北緯36.22528度 東経140.10667度﻿ /36.22528; 140.10667座標:北緯36度13分31秒東経140度6分24秒﻿ / ﻿北緯36.22528度 東経140.10667度﻿ /36.22528; 140.10667","877m","堅牢残丘","八溝山地","","","","","","","","","","","","","",""
"華厳滝","[019華厳の滝栃木] 華厳滝 （けごんのたき、華厳の滝、華厳ノ滝）は、 栃木県 日光市 にある 滝 。発見者は 勝道 上人と伝えられ、 仏教 経典の1つである 華厳経 から名づけられたといわれる。 華厳渓谷 周辺では他に阿含滝、方等滝、般若滝、涅槃滝もあることから、 五時の教判 から、それらと同様に命名されたものと考えられている   。","https://ja.wikipedia.org/wiki/華厳滝","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度44分16.5秒東経139度30分07.1秒","栃木県日光市","北緯36度44分16.5秒東経139度30分07.1秒﻿ / ﻿北緯36.737917度 東経139.501972度﻿ /36.737917; 139.501972座標:北緯36度44分16.5秒東経139度30分07.1秒﻿ / ﻿北緯36.737917度 東経139.501972度﻿ /36.737917; 139.501972","","","","","","","","","","","","","","","利根川水系大谷川","",""
"足尾銅山","[020足尾銅山栃木] 足尾銅山 （あしおどうざん）は、 栃木県 上都賀郡 足尾町 （現在の 日光市 足尾地区）にあった 銅山 （ 銅 の 鉱山 ）。「足尾銅山跡」として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/足尾銅山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度38分0秒東経139度26分23秒","上都賀郡足尾町（現在の日光市足尾地区）","","","","","","","","","","","","","1610年","日本","1973年 (1973)","","",""
"浅間山","[021浅間山群馬・長野] 浅間山 （あさまやま）は、 長野県 北佐久郡 軽井沢町 及び 御代田町 と 群馬県 吾妻郡 嬬恋村 との境にある 安山岩 質の 標高 2,568 メートル (m) の 成層火山 。山体は 円錐 形で カルデラ も形成されており、活発な 活火山 として知られる。","https://ja.wikipedia.org/wiki/浅間山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度24分23秒東経138度31分23秒","日本群馬県吾妻郡嬬恋村長野県北佐久郡軽井沢町・御代田町","北緯36度24分23秒東経138度31分23秒﻿ / ﻿北緯36.40639度 東経138.52306度﻿ /36.40639; 138.52306座標:北緯36度24分23秒東経138度31分23秒﻿ / ﻿北緯36.40639度 東経138.52306度﻿ /36.40639; 138.52306","2,568m","成層火山（活火山ランクA）","浅間山系","","","","","","","","","","","","","",""
"瀬林の漣痕","[023瀬林の漣痕と恐竜足跡群馬] 瀬林の漣痕 （せばやしのれんこん）は、 群馬県 多野郡 神流町 にある 崖 である。群馬県指定天然記念物。通称「漣岩（さざなみいわ）」崖の表面に大小50ほどの 恐竜 の足跡が残されている。","https://ja.wikipedia.org/wiki/瀬林の漣痕","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度4分18.6秒 東経138度49分47.1秒","","","","","","","","","","","","","","","","","","",""
"秩父地方","[024秩父・長瀞埼玉] 秩父地方 （ちちぶちほう）とは、 秩父山地 に囲まれた、 埼玉県 最西部の 地方 である。現在の行政区画では概ね 秩父市 と 秩父郡 のうち4町（ 横瀬町 、 皆野町 、 長瀞町 、 小鹿野町 ）に当たる。面積は約892.62平方キロメートルで、約10万人が暮らしている  。","https://ja.wikipedia.org/wiki/秩父地方","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"犬吠埼","[025犬吠埼千葉] 犬吠埼 （いぬぼうさき、 英 :Inubosaki）は、 関東平野 最東端に位置する 千葉県 銚子市 の 太平洋 に突出する 岬 。 水郷筑波国定公園 に含まれる 景勝地 。岬には 犬吠埼灯台 が屹立する。岬一帯の町名にも 犬吠埼 が使用されている。 郵便番号 は288-0012  。","https://ja.wikipedia.org/wiki/犬吠埼","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度25分東経140度31分","","","","","","","","","","","","","","","","","","日本千葉県銚子市犬吠埼",""
"養老渓谷","[026養老渓谷・黒滝不整合千葉] 養老渓谷 （ようろうけいこく）は、 千葉県 夷隅郡 大多喜町 粟又から 市原市 朝生原 を流れる 養老川 によって形成された 渓谷 。中心地は大多喜町と市原市の境界付近。周囲は 千葉県立養老渓谷奥清澄自然公園 に指定されている。 2007年 には、養老渓谷・黒滝不整合として 日本の地質百選 に選定されている。","https://ja.wikipedia.org/wiki/養老渓谷","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度15分27.4秒 東経140度9分36.3秒","","","","","","","","","","","","","","","","","","日本千葉県大多喜町・市原市",""
"伊豆大島","[027伊豆大島東京] 伊豆大島 （いずおおしま）は、日本の 伊豆諸島 北部に位置する伊豆諸島最大の 島 。 本州 で最も近い 伊豆半島 からは南東方約25kmに位置する。面積は91.06 km 2 。行政区域は、 東京都 大島町 である。","https://ja.wikipedia.org/wiki/伊豆大島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度44分0秒東経139度24分0秒","日本　東京都大島町","","","","","91.06km²","三原新山","758m","太平洋","","52km","","","","","","","",""
"三宅島","[028三宅島東京] 三宅島 （みやけじま）は、 伊豆諸島 の 島 。 雄山 （おやま）を中心としてしばしば激しく 噴火 をすることで知られ、 火山噴火予知連絡会 によって火山防災のために監視・観測体制の充実等の必要がある火山に選定されている  。また、 日本 の 気象庁 によって火山活動度ランクAの 活火山 、常時観測対象火山に指定されている。島の全域が 富士箱根伊豆国立公園 となっており、行政区画は島全体が 東京都 三宅村 に属する。","https://ja.wikipedia.org/wiki/三宅島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度04分55秒東経139度31分35秒","日本・東京都","","","","","55.44km²","雄山","775.1m","太平洋（フィリピン海）","","38.3km","","","","","","","",""
"無人岩","[029父島無人岩（ボニナイト）東京] 無人岩 （むにんがん、ぶにんがん、boninite、 ボニナイト ）は、 小笠原諸島 の 父島 などに産し、SiO2 > 52%, MgO > 8%, TiO2 < 0.5%の化学組成を有する特殊な 火山岩 。 斜長石 を全く含まず、 石基 はガラス質。","https://ja.wikipedia.org/wiki/無人岩","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"城ヶ島","[030城ヶ島神奈川] 城ヶ島 （じょうがしま）は、 神奈川県 三浦半島 の 南 端に位置する 島 。","https://ja.wikipedia.org/wiki/城ヶ島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度8分1秒東経139度37分10秒","日本神奈川県三浦市","","","","","0.99km²","","29.9m","相模湾（狭義の東端）","","4km","","","","","","","",""
"箱根山","[031箱根火山神奈川] 箱根山 （はこねやま）は、 日本 の 神奈川県 足柄下郡 箱根町 を中心に、神奈川県と 静岡県 にまたがる 火山 の総称である（内訳は『主な山』節参照）。 富士箱根伊豆国立公園 に指定されている。地名「 箱根 」は古くは「函根」と記したが、同じく「箱根山」は 函根山 と記し、 函嶺 （かんれい）ともいった（ 函嶺洞門 、 函南町 などといった地名に名残がある）。","https://ja.wikipedia.org/wiki/箱根山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度15分35.7秒東経139度1分11.4秒","神奈川県・静岡県","北緯35度15分35.7秒東経139度1分11.4秒﻿ / ﻿北緯35.259917度 東経139.019833度﻿ /35.259917; 139.019833座標:北緯35度15分35.7秒東経139度1分11.4秒﻿ / ﻿北緯35.259917度 東経139.019833度﻿ /35.259917; 139.019833","1,438m","複成火山","","","","","","","","","","","","","","",""
"佐渡金山","[032佐渡金山新潟] 2019年4月に情報発信の拠点施設として 県道45号佐渡一周線 沿いに映像シアターや各種展示、観光案内所などを備えたガイダンス施設「きらりうむ佐渡」がオープンした   。","https://ja.wikipedia.org/wiki/佐渡金山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯38度2分31.3秒 東経138度15分32.8秒","〒952-1562新潟県佐渡市相川三町目浜町18番地1","","","","","","","","","佐渡市","","2019年4月","公式サイト","","","","","",""
"小木海岸","[033佐渡小木海岸新潟] 小木海岸 （おぎかいがん）は 新潟県 佐渡市 の南西部に位置する海岸景勝地。「 佐渡小木海岸 」として、国の 天然記念物 及び 名勝 に指定されている。海岸線の長さは約8キロメートルで、 玄武岩 、 粗面岩 から成る 海蝕崖 が連続し、 岩礁 が非常に多く、変化に富んだ景観が連続する。","https://ja.wikipedia.org/wiki/小木海岸","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"新津油田","[034新津油田新潟] 油井のある一帯は1980年代から「石油の里公園」として整備されており   、1988年（昭和63年）には「石油の世界館」が  、1991年（平成3年）には「石油の古代館」  がそれぞれオープンした。また、石油王として隆盛を極めた中野家の屋敷も整備され「 中野邸記念館 」となった。石油の世界館は、2019年に石油文化発信の姿勢に感銘を受けた サウジアラビア の国営石油会社 サウジアラムコ の日本法人からの寄付を受けて改修が行われ、2020年にリニューアルオープンした   。","https://ja.wikipedia.org/wiki/新津油田","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯37度45分0秒東経139度6分49秒","〒956-0845日本新潟県新潟市秋葉区金津1172番地1","北緯37度45分0秒東経139度6分49秒﻿ / ﻿北緯37.75000度 東経139.11361度﻿ /37.75000; 139.11361","","","","","","","","新潟市","","1988年","石油の世界館 公式ウェブサイト","","","","","",""
"糸魚川静岡構造線","[035糸魚川－静岡構造線（糸魚川）新潟] 糸魚川静岡構造線で、日本は 西南日本 と 東北日本 に分断される   。","https://ja.wikipedia.org/wiki/糸魚川静岡構造線","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"小滝ヒスイ峡 (存在しないページ)","[036小滝・青海川ヒスイ峡新潟]","https://ja.wikipedia.org/w/index.php?title=小滝ヒスイ峡&amp;action=edit&amp;redlink=1","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"魚津埋没林","[037魚津埋没林富山] 魚津埋没林 （うおづまいぼつりん）は、 富山県 魚津市 で発見された埋没林。国の 特別天然記念物 に指定されている。","https://ja.wikipedia.org/wiki/魚津埋没林","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度49分21秒 東経137度23分37秒","","","","","","","","","","","","","","","","","","",""
"立山カルデラ","[038立山カルデラ富山] 立山カルデラ （たてやまカルデラ）は、 富山県 南東部の 立山 に含まれる 立山火山 の一部である。","https://ja.wikipedia.org/wiki/立山カルデラ","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"手取川","[039白峰百万貫岩石川] 手取川 （てどりがわ）は、 石川県 の主に 白山市 を流れて 日本海 へ注いでいる 一級河川 。 石川 の通称で呼ばれた時代もあり、郡名（ 石川郡 ）および県名の由来となっている。","https://ja.wikipedia.org/wiki/手取川#白峰百万貫の岩","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","一級水系手取川","","72km"
"東尋坊","[040東尋坊福井] 東尋坊 （とうじんぼう）は、 福井県 坂井市 三国町 安島に位置する 崖 。 越前加賀海岸国定公園 の特別保護地区に指定されている  。","https://ja.wikipedia.org/wiki/東尋坊","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度14分16秒 東経136度07分31秒","","","","","","","","","","","","","","","","","","",""
"糸魚川静岡構造線","[041糸魚川－静岡構造線（早川）山梨] 糸魚川静岡構造線で、日本は 西南日本 と 東北日本 に分断される   。","https://ja.wikipedia.org/wiki/糸魚川静岡構造線","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"富士山 (代表的なトピック)","[042富士山山梨・静岡] 古来 霊峰 とされ、特に山頂部は 浅間大神 が鎮座するとされたため、神聖視された。噴火を沈静化するため 律令国家 により 浅間神社 が祭祀され、 浅間信仰 が確立された。また、富士山修験道の開祖とされる 富士上人 により修験道の霊場としても認識されるようになり、登拝が行われるようになった。これら 富士信仰 は時代により多様化し、 村山修験 や 富士講 といった一派を形成するに至る。現在、富士山麓周辺には観光名所が多くある他、夏季シーズンには 富士登山 が盛んである。","https://ja.wikipedia.org/wiki/富士山_(代表的なトピック)","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度21分45秒東経138度43分50秒","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","3,776.12m","成層火山・活火山ランクB・常時観測火山","独立峰","","","","","","","","","","","","","",""
"八ヶ岳","[043八ケ岳長野・山梨] 八ヶ岳 （やつがたけ、 八ケ岳 とも表記される）は、 諏訪湖 の東方にあって 長野県 から 山梨県 へと南北に連なる火山  。 日本百名山 の一つ。","https://ja.wikipedia.org/wiki/八ヶ岳","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度58分15秒東経138度22分12秒","日本山梨県・長野県","北緯35度58分15秒東経138度22分12秒﻿ / ﻿北緯35.97083度 東経138.37000度﻿ /35.97083; 138.37000座標:北緯35度58分15秒東経138度22分12秒﻿ / ﻿北緯35.97083度 東経138.37000度﻿ /35.97083; 138.37000","","火山群","","","赤岳（2,899m）","","","","","","","","","","","","30km"
"上高地","[044上高地と滝谷花崗岩長野] 上高地 （かみこうち）とは、 長野県 西部の 飛騨山脈 南部の 梓川 上流の 景勝地 である。 中部山岳国立公園 の一部ともなっており、国の 文化財 （ 特別名勝 ・ 特別天然記念物 ）に指定されている。 標高 約1,500 m 。全域が 松本市 に属する。「かみこうち」の名称は本来「神垣内」の 漢字 表記だが、後に現在の「上高地」の漢字表記が一般的となった。「神垣内」とは、 穂高神社 の祭神・「 穂高見命 」（ほたかみのみこと）が穂高岳に降臨し、この地（穂高神社奥宮と 明神池 ）で祀られていることに由来する。","https://ja.wikipedia.org/wiki/上高地","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度15分0秒 東経137度38分0秒","","","","","","","","","","","","","","","","","","",""
"御嶽山","[045御嶽山長野・岐阜] 御嶽山  （おんたけさん）は、 長野県 木曽郡 木曽町 ・ 王滝村 と 岐阜県 下呂市 ・ 高山市 にまたがり、 東日本火山帯 の西端に位置する 標高 3,067 m の複合 成層火山 である   。大きな裾野を広げる 独立峰 である   。","https://ja.wikipedia.org/wiki/御嶽山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度53分34秒東経137度28分49秒","日本長野県木曽郡木曽町・王滝村岐阜県下呂市・高山市","北緯35度53分34秒東経137度28分49秒﻿ / ﻿北緯35.89278度 東経137.48028度﻿ /35.89278; 137.48028座標:北緯35度53分34秒東経137度28分49秒﻿ / ﻿北緯35.89278度 東経137.48028度﻿ /35.89278; 137.48028","最高峰剣ヶ峰 3,067m","成層火山活火山ランクB、噴火警戒レベル1(活火山であることに留意)","独立峰（御嶽山系）","","","","","","","","","","","","","",""
