"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","外部リンク","事業主体","専門分野","管理運営","正式名称","延床面積","アクセス","前身","館長","ウェブサイト","愛称","建物設計","来館者数","開設","英語名称","略称"
"仙台市天文台","[ 仙台市天文台 - 宮城県仙台市 - 旧：口径41cm反射式望遠鏡、現：130cm反射式望遠鏡] 仙台市天文台 （せんだいしてんもんだい）は、 宮城県 仙台市 青葉区 錦ケ丘 にある仙台市立の 天文台 である。 1955年 （ 昭和 30年）に仙台天文台として開台し、 1956年 （昭和31年）に仙台市へ寄付されて仙台市天文台となった。 2008年 （ 平成 20年）に現在地へ移転した  。","https://ja.wikipedia.org/wiki/仙台市天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯38度15分25秒東経140度45分19秒","〒989-3123宮城県仙台市青葉区錦ケ丘9丁目29番地の32","北緯38度15分25秒東経140度45分19秒﻿ / ﻿北緯38.25694度 東経140.75528度﻿ /38.25694; 140.75528","（旧）1955年（昭和30年）2月1日（新）2008年（平成20年）7月1日","http://www.sendai-astro.jp","仙台市","天文学","（株）仙台天文サービス（指定管理者）","","6,056.24m2","JR仙山線・愛子駅よりバスで10分東北自動車道・仙台宮城ICから車で約10分","仙台天文台（民営）","土佐誠","","","NTTファシリティーズ","約50万人/年","","",""
"眺海の森天体観測館 (存在しないページ)","[ 眺海の森天体観測館 - 山形県酒田市 - 口径50cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=眺海の森天体観測館&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"福島市浄土平天文台","[ 福島市浄土平天文台 - 福島県福島市 - 口径40cm反射式望遠鏡、口径15cm屈折式望遠鏡] 福島市浄土平天文台 （ふくしましじょうどだいらてんもんだい）は、 福島県 福島市 土湯温泉町に所在し、 日本一 高い所に位置する 公開天文台 である。","https://ja.wikipedia.org/wiki/福島市浄土平天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯37度43分24秒東経140度15分15秒","福島市土湯温泉町字鷲倉山浄土平地内","","","","","","","","","","","","福島市浄土平天文台","","","","","",""
"星の村天文台 (存在しないページ)","[ 星の村天文台 - 福島県田村市 - 口径65cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=星の村天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"栃木県子ども総合科学館","[ 栃木県子ども総合科学館 - 栃木県宇都宮市 - 口径75cm反射式望遠鏡] 栃木県子ども総合科学館 （とちぎけんこどもそうごうかがくかん）は、 栃木県 宇都宮市 西川田町 にある 科学館 である。2008年4月1日から2013年3月31日まで宇都宮市の不動産会社 グランディハウス が ネーミングライツ を取得し、 わくわくグランディ科学ランド という愛称がついたが、次のネーミングライツパートナー企業が決まらなかったため、2013年4月1日からは愛称がなくなった。敷地内には プラネタリウム や H-IIロケット の実物大模型、風力発電機などが設置されている。","https://ja.wikipedia.org/wiki/栃木県子ども総合科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度30分49秒東経139度50分13秒","","北緯36度30分49秒東経139度50分13秒﻿ / ﻿北緯36.51361度 東経139.83694度﻿ /36.51361; 139.83694座標:北緯36度30分49秒東経139度50分13秒﻿ / ﻿北緯36.51361度 東経139.83694度﻿ /36.51361; 139.83694","1988年5月3日","栃木県子ども総合科学館","栃木県","自然・宇宙・地球・先端・交通・エネルギー","公益財団法人とちぎ未来づくり財団","","10,000.44m2","","","","","","","","","",""
"向井千秋記念子ども科学館","[ 向井千秋記念子ども科学館 - 群馬県館林市 - 口径20cm屈折式望遠鏡] 向井千秋記念子ども科学館 （むかいちあききねんこどもかがくかん）は、 群馬県 館林市 にある館林市立の 科学館 。 1991年 に館林市子ども科学館として開館。館林市出身の 向井千秋 が スペースシャトル に搭乗し、 日本 初の 女性 宇宙飛行士 として 宇宙 に飛び立ったことを記念して現在の名前になった。","https://ja.wikipedia.org/wiki/向井千秋記念子ども科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度14分38.8秒東経139度32分41.3秒","〒374-0018群馬県館林市城町2番2号","北緯36度14分38.8秒東経139度32分41.3秒﻿ / ﻿北緯36.244111度 東経139.544806度﻿ /36.244111; 139.544806座標:北緯36度14分38.8秒東経139度32分41.3秒﻿ / ﻿北緯36.244111度 東経139.544806度﻿ /36.244111; 139.544806","1991年","向井千秋記念子ども科学館","館林市","科学に関する資料等の展示","館林市","向井千秋記念子ども科学館","","","","","","","","","","",""
"群馬県立ぐんま天文台","[ 群馬県立ぐんま天文台 - 群馬県吾妻郡高山村 - 口径150cm反射式望遠鏡、口径65cm反射式望遠鏡] 群馬県立ぐんま天文台 （ぐんまけんりつぐんまてんもんだい）は、 群馬県 吾妻郡 高山村 中山に位置する公開天文台である。群馬県の 人口 が 1993年 に200万人に達したこと、及び日本人女性初の 宇宙飛行士 である 向井千秋 （同県 館林市 出身）が 宇宙 に旅立ったことを記念し、県民に宇宙に対する関心を高め、次世代をになう子供たちのための教育のために建設された。","https://ja.wikipedia.org/wiki/群馬県立ぐんま天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度35分50秒東経138度58分24秒","群馬県吾妻郡高山村中山6860-86","","","","","","","","","","","","http://www.astron.pref.gunma.jp/","","","","1999年7月20日 (1999-07-20)","",""
"加須未来館","[ 加須未来館 - 埼玉県加須市 - 口径20cm屈折式望遠鏡] 加須未来館 （かぞみらいかん）は、 埼玉県 加須市 にある 天体観測 および プラネタリウム 施設  。","https://ja.wikipedia.org/wiki/加須未来館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度10分39.55秒東経139度38分11.51秒","〒347-0002埼玉県加須市外野350番地1","","","","","","","","","","","","","","","","","",""
"熊谷文化センタープラネタリウム館 (存在しないページ)","[ 熊谷文化センタープラネタリウム館 - 埼玉県熊谷市 - 口径40cm反射式望遠鏡、口径15cm屈折式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=熊谷文化センタープラネタリウム館&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"埼玉県立小川げんきプラザ (存在しないページ)","[ 埼玉県立小川げんきプラザ - 埼玉県比企郡小川町 - 口径20cm屈折式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=埼玉県立小川げんきプラザ&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ときがわ町星と緑の創造センター","[ ときがわ町星と緑の創造センター - 埼玉県比企郡ときがわ町 - 口径91cm反射式望遠鏡、口径45cm反射式望遠鏡、口径30cm反射式望遠鏡] ときがわ町星と緑の創造センター （ときがわまち ほしとみどりのそうぞうセンター）とは 埼玉県 比企郡 ときがわ町 にある宿泊施設。 国立天文台 から、施設の老朽化、周辺環境の悪化や大型観測施設の稼動等によって閉鎖された 堂平観測所 の譲渡を受け、 キャンプ場 等を整備した施設である。一等 三角点 のある標高875.8ｍの 堂平山 の山頂に位置する。","https://ja.wikipedia.org/wiki/ときがわ町星と緑の創造センター","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度00分21秒東経139度11分25秒","日本埼玉県比企郡ときがわ町大字大野1853番地","北緯36度00分21秒東経139度11分25秒﻿ / ﻿北緯36.00583度 東経139.19028度﻿ /36.00583; 139.19028","2005年4月1日","堂平天文台「星と緑の創造センター」","ときがわ町","天文台歴史展示、森林体験","星と緑の管理委員会（指定管理者）","","","","国立天文台堂平観測所","","","","","","","",""
"さいたま市青少年科学館","[ さいたま市青少年科学館 - 埼玉県さいたま市 - 口径20cm屈折式望遠鏡] さいたま市青少年宇宙科学館 （さいたましせいしょうねんうちゅうかがくかん）は、 埼玉県 さいたま市 浦和区 に所在する 科学館 （詳細は、 博物館 または 科学博物館 ）。","https://ja.wikipedia.org/wiki/さいたま市青少年科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度52分20.2秒東経139度39分52.6秒","〒330-0051日本埼玉県さいたま市浦和区駒場2丁目3-45","北緯35度52分20.2秒東経139度39分52.6秒﻿ / ﻿北緯35.872278度 東経139.664611度﻿ /35.872278; 139.664611座標:北緯35度52分20.2秒東経139度39分52.6秒﻿ / ﻿北緯35.872278度 東経139.664611度﻿ /35.872278; 139.664611","","さいたま市青少年宇宙科学館","","","","さいたま市青少年宇宙科学館","","","","","","","","","","",""
"川口市立科学館","[ 川口市立科学館 - 埼玉県川口市 - 口径65cm反射式望遠鏡、口径20cm屈折式望遠鏡、6連式太陽望遠鏡] 川口市立科学館 とは、 市立青木町公園 内に設置されていた市立児童文化センターを廃止し、新たに SKIPシティ に、 川口市 が設置した施設の名称。","https://ja.wikipedia.org/wiki/川口市立科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度49分38.4秒東経139度43分11.7秒","〒333-0844埼玉県川口市上青木3-12-18","北緯35度49分38.4秒東経139度43分11.7秒﻿ / ﻿北緯35.827333度 東経139.719917度﻿ /35.827333; 139.719917座標:北緯35度49分38.4秒東経139度43分11.7秒﻿ / ﻿北緯35.827333度 東経139.719917度﻿ /35.827333; 139.719917","2003年5月3日","www.kawaguchi.science.museum","","天文学、自然科学","川口市","","","","川口市立児童文化センター","","","サイエンスワールド","","","","",""
"相模原市立博物館","[ 相模原市立博物館 - 神奈川県相模原市 - 口径40cm反射式望遠鏡] 相模原市立博物館 （さがみはらしりつはくぶつかん）は、 相模原市 中央区 にある市立 博物館 である。","https://ja.wikipedia.org/wiki/相模原市立博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度33分33.37秒東経139度23分35.02秒","〒252-0221神奈川県相模原市中央区高根3-1-15","北緯35度33分33.37秒東経139度23分35.02秒﻿ / ﻿北緯35.5592694度 東経139.3930611度﻿ /35.5592694; 139.3930611座標:北緯35度33分33.37秒東経139度23分35.02秒﻿ / ﻿北緯35.5592694度 東経139.3930611度﻿ /35.5592694; 139.3930611","1995年11月20日","相模原市立博物館","相模原市","","","","9,510.24m2","","","","","","","","","",""
"葛飾区郷土と天文の博物館","[ 葛飾区郷土と天文の博物館 - 東京都葛飾区 - 口径25cm屈折式望遠鏡] 葛飾区郷土と天文の博物館 （かつしかく きょうどとてんもんのはくぶつかん、Katsushika City Museum）は、 東京都 葛飾区 白鳥 三丁目にある 博物館 。 1991年 7月に開館した。運営は葛飾区。 歴史学 、 民俗学 、 考古学 、 埋蔵文化財 、 文化財 、 天文学 の6部門を持つ。専門家を招待して地域史フォーラムを主宰し、郷土史に関する書籍も執筆・出版している。","https://ja.wikipedia.org/wiki/葛飾区郷土と天文の博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度45分10.50秒東経139度50分36.41秒","〒125-0063東京都葛飾区白鳥3-25-1","北緯35度45分10.50秒東経139度50分36.41秒﻿ / ﻿北緯35.7529167度 東経139.8434472度﻿ /35.7529167; 139.8434472座標:北緯35度45分10.50秒東経139度50分36.41秒﻿ / ﻿北緯35.7529167度 東経139.8434472度﻿ /35.7529167; 139.8434472","1991年（平成3年）7月20日","http://www.museum.city.katsushika.lg.jp/","葛飾区","歴史・民俗・考古・埋蔵文化財・文化財・天文","葛飾区","","4,993.06 m2","京成電鉄お花茶屋駅から徒歩8分","","","","","","70,623人（2010年度）","","",""
"杉並区立科学館","[ 杉並区立科学館 - 東京都杉並区 - 口径15cm屈折式望遠鏡] 杉並区立科学館 （すぎなみくりつかがくかん）は 東京都 杉並区 立の プラネタリウム 、 天体望遠鏡 、ホール、実験室等を備えた科学教育を目的とした施設。","https://ja.wikipedia.org/wiki/杉並区立科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度42分59秒東経139度37分9秒","〒167-0033日本東京都杉並区清水3丁目3-13","北緯35度42分59秒東経139度37分9秒﻿ / ﻿北緯35.71639度 東経139.61917度﻿ /35.71639; 139.61917","1969年","杉並区立科学館","","","","","","","","","","","","","","",""
"国立科学博物館","[ 国立科学博物館 - 東京都台東区 - 筑波分館では、天体望遠鏡で観望会を行っている。] 国立科学博物館 （こくりつかがくはくぶつかん、英称:National Museum of Nature and Science、略称:かはく、科博）は、 独立行政法人国立科学博物館 が運営する 日本 の 博物館 。","https://ja.wikipedia.org/wiki/国立科学博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度42分58.89秒東経139度46分35.16秒","〒110-8718東京都台東区上野公園7番20号","北緯35度42分58.89秒東経139度46分35.16秒﻿ / ﻿北緯35.7163583度 東経139.7764333度﻿ /35.7163583; 139.7764333座標:北緯35度42分58.89秒東経139度46分35.16秒﻿ / ﻿北緯35.7163583度 東経139.7764333度﻿ /35.7163583; 139.7764333","1926年11月2日（開館式挙行日。設立は1877年1月）","公式サイト","","自然科学","独立行政法人国立科学博物館","","91,871m2（2012年4月1日時点、分館等含む）","JR・東京メトロ上野駅京成本線京成上野駅より徒歩","東京科学博物館・東京教育博物館","林良博","","科博、かはく","本館 - 日本館－糟谷謙三（文部省大臣官房建築課）地球館－国土交通省関東地方整備局、芦原建築設計研究所","288万4,518人（2017年度）","","",""
"国立天文台三鷹キャンパス","[ 国立天文台三鷹キャンパス - 東京都三鷹市 - 口径50cm反射式望遠鏡] 国立天文台三鷹キャンパス （こくりつてんもんだいみたかキャンパス）は、 東京都 三鷹市 にある 大学共同利用機関法人 自然科学研究機構 国立天文台 の本部キャンパスである。キャンパス内には 日本天文学会 の本部も設置されている。","https://ja.wikipedia.org/wiki/国立天文台三鷹キャンパス","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度40分31.64秒 東経139度32分15.68秒","","","","","","","","","","","","","","","","","","",""
"府中市郷土の森博物館","[ 府中市郷土の森博物館 - 東京都府中市 - 口径35cm反射式望遠鏡（移動式天文観測車に搭載）[4] 府中市郷土の森博物館 （ふちゅうしきょうどのもりはくぶつかん）は、東京都 府中市 にある、多くの 建築物 を含む森全体が一体となった 野外博物館 である。 多摩川 の是政 緑地 （ 府中市郷土の森公園 ）に隣接した 自然 の多い場所にあり、敷地面積は約14 ha である  。","https://ja.wikipedia.org/wiki/府中市郷土の森博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度39分24秒東経139度28分23秒","〒183-0026東京都府中市南町6-32","北緯35度39分24秒東経139度28分23秒﻿ / ﻿北緯35.65667度 東経139.47306度﻿ /35.65667; 139.47306座標:北緯35度39分24秒東経139度28分23秒﻿ / ﻿北緯35.65667度 東経139.47306度﻿ /35.65667; 139.47306","1987年4月4日","http://www.fuchu-cpf.or.jp/museum/","府中市","歴史、民俗、自然科学、レクリエーション","公益財団法人府中文化振興財団","","","","府中市立郷土館","","","郷土の森（野外博物館）","","","","",""
"新潟県立自然科学館","[ 新潟県立自然科学館 - 新潟県新潟市 - 口径60cm反射式望遠鏡] 新潟県立自然科学館 （にいがたけんりつしぜんかがくかん）は、 新潟市 中央区 女池南3丁目にある新潟県立の 科学館 。財団法人科学技術広報財団、株式会社コングレの共同事業体「サイエンス・フューチャーグループ」が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/新潟県立自然科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯37度53分26.6秒東経139度2分59.1秒","〒950-0948新潟県新潟市中央区女池南3-1-1","北緯37度53分26.6秒東経139度2分59.1秒﻿ / ﻿北緯37.890722度 東経139.049750度﻿ /37.890722; 139.049750座標:北緯37度53分26.6秒東経139度2分59.1秒﻿ / ﻿北緯37.890722度 東経139.049750度﻿ /37.890722; 139.049750","1981年11月1日","公式ウェブサイト","新潟県","科学館","サイエンス・フューチャーグループ","新潟県立自然科学館","15,314.9m2","","","赤池学","","","石本建築事務所","","","",""
"上越清里星のふるさと館","[ 上越清里星のふるさと館 - 新潟県上越市 - 口径65cm反射式望遠鏡] 上越清里星のふるさと館 （じょうえつきよさとほしのふるさとかん）は、 上越市 清里区 青柳の 坊ヶ池 湖畔にある。山荘「京ｹ岳」（現在は「ビュー京ヶ岳」）に隣接している。","https://ja.wikipedia.org/wiki/上越清里星のふるさと館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯37度2分9秒東経138度21分54秒","〒943-0531新潟県上越市清里区青柳3436-2","北緯37度2分9秒東経138度21分54秒﻿ / ﻿北緯37.03583度 東経138.36500度﻿ /37.03583; 138.36500座標:北緯37度2分9秒東経138度21分54秒﻿ / ﻿北緯37.03583度 東経138.36500度﻿ /37.03583; 138.36500","","公式ウェブサイト","上越市","科学館","","","","","","","","","","","","",""
"富山市科学博物館","[ 富山市科学博物館付属富山市天文台（2021年3月31日閉館） - 富山県富山市 - 口径100cm反射式望遠鏡] 富山市科学博物館 （とやましかがくはくぶつかん、 Toyama Science Museum ）は 富山県 富山市 西中野町にある、おもに富山の自然の特徴をテーマにした 自然科学 と 宇宙科学 を紹介し楽しく分かりやすく学ぶことを目的にした 公立 博物館 。 日本博物館協会 、富山県博物館協会会員。","https://ja.wikipedia.org/wiki/富山市科学博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度40分51秒東経137度12分42秒","〒939-8084富山県富山市西中野町一丁目８番31号","北緯36度40分51秒東経137度12分42秒﻿ / ﻿北緯36.68083度 東経137.21167度﻿ /36.68083; 137.21167座標:北緯36度40分51秒東経137度12分42秒﻿ / ﻿北緯36.68083度 東経137.21167度﻿ /36.68083; 137.21167","1979年（昭和54年）11月23日","www.tsm.toyama.toyama.jp","","","","富山市科学博物館","","","富山市科学文化センター","","","","","","","",""
"あおき天文台 (存在しないページ)","[ あおき天文台 - 富山県富山市 - 口径43cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=あおき天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"国立立山青少年自然の家 (存在しないページ)","[ 国立立山青少年自然の家・立山ドーム - 富山県中新川郡立山町 - 口径60cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=国立立山青少年自然の家&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"星の観察館満天星","[ 星の観察館満天星 - 石川県鳳珠郡能登町 - 口径60cm反射式望遠鏡] 星の観察館「満天星」 （ほしのかんさつかん「まんてんぼし」）は、日本の 石川県 鳳珠郡 能登町 上町にある天体施設。","https://ja.wikipedia.org/wiki/星の観察館満天星","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","〒928−0312石川県能登町字上町ロ部1-1","","1993年（平成5年）4月","http://mantenboshi.jp/","能登町","天文","朝日建物株式会社・株式会社アドバンス社・株式会社メディアンコンサルティンググループ","ふれあいの里施設 石川県柳田星の観察館「満天星」","","","","","","","","","","",""
"銀河の里キゴ山","[ キゴ山天体観察センター - 石川県金沢市 - 口径20cm屈折式望遠鏡] 銀河の里キゴ山 (ぎんがのさとキゴやま)とは、金沢市平等本町にある 少年自然の家 、及び天体博物館である。","https://ja.wikipedia.org/wiki/銀河の里キゴ山#金沢市天体観察センター","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度29分26.7秒 東経136度45分21.7秒","","","","","","","","","","","","","","","","","","",""
"福井市自然史博物館","[ 福井市自然史博物館 - 福井県福井市 - 口径20cm屈折式望遠鏡] 福井市自然史博物館 （ふくいししぜんしはくぶつかん）は、 福井県 福井市 足羽上町にある自然史系 博物館 。また分館（ セーレン プラネット）が 福井駅 前の ハピリン 5階に入居している。","https://ja.wikipedia.org/wiki/福井市自然史博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度3分23.91秒東経136度12分34.39秒","〒918-8006福井県福井市足羽上町147","北緯36度3分23.91秒東経136度12分34.39秒﻿ / ﻿北緯36.0566417度 東経136.2095528度﻿ /36.0566417; 136.2095528座標:北緯36度3分23.91秒東経136度12分34.39秒﻿ / ﻿北緯36.0566417度 東経136.2095528度﻿ /36.0566417; 136.2095528","1952年7月20日","福井市自然史博物館","福井県福井市","自然史","","","","","","","","","","","","",""
