"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","面積","総人口","人口密度","地方","都道府県","市町村コード","法人番号","隣接自治体","市長","所在地","外部リンク","市の花","市の木","市の鳥","特記事項","他のシンボル","市の歌","市の花木"
"大津市","[160滋賀県25201大津市464.5734123.126.5%2,770250.153.8%] 大津市 （おおつし）は、 滋賀県 の南西端に位置する 市 。滋賀県の 県庁所在地 で 中核市 に指定されている。","https://ja.wikipedia.org/wiki/大津市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度1分4.1秒東経135度51分17秒","日本","464.51km2","343,087人（推計人口、2021年6月1日）","739人/km2","近畿地方","滋賀県","25201-8","9000020252018","草津市、栗東市、甲賀市、高島市京都府：京都市、宇治市、綴喜郡宇治田原町","佐藤健司","〒520-8575滋賀県大津市御陵町3番1号北緯35度1分4.1秒東経135度51分17秒﻿ / ﻿北緯35.017806度 東経135.85472度﻿ /35.017806; 135.85472座標:北緯35度1分4.1秒東経135度51分17秒﻿ / ﻿北緯35.017806度 東経135.85472度﻿ /35.017806; 135.85472","公式ウェブサイト","エイザンスミレ","ヤマザクラ","ユリカモメ","","","",""
"高崎市","[161群馬県10202高崎市459.2808246.053.6%1,507210.045.7%] 高崎市 （たかさきし）は、 関東地方 の北西部、 群馬県 中南部に位置する商工業都市。 中核市 。1900年の市制施行当時の区域は旧： 群馬郡 。現在の市域は、旧：群馬郡・ 碓氷郡 ・ 甘楽郡 ・ 多野郡 （ 多胡郡 ・ 緑野郡 ）の区域で構成される。 平成の大合併 で6町村が統合した結果、 県庁所在地 である 前橋市 を凌いで県内最大の人口を擁する都市となった。","https://ja.wikipedia.org/wiki/高崎市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度19分18.8秒東経139度0分11.8秒","日本","459.16km2（境界未定部分あり）","367,137人（推計人口、2021年6月1日）","800人/km2","関東地方","群馬県","10202-4","9000020102024","前橋市、藤岡市、安中市、渋川市、富岡市、北群馬郡榛東村、佐波郡玉村町、吾妻郡東吾妻町、長野原町、甘楽郡甘楽町埼玉県児玉郡上里町長野県北佐久郡軽井沢町","富岡賢治","〒370-8501群馬県高崎市高松町35番地1北緯36度19分18.8秒東経139度0分11.8秒﻿ / ﻿北緯36.321889度 東経139.003278度﻿ /36.321889; 139.003278座標:北緯36度19分18.8秒東経139度0分11.8秒﻿ / ﻿北緯36.321889度 東経139.003278度﻿ /36.321889; 139.003278高崎市役所","公式ウェブサイト","ハクモクレン、サクラ","ケヤキ、カシ","ウグイス","平成の大合併前の高崎市","","",""
"田村市","[162福島県07211田村市458.384154.933.8%249299.565.4%] 田村市 （たむらし）は、 福島県 中通り 中部に位置する 市 。","https://ja.wikipedia.org/wiki/田村市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","","日本","458.33km2","34,762人（推計人口、2021年6月1日）","75.8人/km2","東北地方","福島県","07211-7","2000020072117","郡山市、いわき市、二本松市、双葉郡大熊町、浪江町、川内村、葛尾村、田村郡三春町、小野町","白石高司","〒963-4393福島県田村市船引町船引字畑添76番地2","公式ウェブサイト","つつじ（2005年8月制定）","なら（2005年8月制定）","うぐいす（2005年8月制定）","","","",""
"鹿屋市","[163鹿児島県46203鹿屋市448.2231219.048.9%473229.551.2%] 鹿屋市 （かのやし）は、 鹿児島県 にある 市 。 九州 南東部、 大隅半島 の中央部に位置する。","https://ja.wikipedia.org/wiki/鹿屋市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯31度22分41.6秒東経130度51分8秒","日本","448.15km2","100,276人（推計人口、2021年6月1日）","224人/km2","九州地方","鹿児島県","46203-9","8000020462039","垂水市、霧島市、曽於市、肝属郡東串良町、錦江町、肝付町、曽於郡大崎町","中西茂","〒893-8501鹿児島県鹿屋市共栄町20番1号北緯31度22分41.6秒東経130度51分8秒﻿ / ﻿北緯31.378222度 東経130.85222度﻿ /31.378222; 130.85222﻿ (鹿屋市)座標:北緯31度22分41.6秒東経130度51分8秒﻿ / ﻿北緯31.378222度 東経130.85222度﻿ /31.378222; 130.85222﻿ (鹿屋市)","公式ウェブサイト","バラ（2006年5月15日制定）","クス（2007年4月1日制定）","","","","",""
"妙高市","[164新潟県15217妙高市445.675120.727.1%275311.169.8%] 妙高市 （みょうこうし）は、 新潟県 上越地方 にある 市 である。","https://ja.wikipedia.org/wiki/妙高市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度1分30.7秒東経138度15分12.7秒","日本","445.63km2","29,942人（推計人口、2021年6月1日）","67.2人/km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15217-0","6000020152170","上越市、糸魚川市長野県：長野市、飯山市、上水内郡信濃町、北安曇郡小谷村","入村明","〒944-8686新潟県妙高市栄町5番1号北緯37度1分30.7秒東経138度15分12.7秒﻿ / ﻿北緯37.025194度 東経138.253528度﻿ /37.025194; 138.253528座標:北緯37度1分30.7秒東経138度15分12.7秒﻿ / ﻿北緯37.025194度 東経138.253528度﻿ /37.025194; 138.253528","公式ウェブサイト","シラネアオイ","ブナ","オオルリ","","","",""
"伊達市 (北海道)","[165北海道01233伊達市444.279122.527.6%286296.866.8%] 伊達市 （だてし）は、 北海道 の 道央地方 南部に位置し、 胆振総合振興局 の 西いぶり地域 に属する 市 。市名は、 明治時代 初期に 東北地方 から入植した 亘理伊達氏 が開拓したことに由来する。","https://ja.wikipedia.org/wiki/伊達市_(北海道)","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯42度28分18.8秒東経140度51分52.9秒","日本","444.21km2（境界未定部分あり）","33,112人（住民基本台帳人口、2021年5月31日）","74.5人/km2","北海道地方","北海道（胆振総合振興局）","01233-5","4000020012335","胆振総合振興局：室蘭市、登別市、白老郡白老町、虻田郡洞爺湖町、有珠郡壮瞥町後志総合振興局：虻田郡喜茂別町、留寿都村石狩振興局：札幌市、千歳市","菊谷秀吉","〒052-0024北海道伊達市鹿島町20-1北緯42度28分18.8秒東経140度51分52.9秒﻿ / ﻿北緯42.471889度 東経140.864694度﻿ /42.471889; 140.864694","公式ウェブサイト","ツツジ","エゾヤマザクラ","","2006年（平成18年）1月1日、福島県に同名の伊達市が生まれた。2013年（平成25年）の時点で、日本の同名市は他に府中市があるのみ。","","",""
"沼田市","[166群馬県10206沼田市443.5110103.223.3%472338.276.3%] 沼田市 （ぬまたし）は、 群馬県 北部の 市 である。古くから 木材 の集積地であり、 市場町 として発達した。 北毛 の中心都市である。群馬県内にある市では最も北に位置する。","https://ja.wikipedia.org/wiki/沼田市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度38分38秒東経139度02分34秒","日本","443.46km2","44,520人（推計人口、2021年6月1日）","100人/km2","関東地方","群馬県","10206-7","7000020102067","前橋市、桐生市、渋川市、みどり市、吾妻郡高山村、利根郡みなかみ町、片品村、昭和村、川場村栃木県日光市","横山公一","〒378-8501群馬県沼田市下之町888北緯36度38分38秒東経139度02分34秒﻿ / ﻿北緯36.6439271度 東経139.0427525度﻿ /36.6439271; 139.0427525座標:北緯36度38分38秒東経139度02分34秒﻿ / ﻿北緯36.6439271度 東経139.0427525度﻿ /36.6439271; 139.0427525","沼田市の公式サイト（日本語）","キキョウ","サクラ","","市長：横山公一（2014年5月10日就任）合併発足日：2005年2月13日","","",""
"柏崎市","[167新潟県15205柏崎市442.0196154.034.8%564287.865.1%] 柏崎市 （かしわざきし）は、 新潟県 の 中越地方 西端にある 日本海 に面した 市 。","https://ja.wikipedia.org/wiki/柏崎市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度22分18.9秒東経138度33分32.4秒","日本","442.03km2","80,526人（推計人口、2021年6月1日）","182人/km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15205-6","5000020152056","上越市、長岡市、十日町市、三島郡出雲崎町、刈羽郡刈羽村","桜井雅浩","〒945-8511新潟県柏崎市中央町5番50号北緯37度22分18.9秒東経138度33分32.4秒﻿ / ﻿北緯37.371917度 東経138.559000度﻿ /37.371917; 138.559000座標:北緯37度22分18.9秒東経138度33分32.4秒﻿ / ﻿北緯37.371917度 東経138.559000度﻿ /37.371917; 138.559000","公式ウェブサイト","ヤマユリ","マツ","","","","",""
"釜石市","[168岩手県03211釜石市440.38443.49.9%848388.488.2%] 釜石市 （かまいしし）は、 岩手県 南東部、 三陸復興国立公園 の中心に位置し、世界三大漁場の一つ北西太平洋漁場の一角をなす三陸漁場と典型的な リアス式海岸 を持つ 市 である。旧 上閉伊郡 、 気仙郡 。","https://ja.wikipedia.org/wiki/釜石市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度16分32.9秒東経141度53分8.5秒","日本","440.34km2（境界未定部分あり）","31,526人（推計人口、2021年6月1日）","71.6人/km2","東北地方","岩手県","03211-5","8000020032115","遠野市、大船渡市、上閉伊郡大槌町、気仙郡住田町","野田武則","〒026-8686岩手県釜石市只越町三丁目9番13号北緯39度16分32.9秒東経141度53分8.5秒﻿ / ﻿北緯39.275806度 東経141.885694度﻿ /39.275806; 141.885694座標:北緯39度16分32.9秒東経141度53分8.5秒﻿ / ﻿北緯39.275806度 東経141.885694度﻿ /39.275806; 141.885694","公式ウェブサイト","はまゆり（スカシユリ）","たぶのき","おおみずなぎどり","","","",""
"宇佐市","[169大分県44211宇佐市439.1128174.639.8%322263.660.0%] 宇佐市 （うさし）は、 大分県 の北部、 国東半島 の付け根に位置する 市 。","https://ja.wikipedia.org/wiki/宇佐市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度31分55.2秒東経131度20分58.1秒","日本","439.05km2","52,434人（推計人口、2021年6月1日）","119人/km2","九州地方","大分県","44211-9","4000020442119","別府市、中津市、豊後高田市、杵築市、由布市、速見郡日出町、玖珠郡玖珠町","是永修治","〒879-0492大分県宇佐市大字上田1030番地1北緯33度31分55.2秒東経131度20分58.1秒﻿ / ﻿北緯33.532000度 東経131.349472度﻿ /33.532000; 131.349472﻿ (宇佐市)座標:北緯33度31分55.2秒東経131度20分58.1秒﻿ / ﻿北緯33.532000度 東経131.349472度﻿ /33.532000; 131.349472﻿ (宇佐市)","公式ウェブサイト","ツツジ","イチイガシ","","","","",""
"西都市","[170宮崎県45208西都市438.87099.022.6%310337.176.8%] 西都市 （さいとし）は、 宮崎県 の県央地域に位置する 市 。日本最大級の 古墳群 である国の 特別史跡 ・ 西都原古墳群 や、日向国主 伊東氏 の居城 都於郡城 で知られる。","https://ja.wikipedia.org/wiki/西都市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯32度6分30.7秒東経131度24分4.9秒","日本","438.79km2","28,220人（推計人口、2021年6月1日）","64.3人/km2","九州地方","宮崎県","45208-4","4000020452084","宮崎市、児湯郡高鍋町、木城町、新富町、西米良村、東臼杵郡美郷町、椎葉村、東諸県郡国富町","橋田和実","〒881-0015宮崎県西都市聖陵町二丁目1番地北緯32度6分30.7秒東経131度24分4.9秒﻿ / ﻿北緯32.108528度 東経131.401361度﻿ /32.108528; 131.401361﻿ (西都市)座標:北緯32度6分30.7秒東経131度24分4.9秒﻿ / ﻿北緯32.108528度 東経131.401361度﻿ /32.108528; 131.401361﻿ (西都市)","公式ウェブサイト","ミツバツツジ","ヤマモモ","ウグイス","","","",""
"北上市","[171岩手県03206北上市437.6214203.246.4%460234.253.5%] 北上市 （きたかみし）は、 岩手県 南西部に位置する 市 。","https://ja.wikipedia.org/wiki/北上市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度17分12.3秒東経141度6分47.6秒","日本","437.55km2","93,170人（推計人口、2021年6月1日）","213人/km2","東北地方","岩手県","03206-9","4000020032069","花巻市、奥州市、和賀郡西和賀町、胆沢郡金ケ崎町","高橋敏彦","〒024-8501岩手県北上市芳町1番1号北緯39度17分12.3秒東経141度6分47.6秒﻿ / ﻿北緯39.286750度 東経141.113222度﻿ /39.286750; 141.113222","公式ウェブサイト","しらゆり（ヤマユリ）","さくら","きせきれい","市外局番：0197（市内全域）","","",""
"横浜市","[172神奈川県14100横浜市437.58,514399.491.3%9,32637.58.6%] 東京大都市圏 に属する。市の人口は約377.9万人で、 日本 の市区町村のなかで最も多い  。市域の過半は旧 武蔵国 で、南西部は旧 相模国 鎌倉郡 （ 戸塚区 、 泉区 、 栄区 、 瀬谷区  の全域と 港南区 、 南区 、 金沢区 の一部）。","https://ja.wikipedia.org/wiki/横浜市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度27分01.2秒東経139度38分03.2秒","日本","437.56km2","3,779,890人（推計人口、2021年6月1日）","8,639人/km2","関東地方","神奈川県","14100-3","3000020141003","川崎市藤沢市大和市横須賀市鎌倉市逗子市東京都町田市","林文子","〒231-0005神奈川県横浜市中区本町6丁目50番地の10北緯35度27分01.2秒東経139度38分03.2秒﻿ / ﻿北緯35.450333度 東経139.634222度﻿ /35.450333; 139.634222座標:北緯35度27分01.2秒東経139度38分03.2秒﻿ / ﻿北緯35.450333度 東経139.634222度﻿ /35.450333; 139.634222横浜市本庁舎外観市庁舎位置","公式ウェブサイト","バラ","イチョウ、ケヤキ、サザンカ、サンゴジュ、シイ、ツバキ","","21世紀の横浜市の状況","","横浜市歌",""
"大田市","[173島根県32205大田市435.78189.720.6%392333.576.6%] 大田市 （おおだし）は、 島根県 の中部にある 市 。 日本海 に面し、 石見 地方の東部に位置している。隣接する 出雲市 とともに、県中部の中心地域となっている。","https://ja.wikipedia.org/wiki/大田市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度11分31.5秒東経132度29分57.7秒","日本","435.71km2","32,497人（推計人口、2021年6月1日）","74.6人/km2","中国地方、山陰地方中国・四国地方","島根県","32205-9","1000020322059","出雲市、江津市、邑智郡川本町、美郷町、飯石郡飯南町","楫野弘和","〒694-0064島根県大田市大田町大田ロ1111北緯35度11分31.5秒東経132度29分57.7秒﻿ / ﻿北緯35.192083度 東経132.499361度﻿ /35.192083; 132.499361市庁舎位置","公式ウェブサイト","れんげつつじ（1983年11月4日制定）","うめ（1968年10月18日制定）","","","","",""
"大洲市","[174愛媛県38207大洲市432.2102119.227.6%370315.272.9%] 大洲市 （おおずし）は、 愛媛県 の 南予地方 に位置する 市 。「伊予の 小京都 」と呼ばれる。肱川の流域にある 大洲城 を中心に発展した旧 城下町 である。","https://ja.wikipedia.org/wiki/大洲市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度30分22.6秒東経132度32分40.3秒","日本","432.22km2","39,988人（推計人口、2021年6月1日）","92.5人/km2","四国地方中国・四国地方","愛媛県","38207-8","1000020382078","八幡浜市、西予市、伊予市、喜多郡内子町山口県:周防大島町","二宮隆久","〒795-8601愛媛県大洲市大洲690-1北緯33度30分22.6秒東経132度32分40.3秒﻿ / ﻿北緯33.506278度 東経132.544528度﻿ /33.506278; 132.544528座標:北緯33度30分22.6秒東経132度32分40.3秒﻿ / ﻿北緯33.506278度 東経132.544528度﻿ /33.506278; 132.544528","公式ウェブサイト","","","","","","",""
"三条市","[175新潟県15204三条市432.0230158.136.6%627282.465.4%] 三条市 （さんじょうし）は、 新潟県 のほぼ中央部に位置する 市 である。","https://ja.wikipedia.org/wiki/三条市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度38分12.4秒東経138度57分42秒","日本","431.97km2","93,748人（推計人口、2021年6月1日）","217人/km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15204-8","5000020152048","新潟市、加茂市、五泉市、燕市、魚沼市、見附市、長岡市、東蒲原郡阿賀町福島県南会津郡只見町","滝沢亮","〒955-8686新潟県三条市旭町二丁目3番1号北緯37度38分12.4秒東経138度57分42秒﻿ / ﻿北緯37.636778度 東経138.96167度﻿ /37.636778; 138.96167座標:北緯37度38分12.4秒東経138度57分42秒﻿ / ﻿北緯37.636778度 東経138.96167度﻿ /37.636778; 138.96167","公式ウェブサイト","ヒメサユリハナショウブ（推奨）ヒマワリ（推奨）","五葉松イチイ（推奨）","芝地鶏","","","",""
"佐賀市","[176佐賀県41201佐賀市431.8547251.558.2%940178.041.2%] 佐賀市 （さがし）は、 佐賀県 の中東部に位置する 市 。佐賀県の 県庁所在地 で、 施行時特例市 である。","https://ja.wikipedia.org/wiki/佐賀市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度15分48.6秒東経130度18分3秒","日本","431.84km2（境界未定部分あり）","231,738人（推計人口、2021年6月1日）","537人/km2","九州地方","佐賀県","41201-5","3000020412015","小城市、唐津市、多久市、神埼市、杵島郡白石町(海隔てて)福岡県：福岡市、柳川市、大川市、糸島市","秀島敏行","〒840-8501佐賀県佐賀市栄町1番1号北緯33度15分48.6秒東経130度18分3秒﻿ / ﻿北緯33.263500度 東経130.30083度﻿ /33.263500; 130.30083市庁舎位置","公式ウェブサイト","サクラ","イチョウ","","","","",""
"松山市","[177愛媛県38201松山市429.41,199240.255.9%2,143189.144.0%] 松山市 （まつやまし）は、 愛媛県 の中部に位置する 市 。愛媛県の 県庁所在地 であり、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/松山市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度50分21秒東経132度45分56.3秒","日本","429.40km2","510,570人（推計人口、2021年6月1日）","1,189人/km2","四国地方中国・四国地方","愛媛県","38201-9","3000020382019","東温市、今治市、伊予郡松前町、砥部町、上浮穴郡久万高原町（海上により隣接）山口県大島郡周防大島町広島県呉市","野志克仁","〒790-8571愛媛県松山市二番町四丁目7番地2北緯33度50分21秒東経132度45分56.3秒﻿ / ﻿北緯33.83917度 東経132.765639度﻿ /33.83917; 132.765639座標:北緯33度50分21秒東経132度45分56.3秒﻿ / ﻿北緯33.83917度 東経132.765639度﻿ /33.83917; 132.765639市庁舎位置","公式ウェブサイト","ヤブツバキ","","","市章は1911年4月7日制定","","",""
"美作市","[178岡山県33215美作市429.365100.823.5%278328.476.5%] 美作市 （みまさかし）は、 岡山県 の北東部（旧 美作国 ）に位置し、 兵庫県 および 鳥取県 と 県境 を接する 市 である。また、県内の市の中で最も人口が少ない。","https://ja.wikipedia.org/wiki/美作市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度0分31秒東経134度8分54.9秒","日本","429.29km2","25,425人（推計人口、2021年6月1日）","59.2人/km2","中国地方、山陽地方中国・四国地方","岡山県","33215-1","7000020332151","備前市、和気郡和気町、久米郡美咲町、英田郡西粟倉村、勝田郡勝央町、奈義町兵庫県：宍粟市、佐用郡佐用町鳥取県八頭郡智頭町","萩原誠司","〒707-8501岡山県美作市栄町38-2北緯35度0分31秒東経134度8分54.9秒﻿ / ﻿北緯35.00861度 東経134.148583度﻿ /35.00861; 134.148583座標:北緯35度0分31秒東経134度8分54.9秒﻿ / ﻿北緯35.00861度 東経134.148583度﻿ /35.00861; 134.148583美作市庁舎位置","公式ウェブサイト","カタクリ","梅","","","","",""
"能代市","[179秋田県05202能代市427.0128173.640.7%315251.058.8%] 能代市 （のしろし）は、 秋田県 の北部に位置し、 日本海 に面した 市 である。","https://ja.wikipedia.org/wiki/能代市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯40度12分43.7秒東経140度1分35.8秒","日本","426.95km2","49,196人（推計人口、2021年6月1日）","115人/km2","東北地方","秋田県","05202-7","3000020052027","北秋田市、山本郡藤里町、三種町、八峰町、北秋田郡上小阿仁村","斉藤滋宣","〒016-8501秋田県能代市上町1番3号北緯40度12分43.7秒東経140度1分35.8秒﻿ / ﻿北緯40.212139度 東経140.026611度﻿ /40.212139; 140.026611座標:北緯40度12分43.7秒東経140度1分35.8秒﻿ / ﻿北緯40.212139度 東経140.026611度﻿ /40.212139; 140.026611","能代市","","","","","","",""
"輪島市","[180石川県17204輪島市426.36499.023.2%275314.873.8%] 輪島市 （わじまし）は 石川県 北部に位置する 市 。 能登半島 北部の 奥能登 の中核となる市であり、 輪島塗 や 朝市 ならびに御陣乗太鼓で全国的に有名である。","https://ja.wikipedia.org/wiki/輪島市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度23分26秒東経136度53分57秒","日本","426.32km2（境界未定部分あり）","24,117人（推計人口、2021年6月1日）","56.6人/km2","中部地方、北陸地方","石川県","17204-9","2000020172049","珠洲市、羽咋郡志賀町、鳳珠郡穴水町、能登町","梶文秋","〒928-8525石川県輪島市二ツ屋町2字29番地北緯37度23分26秒東経136度53分57秒﻿ / ﻿北緯37.39056度 東経136.89917度﻿ /37.39056; 136.89917座標:北緯37度23分26秒東経136度53分57秒﻿ / ﻿北緯37.39056度 東経136.89917度﻿ /37.39056; 136.89917","公式ウェブサイト","雪割草","档（あて）","","","","",""
"黒部市","[181富山県16207黒部市426.396220.051.6%186206.548.4%] 黒部市 （くろべし）は、 富山県 東部に位置する 市 。 黒部川 下流域にあり、 日本海 に面している。直線距離で約40km南東の黒部川上流には 黒部ダム （ 中新川郡 立山町 ）がある。","https://ja.wikipedia.org/wiki/黒部市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","","日本","426.31km2（境界未定部分あり）","39,503人（推計人口、2021年6月1日）","92.7人/km2","中部地方、北陸地方","富山県","16207-8","7000020162078","魚津市、下新川郡朝日町、入善町、中新川郡上市町、立山町長野県：大町市、北安曇郡白馬村","大野久芳","〒938-8555富山県黒部市三日市1301番地庁舎入口 食堂 市保健センター（市章のある建物）黒部市庁舎と北側駐車場","公式ウェブサイト","サクラ・ツバキ","ツガ・クルミ","","","","",""
"佐世保市","[182長崎県42202佐世保市426.1600202.747.6%1,260212.249.8%] 佐世保市 （させぼし、させほし  ）は、 長崎県 北部地方にある 市 。","https://ja.wikipedia.org/wiki/佐世保市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度10分47.9秒東経129度42分55.1秒","日本","426.06km2","241,517人（推計人口、2021年6月1日）","567人/km2","九州地方","長崎県","42202-9","5000020422029","松浦市、平戸市、西海市、北松浦郡佐々町、東彼杵郡川棚町、波佐見町佐賀県：伊万里市、西松浦郡有田町","朝長則男","〒857-8585長崎県佐世保市八幡町1番10号北緯33度10分47.9秒東経129度42分55.1秒﻿ / ﻿北緯33.179972度 東経129.715306度﻿ /33.179972; 129.715306﻿ (佐世保市)座標:北緯33度10分47.9秒東経129度42分55.1秒﻿ / ﻿北緯33.179972度 東経129.715306度﻿ /33.179972; 129.715306﻿ (佐世保市)","公式ウェブサイト","カノコユリ","ハナミズキ","","","","",""
"佐久市","[183長野県20217佐久市423.5235159.737.7%622263.362.2%] 佐久市 （さくし）は、 長野県 東信地方 の 市 であり、 群馬県 との県境に位置する。東信地方第二の都市、また 佐久地域 の中心都市である。","https://ja.wikipedia.org/wiki/佐久市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度14分55.7秒東経138度28分37秒","日本","423.51km2","98,128人（推計人口、2021年6月1日）","232人/km2","中部地方、甲信越地方、信越地方","長野県","20217-7","2000020202177","小諸市、茅野市、東御市、北佐久郡軽井沢町、御代田町、立科町、南佐久郡佐久穂町群馬県:甘楽郡下仁田町、南牧村","柳田清二","〒385-8501長野県佐久市中込3056番地北緯36度14分55.7秒東経138度28分37秒﻿ / ﻿北緯36.248806度 東経138.47694度﻿ /36.248806; 138.47694座標:北緯36度14分55.7秒東経138度28分37秒﻿ / ﻿北緯36.248806度 東経138.47694度﻿ /36.248806; 138.47694佐久市役所","公式ウェブサイト","コスモス","からまつ","","","","",""
"養父市","[184兵庫県28222養父市422.95767.315.9%361355.884.1%] 養父市 （やぶし）は、 兵庫県 の北部に位置する 市 である。 但馬県民局 管轄区域。中山間地農業の改革拠点として 国家戦略特区 に指定されている。","https://ja.wikipedia.org/wiki/養父市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度24分16.6秒東経134度46分3.4秒","日本","422.91km2","21,790人（推計人口、2021年6月1日）","51.5人/km2","近畿地方","兵庫県","28222-7","3000020282227","豊岡市、朝来市、宍粟市、美方郡香美町鳥取県八頭郡若桜町","広瀬栄","〒667-8651兵庫県養父市八鹿町八鹿1675番地北緯35度24分16.6秒東経134度46分3.4秒﻿ / ﻿北緯35.404611度 東経134.767611度﻿ /35.404611; 134.767611座標:北緯35度24分16.6秒東経134度46分3.4秒﻿ / ﻿北緯35.404611度 東経134.767611度﻿ /35.404611; 134.767611市庁舎位置","公式ウェブサイト","ミズバショウ","ブナ","","","","",""
"四国中央市","[185愛媛県38213四国中央市421.220894.322.4%927326.077.4%] 四国中央市 （しこくちゅうおうし）は、 愛媛県 の東端に位置する 市 。 四国 の他の3県（ 香川県 、 高知県 、 徳島県 ）に接している。","https://ja.wikipedia.org/wiki/四国中央市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度58分50.6秒東経133度32分57秒","日本","421.24km2","82,019人（推計人口、2021年6月1日）","195人/km2","四国地方中国・四国地方","愛媛県","38213-2","5000020382132","新居浜市香川県観音寺市徳島県三好市高知県：土佐郡大川村・土佐町、長岡郡大豊町・本山町","篠原実","〒799-0497愛媛県四国中央市三島宮川四丁目6番55号北緯33度58分50.6秒東経133度32分57秒﻿ / ﻿北緯33.980722度 東経133.54917度﻿ /33.980722; 133.54917座標:北緯33度58分50.6秒東経133度32分57秒﻿ / ﻿北緯33.980722度 東経133.54917度﻿ /33.980722; 133.54917","公式ウェブサイト","","","","","","",""
"安来市","[186島根県32206安来市420.99496.522.9%410302.972.0%] 安来市 （やすぎし）は、 島根県 東端に位置する 出雲 地方東部の 市 。出雲国風土記よりスサノオノミコトが「安来く（やすけく）地」と命名されたと伝えられている。","https://ja.wikipedia.org/wiki/安来市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度25分53.2秒東経133度15分3.2秒","日本","420.93km2","36,657人（推計人口、2021年6月1日）","87.1人/km2","中国地方、山陰地方中国・四国地方","島根県","32206-7","1000020322067","松江市、雲南市、仁多郡奥出雲町鳥取県：米子市、西伯郡南部町、日野郡日南町","田中武夫","〒692-8686島根県安来市安来町878番地2北緯35度25分53.2秒東経133度15分3.2秒﻿ / ﻿北緯35.431444度 東経133.250889度﻿ /35.431444; 133.250889市庁舎位置","公式ウェブサイト","さくら","竹","","","","",""
"二戸市","[187岩手県03213二戸市420.466108.925.9%253311.274.0%] 二戸市 （にのへし）は、 岩手県 の内陸部北端に位置する 市 である。","https://ja.wikipedia.org/wiki/二戸市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯40度16分16.5秒東経141度18分17.2秒","日本","420.42km2","25,175人（推計人口、2021年6月1日）","59.9人/km2","東北地方","岩手県","03213-1","8000020032131","八幡平市、九戸郡軽米町、九戸村、二戸郡一戸町青森県：三戸郡南部町、三戸町、田子町","藤原淳","〒028-6192岩手県二戸市福岡字川又47番地北緯40度16分16.5秒東経141度18分17.2秒﻿ / ﻿北緯40.271250度 東経141.304778度﻿ /40.271250; 141.304778","公式ウェブサイト","ヤマザクラ","ウルシ","キジ","","","",""
