"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","種類","管理者","統計年度","発着数","面積","開港","公式サイト","旅客数","貨物取扱量","最高標高","所在海域","海岸線長","所属諸島","都道府県","係留施設数","最高峰","コンテナ数"
"石狩市","[石狩港] 石狩市 （いしかりし）は、 北海道 中央西部（ 道央地方 ）に位置し、 石狩振興局 管内に属する 市 。 札幌市 の北郊に隣接している。","https://ja.wikipedia.org/wiki/石狩市","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯43度10分16.9秒東経141度18分55.8秒","〒061-3292北海道石狩市花川北6条1丁目30-2北緯43度10分16.9秒東経141度18分55.8秒﻿ / ﻿北緯43.171361度 東経141.315500度﻿ /43.171361; 141.315500石狩市役所庁舎（2006年8月27日撮影）","日本","","","","","722.42km2","","","","","","","","","北海道（石狩振興局）","","",""
"森港","[森港] 森港 （もりこう）は、 北海道 茅部郡 森町 にある 港湾 。港湾管理者は森町。 港湾法 上の「 地方港湾 」に指定されている。 渡島半島 の中央部に位置して 内浦湾 （噴火湾）に面しており、内浦湾で唯一の「地方港湾」になっている。","https://ja.wikipedia.org/wiki/森港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度06分40秒東経140度35分31秒","北海道茅部郡森町","日本","地方港湾","森町","平成27年","36,689隻","","","","","31,732トン","","","","","","","",""
"江差港","[江差港] 江差港 （えさしこう）は、 北海道 檜山郡 江差町 にある 港湾 。港湾管理者は江差町。 港湾法 上の「 地方港湾 」に指定されている。","https://ja.wikipedia.org/wiki/江差港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯41度52分11秒東経140度07分11秒","北海道檜山郡江差町","日本","地方港湾","江差町","平成27年","1,548隻","","","","47,876人","389,178トン","","","","","","","",""
"瀬棚港","[瀬棚港] 瀬棚港 （せたなこう）は、 北海道 久遠郡 せたな町 にある 港湾 。港湾管理者はせたな町。 港湾法 上の「 地方港湾 」に指定されている。","https://ja.wikipedia.org/wiki/瀬棚港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度27分06秒東経139度50分42秒","北海道久遠郡せたな町","日本","地方港湾","せたな町","平成27年","2,508隻","","","","22,691人","250,942トン","","","","","","","",""
"奥尻港","[奥尻港] 奥尻港 （おくしりこう）は、 北海道 奥尻郡 奥尻町 にある 港湾 。港湾管理者は奥尻町。 港湾法 上の「 地方港湾 」、「 避難港 」に指定されている。","https://ja.wikipedia.org/wiki/奥尻港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度10分40秒東経139度31分12秒","北海道奥尻郡奥尻町","日本","地方港湾（避難港）","奥尻町","平成27年","2,877隻","","","","70,359人","479,879トン","","","","","","","",""
"余市港","[余市港] 余市港 （よいちこう）は、 北海道 余市郡 余市町 にある 港湾 。港湾管理者は余市町。 港湾法 上の「 地方港湾 」に指定されている。","https://ja.wikipedia.org/wiki/余市港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯43度12分41秒東経140度46分39秒","北海道余市郡余市町","日本","地方港湾","余市町","平成27年","6,188隻","","","","","5,175トン","","","","","","","",""
"岩内港","[岩内港] 岩内港 （いわないこう）は、 北海道 岩内郡 岩内町 にある 港湾 。港湾管理者は岩内町。 港湾法 上の「 地方港湾 」、 運輸省 （現在の 国土交通省 ）による「 特定地域振興重要港湾 」に指定されている。","https://ja.wikipedia.org/wiki/岩内港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度59分47秒東経140度30分43秒","北海道岩内郡岩内町","日本","地方港湾","岩内町","平成27年","3,339隻","","","","","64,385トン","","","","","","","",""
"浦河港","[浦河港] 浦河港 （うらかわこう）は、 北海道 浦河郡 浦河町 にある 港湾 。港湾管理者は浦河町。 港湾法 上の「 地方港湾 」に指定されている。日高山系と 太平洋 に囲まれた 日高振興局 東部に位置しており、地域の 物流 や 漁業 の活動拠点になっている。日本国内では 様似町 と 日高町 のみで採石している「 かんらん岩 」の移出港になっている  。","https://ja.wikipedia.org/wiki/浦河港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度10分00秒東経142度45分45秒","北海道浦河郡浦河町","日本","地方港湾","浦河町","平成27年","15,773隻","","","","","371,200トン","","","","","","","",""
"えりも港","[えりも港] えりも港 （えりもこう）は、 北海道 幌泉郡 えりも町 にある 港湾 。港湾管理者はえりも町。 港湾法 上の「 地方港湾 」、「 避難港 」に指定されている。","https://ja.wikipedia.org/wiki/えりも港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度00分58秒東経143度08分42秒","北海道幌泉郡えりも町","日本","地方港湾（避難港）","えりも町","平成27年","6,430隻","","","","","16,254トン","","","","","","","",""
"羽幌港","[羽幌港] 羽幌港 （はぼろこう）は、 北海道 苫前郡 羽幌町 にある 港湾 。港湾管理者は羽幌町。 港湾法 上の「 地方港湾 」に指定されている。 日本海 の北部に位置しており、 羽幌炭鉱 で採炭した 石炭 の積み出し港として発展した。 天売島 ・ 焼尻島 への離島航路があり、地域の 生活 ・ 産業 や 観光 に利用している。","https://ja.wikipedia.org/wiki/羽幌港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯44度22分32秒東経141度41分54秒","北海道苫前郡羽幌町","日本","地方港湾","羽幌町","平成28年","3,369隻","","","","33,765人","71,768トン","","","","","","","",""
"焼尻島","[焼尻港] 焼尻島 （やぎしりとう）は、 北海道 留萌振興局 管内の 苫前郡 羽幌町 の西25kmの 日本海 に浮かぶ 島 である。武蔵水道を隔てて西方にある 天売島 とともに、羽幌町に属する。","https://ja.wikipedia.org/wiki/焼尻島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯44度26分0秒東経141度25分26秒","北海道留萌振興局苫前郡羽幌町","","","","","","5.21km²","","","","","94m","日本海","","","","","",""
"天売島","[天売港] 天売島 （てうりとう）は、 北海道 北西部の 日本海 に浮かぶ 離島 。 留萌振興局 管内の 苫前郡 羽幌町 にある羽幌港から30 km 西にあり  、天売島の東側に並んで浮かぶ 焼尻島 とともに羽幌町に属している。面積5.47 km 2  、周囲約12km  、人口は317人（ 平成 29年3月時点）。島の名は、 アイヌ語 の「テウレ」（魚の背腸）もしくは「チュウレ」（足）に由来すると言われている。","https://ja.wikipedia.org/wiki/天売島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯44度25分28.0秒東経141度18分54.0秒","日本","","","","","","5.50km²","","","","","184.5m","日本海","12km","","","","",""
"増毛港","[増毛港] 増毛港 （ましけこう）は、 北海道 増毛郡 増毛町 にある 港湾 。港湾管理者は増毛町。 港湾法 上の「 地方港湾 」に指定されている。","https://ja.wikipedia.org/wiki/増毛港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯43度51分15秒東経141度32分04秒","北海道増毛郡増毛町","日本","地方港湾","増毛町","平成27年","11,551隻","","","","","32,503トン","","","","","","","",""
"天塩港","[天塩港] 天塩港 （てしおこう）は、 北海道 天塩郡 天塩町 にある 港湾 。港湾管理者は天塩町。 港湾法 上の「 地方港湾 」に指定されている。","https://ja.wikipedia.org/wiki/天塩港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯44度52分13秒東経141度44分11秒","北海道天塩郡天塩町","日本","地方港湾","天塩町","平成27年","2,659隻","","","","","642,472トン","","","","","","","",""
"鴛泊港","[鴛泊港] 鴛泊港 （おしどまりこう）は、 北海道 利尻郡 利尻富士町 にある 港湾 。港湾管理者は利尻富士町。 港湾法 上の「 地方港湾 」に指定されている。鬼脇港区（おにわきこうく）がある。 利尻島 での 産業 や 観光 の拠点となっている。","https://ja.wikipedia.org/wiki/鴛泊港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","北海道利尻郡利尻富士町","日本","地方港湾","利尻富士町","平成28年","4,569隻","","","","253,629人","846,348トン","","","","","","","",""
"枝幸港","[枝幸港] 枝幸港 （えさしこう）は、 北海道 枝幸郡 枝幸町 にある 港湾 。港湾管理者は枝幸町。 港湾法 上の「 地方港湾 」に指定されている。 宗谷総合振興局 の東南部に位置し、 オホーツク海 に面している。","https://ja.wikipedia.org/wiki/枝幸港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯44度56分00秒東経142度35分28秒","北海道枝幸郡枝幸町","日本","地方港湾","枝幸町","平成27年","8,972隻","","","","","51,407トン","","","","","","","",""
"香深港","[香深港] 香深港 （かふかこう）は、 北海道 礼文郡 礼文町 にある 港湾 。港湾管理者は礼文町。 港湾法 上の「 地方港湾 」に指定されている。船泊分港（ふなとまりぶんこう）がある。 礼文島 での 生活 ・ 産業 や 観光 の拠点となっている。","https://ja.wikipedia.org/wiki/香深港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","北海道礼文郡礼文町","日本","地方港湾","礼文町","平成28年","6,575隻","","","","260,162人","686,339トン","","","","","","","",""
"沓形港","[沓形港] 沓形港 （くつがたこう）は、 北海道 利尻郡 利尻町 にある 港湾 。港湾管理者は利尻町。 港湾法 上の「 地方港湾 」に指定されている。 利尻島 の西海岸に位置しており、 流通 や 水産業 の拠点となっているほか、 クルーズ客船 の寄港地にもなっている。","https://ja.wikipedia.org/wiki/沓形港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯45度11分31秒東経141度08分04秒","北海道利尻郡利尻町","日本","地方港湾","利尻町","平成28年","4,510隻","","","","26,172人","131,783トン","","","","","","","",""
"松前港 (北海道) (存在しないページ)","[松前港]","https://ja.wikipedia.org/w/index.php?title=松前港_(北海道)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"霧多布港","[霧多布港] 霧多布港 （きりたっぷこう）は、 北海道 厚岸郡 浜中町 にある 港湾 。港湾管理者は浜中町。 港湾法 上の「 地方港湾 」に指定されている。 釧路市 と 根室市 のほぼ中間に位置しており、港は 浜中湾 と 琵琶瀬湾 の2湾に面している。これまでに大規模な 地震 や 津波 の被害が発生しているため、港湾整備事業と海岸整備事業が連携した防災対策を進めている。","https://ja.wikipedia.org/wiki/霧多布港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯43度05分00秒東経145度07分22秒","北海道厚岸郡浜中町","日本","地方港湾","浜中町","平成27年","1,489隻","","","","","45,949トン","","","","","","","",""
"宗谷港","[宗谷港] 宗谷港 （そうやこう）は、 北海道 稚内市 にある 港湾 。港湾管理者は稚内市。 港湾法 上の「 地方港湾 」、「 避難港 」に指定されている。 宗谷岬 に隣接し、日本最北の「地方港湾」であるほか、日本国内で唯一となる 領海 などの基線となる「低潮線」を有する港湾になっている  。","https://ja.wikipedia.org/wiki/宗谷港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯45度31分12秒東経141度56分55秒","北海道稚内市","日本","地方港湾","稚内市","平成27年","9,433隻","","","","","23,590トン","","","","","","","",""
"椴法華港","[椴法華港] 椴法華港 （とどほっけこう）は、 北海道 函館市 （旧 椴法華村 ）にある 港湾 。港湾管理者は函館市。 港湾法 上の「 地方港湾 」、「 避難港 」に指定されている。 渡島半島 南東端にある 恵山 の麓に位置しており、 津軽海峡 を東流してきた 対馬海流 （ 暖流 ）と 太平洋 岸を南下する 千島海流 （ 寒流 ）が合流する 漁場 （恵山魚田）を有する立地条件になっている  。","https://ja.wikipedia.org/wiki/椴法華港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯41度49分20秒東経141度10分07秒","北海道函館市","日本","地方港湾","函館市","平成27年","11,815隻","","","","","14,495トン","","","","","","","",""
"白老港","[白老港] 白老港 （しらおいこう）は、 北海道 白老郡 白老町 にある 港湾 。 港湾法 上の「 地方港湾 」に指定されている。港湾管理者は白老町。","https://ja.wikipedia.org/wiki/白老港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度31分21秒東経141度19分23秒","北海道白老郡白老町白老港 (北海道南部)北海道南部の地図を表示白老港 (北海道)北海道の地図を表示白老港 (日本)日本の地図を表示","日本","地方港湾","白老町","2016年","4,358","","1990年","白老港 | 白老町","","1,044,142 トン","","","","","","漁港区：2、商港区：7","",""
"昆布刈石港 (存在しないページ)","[昆布刈石港]","https://ja.wikipedia.org/w/index.php?title=昆布刈石港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"堀株港 (存在しないページ)","[堀株港]","https://ja.wikipedia.org/w/index.php?title=堀株港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"西恵山港 (存在しないページ)","[西恵山港]","https://ja.wikipedia.org/w/index.php?title=西恵山港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜猿払港 (存在しないページ)","[浜猿払港]","https://ja.wikipedia.org/w/index.php?title=浜猿払港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"忠類港 (存在しないページ)","[忠類港]","https://ja.wikipedia.org/w/index.php?title=忠類港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"崎無異港 (存在しないページ)","[崎無異港]","https://ja.wikipedia.org/w/index.php?title=崎無異港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 青森県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=3","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"八戸港","[八戸港] 八戸港 （はちのへこう）は、 青森県 の 太平洋 側南部の 八戸市 にある 港湾 。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。港湾管理は 1958年 （ 昭和 33年）から青森県が管轄している。八戸港は河原木地区、八太郎地区、白銀地区(館鼻地区)、外港地区、市川地区の5地区から構成され、合計約619haが 臨港地区 に指定されている  。八戸市の土地利用の約2.02%が臨港地区である。","https://ja.wikipedia.org/wiki/八戸港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯40度32分55秒東経141度30分13秒","青森県八戸市","日本","重要港湾"," 青森県","2010年","","","","","291,639人","24,719,362t（2009年）","","","","","","","","45,430TEU"
"青森港","[青森港] 青森港 （あおもりこう）は、 青森市 に位置する 港湾 。港湾管理者は 青森県 。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。","https://ja.wikipedia.org/wiki/青森港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯40度50分41.0秒東経140度42分59.0秒","青森県青森市","日本","重要港湾","青森県","2011年","","","1906年","","615,471人（2011年）","33,391,069t","","","","","","","",""
"むつ小川原港","[むつ小川原港] むつ小川原港 （むつおがわらこう）は青森県の太平洋側の 上北郡 六ヶ所村 にある 港湾 。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。","https://ja.wikipedia.org/wiki/むつ小川原港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯40度56分02秒東経141度22分53秒","青森県上北郡六ヶ所村","日本","重点港湾","","","","","","","","","","","","","","","",""
"大湊港","[大湊港] 大湊港 （おおみなとこう）は 青森県 むつ市 に所在する、 大湊湾 に面した 地方港湾 である。","https://ja.wikipedia.org/wiki/大湊港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大間港","[大間港] 大間港 （おおまこう）は、 青森県 下北郡 大間町 にある 地方港湾 。港湾管理者は青森県。","https://ja.wikipedia.org/wiki/大間港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","青森県下北郡大間町","日本","地方港湾","青森県","2015年度","748隻（1,388,645総トン）","","1953年4月10日（設立）","東北地方整備局","119,113人","","","","","","","","",""
"川内港 (存在しないページ)","[川内港]","https://ja.wikipedia.org/w/index.php?title=川内港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"尻屋崎","[尻屋岬港] 尻屋崎 （しりやざき）は、 青森県 下北郡 東通村 にある 下北半島 の北東端をなす 岬 である。岬の北側は 津軽海峡 、東側は 太平洋 。潮の変わり目である。 あたり一帯には 寒立馬 （かんだちめ）という 馬 が放牧されており、観光の要所になっている。 下北半島国定公園 に指定されている。尻屋崎への道にはゲートが設けられており、夜間と冬期は閉鎖される。","https://ja.wikipedia.org/wiki/尻屋崎","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯41度25分50秒 東経141度27分44秒","","","","","","","","","","","","","","","","","","",""
"野辺地港 (存在しないページ)","[野辺地港]","https://ja.wikipedia.org/w/index.php?title=野辺地港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小湊港 (存在しないページ)","[小湊港]","https://ja.wikipedia.org/w/index.php?title=小湊港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"深浦港 (存在しないページ)","[深浦港]","https://ja.wikipedia.org/w/index.php?title=深浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
