"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","種類","面積","時代","完成","発掘期間","関係考古学者","全長","幅","分類","駐車場","バリアフリー","公式サイト","Hidden","Hidden","Hidden","Hidden","Hidden"
"里浜貝塚","[里浜貝塚（東松島市）] 里浜貝塚 （さとはまかいづか）は、 宮城県 東松島市 の 松島湾 中の 宮戸島 に存在する 縄文時代 を通して継続された 貝塚 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/里浜貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度20分9.38秒 東経141度8分42.94秒","","","","","","","","","","","","","","","","","","",""
"西の浜貝塚","[西の浜貝塚（松島町）] 西の浜貝塚 （にしのはまかいづか）は、 宮城県 宮城郡 松島町 、 松島湾 の中央部北岸（北西部）にある大 貝塚   。 1974年 7月2日に、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/西の浜貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度22分53秒東経141度04分57秒","日本宮城県松島町","25 m (82 ft)","貝塚","","縄文時代","","","","200 m","130 m","","","","","","","","",""
"上川名貝塚 (存在しないページ)","[上川名貝塚（柴田町）]","https://ja.wikipedia.org/w/index.php?title=上川名貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三貫地貝塚 (存在しないページ)","[三貫地貝塚（新地町）]","https://ja.wikipedia.org/w/index.php?title=三貫地貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"泉原貝塚 (存在しないページ)","[泉原貝塚（日立市）]","https://ja.wikipedia.org/w/index.php?title=泉原貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南高野貝塚","[南高野貝塚（日立市）] 南高野貝塚 （みなみこうやかいづか）は、 茨城県 日立市 南高野町1-19にある 貝塚 である。","https://ja.wikipedia.org/wiki/南高野貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度29分58.9秒 東経140度36分11.5秒","","","","","","","","","","","","","","","","","","",""
"陸平貝塚","[陸平貝塚（美浦村）] 陸平貝塚 （おかだいらかいづか）は、 茨城県 稲敷郡 美浦村 の 霞ヶ浦 南岸にある 貝塚 である。 1998年 （ 平成 10年） 9月11日 に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/陸平貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度1分1.6秒 東経140度20分52.6秒","","","","","","","","","","","","","","","","","","",""
"上高津貝塚","[上高津貝塚（土浦市）] 上高津貝塚 （かみたかつかいづか）は、 茨城県 土浦市 宍塚・上高津・中高津にある 縄文時代 の 貝塚 遺跡。1977年10月4日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/上高津貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度04分37秒 東経140度09分58秒","","","","","","","","","","","","","","","","","","",""
"大串貝塚","[大串貝塚（水戸市）] 大串貝塚 （おおぐしかいづか）は、 日本 の 茨城県 水戸市 塩崎町1064-1  に所在する 縄文時代 前期の 貝塚 である    。『 常陸国風土記 』に 巨人 伝説の地「大櫛之岡」として言及されており（ 後述 ）、これは縄文時代（ 石器時代 ）の貝塚（ 遺跡 ）が古 文献 に記された最古の例として知られる     。遺跡の平坦部分は削平されているが、斜面の 貝層 部分は 1970年 （ 昭和 45年） 5月11日 付で国の 史跡 に指定されており「大串貝塚ふれあい公園」として整備されている  。","https://ja.wikipedia.org/wiki/大串貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度20分0.0秒 東経140度32分58.3秒","","","","","","","","","","","","","","","","","","",""
"柳崎貝塚","[柳崎貝塚（水戸市）] 柳塚貝塚は千波湖南東側の岬のように 湖沼 側に張り出した標高10～20メートルの 舌状台地 の先端部に、幅45メートル、長さ100メートル程度の範囲で民間の宅地・葡萄園の中に存在している。現在の海岸線からは約13キロメートルほど離れている。 那珂川 流域には 大串貝塚 （水戸市常澄）、谷田貝塚（水戸市谷田町）などの貝塚があるが、柳崎貝塚はその中でも最も内陸に在る貝塚である。柳崎貝塚の近くには 先土器時代 から 弥生時代 にかけての遺物・遺構が見られる下本郷遺跡（水戸市千波町）や国 史跡 の 吉田古墳 （水戸市元吉田町）などがある    。","https://ja.wikipedia.org/wiki/柳崎貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度22分06秒 東経140度27分52秒","","","","","","","","","","","","","","","","","","",""
"野渡貝塚","[野渡貝塚（野木町）] 野渡貝塚は、思川により形成された河岸段丘上、標高20～21メートルの位置に存在する。 縄文時代、 縄文海進 と呼ばれる水位上昇により現在の 古河市 付近まで 東京湾 が入り込み（古東京湾）、満潮時には貝塚の前にまで海水が来ていたと 考えられる。そのためこのような内陸地に貝塚が形成されたと考えられる。","https://ja.wikipedia.org/wiki/野渡貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度12分15.4秒 東経139度42分16.9秒","","","","","","","","","","","","","","","","","","",""
"篠山貝塚","[篠山貝塚（栃木市）] 篠山貝塚は、旧渡良瀬川左岸、現 渡良瀬遊水池 に面した位置に存在する。縄文時代、 縄文海進 と呼ばれる水位上昇により現在の 古河市 まで 東京湾 が入り込み、満潮時には貝塚の前にまで海水が来ていたと考えられる。それを古東京湾と呼ぶがその最奥地にある貝塚として本貝塚は有名である。","https://ja.wikipedia.org/wiki/篠山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度14分21.8秒 東経139度39分16.3秒","","","","","","","","","","","","","","","","","","",""
"寺西貝塚","[寺西貝塚（板倉町）] 寺西貝塚 （てらにしかいづか）は、 群馬県 板倉町 大字海老瀬にある 縄文時代 の 貝塚 である。旧・ 渡良瀬川 左岸、現・渡良瀬川右岸、 渡良瀬遊水池 の西側に位置し、東武鉄道日光線の西側にある。西側に広がる水田から見ると5m以上の崖の上にあり、 台地 （海老瀬台地）に構成されていることが分かる。","https://ja.wikipedia.org/wiki/寺西貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度13分57.2秒 東経139度38分45.4秒","","","","","","","","","","","","","","","","","","",""
"離山貝塚 (存在しないページ)","[離山貝塚（板倉町）]","https://ja.wikipedia.org/w/index.php?title=離山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"一峰貝塚 (存在しないページ)","[一峰貝塚（板倉町）]","https://ja.wikipedia.org/w/index.php?title=一峰貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"花積貝塚 (存在しないページ)","[花積貝塚（春日部市）]","https://ja.wikipedia.org/w/index.php?title=花積貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神明貝塚","[神明貝塚（〃）(国指定史跡)] 春日部市 最北部に位置する。 埋蔵文化財包蔵地 としては 北葛飾郡 杉戸町 まで伸びる。貝塚部分は東西約180m、南北約120mに広がる。貝塚はヤマトシジミを主体とする。堀之内式〜加曾利B式の土器が主体的に出土する。","https://ja.wikipedia.org/wiki/神明貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度2分16.1秒 東経139度48分22.5秒","","","","","","","","","","","","","","","","","","",""
"側ヶ谷戸貝塚 (存在しないページ)","[側ヶ谷戸貝塚（さいたま市西区）]","https://ja.wikipedia.org/w/index.php?title=側ヶ谷戸貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"円阿弥貝塚 (存在しないページ)","[円阿弥貝塚（さいたま市中央区）]","https://ja.wikipedia.org/w/index.php?title=円阿弥貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大戸貝塚 (存在しないページ)","[大戸貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=大戸貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日向貝塚 (存在しないページ)","[日向貝塚（さいたま市桜区）]","https://ja.wikipedia.org/w/index.php?title=日向貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"別所真福寺貝塚 (存在しないページ)","[別所真福寺貝塚（さいたま市南区）]","https://ja.wikipedia.org/w/index.php?title=別所真福寺貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白幡貝塚 (存在しないページ)","[白幡貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=白幡貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大谷場貝塚 (存在しないページ)","[大谷場貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=大谷場貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
