"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"深堀町停留場","深堀町停留場（ふかぼりちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/深堀町停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯41度47分13.75秒東経140度46分12.1秒","函館市電湯の川線","1.8 km（湯の川起点）","函館市企業局交通部","地上駅（停留場）","1913年6月29日","2面2線","北海道函館市柏木町24-17先、34-25先北緯41度47分13.75秒東経140度46分12.1秒﻿ / ﻿北緯41.7871528度 東経140.770028度﻿ /41.7871528; 140.770028﻿ (深堀町停留場)座標:北緯41度47分13.75秒東経140度46分12.1秒﻿ / ﻿北緯41.7871528度 東経140.770028度﻿ /41.7871528; 140.770028﻿ (深堀町停留場)","","DY06","","","898[1]人/日-2019年-","","","","","","",""
"深溝駅","深溝駅（ふかみぞえき）","https://ja.wikipedia.org/wiki/深溝駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度2分49.16秒東経131度22分16.73秒","■宇部線","5.9 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1925年（大正14年）3月26日","2面2線","山口県山口市深溝字松原南1597[1]北緯34度2分49.16秒東経131度22分16.73秒﻿ / ﻿北緯34.0469889度 東経131.3713139度﻿ /34.0469889; 131.3713139座標:北緯34度2分49.16秒東経131度22分16.73秒﻿ / ﻿北緯34.0469889度 東経131.3713139度﻿ /34.0469889; 131.3713139","無人駅","","フミ","85人/日（降車客含まず）-2019年-","","","","","","","",""
"深谷駅","深谷駅（ふかやえき）","https://ja.wikipedia.org/wiki/深谷駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度11分29.41秒東経139度16分51.64秒","■高崎線","45.8 km（大宮起点）東京から尾久経由で76.3 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1883年（明治16年）10月21日[1]","2面3線[1]","埼玉県深谷市西島町三丁目1-8北緯36度11分29.41秒東経139度16分51.64秒﻿ / ﻿北緯36.1915028度 東経139.2810111度﻿ /36.1915028; 139.2810111﻿ (深谷駅)","業務委託駅みどりの窓口有[1]","","フカ","10,013人/日（降車客含まず）-2019年-","","","","","","","",""
"ふかや花園駅","ふかや花園駅（ふかやはなぞのえき）","https://ja.wikipedia.org/wiki/ふかや花園駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度7分50.725秒東経139度14分53.174秒","■秩父本線","28.2 km（羽生起点）","秩父鉄道","地上駅","2018年（平成30年）10月20日","1面1線","埼玉県深谷市黒田113北緯36度7分50.725秒東経139度14分53.174秒﻿ / ﻿北緯36.13075694度 東経139.24810389度﻿ /36.13075694; 139.24810389座標:北緯36度7分50.725秒東経139度14分53.174秒﻿ / ﻿北緯36.13075694度 東経139.24810389度﻿ /36.13075694; 139.24810389","","","","81人/日（降車客含まず）-2019年-","161人/日-2019年-","","","","","","",""
"富貴駅","富貴駅（ふきえき）","https://ja.wikipedia.org/wiki/富貴駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度49分45秒東経136度55分0.7秒","河和線","22.3 km（太田川起点）","名古屋鉄道","地上駅","1932年（昭和7年）7月1日","2面3線","知多郡武豊町富貴外前田5-5北緯34度49分45秒東経136度55分0.7秒﻿ / ﻿北緯34.82917度 東経136.916861度﻿ /34.82917; 136.916861座標:北緯34度49分45秒東経136度55分0.7秒﻿ / ﻿北緯34.82917度 東経136.916861度﻿ /34.82917; 136.916861","終日駅員配置駅","KC  17 ","","","2,513人/日-2019年[1]-","","","","","","",""
"吹上駅 (埼玉県)","吹上駅 (埼玉県)（ふきあげえき・東日本旅客鉄道高崎線）","https://ja.wikipedia.org/wiki/吹上駅_(埼玉県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度6分11.65秒東経139度27分11.41秒","■高崎線","27.3 km（大宮起点）東京から尾久経由で57.8 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）*","地上駅（橋上駅）","1885年（明治18年）3月1日[1]","2面3線[1]","埼玉県鴻巣市吹上本町一丁目1-1北緯36度6分11.65秒東経139度27分11.41秒﻿ / ﻿北緯36.1032361度 東経139.4531694度﻿ /36.1032361; 139.4531694﻿ (吹上駅)","業務委託駅みどりの窓口有[1]","","フキ","8,899人/日（降車客含まず）-2019年-","","","","","","","",""
"吹上駅 (愛知県)","吹上駅 (愛知県)（ふきあげえき・名古屋市営地下鉄桜通線）","https://ja.wikipedia.org/wiki/吹上駅_(愛知県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度9分32秒東経136度56分7秒","桜通線","7.4 km（中村区役所起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1994年（平成6年）3月30日[2]","1面2線","名古屋市千種区千種通七丁目24-2北緯35度9分32秒東経136度56分7秒﻿ / ﻿北緯35.15889度 東経136.93528度﻿ /35.15889; 136.93528座標:北緯35度9分32秒東経136度56分7秒﻿ / ﻿北緯35.15889度 東経136.93528度﻿ /35.15889; 136.93528","","S09","","7,630人/日（降車客含まず）-2019年-","14,884[1]人/日-2019年-","","","","","","",""
"福駅","福駅（ふくえき）","https://ja.wikipedia.org/wiki/福駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度41分59.37秒東経135度26分33.53秒","阪神なんば線","3.4 km（尼崎起点）","阪神電気鉄道","地上駅・上下別駅舎","1924年（大正13年）1月20日","2面2線","大阪市西淀川区福町二丁目3-28北緯34度41分59.37秒東経135度26分33.53秒﻿ / ﻿北緯34.6998250度 東経135.4426472度﻿ /34.6998250; 135.4426472座標:北緯34度41分59.37秒東経135度26分33.53秒﻿ / ﻿北緯34.6998250度 東経135.4426472度﻿ /34.6998250; 135.4426472","","HS48","","","","","13,165人/日-2019年-","","","","",""
"福居駅","福居駅（ふくいえき・東武伊勢崎線）","https://ja.wikipedia.org/wiki/福居駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度18分19.70秒東経139度27分30.07秒","■伊勢崎線","83.9 km（浅草起点）","東武鉄道","地上駅","1907年（明治40年）8月27日","2面2線","栃木県足利市福居町1157-1北緯36度18分19.70秒東経139度27分30.07秒﻿ / ﻿北緯36.3054722度 東経139.4583528度﻿ /36.3054722; 139.4583528﻿ (福居駅)座標:北緯36度18分19.70秒東経139度27分30.07秒﻿ / ﻿北緯36.3054722度 東経139.4583528度﻿ /36.3054722; 139.4583528﻿ (福居駅)","業務委託駅","TI13","フク","","810人/日-2019年-","","","","","","",""
"福井駅 (福井県)","福井駅 (福井県)（ふくいえき・西日本旅客鉄道北陸本線・えちぜん鉄道勝山永平寺線）","https://ja.wikipedia.org/wiki/福井駅_(福井県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）えちぜん鉄道（駅詳細）福井鉄道（福井駅停留場・駅詳細）","","","","福井県福井市中央一丁目","","","","","","","","","","","",""
"福井駅 (岡山県)","福井駅 (岡山県)（ふくいえき・水島臨海鉄道水島本線）","https://ja.wikipedia.org/wiki/福井駅_(岡山県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度34分12.06秒東経133度44分39.99秒","水島本線","4.4 km（倉敷市起点）","水島臨海鉄道","地上駅","1989年（平成元年）3月29日","1面1線","岡山県倉敷市福井北緯34度34分12.06秒東経133度44分39.99秒座標:北緯34度34分12.06秒 東経133度44分39.99秒","無人駅","MR3","フク","268人/日（降車客含まず）-2018年-","536人/日-2018年-","","","","","","",""
"福井駅 (福井県)","福井駅停留場（ふくいえきていりゅうじょう）","https://ja.wikipedia.org/wiki/福井駅_(福井県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）えちぜん鉄道（駅詳細）福井鉄道（福井駅停留場・駅詳細）","","","","福井県福井市中央一丁目","","","","","","","","","","","",""
"福井口駅","福井口駅（ふくいぐちえき）","https://ja.wikipedia.org/wiki/福井口駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度4分17秒東経136度13分59.5秒","■勝山永平寺線","1.5 km（福井起点）","えちぜん鉄道","高架駅","1914年（大正3年）2月11日","1面3線","福井県福井市宝永一丁目25-1北緯36度4分17秒東経136度13分59.5秒﻿ / ﻿北緯36.07139度 東経136.233194度﻿ /36.07139; 136.233194座標:北緯36度4分17秒東経136度13分59.5秒﻿ / ﻿北緯36.07139度 東経136.233194度﻿ /36.07139; 136.233194","* 全ての列車が勝山永平寺線新福井方へ直通。","○E3","","","512人/日-2018年-","","","","","","",""
"福井城址大名町駅","福井城址大名町駅（ふくいじょうしだいみょうまちえき）","https://ja.wikipedia.org/wiki/福井城址大名町駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度3分48秒東経136度13分3秒","福武線","19.6 km（越前武生起点）","福井鉄道","地上駅","1933年（昭和8年）10月15日","2面2線","福井県福井市大手三丁目北緯36度3分48秒東経136度13分3秒﻿ / ﻿北緯36.06333度 東経136.21750度﻿ /36.06333; 136.21750﻿ (市役所前駅 (福井県))座標:北緯36度3分48秒東経136度13分3秒﻿ / ﻿北緯36.06333度 東経136.21750度﻿ /36.06333; 136.21750﻿ (市役所前駅 (福井県))","*2018年（平成30年）3月24日、市役所前駅から改称","○F21","","","224人/日-2019年-","","","","","","",""
"福浦駅","福浦駅（ふくうらえき）","https://ja.wikipedia.org/wiki/福浦駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度20分58.6秒東経139度38分54.8秒","■金沢シーサイドライン","5.6 km（新杉田起点）","横浜シーサイドライン","高架駅","1989年（平成元年）7月5日[1]","島式 1面2線","横浜市金沢区福浦二丁目北緯35度20分58.6秒東経139度38分54.8秒﻿ / ﻿北緯35.349611度 東経139.648556度﻿ /35.349611; 139.648556﻿ (福浦駅)座標:北緯35度20分58.6秒東経139度38分54.8秒﻿ / ﻿北緯35.349611度 東経139.648556度﻿ /35.349611; 139.648556﻿ (福浦駅)","無人駅","8","","2,063人/日（降車客含まず）-2019年-","4,236人/日-2019年-","","","","","","",""
"福江駅","福江駅（ふくええき）","https://ja.wikipedia.org/wiki/福江駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度2分49.25秒東経130度54分55.94秒","■山陰本線","665.6 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1914年（大正3年）4月22日[1]","1面1線","山口県下関市大字福江字浜野原1466北緯34度2分49.25秒東経130度54分55.94秒﻿ / ﻿北緯34.0470139度 東経130.9155389度﻿ /34.0470139; 130.9155389座標:北緯34度2分49.25秒東経130度54分55.94秒﻿ / ﻿北緯34.0470139度 東経130.9155389度﻿ /34.0470139; 130.9155389","無人駅","","フエ","47人/日（降車客含まず）-2019年-","","","","","","","",""
"福岡駅","福岡駅（ふくおかえき）","https://ja.wikipedia.org/wiki/福岡駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度42分29.85秒東経136度55分54.06秒","■あいの風とやま鉄道線","14.0 km（倶利伽羅起点）金沢から31.8 km米原から208.4 km","あいの風とやま鉄道","地上駅","1898年（明治31年）11月1日","2面3線","富山県高岡市福岡町下蓑321北緯36度42分29.85秒東経136度55分54.06秒﻿ / ﻿北緯36.7082917度 東経136.9316833度﻿ /36.7082917; 136.9316833座標:北緯36度42分29.85秒東経136度55分54.06秒﻿ / ﻿北緯36.7082917度 東経136.9316833度﻿ /36.7082917; 136.9316833","業務委託駅","","フオ←フヲ","991人/日（降車客含まず）-2019年-","","","","","","","",""
"福岡貨物ターミナル駅","福岡貨物ターミナル駅（ふくおかかもつターミナルえき）","https://ja.wikipedia.org/wiki/福岡貨物ターミナル駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度38分0.9秒東経130度25分9.7秒","鹿児島本線貨物支線（博多臨港線）","3.7 km（香椎起点）","日本貨物鉄道（JR貨物）","地上駅","1975年（昭和50年）3月10日","","福岡市東区箱崎ふ頭2丁目3-2北緯33度38分0.9秒東経130度25分9.7秒﻿ / ﻿北緯33.633583度 東経130.419361度﻿ /33.633583; 130.419361座標:北緯33度38分0.9秒東経130度25分9.7秒﻿ / ﻿北緯33.633583度 東経130.419361度﻿ /33.633583; 130.419361","貨物専用駅","","フレ","","","","","","","","",""
"福岡空港駅","福岡空港駅（ふくおかくうこうえき）","https://ja.wikipedia.org/wiki/福岡空港駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度35分49.48秒東経130度26分54.75秒","空港線","13.1 km（姪浜起点）","福岡市交通局","地下駅","1993年（平成5年）3月3日","1面2線","福岡市博多区大字下臼井北緯33度35分49.48秒東経130度26分54.75秒﻿ / ﻿北緯33.5970778度 東経130.4485417度﻿ /33.5970778; 130.4485417座標:北緯33度35分49.48秒東経130度26分54.75秒﻿ / ﻿北緯33.5970778度 東経130.4485417度﻿ /33.5970778; 130.4485417","業務委託駅","○K13","","27,742人/日（降車客含まず）-2018年-","","","","","","","",""
"福音寺駅","福音寺駅（ふくおんじえき）","https://ja.wikipedia.org/wiki/福音寺駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度49分21.37秒東経132度47分19.12秒","横河原線","2.9 km（松山市起点）","伊予鉄道","地上駅","1968年1月1日","単式1面1線","愛媛県松山市福音寺町北緯33度49分21.37秒東経132度47分19.12秒﻿ / ﻿北緯33.8226028度 東経132.7886444度﻿ /33.8226028; 132.7886444﻿ (福音寺駅)","福音寺スポーツセンター前として開業","●IY13","","","1,698[1]人/日-2019年-","","","","","","",""
"福神駅","福神駅（ふくがみえき）","https://ja.wikipedia.org/wiki/福神駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度23分43.3秒東経135度45分0.67秒","F吉野線","12.8km（橿原神宮前起点）大阪阿部野橋から52.5 km","近畿日本鉄道（近鉄）","地上駅（橋上駅）","1924年（大正13年）5月11日","2面2線","奈良県吉野郡大淀町薬水599-4北緯34度23分43.3秒東経135度45分0.67秒﻿ / ﻿北緯34.395361度 東経135.7501861度﻿ /34.395361; 135.7501861座標:北緯34度23分43.3秒東経135度45分0.67秒﻿ / ﻿北緯34.395361度 東経135.7501861度﻿ /34.395361; 135.7501861",""," F50 ","フカ","1,399人/日（降車客含まず）-2018年-","","","","","","","",""
"福川駅","福川駅（ふくがわえき）","https://ja.wikipedia.org/wiki/福川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度4分19.88秒東経131度44分17.94秒","■山陽本線","421.9 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1898年（明治31年）3月17日","2面2線","山口県周南市社地町6-1北緯34度4分19.88秒東経131度44分17.94秒﻿ / ﻿北緯34.0721889度 東経131.7383167度﻿ /34.0721889; 131.7383167座標:北緯34度4分19.88秒東経131度44分17.94秒﻿ / ﻿北緯34.0721889度 東経131.7383167度﻿ /34.0721889; 131.7383167","無人駅（自動券売機 有）","","フワ","747人/日（降車客含まず）-2019年-","","","","","","","",""
"福崎駅","福崎駅（ふくさきえき）","https://ja.wikipedia.org/wiki/福崎駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","J播但線","17.1 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1894年（明治27年）7月26日[1]","2面3線[1]","","直営駅[1]（管理駅）みどりの券売機プラス有","","フサ","1,733人/日（降車客含まず）-2016年-","","","","","","","",""
"福島駅 (福島県)","福島駅 (福島県)（ふくしまえき・東日本旅客鉄道東北新幹線・東北本線・奥羽本線・阿武隈急行線・福島交通飯坂線）","https://ja.wikipedia.org/wiki/福島駅_(福島県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）阿武隈急行（駅詳細）福島交通（駅詳細）","","","","福島県福島市栄町1番1号","","","","","","","","","","","",""
"福島駅 (JR西日本)","福島駅 (JR西日本)（ふくしまえき・西日本旅客鉄道大阪環状線）","https://ja.wikipedia.org/wiki/福島駅_(JR西日本)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度41分49.66秒東経135度29分11.69秒","O大阪環状線","1.0 km（大阪起点）","西日本旅客鉄道（JR西日本）","高架駅","1898年（明治31年）4月5日","1面2線","大阪市福島区福島七丁目1-3北緯34度41分49.66秒東経135度29分11.69秒﻿ / ﻿北緯34.6971278度 東経135.4865806度﻿ /34.6971278; 135.4865806﻿ (福島駅)座標:北緯34度41分49.66秒東経135度29分11.69秒﻿ / ﻿北緯34.6971278度 東経135.4865806度﻿ /34.6971278; 135.4865806﻿ (福島駅)","直営駅みどりの窓口有大阪市内駅","JR-O12","フク","30,106人/日（降車客含まず）-2019年-","","福島駅（阪神本線）中之島駅（京阪中之島線）","","","","","",""
"福島駅 (阪神)","福島駅 (阪神)（ふくしまえき・阪神本線）","https://ja.wikipedia.org/wiki/福島駅_(阪神)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度41分45.7秒東経135度29分17.79秒","本線","1.1 km（大阪梅田起点）","阪神電気鉄道","地下駅","1905年（明治38年）4月12日","2面2線","大阪市福島区福島五丁目8-10北緯34度41分45.7秒東経135度29分17.79秒﻿ / ﻿北緯34.696028度 東経135.4882750度﻿ /34.696028; 135.4882750﻿ (福島駅)座標:北緯34度41分45.7秒東経135度29分17.79秒﻿ / ﻿北緯34.696028度 東経135.4882750度﻿ /34.696028; 135.4882750﻿ (福島駅)","","HS02","","","","西日本旅客鉄道（JR西日本）-福島駅（大阪環状線）*-新福島駅（JR東西線）*京阪電気鉄道中之島駅（中之島線）*","11,082人/日-2019年-","","","","",""
