"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","城郭構造","遺構","築城年","廃城年","築城主","主な城主","別名","天守構造","再建造物","時代","主な改修者","文化財","標高","種類","形状"
"ウサクマイ遺跡群","[ウサクマイ遺跡群（うさくまいいせきぐん）〔千歳市〕] ウサクマイ遺跡群 （ウサクマイいせきぐん）は、 北海道 千歳市 蘭越にある遺跡。 1979年 に、国指定の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/ウサクマイ遺跡群","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度48分32.6秒 東経141度34分27.6秒","","","","","","","","","","","","","","","","","","",""
"キウス周堤墓群","[キウス周堤墓群（きうすしゅうていぼぐん）〔千歳市〕] キウス周堤墓群 （キウスしゅうていぼぐん）は、 北海道 千歳市 にある縄文後期の集団墓8基で構成される 史跡  。 1979年 10月23日に国指定の史跡となった  。","https://ja.wikipedia.org/wiki/キウス周堤墓群","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯34度46分55.3秒東経137度28分59.9秒","","北海道千歳市","","","","","","","","","","","","","","","","集団墓",""
"江別古墳群","[江別古墳群（えべつこふんぐん）〔江別市〕] 江別古墳群 （えべつこふんぐん）は、 北海道 江別市 にある 群集墳 である。国の 史跡 に指定されている。日本にあるものの中では最も北に位置する 古墳 として知られる。","https://ja.wikipedia.org/wiki/江別古墳群","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度7分1.5秒東経141度30分58.9秒","北緯43度7分1.5秒東経141度30分58.9秒﻿ / ﻿北緯43.117083度 東経141.516361度﻿ /43.117083; 141.516361﻿ (江別古墳群)座標:北緯43度7分1.5秒東経141度30分58.9秒﻿ / ﻿北緯43.117083度 東経141.516361度﻿ /43.117083; 141.516361﻿ (江別古墳群)","〒067-0032北海道江別市元江別858番4","江別古墳群","","","","","","","","後藤遺跡","","","","","","","","末期古墳"
"音江環状列石","[音江環状列石（おとえかんじょうれっせき）〔深川市〕] 音江環状列石 （おとえかんじょうれっせき）は、 北海道 深川市 音江に所在する 縄文時代 の 環状列石 群である。別称は、 音江環状石籬 である。 1928年 （ 昭和 3年）、北海道指定の史跡に指定され、 1956年 （昭和31年） 12月28日 、国の史跡に指定されている  。","https://ja.wikipedia.org/wiki/音江環状列石","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度40分26.5秒 東経142度2分1.1秒","","","","","","","","","","","","","","","","","","",""
"入江・高砂貝塚","[入江・高砂貝塚（いりえ・たかさごかいづか）〔虻田郡洞爺湖町〕] 入江・高砂貝塚 （いりえ・たかさご かいづか）は、 北海道 洞爺湖町 入江と 高砂町 の 内浦湾 を望む標高10メートルから20メートルの台地上に位置する、 縄文時代 前期末から晩期中葉（紀元前3,500年-紀元前800年ごろ）にかけての 貝塚 を伴う遺跡  。 1988年 5月13日に国史跡に指定された。","https://ja.wikipedia.org/wiki/入江・高砂貝塚","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度32分50秒 東経140度46分13秒","","","","","","","","","","","","","","","","","","",""
"北黄金貝塚","[北黄金貝塚（きたこがねかいづか）〔伊達市〕] 北黄金貝塚 （きたこがねかいづか）は、 北海道 伊達市 北黄金町 にある 縄文時代 前期・中期の大規模な 貝塚 遺跡（集落遺跡）。北海道にある縄文貝塚の1/5の 面積 を占める巨大なものである   。 1987年 12月25日に国史跡に指定されている  。　","https://ja.wikipedia.org/wiki/北黄金貝塚","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度24分07秒 東経140度54分38秒","","","","","","","","","","","","","","","","","","",""
"有珠善光寺","[善光寺跡（ぜんこうじあと）〔伊達市〕] 有珠善光寺 （うすぜんこうじ）は、 北海道 伊達市 にある 寺院 。「善光寺跡」として国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/有珠善光寺","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度31分16秒東経140度46分48秒","北緯42度31分16秒東経140度46分48秒﻿ / ﻿北緯42.52111度 東経140.78000度﻿ /42.52111; 140.78000座標:北緯42度31分16秒東経140度46分48秒﻿ / ﻿北緯42.52111度 東経140.78000度﻿ /42.52111; 140.78000","北海道伊達市有珠町124番地","","","","","","","","","","","","","","蝦夷三官寺善光寺関係資料62点（国の重要文化財）、円空仏（北海道指定有形文化財）など。","","",""
"モロラン陣屋跡 (存在しないページ)","[モロラン陣屋跡（もろらんじんやあと）〔室蘭市〕]","https://ja.wikipedia.org/w/index.php?title=モロラン陣屋跡&amp;action=edit&amp;redlink=1","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ヲシャマンベ陣屋跡 (存在しないページ)","[ヲシャマンベ陣屋跡（おしゃまんべじんやあと）〔山越郡長万部町〕（道南）]","https://ja.wikipedia.org/w/index.php?title=ヲシャマンベ陣屋跡&amp;action=edit&amp;redlink=1","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"砂原陣屋跡 (存在しないページ)","[砂原陣屋跡（さわらじんやあと）〔茅部郡森町〕（道南）]","https://ja.wikipedia.org/w/index.php?title=砂原陣屋跡&amp;action=edit&amp;redlink=1","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白老仙台藩陣屋跡","[白老仙台藩陣屋跡（しらおいせんだいはんじんやあと）〔白老郡白老町〕] 利用案内","https://ja.wikipedia.org/wiki/白老仙台藩陣屋跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度33分51秒 東経141度20分36秒","","〒059-0912日本北海道白老郡白老町陣屋町681-4","","","","","","","","","","","","","","","","",""
"静川遺跡","[静川遺跡（しずかわいせき）〔苫小牧市〕　1987年1月8日] 静川遺跡 （しずかわいせき）は、 北海道 苫小牧市 周辺にある苫東遺跡群の一つ。苫東遺跡群は、 旧石器時代 より アイヌ 期にかけての遺跡が確認されているが、その中でも静川遺跡は、余市式土器群を出土する 縄文時代 の遺跡であり、 集落 の周りを環濠で区画されている。縄文時代の 環濠集落 は、国内からの発見例はほかになく、特異なものである  。","https://ja.wikipedia.org/wiki/静川遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"シベチャリ川流域チャシ跡群及びアッペツチャシ跡 (存在しないページ)","[シベチャリ川流域チャシ跡群及びアッペツチャシ跡（しべちゃりがわりゅういきちゃしあとぐんおよびあっぺつちゃしあと）〔日高郡新ひだか町・沙流郡日高町〕]","https://ja.wikipedia.org/w/index.php?title=シベチャリ川流域チャシ跡群及びアッペツチャシ跡&amp;action=edit&amp;redlink=1","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旧留萌佐賀家漁場","[旧留萌佐賀家漁場（きゅうるもいさがけぎょば）〔留萌市〕　1997年3月17日] 旧留萌佐賀家漁場 （きゅうるもいさがけぎょば）は、 北海道 留萌市 礼受町にある 漁場 跡。1997年3月11日、漁場施設のあるエリアを中心に 国史跡 に指定された。現在は全域が国史跡となっており、また 近代化産業遺産 でもある。漁業は、 近世 〜 明治 に特に栄え、北海道の産業を支えるうえで欠かせない存在であった。そのような北海道の 日本海 沿岸における漁業形態の発展およびその歴史などを強く物語るのがこの漁場跡である  。","https://ja.wikipedia.org/wiki/旧留萌佐賀家漁場","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度54分49秒 東経141度37分03秒","","","","","","","","","","","","","","","","","","",""
"紋別郡","[白滝遺跡群（しらたきいせきぐん）〔紋別郡遠軽町〕] 紋別郡 （もんべつぐん）は、 北海道 （ 北見国 ） オホーツク総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/紋別郡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"常呂遺跡","[常呂遺跡（ところいせき）〔北見市〕] 常呂遺跡 （ところいせき）は、 北海道 北見市 （旧 常呂郡 常呂町 、 北見国 ）にある 擦文文化 期および オホーツク文化 期の 遺跡  。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/常呂遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯44度7分3.7秒東経144度4分38.8秒","","北海道北見市常呂町字栄浦","","","","","","","","","","","","擦文文化・オホーツク文化","","","","遺跡",""
"桂ヶ岡砦跡","[桂ヶ岡砦跡（かつらがおかちゃしあと）〔網走市〕] 桂ヶ岡砦跡 （かつらがおかちゃしあと）は 北海道 網走市 にある近世 アイヌ 文化期の遺跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/桂ヶ岡砦跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯44度1分4.5秒 東経144度16分11秒","","","","","","","","","","","","","","","","","","",""
