"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","本尊","創建年","文化財","法人番号","開基","宗派","山号","寺格","面積","札所等","公式HP","正式名","開山","分類","公式サイト","別称","宗旨"
"兼六園","[兼六園（けんろくえん）日本三名園] 兼六園 （けんろくえん）は、 石川県 金沢市 に存在する 日本庭園 である。国の 特別名勝 に指定されている。広さは約11.7 ヘクタール 。","https://ja.wikipedia.org/wiki/兼六園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯36度33分43.7秒東経136度39分45.0秒","日本石川県金沢市","","","","","","","","","","総面積 11.7ヘクタール","","","","","池泉回遊式日本庭園","兼六園（石川県）","",""
"一乗谷朝倉氏遺跡","[一乗谷朝倉氏庭園（いちじょうだにあさくらしていえん）「一乗谷朝倉氏遺跡」として特別史跡に指定] 一乗谷朝倉氏遺跡 （いちじょうだに あさくらし いせき）は、 福井県 福井市 城戸ノ内町にある 戦国時代 の 遺跡 （ 日本の城 ）である。戦国時代に 一乗谷城 を中心に 越前国 を支配した戦国大名 朝倉氏 の遺跡。一乗谷城（ 山城 ）と山麓の 城下町 （朝倉氏および家臣の居館）からなる。","https://ja.wikipedia.org/wiki/一乗谷朝倉氏遺跡","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度59分58.17秒東経136度17分44.03秒","","北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639座標:北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639","","","","","","","","","","","","","","","","",""
"天橋立","[天橋立（あまのはしだて） 日本三景] 天橋立 （あまのはしだて）は、 京都府 宮津市 の 宮津湾 と 内海 の 阿蘇海 を南北に隔てる全長3.6 キロメートル の湾口 砂州  。 日本三景 の一つであり    、 2013年 の観光入込客数は178万1900人と 京都市 を除いた京都府内の観光地で第1位である  。","https://ja.wikipedia.org/wiki/天橋立","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大仙院","[大仙院書院庭園（だいせんいんしょいんていえん）史跡との重複指定] 大仙院 （だいせんいん）は、 京都府 京都市 北区 にある 臨済宗 の 大徳寺 内にある 塔頭 寺院 。","https://ja.wikipedia.org/wiki/大仙院","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度2分40.44秒東経135度44分45.42秒","京都府京都市北区紫野大徳寺町54-1","北緯35度2分40.44秒東経135度44分45.42秒﻿ / ﻿北緯35.0445667度 東経135.7459500度﻿ /35.0445667; 135.7459500座標:北緯35度2分40.44秒東経135度44分45.42秒﻿ / ﻿北緯35.0445667度 東経135.7459500度﻿ /35.0445667; 135.7459500","釈迦牟尼仏","永正6年（1509年）","方丈、大燈国師墨蹟（国宝）方丈障壁画ほか（重要文化財）書院庭園（史跡、特別名勝）、庭園（名勝）","2130005001219","古嶽宗亘","臨済宗大徳寺派北派","","大徳寺塔頭、北派本庵","","","","","","","","",""
"大徳寺","[大徳寺方丈庭園（だいとくじほうじょうていえん） 史跡との重複指定] 大徳寺 （だいとくじ、旧字体：大德寺）は、 京都府 京都市 北区 紫野大徳寺町にある 寺院 で、 臨済宗 大徳寺派の大本山である。山号は龍宝山（りゅうほうざん）。本尊は 釈迦如来 。開基（創立者）は大燈国師 宗峰妙超 で、 正中 2年（ 1325年 ）に正式に創立されている。","https://ja.wikipedia.org/wiki/大徳寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度2分38.10秒東経135度44分45.89秒","京都府京都市北区紫野大徳寺町53","北緯35度2分38.10秒東経135度44分45.89秒﻿ / ﻿北緯35.0439167度 東経135.7460806度﻿ /35.0439167; 135.7460806","釈迦如来","正中2年（1325年）","方丈、唐門、絹本墨画淡彩観音猿鶴図ほか（国宝）勅使門、山門、仏殿、法堂、木造大燈国師坐像ほか（重要文化財）方丈庭園（非公開）（史跡・特別名勝）","3130005001234","宗峰妙超","臨済宗大徳寺派","龍宝山","大本山京都五山→林下","","","","龍宝山大徳寺","","","","",""
"鹿苑寺","[鹿苑寺（金閣寺）庭園（ろくおんじ（きんかくじ）ていえん） 特別史跡との重複指定] 鹿苑寺 （ろくおんじ）は、 京都市 北区 金閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。建物の内外に 金箔 が貼られた舎利殿から、 金閣寺 （きんかくじ）として知られている  。 山号 は北山。正式には、 北山鹿苑禅寺 （ほくざんろくおんぜんじ）と号する。","https://ja.wikipedia.org/wiki/鹿苑寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度2分21.85秒東経135度43分45.71秒","京都府京都市北区金閣寺町1","北緯35度2分21.85秒東経135度43分45.71秒﻿ / ﻿北緯35.0394028度 東経135.7293639度﻿ /35.0394028; 135.7293639﻿ (鹿苑寺)座標:北緯35度2分21.85秒東経135度43分45.71秒﻿ / ﻿北緯35.0394028度 東経135.7293639度﻿ /35.0394028; 135.7293639﻿ (鹿苑寺)","観音菩薩（方丈本尊）","応永4年（1397年）","絹本著色足利義満像、大書院障壁画ほか（重要文化財）庭園（特別史跡、特別名勝）世界遺産","3130005001267","足利義満","臨済宗相国寺派","北山（ほくざん）","相国寺境外塔頭","","神仏霊場巡拝の道第93番（京都第13番）","臨済宗相国寺派 金閣寺","北山鹿苑禪寺","夢窓疎石（勧請）","","","金閣寺北山殿北山第",""
"龍安寺","[龍安寺方丈庭園（りょうあんじほうじょうていえん） 史跡との重複指定] 龍安寺 （りょうあんじ）は、 京都市 右京区 龍安寺御陵下町にある 臨済宗妙心寺派 の 寺院 。 妙心寺 の境外 塔頭 である   。 山号 は大雲山と号し、石庭で知られる。本尊は 釈迦如来 、開基（創建者）は 細川勝元 、 開山 （初代住職）は 義天玄承 である。「 古都京都の文化財 」として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/龍安寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度2分4.18秒東経135度43分5.71秒","京都府京都市右京区龍安寺御陵下町13","北緯35度2分4.18秒東経135度43分5.71秒﻿ / ﻿北緯35.0344944度 東経135.7182528度﻿ /35.0344944; 135.7182528座標:北緯35度2分4.18秒東経135度43分5.71秒﻿ / ﻿北緯35.0344944度 東経135.7182528度﻿ /35.0344944; 135.7182528","釈迦如来","宝徳2年（1450年）","方丈、太平記12冊（重要文化財）方丈庭園（史跡・特別名勝）庭園（名勝）世界遺産","3130005001201","細川勝元","臨済宗妙心寺派","大雲山","境外塔頭","","","大雲山 龍安寺","","義天玄承","","","",""
"慈照寺","[慈照寺（銀閣寺）庭園（じしょうじ（ぎんかくじ）ていえん） 特別史跡との重複指定] 慈照寺 （じしょうじ）は、 京都市 左京区 銀閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。観音殿（銀閣）から 銀閣寺 （ぎんかくじ）として知られている。正式には、東山慈照禅寺（とうざんじしょうぜんじ）と号する。 山号 は 東山 （とうざん）。 開基 （創立者）は 足利義政 、 開山 は 夢窓疎石 とされているが、夢窓疎石は実際には当寺創建より1世紀ほど前の人物であり、勧請開山である。","https://ja.wikipedia.org/wiki/慈照寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度1分36.75秒東経135度47分53.7秒","京都府京都市左京区銀閣寺町2","北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)座標:北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)","釈迦如来","延徳2年（1490年）","観音殿、東求堂（国宝）絹本著色春屋妙葩像（重要文化財）庭園（特別名勝、特別史跡）世界遺産","4130005001290","足利義政","相国寺派","東山（とうざん）","相国寺境外塔頭","","神仏霊場巡拝の道第109番（京都第29番）","臨済宗相国寺派 銀閣寺","東山慈照禪寺","夢窓疎石（勧請開山）","","","銀閣寺、銀閣東山殿、東山山荘","禅宗（臨済宗）"
"法金剛院","[法金剛院青女滝 附五位山（ほうこんごういんせいじょのたき つけたり ごいさん）] 法金剛院 （ほうこんごういん）は、 京都市 右京区 花園 にある 律宗 の 寺院 。境内に現存する 浄土式庭園 の一隅にある 青女の瀧 は日本最古の人工 滝 とされており、国の 特別名勝 に指定されている。","https://ja.wikipedia.org/wiki/法金剛院","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度1分8.97秒東経135度42分57.38秒","京都府京都市右京区花園扇野町49","北緯35度1分8.97秒東経135度42分57.38秒﻿ / ﻿北緯35.0191583度 東経135.7159389度﻿ /35.0191583; 135.7159389座標:北緯35度1分8.97秒東経135度42分57.38秒﻿ / ﻿北緯35.0191583度 東経135.7159389度﻿ /35.0191583; 135.7159389","阿弥陀如来（重要文化財）","大治5年（1130年）","阿弥陀如来坐像（国宝）、十一面観音坐像、地蔵菩薩立像、僧形文殊坐像、蓮華式香炉（重要文化財）","4130005001349","待賢門院","律宗","五位山","","","関西花の寺二十五霊場第13番京都十三仏霊場第10番","","","","","","",""
"天龍寺","[天龍寺庭園（てんりゅうじていえん） 史跡との重複指定] 天龍寺 （てんりゅうじ）は、 京都市 右京区 嵯峨天龍寺芒ノ馬場町にある 臨済宗 天龍寺派 の 大本山 の 寺院 。 山号 は 霊亀山 （れいぎざん）。正式には 霊亀山天龍資聖禅寺 （れいぎざんてんりゅうしせいぜんじ）と号する。 本尊 は 釈迦如来 、 開基 （創立者）は 足利尊氏 、 開山 （初代住職）は 夢窓疎石 である。 足利将軍家 と 後醍醐天皇 ゆかりの禅寺として 京都五山 の第一位とされてきた。「 古都京都の文化財 」としてユネスコ 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/天龍寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度0分57.47秒東経135度40分25.58秒","京都府京都市右京区嵯峨天龍寺芒ノ馬場町68","北緯35度0分57.47秒東経135度40分25.58秒﻿ / ﻿北緯35.0159639度 東経135.6737722度﻿ /35.0159639; 135.6737722座標:北緯35度0分57.47秒東経135度40分25.58秒﻿ / ﻿北緯35.0159639度 東経135.6737722度﻿ /35.0159639; 135.6737722","釈迦如来","康永4年（1345年）","庭園（特別名勝・史跡）絹本著色夢窓国師像3幅、絹本著色観世音菩薩像、木造釈迦如来坐像ほか（重要文化財）世界遺産","1130005001112","足利尊氏","臨済宗天龍寺派","霊亀山（れいぎざん）","大本山、京都五山第一位","","神仏霊場巡拝の道第88番（京都第8番）","京都 嵯峨嵐山 臨済宗大本山 天龍寺 公式ホームページ","霊亀山天龍資聖禅寺","夢窓疎石","","","","臨済宗"
"二条城","[二条城二之丸庭園（にじょうじょうにのまるていえん）] 二条城 （にじょうじょう）は、 京都市 中京区 二条通 堀川 西入二条城町（かつての 山城国 葛野郡 ）にある、 江戸時代 に造営された 日本の城 。正式名称は 元離宮二条城 （もとりきゅうにじょうじょう）。京都市街の中にある 平城 で、後述する足利氏・織田氏・豊臣氏・徳川氏によるものがあるが、現存する 城 は 徳川氏 によるものである。また、後の近代において二条城は京都府の府庁や 皇室 の 離宮 として使用された後、 1939年 （昭和14年） 京都市 に 恩賜 され現在に至る。 城内全体が国の 史跡 に指定されている他、二の丸御殿（6棟）が 国宝 に、22棟の建造物と二の丸御殿の障壁画計1016面が 重要文化財 に、二の丸御殿庭園が 特別名勝 に指定されている。さらに 1994年 （平成6年）には ユネスコ の 世界遺産 （ 世界文化遺産 ）に「 古都京都の文化財 」として登録されている。","https://ja.wikipedia.org/wiki/二条城","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度0分50.96秒東経135度44分51.0秒","","北緯35度0分50.96秒東経135度44分51.0秒﻿ / ﻿北緯35.0141556度 東経135.747500度﻿ /35.0141556; 135.747500座標:北緯35度0分50.96秒東経135度44分51.0秒﻿ / ﻿北緯35.0141556度 東経135.747500度﻿ /35.0141556; 135.747500","","","","","","","","","","","","","","","","",""
"金地院","[金地院庭園（こんちいんていえん）] 金地院 （こんちいん）は、 京都市 左京区 南禅寺福地町にある 臨済宗南禅寺派 の 寺院 。 南禅寺 の 塔頭 であり、 江戸幕府 の法律や外交を担った僧・ 以心崇伝 が住したことで知られる。 僧録 司が置かれ、一塔頭寺院に留まらず 江戸時代 を通じて 五山 十刹 以下全ての住職の任命権を持つ事実上の最高機関とされた。また10万石の格式を持ち、「寺大名」とも呼ばれた。 小堀遠州 作の庭が国の 特別名勝 に指定されている。","https://ja.wikipedia.org/wiki/金地院","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度0分37.02秒東経135度47分25.56秒","京都府京都市左京区南禅寺福地町86-12","北緯35度0分37.02秒東経135度47分25.56秒﻿ / ﻿北緯35.0102833度 東経135.7904333度﻿ /35.0102833; 135.7904333","地蔵菩薩","応永年間（1394年-1427年）","紙本墨画溪陰小築図・絹本着色秋景冬景山水図（国宝）方丈、東照宮、茶室（京都三名席）、本光国師日記ほか（重要文化財）庭園（特別名勝）","4130005001101","足利義持","臨済宗南禅寺派","","南禅寺塔頭","","","","","大業徳基","","","",""
"西本願寺","[本願寺大書院庭園（ほんがんじだいしょいんていえん） 史跡との重複指定] 西本願寺 （にしほんがんじ）は、 京都市 下京区 にある 仏教 寺院 。 浄土真宗本願寺派 の 本山 である。 山号 は龍谷山（りゅうこくざん）。正式名称は 龍谷山 本願寺 、 宗教法人 としての名称は 本願寺 である。本願寺 住職 が 浄土真宗本願寺派 の 門主 となる。 真宗大谷派 の本山である 「東本願寺」（正式名称「真宗本廟」） と区別するため、両派の本山は通称で呼ばれることが多い。京都市民からは お西さん の愛称でも親しまれている。","https://ja.wikipedia.org/wiki/西本願寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯34度59分31.37秒東経135度45分5.8秒","京都府京都市下京区堀川通花屋町下ル門前町60","北緯34度59分31.37秒東経135度45分5.8秒﻿ / ﻿北緯34.9920472度 東経135.751611度﻿ /34.9920472; 135.751611座標:北緯34度59分31.37秒東経135度45分5.8秒﻿ / ﻿北緯34.9920472度 東経135.751611度﻿ /34.9920472; 135.751611","阿弥陀如来","大谷本願寺-元亨元年（1321年）西本願寺 -天正19年（1591年）","書院、飛雲閣、他(国宝)絹本著色聖徳太子像、他(重要文化財)他","1130005000477","大谷本願寺 -本願寺第3世・覚如西本願寺 -本願寺第11世・顕如","浄土真宗本願寺派","龍谷山豅山","本山","","","お西さん（西本願寺）ホームページ","龍谷山本願寺","","","","お西さん","浄土真宗"
"西芳寺","[西芳寺庭園（さいほうじていえん） 史跡との重複指定] 西芳寺 （さいほうじ）は、 京都市 西京区 松尾にある 臨済宗 の 仏教 寺院 。 天龍寺 の境外 塔頭 だったが、現在は離脱して 単立 寺院。 庭園 は約120種の 苔 に覆われ、 苔寺 （こけでら）の通称で知られる  。 山号 を洪隠山と称する。 本尊 は 阿弥陀如来 、 開山 は 行基 と伝え、中興開山は 夢窓疎石 である。「 古都京都の文化財 」としてユネスコ 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/西芳寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯34度59分31.06秒東経135度40分59.93秒","京都府京都市西京区松尾神ヶ谷町56","北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ /34.9919611; 135.6833139座標:北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ /34.9919611; 135.6833139","阿弥陀如来","(伝)天平年間（729年-749年）中興：暦応2年（1339年）","湘南亭・夢窓国師画像（重要文化財）庭園（特別名勝、史跡）世界遺産","6130005001735","(伝)行基中興：夢窓疎石","臨済宗系単立","洪隠山","","","","","","","","","苔寺",""
"醍醐寺","[醍醐寺三宝院庭園（だいごじさんぼういんていえん） 特別史跡との重複指定] 醍醐寺 （だいごじ）は、 京都市 伏見区 醍醐東大路町にある 真言宗醍醐派 総本山の寺院。 山号 を醍醐山（深雪山とも）と称し、 本尊 は 薬師如来 。上醍醐の准胝堂（じゅんていどう）は、 西国三十三所観音霊場 第11番札所で本尊は 准胝観世音菩薩 。京都市街の南東に広がる醍醐山（笠取山）に200万坪以上の広大な境内を持ち、 国宝 や 重要文化財 を含む約15万点の寺宝を所蔵する  。 豊臣秀吉 による「 醍醐の花見 」が行われた地としても知られている。 古都京都の文化財 として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/醍醐寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯34度57分5.4秒東経135度49分18.4秒","京都府京都市伏見区醍醐東大路町22","北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778座標:北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778","薬師如来（重要文化財）","貞観16年（874年）","醍醐寺境内（史跡）金堂、五重塔、木造薬師如来及両脇侍像ほか（国宝）清滝宮本殿、絹本著色阿弥陀三尊像、木造薬師如来及両脇侍像ほか（重要文化財）三宝院庭園（特別史跡、特別名勝）世界遺産","6130005002163","","真言宗醍醐派","醍醐山深雪山（上醍醐寺）","総本山","","西国三十三所第11番（上醍醐）真言宗十八本山第12番近畿三十六不動尊霊場第23番（上醍醐）西国薬師四十九霊場第39番役行者霊蹟札所神仏霊場巡拝の道第126番（京都第46番）","","","聖宝","","","",""
"浄瑠璃寺","[浄瑠璃寺庭園（じょうるりじていえん） 史跡との重複指定] 浄瑠璃寺 （じょうるりじ）は、 京都府 木津川市 加茂町 西小 （ 字 ） 札場  （にしお ふたば）にある 真言律宗 の 寺院 。 山号 は小田原山、 本尊 は 阿弥陀如来 と 薬師如来 、開基は義明上人である。寺名は薬師如来の居所たる東方浄土「東方浄瑠璃世界」に由来する  。","https://ja.wikipedia.org/wiki/浄瑠璃寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯34度42分57.37秒東経135度52分22.51秒","京都府木津川市加茂町西小札場40","北緯34度42分57.37秒東経135度52分22.51秒﻿ / ﻿北緯34.7159361度 東経135.8729194度﻿ /34.7159361; 135.8729194座標:北緯34度42分57.37秒東経135度52分22.51秒﻿ / ﻿北緯34.7159361度 東経135.8729194度﻿ /34.7159361; 135.8729194","九体阿弥陀如来（国宝）薬師如来（重要文化財）","永承2年（1047年）","本堂・三重塔・阿弥陀如来坐像9体・木造四天王立像（国宝）木造吉祥天立像・木造薬師如来坐像ほか（重要文化財）庭園（史跡、特別名勝）","5130005008500","行基多田満仲（源満仲）","真言律宗","小田原山","","","仏塔古寺十八尊第10番西国薬師四十九霊場第37番関西花の寺二十五霊場第16番神仏霊場巡拝の道第128番（京都第48番）","","小田原山法雲院淨瑠璃寺","","","","西小田原寺（古称）九体寺",""
