"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","形状","規模","築造時期","特記事項","地図","被葬者","出土品","所属","陵墓","埋葬施設","史跡","別名","陪塚","有形文化財","Hidden","Hidden","Hidden"
"箸墓古墳","[11箸墓古墳奈良県桜井市大和前期3C中・後127630倭迹迹日百襲媛命卑弥呼説あり、纏向古墳群（オオヤマト古墳集団）] 箸墓古墳 （はしはかこふん）、 箸中山古墳 （はしなかやまこふん）は、 奈良県 桜井市 箸中にある 古墳 。形状は 前方後円墳 。実際の被葬者は不明だが、 宮内庁 により「 大市墓 （おおいちのはか）」として第7代 孝霊天皇 皇女の 倭迹迹日百襲姫命 の墓に治定（じじょう）されている。また、 笠井新也 の研究以来、 邪馬台国 の女王 卑弥呼 の墓ではないかとする学説がある   。周濠部分は国の 史跡 に指定されているほか  、一部が「箸中大池」として ため池百選 の1つにも選定されている  。百襲姫の陰部に箸が突き刺さり、絶命したことが名前の由来である  。","https://ja.wikipedia.org/wiki/箸墓古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度32分21.34秒東経135度50分28.42秒","奈良県桜井市箸中","北緯34度32分21.34秒東経135度50分28.42秒﻿ / ﻿北緯34.5392611度 東経135.8412278度﻿ /34.5392611; 135.8412278座標:北緯34度32分21.34秒東経135度50分28.42秒﻿ / ﻿北緯34.5392611度 東経135.8412278度﻿ /34.5392611; 135.8412278","前方後円墳","墳丘長278m高さ30m","3世紀後半","全国第11位/奈良県第3位の規模全国最古級の前方後円墳『日本書紀』崇神天皇紀に記述","箸墓古墳奈良県内の位置","（宮内庁治定）倭迹迹日百襲姫命（笠井新也ほか）卑弥呼","特殊器台形埴輪・壷形埴輪","纒向古墳群","宮内庁治定「大市墓」","","国の史跡「箸墓古墳周濠」","箸中山古墳","","","","",""
"五社神古墳","[11五社神古墳奈良県奈良市大和前期4C後・5C初327627神功皇后佐紀盾列古墳群] 五社神古墳 （ごさしこふん）は、 奈良県 奈良市 山陵町 にある 古墳 。形状は 前方後円墳 。 佐紀盾列古墳群 （西群）を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/五社神古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度42分22.41秒東経135度47分7.22秒","奈良県奈良市山陵町字宮ノ谷","北緯34度42分22.41秒東経135度47分7.22秒﻿ / ﻿北緯34.7062250度 東経135.7853389度﻿ /34.7062250; 135.7853389座標:北緯34度42分22.41秒東経135度47分7.22秒﻿ / ﻿北緯34.7062250度 東経135.7853389度﻿ /34.7062250; 135.7853389","前方後円墳","墳丘長267m高さ27m（後円部）","4世紀末葉","全国第12位の規模造出の初期事例","五社神古墳","（宮内庁治定）神功皇后","埴輪","佐紀盾列古墳群（西群）","宮内庁治定「狭城盾列池上陵」","（推定）竪穴式石室（内部に長持形石棺）","","","（宮内庁治定）5基","","","",""
"ウワナベ古墳","[13ウワナベ古墳奈良県奈良市大和中期5C中6265?佐紀盾列古墳群] ウワナベ古墳 （宇和奈邊古墳/宇和奈辺古墳）は、 奈良県 奈良市 法華寺町にある 前方後円墳 。 佐紀盾列古墳群 （佐紀古墳群  、ウワナベ古墳群）を構成する 古墳 の一つで、東端に位置する（西隣は コナベ古墳  ）。","https://ja.wikipedia.org/wiki/ウワナベ古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度41分51.45秒東経135度48分32.47秒","奈良県奈良市法華寺町","北緯34度41分51.45秒東経135度48分32.47秒﻿ / ﻿北緯34.6976250度 東経135.8090194度﻿ /34.6976250; 135.8090194座標:北緯34度41分51.45秒東経135度48分32.47秒﻿ / ﻿北緯34.6976250度 東経135.8090194度﻿ /34.6976250; 135.8090194","前方後円墳","墳丘長270-280m高さ19.8m","5世紀中頃","全国第12位または第13位（墳丘長255mとする場合）の規模","ウワナベ古墳","（宮内庁推定）八田皇女","円筒埴輪","佐紀盾列古墳群","宮内庁治定「宇和奈辺陵墓参考地」","","","宇和奈辺古墳","","","","",""
"市庭古墳","[14市庭古墳奈良県奈良市大和中期5C後5250?平城天皇佐紀盾列古墳群] 市庭古墳 （いちにわこふん）は、 奈良県 奈良市 佐紀町塚本・市庭にある 古墳 。形状は 前方後円墳 。 佐紀盾列古墳群 を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/市庭古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度41分47.55秒東経135度47分49.87秒","奈良県奈良市佐紀町","北緯34度41分47.55秒東経135度47分49.87秒﻿ / ﻿北緯34.6965417度 東経135.7971861度﻿ /34.6965417; 135.7971861座標:北緯34度41分47.55秒東経135度47分49.87秒﻿ / ﻿北緯34.6965417度 東経135.7971861度﻿ /34.6965417; 135.7971861","前方後円墳（前方部消滅）","墳丘長253m（復元）","5世紀前半","全国第14位の規模（墳丘長250mとする場合）","市庭古墳","（宮内庁治定）第51代平城天皇","","佐紀盾列古墳群","宮内庁治定「楊梅陵」","","","","","","","",""
"行燈山古墳","[15行燈山古墳奈良県天理市大和前期4C前3242?崇神天皇柳本古墳群] 行燈山古墳 （あんどんやまこふん、行灯山古墳）は、 奈良県 天理市 柳本町 にある 古墳 。形状は 前方後円墳 。 柳本古墳群 を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/行燈山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分27.00秒東経135度50分57.48秒","奈良県天理市柳本町字行燈","北緯34度33分27.00秒東経135度50分57.48秒﻿ / ﻿北緯34.5575000度 東経135.8493000度﻿ /34.5575000; 135.8493000座標:北緯34度33分27.00秒東経135度50分57.48秒﻿ / ﻿北緯34.5575000度 東経135.8493000度﻿ /34.5575000; 135.8493000","前方後円墳","墳丘長242m高さ31m（後円部）","4世紀前半","全国第16位の規模","行燈山古墳","（宮内庁治定）第10代崇神天皇","銅板・円筒埴輪・土師器・須恵器","柳本古墳群","宮内庁治定「山辺道勾岡上陵」","（推定）竪穴式石室","","","","","","",""
"室宮山古墳","[16室宮山古墳奈良県御所市大和中期5C前?5240?葛城古墳群] 室宮山古墳 （むろみややまこふん）は、 奈良県 御所市 大字室にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/室宮山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度26分34.22秒東経135度44分0秒","奈良県御所市大字室","北緯34度26分34.22秒東経135度44分0秒﻿ / ﻿北緯34.4428389度 東経135.73333度﻿ /34.4428389; 135.73333座標:北緯34度26分34.22秒東経135度44分0秒﻿ / ﻿北緯34.4428389度 東経135.73333度﻿ /34.4428389; 135.73333","前方後円墳","墳丘長238m高さ25m（後円部）","5世紀初頭","全国第18位の規模","室宮山古墳","（一説）葛城襲津彦（伝）武内宿禰","","","","後円部：竪穴式石室2基　（内部に長持形石棺各1基）前方部：2基（推定）北張出部：粘土槨1基南張出部：1基（推定）","国の史跡「宮山古墳」","室大墓","1基","","","",""
"岡ミサンザイ古墳","[17岡ミサンザイ古墳大阪府藤井寺市河内後期5C後8238?仲哀天皇古市古墳群] 岡ミサンザイ古墳 （おかみさんざいこふん）は、 大阪府 藤井寺市 藤井寺にある 古墳 。形状は 前方後円墳 。 古市古墳群 （ 世界文化遺産 ）を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/岡ミサンザイ古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分55.35秒東経135度35分38.60秒","大阪府藤井寺市藤井寺4丁目","北緯34度33分55.35秒東経135度35分38.60秒﻿ / ﻿北緯34.5653750度 東経135.5940556度﻿ /34.5653750; 135.5940556座標:北緯34度33分55.35秒東経135度35分38.60秒﻿ / ﻿北緯34.5653750度 東経135.5940556度﻿ /34.5653750; 135.5940556","前方後円墳","墳丘長245m高さ20m（後円部）","5世紀末葉","全国第16位の規模","岡ミサンザイ古墳","（宮内庁治定）第14代仲哀天皇（一説）第21代雄略天皇（一説）倭王武","円筒埴輪・形象埴輪","古市古墳群","宮内庁治定「恵我長野西陵」","不明（一説に横穴式石室）","","","1基","","","",""
"西殿塚古墳","[18西殿塚古墳奈良県天理市大和前期4C前2234?手白香皇女萱生古墳群（オオヤマト古墳集団）] 西殿塚古墳 （にしとのづかこふん  ）は、 奈良県 天理市 中山町にある 古墳 。形状は 前方後円墳 。 大和古墳群 （中山支群）を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/西殿塚古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度34分6.22秒東経135度51分4.26秒","奈良県天理市中山町字西殿塚","北緯34度34分6.22秒東経135度51分4.26秒﻿ / ﻿北緯34.5683944度 東経135.8511833度﻿ /34.5683944; 135.8511833座標:北緯34度34分6.22秒東経135度51分4.26秒﻿ / ﻿北緯34.5683944度 東経135.8511833度﻿ /34.5683944; 135.8511833","前方後円墳","墳丘長約230m高さ約16m（後円部）","3世紀後半","全国第24位の規模（墳丘長219mとする場合）箸墓古墳に次ぐ大王墓か","西殿塚古墳","（宮内庁治定）手白香皇女（一説）台与（一説）第10代崇神天皇","特殊器台形土器・特殊器台形埴輪・特殊壺形埴輪・円筒埴輪","大和古墳群（中山支群）","宮内庁治定「衾田陵」","不明","","","","","","",""
"メスリ山古墳","[19メスリ山古墳奈良県桜井市大和前期4C前3230?鳥見山古墳群（オオヤマト古墳集団）] メスリ山古墳 （めすりやまこふん）は、 奈良県 桜井市 高田にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/メスリ山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度29分56.0秒東経135度50分52.0秒","奈良県桜井市大字高田字メスリ","北緯34度29分56.0秒東経135度50分52.0秒﻿ / ﻿北緯34.498889度 東経135.847778度﻿ /34.498889; 135.847778座標:北緯34度29分56.0秒東経135度50分52.0秒﻿ / ﻿北緯34.498889度 東経135.847778度﻿ /34.498889; 135.847778","前方後円墳","墳丘長224m高さ23m（後円部）","4世紀初頭（古墳時代前期）","全国第14位の規模（墳丘長250mとする場合）","メスリ山古墳","","三角縁神獣鏡・鉄弓等鉄製品・銅鏃・碧玉管玉・埴輪など多数","","","竪穴式石室（内部に木棺）","国の史跡「メスリ山古墳」","","","出土品（国の重要文化財）","","",""
"市野山古墳","[20市野山古墳大阪府藤井寺市河内中期5C後7227?允恭天皇古市古墳群] 市ノ山古墳 （いちのやまこふん、市野山古墳）は、 大阪府 藤井寺市 にある 古墳 。形状は 前方後円墳 。 古市古墳群 （ 世界文化遺産 ）を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/市野山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度34分25.92秒東経135度36分59.58秒","大阪府藤井寺市","北緯34度34分25.92秒東経135度36分59.58秒﻿ / ﻿北緯34.5738667度 東経135.6165500度﻿ /34.5738667; 135.6165500座標:北緯34度34分25.92秒東経135度36分59.58秒﻿ / ﻿北緯34.5738667度 東経135.6165500度﻿ /34.5738667; 135.6165500","前方後円墳","墳丘長227m高さ23.3m","5世紀後半","全国第19位の規模（墳丘長230mとする場合）","市ノ山古墳","（宮内庁治定）第19代允恭天皇","埴輪","古市古墳群","宮内庁治定「惠我長野北陵」","","","市野山古墳","","","","",""
"太田茶臼山古墳","[20太田茶臼山古墳大阪府茨木市摂津中期5C前6227?継体天皇三島野古墳群、真の継体陵は今城塚古墳とされる] 太田茶臼山古墳 （おおだちゃうすやまこふん）は、 大阪府 茨木市 太田にある 古墳 。形状は 前方後円墳 。","https://ja.wikipedia.org/wiki/太田茶臼山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度50分40.50秒東経135度34分42.36秒","大阪府茨木市太田3丁目","北緯34度50分40.50秒東経135度34分42.36秒﻿ / ﻿北緯34.8445833度 東経135.5784333度﻿ /34.8445833; 135.5784333座標:北緯34度50分40.50秒東経135度34分42.36秒﻿ / ﻿北緯34.8445833度 東経135.5784333度﻿ /34.8445833; 135.5784333","前方後円墳","墳丘長226m高さ19.8m（前方部）","5世紀中葉","全国第21位の規模市野山古墳（大阪府藤井寺市）と同形","太田茶臼山古墳","（宮内庁治定）第26代継体天皇","円筒埴輪・形象埴輪ほか","三島古墳群","宮内庁治定「三嶋藍野陵」","","","","","","","",""
"宝来山古墳","[22宝来山古墳奈良県奈良市大和前期5C初4226?垂仁天皇佐紀盾列古墳群] 宝来山古墳 （ほうらいさんこふん  /ほうらいやまこふん  、蓬莱山古墳）は、 奈良県 奈良市 尼ヶ辻町（尼辻町）にある 古墳 。形状は 前方後円墳 。","https://ja.wikipedia.org/wiki/宝来山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度40分47.86秒東経135度46分52.39秒","奈良県奈良市尼ヶ辻町字西池","北緯34度40分47.86秒東経135度46分52.39秒﻿ / ﻿北緯34.6799611度 東経135.7812194度﻿ /34.6799611; 135.7812194座標:北緯34度40分47.86秒東経135度46分52.39秒﻿ / ﻿北緯34.6799611度 東経135.7812194度﻿ /34.6799611; 135.7812194","前方後円墳","墳丘長227m（推定復原240m?）高さ17.3m（後円部）","4世紀後半","全国第20位の規模","宝来山古墳","（宮内庁治定）第11代垂仁天皇","円筒埴輪・形象埴輪","","宮内庁治定「菅原伏見東陵」","竪穴式石室（内部に長持形石棺）","","","","","","",""
"墓山古墳","[23墓山古墳大阪府羽曳野市河内中期5C前6224?古市古墳群、誉田御廟山古墳陪塚] 墓山古墳 （はかやまこふん）は、 大阪府 羽曳野市 白鳥にある 前方後円墳 。 古市古墳群 （ 世界文化遺産 ）を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/墓山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分27.12秒東経135度36分14.56秒","大阪府羽曳野市白鳥3丁目","北緯34度33分27.12秒東経135度36分14.56秒﻿ / ﻿北緯34.5575333度 東経135.6040444度﻿ /34.5575333; 135.6040444﻿ (墓山古墳)座標:北緯34度33分27.12秒東経135度36分14.56秒﻿ / ﻿北緯34.5575333度 東経135.6040444度﻿ /34.5575333; 135.6040444﻿ (墓山古墳)北緯34度33分27.12秒東経135度36分14.56秒﻿ / ﻿北緯34.5575333度 東経135.6040444度﻿ /34.5575333; 135.6040444座標:北緯34度33分27.12秒東経135度36分14.56秒﻿ / ﻿北緯34.5575333度 東経135.6040444度﻿ /34.5575333; 135.6040444{{#coordinates:}}: 各ページで primary のタグは複数指定できません","前方後円墳","墳丘長225m高さ20.7m","5世紀前半","全国第22位の規模","墓山古墳","","","古市古墳群","宮内庁治定（「惠我藻伏崗陵」の陪冢）","","国の史跡「墓山古墳」（「古市古墳群」に包含）","","","","","",""
