"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","初登頂","プロミネンス","総称","所属山脈","種類","アイソレーション","山の種類","最容易,ルート","最新噴火","最新の噴火","公式サイト","翻訳","公用語","住民の呼称","海外領土"
"オホス・デル・サラード","[11  チリオホス・デル・サラード6,893 m火山として世界最高峰。] アタカマ砂漠 に近いため非常に乾燥しており、冠雪はふつう冬の山頂部にしかみられないが、激しい嵐が起こると夏でも数十センチの雪が積もることがある。一般的に乾いた気象条件であるにもかかわらず、東部の6390m地点には直径100m近くの一年を通して涸れない 火山湖 がある  。世界で最も高所にある湖とみられる。","https://ja.wikipedia.org/wiki/オホス・デル・サラード","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯27度06分35秒西経68度32分29秒","6,893 m(22,615 ft) ","","","","1937年2月26日、ヤン・アルフレッド・シュチェパニスキとユスティン・ヴォイシュニスによる","3,688 m(12,100 ft) 43位","火山七大陸最高峰セブン・セカンド・サミット国内最高峰ウルトラ・プロミネント峰","アンデス山脈","","631キロメートル (392 mi)","成層火山","スクランブリング","","700年±300年","","","","",""
"ワスカラン","[12  ペルーワスカラン6,768 m[1] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 南緯09度07分18秒 西経77度36分15秒 ﻿ / ﻿ 南緯9.12167度 西経77.60417度 ﻿ / -9.12167; -77.60417","https://ja.wikipedia.org/wiki/ワスカラン","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯09度07分18秒 西経77度36分15秒","","","","","","","","","","","","","","","","","","",""
"サハマ山","[13  ボリビアサハマ山6,542 m] サハマ山は、 チリ の 国境 から20km程度のところにある。 活火山 とされているが最後に 噴火 したのがいつであるかは定かではない。","https://ja.wikipedia.org/wiki/サハマ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯18度06分18秒西経68度52分46秒","6,542m","ボリビア・オルロ県","南緯18度06分18秒西経68度52分46秒﻿ / ﻿南緯18.10500度 西経68.87944度﻿ /-18.10500; -68.87944座標:南緯18度06分18秒西経68度52分46秒﻿ / ﻿南緯18.10500度 西経68.87944度﻿ /-18.10500; -68.87944","アンデス山脈","ピエロ・ジグリオネ、J. プレム（1939年）","","","","成層火山","","","","不明","","","","","",""
"チンボラソ","[14  エクアドルチンボラソ6,267 m[1] 海抜 高度で見た場合世界一高い山は エベレスト であるが、 赤道 地域の方がエベレストのある場所（北緯28度）よりも 地球 の半径が大きく水面も高い。このため、 標高 ではチンボラソの6,268mよりエベレストのほうが約2,580m高いが、地球の中心からの距離ではチンボラソが約6,384.4km、エベレストが6,382.3kmとなり、約2.1kmチンボラソの方が離れている。しかし、海抜高度で見た場合、チンボラソは北アメリカ大陸の最高峰 デナリ よりは高いが、アンデス山脈最高峰 アコンカグア よりは低い。 安山岩 － デイサイト 質の成層火山で、直近の噴火は西暦400～700年の間にあったと考えられる。","https://ja.wikipedia.org/wiki/チンボラソ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯1度27分50秒西経78度48分54秒","6,268m","エクアドルチンボラソ県","南緯1度27分50秒西経78度48分54秒﻿ / ﻿南緯1.46389度 西経78.81500度﻿ /-1.46389; -78.81500座標:南緯1度27分50秒西経78度48分54秒﻿ / ﻿南緯1.46389度 西経78.81500度﻿ /-1.46389; -78.81500","アンデス山脈","1880年（エドワード・ウィンパー）","","","","成層火山","","","","550 AD ± 150年","","","","","",""
"デナリ","[15  アメリカ合衆国デナリ6,194 m北アメリカ大陸の最高峰] 1975年 、 アラスカ州 政府はデナリを正式名称とするよう、連邦政府に働きかけることを始めた。 1980年 には 州法 に基づき、山を含む周囲に デナリ国立公園 が設置され、同時に州地名局は山の呼称もデナリに改称したが、 連邦地名局 はマッキンリーを使い続けた。以降は2つの呼称が並存していたが、アラスカ人はデナリの名を好む傾向があり、連邦政府での呼称もそれに変更しようとする運動も行われた。一方で、観光客などは山をマッキンリー、国立公園をデナリと呼び分けることもあった。","https://ja.wikipedia.org/wiki/デナリ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯63度4分10秒西経151度0分26秒","6190.4m","アメリカ合衆国アラスカ州","北緯63度4分10秒西経151度0分26秒﻿ / ﻿北緯63.06944度 西経151.00722度﻿ /63.06944; -151.00722","アラスカ山脈","ハドソン・スタックら（1913年）","","","","","","","","","","","","","",""
"ローガン山","[16  カナダローガン山5,959 m] カナダの 地理学者 であり同時にカナダ地質調査部( Geological Survey of Canada )の設立者でもある ウィリアム・エドモンド・ローガン 卿にちなみ、命名された。","https://ja.wikipedia.org/wiki/ローガン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯60度34分2秒西経140度24分10秒","5,959m","カナダユーコン準州","北緯60度34分2秒西経140度24分10秒﻿ / ﻿北緯60.56722度 西経140.40278度﻿ /60.56722; -140.40278座標:北緯60度34分2秒西経140度24分10秒﻿ / ﻿北緯60.56722度 西経140.40278度﻿ /60.56722; -140.40278","セントエリアス山脈","A.H.マッカーシーら（1925年）","","","","","","","","","","","","","",""
"キリマンジャロ","[17  タンザニアキリマンジャロ5,892 mアフリカ大陸の最高峰] キリマンジャロは、 赤道 から南に約340 kmの南緯3度、アフリカ 大地溝帯 の東リフト・バレーに位置する。東西約50 km、南北30 kmの山体をもつ大型の 成層火山 である。西から東へ並ぶ、シラ峰（Shira、3962 m）、キボ峰（Kibo、5895 m) 、マウエンジ峰（Mawenzi、5149 m）の3つの主な成層火山から成り、山体中央にあるキボ峰が最高峰である。","https://ja.wikipedia.org/wiki/キリマンジャロ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯3度4分12秒東経37度21分0秒","5895m","タンザニアキリマンジャロ州","南緯3度4分12秒東経37度21分0秒﻿ / ﻿南緯3.07000度 東経37.35000度﻿ /-3.07000; 37.35000座標:南緯3度4分12秒東経37度21分0秒﻿ / ﻿南緯3.07000度 東経37.35000度﻿ /-3.07000; 37.35000","独立峰","1889年10月6日ハンス・メイヤーLudwig Purtscheller","","","","成層火山","","","","","","","","","",""
"カカボラジ山","[18  ミャンマーカカボラジ山5,881 m] 山頂から、北と東は 中国 、西は インド の各 国境 まで約30㎞である。ふもとは低地の 熱帯 であるが、標高4,600m以上では 氷河 に覆われ、多様な自然環境を見ることができる。山頂はカカボラジ国立公園内にある。 ヒマラヤ山脈 の遠い支脈に位置する山である   。","https://ja.wikipedia.org/wiki/カカボラジ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯28度19分42秒東経97度32分08秒","5,881 m(19,295 ft) ","ミャンマー、カチン州中華人民共和国、チベット自治区インド、アルナーチャル・プラデーシュ州","","","1996年9月15日","904メートル (2,966 ft)","ミャンマー最高峰","ヒマラヤ山脈","","","","氷雪登山","","","","","","",""
"クリストバル・コロン山","[19  コロンビアクリストバル・コロン山あるいはシモン・ボリーバル山both c. 5700 m[1] これより高い山は最も近いものでも1288キロ離れたエクアドルの カヤンベ山 になる。付近の山々と同じく、山頂は 万年雪 に覆われている。","https://ja.wikipedia.org/wiki/クリストバル・コロン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯10度50分18秒西経73度41分12秒","5,700 m(18,700 ft) "," コロンビアマグダレーナ県","","","1939年、ウッド、ベイカーウェル、プラオリーニによる","5,508 m(18,071 ft) 世界5位","国内最高峰ウルトラ・プロミネント峰","シエラ・ネバダ・デ・サンタ・マルタ山地","","1,287キロメートル (800 mi)","","","","","","","","",""
"エルブルス山","[20  ロシアエルブルス山5,642 m] ロシア連邦 に属する カバルダ・バルカル共和国 の南部に位置し、 キスロヴォツク から南西に65 km。 ジョージア との国境から北に約12 km。多くの 氷河 があり、それらは バクサン川 や クバン川 などの源流となっている。","https://ja.wikipedia.org/wiki/エルブルス山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯43度21分18秒東経42度26分21秒","5642m","ロシア","北緯43度21分18秒東経42度26分21秒﻿ / ﻿北緯43.35500度 東経42.43917度﻿ /43.35500; 42.43917座標:北緯43度21分18秒東経42度26分21秒﻿ / ﻿北緯43.35500度 東経42.43917度﻿ /43.35500; 42.43917","コーカサス山脈","1874年（イギリス）F. クロフォード・グローヴら","","","","成層火山","","","","","","","","","",""
"オリサバ山","[21  メキシコオリサバ山5,636 m[1] シトラルテペトルはスペイン人がメキシコに到着したときナワトル語の共通の名前であった。シトラルテペトルはナワトル語のcitialli（星）とtepētl（山）の「星の山」という意味から来ている。 星の山とは地域周辺数百キロメートルから一年中見渡すことができる雪に覆われた峰を指すと考えられている。伝説はシトラルテペトルの火口に惑星の 金星 が沈むところを見るための方法を物語にした コスコマテペク （ 英語版 ） の町の話から生じている。植民地時代には火山の麓にあるサン・アンドレス・チャルチコムラの移民により、サン・アンドレス山として知られていた。","https://ja.wikipedia.org/wiki/オリサバ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯19度01分48秒西経97度16分12秒","5,636m","メキシコベラクルス州・プエブラ州","北緯19度01分48秒西経97度16分12秒﻿ / ﻿北緯19.03000度 西経97.27000度﻿ /19.03000; -97.27000座標:北緯19度01分48秒西経97度16分12秒﻿ / ﻿北緯19.03000度 西経97.27000度﻿ /19.03000; -97.27000","東シエラマドレ山脈（英語版）","1848年F. Maynard と William F. Raynolds","","","","成層火山","","","","1846年","","","","","",""
"ダマーヴァンド山","[22  イランダマーヴァンド山5,610 m[1] イランにおける 伝説 や 神話 を持ち、特別な場所とされる山。また、羊飼いたちによって千年以上も前から登られた山である。","https://ja.wikipedia.org/wiki/ダマーヴァンド山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯35度57分21秒東経52度06分31秒","5,610m","イランマーザンダラーン州","北緯35度57分21秒東経52度06分31秒﻿ / ﻿北緯35.95583度 東経52.10861度﻿ /35.95583; 52.10861座標:北緯35度57分21秒東経52度06分31秒﻿ / ﻿北緯35.95583度 東経52.10861度﻿ /35.95583; 52.10861","アルボルズ山脈","アブー・ドラフ・カズラジ（905年）","","","","成層火山","","","","","","","","","",""
"シュハラ山","[23  ジョージアシュハラ山5,201 m] 12kmにわたって続く山塊の尾根の東側は「ベジンギの壁」として知られる。氷河地帯に険しくそびえるこの山に、登山家は挑み続けてきた。高さ1500メートルの北壁（ロシア国境側）ルートはその難しさで名高い。5068mのシュハラ西峰は副峰ながらそれ自体が登山の対象となっており、「ベジンギの壁」の完全横断は「ヨーロッパで最も長く、最も困難で、最も危ないルート」とみなされている  。","https://ja.wikipedia.org/wiki/シュハラ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯43度00分02秒東経43度06分44秒","5,193 m (17,040 ft) ","ジョージア、ラチャ＝レチフミおよびクヴェモ・スヴァネティ州ロシア、カバルダ・バルカル共和国","","","1888年、U・アルマー、J・コッキン、C・ロスによる","1,357 m(4,452 ft)","国内最高峰","大コーカサス山脈","","6キロメートル (3.7 mi)","","北西ルート：氷雪（ロシア式グレードで4b）","","","","","","",""
"ケニア山","[24  ケニアケニア山のバティアン5,199 m] 標高 は5,199 mで、 タンザニア の キリマンジャロ に次ぐ、 アフリカ 大陸第2位の高さを誇る。 赤道 直下に位置するにもかかわらず、山頂部には 氷河 を戴いている。","https://ja.wikipedia.org/wiki/ケニア山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯0度09分03秒東経37度18分27秒","5,199m"," ケニア東部州・中央州","南緯0度09分03秒東経37度18分27秒﻿ / ﻿南緯0.15083度 東経37.30750度﻿ /-0.15083; 37.30750","グレート・リフト・ヴァレー","1899年ハルフォード・マッキンダー","","","","成層火山","","","","","","","","","",""
"アララト山","[25  トルコアララト山5,137 m[1] 『 旧約聖書 』にでてくる ノアの箱舟 が大洪水の後、流れ着いたとされる山と目されて、12世紀以降にヨーロッパ人により命名された。","https://ja.wikipedia.org/wiki/アララト山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯39度42分07秒東経44度17分54秒","5,137m","トルコ","北緯39度42分07秒東経44度17分54秒﻿ / ﻿北緯39.70194度 東経44.29833度﻿ /39.70194; 44.29833座標:北緯39度42分07秒東経44度17分54秒﻿ / ﻿北緯39.70194度 東経44.29833度﻿ /39.70194; 44.29833","","","","","","成層火山","","","","","","","","","",""
"スタンリー山","[26  コンゴ民主共和国スタンリー山のマルゲリータ峰5,110 m] スタンリー山は、2つの双耳峰といくつかの低い峰から成る。","https://ja.wikipedia.org/wiki/スタンリー山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯0度23分09秒東経29度52分18秒","5,109m"," コンゴ民主共和国ウガンダ","北緯0度23分09秒東経29度52分18秒﻿ / ﻿北緯0.38583度 東経29.87167度﻿ /0.38583; 29.87167座標:北緯0度23分09秒東経29度52分18秒﻿ / ﻿北緯0.38583度 東経29.87167度﻿ /0.38583; 29.87167","ルウェンゾリ山地","1906年ルイージ・アメデーオ・ディ・サヴォイア＝アオスタと、そのパーティー","","","","","","","","","","","","","",""
"スタンリー山","[26  ウガンダスタンリー山のマルゲリータ峰5,110 m] スタンリー山は、2つの双耳峰といくつかの低い峰から成る。","https://ja.wikipedia.org/wiki/スタンリー山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯0度23分09秒東経29度52分18秒","5,109m"," コンゴ民主共和国ウガンダ","北緯0度23分09秒東経29度52分18秒﻿ / ﻿北緯0.38583度 東経29.87167度﻿ /0.38583; 29.87167座標:北緯0度23分09秒東経29度52分18秒﻿ / ﻿北緯0.38583度 東経29.87167度﻿ /0.38583; 29.87167","ルウェンゾリ山地","1906年ルイージ・アメデーオ・ディ・サヴォイア＝アオスタと、そのパーティー","","","","","","","","","","","","","",""
"ボリバル山","[28  ベネズエラボリバル山(La Columna)4,981 m[1] ボリバル山は、エル・レオン（4,743メートル）とエル・トロ（4,695メートル）の隣にある。その上部は常に 万年雪 と3つの小さな 氷河 で覆われている。","https://ja.wikipedia.org/wiki/ボリバル山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯08度32分30秒西経71度02分45秒","4,978 m(16,332 ft) ","ベネズエラ・メリダ州","","","1935年 Enrique Bourgoin, H. Márquez Molina, Domingo Peña","3,957 m(12,982 ft) 世界25位","国別の最高地点ウルトラ・プロミネント峰","アンデス山脈・メリダ山脈","","265キロメートル (165 mi)","","","","","","","","",""
"プンチャック・ジャヤ","[30  インドネシアプンチャック・ジャヤ(カルステンツ山)4,884 m[1] 1623年の珍しく晴れ渡った日にこの山の 氷河 を最初に目撃した オランダ の探検家ヤン・カルステンツォーンにちなんで、カルステンツ・ピラミッドと呼ばれていた（赤道近くで雪を見たと言ったことで、彼はヨーロッパで嘲弄されることになる）。この名前は登山家の間で今でも使われている。1909年にオランダの探検家ヘンドリク・ロレンツがプンチャック・ジャヤの雪原に達したが、初登頂は1962年に オーストリア の登山家 ハインリヒ・ハラー と3人の友人（テンプレ、キパックス、フイゼンガ）が達成した。","https://ja.wikipedia.org/wiki/プンチャック・ジャヤ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯4度05分00秒東経137度11分00秒","4884m","インドネシア・パプア州","南緯4度05分00秒東経137度11分00秒﻿ / ﻿南緯4.08333度 東経137.18333度﻿ /-4.08333; 137.18333座標:南緯4度05分00秒東経137度11分00秒﻿ / ﻿南緯4.08333度 東経137.18333度﻿ /-4.08333; 137.18333","スディルマン山脈","ハインリヒ・ハラー、1962年","","","","","","","","","","","","","",""
"モンブラン","[31  フランス(フランス・メトロポリテーヌ)モンブラン4,810 mモンブラン頂点の領有権には争いがある。詳細はモンブランの記事参照。] フランス語でモン (Mont) は「山」、ブラン (Blanc) は「白」を意味し、「白い山」の意味である。イタリアでは、 イタリア語 で同じく「白い山」の意味の モンテ・ビアンコ (Monte Bianco) と呼ばれる  。また、「白い婦人」を意味する La Dame Blanche というフランス語の異名もある。","https://ja.wikipedia.org/wiki/モンブラン","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯45度50分01秒東経6度51分54秒","4807.81m","フランス・イタリア国境","北緯45度50分01秒東経6度51分54秒﻿ / ﻿北緯45.83361度 東経6.86500度﻿ /45.83361; 6.86500座標:北緯45度50分01秒東経6度51分54秒﻿ / ﻿北緯45.83361度 東経6.86500度﻿ /45.83361; 6.86500","アルプス山脈、グライエアルプス山脈","1786年8月8日ジャック・パルマミシェル・パカール","","","","","","","","","","","","","",""
"モンブラン","[31  イタリアモンブラン4,810 mモンブラン頂点の領有権には争いがある。詳細はモンブランの記事参照。] フランス語でモン (Mont) は「山」、ブラン (Blanc) は「白」を意味し、「白い山」の意味である。イタリアでは、 イタリア語 で同じく「白い山」の意味の モンテ・ビアンコ (Monte Bianco) と呼ばれる  。また、「白い婦人」を意味する La Dame Blanche というフランス語の異名もある。","https://ja.wikipedia.org/wiki/モンブラン","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯45度50分01秒東経6度51分54秒","4807.81m","フランス・イタリア国境","北緯45度50分01秒東経6度51分54秒﻿ / ﻿北緯45.83361度 東経6.86500度﻿ /45.83361; 6.86500座標:北緯45度50分01秒東経6度51分54秒﻿ / ﻿北緯45.83361度 東経6.86500度﻿ /45.83361; 6.86500","アルプス山脈、グライエアルプス山脈","1786年8月8日ジャック・パルマミシェル・パカール","","","","","","","","","","","","","",""
"ハズレット・スルタン山","[33  ウズベキスタンハズレット・スルタン山[2] ","https://ja.wikipedia.org/wiki/ハズレット・スルタン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯38度56分54秒東経68度10分20秒","4,643 m(15,233 ft) ","ウズベキスタンタジキスタン","","","","564メートル (1,850 ft)","ウズベキスタン最高峰","ギッサール山地（パミール高原の一部）","","","","","","","","","","",""
"モンテ・ローザ","[34  スイスモンテ・ローザ(プンタ・デュフール)4,634 m] 「モンテ・ローザ」は単独の峰ではなく、複数の峰からなる山群の名称である。最高点はイタリア側にある標高4,634mの プンタ・デュフール （デュフール峰、伊：Punta Dufour、独：Dufourspitze、仏：Pointe Dufour）。イタリア側は ピエモンテ州 、スイス側は ヴァレー州 に属している。","https://ja.wikipedia.org/wiki/モンテ・ローザ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯45度56分12秒東経7度52分01秒","4,634m","スイスとイタリアの国境","北緯45度56分12秒東経7度52分01秒﻿ / ﻿北緯45.93667度 東経7.86694度﻿ /45.93667; 7.86694","ペンニネアルプス山脈","Charles Hudson(1855年)","","","","","","","","","","","","","",""
