"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","国","外部リンク","都道府県","地方","市町村コード","総人口","隣接自治体","法人番号","人口密度","市の花","市長","市の木","位置","郡","他のシンボル","町の花","標高"
"上山温泉","[上山温泉（山形県）] 上山温泉 （かみのやまおんせん）は、 山形県 上山市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。古くは同じ山形県の 湯野浜温泉 、 福島県 の 東山温泉 と共に「奥羽三楽郷」に数えられた。","https://ja.wikipedia.org/wiki/上山温泉","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯38度09分29.5秒東経140度16分23.9秒","山形県上山市","","","かみのやま温泉","","","","","","","","","","","","","","",""
"男鹿半島","[男鹿半島（秋田県）] 男鹿半島 （おがはんとう）は、 秋田県 北西部にある 日本海 に突き出た 半島 。半島部の大半が 男鹿市 に属する。","https://ja.wikipedia.org/wiki/男鹿半島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥海山","[鳥海山（山形県・秋田県）] 鳥海山 （ちょうかいさん、ちょうかいざん  ）は、 山形県 と 秋田県 に跨がる 標高 2,236mの 活火山 。山頂に雪が積もった姿が富士山に類似しているため、 出羽富士 （でわふじ）とも呼ばれ親しまれている。秋田県では 秋田富士 （あきたふじ）、山形県では 庄内富士 （しょうないふじ）とも呼ばれている。古くからの名では鳥見山（とりみやま）という。 鳥海国定公園 に属する。 日本百名山  ・ 日本百景 の一つ。2007年（平成19年）に 日本の地質百選 に選定された。2009年（平成21年）に 国史跡 「鳥海山」として指定された。","https://ja.wikipedia.org/wiki/鳥海山","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯39度05分57秒東経140度02分56秒","日本山形県飽海郡遊佐町・酒田市・秋田県由利本荘市・にかほ市","","","","","","","","","","","","","","北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889座標:北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889","","","","2,236m"
"田沢湖","[田沢湖（秋田県）] 田沢湖 （たざわこ）は、 秋田県 仙北市 にある 淡水湖 。 一級河川 雄物川 水系に属する。 日本 で最も深い湖であり、日本で19番目に広い湖沼である  。その全域が 田沢湖抱返り県立自然公園 に指定されており、 日本百景 にも選ばれている景勝地である。1956年（昭和31年）から2005年（平成17年）まで存在した自治体である 田沢湖町 の名の由来であり、現在も旧田沢湖町の区域の地名冠称として使われている。","https://ja.wikipedia.org/wiki/田沢湖","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯39度43分30秒東経140度39分41秒","日本秋田県仙北市","25.75km2","","","","","","","","","","","","","北緯39度43分30秒東経140度39分41秒﻿ / ﻿北緯39.72500度 東経140.66139度﻿ /39.72500; 140.66139座標:北緯39度43分30秒東経140度39分41秒﻿ / ﻿北緯39.72500度 東経140.66139度﻿ /39.72500; 140.66139","","","",""
"最上川","[最上川（山形県）] 最上川 （もがみがわ）は、 山形県 を流れる 一級河川 最上川 水系 の 本川 。流路延長229 km は、一つの都府県のみを 流域 とする河川としては 日本 国内最長である。 流域面積 は7,040 km 2 で、山形県の面積の約75%にあたる。 日本三大急流 の一つである。","https://ja.wikipedia.org/wiki/最上川","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"いわき市","[いわき（福島県）] ","https://ja.wikipedia.org/wiki/いわき市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯37度3分1.8秒東経140度53分15.8秒","〒970-8686福島県いわき市平字梅本21番地北緯37度3分1.8秒東経140度53分15.8秒﻿ / ﻿北緯37.050500度 東経140.887722度﻿ /37.050500; 140.887722","1,232.02km2","日本","公式ウェブサイト","福島県","東北地方","07204-4","334,593人（推計人口、2021年6月1日）","田村市、田村郡小野町、双葉郡広野町、楢葉町、川内村、石川郡古殿町、平田村、東白川郡鮫川村茨城県北茨城市","9000020072044","272人/km2","ツツジ（1973年3月20日制定）","清水敏男","クロマツ（1971年10月1日制定）","","","","",""
"蔵王連峰","[宮城蔵王（宮城県）] 蔵王連峰 （ざおうれんぽう）は、 東北地方 の中央を南北に連なる 奥羽山脈 の中にあって、 宮城県 と 山形県 の両県南部の県境に位置する 連峰     。奥羽山脈において時と場所を移しながら次々と繰り返された火山活動によって形成された複合火山群である  。","https://ja.wikipedia.org/wiki/蔵王連峰","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯38度08分37秒東経140度26分22秒","宮城県・山形県","","","","","","","","","","","","","","北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944座標:北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944（熊野岳）","","","",""
"松島","[松島（宮城県）] 松島 （まつしま）は、 宮城県 の松島湾内外にある 諸島 のこと。または、それら諸島と湾周囲を囲む 松島丘陵 も含めた修景地区のことである。 日本三景 の1つに数えられている。2018年の観光入込客数は600万人  。","https://ja.wikipedia.org/wiki/松島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"花巻温泉郷","[花巻温泉郷（岩手県）] 花巻温泉郷 （はなまきおんせんきょう）は、 岩手県 花巻市 （旧国 陸奥国 、明治以降は 陸中国 ）の西部に位置する 温泉 の総称（ 温泉郷 ）である。 豊沢川 沿いに 松倉温泉 から 新鉛温泉 までの8つが、山を挟んで北側に 花巻温泉 、 台温泉 が存在する。豊沢川沿いの8湯は 花巻南温泉峡 （はなまきみなみおんせんきょう）と呼ばれる場合も多い。 南花巻温泉峡 と表記されることも。豊沢川沿いの峡谷にあるため、温泉郷ではなく「温泉峡」を名乗る。温泉峡を名乗る温泉地は他にも 湯田温泉峡 が存在。","https://ja.wikipedia.org/wiki/花巻温泉郷","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八幡平","[八幡平（岩手県・秋田県）] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯39度57分28秒東経140度51分15秒","日本岩手県八幡平市秋田県仙北市・鹿角市","","","","","","","","","","","","","","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","","","","1,613.50m"
"日光市","[日光（栃木県）] 地理院地図 Google Bing GeoHack MapFan Mapion Yahoo! NAVITIME ゼンリン","https://ja.wikipedia.org/wiki/日光市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度43分11.4秒東経139度41分53.4秒","〒321-1292栃木県日光市今市本町1番地北緯36度43分11.4秒東経139度41分53.4秒﻿ / ﻿北緯36.719833度 東経139.698167度﻿ /36.719833; 139.698167","1,449.83km2","日本","公式ウェブサイト","栃木県","関東地方","09206-1","76,800人（推計人口、2021年6月1日）","宇都宮市、鹿沼市、那須塩原市、塩谷郡塩谷町群馬県：沼田市、みどり市、利根郡片品村福島県：南会津郡南会津町、檜枝岐村","6000020092061","53人/km2","ニッコウキスゲ・ヤシオツツジ","粉川昭一","もみじ・シラカンバ","","","市の鳥：カワセミ・ウグイス市の魚：ヒメマス・イワナ","",""
"伊豆大島","[伊豆大島（東京都）] 伊豆大島 （いずおおしま）は、日本の 伊豆諸島 北部に位置する伊豆諸島最大の 島 。 本州 で最も近い 伊豆半島 からは南東方約25kmに位置する。面積は91.06 km 2 。行政区域は、 東京都 大島町 である。","https://ja.wikipedia.org/wiki/伊豆大島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度44分0秒東経139度24分0秒","日本　東京都大島町","91.06km²","","","","","","","","","","","","","","","","",""
"秩父市","[秩父（埼玉県）] ","https://ja.wikipedia.org/wiki/秩父市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度59分30.4秒東経139度5分7.7秒","〒368-8686埼玉県秩父市熊木町8番15号北緯35度59分30.4秒東経139度5分7.7秒﻿ / ﻿北緯35.991778度 東経139.085472度﻿ /35.991778; 139.085472","577.83km2（境界未定部分あり）","日本","公式ウェブサイト","埼玉県","関東地方","11207-1","58,806人（推計人口、2021年6月1日）","飯能市、比企郡ときがわ町、児玉郡神川町、秩父郡小鹿野町、皆野町、横瀬町、東秩父村東京都西多摩郡奥多摩町山梨県：甲州市、山梨市、北都留郡丹波山村長野県南佐久郡川上村群馬県：藤岡市、多野郡神流町、上野村","1000020112071","102人/km2","シバザクラ","北堀篤","カエデ","","","","",""
"長瀞町","[長瀞（埼玉県）] ","https://ja.wikipedia.org/wiki/長瀞町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度6分53.3秒東経139度6分35秒","〒369-1304埼玉県秩父郡長瀞町大字本野上1035番地北緯36度6分53.3秒東経139度6分35秒﻿ / ﻿北緯36.114806度 東経139.10972度﻿ /36.114806; 139.10972","30.43km2","日本","公式ウェブサイト","埼玉県","関東地方","11363-8","6,608人（推計人口、2021年6月1日）","本庄市、秩父郡皆野町、児玉郡美里町、大里郡寄居町","3000020113638","217人/km2","","","","","秩父郡","","サクラ",""
"久慈郡","[奥久慈（茨城県・福島県）] 久慈郡 （くじぐん）は、 茨城県 （ 常陸国 ）の 郡 。","https://ja.wikipedia.org/wiki/久慈郡","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水戸市","[水戸（茨城県）] ","https://ja.wikipedia.org/wiki/水戸市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度21分57秒東経140度28分16.5秒","〒310-8610茨城県水戸市中央一丁目4番1号北緯36度21分57秒東経140度28分16.5秒﻿ / ﻿北緯36.36583度 東経140.471250度﻿ /36.36583; 140.471250","217.32km2（境界未定部分あり）","日本","公式ウェブサイト","茨城県","関東地方","08201-5","268,993人（推計人口、2021年6月1日）","ひたちなか市、笠間市、那珂市、東茨城郡城里町、大洗町、茨城町","4000020082015","1,238人/km2","ハギ（1991年4月1日制定）","高橋靖","ウメ（1991年4月1日制定）","","","市の鳥：ハクセキレイ（1991年4月1日制定）市の歌：水戸市歌（1959年11月3日制定、西条八十作詞、古関裕而作曲）","",""
"湘南海岸","[湘南海岸（神奈川県）] 湘南海岸 （しょうなんかいがん）は、 神奈川県 の 湘南 と呼称されている地域のうち 茅ヶ崎市 から 鎌倉市 にある沿岸地域・海岸。","https://ja.wikipedia.org/wiki/湘南海岸","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大洗町","[大洗（茨城県）] ","https://ja.wikipedia.org/wiki/大洗町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度18分48秒東経140度34分29.5秒","〒311-1392茨城県東茨城郡大洗町磯浜町6881-275北緯36度18分48秒東経140度34分29.5秒﻿ / ﻿北緯36.31333度 東経140.574861度﻿ /36.31333; 140.574861","23.74km2","日本","公式ウェブサイト","茨城県","関東地方","08309-7","15,592人（推計人口、2021年6月1日）","水戸市、ひたちなか市、鉾田市、東茨城郡茨城町","2000020083097","657人/km2","","","","","東茨城郡","町の鳥 :かもめイメージキャラクター :アライッペ","つつじ",""
"横浜市","[横浜（神奈川県）] ","https://ja.wikipedia.org/wiki/横浜市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度27分01.2秒東経139度38分03.2秒","〒231-0005神奈川県横浜市中区本町6丁目50番地の10北緯35度27分01.2秒東経139度38分03.2秒﻿ / ﻿北緯35.450333度 東経139.634222度﻿ /35.450333; 139.634222座標:北緯35度27分01.2秒東経139度38分03.2秒﻿ / ﻿北緯35.450333度 東経139.634222度﻿ /35.450333; 139.634222横浜市本庁舎外観市庁舎位置","437.56km2","日本","公式ウェブサイト","神奈川県","関東地方","14100-3","3,779,890人（推計人口、2021年6月1日）","川崎市藤沢市大和市横須賀市鎌倉市逗子市東京都町田市","3000020141003","8,639人/km2","バラ","林文子","イチョウ、ケヤキ、サザンカ、サンゴジュ、シイ、ツバキ","","","","",""
"箱根町","[箱根（神奈川県）] ","https://ja.wikipedia.org/wiki/箱根町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度13分56.5秒東経139度6分25秒","〒250-0398神奈川県足柄下郡箱根町湯本256番地北緯35度13分56.5秒東経139度6分25秒﻿ / ﻿北緯35.232361度 東経139.10694度﻿ /35.232361; 139.10694座標:北緯35度13分56.5秒東経139度6分25秒﻿ / ﻿北緯35.232361度 東経139.10694度﻿ /35.232361; 139.10694町庁舎位置","92.86km2","日本","公式ウェブサイト","神奈川県","関東地方","14382-1","11,317人（推計人口、2021年6月1日）","小田原市、南足柄市、足柄下郡湯河原町静岡県：御殿場市、裾野市、三島市、駿東郡小山町、田方郡函南町","7000020143821","122人/km2","","","","","足柄下郡","","ハコネバラ",""
"鎌倉市","[鎌倉（神奈川県）] ","https://ja.wikipedia.org/wiki/鎌倉市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度19分9.3秒東経139度32分48.1秒","〒248-8686神奈川県鎌倉市御成町18番10号北緯35度19分9.3秒東経139度32分48.1秒﻿ / ﻿北緯35.319250度 東経139.546694度﻿ /35.319250; 139.546694﻿ (鎌倉市)座標:北緯35度19分9.3秒東経139度32分48.1秒﻿ / ﻿北緯35.319250度 東経139.546694度﻿ /35.319250; 139.546694﻿ (鎌倉市)","39.67km2","日本","公式ウェブサイト","神奈川県","関東地方","14204-2","172,792人（推計人口、2021年6月1日）","横浜市、逗子市、藤沢市","3000020142042","4,356人/km2","リンドウ","松尾崇","ヤマザクラ","","","-","",""
"常陸太田市","[常陸太田（茨城県）] ","https://ja.wikipedia.org/wiki/常陸太田市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度32分17.8秒東経140度31分51.3秒","〒313-8611茨城県常陸太田市金井町3690北緯36度32分17.8秒東経140度31分51.3秒﻿ / ﻿北緯36.538278度 東経140.530917度﻿ /36.538278; 140.530917座標:北緯36度32分17.8秒東経140度31分51.3秒﻿ / ﻿北緯36.538278度 東経140.530917度﻿ /36.538278; 140.530917","371.99km2","日本","公式ウェブサイト","茨城県","関東地方","08212-1","47,275人（推計人口、2021年6月1日）","高萩市、日立市、常陸大宮市、那珂市、久慈郡大子町福島県：東白川郡矢祭町、塙町","5000020082121","127人/km2","ヤマブキ","大久保太一","ケヤキ","","","","",""
"銚子市","[銚子・犬吠埼（千葉県）] ","https://ja.wikipedia.org/wiki/銚子市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度44分4.7秒東経140度49分36.4秒","〒288-8601千葉県銚子市若宮町1番地1北緯35度44分4.7秒東経140度49分36.4秒﻿ / ﻿北緯35.734639度 東経140.826778度﻿ /35.734639; 140.826778","84.20km2","日本","公式ウェブサイト","千葉県","関東地方","12202-5","56,995人（推計人口、2021年6月1日）","旭市香取郡：東庄町茨城県：神栖市","6000020122025","677人/km2","オオマツヨイグサ","越川信一","サザンカ","","","","",""
"草津町","[草津・白根（群馬県）] ","https://ja.wikipedia.org/wiki/草津町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度37分14.5秒東経138度35分45.9秒","〒377-1792群馬県吾妻郡草津町大字草津28番地北緯36度37分14.5秒東経138度35分45.9秒﻿ / ﻿北緯36.620694度 東経138.596083度﻿ /36.620694; 138.596083座標:北緯36度37分14.5秒東経138度35分45.9秒﻿ / ﻿北緯36.620694度 東経138.596083度﻿ /36.620694; 138.596083","49.75km2（境界未定部分あり）","日本","公式ウェブサイト","群馬県","関東地方","10426-4","6,093人（推計人口、2021年6月1日）","吾妻郡長野原町、中之条町、嬬恋村長野県：上高井郡高山村","4000020104264","122人/km2","","","","","吾妻郡","","シャクナゲ",""
"富士五湖","[富士五湖（山梨県）] 富士五湖 （ ふじごこ ）は、 山梨県 側の 富士山 麓に位置する5つの 湖 の総称。下記の5つの湖を指す。 富士急行 の創設者である 堀内良平 によって命名された  。","https://ja.wikipedia.org/wiki/富士五湖","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金峰山 (山梨県・長野県)","[御岳・昇仙峡（山梨県）] 金峰山 （きんぷさん/きんぽうざん）は、 山梨県 甲府市 と 長野県 南佐久郡 川上村 の境界にある標高2,599 m の 山 である。別名「 甲州御岳山 」  。","https://ja.wikipedia.org/wiki/金峰山_(山梨県・長野県)","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度52分17秒東経138度37分31秒","山梨県甲府市長野県南佐久郡川上村","","","","","","","","","","","","","","北緯35度52分17秒東経138度37分31秒﻿ / ﻿北緯35.87139度 東経138.62528度﻿ /35.87139; 138.62528座標:北緯35度52分17秒東経138度37分31秒﻿ / ﻿北緯35.87139度 東経138.62528度﻿ /35.87139; 138.62528","","","","2,599m"
"石和温泉","[石和温泉（山梨県）] 石和温泉 （いさわおんせん）は、 山梨県 笛吹市 の旧 東八代郡 石和町 地域にある 温泉 。石和温泉に隣接する形で、同市の旧 東山梨郡 春日居町 地域にある 春日居温泉 と合わせて、 石和・春日居温泉郷 を形成する。","https://ja.wikipedia.org/wiki/石和温泉","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度39分28.3秒東経138度38分45.6秒","山梨県笛吹市","","","","","","","","","","","","","","","","","",""
"清里高原","[清里・八ヶ岳（山梨県・長野県）] 清里高原 （きよさとこうげん）は、 山梨県 北杜市 高根町に広がる 高原 である。 八ヶ岳 の南東麓に広がる 観光地 として有名である。","https://ja.wikipedia.org/wiki/清里高原","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松本市","[松本（長野県）] ","https://ja.wikipedia.org/wiki/松本市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度14分16.8秒東経137度58分19.1秒","〒390-8620長野県松本市丸の内3番7号北緯36度14分16.8秒東経137度58分19.1秒﻿ / ﻿北緯36.238000度 東経137.971972度﻿ /36.238000; 137.971972座標:北緯36度14分16.8秒東経137度58分19.1秒﻿ / ﻿北緯36.238000度 東経137.971972度﻿ /36.238000; 137.971972松本市役所庁舎","978.47km2","日本","公式ウェブサイト","長野県","中部地方、甲信越地方、信越地方","20202-9","238,971人（推計人口、2021年6月1日）","塩尻市、安曇野市、大町市、岡谷市、上田市、諏訪郡下諏訪町、東筑摩郡山形村、朝日村、筑北村、小県郡長和町、青木村、木曽郡木曽町、木祖村岐阜県高山市","2000020202029","244人/km2","れんげつつじ","臥雲義尚","あかまつ","","","","",""
