"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"天塩温泉","[天塩温泉] 天塩温泉 （てしおおんせん）は、 北海道 天塩郡 天塩町 にある 温泉 。","https://ja.wikipedia.org/wiki/天塩温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度52分35.6秒東経141度44分38.9秒","北海道天塩郡天塩町字サラキシ5807天塩温泉北海道地図","ナトリウム-塩化物強塩泉","JR北海道宗谷本線幌延駅下車後バスで約20分","38.9°C","てしお温泉 夕映","1","","","","","","","","","","","","",""
"旭温泉 (北海道)","[旭温泉] 旭温泉 （あさひおんせん）は、 北海道 天塩郡 遠別町 字旭にある 温泉 。","https://ja.wikipedia.org/wiki/旭温泉_(北海道)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度39分35.4秒東経141度51分35.8秒","北海道天塩郡遠別町字旭294旭温泉北海道地図","塩化物泉","JR北海道宗谷本線幌延駅よりバスで約1時間10分","29.4°C","","1","","","","","","","","","","","","",""
"羽幌温泉","[羽幌温泉] 道の駅ほっと♡はぼろ （みちのえき ほっとはぼろ）は、 北海道 苫前郡 羽幌町 にある 国道232号 の 道の駅 である。温泉宿泊施設「サンセットプラザ」が中心となる施設である。","https://ja.wikipedia.org/wiki/羽幌温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度22分02秒東経141度42分23秒","〒078-4113北海道苫前郡羽幌町北3条1丁目29","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","7:00 - 22:00","","国道232号","第14回（01050）","1998年4月17日"
"苫前温泉","[苫前温泉] 道の駅風Wとままえ （みちのえき ふわっととままえ）は、 北海道 苫前郡 苫前町 にある 国道232号 の 道の駅 である。","https://ja.wikipedia.org/wiki/苫前温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度18分48秒東経141度39分25秒","〒078-3701北海道苫前郡苫前町字苫前119-1","","","","国土交通省案内ページ全国道の駅連絡会ページ","","","","","","","","","","7:00 - 22:00","","国道232号","第22回（01094）","2006年8月10日"
"初山別温泉","[初山別温泉] 初山別温泉 （しょさんべつおんせん）は、 北海道 苫前郡 初山別村 豊岬にある 温泉 。","https://ja.wikipedia.org/wiki/初山別温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度33分48.6秒東経141度46分36.4秒","北海道苫前町初山別村豊岬初山別温泉北海道地図","ナトリウム - 塩化物泉","JR北海道宗谷本線幌延駅下車後、バスで約1時間10分","11°C","公式サイト","1","","","","","","","","","","","","",""
"神居岩温泉","[神居岩温泉] 神居岩温泉 （かむいわおんせん）は、 北海道 留萌市 にある 温泉 。","https://ja.wikipedia.org/wiki/神居岩温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度56分22.7秒東経141度41分0.4秒","北海道留萌市大字留萌村字カムイワ495神居岩温泉北海道地図","ナトリウム塩化物泉・単純硫黄冷鉱泉","鉄道-JR北海道留萌本線留萌駅下車後、バスで10分車-深川留萌自動車道留萌大和田インターチェンジから約15分","11°C","ホテル神居岩","1","","","","","","","","","","","","",""
"岩尾温泉","[岩尾温泉] 岩尾温泉 （いわおおんせん）は、 北海道 増毛郡 増毛町 岩老にある 温泉 。","https://ja.wikipedia.org/wiki/岩尾温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度46分26.6秒東経141度22分7.2秒","北海道増毛郡増毛町岩老岩尾温泉札幌北海道地図","単純酸性泉","留萌駅から沿岸バス「岩尾港」下車札幌から国道231号で約2時間","14°C","","2","酸性","3.5","140L/min（自然湧出）","低張性","","12月から3月までは冬期間休業","","","","","","",""
"ぽんぴら温泉","[ぽんぴら温泉] ぽんぴら温泉 （ぽんぴらおんせん）は、 北海道 中川郡 中川町 にある 温泉 。名称の「ぽんぴら（誉平）」は、 アイヌ語 で小さな崖を意味する「ポン・ピラ」に由来する。","https://ja.wikipedia.org/wiki/ぽんぴら温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度48分4.7秒東経142度4分32.1秒","北海道中川郡中川町字中川ぽんぴら温泉北海道地図","塩化物強塩泉","JR北海道宗谷本線天塩中川駅より徒歩約20分","9°C","ポンピラアクアリズイング","1","","","","","","","","","","","","",""
"天塩川温泉","[天塩川温泉] 天塩川温泉 （てしおがわおんせん）は、 北海道 中川郡 音威子府村 咲来にある 温泉 。","https://ja.wikipedia.org/wiki/天塩川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度39分37.8秒東経142度15分15.6秒","北海道中川郡音威子府村咲来天塩川温泉北海道地図","ナトリウム - 塩化物・炭酸水素塩泉","JR北海道宗谷本線天塩川温泉駅下車後、徒歩約10分","8.9°C","天塩川温泉","1","中性","","","低張性","","","","","","","","",""
"びふか温泉","[びふか温泉] びふか温泉 （びふかおんせん）は、 北海道 中川郡 美深町 にある 温泉 。","https://ja.wikipedia.org/wiki/びふか温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度33分31.1秒東経142度19分24.7秒","北海道中川郡美深町字紋穂内びふか温泉北海道地図","塩化物泉・炭酸水素塩泉","JR北海道宗谷本線美深駅下車後、バスで約20分","19.9°C","びふか温泉","1","弱アルカリ性","","","低張性","","","","","","","","",""
"五味温泉","[五味温泉] 五味温泉 （ごみおんせん）は 北海道 上川郡 下川町 班渓 にある 温泉 である。","https://ja.wikipedia.org/wiki/五味温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道上川郡下川町班渓","含二酸化炭素-ナトリウム・マグネシウム・カルシウム-炭酸水素塩泉","名寄駅より名士バス、下川バスターミナルで町営バスに乗り換え「五味温泉」下車すぐ","14.6°C","五味温泉公式ホームページ","1","弱酸性","5.8","","低張性","","","","","","","","",""
"協和温泉","[協和温泉] 協和温泉 （きょうわおんせん）は、 北海道 上川郡 愛別町 協和にある 温泉 である。","https://ja.wikipedia.org/wiki/協和温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道上川郡愛別町協和","二酸化炭素泉","JR北海道石北本線愛別駅より予約制バスで約35分","12.6°C","協和温泉","1","弱酸性","5.6","9.0","低張性","","飲泉可","","","","","","",""
"愛山渓温泉","[愛山渓温泉] 愛山渓温泉 （あいざんけいおんせん）は、 北海道 上川郡 上川町 字愛山渓にある 温泉 。 大雪山 への登山基地の一つとなっている。","https://ja.wikipedia.org/wiki/愛山渓温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度43分9.7秒東経142度48分55.1秒","北海道上川郡上川町字愛山渓愛山渓温泉北海道地図","ナトリウム・マグネシウム-炭酸水素塩・硫酸塩泉","JR北海道石北本線上川駅より車で約60分","44.2°C","愛山渓倶楽部","2","中性","6.3","","低張性","","源泉は飲用可能","","","","","","",""
"旭岳温泉","[旭岳温泉] 旭岳温泉 （あさひだけおんせん）は 大雪山 の主峰である 旭岳 の麓、 北海道 上川郡 東川町 にある 温泉 。大雪山の表玄関となっていて夏季は登山の拠点となる。特に 高山植物 の開花のシーズンと 紅葉 のシーズンは混雑する。冬季は、 スキー の合宿地として利用される。","https://ja.wikipedia.org/wiki/旭岳温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度38分52秒東経142度47分17秒","北海道上川郡東川町旭岳温泉旭岳温泉北海道地図","カルシウム・マグネシウム・ナトリウム-硫酸塩泉ほか","旭川駅前9番のりばより、旭川電気軌道「いで湯号」に乗車","47 - 51°C","旭岳温泉","9","","","","","","","","","","","","",""
"中岳温泉","[中岳温泉] 中岳温泉 （なかだけおんせん）は、 北海道 上川郡 東川町 にある、 大雪山 旭岳 山系、 中岳 の中腹に湧く 野湯 。","https://ja.wikipedia.org/wiki/中岳温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度40分54秒 東経142度51分40秒","北海道上川郡東川町","","旭川市からバスで約1時間10分。その後ロープウェイに乗って姿見の池に下車後、徒歩約2時間","","","","","","","","","","","","","","","",""
"有毒温泉","[有毒温泉] 有毒温泉 （ゆうどくおんせん）は、 北海道 上川郡 上川町 にある 温泉 。","https://ja.wikipedia.org/wiki/有毒温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度40分49.2秒東経142度53分2.2秒","北海道上川郡上川町","硫化水素泉","","","","0","","","","","0 人/日","","0人","","","","","",""
"天人峡温泉","[天人峡温泉] 天人峡温泉 （てんにんきょうおんせん）は、 北海道 上川郡 東川町 の 忠別川 沿いにある 温泉 。 大雪山国立公園 内にあり 柱状節理 の深い渓谷の底に位置する。 旭川市 の 奥座敷 で、 大雪山 の登山拠点のひとつにもなっている。","https://ja.wikipedia.org/wiki/天人峡温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度37分17.5秒 東経142度46分50秒","北海道上川郡東川町天人峡温泉","硫酸塩泉","車で旭川市から1時間","47 - 50°C","天人峡- ようこそ東川（一般社団法人ひがしかわ観光協会）","1","中性","","","低張性","","","","","","","","",""
"白金温泉","[（しろがね）温泉] 白金温泉 （しろがねおんせん）は、 北海道 上川郡 美瑛町 にある 温泉 。付近は白樺林の美しい光景が広がる。","https://ja.wikipedia.org/wiki/白金温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道上川郡美瑛町白金温泉","芒硝泉（ナトリウム・カルシウム・マグネシウム-硫酸塩・塩化物泉）","JR北海道富良野線美瑛駅より道北バスで約26分","46~55","びえい白金温泉観光組合","7","","","","","","","","","","","","",""
"吹上温泉 (北海道)","[吹上温泉] 吹上温泉 （ふきあげおんせん）は、 北海道 空知郡 上富良野町 吹上温泉にある 温泉 である。","https://ja.wikipedia.org/wiki/吹上温泉_(北海道)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度25分53.5秒東経142度38分29.7秒","北海道空知郡上富良野町吹上温泉","酸性- カルシウム・ナトリウム -硫酸塩・塩化物泉","上富良野駅から上富良野町営バス十勝岳線に乗り継ぎ約30分、吹上温泉保養センター前下車","42 - 48°C","吹上温泉保養センター白銀荘","1","","","","","","","","","","","","",""
"十勝岳温泉","[十勝岳温泉] 十勝岳温泉 （とかちだけおんせん）は、 北海道 空知郡 上富良野町 十勝岳温泉にある 温泉 。","https://ja.wikipedia.org/wiki/十勝岳温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度24分49秒 東経142度38分34秒","北海道空知郡上富良野町十勝岳温泉","硫酸塩泉など","上富良野駅よりバスで約52分","29.0 - 53.0°C","かみふらの十勝岳観光協会","3","","","","","","","","","","","","",""
"フラヌイ温泉","[フラヌイ温泉] フラヌイ温泉 （フラヌイおんせん）は、 北海道 空知郡 上富良野町 にある 温泉 である。\"フラヌイ\"は富良野の アイヌ語 による古地名。","https://ja.wikipedia.org/wiki/フラヌイ温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度27分32.5秒 東経142度28分44.5秒","北海道空知郡上富良野町新町","ナトリウム - 炭酸水素塩・塩化物泉","上富良野駅から徒歩15分","34.2°C","フロンティア フラヌイ温泉","1","中性","7.2","240L/min（動力揚湯）","低張性","","飲泉可","","","","","","",""
"層雲峡温泉","[（そううんきょう）温泉] 層雲峡温泉 （そううんきょうおんせん）は、 北海道 上川郡 上川町 の 層雲峡 地区にある 温泉 で、北海道有数の規模を誇る 温泉街 を形成している。","https://ja.wikipedia.org/wiki/層雲峡温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度43分43秒東経142度56分45秒","北海道上川郡上川町層雲峡","単純温泉・硫黄泉","JR北海道石北本線上川駅よりバスで約30分","","層雲峡観光協会","17","中性","","","低張性","","","","","","","","",""
"大雪高原温泉","[大雪高原温泉] 大雪高原温泉 (たいせつこうげんおんせん)は、 北海道 上川郡 上川町 にある 温泉 。","https://ja.wikipedia.org/wiki/大雪高原温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道上川郡上川町","単純酸性泉","自家用車かタクシーを利用","71.2°C","大雪高原温泉","1","","2.7","","","","","","","","","","",""
"オホーツクオムイ温泉","[オホーツクオムイ温泉] オホーツクオムイ温泉 （オホーツクオムイおんせん）は、 北海道 紋別郡 雄武町 沢木にある 温泉 。 オホーツク温泉 ・ 雄武温泉 とも称す  。","https://ja.wikipedia.org/wiki/オホーツクオムイ温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道紋別郡雄武町沢木","ナトリウム - 塩化物強塩泉","名寄駅からバスで約2時間士別剣淵ICから105km","66°C","ホテル日の出岬","1","弱アルカリ性","7.6","","高張性","","","","","","","","",""
"かみゆうべつ温泉","[かみゆうべつ温泉] かみゆうべつ温泉 （かみゆうべつおんせん）は、 北海道 紋別郡 湧別町 中湧別中町にある 温泉 。","https://ja.wikipedia.org/wiki/かみゆうべつ温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度11分4.1秒東経143度35分41.9秒","北海道紋別郡湧別町字中湧別3020","ナトリウム - 炭酸水素塩泉","JR北海道石北本線遠軽駅からバスで約30分。","38°C","かみゆうべつ温泉チューリップの湯","","弱アルカリ性","7.8","","低張性","","","","","","","","",""
"網走湖畔温泉","[網走湖畔温泉] 網走湖畔温泉 （あばしりこはんおんせん）は、 北海道 網走市 にある 温泉 。","https://ja.wikipedia.org/wiki/網走湖畔温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度58分5.7秒東経144度12分39.2秒","北海道網走市網走湖畔温泉北海道地図","単純温泉","JR北海道石北本線呼人駅より徒歩または送迎バス","57°C","","","","","","","","","","","","","","",""
"瀬戸瀬温泉","[瀬戸瀬温泉] 瀬戸瀬温泉 （せとせおんせん）は、 北海道 紋別郡 遠軽町 字湯の里にある温泉。","https://ja.wikipedia.org/wiki/瀬戸瀬温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度56分22秒東経143度25分45秒","北海道紋別郡遠軽町字湯の里","アルカリ性単純温泉","遠軽駅からバスで40分","42.8°C","瀬戸瀬温泉- 遠軽町公式サイト内","1","アルカリ性","9.3","180L/min","低張性","","","","","","","","",""
"丸瀬布温泉","[丸瀬布温泉] 丸瀬布温泉 （まるせっぷおんせん）は、 北海道 紋別郡 遠軽町 丸瀬布 上武利にある 温泉 。","https://ja.wikipedia.org/wiki/丸瀬布温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度55分2.5秒東経143度19分47.5秒","北海道紋別郡遠軽町丸瀬布上武利","アルカリ性単純温泉","JR北海道石北本線丸瀬布駅より車で約10分","45.2°C","マウレ山荘","1","アルカリ性","8.6","毎分260リットル（動力揚湯）","低張性","","","","","","","","",""
"北見温泉","[北見温泉] 北見温泉 （きたみおんせん）は、 北海道 北見市 留辺蘂町泉にある 温泉 。「北見ポン湯温泉」とも。同じ市内の 温根湯温泉 よりも東側に位置する。","https://ja.wikipedia.org/wiki/北見温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道北見市留辺蘂町泉","単純温泉","JR北海道石北本線留辺蘂駅より車で約10分","","温根湯温泉観光協会・温根湯温泉旅館組合","1","アルカリ性","","","","","","","","","","","",""
"温根湯温泉","[（おんねゆ）温泉] 温根湯温泉 （おんねゆおんせん）は、 北海道 北見市 留辺蘂町 温根湯温泉にある 温泉 。 国道39号 沿いにあり、無加川の清流をはさんで 旅館 や ホテル が立ち並ぶ。「温根湯」の名称は、 アイヌ語 の「オンネ」（大きな）・「ユ」（お湯）に由来する。","https://ja.wikipedia.org/wiki/温根湯温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度45分35秒東経143度30分32秒","北海道北見市留辺蘂町温根湯温泉","単純硫黄泉ほか","JR北海道石北本線留辺蘂駅より車で10〜15分、バス約20分。","42 - 83°C","温根湯温泉観光協会・温根湯温泉旅館組合","5","アルカリ性","9.1","","低張性","","","","","","","","",""
"滝の湯温泉","[滝の湯温泉] 滝の湯温泉 （たきのゆおんせん）は、 北海道 北見市 留辺蘂町 滝の湯にある 温泉 。","https://ja.wikipedia.org/wiki/滝の湯温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道北見市留辺蘂町滝の湯","単純硫黄泉","JR北海道石北本線留辺蘂駅より車で約40分","44.1°C","温根湯温泉観光協会・温根湯温泉旅館組合","","アルカリ性","9.64","","低張性","","","","","","","","",""
"カムイワッカ湯の滝","[カムイワッカ湯の滝] カムイワッカ湯の滝 （カムイワッカゆのたき）とは、 北海道 斜里郡 斜里町 のカムイワッカ川にかかる 滝 である。滝自体が 温泉 となっている。また、最下流には カムイワッカの滝 という「湯」がつかない別の滝が存在する。","https://ja.wikipedia.org/wiki/カムイワッカ湯の滝","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩尾別温泉","[岩尾別温泉] 岩尾別温泉 （いわおべつおんせん）は、 北海道 斜里郡 斜里町 岩尾別温泉にある 温泉 。 知床国立公園 内に位置する。","https://ja.wikipedia.org/wiki/岩尾別温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度6分35.9秒東経145度5分22秒","北海道斜里郡斜里町岩尾別温泉岩尾別温泉北海道地図","ナトリウム・カルシウム - 塩化物・炭酸水素塩泉","JR北海道釧網本線知床斜里駅よりバスで約1時間15分","62.4","岩尾別温泉ホテル地の涯","1","中性","7.1","毎分150ℓ","低張性","","","","","","","","",""
"ウトロ温泉","[ウトロ温泉] ウトロ温泉 （ウトロおんせん）は、 北海道 斜里郡 斜里町 ウトロ にある 温泉 。別名を、 知床温泉 ともいう。","https://ja.wikipedia.org/wiki/ウトロ温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道斜里郡斜里町ウトロ","含重曹食塩泉・含ホウ酸食塩重曹泉","JR北海道釧網本線知床斜里駅よりバスで約60分（詳しくは後述のウトロ温泉#アクセスを参照）","61°C","","","","","","","","","","","","","","",""
"瀬石温泉","[瀬石温泉] 瀬石温泉 （せせきおんせん）とは、 北海道 目梨郡 羅臼町 瀬石にある 温泉 （ 野湯 ）。 カタカナ で セセキ温泉 と表記する場合もある  。 海岸線 の際にあり 満潮 時には海没することから、旅行者向け ガイドブック へや テレビ番組 でしばしば取り上げられる。","https://ja.wikipedia.org/wiki/瀬石温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度10分41秒東経145度18分43.9秒","北海道目梨郡羅臼町瀬石瀬石温泉北海道地図","ナトリウム塩化物泉","北海道道87号知床公園羅臼線を羅臼町市街地から北上、車で約20分（23km）","64","世界遺産 瀬石温泉〜北海道の秘湯〜知床羅臼のせせき温泉","0","","","","","","満潮時に海没するため、入浴できない時間帯がある。","","","","","","",""
"相泊温泉","[相泊温泉] 相泊温泉 （あいどまりおんせん）とは、 北海道 目梨郡 羅臼町 相泊にある 温泉 である。","https://ja.wikipedia.org/wiki/相泊温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度11分4.1秒東経145度19分3秒","北海道目梨郡羅臼町相泊相泊温泉北海道地図","食塩泉","北海道道87号知床公園羅臼線を羅臼町市街地から北上し、終点付近","50°C","","1","","","","","","宿泊施設は夏季のみ営業","","","","","","",""
