"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"蚕ノ社駅","蚕ノ社駅（かいこのやしろえき）","https://ja.wikipedia.org/wiki/蚕ノ社駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度0分42.72秒東経135度42分46.84秒","■嵐山本線","3.9 km（四条大宮起点）","京福電気鉄道","1910年（明治43年）3月25日","地上駅","相対式2面2線","京都市右京区太秦森ヶ前町北緯35度0分42.72秒東経135度42分46.84秒﻿ / ﻿北緯35.0118667度 東経135.7130111度﻿ /35.0118667; 135.7130111座標:北緯35度0分42.72秒東経135度42分46.84秒﻿ / ﻿北緯35.0118667度 東経135.7130111度﻿ /35.0118667; 135.7130111","","","●A6","","732人/日-2019年-","","","","","","",""
"海崎駅","海崎駅（かいざきえき）","https://ja.wikipedia.org/wiki/海崎駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯32度59分46.24秒東経131度53分17.06秒","■日豊本線","194.8 km（小倉起点）","九州旅客鉄道（JR九州）","1923年（大正12年）7月1日[1]","地上駅","2面2線[1]","大分県佐伯市大字海崎[1]北緯32度59分46.24秒東経131度53分17.06秒﻿ / ﻿北緯32.9961778度 東経131.8880722度﻿ /32.9961778; 131.8880722座標:北緯32度59分46.24秒東経131度53分17.06秒﻿ / ﻿北緯32.9961778度 東経131.8880722度﻿ /32.9961778; 131.8880722","無人駅[1]（自動券売機 有）","カヒ","","42人/日（降車客含まず）-2015年-","84人/日-2015年-","","","","","","",""
"海路駅","海路駅（かいじえき）","https://ja.wikipedia.org/wiki/海路駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯32度20分57.7秒東経130度37分9.21秒","肥薩線","23.5 km（八代起点）","九州旅客鉄道（JR九州）","1952年（昭和27年）6月1日[1]","地上駅","1面1線","熊本県葦北郡芦北町大字海路1589北緯32度20分57.7秒東経130度37分9.21秒﻿ / ﻿北緯32.349361度 東経130.6192250度﻿ /32.349361; 130.6192250﻿ (海路駅)","無人駅","カチ","","","","","","","","","",""
"海神駅","海神駅（かいじんえき）","https://ja.wikipedia.org/wiki/海神駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度42分21.34秒東経139度58分18.66秒","■本線","23.6 km（京成上野起点）","京成電鉄","1919年（大正8年）10月25日[1]","地上駅","2面2線","千葉県船橋市海神五丁目1番22号北緯35度42分21.34秒東経139度58分18.66秒座標:北緯35度42分21.34秒 東経139度58分18.66秒","","","KS21","","5,715人/日-2019年-","","","","","","",""
"甲斐住吉駅","甲斐住吉駅（かいすみよしえき）","https://ja.wikipedia.org/wiki/甲斐住吉駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度38分13.02秒東経138度34分12.78秒","CC身延線","83.1 km（富士起点）","東海旅客鉄道（JR東海）","1931年（昭和6年）4月1日[1]","地上駅","1面1線","山梨県甲府市住吉二丁目北緯35度38分13.02秒東経138度34分12.78秒﻿ / ﻿北緯35.6369500度 東経138.5702167度﻿ /35.6369500; 138.5702167座標:北緯35度38分13.02秒東経138度34分12.78秒﻿ / ﻿北緯35.6369500度 東経138.5702167度﻿ /35.6369500; 138.5702167","無人駅","スミ","","503人/日（降車客含まず）-2018年-","","","","","","","",""
"海瀬駅","海瀬駅（かいぜえき・東日本旅客鉄道小海線）","https://ja.wikipedia.org/wiki/海瀬駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度9分21.42秒東経138度29分9.28秒","■小海線","56.5 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","1919年（大正8年）3月11日[1]","地上駅","1面1線[1]","長野県南佐久郡佐久穂町大字海瀬[1]北緯36度9分21.42秒東経138度29分9.28秒﻿ / ﻿北緯36.1559500度 東経138.4859111度﻿ /36.1559500; 138.4859111座標:北緯36度9分21.42秒東経138度29分9.28秒﻿ / ﻿北緯36.1559500度 東経138.4859111度﻿ /36.1559500; 138.4859111","無人駅[1]標高：755.2m[1]","カイ[1]","","137人/日（降車客含まず）-2011年-","","","","","","","",""
"皆瀬駅","皆瀬駅（かいぜえき・松浦鉄道西九州線）","https://ja.wikipedia.org/wiki/皆瀬駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯33度12分48.17秒東経129度42分6.08秒","■西九州線","85.5 km（有田起点）","松浦鉄道","1920年（大正9年）3月27日1988年（昭和63年）4月1日（転換）","地上駅","1面1線","長崎県佐世保市皆瀬町北緯33度12分48.17秒東経129度42分6.08秒﻿ / ﻿北緯33.2133806度 東経129.7016889度﻿ /33.2133806; 129.7016889座標:北緯33度12分48.17秒東経129度42分6.08秒﻿ / ﻿北緯33.2133806度 東経129.7016889度﻿ /33.2133806; 129.7016889","","カイ","","","199人/日-2018年-","","","","","","",""
"開成駅","開成駅（かいせいえき）","https://ja.wikipedia.org/wiki/開成駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度19分35秒東経139度8分9.5秒","小田原線","74.3 km（新宿起点）","小田急電鉄","1985年（昭和60年）3月14日","地上駅（橋上駅）","2面2線","神奈川県足柄上郡開成町吉田島4300-1北緯35度19分35秒東経139度8分9.5秒﻿ / ﻿北緯35.32639度 東経139.135972度﻿ /35.32639; 139.135972座標:北緯35度19分35秒東経139度8分9.5秒﻿ / ﻿北緯35.32639度 東経139.135972度﻿ /35.32639; 139.135972","","","OH42","","11,414人/日-2018年-","","","","","","",""
"貝田駅","貝田駅（かいだえき）","https://ja.wikipedia.org/wiki/貝田駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯37度54分29.19秒東経140度34分51.66秒","■東北本線","294.9 km（東京起点）","東日本旅客鉄道（JR東日本）","1952年（昭和27年）6月10日","地上駅","2面2線","福島県伊達郡国見町大字貝田字竹ノ根1北緯37度54分29.19秒東経140度34分51.66秒座標:北緯37度54分29.19秒 東経140度34分51.66秒","無人駅","ヒタ","","79人/日（降車客含まず）-2004年-","","","","","","","",""
"海田市駅","海田市駅（かいたいちえき）","https://ja.wikipedia.org/wiki/海田市駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度22分19.52秒東経132度31分49.95秒","G山陽本線","298.3 km（神戸起点）","西日本旅客鉄道（JR西日本）","1894年（明治27年）6月10日","地上駅（橋上駅）","3面5線","広島県安芸郡海田町新町20-20北緯34度22分19.52秒東経132度31分49.95秒﻿ / ﻿北緯34.3720889度 東経132.5305417度﻿ /34.3720889; 132.5305417座標:北緯34度22分19.52秒東経132度31分49.95秒﻿ / ﻿北緯34.3720889度 東経132.5305417度﻿ /34.3720889; 132.5305417","直営駅みどりの窓口有広島市内駅","カタ","JR-G04","9,915人/日（降車客含まず）-2019年-","","","","","","","",""
"貝津駅","貝津駅（かいづえき）","https://ja.wikipedia.org/wiki/貝津駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度7分59秒東経137度8分53秒","■愛知環状鉄道線","25.5 km（岡崎起点）","愛知環状鉄道","2005年（平成17年）3月1日","高架駅","1面1線","愛知県豊田市貝津町片坂105-3北緯35度7分59秒東経137度8分53秒﻿ / ﻿北緯35.13306度 東経137.14806度﻿ /35.13306; 137.14806座標:北緯35度7分59秒東経137度8分53秒﻿ / ﻿北緯35.13306度 東経137.14806度﻿ /35.13306; 137.14806","駅員時間配置駅","カイ","○15","","1,228人/日-2019年-","","","","","","",""
"貝塚駅 (大阪府)","貝塚駅 (大阪府)（かいづかえき・南海本線・水間鉄道水間線）","https://ja.wikipedia.org/wiki/貝塚駅_(大阪府)","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度26分43.79秒東経135度21分27.64秒","","","南海電気鉄道（駅詳細）水間鉄道（駅詳細）","","","","大阪府貝塚市海塚一丁目北緯34度26分43.79秒東経135度21分27.64秒﻿ / ﻿北緯34.4454972度 東経135.3576778度﻿ /34.4454972; 135.3576778座標:北緯34度26分43.79秒東経135度21分27.64秒﻿ / ﻿北緯34.4454972度 東経135.3576778度﻿ /34.4454972; 135.3576778","","","","","","","","","","","",""
"貝塚駅 (福岡県)","貝塚駅 (福岡県)（かいづかえき・福岡市地下鉄箱崎線・西鉄貝塚線）","https://ja.wikipedia.org/wiki/貝塚駅_(福岡県)","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯33度37分55.83秒東経130度25分32.08秒","箱崎線（福岡市地下鉄）","4.7km（中洲川端起点）姪浜から12.8 km","福岡市交通局（福岡市地下鉄）西日本鉄道","1950年（昭和25年）4月10日（駅昇格）","地上駅","1面4線","福岡市東区箱崎七丁目北緯33度37分55.83秒東経130度25分32.08秒﻿ / ﻿北緯33.6321750度 東経130.4255778度﻿ /33.6321750; 130.4255778座標:北緯33度37分55.83秒東経130度25分32.08秒﻿ / ﻿北緯33.6321750度 東経130.4255778度﻿ /33.6321750; 130.4255778","1935 - 1950年 農科裏信号所1950 - 1954年 西鉄多々良駅1954 - 1962年 競輪場前駅","","○H07","（福岡市地下鉄） -2019年-7,365人/日（降車客含まず）","（西日本鉄道） -2019年-16,924人/日","","","","","","",""
"貝塚市役所前駅","貝塚市役所前駅（かいづかしやくしょまええき）","https://ja.wikipedia.org/wiki/貝塚市役所前駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度26分22.02秒東経135度21分37.81秒","水間線","0.8 km（貝塚起点）","水間鉄道","1967年（昭和42年）7月10日","地上駅","単式 1面1線","大阪府貝塚市畠中32-1北緯34度26分22.02秒東経135度21分37.81秒﻿ / ﻿北緯34.4394500度 東経135.3605028度﻿ /34.4394500; 135.3605028座標:北緯34度26分22.02秒東経135度21分37.81秒﻿ / ﻿北緯34.4394500度 東経135.3605028度﻿ /34.4394500; 135.3605028","無人駅","","","","","","231人/日-2019年-","","","","",""
"甲斐常葉駅","甲斐常葉駅（かいときわえき）","https://ja.wikipedia.org/wiki/甲斐常葉駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度26分40.70秒東経138度28分37.12秒","CC身延線","54.1 km（富士起点）","東海旅客鉄道（JR東海）","1927年（昭和2年）12月17日[1]","地上駅","1面2線","山梨県南巨摩郡身延町常葉北緯35度26分40.70秒東経138度28分37.12秒﻿ / ﻿北緯35.4446389度 東経138.4769778度﻿ /35.4446389; 138.4769778座標:北緯35度26分40.70秒東経138度28分37.12秒﻿ / ﻿北緯35.4446389度 東経138.4769778度﻿ /35.4446389; 138.4769778","無人駅","トワ","","22人/日（降車客含まず）-2018年-","","","","","","","",""
"荷稲駅","荷稲駅（かいなえき）","https://ja.wikipedia.org/wiki/荷稲駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯33度7分58.49秒東経133度6分58.16秒","■中村線","13.8 km（窪川起点）","土佐くろしお鉄道（TKT）","1963年（昭和38年）12月18日","地上駅","1面1線","高知県幡多郡黒潮町荷稲北緯33度7分58.49秒東経133度6分58.16秒","無人駅","カナ","○TK28","","19[1]人/日-2019年-","","","","","","",""
"海南駅","海南駅（かいなんえき）","https://ja.wikipedia.org/wiki/海南駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度9分15.59秒東経135度12分51.86秒","W紀勢本線（きのくに線）","370.5km（亀山起点）新宮から190.3 km","西日本旅客鉄道（JR西日本）","1924年（大正13年）2月28日[1]","高架駅","2面4線","和歌山県海南市名高187-8北緯34度9分15.59秒東経135度12分51.86秒","直営駅みどりの券売機プラス有*1936年に日方町駅から改称。","カナ","","2,802人/日（降車客含まず）-2019年-","","","","","","","",""
"柏原駅 (兵庫県)","柏原駅 (兵庫県)（かいばらえき・西日本旅客鉄道福知山線）","https://ja.wikipedia.org/wiki/柏原駅_(兵庫県)","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","","G福知山線","80.0 km（尼崎起点）","西日本旅客鉄道（JR西日本）","1899年（明治32年）5月25日[1]","地上駅[1]","2面2線[1][2]","","直営駅[1]みどりの券売機プラス有","カラ","","816人/日（降車客含まず）-2016年-","","","","","","","",""
"海浜幕張駅","海浜幕張駅（かいひんまくはりえき）","https://ja.wikipedia.org/wiki/海浜幕張駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度38分54秒東経140度2分30.7秒","■京葉線（■武蔵野線直通含む）","31.7 km（東京起点）府中本町から82.9 km","東日本旅客鉄道（JR東日本）","1986年（昭和61年）3月3日","高架駅","2面4線","千葉市美浜区ひび野二丁目110北緯35度38分54秒東経140度2分30.7秒﻿ / ﻿北緯35.64833度 東経140.041861度﻿ /35.64833; 140.041861﻿ (海浜幕張駅)座標:北緯35度38分54秒東経140度2分30.7秒﻿ / ﻿北緯35.64833度 東経140.041861度﻿ /35.64833; 140.041861﻿ (海浜幕張駅)","業務委託駅[報道 1][1]話せる指定席券売機設置駅[2][1]","カヒ","JE13","68,111人/日（降車客含まず）-2019年-","","","","","","","",""
"海部駅","海部駅（かいふえき）","https://ja.wikipedia.org/wiki/海部駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯33度35分36.55秒東経134度21分7.62秒","■阿佐東線","1.5 km（阿波海南起点）","阿佐海岸鉄道","1973年（昭和48年）10月1日","高架駅","2面2線","徳島県海部郡海陽町奥浦字一宇谷23-15北緯33度35分36.55秒東経134度21分7.62秒﻿ / ﻿北緯33.5934861度 東経134.3521167度﻿ /33.5934861; 134.3521167座標:北緯33度35分36.55秒東経134度21分7.62秒﻿ / ﻿北緯33.5934861度 東経134.3521167度﻿ /33.5934861; 134.3521167","無人駅","カフ","○AK28","","98[1]人/日-2019年-","","","","","","",""
"開発駅","開発駅（かいほつえき）","https://ja.wikipedia.org/wiki/開発駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度38分9.9秒東経137度14分34.1秒","■上滝線","4.4 km（南富山起点）","富山地方鉄道","1921年（大正10年）4月25日","地上駅","単式1面1線","富山県富山市月岡町6丁目591北緯36度38分9.9秒東経137度14分34.1秒﻿ / ﻿北緯36.636083度 東経137.242806度﻿ /36.636083; 137.242806﻿ (開発駅)座標:北緯36度38分9.9秒東経137度14分34.1秒﻿ / ﻿北緯36.636083度 東経137.242806度﻿ /36.636083; 137.242806﻿ (開発駅)","無人駅","","T66","160人/日（降車客含まず）-2019年-","306人/日-2019年-","","","","","","",""
"開明駅","開明駅（かいめいえき）","https://ja.wikipedia.org/wiki/開明駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度19分9.7秒東経136度46分25.7秒","尾西線","28.1 km（弥富起点）","名古屋鉄道","1914年8月4日","地上駅","1面1線","愛知県一宮市開明名古羅47-1北緯35度19分9.7秒東経136度46分25.7秒﻿ / ﻿北緯35.319361度 東経136.773806度﻿ /35.319361; 136.773806座標:北緯35度19分9.7秒東経136度46分25.7秒﻿ / ﻿北緯35.319361度 東経136.773806度﻿ /35.319361; 136.773806","無人駅管理駅：名鉄一宮","","BS  22 ","","1,732人/日-2019年[1]-","","","","","","",""
"開聞駅","開聞駅（かいもんえき）","https://ja.wikipedia.org/wiki/開聞駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯31度12分14.37秒東経130度32分5.01秒","指宿枕崎線","61.0 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","1960年（昭和35年）3月22日","地上駅","1面1線","鹿児島県指宿市開聞十町2938北緯31度12分14.37秒東経130度32分5.01秒","無人駅","イモ","","25人/日（降車客含まず）-2015年-","51人/日-2015年-","","","","","","",""
"甲斐大和駅","甲斐大和駅（かいやまとえき）","https://ja.wikipedia.org/wiki/甲斐大和駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度38分22.6秒東経138度46分50.5秒","■中央本線","106.5 km（東京起点）","東日本旅客鉄道（JR東日本）","1903年（明治36年）2月1日[2]","地上駅","2面3線[2]","山梨県甲州市大和町初鹿野1716-1北緯35度38分22.6秒東経138度46分50.5秒座標:北緯35度38分22.6秒 東経138度46分50.5秒","無人駅[2]*1993年に初鹿野駅から改称[2]。","イヤシノ（改称前）","CO35[1]","143人/日（降車客含まず）-2013年-","","","","","","","",""
"偕楽園駅","偕楽園駅（かいらくえんえき・臨時）","https://ja.wikipedia.org/wiki/偕楽園駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度22分23.34秒東経140度27分22.68秒","■常磐線（■水戸線直通含む）","113.4 km（東京起点）","東日本旅客鉄道（JR東日本）[1]","1925年（大正14年）2月2日","地上駅","1面1線[1]","茨城県水戸市常磐町一丁目6090北緯36度22分23.34秒東経140度27分22.68秒座標:北緯36度22分23.34秒 東経140度27分22.68秒","臨時駅","","","","","","","","","","",""
"替佐駅","替佐駅（かえさえき）","https://ja.wikipedia.org/wiki/替佐駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度46分8.85秒東経138度19分24.7秒","■飯山線","8.8 km（豊野起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）10月20日[1]","地上駅","1面2線[1]","長野県中野市大字豊津[1]北緯36度46分8.85秒東経138度19分24.7秒﻿ / ﻿北緯36.7691250度 東経138.323528度﻿ /36.7691250; 138.323528﻿ (替佐駅)座標:北緯36度46分8.85秒東経138度19分24.7秒﻿ / ﻿北緯36.7691250度 東経138.323528度﻿ /36.7691250; 138.323528﻿ (替佐駅)","簡易委託駅[2]標高：333.1 m[2]","カエ[2]","","114人/日（降車客含まず）-2019年-","","","","","","","",""
"加賀温泉駅","加賀温泉駅（かがおんせんえき）","https://ja.wikipedia.org/wiki/加賀温泉駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度19分13.18秒東経136度21分1.77秒","■北陸本線","134.3 km（米原起点）","西日本旅客鉄道（JR西日本）","1944年（昭和19年）10月11日","地上駅","2面4線","石川県加賀市作見町ヲ58北緯36度19分13.18秒東経136度21分1.77秒﻿ / ﻿北緯36.3203278度 東経136.3504917度﻿ /36.3203278; 136.3504917座標:北緯36度19分13.18秒東経136度21分1.77秒﻿ / ﻿北緯36.3203278度 東経136.3504917度﻿ /36.3203278; 136.3504917","直営駅みどりの窓口有*1970年に作見駅から改称[1]。","オセクミ（作見駅時代）","","1,996人/日（降車客含まず）-2019年-","","","","","","","",""
