"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","初登頂","山系","位置","プロミネンス","所属山脈","最容易,ルート","総称","種類","アイソレーション","全長","翻訳","親山頂","Hidden","Hidden","Hidden","Hidden","Hidden"
"ガッシャーブルム I","[11カラコルム-02ガッシャーブルム IHidden Peak/K5カラコルム パキスタン 中国8,08026,5091958北緯35度43分27秒東経76度41分44秒﻿ / ﻿北緯35.72417度 東経76.69556度﻿ /35.72417; 76.69556﻿ (Gasherbrum I)] 標高 8080 m で、世界第11位。「ガッシャーブルム」は「輝く峰」の意味だと言われることが多いが実際は バルティ語 （現地の チベット語 方言）で「美しい山」（\"rgasha\" （美しい） + \"brum\" （山））の意である。 インドの測量局のカラコルム測量時の測量番号はK5。","https://ja.wikipedia.org/wiki/ガッシャーブルムI峰","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度43分00秒東経76度42分00秒","8080m","中国パキスタン","ニコラス・クリンチ隊（アメリカ合衆国、1958年）","カラコルム山脈","北緯35度43分00秒東経76度42分00秒﻿ / ﻿北緯35.71667度 東経76.70000度﻿ /35.71667; 76.70000座標:北緯35度43分00秒東経76度42分00秒﻿ / ﻿北緯35.71667度 東経76.70000度﻿ /35.71667; 76.70000","","","","","","","","","","","","","",""
"ブロードピーク","[12カラコルム-03ブロードピーク/K3カラコルム パキスタン 中国8,05126,4141957北緯35度48分38秒東経76度34分05秒﻿ / ﻿北緯35.81056度 東経76.56806度﻿ /35.81056; 76.56806﻿ (Broad Peak)] K2 から約8 km離れた位置にあり、 ガッシャーブルム 連峰に属する。元々はK2の次の山ということで K3 という名前が付けられていたが、その後の調査で山頂の幅が1.5 kmにも及ぶことから「広い頂」を意味する「ブロード・ピーク」の名前が付けられた。ただし現地語の バルティ語 名は ファイチャン・カングリ （Faichan Kangri）で、地元住民の間では「ブロード・ピーク」という名前はあまり受け入れられていない。","https://ja.wikipedia.org/wiki/ブロードピーク","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度48分00秒東経76度34分00秒","8051m","パキスタンギルギット・バルティスタン州中国新疆ウイグル自治区","1957年","カラコルム山脈","北緯35度48分00秒東経76度34分00秒﻿ / ﻿北緯35.80000度 東経76.56667度﻿ /35.80000; 76.56667座標:北緯35度48分00秒東経76度34分00秒﻿ / ﻿北緯35.80000度 東経76.56667度﻿ /35.80000; 76.56667","","","","","","","","","","","","","",""
"ガッシャーブルム II","[13カラコルム-04ガッシャーブルム II/K4カラコルム パキスタン 中国8,03426,3621956北緯35度45分27秒東経76度39分11秒﻿ / ﻿北緯35.75750度 東経76.65306度﻿ /35.75750; 76.65306﻿ (Gasherbrum II)] 標高 8035 m で、世界第13位。「ガッシャーブルム」は チベット語 で「輝く峰」の意味であるといわれることが多いが、実際は バルティ語 （現地のチベット語方言）で「美しい山」（\"rgasha\" （美しい） + \"brum\" （山））を意味する。","https://ja.wikipedia.org/wiki/ガッシャーブルムII峰","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度45分00秒東経76度39分00秒","8035m","中国パキスタン","フリッツ・モラベック、ヨーゼフ・ラルヒ、ヨハン・ヴィーレンパルト（1956年）","カラコルム山脈","北緯35度45分00秒東経76度39分00秒﻿ / ﻿北緯35.75000度 東経76.65000度﻿ /35.75000; 76.65000座標:北緯35度45分00秒東経76度39分00秒﻿ / ﻿北緯35.75000度 東経76.65000度﻿ /35.75000; 76.65000","","","","","","","","","","","","","",""
"シシャパンマ","[14ヒマラヤ-10シシャパンマヒマラヤ 中国8,02726,3351964北緯28度21分12秒東経85度46分43秒﻿ / ﻿北緯28.35333度 東経85.77861度﻿ /28.35333; 85.77861﻿ (Shishapangma)] シシャパンマとはチベット語で「牛も羊も死に絶えて、麦も枯れる地方」の意味。ゴサインタンは サンスクリット語 由来で「神の座」を意味する。","https://ja.wikipedia.org/wiki/シシャパンマ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度21分00秒東経85度47分00秒","8027m","中国チベット自治区ニャラム県","許競ら10人（1964年）","ランタン山群","北緯28度21分00秒東経85度47分00秒﻿ / ﻿北緯28.35000度 東経85.78333度﻿ /28.35000; 85.78333座標:北緯28度21分00秒東経85度47分00秒﻿ / ﻿北緯28.35000度 東経85.78333度﻿ /28.35000; 85.78333","","","","","","","","","","","","","",""
"ギャチュンカン","[15ヒマラヤ-11ギャチュンカンヒマラヤ ネパール 中国7,95226,0891964北緯28度05分52秒東経86度44分47秒﻿ / ﻿北緯28.09778度 東経86.74639度﻿ /28.09778; 86.74639﻿ (Gyachung Kang)] シェルパ 語で「百の谷が集まる山」の意味。8,000 mに僅かに標高が足りず、またアプローチが長いため、周囲の 8,000m峰 と比べてあまり登られていない山である。同様の理由から、初登頂が 日本人 であったにも関わらず、あまり知られる山ではなかったが、2002年の 山野井夫妻 の雪崩からの生還と、それを元にした 沢木耕太郎 の著書『凍』によって広く知られるようになった。","https://ja.wikipedia.org/wiki/ギャチュンカン","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度05分53秒東経86度44分32秒","7,952m","ネパール中国","加藤幸彦、安久一成（1964年）","ヒマラヤ山脈","北緯28度05分53秒東経86度44分32秒﻿ / ﻿北緯28.09806度 東経86.74222度﻿ /28.09806; 86.74222座標:北緯28度05分53秒東経86度44分32秒﻿ / ﻿北緯28.09806度 東経86.74222度﻿ /28.09806; 86.74222","","","","","","","","","","","","","",""
"ガッシャーブルム III","[カラコルム-05ガッシャーブルム IIIカラコルム パキスタン7,94626,0701975北緯35度45分34秒東経76度38分31秒﻿ / ﻿北緯35.75944度 東経76.64194度﻿ /35.75944; 76.64194] ガッシャーブルム峰 は ヒマラヤ の カラコルム山脈 北東部から中央部の バルトロ氷河 まで連なる 一連の山 。「ガッシャーブルム」とはバルティ語（現地のチベット語方言）で「美しい山」（\"rgasha\" （美しい） + \"brum\" （山））を意味する。代表的な山として以下のものがある。","https://ja.wikipedia.org/wiki/ガッシャーブルム","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"アンナプルナ II","[16ヒマラヤ-12アンナプルナ IIヒマラヤ ネパール7,93726,0401960北緯28度32分03秒東経84度07分20秒﻿ / ﻿北緯28.53417度 東経84.12222度﻿ /28.53417; 84.12222] しかし、14座ある8000メートル峰の中では10番目の標高であるが、けっして容易な山ではない。北面は常に雪崩の危険がつきまとい、南面は岩と氷の困難な大岩壁が立ちはだかっている。最も登られる北斜面では、初登頂ルートを含む北氷河を通過するルートで雪崩が頻発し、雪崩を避けるために稜線沿いにルートをとった場合でさえ雪崩の死者が多数出ている   。そのため8000メートル峰の中では最も登頂者が少なく、2012年3月の時点で、登頂者数191人に対して死亡者数は61人  に達する。死亡率が高い理由は、エベレストのような商業登山の対象とならず、難度の高いルート、単独ないし アルパイン・スタイル 、無酸素による挑戦の比率が高いことにも起因している。","https://ja.wikipedia.org/wiki/アンナプルナ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度35分00秒東経83度49分00秒","8091m","ネパール中部","モーリス・エルゾーグ、ルイ・ラシュナル（フランス語版）（1950年6月3日）","ヒマラヤ山脈","北緯28度35分00秒東経83度49分00秒﻿ / ﻿北緯28.58333度 東経83.81667度﻿ /28.58333; 83.81667座標:北緯28度35分00秒東経83度49分00秒﻿ / ﻿北緯28.58333度 東経83.81667度﻿ /28.58333; 83.81667","","","","","","","","","","","","","",""
"ガッシャーブルム IV","[17カラコルム-06ガッシャーブルム IVカラコルム パキスタン7,93226,0241958北緯35度45分33秒東経76度36分57秒﻿ / ﻿北緯35.75917度 東経76.61583度﻿ /35.75917; 76.61583] 「ガッシャーブルム」は チベット語 で「輝く峰」の意味であるといわれることが多いが、実際は バルティ語 （現地のチベット語方言）で「美しい山」（\"rgasha\" （美しい） + \"brum\" （山））を意味する。","https://ja.wikipedia.org/wiki/ガッシャーブルムIV峰","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度44分00秒東経76度35分00秒","7,925m","中国パキスタン","ワルテル・ボナッティ、カルロ・マウリ（1958年）","カラコルム山脈","北緯35度44分00秒東経76度35分00秒﻿ / ﻿北緯35.73333度 東経76.58333度﻿ /35.73333; 76.58333座標:北緯35度44分00秒東経76度35分00秒﻿ / ﻿北緯35.73333度 東経76.58333度﻿ /35.73333; 76.58333","","","","","","","","","","","","","",""
"ヒマルチュリ","[18ヒマラヤ-13ヒマルチュリヒマラヤ ネパール7,89325,8961960北緯28度26分07秒東経84度38分24秒﻿ / ﻿北緯28.43528度 東経84.64000度﻿ /28.43528; 84.64000] ヒマルチュリは、500m以上の プロミネンス がある山を対象とした場合、 世界で18番目に標高が高い山 である。またヒマルチュリは、麓から垂直的に切り立った巨大な岩壁も大きな特徴である。例えば、ヒマルチュリは、南西の麓を流れるマーシャンギ川 (the Marsyangdi River) から7000mもそそり立っているが、川と峰の水平方向の距離は27kmしかない。","https://ja.wikipedia.org/wiki/ヒマルチュリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度26分03秒東経84度38分15秒","7,893 m(25,896 ft) 世界第18位","ネパールガンダキ県","1960年田辺寿、原田雅弘","","","1,633 m(5,358 ft) ","ヒマラヤ山脈マンシリ・ヒマール","氷河、雪、氷","Ultra","","","","","","","","","",""
"ディスタギール・サール","[19カラコルム-07ディスタギール・サールカラコルム パキスタン7,88425,8661960北緯36度19分33秒東経75度11分18秒﻿ / ﻿北緯36.32583度 東経75.18833度﻿ /36.32583; 75.18833] ディスタギール・サールの初登頂は、1960年の オーストリア 隊（Günther Stärker、Diether Marchart）によるものである。オーストリア隊は、南面の西部を登り、南西の尾根を越えて最高部に到達した。その3年前の1957年、イギリス隊は南と西から登頂に挑戦したが、悪天候のため失敗した。1959年のスイス隊も、南東の尾根上で悪天候のため撤退した。","https://ja.wikipedia.org/wiki/ディスタギール・サール","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯36度19分33秒東経75度11分18秒","7,885 m(25,869 ft) 19位","パキスタンギルギット・バルティスタン州","1960年6月9日 オーストリア隊（Günther Stärker, Diether Marchart）","","","2,525 m(8,284 ft) ","カラコルム山脈ヒスパー山塊（英語版）","氷河・雪・氷","ウルトラ・プロミネント峰","","","","","","","","","",""
"ンガディ・チュリ","[20ヒマラヤ-14ンガディ・チュリヒマラヤ ネパール7,87125,8231970北緯28度30分12秒東経84度34分03秒﻿ / ﻿北緯28.50333度 東経84.56750度﻿ /28.50333; 84.56750] 世界20位の高峰にもかかわらず、ンガディ・チュリは1回もしくは2回しか登頂されていない。","https://ja.wikipedia.org/wiki/ンガディ・チュリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度30分12秒東経84度34分03秒","7,871 m(25,823 ft) 世界20位","ネパール","1970年10月19日 日本隊（未確認）1979年5月8日 ポーランド隊","","","1,020 m(3,350 ft)","ヒマラヤ山脈","Snow/ice climb","","","","","","","","","","",""
"ヌプツェ","[ヒマラヤ-15ヌプツェヒマラヤ ネパール7,86425,8011961北緯27度58分02秒東経86度53分10秒﻿ / ﻿北緯27.96722度 東経86.88611度﻿ /27.96722; 86.88611] ","https://ja.wikipedia.org/wiki/ヌプツェ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯27度57分59秒東経86度53分24秒","7,861m","ネパールサガルマタ県ソルクンブ郡","1961年5月16日イギリス（デニス・デイビス）","ヒマラヤ山脈（クーンブ・ヒマール）","北緯27度57分59秒東経86度53分24秒﻿ / ﻿北緯27.96639度 東経86.89000度﻿ /27.96639; 86.89000座標:北緯27度57分59秒東経86度53分24秒﻿ / ﻿北緯27.96639度 東経86.89000度﻿ /27.96639; 86.89000","","","","","","","","","","","","","",""
"クンヤン・チッシュ","[21カラコルム-08クンヤン・チッシュカラコルム パキスタン7,82325,6661972北緯36度12分19秒東経75度12分28秒﻿ / ﻿北緯36.20528度 東経75.20778度﻿ /36.20528; 75.20778] クンヤン・チッシュは、世界で21番目に高い独立の山である。また、周辺の地形よりも高くなっていることも特筆すべきことである。例えば、クンヤン氷河の南にあるベースキャンプから約4,000メートル高く、約33キロメートル離れたフンザ渓谷からは5,500メートル高い。尖った複雑なピークである。","https://ja.wikipedia.org/wiki/クンヤン・チッシュ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯36度12分19秒東経75度12分28秒","7,852 m(25,761 ft) 世界21位","パキスタンギルギット・バルティスタン州","1971年8月26日Andrzej Heinrich,Jan Stryczynski,Ryszard Szafirski,Andrzej Zawada","","","1,765 m(5,791 ft) ","カラコルム山脈ヒスパー・ムスターグ（英語版）","氷河・岩・氷","ウルトラ・プロミネント峰","","","","","","","","","",""
"マッシャーブルム","[22カラコルム-09マッシャーブルム/K1カラコルム パキスタン7,82125,6591960北緯35度38分28秒東経76度18分21秒﻿ / ﻿北緯35.64111度 東経76.30583度﻿ /35.64111; 76.30583] 名称の由来は明らかではない。二つある山頂を前装式の古い銃に見立ててmashadar（前装銃）とbrum（山）の合成とする説のほか、masha（貴婦人）とbrumの合成とする説などがあるが確たることは不明である。","https://ja.wikipedia.org/wiki/マッシャーブルム","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度38分33秒東経76度18分39秒","7,821m","パキスタンギルギット・バルティスタン州","1960年","カラコルム山脈","北緯35度38分33秒東経76度18分39秒﻿ / ﻿北緯35.64250度 東経76.31083度﻿ /35.64250; 76.31083座標:北緯35度38分33秒東経76度18分39秒﻿ / ﻿北緯35.64250度 東経76.31083度﻿ /35.64250; 76.31083","","","","","","","","","","","","","",""
"ナンダ・デヴィ","[23ヒマラヤ-16ナンダ・デヴィヒマラヤ インド7,81625,6431936北緯30度22分36秒東経79度58分15秒﻿ / ﻿北緯30.37667度 東経79.97083度﻿ /30.37667; 79.97083] 主峰と東峰が猫の耳のように見える双耳峰が特徴。","https://ja.wikipedia.org/wiki/ナンダ・デヴィ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯30度22分33秒 東経79度58分15秒","7,816m","インド","ノエル・オデールとビル・ティルマン（1936年8月29日）","ヒマラヤ山脈","","","","","","","","","","","","","","",""
"チョモ・ロンゾ","[24ヒマラヤ-17チョモ・ロンゾ（英語版）ヒマラヤ 中国7,80425,6041954北緯27度55分48秒東経87度06分29秒﻿ / ﻿北緯27.93000度 東経87.10806度﻿ /27.93000; 87.10806]","https://ja.wikipedia.org/w/index.php?title=チョモ・ロンゾ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"バツーラ・サール","[25カラコルム-10バツーラ・サール（英語版）カラコルム パキスタン7,79525,5741976北緯36度30分36秒東経74度31分27秒﻿ / ﻿北緯36.51000度 東経74.52417度﻿ /36.51000; 74.52417]","https://ja.wikipedia.org/w/index.php?title=バツーラ・サール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"カンジュト・サール","[26カラコルム-11カンジュト・サール（英語版）カラコルム パキスタン7,79025,5581959北緯36度12分18秒東経75度25分04秒﻿ / ﻿北緯36.20500度 東経75.41778度﻿ /36.20500; 75.41778]","https://ja.wikipedia.org/w/index.php?title=カンジュト・サール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
