"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","最高峰","所属諸島","標高","位置","山系","種類","人口","最大都市","最新噴火","人口密度","Hidden","Hidden","Hidden","Hidden"
"天上山 (東京都)","[11天上山てんじょうさん572神津島東京都神津島村] 天上山 （てんじょうさん）は、 東京都 神津島村 の 神津島 にある 火山 で、島内の最高峰。","https://ja.wikipedia.org/wiki/天上山_(東京都)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度13分09.1秒東経139度09分10.6秒","東京都神津島村","","","","","","","571.8m","北緯34度13分09.1秒東経139度09分10.6秒﻿ / ﻿北緯34.219194度 東経139.152944度﻿ /34.219194; 139.152944座標:北緯34度13分09.1秒東経139度09分10.6秒﻿ / ﻿北緯34.219194度 東経139.152944度﻿ /34.219194; 139.152944","神津島","溶岩ドーム","","","838年","","","","",""
"御蔵島","[12長滝山ながたきやま850御蔵島東京都御蔵島村] 御蔵島 （みくらじま）は、 伊豆諸島 に属する日本の 島 。 伊豆七島 の一島。 行政区画 は 東京都 御蔵島村 。","https://ja.wikipedia.org/wiki/御蔵島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度52分27秒東経139度36分7秒","日本東京都御蔵島村","20.55km²","851m","太平洋（フィリピン海）","16.4km","御山","伊豆諸島","","","","","","","","","","","",""
"八丈島","[13八丈富士はちじょうふじ854八丈島東京都八丈町] 八丈島 （はちじょうじま）は、 伊豆諸島 の 火山島 で、日本の 気象庁 によると火山活動度ランクCの 活火山 である。隣の 八丈小島 と区別するため、 八丈本島 もしくは 八丈大島 と呼ばれることもある。東京都心から南方287kmの海上にあり、行政区分は 東京都 八丈町 であるが国政選挙など、一部の行政は 品川区 が行なっており、 自動車 の登録も 品川ナンバー である。 くさや 、 明日葉 、 ハイビスカス 、 島焼酎 が 特産品 で、 1964年 には 富士箱根伊豆国立公園 に指定された。","https://ja.wikipedia.org/wiki/八丈島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度06分34秒東経139度47分29秒","日本（東京都）","69.11km²","854.3m","太平洋（フィリピン海）","58.91km","八丈富士","伊豆諸島","","","","","","","","","","","",""
"青ヶ島","[14大凸部おおとんぶ423青ヶ島東京都青ヶ島村] 青ヶ島 （あおがしま）は、 伊豆諸島 に属する 火山島 で、本諸島の有人島としては最南端にある。日本の 気象庁 によって火山活動度ランクCの 活火山 に指定されており  、また、 常時観測火山 にも選定されている   。全島が 青ヶ島村 に属するが、産業に乏しく 本土 との往来も難しいため、人口減少が続いており、 2019年 においては170人程度しか 定住 していない。","https://ja.wikipedia.org/wiki/青ヶ島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度27分28秒東経139度45分33秒","日本東京都青ヶ島村","5.97km²","423m","太平洋(フィリピン海)","9km","大凸部","伊豆諸島","","","","","170人","","","35.8人/ｋm²","","","",""
"乳房山","[15乳房山ちぶさやま463母島東京都小笠原村] 乳房山 （ちぶさやま）は、 日本 の 東京都 小笠原村 母島 中央部にある 山 。 標高 は462.6 m 。 山頂からは母島全体および母島諸島、遠方に父島諸島が見える。 母島一帯は 国立公園 （ 小笠原国立公園 ）に指定されている。","https://ja.wikipedia.org/wiki/乳房山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯26度39分34秒東経142度09分41秒","東京都小笠原村母島","","","","","","","462.6m","北緯26度39分34秒東経142度09分41秒﻿ / ﻿北緯26.65944度 東経142.16139度﻿ /26.65944; 142.16139座標:北緯26度39分34秒東経142度09分41秒﻿ / ﻿北緯26.65944度 東経142.16139度﻿ /26.65944; 142.16139","海嶺","","","","","","","","",""
"粟島 (新潟県)","[16八幡山はちまんやま101粟島新潟県粟島浦村] 粟島 （あわしま）は、 新潟県 北部、 日本海 にある 島 。全島が 岩船郡 粟島浦村 に属する。","https://ja.wikipedia.org/wiki/粟島_(新潟県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯38度27分13秒東経139度14分18秒","日本（新潟県）","9.78km²","265.6m","日本海","23.0km","小柴山","","","","","","","","","","","","",""
"佐渡島","[17ドンデン山（尻立山）どんでんやま（しりたてやま）940佐渡島新潟県佐渡市] 佐渡島 （さどがしま    、さどしま   ）は、 新潟県 西方沖に位置する 島 。全域が 新潟県 佐渡市 に属し、 佐渡弥彦米山国定公園 、 佐渡ジオパーク に含まれる。 人口 は52,135人（2020年5月1日現在）。","https://ja.wikipedia.org/wiki/佐渡島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯38度2分0秒東経138度22分0秒","日本（新潟県）","854.76km²","1,172m","日本海","262.7km","金北山","","","","","","","佐渡市","","","","","",""
"神島 (三重県)","[18灯明山とうみょうやま171神島三重県鳥羽市] 神島 （かみしま）は 伊勢湾口 に位置する、 周囲 3.9km、 面積 0.76km 2 の 島 で、 三重県 鳥羽市 に属する。 三島由紀夫 の 小説 『 潮騒 』の舞台になったことで有名。 人口 は300人あまりで過疎化が進んでいる。","https://ja.wikipedia.org/wiki/神島_(三重県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度32分54秒東経136度59分5秒","日本（三重県）","0.76km²","171m","伊勢湾（伊良湖水道）","約3.9km","","","","","","","","","","","","","",""
"菅島","[19大山おおやま236菅島三重県鳥羽市] 菅島 （すがしま）は、 三重県 鳥羽市 沖 、 伊勢湾 口に位置する東西に長い 島 である。一島の住所表記は「鳥羽市菅島町」であり、 郵便番号 は517-0004。","https://ja.wikipedia.org/wiki/菅島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度29分56.4秒東経136度54分1.8秒","日本（三重県鳥羽市菅島町）","4.52km²","236m","伊勢湾","13.0km","大山","志摩諸島","","","","","","","","","","","",""
"沖島","[20尾山おやま220沖島滋賀県近江八幡市] 沖島 （おきしま）または 沖ノ島 （おきのしま）は、 琵琶湖 の沖合約1.5 kmに浮かぶ 小島 。琵琶湖最大の島である。 琵琶湖国定公園 第2種特別地域。","https://ja.wikipedia.org/wiki/沖島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯35度12分28秒東経136度3分58秒","日本滋賀県","1.51km²","225m","琵琶湖","6.8km","蓬莱山","","","","","","","","","","","","",""
"沼島","[21石仏山いしぼとけやま125沼島兵庫県南あわじ市] 沼島 （ぬしま）は、 淡路島 の南4.6 km、 紀伊水道 北西部に浮かぶ 島 。 兵庫県 南あわじ市 に属する。面積2.71 km 2 、周囲9.53 km  、 最高地点は117.2m。 瀬戸内海国立公園 の一部。人口473人（ 2017年 4月末現在）  。本項ではかつて同区域に所在した 三原郡 沼島村 （ぬしまむら）についても述べる。","https://ja.wikipedia.org/wiki/沼島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度10分5秒東経134度49分33秒","日本（兵庫県）","2.67km²","117.2m","紀伊水道","9.53km","","","","","","","","","","","","","",""
"大満寺山","[22大満寺山だいまんじさん608島後島根県隠岐の島町] 大満寺山 （だいまんじさん）は、 島根県 隠岐郡 隠岐の島町 にある 標高 607.7 メートル の山である。","https://ja.wikipedia.org/wiki/大満寺山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯36度15分24.3秒東経133度19分49.9秒","日本島根県隠岐郡隠岐の島町","","","","","","","607.7m","北緯36度15分24.3秒東経133度19分49.9秒﻿ / ﻿北緯36.256750度 東経133.330528度﻿ /36.256750; 133.330528座標:北緯36度15分24.3秒東経133度19分49.9秒﻿ / ﻿北緯36.256750度 東経133.330528度﻿ /36.256750; 133.330528","","","","","","","","","",""
"島後","[23高田山たかたやま315島後島根県隠岐の島町] 島後 （どうご）は、 日本 の 隠岐諸島 の主島。全域は 島根県 隠岐郡 隠岐の島町 に属するほか、 島根県庁 の出先機関である 隠岐支庁 が置かれている。","https://ja.wikipedia.org/wiki/島後","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯36度14分東経133度17分","日本・島根県","241.64km²","608m","日本海","211km","","","","","","","","","","","","","",""
"焼火山","[24焼火山たくひやま452西ノ島島根県西ノ島町] 焼火山 （たくひやま）は、 島根県 隠岐郡 西ノ島町 にある標高451.7メートルの山である。","https://ja.wikipedia.org/wiki/焼火山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯36度04分29秒東経133度01分55秒","日本島根県隠岐郡西ノ島町","","","","","","","451.7m","北緯36度04分29秒東経133度01分55秒﻿ / ﻿北緯36.07472度 東経133.03194度﻿ /36.07472; 133.03194座標:北緯36度04分29秒東経133度01分55秒﻿ / ﻿北緯36.07472度 東経133.03194度﻿ /36.07472; 133.03194","","","","","","","","","",""
"知夫里島","[25赤ハゲ山あかはげやま325知夫里島島根県知夫村] 知夫里島 （ちぶりじま）は、 日本 の 島根県 ・ 隠岐諸島 に属する島の一つ。県内唯一の村である 隠岐郡 知夫村 の主島であり、村役場が置かれている。","https://ja.wikipedia.org/wiki/知夫里島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯36度01分東経133度02分","日本・島根県","13.03km²","324.5m","日本海","27.0km","アカハゲ山","","","","","","","","","","","","",""
"白石島","[26立石山たていしやま169白石島岡山県笠岡市] 白石島 （しらいしじま）は、 岡山県 笠岡市 にある 笠岡諸島 に属する、面積2.86km 2 、最高点169m（立石山）、人口750人（2001年）の島で全島が国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/白石島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度24分5.7秒東経133度31分2.1秒","日本(岡山県)","2.86km²","169m","瀬戸内海","","立石山","","","","","","","","","","","","",""
"六島 (岡山県)","[27大石山おおいしやま185六島岡山県笠岡市] 六島 （むしま）は、 日本 の 瀬戸内海 にある 笠岡諸島 の有人島のひとつ。 岡山県 の最南端になっている   。","https://ja.wikipedia.org/wiki/六島_(岡山県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度18分13.2秒東経133度31分55.6秒","日本（岡山県）","1.02km²","185m","水島灘・備後灘（瀬戸内海）","4.6km","大石山","笠岡諸島","","","","","","","","","","","",""
"仙酔島","[28大弥山おおみせん159仙酔島広島県福山市] 仙酔島 （せんすいじま）は、 広島県 福山市 の 鞆の浦 に浮かぶ島で鞆の浦のシンボル的な島である。","https://ja.wikipedia.org/wiki/仙酔島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度23分02秒東経133度23分46秒","日本広島県福山市","","","瀬戸内海","","","芸予諸島","","","","","","","","","","","",""
"因島","[29白滝山しらたきさん226因島広島県尾道市] 因島 （いんのしま）は、 広島県 尾道市 に属する 島 である。","https://ja.wikipedia.org/wiki/因島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度19分0秒東経133度10分0秒","広島県尾道市","35.03km²","390m","瀬戸内海","","奥山","芸予諸島","","","","","","","","","","","",""
"佐木島","[30大平山たいへいざん268佐木島広島県三原市] 佐木島 （さぎしま）は、 広島県 三原市 に属する 芸予諸島 の 島 。","https://ja.wikipedia.org/wiki/佐木島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度20分22秒東経133度6分37.8秒","日本（広島県）","8.72km²","","瀬戸内海","18.2km","","芸予諸島","","","","","","","","","","","",""
"神峰山 (広島県)","[31神峰山かんのみねやま452大崎上島広島県大崎上島町] 神峰山 （かんのみねさん）とは、 広島県 豊田郡 大崎上島町 にある 標高 452.6 メートル の 山 である。 大崎上島 の最高峰であり、 瀬戸内海国立公園 の一部に指定されている。","https://ja.wikipedia.org/wiki/神峰山_(広島県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度13分35.0秒東経132度54分21.3秒","日本広島県豊田郡大崎上島町","","","","","","","452.6m","北緯34度13分35.0秒東経132度54分21.3秒﻿ / ﻿北緯34.226389度 東経132.905917度﻿ /34.226389; 132.905917座標:北緯34度13分35.0秒東経132度54分21.3秒﻿ / ﻿北緯34.226389度 東経132.905917度﻿ /34.226389; 132.905917","","","","","","","","","",""
"大崎下島","[32一峰寺山いっぽうじさん449大崎下島広島県呉市] 大崎下島 （おおさきしもじま）は、 瀬戸内海 の中部にある 下大崎群島 の 島 である。 大長みかん ・ 大長レモン という果樹栽培や 漁業 が盛ん。","https://ja.wikipedia.org/wiki/大崎下島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度10分23.4秒東経132度49分47.4秒","日本（広島県）","17.82km²","449m","瀬戸内海","26.0km","一峰寺山","芸予諸島（下大崎群島）","","","","","","","","","","","",""
"豊島 (広島県)","[33十文字山じゅうもんじやま309豊島広島県呉市] 豊島 （とよしま）は、 瀬戸内海 の中部にある 下大崎群島 の 島 。 蜜柑 ・ レモン などの果樹栽培や 漁業 が盛んである。","https://ja.wikipedia.org/wiki/豊島_(広島県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度10分35.3秒東経132度47分2.2秒","日本（広島県）","5.83km²","317m","瀬戸内海","9.8km","高雄山","芸予諸島（下大崎群島）","","","","","","","","","","","",""
"上蒲刈島","[34七国見山ななくにみやま457上蒲刈島広島県呉市] 上蒲刈島 （かみかまがりじま）は、 瀬戸内海 の中部にある 蒲刈群島 の島。 蜜柑 などの果樹栽培が盛ん。","https://ja.wikipedia.org/wiki/上蒲刈島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度10分53秒東経132度43分39秒","広島県呉市","18.81km²","456.7m","瀬戸内海","27.9km","七国見山","蒲刈群島","","","","","","","","","","","",""
"倉橋島","[35火山ひやま408倉橋島広島県呉市] 倉橋島 （くらはしじま）は、 広島県 呉市 に属する 島 。かつて島内には 倉橋町 と 音戸町 とがあったが、合併により呉市に併合され消滅した。","https://ja.wikipedia.org/wiki/倉橋島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度8分0秒東経132度31分30秒","日本（広島県）","69.47km²","491m","瀬戸内海","","","","","","","","","","","","","","",""
"江田島","[36古鷹山ふるたかやま394江田島広島県江田島市] 江田島 （えたじま）は、 広島県 江田島市 に属する 広島湾 の島である。隣接する 能美島 （東能美島・西能美島）とは陸続きでY字型の一つの島となっている。","https://ja.wikipedia.org/wiki/江田島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度14分47秒東経132度28分40秒","日本広島県","（能美島との合算）91.32km²","399.8m","広島湾","","クマン岳","","","","","","","","","","","","",""
"似島","[37安芸小富士あきのこふじ278似島広島県広島市南区] 似島 （にのしま）とは、 瀬戸内海 の 広島湾 に浮かぶ 島 。行政区分としては 広島県 広島市 南区 似島町に属し、市域の最南端に位置する。広島市内の島としては最も大きい。 2018年 6月末時点の 人口 は797人、世帯数は498世帯  。","https://ja.wikipedia.org/wiki/似島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度17分-19分東経132度25分","日本（広島県）","3.87km²","278m","瀬戸内海（広島湾）","16.0km","","","","","","","","","","","","","",""
"弥山 (広島県)","[38弥山みせん535厳島（宮島）広島県廿日市市] 弥山 （みせん）は 広島県 廿日市市 宮島町 の宮島（ 厳島 ）の中央部にある標高535 mの 山 。古くからの信仰の対象になっている。","https://ja.wikipedia.org/wiki/弥山_(広島県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度16分47秒東経132度19分11秒","日本広島県廿日市市宮島町","","","","","","","535m","北緯34度16分47秒東経132度19分11秒﻿ / ﻿北緯34.27972度 東経132.31972度﻿ /34.27972; 132.31972座標:北緯34度16分47秒東経132度19分11秒﻿ / ﻿北緯34.27972度 東経132.31972度﻿ /34.27972; 132.31972","宮島（厳島）","火成岩","","","","","","","",""
"柱島","[39金蔵山きんぞうざん283柱島山口県岩国市] 柱島 （はしらじま）は、 瀬戸内海 西部の 安芸灘 の南西に位置する 柱島群島 の本島であり、北は 倉橋島 、 江田島 、南は 屋代島 とその属島、東は中島をはじめとする 忽那諸島 に囲まれており、これらの島々の中央部に位置している。 山口県 岩国市 に属する。","https://ja.wikipedia.org/wiki/柱島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度1分12秒東経132度24分43秒","日本山口県岩国市","3.12km²","290m","瀬戸内海","","","","","","","","","","","","","","",""
"嵩山 (山口県)","[40嵩山だけさん618屋代島（周防大島）（屋代島）山口県周防大島町] 嵩山 （だけさん）は、 山口県 大島郡 周防大島町 久賀にある、標高619mの 山 である。","https://ja.wikipedia.org/wiki/嵩山_(山口県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度54分45秒東経132度16分15秒","日本山口県大島郡周防大島町久賀","","","","","","","619m","北緯33度54分45秒東経132度16分15秒﻿ / ﻿北緯33.91250度 東経132.27083度﻿ /33.91250; 132.27083","屋代島","","","","","","","","",""
"平郡島","[41大嶽おおだけ271平郡島山口県柳井市] 平郡島 （へいぐんとう）は、 山口県 柳井市 の南約20kmの 伊予灘 に浮かぶ東西に細長い島。人口591人。山口県で2番目に面積が大きい島である。","https://ja.wikipedia.org/wiki/平郡島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度47分44秒東経132度13分20秒","日本山口県柳井市","16.61km²","468m","伊予灘","","","","","","","","","","","","","","",""
"長島","[42上盛山かみさかりやま314長島山口県上関町] 長島 （ながしま、ちょうとう、おさしま）","https://ja.wikipedia.org/wiki/長島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","","","","","","","","","","","","","","","","","","","",""
"笠戸島","[43摺鉢山すりばちやま229笠戸島山口県下松市] 笠戸島 （かさどしま）は、 山口県 下松市 沖の 瀬戸内海 に浮かぶ三日月形の 離島 。下松市域に含まれる。","https://ja.wikipedia.org/wiki/笠戸島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度56分13秒東経131度49分34秒","日本（山口県）","11.77km²","255.8m","瀬戸内海","36km","","","","","","","","","","","","","",""
"大津島","[44大津山（砲台山）おおつやま（ほうだいやま）174大津島山口県周南市] 大津島 （おおづしま）は、 山口県 周南市 、 徳山下松港 の沖合い10数kmに浮かぶ 離島 である。","https://ja.wikipedia.org/wiki/大津島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度1分18秒東経131度42分27秒","日本山口県周南市","4.73km²","164.9m","瀬戸内海","","","","","","","","","","","","","","",""
"青海島","[45高山たかやま320青海島山口県長門市] 青海島 （おおみじま、おうみじま）は、 山口県 長門市 の北、 日本海 に浮かぶ 島 である。","https://ja.wikipedia.org/wiki/青海島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度25分44.2秒東経131度13分19.8秒","日本山口県長門市","14km²","319.9m","日本海","約40km","","","","","","","","","","","","","",""
"蓋井島","[46金比羅山こんぴらさん148蓋井島山口県下関市] 蓋井島 （ふたおいじま）は、 響灘 に浮かぶ 島 。 山口県 最西端の島。 下関市 に属する。面積2.35km 2 。人口は87人。サザエや乾燥ひじきなどの特産品がある。","https://ja.wikipedia.org/wiki/蓋井島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度06分13.5秒東経130度47分12.5秒","日本山口県下関市","2.35km²","252m","日本海（響灘）","10.4km","","","","","","","","","","","","","",""
"星ヶ城山","[47星ヶ城山ほしがじょうざん816小豆島香川県小豆島町] 星ヶ城山 （ほしがじょうさん、ほしがじょう）は、 瀬戸内海 中央部、 小豆島町 （旧・ 内海町 ）の中央東部にある標高817 m（東峰）の 山 である。西峰と東峰からなり、西側には日本三大渓谷美の1つに数えられる 寒霞渓 （三笠山）を有する。","https://ja.wikipedia.org/wiki/星ヶ城山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度30分55.2608秒東経134度19分2.9289秒","日本香川県小豆島町大字安田字嶮岨山乙586番地の4","","","","","","","816.68m","北緯34度30分55.2608秒東経134度19分2.9289秒﻿ / ﻿北緯34.515350222度 東経134.317480250度﻿ /34.515350222; 134.317480250座標:北緯34度30分55.2608秒東経134度19分2.9289秒﻿ / ﻿北緯34.515350222度 東経134.317480250度﻿ /34.515350222; 134.317480250","嶮阻山系","","","","","","","","",""
"小豆島","[48皇踏山おうとざん394小豆島香川県土庄町] 小豆島 （しょうどしま）は、 瀬戸内海 ・ 播磨灘 にある 島 。行政区分は 香川県 小豆郡 に属し  、 小豆島町 、 土庄町 の2町からなり、人口は2万8,764人（2016年度推計）。近年、人口が減少の一途をたどっており、2013年6月24日に隣接する 沖之島 とあわせて、 国土交通省 より「 離島振興法 」の指定を受けた。離島振興法の活用で、今後10年間の人口減少率を10%以内に抑えることを目指す  。","https://ja.wikipedia.org/wiki/小豆島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度30分49秒東経134度17分8秒","日本（香川県小豆郡）","153.30km²","816.7m","瀬戸内海（播磨灘）","126km","","","","","","","","","","","","","",""
"豊島 (香川県)","[49檀山（壇山）だんやま（だんやま）340豊島香川県土庄町] 豊島 （てしま）は　 瀬戸内海 の東部、 小豆島 の西方3.7 km に位置する 島  。 直島諸島 に属す。","https://ja.wikipedia.org/wiki/豊島_(香川県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度29分0秒東経134度4分0秒","香川県小豆郡土庄町","14.4km²","339.6m","瀬戸内海","19.8km","檀山","直島諸島","","","","","","","","","","","",""
