"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","最新噴火","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"金山 (福岡県・佐賀県) (存在しないページ)","[11かなやま金山福岡県福岡市佐賀県佐賀市(1)967.2地理院地図Googleマップ北緯33度27分49秒東経130度18分21秒﻿ / ﻿北緯33.463537度 東経130.305863度﻿ /33.463537; 130.305863﻿ (金山)]","https://ja.wikipedia.org/w/index.php?title=金山_(福岡県・佐賀県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"九千部山","[12画 像 募 集 中くせんぶやま九千部山佐賀県鳥栖市福岡県那珂川市(2)847.5地理院地図Googleマップ北緯33度25分00秒東経130度26分46秒﻿ / ﻿北緯33.416706度 東経130.446056度﻿ /33.416706; 130.446056﻿ (九千部山)] 九千部山 （くせんぶやま）は、 佐賀県 鳥栖市 と 福岡県 那珂川市 に跨る 山 である。山頂は鳥栖側にあり 標高 は847.5m。 脊振山系 。","https://ja.wikipedia.org/wiki/九千部山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度25分00.1秒東経130度26分45.8秒","847.5m","日本福岡県那珂川市・佐賀県鳥栖市","北緯33度25分00.1秒東経130度26分45.8秒﻿ / ﻿北緯33.416694度 東経130.446056度﻿ /33.416694; 130.446056座標:北緯33度25分00.1秒東経130度26分45.8秒﻿ / ﻿北緯33.416694度 東経130.446056度﻿ /33.416694; 130.446056","","","","","","","","","","","","","","","",""
"脊振山","[13せふりさん脊振山福岡県福岡市佐賀県神埼市(2)1,055.2地理院地図Googleマップ北緯33度26分11秒東経130度22分07秒﻿ / ﻿北緯33.436440度 東経130.368623度﻿ /33.436440; 130.368623﻿ (脊振山)日本三百名山] 脊振山 （せふりさん）は、 福岡県 福岡市 早良区 と 佐賀県 神埼市 との境に位置する 標高 1,054.6m、 脊振山系 最高峰の 山 である。 日本三百名山 の一つ。山頂には、 航空自衛隊 、 アメリカ軍 の レーダーサイト （ 脊振山分屯基地 ）がある。","https://ja.wikipedia.org/wiki/脊振山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度26分11秒東経130度22分07秒","1,054.6m","日本福岡県福岡市早良区・佐賀県神埼市","北緯33度26分11秒東経130度22分07秒﻿ / ﻿北緯33.43639度 東経130.36861度﻿ /33.43639; 130.36861座標:北緯33度26分11秒東経130度22分07秒﻿ / ﻿北緯33.43639度 東経130.36861度﻿ /33.43639; 130.36861","脊振山地","","","","","","","","","","","","","","",""
"井原山 (存在しないページ)","[14いわらやま井原山福岡県糸島市佐賀県佐賀市(3)983.0地理院地図Googleマップ北緯33度28分13秒東経130度14分59秒﻿ / ﻿北緯33.470399度 東経130.249602度﻿ /33.470399; 130.249602﻿ (井原山)]","https://ja.wikipedia.org/w/index.php?title=井原山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天山 (佐賀県)","[15てんざん天山佐賀県唐津市・小城市・佐賀市・多久市(1)1,046.2地理院地図Googleマップ北緯33度20分20秒東経130度08分34秒﻿ / ﻿北緯33.338886度 東経130.142897度﻿ /33.338886; 130.142897﻿ (天山)] 天山 （てんざん）は 筑紫山地 に属する標高1,046.2メートルの 山 である。 佐賀県 唐津市 、 小城市 、 佐賀市 、 多久市 に跨り、佐賀県のほぼ中央に位置する。","https://ja.wikipedia.org/wiki/天山_(佐賀県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度20分20秒東経130度08分34秒","1,046.2m","日本佐賀県唐津市・小城市・佐賀市・多久市","北緯33度20分20秒東経130度08分34秒﻿ / ﻿北緯33.33889度 東経130.14278度﻿ /33.33889; 130.14278座標:北緯33度20分20秒東経130度08分34秒﻿ / ﻿北緯33.33889度 東経130.14278度﻿ /33.33889; 130.14278","筑紫山地","","","","","","","","","","","","","","",""
"作礼山 (佐賀県)","[16画 像 募 集 中さくれいざん作礼山佐賀県唐津市(2)887.1地理院地図Googleマップ北緯33度21分25秒東経130度03分57秒﻿ / ﻿北緯33.356977度 東経130.065941度﻿ /33.356977; 130.065941﻿ (作礼山)] 作礼山 （さくれいざん）は 佐賀県 唐津市 にある 標高 887.1メートルの 山 。","https://ja.wikipedia.org/wiki/作礼山_(佐賀県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度21分25.0秒東経130度03分57.3秒","887.1m","日本佐賀県唐津市","北緯33度21分25.0秒東経130度03分57.3秒﻿ / ﻿北緯33.356944度 東経130.065917度﻿ /33.356944; 130.065917座標:北緯33度21分25.0秒東経130度03分57.3秒﻿ / ﻿北緯33.356944度 東経130.065917度﻿ /33.356944; 130.065917","","","","","","","","","","","","","","","",""
"黒髪山 (佐賀県)","[17くろかみざん黒髪山佐賀県武雄市・有田町516地理院地図Googleマップ北緯33度12分51秒東経129度54分06秒﻿ / ﻿北緯33.214128度 東経129.901639度﻿ /33.214128; 129.901639﻿ (黒髪山)新日本百名山] 黒髪山 （くろかみやま）は、 佐賀県 武雄市 と同県 西松浦郡 有田町 の市町境にある標高516mの 山 である。 新日本百名山 及び 九州百名山 の一つ。","https://ja.wikipedia.org/wiki/黒髪山_(佐賀県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度12分51秒東経129度54分06秒","516m","日本佐賀県西松浦郡有田町・武雄市","北緯33度12分51秒東経129度54分06秒﻿ / ﻿北緯33.21417度 東経129.90167度﻿ /33.21417; 129.90167座標:北緯33度12分51秒東経129度54分06秒﻿ / ﻿北緯33.21417度 東経129.90167度﻿ /33.21417; 129.90167","黒髪山地","","","","","","","","","","","","","","",""
"雲仙岳","[18ふげんだけ普賢岳（雲仙岳の一峰）長崎県雲仙市(1)1,359.3地理院地図Googleマップ北緯32度45分36秒東経130度17分32秒﻿ / ﻿北緯32.759908度 東経130.292146度﻿ /32.759908; 130.292146﻿ (普賢岳（雲仙岳の一峰）)日本二百名山新日本百名山長崎県最高峰は平成新山（雲仙岳の火山活動により形成） 1,483m] 雲仙岳 （うんぜんだけ）は、 長崎県 の 島原半島 中央部にそびえる 火山 である。半島西方の 橘湾 を中心とする 千々石カルデラ の外輪に位置する。広義では、 火山学 上の「雲仙火山」と同義で、最高峰の 平成新山 をはじめ、三岳（三峰）とも呼ばれる 普賢岳 ・ 国見岳 ・ 妙見岳 、五峰（五岳）とも呼ばれる 野岳 ・ 九千部岳 ・ 矢岳 ・ 高岩山・絹笠山 を含め、東の 眉山から 西の 猿葉山 まで、総計20以上の山々から構成される。雲仙岳の形の複雑さは、三岳五峰（三峰五岳）、八葉、二十四峰、三十六峰などさまざまな数字で表現されたが、観光上のキャッチフレーズとして「三峰五岳の雲仙岳」が多用されるようになった結果、狭義として八つの山（ときには三つの山）のみを指す用法も生まれた。歴史的には海上にそびえる山並み全体を指す名称である。行政区分では 島原市 、 南島原市 、 雲仙市 にまたがる。しばしば、旧最高峰の普賢岳（雲仙普賢岳）の名称と混同して用いられる。","https://ja.wikipedia.org/wiki/雲仙岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度45分41秒東経130度17分56秒","1,483m","長崎県島原市、南島原市、雲仙市","北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889座標:北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889","","成層火山・溶岩ドーム（活火山ランクA）","","","","","","","","","","","","","",""
"雲仙岳","[19くせんぶだけ九千部岳（雲仙岳の一峰）長崎県雲仙市(3)1,062.7地理院地図Googleマップ北緯32度46分32秒東経130度15分38秒﻿ / ﻿北緯32.775458度 東経130.260643度﻿ /32.775458; 130.260643﻿ (九千部岳（雲仙岳の一峰）)] 雲仙岳 （うんぜんだけ）は、 長崎県 の 島原半島 中央部にそびえる 火山 である。半島西方の 橘湾 を中心とする 千々石カルデラ の外輪に位置する。広義では、 火山学 上の「雲仙火山」と同義で、最高峰の 平成新山 をはじめ、三岳（三峰）とも呼ばれる 普賢岳 ・ 国見岳 ・ 妙見岳 、五峰（五岳）とも呼ばれる 野岳 ・ 九千部岳 ・ 矢岳 ・ 高岩山・絹笠山 を含め、東の 眉山から 西の 猿葉山 まで、総計20以上の山々から構成される。雲仙岳の形の複雑さは、三岳五峰（三峰五岳）、八葉、二十四峰、三十六峰などさまざまな数字で表現されたが、観光上のキャッチフレーズとして「三峰五岳の雲仙岳」が多用されるようになった結果、狭義として八つの山（ときには三つの山）のみを指す用法も生まれた。歴史的には海上にそびえる山並み全体を指す名称である。行政区分では 島原市 、 南島原市 、 雲仙市 にまたがる。しばしば、旧最高峰の普賢岳（雲仙普賢岳）の名称と混同して用いられる。","https://ja.wikipedia.org/wiki/雲仙岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度45分41秒東経130度17分56秒","1,483m","長崎県島原市、南島原市、雲仙市","北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889座標:北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889","","成層火山・溶岩ドーム（活火山ランクA）","","","","","","","","","","","","","",""
"経ヶ岳 (佐賀県・長崎県)","[20きょうがだけ経ガ岳佐賀県鹿島市・太良町・長崎県大村市(1)1,075.7地理院地図Googleマップ北緯32度59分15秒東経130度04分35秒﻿ / ﻿北緯32.987528度 東経130.076281度﻿ /32.987528; 130.076281﻿ (経ガ岳)佐賀県最高峰] 経ヶ岳 （きょうがたけ）は、 佐賀県 鹿島市 と 藤津郡 太良町 および 長崎県 大村市 の境に位置する 多良山系 に属する 標高 1,075.7mの 火山 である。佐賀県最高峰の 山 であると同時に、多良山系最高峰の山でもある。南東には 多良岳 もあり、両山を尾根伝いに縦走する人も多い。 多良岳県立自然公園 の一部である。山頂では多良岳や 五家原岳 、 大村湾 等を、天気が良ければ 雲仙岳 をも見渡すことができる。","https://ja.wikipedia.org/wiki/経ヶ岳_(佐賀県・長崎県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度59分15.0秒東経130度04分34.6秒","1,075.7m","日本佐賀県鹿島市・藤津郡太良町・長崎県大村市","北緯32度59分15.0秒東経130度04分34.6秒﻿ / ﻿北緯32.987500度 東経130.076278度﻿ /32.987500; 130.076278座標:北緯32度59分15.0秒東経130度04分34.6秒﻿ / ﻿北緯32.987500度 東経130.076278度﻿ /32.987500; 130.076278","多良山系","成層火山、溶岩ドーム（活火山ではない第四紀火山（山体の一部））","","","","","","","","","","","","","",""
"多良岳","[21たらだけ多良岳（長崎県諫早市）佐賀県太良町996m/ (3)982.7地理院地図Googleマップ北緯32度58分34秒東経130度05分53秒﻿ / ﻿北緯32.976205度 東経130.097996度﻿ /32.976205; 130.097996﻿ (多良岳)日本三百名山] 多良岳 （たらだけ）は、 九州 の 山 。 長崎県 と 佐賀県 の県境に位置する標高996mの山。多良岳山系の一峰。","https://ja.wikipedia.org/wiki/多良岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度58分31.7秒東経130度5分33秒","996m","佐賀県藤津郡太良町・長崎県諫早市","北緯32度58分31.7秒東経130度5分33秒﻿ / ﻿北緯32.975472度 東経130.09250度﻿ /32.975472; 130.09250座標:北緯32度58分31.7秒東経130度5分33秒﻿ / ﻿北緯32.975472度 東経130.09250度﻿ /32.975472; 130.09250","多良岳山系","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"虚空蔵山 (長崎県川棚町)","[22こくぞうさん虚空蔵山長崎県川棚町東彼杵町佐賀県嬉野市(1)608.5地理院地図Googleマップ北緯33度05分26秒東経129度55分17秒﻿ / ﻿北緯33.090457度 東経129.921333度﻿ /33.090457; 129.921333﻿ (虚空蔵山)] 虚空蔵山 （こくぞうさん）は、 長崎県 東彼杵郡 川棚町 と同郡 東彼杵町 及び 佐賀県 嬉野市 に跨っている標高608.5mの山。山頂は川棚町に属する。 九州百名山 の一つ。古くは甲後岳との別称があった。","https://ja.wikipedia.org/wiki/虚空蔵山_(長崎県川棚町)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度05分25.5秒東経129度55分16.8秒","608.5m","日本長崎県東彼杵郡川棚町同郡東彼杵町佐賀県嬉野市","北緯33度05分25.5秒東経129度55分16.8秒﻿ / ﻿北緯33.090417度 東経129.921333度﻿ /33.090417; 129.921333","","","","","","","","","","","","","","","",""
"八郎岳","[23はちろうだけ八郎岳長崎県長崎市(1)590.0地理院地図Googleマップ北緯32度40分13秒東経129度51分23秒﻿ / ﻿北緯32.670216度 東経129.856522度﻿ /32.670216; 129.856522﻿ (八郎岳)] 八郎岳 （はちろうだけ）は、 長崎県 長崎市 にある標高589.8mの山。 九州百名山 の一つ。","https://ja.wikipedia.org/wiki/八郎岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度40分12.7秒東経129度51分23.4秒","589.8m","日本長崎県長崎市","北緯32度40分12.7秒東経129度51分23.4秒﻿ / ﻿北緯32.670194度 東経129.856500度﻿ /32.670194; 129.856500座標:北緯32度40分12.7秒東経129度51分23.4秒﻿ / ﻿北緯32.670194度 東経129.856500度﻿ /32.670194; 129.856500","","","","","","","","","","","","","","","",""
"志々伎山","[24しじきやま志々伎山長崎県平戸市(3)347.2地理院地図Googleマップ北緯33度10分31秒東経129度22分22秒﻿ / ﻿北緯33.175280度 東経129.372671度﻿ /33.175280; 129.372671﻿ (志々伎山)] 志々伎山 （しじきさん）は、 長崎県 平戸市 の 平戸島 最南部にある山である。標高347.2m。 九州百名山 の一つである。","https://ja.wikipedia.org/wiki/志々伎山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度10分31秒東経129度22分22秒","347.2m","長崎県平戸市","北緯33度10分31秒東経129度22分22秒﻿ / ﻿北緯33.17528度 東経129.37278度﻿ /33.17528; 129.37278座標:北緯33度10分31秒東経129度22分22秒﻿ / ﻿北緯33.17528度 東経129.37278度﻿ /33.17528; 129.37278","","","","","","","","","","","","","","","",""
"七ツ岳 (存在しないページ)","[25画 像 募 集 中ななつだけ七ツ岳長崎県五島市(3)431.5地理院地図Googleマップ北緯32度40分58秒東経128度42分21秒﻿ / ﻿北緯32.682689度 東経128.705736度﻿ /32.682689; 128.705736﻿ (七ツ岳)福江島]","https://ja.wikipedia.org/w/index.php?title=七ツ岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"洲藻白岳 (存在しないページ)","[26画 像 募 集 中すもしらたけ洲藻白岳長崎県対馬市519地理院地図Googleマップ北緯34度15分30秒東経129度14分46秒﻿ / ﻿北緯34.258252度 東経129.245990度﻿ /34.258252; 129.245990﻿ (洲藻白岳)対馬]","https://ja.wikipedia.org/w/index.php?title=洲藻白岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"津波戸山 (存在しないページ)","[27画 像 募 集 中つわどさん津波戸山大分県杵築市(3)529.4地理院地図Googleマップ北緯33度30分50秒東経131度26分52秒﻿ / ﻿北緯33.513792度 東経131.447751度﻿ /33.513792; 131.447751﻿ (津波戸山)]","https://ja.wikipedia.org/w/index.php?title=津波戸山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"田原山","[28たわらやま田原山大分県豊後高田市・杵築市542地理院地図Googleマップ北緯33度28分27秒東経131度32分30秒﻿ / ﻿北緯33.474109度 東経131.541643度﻿ /33.474109; 131.541643﻿ (田原山)] 田原山 （たわらやま）は、 大分県 北東部の 豊後高田市 および 杵築市 にある 標高 542mの 山 である。鋸歯状の山容から別名 鋸山 （のこぎりさん、のこぎりやま）とも呼ばれる。","https://ja.wikipedia.org/wiki/田原山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度28分37.6秒東経131度32分07.8秒","542m","日本大分県豊後高田市・杵築市","北緯33度28分37.6秒東経131度32分07.8秒﻿ / ﻿北緯33.477111度 東経131.535500度﻿ /33.477111; 131.535500座標:北緯33度28分37.6秒東経131度32分07.8秒﻿ / ﻿北緯33.477111度 東経131.535500度﻿ /33.477111; 131.535500","","","","","","","","","","","","","","","",""
"鹿嵐山 (存在しないページ)","[29かならせやま鹿嵐山大分県宇佐市・（中津市）(1)758.1地理院地図Googleマップ北緯33度26分05秒東経131度15分10秒﻿ / ﻿北緯33.434588度 東経131.252756度﻿ /33.434588; 131.252756﻿ (鹿嵐山)]","https://ja.wikipedia.org/w/index.php?title=鹿嵐山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
