"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","種類","市場情報","本社所在地"
"矢神駅","矢神駅（やがみえき）","https://ja.wikipedia.org/wiki/矢神駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度56分36.25秒東経133度19分58.12秒","P芸備線","10.0km（備中神代起点）新見から16.4 km","西日本旅客鉄道（JR西日本）","1930年（昭和5年）2月10日","地上駅","2面2線","岡山県新見市哲西町矢田字高橋田79-3北緯34度56分36.25秒東経133度19分58.12秒﻿ / ﻿北緯34.9434028度 東経133.3328111度﻿ /34.9434028; 133.3328111座標:北緯34度56分36.25秒東経133度19分58.12秒﻿ / ﻿北緯34.9434028度 東経133.3328111度﻿ /34.9434028; 133.3328111","無人駅","ヤカ","13人/日（降車客含まず）-2019年-","","","","","","","","",""
"八川駅","八川駅（やかわえき）","https://ja.wikipedia.org/wiki/八川駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度8分57.34秒東経133度5分22.14秒","E木次線","56.3 km（宍道起点）","西日本旅客鉄道（JR西日本）","1934年（昭和9年）11月20日","地上駅","1面1線","島根県仁多郡奥出雲町八川99北緯35度8分57.34秒東経133度5分22.14秒﻿ / ﻿北緯35.1492611度 東経133.0894833度﻿ /35.1492611; 133.0894833座標:北緯35度8分57.34秒東経133度5分22.14秒﻿ / ﻿北緯35.1492611度 東経133.0894833度﻿ /35.1492611; 133.0894833","簡易委託駅","ヤカ","0人/日（降車客含まず）-2018年-","","","","","","","","",""
"矢川駅","矢川駅（やがわえき）","https://ja.wikipedia.org/wiki/矢川駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度41分5.9秒東経139度25分55.6秒","■南武線","33.0 km（川崎起点）","東日本旅客鉄道（JR東日本）","1932年（昭和7年）5月20日[1]","地上駅（橋上駅）","1面2線","東京都国立市石田660北緯35度41分5.9秒東経139度25分55.6秒﻿ / ﻿北緯35.684972度 東経139.432111度﻿ /35.684972; 139.432111座標:北緯35度41分5.9秒東経139度25分55.6秒﻿ / ﻿北緯35.684972度 東経139.432111度﻿ /35.684972; 139.432111","業務委託駅","ヤカ←ヤカハ","8,541人/日（降車客含まず）-2019年-","JN24","","","","","","","",""
"谷河原駅","谷河原駅（やがわらえき）","https://ja.wikipedia.org/wiki/谷河原駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度31分11.7秒東経140度31分30.1秒","■水郡線（常陸太田支線）","8.2 km（上菅谷起点）水戸から18.3 km","東日本旅客鉄道（JR東日本）","1935年（昭和10年）9月1日","地上駅","1面1線","茨城県常陸太田市磯部町七反田北緯36度31分11.7秒東経140度31分30.1秒座標:北緯36度31分11.7秒 東経140度31分30.1秒","無人駅*1954年に佐竹駅から改称。","ヤカ","","","","","","","","","",""
"八木駅","八木駅（やぎえき）","https://ja.wikipedia.org/wiki/八木駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度6分8.77秒東経135度31分55.40秒","E山陰本線（嵯峨野線）","28.2 km（京都起点）","西日本旅客鉄道（JR西日本）","1899年（明治32年）8月15日","地上駅（橋上駅）","2面2線","京都府南丹市八木町八木上野34-1北緯35度6分8.77秒東経135度31分55.40秒﻿ / ﻿北緯35.1024361度 東経135.5320556度﻿ /35.1024361; 135.5320556座標:北緯35度6分8.77秒東経135度31分55.40秒﻿ / ﻿北緯35.1024361度 東経135.5320556度﻿ /35.1024361; 135.5320556","業務委託駅","ヤキ","1,440人/日（降車客含まず）-2019年-","JR-E14","","","","","","","",""
"八木崎駅","八木崎駅（やぎさきえき）","https://ja.wikipedia.org/wiki/八木崎駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度58分42.50秒東経139度44分31.32秒","■野田線（東武アーバンパークライン）","14.1 km（大宮起点）","東武鉄道","1929年（昭和4年）11月17日","地上駅","2面2線","埼玉県春日部市粕壁6946北緯35度58分42.50秒東経139度44分31.32秒﻿ / ﻿北緯35.9784722度 東経139.7420333度﻿ /35.9784722; 139.7420333座標:北緯35度58分42.50秒東経139度44分31.32秒﻿ / ﻿北緯35.9784722度 東経139.7420333度﻿ /35.9784722; 139.7420333","業務委託駅","ヤサ","","TD09","10,646人/日-2019年-","","","","","","",""
"八木沢駅","八木沢駅（やぎさわえき）","https://ja.wikipedia.org/wiki/八木沢駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度21分30.58秒東経138度10分31.37秒","別所線","10.1 km（上田起点）","上田電鉄","1921年（大正10年）6月17日[1]","地上駅","単式1面1線[1]","長野県上田市八木沢字表田中439-2北緯36度21分30.58秒東経138度10分31.37秒﻿ / ﻿北緯36.3584944度 東経138.1753806度﻿ /36.3584944; 138.1753806座標:北緯36度21分30.58秒東経138度10分31.37秒﻿ / ﻿北緯36.3584944度 東経138.1753806度﻿ /36.3584944; 138.1753806","無人駅[1]","","38人/日（降車客含まず）-2017年-","BE14","","","","","","","",""
"八木沢・宮古短大駅","八木沢・宮古短大駅（やぎさわ・みやこたんだいえき）","https://ja.wikipedia.org/wiki/八木沢・宮古短大駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度37分9.5秒東経141度56分47.0秒","リアス線","88.2 km（盛起点）","三陸鉄道","2019年（平成31年）3月23日","地上駅","1面1線","岩手県宮古市八木沢第一地割1番3北緯39度37分9.5秒東経141度56分47.0秒﻿ / ﻿北緯39.619306度 東経141.946389度﻿ /39.619306; 141.946389﻿ (八木沢・宮古短大駅)座標:北緯39度37分9.5秒東経141度56分47.0秒﻿ / ﻿北緯39.619306度 東経141.946389度﻿ /39.619306; 141.946389﻿ (八木沢・宮古短大駅)","","","26人/日（降車客含まず）-2019-","","","","","","","","",""
"八木西口駅","八木西口駅（やぎにしぐちえき）","https://ja.wikipedia.org/wiki/八木西口駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度30分33.73秒東経135度47分27.06秒","B橿原線","20.5km（大和西大寺起点）京都から55.1 km","近畿日本鉄道（近鉄）","1923年（大正12年）3月21日","地上駅（地下駅舎）","2面2線","奈良県橿原市八木町一丁目8-32北緯34度30分33.73秒東経135度47分27.06秒﻿ / ﻿北緯34.5093694度 東経135.7908500度﻿ /34.5093694; 135.7908500座標:北緯34度30分33.73秒東経135度47分27.06秒﻿ / ﻿北緯34.5093694度 東経135.7908500度﻿ /34.5093694; 135.7908500","*1929年に八木駅から改称** 同一駅扱い","ヤキニ",""," B40 ","","","","","","","",""
"八木原駅","八木原駅（やぎはらえき）","https://ja.wikipedia.org/wiki/八木原駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度27分48.95秒東経139度1分8.75秒","■上越線（■吾妻線直通含む）","17.7 km（高崎起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1921年（大正10年）7月1日","地上駅","2面3線（実質2面2線）","群馬県渋川市八木原1145北緯36度27分48.95秒東経139度1分8.75秒﻿ / ﻿北緯36.4635972度 東経139.0190972度﻿ /36.4635972; 139.0190972﻿ (八木原駅)座標:北緯36度27分48.95秒東経139度1分8.75秒﻿ / ﻿北緯36.4635972度 東経139.0190972度﻿ /36.4635972; 139.0190972﻿ (八木原駅)","業務委託駅","ヤハ","1,080人/日（降車客含まず）-2019年-","","","","","","","","",""
"八木山動物公園駅","八木山動物公園駅（やぎやまどうぶつこうえんえき）","https://ja.wikipedia.org/wiki/八木山動物公園駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■東西線","0.0 km（八木山動物公園駅起点）","仙台市交通局（仙台市地下鉄）","2015年（平成27年）12月6日","地下駅","1面2線","","","","5,717人/日（降車客含まず）-2019年-","○T01","11,404[2]人/日-2019年-","","","","","","",""
"柳生駅","柳生駅（やぎゅうえき）","https://ja.wikipedia.org/wiki/柳生駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度12分23.9秒東経139度39分34.4秒","■日光線","23.6 km（東武動物公園起点）","東武鉄道","1929年（昭和4年）11月1日","地上駅","2面2線","埼玉県加須市小野袋1834-4北緯36度12分23.9秒東経139度39分34.4秒﻿ / ﻿北緯36.206639度 東経139.659556度﻿ /36.206639; 139.659556﻿ (柳生駅)座標:北緯36度12分23.9秒東経139度39分34.4秒﻿ / ﻿北緯36.206639度 東経139.659556度﻿ /36.206639; 139.659556﻿ (柳生駅)","","ヤキ","","TN06","1,196人/日-2019年-","","","","","","",""
"柳生橋駅","柳生橋駅（やぎゅうばしえき）","https://ja.wikipedia.org/wiki/柳生橋駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度45分16.33秒東経137度23分18.96秒","渥美線","1.0 km（新豊橋起点）","豊橋鉄道","1925年（大正14年）5月1日[1]","地上駅","1面1線","愛知県豊橋市南松山町153北緯34度45分16.33秒東経137度23分18.96秒﻿ / ﻿北緯34.7545361度 東経137.3886000度﻿ /34.7545361; 137.3886000座標:北緯34度45分16.33秒東経137度23分18.96秒﻿ / ﻿北緯34.7545361度 東経137.3886000度﻿ /34.7545361; 137.3886000","駅員時間配置駅7:30-9:00*1925年（大正14年）6月1日松山駅より改称","","614人/日（降車客含まず）-2019年-"," 2 ","1,266人/日-2019年-","","","","","","",""
"矢切駅","矢切駅（やぎりえき）","https://ja.wikipedia.org/wiki/矢切駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度45分27.01秒東経139度53分59.07秒","■北総線","3.2 km（京成高砂起点）","北総鉄道","1991年（平成3年）3月31日[1]","地下駅","2面4線","千葉県松戸市下矢切120北緯35度45分27.01秒東経139度53分59.07秒座標:北緯35度45分27.01秒 東経139度53分59.07秒","","","4,119人/日（降車客含まず）-2018年-","HS02","","","","","","","",""
"薬院駅","薬院駅（やくいんえき）","https://ja.wikipedia.org/wiki/薬院駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","","","西日本鉄道（駅詳細）福岡市交通局（駅詳細）","","","","福岡市中央区白金一丁目","","","","","","","","","","","",""
"薬院大通駅","薬院大通駅（やくいんおおどおりえき）","https://ja.wikipedia.org/wiki/薬院大通駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度34分49.46秒東経130度23分46.17秒","地下鉄七隈線","10.2 km（橋本起点）","福岡市交通局","2005年（平成17年）2月3日","地下駅","1面2線","福岡市中央区薬院四丁目[1]北緯33度34分49.46秒東経130度23分46.17秒﻿ / ﻿北緯33.5804056度 東経130.3961583度﻿ /33.5804056; 130.3961583﻿ (薬院大通駅(動植物園口))座標:北緯33度34分49.46秒東経130度23分46.17秒﻿ / ﻿北緯33.5804056度 東経130.3961583度﻿ /33.5804056; 130.3961583﻿ (薬院大通駅(動植物園口))","業務委託駅","","3,042人/日（降車客含まず）-2019年-","○N13","","","","","","","",""
"薬園台駅","薬園台駅（やくえんだいえき）","https://ja.wikipedia.org/wiki/薬園台駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度42分36.8秒東経140度2分15.3秒","■新京成線","22.5 km（松戸起点）","新京成電鉄","1947年（昭和22年）12月27日","地上駅（橋上駅）[1]","1面2線[1]","千葉県船橋市薬円台6丁目1番1号北緯35度42分36.8秒東経140度2分15.3秒﻿ / ﻿北緯35.710222度 東経140.037583度﻿ /35.710222; 140.037583座標:北緯35度42分36.8秒東経140度2分15.3秒﻿ / ﻿北緯35.710222度 東経140.037583度﻿ /35.710222; 140.037583","","","","SL21","15,045人/日-2019年-","","","","","","",""
"八草駅","八草駅（やくさえき）","https://ja.wikipedia.org/wiki/八草駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","","","愛知環状鉄道（愛環・駅詳細）愛知高速交通（リニモ・駅詳細）","","","","愛知県豊田市八草町石坂","","","","","","","","","","","",""
"薬師堂駅 (宮城県)","薬師堂駅 (宮城県)（やくしどうえき・仙台市地下鉄東西線）","https://ja.wikipedia.org/wiki/薬師堂駅_(宮城県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯38度14分58.5秒東経140度54分22秒","■東西線","9.5 km（八木山動物公園起点）","仙台市交通局（仙台市地下鉄）","2015年12月6日","地下駅","1面2線","仙台市若林区白萩町401-2地先[1]北緯38度14分58.5秒東経140度54分22秒﻿ / ﻿北緯38.249583度 東経140.90611度﻿ /38.249583; 140.90611﻿ (薬師堂駅)座標:北緯38度14分58.5秒東経140度54分22秒﻿ / ﻿北緯38.249583度 東経140.90611度﻿ /38.249583; 140.90611﻿ (薬師堂駅)","","","5,667人/日（降車客含まず）-2019年-","○T10","11,134[2]人/日-2019年-","","","","","","",""
"薬師堂駅 (秋田県)","薬師堂駅 (秋田県)（やくしどうえき・由利高原鉄道鳥海山ろく線）","https://ja.wikipedia.org/wiki/薬師堂駅_(秋田県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度22分4.78秒東経140度2分55.18秒","鳥海山ろく線","2.2 km（羽後本荘起点）","由利高原鉄道","1922年（大正11年）8月1日","地上駅","1面1線","秋田県由利本荘市薬師堂北緯39度22分4.78秒東経140度2分55.18秒﻿ / ﻿北緯39.3679944度 東経140.0486611度﻿ /39.3679944; 140.0486611座標:北緯39度22分4.78秒東経140度2分55.18秒﻿ / ﻿北緯39.3679944度 東経140.0486611度﻿ /39.3679944; 140.0486611","","ヤク","","","83人/日-2018年-","","","","","","",""
"厄神駅","厄神駅（やくじんえき）","https://ja.wikipedia.org/wiki/厄神駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度47分40.82秒東経134度54分24.48秒","I加古川線","7.4 km（加古川起点）","西日本旅客鉄道（JR西日本）","1913年（大正2年）4月1日","地上駅（橋上駅）","2面2線","兵庫県加古川市上荘町国包703-2北緯34度47分40.82秒東経134度54分24.48秒﻿ / ﻿北緯34.7946722度 東経134.9068000度﻿ /34.7946722; 134.9068000﻿ (厄神駅*)","業務委託駅POS端末設置*1916年に国包駅から改称。","ヤク","835人/日（降車客含まず）-2019年-","","","","","","","","",""
"矢口渡駅","矢口渡駅（やぐちのわたしえき）","https://ja.wikipedia.org/wiki/矢口渡駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度33分45.4秒東経139度41分59.7秒","■東急多摩川線","4.3 km（多摩川起点）","東急電鉄","1923年（大正12年）11月1日[1]","地上駅","2面2線","東京都大田区多摩川一丁目20-10北緯35度33分45.4秒東経139度41分59.7秒﻿ / ﻿北緯35.562611度 東経139.699917度﻿ /35.562611; 139.699917座標:北緯35度33分45.4秒東経139度41分59.7秒﻿ / ﻿北緯35.562611度 東経139.699917度﻿ /35.562611; 139.699917","","","","TM06","20,029人/日-2020年-","","","","","","",""
"やぐま台駅","やぐま台駅（やぐまだいえき）","https://ja.wikipedia.org/wiki/やぐま台駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度40分25.8秒東経137度18分34秒","渥美線","14.0[1] km（新豊橋起点）","豊橋鉄道","1924年（大正13年）1月22日[1]","地上駅","1面1線","愛知県田原市谷熊町北緯34度40分25.8秒東経137度18分34秒﻿ / ﻿北緯34.673833度 東経137.30944度﻿ /34.673833; 137.30944座標:北緯34度40分25.8秒東経137度18分34秒﻿ / ﻿北緯34.673833度 東経137.30944度﻿ /34.673833; 137.30944","無人駅*「谷熊駅」として開業","",""," 13 ","413人/日-2019年[2]-","","","","","","",""
