"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"上野御徒町駅","上野御徒町駅（うえのおかちまちえき）","https://ja.wikipedia.org/wiki/上野御徒町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度42分28.4秒東経139度46分27.6秒","●[1]大江戸線","8.7 km（都庁前起点）","東京都交通局（都営地下鉄）","2000年（平成12年）12月12日","地下駅","東京都台東区上野五丁目26-6北緯35度42分28.4秒東経139度46分27.6秒﻿ / ﻿北緯35.707889度 東経139.774333度﻿ /35.707889; 139.774333座標:北緯35度42分28.4秒東経139度46分27.6秒﻿ / ﻿北緯35.707889度 東経139.774333度﻿ /35.707889; 139.774333","1面2線","","上（駅名略称）","","E09[1]","59,753人/日-2019年-","G15[1]上野広小路駅（東京メトロ銀座線）H17[1]仲御徒町駅（東京メトロ日比谷線）御徒町駅（JR京浜東北線・JR山手線）","","","","","",""
"上野市駅","上野市駅（うえのしえき）","https://ja.wikipedia.org/wiki/上野市駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度46分3.09秒東経136度7分47.56秒","伊賀線","3.9 km（伊賀上野起点）","伊賀鉄道","1916年（大正5年）8月8日[1]","地上駅","三重県伊賀市上野丸之内61-2北緯34度46分3.09秒東経136度7分47.56秒﻿ / ﻿北緯34.7675250度 東経136.1298778度﻿ /34.7675250; 136.1298778座標:北緯34度46分3.09秒東経136度7分47.56秒﻿ / ﻿北緯34.7675250度 東経136.1298778度﻿ /34.7675250; 136.1298778","1面2線","*1941年に上野町駅から改称。","","838人/日（降車客含まず）-2019年-","","","","","","","","",""
"上野芝駅","上野芝駅（うえのしばえき）","https://ja.wikipedia.org/wiki/上野芝駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度32分59.45秒東経135度28分42.74秒","R阪和線","12.4 km（天王寺起点）","西日本旅客鉄道（JR西日本）","1929年（昭和4年）7月18日","地上駅（橋上駅）","堺市西区上野芝町三丁1-1北緯34度32分59.45秒東経135度28分42.74秒﻿ / ﻿北緯34.5498472度 東経135.4785389度﻿ /34.5498472; 135.4785389座標:北緯34度32分59.45秒東経135度28分42.74秒﻿ / ﻿北緯34.5498472度 東経135.4785389度﻿ /34.5498472; 135.4785389","2面2線","直営駅みどりの券売機プラス設置駅","ウエ","8,759人/日（降車客含まず）-2018年-","JR-R31","","","","","","","",""
"東京都交通局上野懸垂線の駅","上野動物園西園駅（うえのどうぶつえんにしえんえき・休止中）","https://ja.wikipedia.org/wiki/東京都交通局上野懸垂線の駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度42分57秒東経139度46分12.5秒","上野懸垂線","0.0 km（上野動物園東園起点）","東京都交通局","1957年12月17日","地上駅","東京都台東区上野公園北緯35度42分57秒東経139度46分12.5秒","1面1線","開業時の駅名は本園駅","","","","","","","","","","",""
"東京都交通局上野懸垂線の駅","上野動物園東園駅（うえのどうぶつえんひがしえんえき・休止中）","https://ja.wikipedia.org/wiki/東京都交通局上野懸垂線の駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度42分57秒東経139度46分12.5秒","上野懸垂線","0.0 km（上野動物園東園起点）","東京都交通局","1957年12月17日","地上駅","東京都台東区上野公園北緯35度42分57秒東経139度46分12.5秒","1面1線","開業時の駅名は本園駅","","","","","","","","","","",""
"上野原駅","上野原駅（うえのはらえき）","https://ja.wikipedia.org/wiki/上野原駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度37分7.4秒東経139度6分56.8秒","■■中央本線","59.5km（新宿起点）東京から69.8 km","東日本旅客鉄道（JR東日本）","1901年（明治34年）8月1日[1][2]","地上駅","山梨県上野原市新田1025北緯35度37分7.4秒東経139度6分56.8秒座標:北緯35度37分7.4秒 東経139度6分56.8秒","1面2線[1]","業務委託駅","ウハ","4,873人/日（降車客含まず）-2019年-","JC27","","","","","","","",""
"上野広小路駅","上野広小路駅（うえのひろこうじえき）","https://ja.wikipedia.org/wiki/上野広小路駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度42分27.5秒東経139度46分22.7秒","●[1]銀座線","2.7 km（浅草起点）","東京地下鉄（東京メトロ）","1930年（昭和5年）1月1日","地下駅","東京都台東区上野三丁目29-3北緯35度42分27.5秒東経139度46分22.7秒﻿ / ﻿北緯35.707639度 東経139.772972度﻿ /35.707639; 139.772972座標:北緯35度42分27.5秒東経139度46分22.7秒﻿ / ﻿北緯35.707639度 東経139.772972度﻿ /35.707639; 139.772972","2面2線","","ウヒ","","G15[1]","24,123人/日-2019年-","H17[1]仲御徒町駅（日比谷線）E09[1]上野御徒町駅（都営地下鉄大江戸線）御徒町駅（JR京浜東北線・JR山手線）","","","","","",""
"上林駅","上林駅（うえばやしえき）","https://ja.wikipedia.org/wiki/上林駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度41分41.39秒東経136度9分40.73秒","■伊賀線","13.0 km（伊賀上野起点）","伊賀鉄道","1926年（大正15年）5月26日[1][2]","地上駅","三重県伊賀市上林北緯34度41分41.39秒東経136度9分40.73秒﻿ / ﻿北緯34.6948306度 東経136.1613139度﻿ /34.6948306; 136.1613139座標:北緯34度41分41.39秒東経136度9分40.73秒﻿ / ﻿北緯34.6948306度 東経136.1613139度﻿ /34.6948306; 136.1613139","1面1線","無人駅","","12人/日（降車客含まず）-2019年-","","","","","","","","",""
"植松駅","植松駅（うえまつえき）","https://ja.wikipedia.org/wiki/植松駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度33分4.75秒東経133度49分40.89秒","M本四備讃線（瀬戸大橋線）","2.9km（茶屋町起点）岡山から17.8 km","西日本旅客鉄道（JR西日本）","1988年（昭和63年）3月20日[1]","高架駅","岡山市南区植松565番地北緯34度33分4.75秒東経133度49分40.89秒﻿ / ﻿北緯34.5513194度 東経133.8280250度﻿ /34.5513194; 133.8280250座標:北緯34度33分4.75秒東経133度49分40.89秒﻿ / ﻿北緯34.5513194度 東経133.8280250度﻿ /34.5513194; 133.8280250","2面2線","無人駅（自動券売機 有）","ウマ","185人/日（降車客含まず）-2019年-","JR-M09","","","","","","","",""
"植村駅","植村駅（うえむらえき）","https://ja.wikipedia.org/wiki/植村駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度53分24.13秒東経130度43分26.98秒","肥薩線","102.8 km（八代起点）","九州旅客鉄道（JR九州）","1957年（昭和32年）7月5日[1]","地上駅","鹿児島県霧島市横川町中ノ3181北緯31度53分24.13秒東経130度43分26.98秒﻿ / ﻿北緯31.8900361度 東経130.7241611度﻿ /31.8900361; 130.7241611﻿ (植村駅)","1面1線","無人駅","ウム","5人/日（降車客含まず）-2016年-","","11人/日-2016年-","","","","","","",""
"魚市場通停留場","魚市場通停留場（うおいちばどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/魚市場通停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯41度46分0.03秒東経140度43分22.06秒","函館市電本線","0.8km（函館駅前起点）湯の川より7.3 km","函館市企業局交通部","1913年10月30日","地上駅（停留場）","北海道函館市大手町3-1先、豊川町21-9先北緯41度46分0.03秒東経140度43分22.06秒﻿ / ﻿北緯41.7666750度 東経140.7227944度﻿ /41.7666750; 140.7227944﻿ (魚市場通停留場)座標:北緯41度46分0.03秒東経140度43分22.06秒﻿ / ﻿北緯41.7666750度 東経140.7227944度﻿ /41.7666750; 140.7227944﻿ (魚市場通停留場)","2面2線","","","","DY19","461[1]人/日-2019年-","","","","","","",""
"魚崎駅","魚崎駅（うおざきえき）","https://ja.wikipedia.org/wiki/魚崎駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","阪神電気鉄道（駅詳細）神戸新交通（駅詳細）","","","神戸市東灘区","","","","","","","","","","","","",""
"魚住駅","魚住駅（うおずみえき）","https://ja.wikipedia.org/wiki/魚住駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度41分47.35秒東経134度54分21.51秒","A山陽本線（JR神戸線）","29.1km（神戸起点）大阪から62.2 km","西日本旅客鉄道（JR西日本）","1961年（昭和36年）10月1日[1]","地上駅（橋上駅）[1]","兵庫県明石市魚住町中尾607-1[1]北緯34度41分47.35秒東経134度54分21.51秒﻿ / ﻿北緯34.6964861度 東経134.9059750度﻿ /34.6964861; 134.9059750座標:北緯34度41分47.35秒東経134度54分21.51秒﻿ / ﻿北緯34.6964861度 東経134.9059750度﻿ /34.6964861; 134.9059750","2面2線[1]","業務委託駅[1]みどりの窓口有","ウオ","11,540人/日（降車客含まず）-2019年-","JR-A76","","","","","","","",""
"魚津駅","魚津駅（うおづえき）","https://ja.wikipedia.org/wiki/魚津駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","あいの風とやま鉄道日本貨物鉄道（JR貨物）富山地方鉄道","","","富山県魚津市","","","","","","","","","","","","",""
"魚沼丘陵駅","魚沼丘陵駅（うおぬまきゅうりょうえき）","https://ja.wikipedia.org/wiki/魚沼丘陵駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯37度5分47.09秒東経138度52分38.16秒","■ほくほく線","3.6 km（六日町起点）","北越急行","1997年（平成9年）3月22日","地上駅","新潟県南魚沼市野田232-2北緯37度5分47.09秒東経138度52分38.16秒﻿ / ﻿北緯37.0964139度 東経138.8772667度﻿ /37.0964139; 138.8772667﻿ (魚沼丘陵駅)座標:北緯37度5分47.09秒東経138度52分38.16秒﻿ / ﻿北緯37.0964139度 東経138.8772667度﻿ /37.0964139; 138.8772667﻿ (魚沼丘陵駅)","1面1線","","ウオ","","","124人/日-2018年-","","","","","","",""
"魚沼田中駅","魚沼田中駅（うおぬまたなかえき）","https://ja.wikipedia.org/wiki/魚沼田中駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","■只見線","127.0 km（会津若松起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）10月1日[1]*","地上駅","","1面1線","無人駅","ウタ","","","","","","","","","",""
"魚沼中条駅","魚沼中条駅（うおぬまなかじょうえき）","https://ja.wikipedia.org/wiki/魚沼中条駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯37度9分34.50秒東経138度46分20.47秒","■飯山線","78.4 km（豊野起点）","東日本旅客鉄道（JR東日本）","1927年（昭和2年）11月15日[1]","地上駅","新潟県十日町市中条[1]北緯37度9分34.50秒東経138度46分20.47秒﻿ / ﻿北緯37.1595833度 東経138.7723528度﻿ /37.1595833; 138.7723528﻿ (魚沼中条駅)座標:北緯37度9分34.50秒東経138度46分20.47秒﻿ / ﻿北緯37.1595833度 東経138.7723528度﻿ /37.1595833; 138.7723528﻿ (魚沼中条駅)","1面1線[1]","無人駅[1]","ウオ←ウヲ","","","","","","","","","",""
"鵜飼駅 (広島県)","鵜飼駅（うかいえき）","https://ja.wikipedia.org/wiki/鵜飼駅_(広島県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度34分4.36秒東経133度14分40.85秒","Z福塩線","22.7 km（福山起点）","西日本旅客鉄道（JR西日本）","1914年（大正3年）7月21日","地上駅","広島県府中市鵜飼町45-10北緯34度34分4.36秒東経133度14分40.85秒﻿ / ﻿北緯34.5678778度 東経133.2446806度﻿ /34.5678778; 133.2446806﻿ (鵜飼駅)","1面1線","無人駅（自動券売機 有）","ウカ","331人/日（降車客含まず）-2019年-","","","","","","","","",""
"鵜方駅","鵜方駅（うがたえき）","https://ja.wikipedia.org/wiki/鵜方駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度19分45.72秒東経136度49分33.31秒","M志摩線","21.3km（鳥羽起点）伊勢中川から62.8 km","近畿日本鉄道（近鉄）","1929年（昭和4年）7月23日","地上駅（橋上駅）","三重県志摩市阿児町鵜方1670-2北緯34度19分45.72秒東経136度49分33.31秒﻿ / ﻿北緯34.3293667度 東経136.8259194度﻿ /34.3293667; 136.8259194座標:北緯34度19分45.72秒東経136度49分33.31秒﻿ / ﻿北緯34.3293667度 東経136.8259194度﻿ /34.3293667; 136.8259194","1面2線","","ウカ","960人/日（降車客含まず）-2019年-"," M91 ","","","","","","","",""
"宇賀本郷駅","宇賀本郷駅（うかほんごうえき）","https://ja.wikipedia.org/wiki/宇賀本郷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度13分38.73秒東経130度55分39.21秒","■山陰本線","643.5 km（京都起点）","西日本旅客鉄道（JR西日本）","1958年（昭和33年）7月19日","地上駅","山口県下関市豊浦町大字宇賀字上田4186-5北緯34度13分38.73秒東経130度55分39.21秒﻿ / ﻿北緯34.2274250度 東経130.9275583度﻿ /34.2274250; 130.9275583座標:北緯34度13分38.73秒東経130度55分39.21秒﻿ / ﻿北緯34.2274250度 東経130.9275583度﻿ /34.2274250; 130.9275583","1面1線","無人駅","ウカ","3人/日（降車客含まず）-2019年-","","","","","","","","",""
"浮孔駅","浮孔駅（うきあなえき）","https://ja.wikipedia.org/wiki/浮孔駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度29分53.7秒東経135度45分14.9秒","F南大阪線","35.6 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","1929年（昭和4年）3月29日","地上駅","奈良県大和高田市田井11北緯34度29分53.7秒東経135度45分14.9秒﻿ / ﻿北緯34.498250度 東経135.754139度﻿ /34.498250; 135.754139座標:北緯34度29分53.7秒東経135度45分14.9秒﻿ / ﻿北緯34.498250度 東経135.754139度﻿ /34.498250; 135.754139","2面2線","無人駅","ウキア","807人/日（降車客含まず）-2018年-"," F25 ","","","","","","","",""
"浮島町駅","浮島町駅（うきしまちょうえき）","https://ja.wikipedia.org/wiki/浮島町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度31分22.6秒東経139度46分58.6秒","浮島線","3.9 km（川崎貨物起点）","神奈川臨海鉄道","1964年（昭和39年）3月25日","地上駅","川崎市川崎区浮島町北緯35度31分22.6秒東経139度46分58.6秒﻿ / ﻿北緯35.522944度 東経139.782944度﻿ /35.522944; 139.782944座標:北緯35度31分22.6秒東経139度46分58.6秒﻿ / ﻿北緯35.522944度 東経139.782944度﻿ /35.522944; 139.782944","","貨物専用駅","","","","","","","","","","",""
"うきは駅","うきは駅","https://ja.wikipedia.org/wiki/うきは駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度20分5.98秒東経130度47分20.46秒","■久大本線","30.0 km（久留米起点）","九州旅客鉄道（JR九州）","1931年（昭和6年）7月11日[3]","地上駅","福岡県うきは市浮羽町朝田349-3[1][2]北緯33度20分5.98秒東経130度47分20.46秒","2面2線[1]","簡易委託駅*1990年に筑後千足駅から改称。","ウハセソ（筑後千足駅時代）","","","","","","","","","",""
"浮鞭駅","浮鞭駅（うきぶちえき）","https://ja.wikipedia.org/wiki/浮鞭駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度2分22.23秒東経133度1分47.70秒","■中村線","31.7 km（窪川起点）","土佐くろしお鉄道（TKT）","1970年（昭和45年）10月1日","地上駅","高知県幡多郡黒潮町浮鞭北緯33度2分22.23秒東経133度1分47.70秒","1面2線","無人駅","ウキ","","○TK36","23人/日-2018年-","","","","","","",""
"浮間舟渡駅","浮間舟渡駅（うきまふなどえき）","https://ja.wikipedia.org/wiki/浮間舟渡駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度47分28.4秒東経139度41分29秒","■埼京線（正式には東北本線支線）","3.1 km（赤羽起点）大崎から22.0 km","東日本旅客鉄道（JR東日本）","1985年（昭和60年）9月30日","高架駅","東京都北区浮間四丁目32-20**北緯35度47分28.4秒東経139度41分29秒座標:北緯35度47分28.4秒 東経139度41分29秒","1面2線","業務委託駅東京都区内駅","ウキ","21,892人/日（降車客含まず）-2019年-","JA17","","","","","","","",""
"宇久井駅","宇久井駅（うくいえき）","https://ja.wikipedia.org/wiki/宇久井駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","W紀勢本線（きのくに線）","188.7km（亀山起点）新宮から8.5 km","西日本旅客鉄道（JR西日本）","1912年（大正元年）12月4日[1]","地上駅","","2面2線","無人駅","ウク","64人/日（降車客含まず）-2019年-","","","","","","","","",""
"鶯谷駅","鶯谷駅（うぐいすだにえき）","https://ja.wikipedia.org/wiki/鶯谷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度43分16.68秒東経139度46分41.88秒","■京浜東北線*","4.7 km（東京起点）大宮から25.6 km","東日本旅客鉄道（JR東日本）","1912年（明治45年）7月11日[1]","地上駅（一部橋上駅）","東京都台東区根岸一丁目4-1北緯35度43分16.68秒東経139度46分41.88秒﻿ / ﻿北緯35.7213000度 東経139.7783000度﻿ /35.7213000; 139.7783000﻿ (鶯谷駅)","2面4線（通過線6線）[1]","業務委託駅[2]東京山手線内・東京都区内駅","ウス","25,707人/日（降車客含まず）-2019年-","JK31","","","","","","","",""
"鶯野駅","鶯野駅（うぐいすのえき）","https://ja.wikipedia.org/wiki/鶯野駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度34分6.7秒東経140度33分28.7秒","■田沢湖線","14.0 km（大曲起点）","東日本旅客鉄道（JR東日本）","1965年（昭和40年）11月21日","地上駅","秋田県大仙市下鶯野字上村89北緯39度34分6.7秒東経140度33分28.7秒﻿ / ﻿北緯39.568528度 東経140.557972度﻿ /39.568528; 140.557972座標:北緯39度34分6.7秒東経140度33分28.7秒﻿ / ﻿北緯39.568528度 東経140.557972度﻿ /39.568528; 140.557972","1面1線","無人駅","ウス","","","","","","","","","",""
"鶯の森駅","鶯の森駅（うぐいすのもりえき）","https://ja.wikipedia.org/wiki/鶯の森駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度50分52.62秒東経135度25分8.09秒","妙見線","2.7 km（川西能勢口起点）","能勢電鉄","1953年（昭和28年）8月21日[1]","地上駅[1]","兵庫県川西市鶯の森町7-14[1]北緯34度50分52.62秒東経135度25分8.09秒﻿ / ﻿北緯34.8479500度 東経135.4189139度﻿ /34.8479500; 135.4189139座標:北緯34度50分52.62秒東経135度25分8.09秒﻿ / ﻿北緯34.8479500度 東経135.4189139度﻿ /34.8479500; 135.4189139","相対式2面2線[1]","無人駅[1]","","","●NS04","","","1,056[2]人/日-2019年-","","","","",""
