"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","築城主","城郭構造","築城年","遺構","主な城主","指定文化財","廃城年","位置","地図","別名","天守構造","主な改修者","再建造物","所在地","登録文化財","埋蔵文化財,包蔵地番号","宗派","本尊","創建年"
"根室半島チャシ跡群","[根室半島チャシ跡群（チャルコロモイチャシ他）アイヌ民族の古城] 根室半島チャシ跡群 （ねむろはんとうチャシあとぐん）は、 北海道 根室市 にある24か所の チャシ 跡（チャシコツ）の総称。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/根室半島チャシ跡群","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯43度23分19秒東経145度46分57秒","","","","空堀","","国の史跡","","北緯43度23分19秒東経145度46分57秒﻿ / ﻿北緯43.38861度 東経145.78250度﻿ /43.38861; 145.78250座標:北緯43度23分19秒東経145度46分57秒﻿ / ﻿北緯43.38861度 東経145.78250度﻿ /43.38861; 145.78250","根室半島チャシ跡群","","丘先式チャシ、面崖式チャシ","","","","","","","",""
"道南十二館","[道南十二館] 道南十二館 （どうなんじゅうにたて）は、 蝦夷地 （後の 渡島国 、現 北海道 ） 渡島半島 にあった和人領主層の館の総称。 松前藩 の歴史を記した『 新羅之記録 』に十二の館が記されていることから、この名がついた。東は函館市に所在する志苔館から西の上ノ国町の花沢館まで、渡島半島南端の海岸線に分布する。安東氏の 被官 である館主はこれらの館をアイヌ民族や和人商人との交易や領域支配の重要拠点とした。","https://ja.wikipedia.org/wiki/道南十二館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"チャシ","[チャシ] チャシ とは主に 近世 に アイヌ が築造したある種の施設であって、高い場所に築かれ、 壕 や 崖 などで周囲と切り離された施設である。","https://ja.wikipedia.org/wiki/チャシ","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蠣崎城","[蠣崎城（錦帯城）] 蠣崎城 （かきざきじょう）は、 青森県 むつ市 川内町蛎崎 に所在した 日本の城 。別称「 錦帯城 」。","https://ja.wikipedia.org/wiki/蠣崎城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度10分14秒 東経140度53分26秒","","","","","","","","","","","","","","","","","","",""
"田名部館","[田名部城] 田名部館 （たなぶだて）は、 青森県 むつ市 小川町  に所在した 日本の城 。","https://ja.wikipedia.org/wiki/田名部館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度17分46秒 東経141度12分36秒","","","","","","","","","","","","","","","","","","",""
"奥瀬館","[奥瀬館] 奥瀬館 （おくせだて）は、 青森県 十和田市 奥瀬に所在した 日本の城 。","https://ja.wikipedia.org/wiki/奥瀬館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"七戸城","[七戸城（柏葉城）] 七戸城 （しちのへじよう）は、 青森県 上北郡 七戸町 に所在した 日本の城 。","https://ja.wikipedia.org/wiki/七戸城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度41分53秒 東経141度08分56秒","","","不明","","","国の史跡","天正20年（1592年）","","","","","","","","","","","",""
"野辺地城","[野辺地城（金鶏城）] 野辺地城 （のへじじょう）は、 青森県 上北郡 野辺地町 字野辺地に所在した 日本の城 の一つ。別称、 金鶏城 （きんけいじょう）。","https://ja.wikipedia.org/wiki/野辺地城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度51分53秒 東経141度07分29秒","","","","","","","","","","","","","","","","","","",""
"横浜館","[横浜館] 横浜館 （よこはまだて）は、 青森県 上北郡 横浜町 舘ノ後に所在した 日本の城 跡。","https://ja.wikipedia.org/wiki/横浜館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度05分12.3秒東経141度14分54.3秒","佐々木氏?","平城","不明","埋没","佐々木権太郎・権次郎、横浜氏","史跡等未指定","天正20年（1592年）以前?","北緯41度05分12.3秒東経141度14分54.3秒﻿ / ﻿北緯41.086750度 東経141.248417度﻿ /41.086750; 141.248417座標:北緯41度05分12.3秒東経141度14分54.3秒﻿ / ﻿北緯41.086750度 東経141.248417度﻿ /41.086750; 141.248417","横浜館","","","","","","","青森県No.406022","","",""
"櫛引城","[櫛引城] 櫛引城 （くしびきじょう）は、 日本 の 青森県 八戸市 に所在した 日本の城 。","https://ja.wikipedia.org/wiki/櫛引城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","四戸氏","平城","不明","郭、堀","櫛引氏","","","","","","不明（非現存）","","","","","","","",""
"新井田城","[新井田城] 新井田川 と 松館川 の合流点付近の小高い 丘陵  に所在した。","https://ja.wikipedia.org/wiki/新井田城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度29分27秒 東経141度31分13秒","","","","","","","","","","","","","","","","","","",""
"根城","[根城] 根城 （ねじょう）は、 日本の城 。所在地は 青森県 八戸市 根城 。国の 史跡 に指定。 日本100名城 の一つ。","https://ja.wikipedia.org/wiki/根城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度30分22.83秒東経141度27分34.6秒","南部師行","連郭式平山城","建武元年（1334年）","土塁、堀、井戸","根城南部氏","国の史跡","寛永4年（1627年）","北緯40度30分22.83秒東経141度27分34.6秒﻿ / ﻿北緯40.5063417度 東経141.459611度﻿ /40.5063417; 141.459611","根城","","なし","","主殿・中馬屋・工房鍛冶工房・板倉・納屋・東門","","","","","",""
"八戸城","[八戸城] 八戸城 （はちのへじょう）は、 青森県 八戸市 にかつて存在した 日本の城 （ 平城 ）である。","https://ja.wikipedia.org/wiki/八戸城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度30分50.4秒東経141度29分16.3秒","南部利直","平城","寛永4年 （1627年）","なし","南部氏","なし","明治4年（1871年）","北緯40度30分50.4秒東経141度29分16.3秒﻿ / ﻿北緯40.514000度 東経141.487861度﻿ /40.514000; 141.487861座標:北緯40度30分50.4秒東経141度29分16.3秒﻿ / ﻿北緯40.514000度 東経141.487861度﻿ /40.514000; 141.487861","","","","","","","","","","",""
"相内館","[相内館] 相内館 （あいないだて）は、 青森県 三戸郡 南部町 相内に所在した 城館跡 。別称・一夜堀館。南部町指定 史跡  。","https://ja.wikipedia.org/wiki/相内館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度25分45.4秒東経141度18分46.1秒","南部光行","平城","1191年（建久2年）","土塁","南部実光","南部町指定史跡","","北緯40度25分45.4秒東経141度18分46.1秒﻿ / ﻿北緯40.429278度 東経141.312806度﻿ /40.429278; 141.312806","相内館","一夜堀館","","","","","","","","",""
"上名久井館","[上名久井城] 名久井岳 の 尾根 の東端を利用して、 馬淵川 の右岸の丘陵に東西160ｍ×南北100mの規模で、館は大館と小古館の二つに分かれている  。四周に土塁と館をめぐらし、南北に掘割を構えていた。","https://ja.wikipedia.org/wiki/上名久井館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度24分58秒 東経141度19分40秒","","","","","","","","","","","","","","","","","","",""
"剣吉館","[剣吉城] 剣吉館 （けんよしたて）は、 青森県 三戸郡 南部町 剣吉に所在した 日本の城 。","https://ja.wikipedia.org/wiki/剣吉館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平良ヶ崎館","[平良ヶ崎館] 平良ヶ崎館 （へらがさきだて）、または 平良ヶ崎城 （へらがさきじょう）は、 青森県 三戸郡 南部町 に所在した 日本の城 の一つ。南部町指定 史跡  。","https://ja.wikipedia.org/wiki/平良ヶ崎館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度24分46秒東経141度16分38秒","南部三郎光行","平城","1192年（建久3年）","","南部氏","南部町史跡","","北緯40度24分46秒東経141度16分38秒﻿ / ﻿北緯40.41278度 東経141.27722度﻿ /40.41278; 141.27722","平良ヶ崎館","平良ヶ崎城","","","南部町立南部中学校","","","","","",""
"大向館","[大向館] 大向館 （おおむかいだて）は 青森県 三戸郡 南部町 大向字下比良に所在した 城館跡 。別称 鎧神館。南部町史跡","https://ja.wikipedia.org/wiki/大向館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"馬場館","[馬場館] 馬場館 （ばばだて）は、複数ある 日本の城 。","https://ja.wikipedia.org/wiki/馬場館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三戸城","[三戸城（留ヶ崎城・糠部城）] 三戸城 （さんのへじょう）は 日本の城 の一つ。 青森県 三戸郡 三戸町 梅内にある。通称・留ヶ崎城。","https://ja.wikipedia.org/wiki/三戸城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度22分52秒東経141度15分51秒","南部晴政","連郭式山城","天文8年（1539年）","曲輪","三戸南部氏","表門、搦手門、代官所門が三戸町指定有形文化財","貞享年間（1684～88年）","北緯40度22分52秒東経141度15分51秒﻿ / ﻿北緯40.38111度 東経141.26417度﻿ /40.38111; 141.26417","三戸城","留ヶ崎城","なし","","模擬天守","","","","","",""
"田子館","[田子館] 田子館 （たっこだて）は、 青森県 三戸郡 田子町 に存在した 日本の城 。別称、牛尾館。","https://ja.wikipedia.org/wiki/田子館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度20分18秒 東経141度08分44秒","","","","","","","","","","","","","","","","","","",""
"聖寿寺館","[聖寿寺館（本三戸城）] 聖寿寺館 （しょうじゅじだて）は、 青森県 三戸郡 南部町 小向字聖寿寺に所在した 日本の城 。別称、 本三戸城 （もとさんのへじょう）。国の 史跡  。","https://ja.wikipedia.org/wiki/聖寿寺館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度24分43秒東経141度15分56秒","南部信長?","平城","14世紀中葉?","曲輪、堀","三戸南部氏","国の史跡","不明","北緯40度24分43秒東経141度15分56秒﻿ / ﻿北緯40.41194度 東経141.26556度﻿ /40.41194; 141.26556","聖寿寺館","本三戸城","なし","","","","","","","",""
"浅水城","[浅水城] 浅水城 （あさみずじょう）は 青森県 三戸郡 五戸町 に所在した 日本の城 。四戸城の候補地。","https://ja.wikipedia.org/wiki/浅水城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中市館","[中市館] 中市館 （なかいちだて）は、 青森県 三戸郡 五戸町 に所在した 日本の城 。","https://ja.wikipedia.org/wiki/中市館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"法師岡館","[法師岡館] 法師岡館 （ほうしおかだて）は 青森県 三戸郡 南部町 法師岡 に所在した日本の 日本の城 。","https://ja.wikipedia.org/wiki/法師岡館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伝法寺館 (存在しないページ)","[伝法寺館]","https://ja.wikipedia.org/w/index.php?title=伝法寺館&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"沢田館","[沢田館] 沢田館 （さわだだて）は、 青森県 十和田市 沢田に所在した 日本の城 。","https://ja.wikipedia.org/wiki/沢田館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蓬田城","[蓬田城] 蓬田城 （よもぎだじょう）は 青森県 東津軽郡 蓬田村 大字 蓬田 字汐越にあった 日本の城 （ 平城 ）。","https://ja.wikipedia.org/wiki/蓬田城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","潮潟通貞","平城","嘉禎4年（暦仁元・1238年）","郭・堀・土橋","潮潟氏・奥瀬氏・蓬田氏","なし","天正13年（1585年）","","","蓬田大館・蓬田小館・蓬田館","なし","不明","","","","","","",""
"高畑城 (陸奥国)","[高畑城] 高畑城 （たかばたけじょう）は、 青森県 平川市 吹上にあった 日本の城 （ 平城 ）。","https://ja.wikipedia.org/wiki/高畑城_(陸奥国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","滝本重行","平城","室町時代末期","土塁・堀","平岡盛影・乳井建清","なし","不明","","","","なし","不明","","","","","","",""
"油川城","[油川城] 油川城 （あぶらかわじょう）は、 青森県 青森市 大字西田沢字浜田・字山辺（旧 陸奥国 ）に所在した 日本の城 。","https://ja.wikipedia.org/wiki/油川城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度51分38.9秒東経140度40分16.7秒","奥瀬氏?","平山城","不明","曲輪、堀、土塁","奥瀬判九郎、奥瀬善九郎","史跡等未指定","天正13年（1585年）頃?","北緯40度51分38.9秒東経140度40分16.7秒﻿ / ﻿北緯40.860806度 東経140.671306度﻿ /40.860806; 140.671306座標:北緯40度51分38.9秒東経140度40分16.7秒﻿ / ﻿北緯40.860806度 東経140.671306度﻿ /40.860806; 140.671306","油川城","","","","","","","青森県No.201036","","",""
"尻八館 (存在しないページ)","[尻八館]","https://ja.wikipedia.org/w/index.php?title=尻八館&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高田城 (陸奥国)","[高田城] 高田城 （たかだじょう）は 青森県 青森市 大字 高田 字日野にあった 日本の城 （ 平城 ）。","https://ja.wikipedia.org/wiki/高田城_(陸奥国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","不明","平城","不明","","土岐氏","なし","天正6年（1578年）","","","","なし","不明","","","","","","",""
"浅瀬石城","[浅瀬石城（汗石城）] 浅瀬石城 （あせいしじょう）は、 青森県 黒石市 高賀野にあった 日本の城 （ 平山城 ）である。別名 汗石城 。","https://ja.wikipedia.org/wiki/浅瀬石城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","一戸行重？","平山城","仁治元年（1240年）？","郭・土塁・堀","千徳氏","なし","慶長2年（1597年）","","","汗石城・浅石城","なし","不明","","","","","","",""
"横内城","[横内城] 横内城 （ よこうちじょう ）は、 日本の城 。現在は跡地に 常福院 が建てられている。所在地は 青森県 青森市 横内字亀井。別名として鏡城、堤城とも言われる。","https://ja.wikipedia.org/wiki/横内城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","南部光康","平城","明応7年（1498年）","堀、本丸跡","堤氏","なし","不明","","","鏡城、堤城","なし","不明","","","","","","",""
"黒石城","[黒石城] 黒石陣屋 （くろいしじんや）は、 陸奥国 津軽郡 （現在の 青森県 黒石市 内町）にあった、 弘前藩 から分知した 交代寄合 旗本 黒石津軽家（5千石）の 陣屋 である。城壁が黒かったことから、 烏城 （うじょう）の異名がある。","https://ja.wikipedia.org/wiki/黒石城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","津軽信英","平山城","明暦2年（1656年）","郭・堀","津軽氏","なし","明治4年（1871年）","","","黒石陣屋・新黒石城","なし","不明","","","","","","",""
"田舎館城 (存在しないページ)","[田舎館城]","https://ja.wikipedia.org/w/index.php?title=田舎館城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大光寺城","[大光寺城] 大光寺城 （だいこうじじょう）は、 青森県 平川市 大光寺にあった 日本の城 （ 平城 ）。","https://ja.wikipedia.org/wiki/大光寺城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度35分24.2秒東経140度33分26.8秒","曽我道性","平城","正慶2年/元弘3年（1333年）","曲輪・土塁・堀","曾我氏・安東氏・南部氏・津軽氏","史跡等未指定","慶長15年（1610年）","北緯40度35分24.2秒東経140度33分26.8秒﻿ / ﻿北緯40.590056度 東経140.557444度﻿ /40.590056; 140.557444座標:北緯40度35分24.2秒東経140度33分26.8秒﻿ / ﻿北緯40.590056度 東経140.557444度﻿ /40.590056; 140.557444","大光寺城","大光寺古館","なし","不明","","","","青森県No.210124・210128・210129","","",""
"浪岡城","[浪岡城] 浪岡城 （なみおかじょう）は、 青森県 青森市 浪岡（旧南津軽郡 浪岡町 ）にかつて存在した 日本の城 （ 平城 ）。1460年代に 浪岡北畠氏 によって築城され、1578年に 大浦為信 に攻められ落城した  。 1940年 （ 昭和 15年） 2月10日 に青森県内で初めて国の 史跡 に指定された   。 現在は跡地の北側を 青森県道27号青森浪岡線 が通る。北東へと続く丘陵の南端に位置し、城の南側の急峻な崖下には 浪岡川 と 正平津川 が流れていて天然の 堀 と水源を兼ねていた。","https://ja.wikipedia.org/wiki/浪岡城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度43分1秒東経140度36分16秒","北畠顕義","平城","応仁年間","土塁、堀・郭跡","北畠氏（浪岡氏）","国指定史跡","不明","北緯40度43分1秒東経140度36分16秒﻿ / ﻿北緯40.71694度 東経140.60444度﻿ /40.71694; 140.60444","浪岡城","なし","なし","なし","","","","","","",""
"藤崎城","[藤崎城] 藤崎城 （ふじさきじょう）は、 青森県 南津軽郡 藤崎町 藤崎 にあった 日本の城 （ 平城 ）。","https://ja.wikipedia.org/wiki/藤崎城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","安倍堯恒","平城","寛治6年（1082）","土塁、堀","安東氏・南部氏・津軽氏","なし","天正13年（1585）","","","","なし","不明","","","","","","",""
"福島城 (陸奥国鼻和郡)","[福島城] 福島城 （ふくしまじょう）は、 青森県 五所川原市 相内にあった 日本の城 である。 平城 。","https://ja.wikipedia.org/wiki/福島城_(陸奥国鼻和郡)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度2分40秒東経140度22分0秒","不明","平城","10世紀後半","郭・堀・土塁・門跡","不明","なし","不明","北緯41度2分40秒東経140度22分0秒﻿ / ﻿北緯41.04444度 東経140.36667度﻿ /41.04444; 140.36667","福島城","","なし","不明","門","","","","","",""
"唐川城 (存在しないページ)","[唐川城]","https://ja.wikipedia.org/w/index.php?title=唐川城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青柳館 (存在しないページ)","[青柳館]","https://ja.wikipedia.org/w/index.php?title=青柳館&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石川城","[石川城（大仏ヶ鼻城）] 石川城 （いしかわじょう）は、 青森県 弘前市 に築かれていた 日本の城 。 別名、 大仏ヶ鼻城 。周辺の館とあわせて石川十三楯（大仏ヶ鼻城、岡館、猿楽館、月館、坊館、八幡館、寺館、高田館、茂兵衛殿館、寺山館、孫兵衛館、小山館、新館）と呼ばれ、この13の 城館 の総称として石川城といわれた。","https://ja.wikipedia.org/wiki/石川城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","曽我道性","山城","建武元年（4・1334）","郭・堀・土塁","曾我氏・石川南部氏","なし","慶長16年（1611）","","","大仏ヶ鼻城","なし","不明","","","","","","",""
"弘前城","[弘前城] 弘前城 （ひろさきじょう）は、 陸奥国 鼻和郡 （のち統合と外浜（青森）、西浜（十三湊）を編入で 津軽郡 ）弘前（現・ 青森県 弘前市 下白銀町）にあった 日本の城 である。別名・ 鷹岡城 、 高岡城 。 江戸時代 に建造された 天守 や 櫓 などが現存し国の重要文化財に指定されている。また城跡は国の 史跡 に指定されている。 江戸時代 には 津軽氏 が居城し 弘前藩 の 藩庁 が置かれた。","https://ja.wikipedia.org/wiki/弘前城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯40度36分28.93秒東経140度27分49.7秒","津軽為信・信枚","梯郭式平山城","1611年","現存天守・櫓・門石垣、土塁、堀","津軽氏","重要文化財（天守・辰巳櫓・丑寅櫓・未申櫓・三の丸追手門・三の丸東門・二の丸南門・二の丸東門・北の郭亀甲門）国の史跡","1871年","北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ /40.6080361; 140.463806","弘前城","鷹岡城、高岡城","不詳5層（非現存・1610年築）御三階櫓（複合式層塔型3層3階・1810年改）独立式層塔型3層3階（現存）","津軽寧親","二の丸東門与力番所","","","","","",""
