"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","水系","標高","山系","種類","面積","外部リンク","種別","延長","平均流量","流域面積","水源","水源の標高","河口・合流先","流域","滝幅","周囲長","最大水深"
"黒部峡谷","[黒部峡谷（富山県）] 黒部峡谷 （くろべきょうこく）は、 富山県 黒部市 、 黒部川 中流 - 上流にある 峡谷 （ V字谷 ）である。 飛騨山脈 北部を 立山連峰 と 後立山連峰 に分断する大規模な峡谷で、国の 特別天然記念物 （天然保護区域）及び 特別名勝 指定。 中部山岳国立公園 に含まれる。 清津渓谷 、 大杉谷 とともに 日本三大渓谷 に選定され、また 日本の秘境百選 の一つにも挙げられている。","https://ja.wikipedia.org/wiki/黒部峡谷","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"昇仙峡","[御岳昇仙峡（山梨県）] 昇仙峡 （しょうせんきょう）は、 山梨県 甲府市 、 甲府盆地 北側、 荒川  上流に位置する 渓谷 である。 特別名勝 に指定されており、国内有数の景勝地である。「日本五大名峡」の一つに数えられる  。","https://ja.wikipedia.org/wiki/昇仙峡","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天竜峡","[天竜峡（長野県）] 天竜峡 （てんりゅうきょう）とは、 長野県 飯田市 にある 天竜川 の 峡谷 。国の 名勝 に指定されており、また 天竜奥三河国定公園 の一部となっている。竜の字を旧字とした 天龍峡 と記述されることもある（後述）。","https://ja.wikipedia.org/wiki/天竜峡","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"那智滝","[那智滝（和歌山県）] 那智滝 （なちのたき）は、 和歌山県 東牟婁郡 那智勝浦町 の 那智川 中流にかかる 滝 。石英 斑岩 からなるほとんど垂直の断崖に沿って落下し、落ち口の幅13 メートル 、滝壺までの落差は133メートルに達し、その姿は 熊野灘 からも望見することができる  。総合落差では日本12位だが、一段の滝としては落差日本1位。 華厳滝 と共に 日本三名瀑 に数えられている。","https://ja.wikipedia.org/wiki/那智滝","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯33度40分31秒東経135度53分15秒","和歌山県那智勝浦町","北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750座標:北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750","那智川","","","","","","","","","","","","","","13m","",""
"養老の滝","[養老滝（岐阜県）] 養老の滝 （ようろうのたき）は、 岐阜県 養老郡 養老町 にある 木曽川 水系に属する落差32m、幅4mの 滝 である。岐阜県により設置された 養老公園 内にあり、 揖斐関ヶ原養老国定公園 に属する  。","https://ja.wikipedia.org/wiki/養老の滝","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯35度16分48秒東経136度32分3秒","岐阜県養老郡養老町養老公園","北緯35度16分48秒東経136度32分3秒﻿ / ﻿北緯35.28000度 東経136.53417度﻿ /35.28000; 136.53417","木曽川水系滝谷","","","","","","","","","","","","","","4m","",""
"袋田の滝","[袋田滝（茨城県）] 袋田の滝 （ふくろだのたき）は、 茨城県 久慈郡 大子町 袋田にある 滝 。位置は、 久慈川 支流の滝川上流にあたり、長さ120メートル、幅73メートル   。冬は「氷瀑」と呼ばれる、滝が凍結する現象が発生することがある  。","https://ja.wikipedia.org/wiki/袋田の滝","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯36度45分51.1秒東経140度24分26.5秒","茨城県久慈郡大子町袋田","北緯36度45分51.1秒東経140度24分26.5秒﻿ / ﻿北緯36.764194度 東経140.407361度﻿ /36.764194; 140.407361","久慈川水系滝川","","","","","","","","","","","","","","73m","",""
"熱海温泉","[熱海温泉（静岡県）] 熱海温泉 （あたみおんせん）は、 静岡県 熱海市 にある 温泉 である。日本の 三大温泉 の一つとも言われる。","https://ja.wikipedia.org/wiki/熱海温泉","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯35度06分04秒東経139度04分01秒","静岡県熱海市","","","","","","","熱海市観光協会","","","","","","","","","","",""
"塩原温泉郷","[塩原温泉（栃木県）] 塩原温泉郷 （しおばらおんせんきょう）は、 栃木県 那須塩原市 （旧国 下野国 ）塩原地区内の、 箒川 沿いの 谷間 を中心に点在する11の 温泉 の総称（ 温泉郷 ）。","https://ja.wikipedia.org/wiki/塩原温泉郷","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"箱根温泉","[箱根温泉（神奈川県）] 箱根温泉 （はこねおんせん）は、 神奈川県 足柄下郡 箱根町 （旧国 相模国 ）にある 温泉 の総称。 箱根火山 の麓から中腹まで、あちこちに 温泉街 が点在している。付近は 富士箱根伊豆国立公園 に指定されている。","https://ja.wikipedia.org/wiki/箱根温泉","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","神奈川県足柄下郡箱根町","","","","","","","箱根町観光協会公式サイト","","","","","","","","","","",""
"奈良盆地","[大和平原（奈良県）] 奈良盆地 （ならぼんち）は、 日本 の 奈良県 北西部に位置する標高100メートル以下の 断層盆地 を指す。「 大和盆地 」「 大和平野 」とも呼ばれる。","https://ja.wikipedia.org/wiki/奈良盆地","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日田盆地","[日田盆地（大分県）] 日田盆地 （ひたぼんち）は、 大分県 日田市 にある 盆地 。 耶馬日田英彦山国定公園 に含まれ、 日本二十五勝 に選定されている。","https://ja.wikipedia.org/wiki/日田盆地","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
