"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","規模","築造時期","史跡","形状","法人番号","文化財","出土品","山号","宗派","埋葬施設","本尊","別名","創建年","城郭構造","築城主","遺構"
"台渡里廃寺跡 (存在しないページ)","[台渡里廃寺跡（だいわたりはいじあと）]","https://ja.wikipedia.org/w/index.php?title=台渡里廃寺跡&amp;action=edit&amp;redlink=1","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"偕楽園","[常磐公園（ときわこうえん）〔水戸市〕] 偕楽園 （かいらくえん）は、 日本 の 茨城県 水戸市 にある 日本庭園 である。国の 史跡 及び 名勝 に指定されている（指定名称は「常磐公園」  ）。 伝統 的に、 後楽園 （ 岡山県 岡山市 ）や 兼六園 （ 石川県 金沢市 ）と並んで 日本三名園 の一つに数えられている。","https://ja.wikipedia.org/wiki/偕楽園","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分23秒東経140度27分22秒","日本茨城県水戸市見川","","","","","","","","","","","","","","","","","",""
"吉田古墳","[吉田古墳（よしだこふん）〔水戸市〕] 吉田古墳 （よしだこふん）は、 茨城県 水戸市 元吉田町にある 八角墳 。別名「吉田1号墳」。全国で唯一、石室に線刻 壁画 を有する多角形墳（八角墳）である  。 1922年 （ 大正 11年）、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/吉田古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度21分31.1秒東経140度28分30.6秒","茨城県水戸市元吉田町","北緯36度21分31.1秒東経140度28分30.6秒﻿ / ﻿北緯36.358639度 東経140.475167度﻿ /36.358639; 140.475167﻿ (吉田古墳)","吉田古墳","対辺間26メートル","7世紀中頃","国の史跡。1922年（大正11年）3月8日指定、2010年（平成22年）8月5日追加、2012年（平成24年）9月19日追加。","八角墳","","","金環・鉄鏃・直刀・勾玉・土器","","","袖無型横穴式石室","","","","","",""
"小幡北山埴輪製作遺跡","[小幡北山埴輪製作遺跡（おばたきたやまはにわせいさくいせき）〔東茨城郡茨城町〕] 小幡北山埴輪製作遺跡 （こはたきたやまはにわせいさくいせき）は、 茨城県 茨城町 にある 古墳時代 の遺跡。日本最大の 埴輪 製作遺跡であり、 1992年 1月21日に 国史跡 に指定された。「おばたきたやまはにわせいさくいせき」とも読む  。","https://ja.wikipedia.org/wiki/小幡北山埴輪製作遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度16分33秒 東経140度24分26秒","","","","","","","","","","","","","","","","","","",""
"佐久良東雄","[佐久良東雄旧宅（さくらあずまおきゅうたく）〔石岡市〕] 佐久良 東雄 （さくら あずまお、 文化 8年 3月21日 （ 1811年 5月13日 ） - 万延 元年 6月27日 （ 1860年 8月13日 ））は日本の 幕末 時代の 国学者 、 歌人 。本姓は飯島。東雄の他の通称に靱負（ゆきえ）、寛、静馬、健雄。雅号は薑園（きょうえん）。 尊皇攘夷 の志士として活動した。","https://ja.wikipedia.org/wiki/佐久良東雄#佐久良東雄旧宅","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"常陸国府跡","[常陸国府跡（ひたちこくふあと）〔石岡市〕] 常陸国府跡 （ひたちこくふあと）は、 茨城県 石岡市 にある 律令制 下の地方行政機関の施設跡。 常陸国 の 国府 の遺構にあたる。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/常陸国府跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度11分22.92秒 東経140度16分7.79秒","","","","","","","","","","","","","","","","","","",""
"舟塚山古墳","[舟塚山古墳（ふなつかやまこふん）〔石岡市〕] 舟塚山古墳 （ふなつかやまこふん）は、 茨城県 石岡市 北根本にある 古墳 。形状は 前方後円墳 。舟塚山古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/舟塚山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度10分3.83秒東経140度17分22.66秒","茨城県石岡市北根本","北緯36度10分3.83秒東経140度17分22.66秒﻿ / ﻿北緯36.1677306度 東経140.2896278度﻿ /36.1677306; 140.2896278座標:北緯36度10分3.83秒東経140度17分22.66秒﻿ / ﻿北緯36.1677306度 東経140.2896278度﻿ /36.1677306; 140.2896278","太田天神山舟塚山浅間山舟塚山古墳","墳丘長186m高さ11m（後円部）","5世紀後半","国の史跡「舟塚山古墳」","前方後円墳","","","円筒埴輪","","","不明","","","","","",""
"上高津貝塚","[上高津貝塚（かみたかつかいづか）〔土浦市〕] 上高津貝塚 （かみたかつかいづか）は、 茨城県 土浦市 宍塚・上高津・中高津にある 縄文時代 の 貝塚 遺跡。1977年10月4日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/上高津貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度04分37秒 東経140度09分58秒","","","","","","","","","","","","","","","","","","",""
"小田城","[小田城跡（おだじょうあと）〔つくば市〕] 小田城 （おだじょう）は、現在の 茨城県 つくば市 に存在した 日本の城 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/小田城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度9分2秒東経140度6分39.2秒","","北緯36度9分2秒東経140度6分39.2秒﻿ / ﻿北緯36.15056度 東経140.110889度﻿ /36.15056; 140.110889﻿ (小田城)座標:北緯36度9分2秒東経140度6分39.2秒﻿ / ﻿北緯36.15056度 東経140.110889度﻿ /36.15056; 140.110889﻿ (小田城)","小田城","","","","","","","","","","","","","","平城","八田知家","曲輪、堀、土塁、櫓台、虎口、桝形"
"金田官衙遺跡","[金田官衙遺跡（こんだかんがいせき）〔つくば市〕] 金田官衙遺跡 （こんだかんがいせき）は、 茨城県 つくば市 金田字吹上にある古代 官衙 遺跡 。 2004年 （平成16年）2月27日に国の 史跡 に指定されている   。","https://ja.wikipedia.org/wiki/金田官衙遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度06分01.6秒 東経140度07分42.8秒","","","","","","","","","","","","","","","","","","",""
"平沢官衙遺跡","[平沢官衙遺跡（ひらさわかんがいせき）〔つくば市〕] 平沢官衙遺跡 （ひらさわかんがいせき）は、 茨城県 つくば市 平沢にある遺跡。","https://ja.wikipedia.org/wiki/平沢官衙遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度10分41秒 東経140度06分12秒","","","","","","","","","","","","","","","","","","",""
"真壁城","[真壁城跡（まかべじょうあと）〔桜川市〕] 真壁城 （まかべじょう）は、 常陸国 真壁郡 、現在の 茨城県 桜川市 真壁町 古城にあった 戦国時代 の 日本の城 （ 平城 ）。 大掾氏 の一族である 真壁氏 が代々支配した。国の 史跡  。","https://ja.wikipedia.org/wiki/真壁城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度16分25.4秒東経140度6分38.4秒","","北緯36度16分25.4秒東経140度6分38.4秒﻿ / ﻿北緯36.273722度 東経140.110667度﻿ /36.273722; 140.110667﻿ (真壁城)座標:北緯36度16分25.4秒東経140度6分38.4秒﻿ / ﻿北緯36.273722度 東経140.110667度﻿ /36.273722; 140.110667﻿ (真壁城)","真壁城","","","","","","","","","","","","","","平城","真壁長幹","土塁、掘割、土居"
"筑西市","[関城跡（せきじょうあと）〔筑西市〕] 筑西市 （ちくせいし）は、 茨城県 の 県西地域 北部に位置する 市 である。","https://ja.wikipedia.org/wiki/筑西市","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度18分25.5秒東経139度58分59.3秒","〒308-8616茨城県筑西市丙360番地北緯36度18分25.5秒東経139度58分59.3秒﻿ / ﻿北緯36.307083度 東経139.983139度﻿ /36.307083; 139.983139","","","","","","","4000020082279","","","","","","","","","","",""
"新治郡衙跡","[新治郡衙跡（にいはりぐんがあと）〔筑西市〕] 新治郡衙跡 （にいはりぐんがあと）は、 茨城県 筑西市 古郡にある 古代 郡家 （ 郡衙 ）の遺跡。 常陸国 （古代）新治郡 のものと推定されている。 1968年 （ 昭和 43年）、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/新治郡衙跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度20分30.8秒 東経140度2分41.3秒","","","","","","","","","","","","","","","","","","",""
"下妻市","[大宝城跡（だいほうじょうあと）〔筑西市・下妻市〕] 下妻市 （しもつまし）は、 茨城県 西部 の県西地域に位置する 市 である。旧 常陸国 真壁郡 ・ 筑波郡 と 千葉県 より移管された旧 下総国 結城郡 （旧 豊田郡 ・旧 岡田郡 ）で構成される。","https://ja.wikipedia.org/wiki/下妻市","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度11分3.9秒東経139度58分2.9秒","〒304-8501茨城県下妻市本城町二丁目22番地北緯36度11分3.9秒東経139度58分2.9秒﻿ / ﻿北緯36.184417度 東経139.967472度﻿ /36.184417; 139.967472","","","","","","","6000020082104","","","","","","","","","","",""
"新治廃寺跡 (存在しないページ)","[新治廃寺跡附 上野原瓦窯跡（にいはりはいじあと つけたり うえのはらがようあと）〔結城市〕]","https://ja.wikipedia.org/w/index.php?title=新治廃寺跡&amp;action=edit&amp;redlink=1","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"結城廃寺跡","[結城廃寺跡附 結城八幡瓦窯跡（ゆうきはいじあと つけたり ゆうきはちまんかわらがまあと）〔結城市〕] 結城廃寺跡 (ゆうきはいじあと) は、 茨城県 結城市 上山川・矢畑にある 寺院 跡。2002年9月20日に国の 史跡 に指定され、2017年10月13日に追加指定が行われた。指定名称は「結城廃寺跡 附結城八幡瓦窯跡」である。","https://ja.wikipedia.org/wiki/結城廃寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度15分26秒 東経139度52分42秒","","","","","","","","","","","","","","","","","","",""
"陸平貝塚","[陸平貝塚（おかだいらかいづか）〔稲敷郡美浦村〕] 陸平貝塚 （おかだいらかいづか）は、 茨城県 稲敷郡 美浦村 の 霞ヶ浦 南岸にある 貝塚 である。 1998年 （ 平成 10年） 9月11日 に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/陸平貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度1分1.6秒 東経140度20分52.6秒","","","","","","","","","","","","","","","","","","",""
"広畑貝塚","[広畑貝塚（ひろはたかいづか）〔稲敷市〕] 広畑貝塚 （ひろはたかいづか）は、 茨城県 稲敷市 飯出ひろ畑にある、 縄文時代 後期から晩期前半の 貝塚 ・集落跡である。1982年2月27日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/広畑貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度58分43秒 東経140度23分07秒","","","","","","","","","","","","","","","","","","",""
"鹿島神宮","[鹿島神宮境内 附 郡家跡（かしまじんぐうけいだい つけたり ぐうけあと）〔鹿嶋市〕] 鹿島神宮 （かしまじんぐう、鹿嶋神宮）は、 茨城県 鹿嶋市 宮中 にある 神社 。 式内社 （ 名神大社 ）、 常陸国 一宮 。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/鹿島神宮","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度58分7.88秒東経140度37分53.37秒","茨城県鹿嶋市宮中2306-1","北緯35度58分7.88秒東経140度37分53.37秒﻿ / ﻿北緯35.9688556度 東経140.6314917度﻿ /35.9688556; 140.6314917﻿ (鹿島神宮)座標:北緯35度58分7.88秒東経140度37分53.37秒﻿ / ﻿北緯35.9688556度 東経140.6314917度﻿ /35.9688556; 140.6314917﻿ (鹿島神宮)","鹿島神宮茨城県の地図を表示鹿島神宮日本の地図を表示","","","","","","","","","","","","","","","",""
"日光杉並木","[日光杉並木街道 附 並木寄進碑（にっこうすぎなみきかいどう つけたり なみききしんひ）〔日光市〕] 日光杉並木 （にっこうすぎなみき）は、 日光街道 、 日光例幣使街道 、 会津西街道 の3 街道 に跨がる スギ の 並木道 。 日光杉並木街道 （にっこうすぎなみきかいどう）とも呼ばれる。","https://ja.wikipedia.org/wiki/日光杉並木","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大谷寺 (宇都宮市)","[大谷磨崖仏（おおやまがいぶつ）〔宇都宮市〕] 大谷寺 （おおやじ）は、 栃木県 宇都宮市 大谷町 にある 天台宗 の 寺院 である。 山号 は天開山。 院号 は千手院。本尊は 千手観音 で、 坂東三十三箇所 第19番札所。国の 特別史跡 および 重要文化財 に指定されている「 大谷磨崖仏 」の所有者となっている。","https://ja.wikipedia.org/wiki/大谷寺_(宇都宮市)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度35分46.4秒東経139度49分15.3秒","栃木県宇都宮市大谷町1198番地","北緯36度35分46.4秒東経139度49分15.3秒﻿ / ﻿北緯36.596222度 東経139.820917度﻿ /36.596222; 139.820917座標:北緯36度35分46.4秒東経139度49分15.3秒﻿ / ﻿北緯36.596222度 東経139.820917度﻿ /36.596222; 139.820917","","","","","","9060005000196","石造千手観音菩薩立像、同釈迦三尊像、同薬師三尊像、同阿弥陀三尊像（以上、国の特別史跡及び重要文化財）、銅鐘（県指定有形文化財）、銅製灯篭、銅製鰐口（以上、市指定有形文化財）","","天開山","天台宗","","石造千手観音菩薩立像","","不詳（奈良時代後期から平安時代初期と云われる）","","",""
"上侍塚古墳 (存在しないページ)","[上侍塚古墳]","https://ja.wikipedia.org/w/index.php?title=上侍塚古墳&amp;action=edit&amp;redlink=1","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下侍塚古墳","[下侍塚古墳] 下侍塚古墳 （しもさむらいづかこふん）は、 栃木県 大田原市 湯津上の 那珂川 右岸 河岸段丘 上に位置する 前方後方墳 。","https://ja.wikipedia.org/wiki/下侍塚古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度48分47.51秒東経140度7分22.17秒","栃木県大田原市湯津上","北緯36度48分47.51秒東経140度7分22.17秒﻿ / ﻿北緯36.8131972度 東経140.1228250度﻿ /36.8131972; 140.1228250","","全長84m後方部　幅48m　高さ9.4m前方部　幅36m　高さ5m　","5世紀始めころと推定","上侍塚古墳と共に侍塚古墳として国の史跡（1951年6月9日指定）","前方後方墳","","","鏡・鎧片・鉄刀片・土師器壷・同高坏（たかつき）・大刀柄頭（たちつかがしら） など","","","","","","","","",""
"唐御所横穴","[唐御所横穴（からのごしょおうけつ）〔那須郡那珂川町〕] 唐御所横穴 （からのごしょよこあな）は、 栃木県 那須郡 那珂川町 にある 横穴墓 である。 昭和 9年( 1934年 )国の史跡に指定  。","https://ja.wikipedia.org/wiki/唐御所横穴","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度44分37.6秒 東経140度9分23.9秒","","","","","","","","","","","","","","","","","","",""
"那須官衙遺跡","[那須官衙遺跡（なすかんがいせき）〔那須郡那珂川町〕] 那須官衙遺跡 （なすかんがいせき    ）は、 栃木県 那須郡 小川町 にある 奈良 ・ 平安時代 の遺跡。 1976年 6月7日、国の史跡に指定された。 西那須野駅 から東野バス馬頭行中の原バス停徒歩15分   。一部は史跡公園になっている。","https://ja.wikipedia.org/wiki/那須官衙遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度46分52秒 東経140度06分35秒","","","","","","","","","","","","","","","","","","",""
"駒形大塚古墳","[駒形大塚古墳（こまがたおおつかこふん）] 駒形大塚古墳 （こまがたおおつかこふん）は、 栃木県 那須郡 那珂川町 小川に位置する 前方後方墳 。","https://ja.wikipedia.org/wiki/駒形大塚古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度45分42秒東経140度7分14秒","栃木県那須郡那珂川町小川","北緯36度45分42秒東経140度7分14秒﻿ / ﻿北緯36.76167度 東経140.12056度﻿ /36.76167; 140.12056","","全長61m　標高132.5m　幅28m　","4世紀中葉","国の史跡（1979年3月13日指定）","前方後方墳","","","鏡・鉄剣・鉄鏃・土器・刀子（小刀）・鉄斧・直刀・鉇　など","","","","","","","","",""
"吉田温泉神社古墳群","[吉田温泉神社古墳群（よしだゆぜんじんじゃこふんぐん）] 那須小川古墳群 （なすおがわこふんぐん）は、 栃木県 那須郡 那珂川町 にある 古墳 群で、駒形大塚古墳・吉田温泉神社古墳群・那須八幡塚古墳群の総称である。 2002年 （ 平成 14年） 12月19日 に国の史跡に指定された  。","https://ja.wikipedia.org/wiki/吉田温泉神社古墳群","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"那須八幡塚古墳群","[那須八幡塚古墳群（なすはちまんづかこふんぐん）] 那須小川古墳群 （なすおがわこふんぐん）は、 栃木県 那須郡 那珂川町 にある 古墳 群で、駒形大塚古墳・吉田温泉神社古墳群・那須八幡塚古墳群の総称である。 2002年 （ 平成 14年） 12月19日 に国の史跡に指定された  。","https://ja.wikipedia.org/wiki/那須八幡塚古墳群","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神田城","[那須神田城跡（なすかんだじょうあと）〔那須郡那珂川町〕1984年7月6日] 神田城 （かんだじょう）は、 栃木県 那須郡 那珂川町 にあった 日本の城 （ 平城 ）。国の 史跡 に指定されている。別名 那須城 、 那須神田城 。","https://ja.wikipedia.org/wiki/神田城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度45分10秒東経140度7分38秒","","北緯36度45分10秒東経140度7分38秒﻿ / ﻿北緯36.75278度 東経140.12722度﻿ /36.75278; 140.12722座標:北緯36度45分10秒東経140度7分38秒﻿ / ﻿北緯36.75278度 東経140.12722度﻿ /36.75278; 140.12722","神田城","","","","","","","","","","","","那須城、那須神田城","","平城","藤原資家(須藤権守貞信)","土塁、堀"
"長者ヶ平官衙遺跡","[長者ヶ平官衙遺跡附東山道跡（ちょうじゃがだいらかんがいせき つけたり とうさんどうあと）〔那須烏山市・さくら市〕2009年2月12日] 長者ヶ平官衙遺跡 （ちょうじゃがだいらかんがいせき）は、 栃木県 那須烏山市 鴻野山にある、 奈良時代 から 平安時代 にかけての官衙遺跡である。2009年2月12日、 国史跡 に指定された。指定名称は「長者ヶ平官衙遺跡 附東山道跡」である。","https://ja.wikipedia.org/wiki/長者ヶ平官衙遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度40分53秒 東経140度02分45秒","","","","","","","","","","","","","","","","","","",""
