"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","用途","竣工","山系","施工","延床面積","階数","構造形式","種類","敷地面積","着工","管理運営","高さ","分類","建築面積","駐車台数","状態"
"舞鶴公園","[舞鶴公園] 舞鶴公園 （まいづるこうえん）は、 福岡県 福岡市 中央区 にある 福岡城 の本丸址を中心とする 公園 。福岡市中心部 大濠公園 の東部に隣接する位置にあり、市民の憩いの場となっている。城址には約500本の桜が植えられており、毎年春には大勢の花見客で賑わう。","https://ja.wikipedia.org/wiki/舞鶴公園","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯33度35分10.9176秒東経130度23分6.6912秒","日本福岡県福岡市中央区城内1","","","","","","","","","","","","","","","総合公園","","",""
"眺海の森","[眺海の森] 眺海の森 （ちょうかいのもり）は、 山形県 酒田市 にある 森林公園 。","https://ja.wikipedia.org/wiki/眺海の森","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯38度51分29.3秒東経139度58分49.8秒","日本山形県酒田市土渕","","","","","","","","","","","","","","","森林公園","","",""
"信夫山","[信夫山] 信夫山 （しのぶやま）は 福島県 福島市 の中心市街地北部にある山である。標高275 m 。","https://ja.wikipedia.org/wiki/信夫山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯37度46分33.8秒東経140度28分27.6秒","日本福島県福島市","北緯37度46分33.8秒東経140度28分27.6秒﻿ / ﻿北緯37.776056度 東経140.474333度﻿ /37.776056; 140.474333座標:北緯37度46分33.8秒東経140度28分27.6秒﻿ / ﻿北緯37.776056度 東経140.474333度﻿ /37.776056; 140.474333","275m","","","","","","","","","","","","","","","",""
"筑波山・表筑波スカイライン (存在しないページ)","[筑波山・表筑波スカイライン]","https://ja.wikipedia.org/w/index.php?title=筑波山・表筑波スカイライン&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"太平山","[太平山] 太平山 （おおひらさん、たいへいざん、たいへいやま、ふとひらやま、おおたいらさん）","https://ja.wikipedia.org/wiki/太平山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"織姫公園 (存在しないページ)","[織姫公園]","https://ja.wikipedia.org/w/index.php?title=織姫公園&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"群馬県庁展望ホール (存在しないページ)","[群馬県庁展望ホール]","https://ja.wikipedia.org/w/index.php?title=群馬県庁展望ホール&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤城山","[大パノラマ夜景展望台] 赤城山 （あかぎさん、あかぎやま、 後述 ）は、 関東地方 の北部、 群馬県 のほぼ中央に位置する 山 。 太平洋プレート が オホーツクプレート に沈み込んでできた 島弧 型火山である。また、赤城山は、カルデラ湖を伴う カルデラ を持つ、関東地方で有数の 複成火山 である。","https://ja.wikipedia.org/wiki/赤城山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯36度33分39秒東経139度11分37秒","日本群馬県前橋市・桐生市・渋川市・沼田市・利根郡昭和村","北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936座標:北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936","1,827.6m","","","独立峰","","","","","複成火山（活火山ランクC）","","","","","","","",""
"美の山公園 (存在しないページ)","[美の山公園]","https://ja.wikipedia.org/w/index.php?title=美の山公園&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"きみさらずタワー","[きみさらずタワー] きみさらずタワー は、 千葉県 木更津市 の 太田山公園 内にある 塔 。木更津市にまつわる 伝説 にちなんだ 建築物 で、塔の先端に 日本武尊 （やまとたけるのみこと）と 弟橘媛 （おとたちばなひめ）の 銅像 が向かい合って立つ  。 日本の夜景100選 や ちば眺望100景 に選定されている  。","https://ja.wikipedia.org/wiki/きみさらずタワー","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度22分46.7秒東経139度56分15.6秒","〒292-0044千葉県木更津市太田二丁目16-2　太田山公園内","","","展望台","1992年（平成4年）","","","","","","","","","木更津市","28 m","","","",""
"刑部岬","[飯岡刑部岬] 刑部岬 （ぎょうぶみさき）は、 屏風ヶ浦 南端に位置する 千葉県 旭市 の 太平洋 に突出する 岬 。 県立九十九里自然公園 の 園地 として 上永井自然公園 が整備され  、 飯岡灯台 、飯岡刑部岬展望館がある。岬からの眺望は 日本夜景遺産  、 日本の夜景100選  、 日本の夕陽・朝日百選   、 関東の富士見百景  に選定されている。","https://ja.wikipedia.org/wiki/刑部岬","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度25分東経140度26分","","","","","","","","","","","","","","","","","","",""
"I-linkタウンいちかわ","[アイ・リンクタウン展望室] I-linkタウンいちかわ （アイリンクタウンいちかわ）は、 千葉県 市川市 の 市川駅 南口 都市再開発 による当該地域一帯および 複合施設 である。ザ・タワーズ・ウエスト（A街区）およびザ・タワーズイースト（B街区）の2棟からなる ツインタワー で構成されている。事業名称は市川都市計画事業市川駅南口地区第一種市街地再開発事業。展望施設は 日本の夜景100選 や 日本夜景遺産 に選定されている   。","https://ja.wikipedia.org/wiki/I-linkタウンいちかわ","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"東京タワー","[東京タワー] 東京タワー （とうきょうタワー、 英 : Tokyo Tower ）は、 日本 の 東京都 港区 芝公園 にある総合 電波塔 の 愛称 である。正式名称は 日本電波塔 （にっぽんでんぱとう）。創設者は 前田久吉 。 1958年 12月23日 竣工 。 東京 の シンボル 、 観光名所 である。","https://ja.wikipedia.org/wiki/東京タワー","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度39分31秒東経139度44分44秒","〒105-0011東京都港区芝公園四丁目2番8号","","","電波塔、展望台、科学館","1958年12月23日","","竹中工務店","24,874.87 m²","地上16階、地下2階","SおよびRC造","","15,577.143 m²","1957年6月29日","","333メートル（海抜高351メートル）","","4,470.34 m²","",""
"六本木ヒルズ","[六本木ヒルズ] 六本木ヒルズ （ろっぽんぎヒルズ、 英語 : Roppongi Hills ）は、 2003年 （ 平成 15年） 4月 に森ビルが開業した 東京都 港区 六本木 6丁目にある 複合商業施設 である。","https://ja.wikipedia.org/wiki/六本木ヒルズ","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","〒106-0032東京都港区六本木6-10-1","","","事務所・店舗・共同住宅・ホテル・美術館・映画館・テレビスタジオ・学校・寺院・駐車場","2003年（平成15年）3月","","大林組・鹿島建設・清水建設・大成建設・竹中工務店・熊谷組・戸田建設・フジタ・西武建設","724,524.60m²","地上54階地下6階 塔屋2階","鉄骨造（一部鉄骨鉄筋コンクリート造、鉄筋コンクリート造）","","84,801.02m²","2000年（平成12年）2月","森ビル","238 m","","","1,073台","完成"
"都庁","[都庁] 東京都庁 （とうきょうとちょう、 英 : Tokyo Metropolitan Government ）は、 地方公共団体 である 東京都 の 行政機関 。 首長 は 東京都知事 。","https://ja.wikipedia.org/wiki/都庁","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度41分22.1秒東経139度41分30.3秒","東京都新宿区西新宿二丁目8番1号北緯35度41分22.1秒東経139度41分30.3秒﻿ / ﻿北緯35.689472度 東経139.691750度﻿ /35.689472; 139.691750座標:北緯35度41分22.1秒東経139度41分30.3秒﻿ / ﻿北緯35.689472度 東経139.691750度﻿ /35.689472; 139.691750","","","","","","","","","","","","","","","","","",""
"サンシャイン60","[サンシャイン60] サンシャイン60 （サンシャインろくじゅう、英称: Sunshine 60 ）は、 東京都 豊島区 東池袋 にある サンシャインシティ の中核を担う 超高層ビル である。地上高239.7メートルで完成当時は アジア で最も高かった。 株式会社サンシャインシティ が所有し管理している。","https://ja.wikipedia.org/wiki/サンシャイン60","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度43分45秒東経139度43分5秒","東京都豊島区東池袋三丁目1番1号","","","複合商業施設","","","大成建設他8社JV","190,595m²","地上60階・地下4階、塔屋3階","","","54,687m²","","","","","585,872m²","","完成"
"世界貿易センタービル","[世界貿易センタービル] ワールド・トレード・センター 、 世界貿易センター 、 国際貿易センター （ 英語 : World Trade Center, WTC ）","https://ja.wikipedia.org/wiki/世界貿易センタービル","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"横浜ランドマークタワー","[横浜ランドマークタワー] 横浜ランドマークタワー （よこはまランドマークタワー）  は、 横浜市 西区 みなとみらい の大型複合施設。タワー棟とプラザ棟からなり、オフィス、ホテル（ 横浜ロイヤルパークホテル ）、ショッピングモール（ ランドマークプラザ ）、展望フロア（ スカイガーデン ）、多目的ホール（ランドマークホール）などが入る。 三菱地所 が建築・設計・保有をしている。","https://ja.wikipedia.org/wiki/横浜ランドマークタワー","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度27分16.53秒東経139度37分53.30秒","神奈川県横浜市西区みなとみらい2-2-1","","","店舗・事務所・ホテル・多目的ホール・駐車場","1993年7月14日 (1993-07-14)","","大成建設・鹿島建設・大林組・竹中工務店・清水建設・戸田建設・東急建設・間組・前田建設工業・地崎工業・飛島建設・青木建設・三菱建設・フジタ工業・熊谷組・東亜建設工業・山岸建設・奈良建設・紅梅組・若葉建設・五洋建設・不動建設・増岡組・安藤建設・大豊建設・東海興業","392,884.85m²※事務所：166,000 m2*ショッピングモール：74,000 m2*ホテル：83,000 m2*駐車場：60,000 m2*その他：10,000","地上70階・地下3階、塔屋3階（タワー棟）地上5階・地下4階（プラザ棟）","鉄骨造（一部鉄骨鉄筋コンクリート造、鉄筋コンクリート造）","","38,061.51m²","1990年3月20日 (1990-03-20)","三菱地所プロパティマネジメント","","","23,208.29m²","1,400台","完成"
"横浜港大さん橋国際客船ターミナル","[横浜港大さん橋国際客船ターミナル] 大さん橋 （おおさんばし）は、 神奈川県 横浜市 中区 にある 横浜港 の 港湾 施設。","https://ja.wikipedia.org/wiki/横浜港大さん橋国際客船ターミナル","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","2002年（平成14年）11月","","清水・東亜建設工業・東亜建設産業・日本鋼管工事・松尾JV、鹿島・フジタ・相鉄・工藤JV、戸田・東急・山岸・駿河JV","34,732 m²","","混構造（R＋S造）、折板構造＋ガーダー構造","","","","","","","27,270 m²","",""
"湘南平","[湘南平] 湘南平 （しょうなんだいら）は、 神奈川県 の 平塚市 と 大磯町 の境にある標高181mの丘陵で、高麗山（こまやま）と泡垂山（あわたらやま）の山頂一帯を指す。都市計画公園としての名称は、 高麗山公園 。地元ではかつて千畳敷と呼ばれていたが、公園として整備するにあたり湘南平と呼ばれるようになった。","https://ja.wikipedia.org/wiki/湘南平","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","平塚市万田、高根大磯町高麗、大磯、東小磯、西小磯","","","","","","","","","","","","","","","都市公園（風致公園）","","",""
"菜の花台 (存在しないページ)","[菜の花台]","https://ja.wikipedia.org/w/index.php?title=菜の花台&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"笛吹川フルーツ公園","[笛吹川フルーツ公園] 山梨県笛吹川フルーツ公園 （やまなしけんふえふきがわフルーツこうえん）は、 山梨県 山梨市 に位置する 都市公園  。県が整備した公共整備区域（19.5ha）と民活整備区域（12.7ha）からなる。公共整備区域については、 指定管理者制度 に基づき、笛吹川マネジメントグループが運営・管理を行なっている。公園敷地内で営業している フルーツパーク富士屋ホテル についても併せて記述する。","https://ja.wikipedia.org/wiki/笛吹川フルーツ公園","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","山梨県山梨市江曽原","","","","","","","","","","","","","","","都市公園（総合公園）","","",""
"新倉山浅間公園","[新倉山浅間公園] 新倉山浅間公園 （あらくらやませんげんこうえん）は、 山梨県 富士吉田市 新倉3353にある 街区公園 。 1959年 10月設置  。 新倉山 の中腹にあり、広さは約4.3 ヘクタール 。","https://ja.wikipedia.org/wiki/新倉山浅間公園","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度30分4.3秒東経138度48分5.0秒","日本山梨県富士吉田市新倉3353","","","","","","","","","","","","","","","街区公園","","",""
"八代ふるさと公園 (存在しないページ)","[八代ふるさと公園]","https://ja.wikipedia.org/w/index.php?title=八代ふるさと公園&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"朱鷺メッセ","[朱鷺メッセ展望室] 朱鷺メッセ （ときメッセ、 TOKI MESSE ）は、 新潟県 新潟市 中央区 万代島 に所在する、 コンベンションセンター と ホテル ・業務施設などを内包する 超高層建造物 から成る複合一体型 コンベンション 施設の愛称である。","https://ja.wikipedia.org/wiki/朱鷺メッセ","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","〒950-0078新潟県新潟市中央区万代島6番1号","","","各種展示、集会、屋内スポーツ、会議","2002年12月","","福田・東急・丸運特定共同企業体（国際展示場）、鹿島・大成・本間特定共同企業体（国際会議場）、大林・加賀田・第一特定共同企業体（アトリウム）","31,000 m²7,800m2（国際展示場・展示ホール）","地上4階","","","","2000年10月","新潟万代島総合企画（指定管理者）","","","","",""
"弥彦山","[弥彦山] 弥彦山 （やひこやま）は、 新潟県 の 西蒲原郡 弥彦村 と 長岡市  との境界にある標高634mの 山 である。","https://ja.wikipedia.org/wiki/弥彦山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯37度42分17秒東経138度48分32秒","新潟県長岡市・西蒲原郡弥彦村","北緯37度42分17秒東経138度48分32秒﻿ / ﻿北緯37.70472度 東経138.80889度﻿ /37.70472; 138.80889","634m","","","","","","","","","","","","","","","",""
"富山市役所","[富山市役所] 富山市役所 （とやましやくしょ）は、 日本 の 地方公共団体 である 富山市 の執行機関としての事務を行う施設（ 役所 ）である。","https://ja.wikipedia.org/wiki/富山市役所","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯36度41分45.2秒東経137度12分49.1秒","〒930-8510富山県富山市新桜町7番38号","北緯36度41分45.2秒東経137度12分49.1秒﻿ / ﻿北緯36.695889度 東経137.213639度﻿ /36.695889; 137.213639座標:北緯36度41分45.2秒東経137度12分49.1秒﻿ / ﻿北緯36.695889度 東経137.213639度﻿ /36.695889; 137.213639","","富山市行政の中枢施設","1992年（平成4年）5月","","","","地下2階・地上8階","鉄筋コンクリート構造","","","","富山市","78.8m（アンテナを含む99.8m）","","","",""
"二上山 (富山県)","[二上山] 二上山 （ふたがみやま）は、 富山県 の 高岡市 と 氷見市 に跨がる 標高 274mの 山 。","https://ja.wikipedia.org/wiki/二上山_(富山県)","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯36度47分24秒東経137度00分55秒","日本富山県高岡市・氷見市","北緯36度47分24秒東経137度00分55秒﻿ / ﻿北緯36.789990度 東経137.015386度﻿ /36.789990; 137.015386座標:北緯36度47分24秒東経137度00分55秒﻿ / ﻿北緯36.789990度 東経137.015386度﻿ /36.789990; 137.015386","274m","","","二上丘陵","","","","","","","","","","","","",""
"卯辰山","[卯辰山] 卯辰山 （うたつやま）は、 石川県 金沢市 にある山である。 金沢城 から見て東（卯辰の方角）に位置することから名づけられた。宇多須山（うたすやま）、向山（むかいやま）、夢香山（むこうやま）、臥竜山（がりゅうざん）、春日山（かすがやま）等多数の別名がある。 日本の歴史公園100選 に選ばれている。","https://ja.wikipedia.org/wiki/卯辰山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯36度34分23秒東経136度40分40秒","日本石川県金沢市","北緯36度34分23秒東経136度40分40秒﻿ / ﻿北緯36.57306度 東経136.67778度﻿ /36.57306; 136.67778座標:北緯36度34分23秒東経136度40分40秒﻿ / ﻿北緯36.57306度 東経136.67778度﻿ /36.57306; 136.67778","141.15m","","","","","","","","","","","","","","","",""
"石川県庁","[石川県庁] 石川県庁 （いしかわけんちょう）は 地方公共団体 である 石川県 の 行政機関 （ 役所 ）である。","https://ja.wikipedia.org/wiki/石川県庁","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯36度35分41秒東経136度37分31.9秒","石川県金沢市鞍月一丁目1番北緯36度35分41秒東経136度37分31.9秒﻿ / ﻿北緯36.59472度 東経136.625528度﻿ /36.59472; 136.625528座標:北緯36度35分41秒東経136度37分31.9秒﻿ / ﻿北緯36.59472度 東経136.625528度﻿ /36.59472; 136.625528","","","","","","","","","","","","","","","","","",""
"獅子吼高原","[獅子吼高原] 地場産業の育成と観光事業の再開発を目的として、旧鶴来町が1996年（平成8年）4月に開園した産業公園である。ゴンドラ山麓駅周辺を囲むようにして、鶴来の伝統的な地場産業や風習などを紹介する施設や、イベント施設などが点在する。","https://ja.wikipedia.org/wiki/獅子吼高原","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","石川県白山市八幡町","","600 m - 535 m","","","","","","","","","","","","","","","",""
"村国山 (存在しないページ)","[村国山]","https://ja.wikipedia.org/w/index.php?title=村国山&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"姨捨サービスエリア","[姨捨ＳＡ] 姨捨サービスエリア （おばすてサービスエリア）は、 長野県 千曲市 の 長野自動車道 上にある サービスエリア である。","https://ja.wikipedia.org/wiki/姨捨サービスエリア","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯36度29分48.21秒東経138度5分48.8秒","〒387-0023長野県千曲市八幡7608-2北緯36度29分48.21秒東経138度5分48.8秒﻿ / ﻿北緯36.4967250度 東経138.096889度﻿ /36.4967250; 138.096889座標:北緯36度29分48.21秒東経138度5分48.8秒﻿ / ﻿北緯36.4967250度 東経138.096889度﻿ /36.4967250; 138.096889","","","","","","","","","","","","","","","","","",""
"城山公園","[城山公園] 城山公園 （しろやまこうえん、じょうやまこうえん）","https://ja.wikipedia.org/wiki/城山公園","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"立石公園 (諏訪市)","[立石公園] 立石公園 （たていしこうえん）は、 長野県 諏訪市 上諏訪 にある 近隣公園 である  。園内からは 諏訪湖 や周辺の山々が一望できる。眺望のすばらしさから、 信州のサンセットポイント100選 、 日本の夜景100選 、 日本夜景遺産 、信州ふるさとの見える（丘）にも選ばれている。また、 国蝶 の オオムラサキ の生息地としても知られている。本公園から見た景色が、2016年に公開されたアニメーション映画「 君の名は。 」の糸守町の景色に似ていると話題になった。","https://ja.wikipedia.org/wiki/立石公園_(諏訪市)","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯36度3分14.9秒東経138度7分21.2秒","日本長野県諏訪市大字上諏訪 10399番地","","","","","","","","","","","","","","","近隣公園","","",""
"金華山","[金華山] 金華山","https://ja.wikipedia.org/wiki/金華山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"池田山","[池田山] 池田山 （いけださん、いけだやま）","https://ja.wikipedia.org/wiki/池田山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊豆スカイライン","[伊豆スカイライン] 伊豆スカイライン （いずスカイライン）は、 静岡県道路公社 が経営する 一般自動車道 事業による 有料道路 。 静岡県 田方郡 函南町 の熱海峠から同県 伊豆市 の 天城高原 へ至る。 伊豆半島 を縦走する延長40.6 キロメートル (km) の一般自動車道である。 1962年 供用開始。","https://ja.wikipedia.org/wiki/伊豆スカイライン","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
