"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","国","地方","都道府県","市町村コード","総人口","隣接自治体","外部リンク","法人番号","人口密度","市の木","市の花","市長","種類","標高","位置","最新噴火","分類"
"平林遺跡 (存在しないページ)","[平林遺跡（桑折町）]","https://ja.wikipedia.org/w/index.php?title=平林遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"後野遺跡 (存在しないページ)","[後野遺跡]","https://ja.wikipedia.org/w/index.php?title=後野遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高原山","[高原山黒曜石原産地遺跡群剣ヶ峯地区遺跡（矢板市）] 高原山 （たかはらやま、たかはらさん）は、 栃木県 日光市 と同 塩谷郡 塩谷町 、 那須塩原市 、 矢板市 にまたがる 山 である。特に主峰 鶏頂山 、釈迦ヶ岳、中岳、西平岳の山頂部は日光市と塩谷町に在り、東北部の裾野である 八方ヶ原 も含め、その山体は 日光国立公園 に在る。 日本三百名山 の一つに選定されている。","https://ja.wikipedia.org/wiki/高原山#高原山黒曜石原産地遺跡群","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯36度54分0秒東経139度46分36秒","栃木県日光市、塩谷郡塩谷町","","","","","","","","","","","","","","成層火山（活火山ランクC）","釈迦ヶ岳 1,794.9m","北緯36度54分0秒東経139度46分36秒﻿ / ﻿北緯36.90000度 東経139.77667度﻿ /36.90000; 139.77667座標:北緯36度54分0秒東経139度46分36秒﻿ / ﻿北緯36.90000度 東経139.77667度﻿ /36.90000; 139.77667","約6500年前",""
"星野遺跡","[星野遺跡（栃木市星野町 (栃木市)）] 星野遺跡 （ほしのいせき）は、 栃木県 栃木市 星野山口付近（栃木市市街地から西北約10キロ、足尾山塊（ チャート や 珪岩 を産する秩父古生物層から成る）から発する永野川左岸の山口台地上にある。）にある 縄文海進 時代の 遺跡 である。 縄文時代 の 遺物 が、田畑の表面のそこらじゅうにちらばっている。付近は 永野川 流域にあり、永野川に沿って同様の遺跡が他にも散在している。 旧石器時代 の 石器 に似た遺物が、畑を耕していた所から発見されたのをきっかけに、 1965年 (昭和40)から 1978年 まで5次にわたって 東北大学 の 芹沢長介 教授 らにより調査が行なわれ、その後遺跡記念公園・遺跡記念館が作られ、訪れる者も増えた。発掘の結果は 原人 が活躍した 前期旧石器時代 で約8万年前の遺跡として発表されたが、多くの問題点が残った。","https://ja.wikipedia.org/wiki/星野遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯36度28分27秒 東経139度37分40.5秒","","","","","","","","","","","","","","","","","","",""
"岩宿遺跡","[岩宿遺跡（みどり市）] 岩宿遺跡は〜 赤城山 の南東、 渡良瀬川 右岸地域の小残丘に立地しており、丘陵の北部は「稲荷山」、南部は「山寺山」および「金比羅山」（琴平山とも）と呼称される。稲荷山と山寺山の境をなす低い鞍部には町道が通っていたが、相沢忠洋によれば、初めて ローム層   中で 打製石器 を発見したのは、この道路の切通においてであった。相沢は当時、 納豆 の 行商 をおこないながら熱心に 考古学 研究にいそしんでいた。","https://ja.wikipedia.org/wiki/岩宿遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯36度24分0.2秒 東経139度17分15.0秒","","","","","","","","","","","","","","","","","","",""
"武井遺跡 (存在しないページ)","[武井遺跡]","https://ja.wikipedia.org/w/index.php?title=武井遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"藪塚遺跡 (存在しないページ)","[藪塚遺跡]","https://ja.wikipedia.org/w/index.php?title=藪塚遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"房谷戸遺跡 (存在しないページ)","[房谷戸遺跡]","https://ja.wikipedia.org/w/index.php?title=房谷戸遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"分郷八崎遺跡 (存在しないページ)","[分郷八崎遺跡]","https://ja.wikipedia.org/w/index.php?title=分郷八崎遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下触牛伏遺跡 (存在しないページ)","[下触牛伏遺跡]","https://ja.wikipedia.org/w/index.php?title=下触牛伏遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"後田遺跡 (存在しないページ)","[後田遺跡]","https://ja.wikipedia.org/w/index.php?title=後田遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"善上遺跡 (存在しないページ)","[善上遺跡]","https://ja.wikipedia.org/w/index.php?title=善上遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"稲荷台遺跡 (上尾市) (存在しないページ)","[稲荷台遺跡]","https://ja.wikipedia.org/w/index.php?title=稲荷台遺跡_(上尾市)&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清河寺前原遺跡 (存在しないページ)","[清河寺前原遺跡]","https://ja.wikipedia.org/w/index.php?title=清河寺前原遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北坂遺跡 (存在しないページ)","[北坂遺跡]","https://ja.wikipedia.org/w/index.php?title=北坂遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"打越遺跡 (存在しないページ)","[打越遺跡]","https://ja.wikipedia.org/w/index.php?title=打越遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"逆井遺跡 (宮代町) (存在しないページ)","[逆井遺跡]","https://ja.wikipedia.org/w/index.php?title=逆井遺跡_(宮代町)&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中東遺跡 (存在しないページ)","[中東遺跡]","https://ja.wikipedia.org/w/index.php?title=中東遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"藤久保東第二遺跡 (存在しないページ)","[藤久保東第二遺跡]","https://ja.wikipedia.org/w/index.php?title=藤久保東第二遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水久保遺跡 (存在しないページ)","[水久保遺跡]","https://ja.wikipedia.org/w/index.php?title=水久保遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"諏訪坂貝塚 (存在しないページ)","[諏訪坂貝塚]","https://ja.wikipedia.org/w/index.php?title=諏訪坂貝塚&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北宿西遺跡 (存在しないページ)","[北宿西遺跡]","https://ja.wikipedia.org/w/index.php?title=北宿西遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"末野遺跡 (存在しないページ)","[末野遺跡]","https://ja.wikipedia.org/w/index.php?title=末野遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中砂遺跡 (存在しないページ)","[中砂遺跡]","https://ja.wikipedia.org/w/index.php?title=中砂遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"砂川遺跡","[砂川遺跡] 砂川遺跡 （すながわいせき）は、 埼玉県 所沢市 三ヶ島 三丁目1075番地ほかに所在する 旧石器時代 の 遺跡 である。1969年（昭和44年）6月27日に所沢市の 史跡 に指定されている  。また出土 遺物 のうち、 ナイフ形石器 35点、彫器1点、 石核 2点、縦長 剥片 59点、接合資料40点は 1993年 （平成5年）1月20日に国の 重要文化財 に指定された  。","https://ja.wikipedia.org/wiki/砂川遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯35度47分30.5秒 東経139度24分42.1秒","","","","","","","","","","","","","","","","","","",""
"成田国際空港","[新東京国際空港（現・成田国際空港）建設にあたって行われた調査で、成田市古込から出土[1] 東京国際空港 とともに 首都圏 の「空の玄関」である。","https://ja.wikipedia.org/wiki/成田国際空港","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯35度45分55秒東経140度23分08秒","千葉県成田市・山武郡芝山町・香取郡多古町","","","","","","","","","","","","","","民間、商業","43m(141ft)","","",""
"墨古沢遺跡","[墨古沢遺跡酒々井町にある3万4000年前の日本最大級の規模。[2] 墨古沢遺跡 （すみふるさわいせき）は、 千葉県 印旛郡 酒々井町 墨にある、後期 旧石器時代 の遺跡。2019年10月16日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/墨古沢遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯35度42分32秒 東経140度17分10秒","","","","","","","","","","","","","","","","","","",""
"茂呂遺跡","[茂呂遺跡-板橋区、東京都初の旧石器時代遺跡] 茂呂遺跡 （もろいせき）は、 東京都 板橋区 小茂根 にある 遺跡 。 日本 全国では 群馬県 の 岩宿遺跡 に次いで2例目の、東京都内では最初の、 旧石器時代 の実在が確認された遺跡である。現在は 城北中央公園 の敷地内にある。","https://ja.wikipedia.org/wiki/茂呂遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯35度45分13.4秒 東経139度40分33.6秒","","","","","","","","","","","","","","","","","","",""
"高井戸東遺跡 (存在しないページ)","[高井戸東遺跡-杉並区、約3万2000年前に燃えて炭化した木材が出土[3]]","https://ja.wikipedia.org/w/index.php?title=高井戸東遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"堂の下遺跡 (存在しないページ)","[堂の下遺跡-杉並区、石器が出土]","https://ja.wikipedia.org/w/index.php?title=堂の下遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小保戸遺跡","[小保戸遺跡（相模原市）] 小保戸遺跡 （こほといせき）は、 神奈川県 相模原市 緑区 小倉にある 旧石器時代 の 遺跡 。","https://ja.wikipedia.org/wiki/小保戸遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯35度34分51.6秒 東経139度17分36.0秒","","","","","","","","","","","","","","","","","","",""
"田名向原遺跡","[田名向原遺跡（相模原市）] 田名向原遺跡 （たなむかいはらいせき）は、 神奈川県 相模原市 中央区 田名塩田で発見された後期 旧石器時代 末（約20,000年前-18,000年前）の 遺跡 である。国の 史跡 。","https://ja.wikipedia.org/wiki/田名向原遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯35度31分43.3秒 東経139度21分19.8秒","","","","","","","","","","","","","","","","","","",""
"月見野遺跡 (存在しないページ)","[月見野遺跡（大和市）]","https://ja.wikipedia.org/w/index.php?title=月見野遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"船久保遺跡 (存在しないページ)","[船久保遺跡（横須賀市） - AT降灰以前のエッジの立った長方形の陥し穴列、神津島由来黒曜石製石器]","https://ja.wikipedia.org/w/index.php?title=船久保遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"川口町 (新潟県)","[荒屋遺跡-後期旧石器時代終末期、細石刃文化期、2004年国の史跡に指定] 川口町 （かわぐちまち）は、かつて 新潟県 北魚沼郡 に存在していた町である。 小千谷市 への通勤率は27.4%・ 長岡市 への通勤率は10.4%（いずれも平成17年国勢調査）。 2010年 3月31日 に、長岡市へ編入。合併前まで、長岡市と境を接してはいなかったため、 飛び地 合併となった。","https://ja.wikipedia.org/wiki/川口町_(新潟県)#荒屋遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯37度16分13秒東経138度51分40秒","〒949-7592新潟県北魚沼郡川口町大字川口1974-26","50.03km2.","日本","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15441-5","4,801人（推計人口、2010年3月1日）","小千谷市、魚沼市、十日町市","川口町（Internet Archive）","","","","","","","","","",""
"直坂遺跡","[直坂遺跡] 直坂遺跡 （すぐさかいせき）は、 富山県 富山市 （直坂地内）にある遺跡。1981年4月11日に国史跡に指定された。所在施設は 猿倉山森林公園 。","https://ja.wikipedia.org/wiki/直坂遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯36度33分35秒 東経137度13分12秒","","","","","","","","","","","","","","","","","","",""
"灯台笹下遺跡 (存在しないページ)","[灯台笹下遺跡（能美市）]","https://ja.wikipedia.org/w/index.php?title=灯台笹下遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西下向遺跡 (存在しないページ)","[西下向遺跡]","https://ja.wikipedia.org/w/index.php?title=西下向遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"一杯窪遺跡 (存在しないページ)","[一杯窪遺跡（都留市）]","https://ja.wikipedia.org/w/index.php?title=一杯窪遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"立石遺跡","[立石遺跡（甲府市）] 甲府盆地 の南縁にあたる 曽根丘陵 の中央部に位置する。南北280メートル、東西180メートルにかけての範囲に分布し、標高は325メートル付近。立石遺跡が立地する曽根丘陵地域は旧石器時代の遺物が出土する地域で、立石遺跡からは関東地方から九州地方に広く分布する 姶良Tn火山灰 （AT）の降灰面より下位から石器類が出土しており、同時期にあたるAT下位の生活遺跡には 富士北麓 の 一杯窪遺跡 （山梨県 都留市 ）や 八ヶ岳 南麓の 横針前久保遺跡 （山梨県 北杜市 ）がある。一方、曽根丘陵中央部には弥生後期から古墳時代初頭にかけての 方形周溝墓 群のある 上の平遺跡 や宮ノ上遺跡など立石遺跡の弥生時代遺構と同時期の集落遺跡が分布しており、古墳時代には大型古墳が出現するなど甲府盆地の中核地域であった。","https://ja.wikipedia.org/wiki/立石遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯35度35分00.6秒 東経138度35分23.0秒","","","","","","","","","","","","","","","","","","",""
"丘の公園内遺跡群","[丘の公園内遺跡群（北杜市）] 丘の公園内遺跡群 （おかのこうえんないいせきぐん）は、 山梨県 北杜市 （旧 北巨摩郡 高根町 清里字念場原）にある 遺跡 。 旧石器時代 から 縄文時代 草創期を中心に 中世 までの遺跡が分布する遺跡群。県内ではじめてAT（ 姶良Tn火山灰 ）が確認された。","https://ja.wikipedia.org/wiki/丘の公園内遺跡群","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横針前久保遺跡 (存在しないページ)","[横針前久保遺跡（北杜市）]","https://ja.wikipedia.org/w/index.php?title=横針前久保遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天神堂遺跡","[天神堂遺跡（南部町）] 天神堂遺跡 （てんじんどういせき）は、 山梨県 南部町 万沢 にある 遺跡 。出土品は山梨県指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/天神堂遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野尻湖","[野尻湖遺跡群（信濃町）野尻湖湖底及び湖西岸から南側にかけての丘陵地帯に点在する39ヶ所の遺跡の総称。その中のひとつである中期旧石器時代の立が鼻遺跡では、約4.8万年前から約3.3万年前までの地層からナウマンゾウやヤベオオツノシカなどの化石と解体に使用したとみられる骨器や石器などの道具類が一緒に出土しており、旧石器時代で大型獣を解体した跡を残している遺跡は、世界的にも僅かな例であり貴重な資料とされている。] 野尻湖 （のじりこ）は、 長野県 上水内郡 信濃町 にある 湖 。古くは 信濃尻湖 （しなのじりこ）と呼ばれた。 芙蓉湖 （ふようこ）とも呼ばれる。 ナウマンゾウ 化石が出土する湖としても知られており、 発掘調査 が行われる。 湖沼水質保全特別措置法 指定湖沼。天然湖で、 妙高高原 、 黒姫高原 とともに 妙高戸隠連山国立公園 に指定されている。","https://ja.wikipedia.org/wiki/野尻湖","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯36度49分30秒東経138度13分20秒","日本長野県上水内郡信濃町","4.45km2","","","","","","","","","","","","","","","北緯36度49分30秒東経138度13分20秒﻿ / ﻿北緯36.82500度 東経138.22222度﻿ /36.82500; 138.22222座標:北緯36度49分30秒東経138度13分20秒﻿ / ﻿北緯36.82500度 東経138.22222度﻿ /36.82500; 138.22222","",""
"茶臼山遺跡","[茶臼山遺跡-諏訪市上諏訪、1952年（昭和27年）調査] 茶臼山遺跡 （ちゃうすやまいせき）は、 長野県 諏訪市 上諏訪9496番にある 旧石器時代 の 遺跡 である  。出土品は「茶臼山遺跡出土品」として市の 有形文化財 に指定されている  。","https://ja.wikipedia.org/wiki/茶臼山遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯36度02分44.0秒 東経138度07分20.0秒","","","","","","","","","","","","","","","","","","",""
"矢出川遺跡","[矢出川遺跡- 南佐久郡南牧村、1954年（昭和29年）] 矢出川遺跡 （やでがわいせき）、または 矢出川遺跡群 （やでがわいせきぐん  ）は、 長野県 南佐久郡 南牧村 にある 旧石器時代 の 遺跡 である。 1995年 （平成7年）2月13日に国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/矢出川遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯35度56分45.8秒 東経138度28分59.5秒","","","","","","","","","","","","","","","","","","",""
"神子柴遺跡 (存在しないページ)","[神子柴遺跡- 上伊那郡南箕輪村、1958年(昭和33年)]","https://ja.wikipedia.org/w/index.php?title=神子柴遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
