"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","延長","幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"白神岳"," 白神岳 （しらかみだけ）は、 青森県 にある 山 。標高1,235m。一等 三角点 の標高は1,231.9m。 世界遺産 登録の 白神山地 にある。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/白神岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯40度30分27秒東経140度01分06秒","日本青森県西津軽郡深浦町","北緯40度30分27秒東経140度01分06秒﻿ / ﻿北緯40.50750度 東経140.01833度﻿ /40.50750; 140.01833座標:北緯40度30分27秒東経140度01分06秒﻿ / ﻿北緯40.50750度 東経140.01833度﻿ /40.50750; 140.01833","1,235m","白神山地","","","","","","","","","","","","","","",""
"姫神山 (岩手県)"," 姫神山 （ひめかみさん）は、 岩手県 盛岡市 にある山である。独立峰でピラミッド型をした山容が特徴である。山頂には一等三角点がある。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/姫神山_(岩手県)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯39度50分39秒東経141度14分49秒","日本岩手県盛岡市","北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.84417度 東経141.24694度﻿ /39.84417; 141.24694座標:北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.84417度 東経141.24694度﻿ /39.84417; 141.24694","1,123.8m","北上山地","","","","","","","","","","","","","","",""
"秋田駒ヶ岳"," 秋田駒ヶ岳 （あきたこまがたけ）とは、 秋田県 仙北市 と 岩手県 岩手郡 雫石町 に跨る 活火山 である。 十和田八幡平国立公園 の南端。標高1,637m。全国に数多い 駒ヶ岳 のなかで最も 高山植物 の豊富な山としても知られる。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/秋田駒ヶ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯39度45分39.9774秒東経140度47分57.7149秒","日本秋田県仙北市岩手県岩手郡雫石町","北緯39度45分39.9774秒東経140度47分57.7149秒﻿ / ﻿北緯39.761104833度 東経140.799365250度﻿ /39.761104833; 140.799365250座標:北緯39度45分39.9774秒東経140度47分57.7149秒﻿ / ﻿北緯39.761104833度 東経140.799365250度﻿ /39.761104833; 140.799365250","1,637.4m","奥羽山脈","成層火山（活火山ランクB）","","1971年","","","","","","","","","","","",""
"和賀岳"," 和賀山塊 （わがさんかい）は、 秋田 ・ 岩手 県境にある 山塊 。 奥羽山脈 真昼山地 の一部。奥深い原生自然とブナ混生林、さらに巨樹・巨木の存在によって知られている。","https://ja.wikipedia.org/wiki/和賀岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯39度34分13.4583秒東経140度45分15.2599秒","秋田県・岩手県","北緯39度34分13.4583秒東経140度45分15.2599秒﻿ / ﻿北緯39.570405083度 東経140.754238861度﻿ /39.570405083; 140.754238861（和賀岳）","","","","","","和賀岳（1,439m）","40km","20km","","","","","","","","",""
"焼石岳"," 焼石岳 （やけいしだけ）とは、 岩手県 南西部、 奥州市 と 和賀郡 西和賀町 の境にある 火山 である。標高1,548メートル。 奥羽山脈 中部に属し、 牛形山 、 駒ヶ岳 などからなる焼石連峰の主峰で、 栗駒国定公園 の一部。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/焼石岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯39度09分49秒東経140度49分44秒","日本岩手県奥州市・和賀郡西和賀町","北緯39度09分49秒東経140度49分44秒﻿ / ﻿北緯39.16361度 東経140.82889度﻿ /39.16361; 140.82889座標:北緯39度09分49秒東経140度49分44秒﻿ / ﻿北緯39.16361度 東経140.82889度﻿ /39.16361; 140.82889","1,547.7m","奥羽山脈","","","","","","","","","","","","","","",""
"栗駒山"," 栗駒山 （くりこまやま）は、山体が 宮城県 、 秋田県 、 岩手県 の三県にまたがる 山 である。 標高 は1,626m  。山頂部は 宮城県 と 岩手県 の境界になっている。 奥羽山脈 に属し、 焼石岳 や 神室山 とともに 栗駒国定公園 や栗駒山・栃ヶ森周辺森林生態系保護地域として指定されている。 二百名山 の一つ。","https://ja.wikipedia.org/wiki/栗駒山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯38度57分39秒東経140度47分18秒","日本岩手県一関市宮城県栗原市秋田県湯沢市・雄勝郡東成瀬村","北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833座標:北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833","1,626m","奥羽山脈","成層火山(活火山ランクB)","","1944年11月20日（昭和湖）","","","","","","","","","","","",""
"神室山"," 神室山 （かむろさん）は 秋田県 湯沢市 と 山形県 新庄市 、 金山町 の県境･市境上にそびえる、神室連峰の主峰となる山である。","https://ja.wikipedia.org/wiki/神室山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯38度54分8秒東経140度29分32.3秒","日本秋田県湯沢市・山形県新庄市・金山町","北緯38度54分8秒東経140度29分32.3秒﻿ / ﻿北緯38.90222度 東経140.492306度﻿ /38.90222; 140.492306座標:北緯38度54分8秒東経140度29分32.3秒﻿ / ﻿北緯38.90222度 東経140.492306度﻿ /38.90222; 140.492306","1365.2m","神室連峰","構造山地（花崗岩）","","","","","","","","","","","","","",""
"森吉山"," 森吉山 （もりよしざん）は、 秋田県 北秋田市 に位置する 標高 1,454.2mの古い 火山 である。高山帯では多くの 高山植物 が咲乱れるため「 花の百名山 （NHK選・山と溪谷社選）」に選ばれている。向岳（むかいだけ）、秋田山（あきたやま）ともいう。","https://ja.wikipedia.org/wiki/森吉山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯39度58分40秒東経140度32分40秒","秋田県北秋田市","北緯39度58分40秒東経140度32分40秒﻿ / ﻿北緯39.97778度 東経140.54444度﻿ /39.97778; 140.54444座標:北緯39度58分40秒東経140度32分40秒﻿ / ﻿北緯39.97778度 東経140.54444度﻿ /39.97778; 140.54444","1,454.2m","独立峰","成層火山","","","","","","","","","","","","","",""
"以東岳"," 以東岳 （いとうだけ）は、 山形県 鶴岡市 と 新潟県 村上市 との境にある 標高 1,771.4mの山である。 日本二百名山 の一つ。","https://ja.wikipedia.org/wiki/以東岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯38度20分34秒東経139度50分56秒","日本山形県鶴岡市新潟県村上市","北緯38度20分34秒東経139度50分56秒﻿ / ﻿北緯38.34278度 東経139.84889度﻿ /38.34278; 139.84889座標:北緯38度20分34秒東経139度50分56秒﻿ / ﻿北緯38.34278度 東経139.84889度﻿ /38.34278; 139.84889","1,771.4m","朝日山地","","","","","","","","","","","","","","",""
"船形山"," 船形山 （ふながたやま）は、 宮城県 と 山形県 の 県境 にそびえる、 奥羽山脈 船形火山群 （ 英語版 ） の主峰となる 火山 である。別名は 御所山 （ごしょざん）。 日本二百名山 のひとつに数えられる。","https://ja.wikipedia.org/wiki/船形山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯38度27分20秒東経140度37分12.3秒","日本宮城県・山形県","北緯38度27分20秒東経140度37分12.3秒﻿ / ﻿北緯38.45556度 東経140.620083度﻿ /38.45556; 140.620083﻿ (船形山（山頂を示す地図記号の位置）)座標:北緯38度27分20秒東経140度37分12.3秒﻿ / ﻿北緯38.45556度 東経140.620083度﻿ /38.45556; 140.620083﻿ (船形山（山頂を示す地図記号の位置）)","1500.34m","船形火山群","成層火山（玄武岩、安山岩）","","","","","","","","","","","","","",""
"朳差岳"," 朳差岳 （えぶりさしだけ）は、 新潟県 岩船郡 関川村 にある 飯豊山地 北部の山である。 標高 1,636.4m。 日本二百名山 の一つ。山頂付近では ニッコウキスゲ や マツムシソウ などの 高山植物 が見られる。","https://ja.wikipedia.org/wiki/朳差岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯37度56分33秒東経139度36分32秒","日本新潟県岩船郡関川村","北緯37度56分33秒東経139度36分32秒﻿ / ﻿北緯37.94250度 東経139.60889度﻿ /37.94250; 139.60889座標:北緯37度56分33秒東経139度36分32秒﻿ / ﻿北緯37.94250度 東経139.60889度﻿ /37.94250; 139.60889","1,636.4m","飯豊山地","","","","","","","","","","","","","","",""
"二王子岳"," 二王子岳 （にのうじだけ）は、 新潟県 新発田市 にある 山 。 越後山脈 の北部に位置し、 日本二百名山 の一つに数えられる。","https://ja.wikipedia.org/wiki/二王子岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯37度53分59秒東経139度29分57秒","新潟県新発田市","北緯37度53分59秒東経139度29分57秒﻿ / ﻿北緯37.89972度 東経139.49917度﻿ /37.89972; 139.49917","1,420.1m","飯豊山地","","","","","","","","","","","","","","",""
"御神楽岳"," 御神楽岳 （みかぐらだけ）は、 新潟県 東蒲原郡 阿賀町 の南東部にある 山 。標高は1,386.5m。","https://ja.wikipedia.org/wiki/御神楽岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯37度31分18.8秒東経139度25分33.1秒","新潟県東蒲原郡阿賀町","北緯37度31分18.8秒東経139度25分33.1秒﻿ / ﻿北緯37.521889度 東経139.425861度﻿ /37.521889; 139.425861","1,386.5m","越後山脈","","","","","","","","","","","","","","",""
"守門岳"," 守門岳 （すもんだけ）は、 新潟県 魚沼市 、 三条市 、 長岡市 にまたがる第四紀火山である。標高は袴岳の1537.2m。 日本二百名山 の一つでもある。","https://ja.wikipedia.org/wiki/守門岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯37度24分0秒東経139度8分0秒","新潟県魚沼市・三条市・長岡市","北緯37度24分0秒東経139度8分0秒﻿ / ﻿北緯37.40000度 東経139.13333度﻿ /37.40000; 139.13333座標:北緯37度24分0秒東経139度8分0秒﻿ / ﻿北緯37.40000度 東経139.13333度﻿ /37.40000; 139.13333","1,537.2m","越後山脈","成層火山","","","","","","","","","","","","","",""
"中ノ岳"," 中ノ岳 （なかのだけ）は、 新潟県 南魚沼市 と 魚沼市 にまたがる標高2,085 mの山。","https://ja.wikipedia.org/wiki/中ノ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯37度05分07秒東経139度04分39秒","新潟県南魚沼市・魚沼市","北緯37度05分07秒東経139度04分39秒﻿ / ﻿北緯37.08528度 東経139.07750度﻿ /37.08528; 139.07750座標:北緯37度05分07秒東経139度04分39秒﻿ / ﻿北緯37.08528度 東経139.07750度﻿ /37.08528; 139.07750","2,085m","越後山脈","","","","","","","","","","","","","","",""
"八海山"," 八海山 （はっかいさん）は、 新潟県 南魚沼市 にある 岩峰 群である。最高峰は 標高 1,778mの 入道岳 であり、古くから 霊山 として崇められてきた。 越後駒ヶ岳 、 中ノ岳 とともに 越後三山 （魚沼三山）の1峰で、 日本200名山 のひとつ。","https://ja.wikipedia.org/wiki/八海山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯37度06分14秒東経139度01分29秒","日本新潟県南魚沼市","北緯37度06分14秒東経139度01分29秒﻿ / ﻿北緯37.10389度 東経139.02472度﻿ /37.10389; 139.02472座標:北緯37度06分14秒東経139度01分29秒﻿ / ﻿北緯37.10389度 東経139.02472度﻿ /37.10389; 139.02472","1,778m","越後山脈","","","","","","","","","","","","","","",""
"荒沢岳"," 荒沢岳 （あらさわだけ）は 新潟県 魚沼市 にある 標高 1,969 m の 山 。 荒澤岳 とも表記する。また 銀山岳 と呼ばれていた時代もある。三角形の山頂部を中心に両翼を広げ、均整のとれた山容を見せており、 沢 には盛夏でも 雪渓 を残す。","https://ja.wikipedia.org/wiki/荒沢岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯37度06分01秒東経139度08分53秒","日本新潟県魚沼市","北緯37度06分01秒東経139度08分53秒﻿ / ﻿北緯37.10028度 東経139.14806度﻿ /37.10028; 139.14806座標:北緯37度06分01秒東経139度08分53秒﻿ / ﻿北緯37.10028度 東経139.14806度﻿ /37.10028; 139.14806","1,969m","","","","","","","","","","","","","","","",""
"佐武流山"," 佐武流山 （さぶりゅうやま、さぶるやま）は、 長野県 下水内郡 栄村 と 新潟県 南魚沼郡 湯沢町 との境にある山である。 標高 は2,191.5m。 日本二百名山 に選定されている。 苗場山 と 白砂山 を結ぶ稜線上にあり、そのどちらよりも高い。 志賀高原 の 岩菅山 と 尾瀬 の 至仏山 との間にある山としては最も高い山である。しかし、奥まった場所にあること、緩やかな頂稜をもつ目立たない山容の山であること、また登山道の整備もあまり進んでいないことなどから、知名度は低く、登山者は比較的少ない。","https://ja.wikipedia.org/wiki/佐武流山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度46分19.9秒東経138度40分14.2秒","日本長野県下水内郡栄村新潟県南魚沼郡湯沢町","北緯36度46分19.9秒東経138度40分14.2秒﻿ / ﻿北緯36.772194度 東経138.670611度﻿ /36.772194; 138.670611座標:北緯36度46分19.9秒東経138度40分14.2秒﻿ / ﻿北緯36.772194度 東経138.670611度﻿ /36.772194; 138.670611","2,191.5m","上信越高原","","","","","","","","","","","","","","",""
"鳥甲山"," 鳥甲山 （とりかぶとやま）は、 長野県 下水内郡 栄村 にある山である。 標高 は2,037.6m。 ちょうこうさん と音読みする住民もいる。 日本二百名山 に選定されている。","https://ja.wikipedia.org/wiki/鳥甲山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度50分21秒東経138度35分03秒","日本長野県下水内郡栄村","北緯36度50分21秒東経138度35分03秒﻿ / ﻿北緯36.83917度 東経138.58417度﻿ /36.83917; 138.58417座標:北緯36度50分21秒東経138度35分03秒﻿ / ﻿北緯36.83917度 東経138.58417度﻿ /36.83917; 138.58417","2,037.6m","上信越高原","成層火山","","","","","","","","","","","","","",""
"帝釈山"," 帝釈山 （たいしゃくさん）は 福島県 南会津郡 南会津町 、 檜枝岐村 、 栃木県 日光市 の境界にある標高2,060mの 山 。 日本二百名山 のひとつ。二等 三角点 設置。","https://ja.wikipedia.org/wiki/帝釈山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度58分11.3秒東経139度27分35.9秒","日本福島県南会津郡南会津町・檜枝岐村栃木県日光市","北緯36度58分11.3秒東経139度27分35.9秒﻿ / ﻿北緯36.969806度 東経139.459972度﻿ /36.969806; 139.459972座標:北緯36度58分11.3秒東経139度27分35.9秒﻿ / ﻿北緯36.969806度 東経139.459972度﻿ /36.969806; 139.459972","2,059.6m","帝釈山脈","","","","","","","","","","","","","","",""
"会津朝日岳"," 会津朝日岳 （あいづあさひだけ）は、 福島県 南会津郡 只見町 の南部にある山である。 標高 1,624.2m。三等 三角点 「朝日岳」設置。 越後三山只見国定公園 に属する。","https://ja.wikipedia.org/wiki/会津朝日岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯37度13分16.1秒東経139度20分22.7秒","日本福島県南会津郡只見町","北緯37度13分16.1秒東経139度20分22.7秒﻿ / ﻿北緯37.221139度 東経139.339639度﻿ /37.221139; 139.339639座標:北緯37度13分16.1秒東経139度20分22.7秒﻿ / ﻿北緯37.221139度 東経139.339639度﻿ /37.221139; 139.339639","1,624.2m","","","","","","","","","","","","","","","",""
"女峰山"," 女峰山 （にょほうさん）は 日光市 の北側、 男体山 の北東約7km地点にある 標高 2,483mの 成層火山 である。 日光三山 のひとつ。 日本二百名山 のひとつ。","https://ja.wikipedia.org/wiki/女峰山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度48分41秒東経139度32分11秒","日本栃木県日光市","北緯36度48分41秒東経139度32分11秒﻿ / ﻿北緯36.81139度 東経139.53639度﻿ /36.81139; 139.53639座標:北緯36度48分41秒東経139度32分11秒﻿ / ﻿北緯36.81139度 東経139.53639度﻿ /36.81139; 139.53639","2,483m","日光連山","成層火山","","","","","","","","","","","","","",""
"仙ノ倉山"," 仙ノ倉山 （せんのくらやま）は、 群馬県 利根郡 みなかみ町 と 新潟県 南魚沼郡 湯沢町 にまたがる 山 。谷川連峰に属する。 標高 2,026mで二等 三角点 が置かれている。ぐんま百名山  で、「ぐんま県境 稜線 トレイル」コースになっている  。","https://ja.wikipedia.org/wiki/仙ノ倉山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度49分03秒東経138度50分22秒","日本群馬県利根郡みなかみ町新潟県南魚沼郡湯沢町","北緯36度49分03秒東経138度50分22秒﻿ / ﻿北緯36.81750度 東経138.83944度﻿ /36.81750; 138.83944座標:北緯36度49分03秒東経138度50分22秒﻿ / ﻿北緯36.81750度 東経138.83944度﻿ /36.81750; 138.83944","2,026.3m","三国山脈","","","","","","","","","","","","","","",""
"白砂山"," 白砂山 （しらすなやま）は、 長野県 ・ 新潟県 ・ 群馬県 の3県の境に位置する山である。 標高 は2,139.7m。 日本二百名山 および 越後百山 、 信州百名山 、 ぐんま百名山 に選定されている。","https://ja.wikipedia.org/wiki/白砂山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度44分17秒東経138度41分36秒","日本長野県下水内郡栄村新潟県南魚沼郡湯沢町群馬県吾妻郡中之条町","北緯36度44分17秒東経138度41分36秒﻿ / ﻿北緯36.73806度 東経138.69333度﻿ /36.73806; 138.69333座標:北緯36度44分17秒東経138度41分36秒﻿ / ﻿北緯36.73806度 東経138.69333度﻿ /36.73806; 138.69333","2,139.7m","上信越高原","","","","","","","","","","","","","","",""
"岩菅山"," 岩菅山 （いわすげやま、いわすごやま）は、 長野県 下高井郡 山ノ内町 にある 山 である。 標高 2,295m。 日本二百名山 の一つ。昔は岩巣護山と綴っていた事から「いわすごやま」とも呼ばれている。","https://ja.wikipedia.org/wiki/岩菅山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度44分31秒東経138度33分34秒","日本長野県下高井郡山ノ内町","北緯36度44分31秒東経138度33分34秒﻿ / ﻿北緯36.74194度 東経138.55944度﻿ /36.74194; 138.55944座標:北緯36度44分31秒東経138度33分34秒﻿ / ﻿北緯36.74194度 東経138.55944度﻿ /36.74194; 138.55944","2,295m","志賀高原","","","","","","","","","","","","","","",""
"浅間隠山"," 浅間隠山 （あさまかくしやま）は、 群馬県 吾妻郡 東吾妻町 と 長野原町 の境にある山。標高1,757m。","https://ja.wikipedia.org/wiki/浅間隠山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度27分13秒東経138度39分09秒","日本群馬県吾妻郡東吾妻町・長野原町","北緯36度27分13秒東経138度39分09秒﻿ / ﻿北緯36.45361度 東経138.65250度﻿ /36.45361; 138.65250座標:北緯36度27分13秒東経138度39分09秒﻿ / ﻿北緯36.45361度 東経138.65250度﻿ /36.45361; 138.65250","1,757m","","","","","","","","","","","","","","","",""
