"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","位置","管理運営","公式サイト","所有者","専門分野","面積","アクセス","正式名称","園長","頭数","愛称","前身","種数","来園者数","主な飼育動物","分類","事業主体"
"アルプス公園 (松本市)","[アルプス公園 (松本市)] アルプス公園 （アルプスこうえん）は、 長野県 松本市 蟻ケ崎 にある都市公園（ 総合公園 ）である  。園内には山と自然博物館（旧アルプス山岳館）や小さな 動物園 (小鳥と小動物の森)、アルプスドリームコースターなどがある。 国営アルプスあづみの公園 との区別のため、通常は「 松本アルプス公園 」などと呼ばれる。","https://ja.wikipedia.org/wiki/アルプス公園_(松本市)","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度15分39.24秒東経137度57分17.4秒","日本長野県松本市蟻ケ崎2455番11","1974年","","","toybox-net.jp/alpspark/","","","71.1 ha","松本駅からタクシーで15分松本バスターミナルからバスで20分","","","","","","","","","都市公園（総合公園）",""
"飯田市立動物園","[飯田市立動物園] 飯田市立動物園 （いいだしりつどうぶつえん）は、 長野県 飯田市 にある 市立 の 動物園 である。","https://ja.wikipedia.org/wiki/飯田市立動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度30分50.6秒東経137度49分26.5秒","〒395-0046長野県飯田市扇町33","1953年5月5日","北緯35度30分50.6秒東経137度49分26.5秒﻿ / ﻿北緯35.514056度 東経137.824028度﻿ /35.514056; 137.824028座標:北緯35度30分50.6秒東経137度49分26.5秒﻿ / ﻿北緯35.514056度 東経137.824028度﻿ /35.514056; 137.824028","環境文化教育機構株式会社","city.iida.lg.jp/zoo/newhp/newindex.htm","飯田市","総合","","「飯田駅」より徒歩15分","","長良健次","","","","","","","",""
"池田市立五月山動物園","[池田市立五月山動物園] 池田市立五月山動物園 （いけだしりつ さつきやまどうぶつえん）は、 大阪府 池田市 の 五月山公園 にある 動物園 。 1957年 （ 昭和 32年）4月に開園した  。","https://ja.wikipedia.org/wiki/池田市立五月山動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度49分50.1秒東経135度25分30.8秒","〒563-0051大阪府池田市綾羽二丁目5-33","1957年（昭和32年）4月","北緯34度49分50.1秒東経135度25分30.8秒﻿ / ﻿北緯34.830583度 東経135.425222度﻿ /34.830583; 135.425222座標:北緯34度49分50.1秒東経135度25分30.8秒﻿ / ﻿北緯34.830583度 東経135.425222度﻿ /34.830583; 135.425222","","五月山動物園","","","約 4,500 m2","阪急電鉄宝塚本線池田駅","池田市立五月山動物園","","","","","","","ウォンバットアルパカ","",""
"池田動物園","[池田動物園] 池田動物園 （いけだどうぶつえん、 Ikeda Zoo ）は、 岡山県 岡山市 北区 にある 動物園 。","https://ja.wikipedia.org/wiki/池田動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度40分29秒東経133度54分19秒","〒700-0015岡山市北区京山二丁目5番1号","1953年2月","北緯34度40分29秒東経133度54分19秒﻿ / ﻿北緯34.67472度 東経133.90528度﻿ /34.67472; 133.90528座標:北緯34度40分29秒東経133度54分19秒﻿ / ﻿北緯34.67472度 東経133.90528度﻿ /34.67472; 133.90528","","池田動物園","株式会社池田動物園","総合","","","","","","","池田産業動植物園","","","","",""
"いしかわ動物園","[いしかわ動物園] いしかわ動物園 （いしかわどうぶつえん）は、 石川県 能美市 徳山町にある 動物園 。 1999年 （ 平成 11年）10月に開園した  。","https://ja.wikipedia.org/wiki/いしかわ動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度26分1.06秒東経136度32分43.45秒","〒923-1222石川県能美市徳山町600番地","1999年10月9日","石川県石川県の地図を表示いしかわ動物園 (日本)日本の地図を表示北緯36度26分1.06秒東経136度32分43.45秒﻿ / ﻿北緯36.4336278度 東経136.5454028度﻿ /36.4336278; 136.5454028座標:北緯36度26分1.06秒東経136度32分43.45秒﻿ / ﻿北緯36.4336278度 東経136.5454028度﻿ /36.4336278; 136.5454028","一般財団法人　石川県県民ふれあい公社","いしかわ動物園","石川県","動物園","約23ヘクタール","北陸自動車道「小松インター」または「美川インター」または「白山インター」より車で約20分。 バス：金沢駅より約1時間、小松駅より約40分いしかわ動物園サバンナの草原","","美馬秀夫","3632（2019年1月1日時点）","","","207（2019年1月1日時点）","","","",""
"伊豆アニマルキングダム","[伊豆アニマルキングダム] 伊豆アニマルキングダム （いずアニマルキングダム）は、 静岡県 賀茂郡 東伊豆町 稲取にある 動物園 （動植物自然公園  、 サファリパーク ）、 遊園地 。旧伊豆バイオパークを改修  。","https://ja.wikipedia.org/wiki/伊豆アニマルキングダム","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度47分49.5秒東経139度2分22.3秒","〒413-0411静岡県賀茂郡東伊豆町稲取3344伊豆アニマルキングダム伊豆アニマルキングダム (日本)日本の地図を表示伊豆アニマルキングダム伊豆アニマルキングダム (静岡県)静岡県の地図を表示","1977年10月1日","北緯34度47分49.5秒東経139度2分22.3秒﻿ / ﻿北緯34.797083度 東経139.039528度﻿ /34.797083; 139.039528座標:北緯34度47分49.5秒東経139度2分22.3秒﻿ / ﻿北緯34.797083度 東経139.039528度﻿ /34.797083; 139.039528","(株)伊豆バイオパーク","izu-kamori.jp/izu-biopark/","加森観光","動植物園及び遊園地","540,600平方メートル","","","","600匹","","伊豆バイオパーク（伊豆急行）","66種","","","",""
"IZoo","[IZoo] iZoo （イズー）は、 静岡県 賀茂郡 河津町 南部の浜地区、菖蒲沢（しょうぶざわ）エリアにある 動物園 （ 爬虫類 館）。 2012年 （平成24年） 12月15日 に開館  。前身は 伊豆アンディランド （ 後節 参照）。","https://ja.wikipedia.org/wiki/IZoo","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度43分51.1秒東経138度59分41.0秒","〒413-0513静岡県賀茂郡河津町浜406-2","2012年（平成24年）12月15日","北緯34度43分51.1秒東経138度59分41.0秒﻿ / ﻿北緯34.730861度 東経138.994722度﻿ /34.730861; 138.994722座標:北緯34度43分51.1秒東経138度59分41.0秒﻿ / ﻿北緯34.730861度 東経138.994722度﻿ /34.730861; 138.994722","","izoo.co.jp","有限会社レップジャパン（静岡市）","動物園（爬虫類館）","約2万m2","伊豆急行線河津駅より車3-5分","","白輪剛史","1500匹（オープン時）","イズー","伊豆アンディランド(1986 - 2012)","300種（オープン時）","","世界の爬虫類","",""
"伊豆シャボテン動物公園","[伊豆シャボテン動物公園] 伊豆シャボテンリゾート株式会社 傘下の連結子会社である 株式会社伊豆シャボテン公園 が運営している。","https://ja.wikipedia.org/wiki/伊豆シャボテン動物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度54分26秒東経139度6分3秒","静岡県伊東市富戸1317-13","1959年（昭和34年）10月","北緯34度54分26秒東経139度6分3秒﻿ / ﻿北緯34.90722度 東経139.10083度﻿ /34.90722; 139.10083座標:北緯34度54分26秒東経139度6分3秒﻿ / ﻿北緯34.90722度 東経139.10083度﻿ /34.90722; 139.10083","","www.shaboten.co.jp","株式会社伊豆シャボテン公園","動植物園","","JR伊東駅から東海バス約35分営業時間・料金等は施設案内参照","伊豆シャボテン動物公園","","","","","","","チンパンジー、テナガザル等猿類カピバラ、ミーアキャット等小哺乳類ペリカン、インドクジャク、フラミンゴ等鳥類他ラマ、バク等草食動物","",""
"市川市動植物園","[市川市動植物園] 市川市動植物園 （いちかわしどうしょくぶつえん、 英 : Ichikawa Zoological & Botanical Garden ）は、 千葉県 市川市 の市立 動物園 及び 植物園 。コツメカワウソ舎で「 流しカワウソ 」というパイプを用いた 遊具 を展示することで知られる。","https://ja.wikipedia.org/wiki/市川市動植物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度45分53.2秒 東経139度57分54.79秒","〒272-0801千葉県市川市大町284番地","1987年8月21日","","千葉県市川市","市川市動植物園公式ホームページ市川市動植物園（公式Twitter）(@ichikawa_zoo) -Twitter","","","","","","","457頭（2016年現在）","","","56種（2016年現在）","","シセンレッサーパンダスマトラオランウータンコツメカワウソなど","",""
"市原ぞうの国","[市原ぞうの国] 市原ぞうの国 （いちはらぞうのくに）は、 千葉県 市原市 山小川にある 動物園 である。アジアゾウ9頭、 アフリカゾウ 1頭、合計10頭のゾウが飼育されており、その数は国内最多である。サテライトパークとして サユリワールド 、 勝浦ぞうの楽園 も運営しており、市原ぞうの国とサユリワールドの2園で アニマルワンダーリゾウト を構成している。","https://ja.wikipedia.org/wiki/市原ぞうの国","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度21分17.2秒東経140度10分56.5秒","〒290-0521千葉県市原市山小川937","1989年","北緯35度21分17.2秒東経140度10分56.5秒﻿ / ﻿北緯35.354778度 東経140.182361度﻿ /35.354778; 140.182361座標:北緯35度21分17.2秒東経140度10分56.5秒﻿ / ﻿北緯35.354778度 東経140.182361度﻿ /35.354778; 140.182361","有限会社市原ぞうの国","市原ぞうの国","","","","","","坂本小百合","","","山小川ファーム動物クラブ、湘南動物プロダクション","","","","",""
"到津の森公園","[到津の森公園] 到津の森公園 （いとうづのもりこうえん）は、 福岡県 北九州市 小倉北区 上到津にある市営の 動物園 。 2000年 （平成12年）、 西日本鉄道 （西鉄）が運営していた 到津遊園 （いとうづゆうえん）が経営悪化のため閉園し、北九州市が経営を引きついだ。","https://ja.wikipedia.org/wiki/到津の森公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度52分28.4秒東経130度50分46.3秒","〒803-0845福岡県北九州市小倉北区上到津4-1到津の森公園 (福岡県)福岡県の地図を表示到津の森公園 (日本)日本の地図を表示","2002年（平成14年）4月13日","北緯33度52分28.4秒東経130度50分46.3秒﻿ / ﻿北緯33.874556度 東経130.846194度﻿ /33.874556; 130.846194座標:北緯33度52分28.4秒東経130度50分46.3秒﻿ / ﻿北緯33.874556度 東経130.846194度﻿ /33.874556; 130.846194","北九州市都市整備公社（指定管理者）","","北九州市","総合","","","到津の森公園","","","","到津遊園","","","","",""
"井の頭自然文化園","[井の頭自然文化園] 井の頭自然文化園 （いのかしらしぜんぶんかえん）は、 東京都 武蔵野市 （分園は 三鷹市 ）にある都立の 動物園 。 井の頭公園 の一角にある。開園は 1942年 5月17日 。","https://ja.wikipedia.org/wiki/井の頭自然文化園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度42分3秒東経139度34分21.9秒","東京都武蔵野市御殿山1-17-6","1942年5月17日","北緯35度42分3秒東経139度34分21.9秒﻿ / ﻿北緯35.70083度 東経139.572750度﻿ /35.70083; 139.572750座標:北緯35度42分3秒東経139度34分21.9秒﻿ / ﻿北緯35.70083度 東経139.572750度﻿ /35.70083; 139.572750","東京動物園協会2011～2015年度指定管理者","http://www.tokyo-zoo.net/zoo/ino/","武蔵野市","総合","115,500m2","","","","","","","","","","",""
"うだ・アニマルパーク","[うだ・アニマルパーク] うだ・アニマルパーク は、 奈良県 宇陀市 大宇陀小附75-1に位置する 県立 の 動物園 。","https://ja.wikipedia.org/wiki/うだ・アニマルパーク","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度29分20秒東経135度55分58秒","〒633-2112奈良県宇陀市大宇陀小附75-1","2008年4月","北緯34度29分20秒東経135度55分58秒﻿ / ﻿北緯34.48889度 東経135.93278度﻿ /34.48889; 135.93278座標:北緯34度29分20秒東経135度55分58秒﻿ / ﻿北緯34.48889度 東経135.93278度﻿ /34.48889; 135.93278","","うだ・アニマルパーク","奈良県","","","","","","","","","","22万8170人（2016年度）","","",""
"宇都宮動物園","[宇都宮動物園] 宇都宮動物園 （うつのみやどうぶつえん）は、 栃木県 宇都宮市 にある民営の 動物園 。コンセプトは「自然とどうぶつとこどもたち」のふれあいテーマパーク。","https://ja.wikipedia.org/wiki/宇都宮動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度37分57.9秒東経139度51分12.9秒","〒321-2115栃木県宇都宮市上金井町552-2","1981年","北緯36度37分57.9秒東経139度51分12.9秒﻿ / ﻿北緯36.632750度 東経139.853583度﻿ /36.632750; 139.853583座標:北緯36度37分57.9秒東経139度51分12.9秒﻿ / ﻿北緯36.632750度 東経139.853583度﻿ /36.632750; 139.853583","有限会社宇都宮動物園","","有限会社宇都宮動物園","","","","","荒井賢治","400","","","90","","","",""
"江戸川区自然動物園","[江戸川区自然動物園] 江戸川区自然動物園 （えどがわくしぜんどうぶつえん）は、 東京都 江戸川区 の 行船公園 内にある 動物園 。オーストラリア政府の認定を受けている。","https://ja.wikipedia.org/wiki/江戸川区自然動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","〒134-0081東京都江戸川区北葛西3-2-1","","","江戸川区","公益財団法人 えどがわ環境財団","","","","都営バス「宇喜田」または「北葛西2丁目」","","","約550頭","","","約60種","","","",""
"愛媛県立とべ動物園","[愛媛県立とべ動物園] 愛媛県立とべ動物園 （えひめけんりつとべどうぶつえん）は、 愛媛県 伊予郡 砥部町 にある愛媛県立の 動物園 。 愛媛県総合運動公園 内に位置している。","https://ja.wikipedia.org/wiki/愛媛県立とべ動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度45分44.6秒東経132度47分33.9秒","〒791-2117愛媛県伊予郡砥部町上原町240","1988年","北緯33度45分44.6秒東経132度47分33.9秒﻿ / ﻿北緯33.762389度 東経132.792750度﻿ /33.762389; 132.792750﻿ (愛媛県立とべ動物園)座標:北緯33度45分44.6秒東経132度47分33.9秒﻿ / ﻿北緯33.762389度 東経132.792750度﻿ /33.762389; 132.792750﻿ (愛媛県立とべ動物園)","公益財団法人愛媛県動物園協会（指定管理者）","","愛媛県","総合","","","総合運動公園とべ動物園","","","","愛媛県立道後動物園","","","","",""
"大内山動物園","[大内山動物園] 1970年 （昭和45年）に、前園長の脇正雄夫妻が10種類ほどの動物をそろえて「 大内山脇動物園 」として開園  。以来、夫妻による経営が続けられたが経営難であったため、 1993年 （平成5年）時点では三重県 多気郡 多気町 の 五桂池ふるさと村 が新たな目玉として建設していた「花と動物ふれあい広場」に統合することで合意していた  。また、ふるさと村と多気町は脇夫妻を園長として迎え、多気町内に新居を準備するという条件を提示していた  。しかし実際には統合されることなく、動物園は維持された。","https://ja.wikipedia.org/wiki/大内山動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度16分30.6秒東経136度22分09.7秒","〒519-3111三重県度会郡大紀町大内山間弓530-4","1970年","北緯34度16分30.6秒東経136度22分09.7秒﻿ / ﻿北緯34.275167度 東経136.369361度﻿ /34.275167; 136.369361座標:北緯34度16分30.6秒東経136度22分09.7秒﻿ / ﻿北緯34.275167度 東経136.369361度﻿ /34.275167; 136.369361","","www.oouchiyama-zoo.com","","","","アクセスを参照。","","山本清號","","","","","","","",""
"大島公園動物園","[大島公園動物園] 大島公園動物園 （おおしまこうえんどうぶつえん）は、 東京都 大島町 泉津字福重2号にある 動物園 。東京都が策定した ズーストック計画 の対象園となっている。","https://ja.wikipedia.org/wiki/大島公園動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","〒100-0103東京都大島町泉津字福重3号","1935年（昭和10年）","","","大島公園動物園","","","","元町港・岡田港・大島空港より大島公園行バスにて終点下車、徒歩2分","","","約350頭","","","約60種","","カラスバトなど","",""
"大塔かもしか牧場","[大塔かもしか牧場] 百間山渓谷かもしか牧場 （ひゃっけんざんけいこくかもしかぼくじょう）は、 和歌山県 田辺市 熊野にある、市営の ニホンカモシカ の飼育牧場。 大塔かもしか牧場 （ 大塔村 かもしか牧場、大塔カモシカ園）とも。略称「かもしか牧場」。","https://ja.wikipedia.org/wiki/大塔かもしか牧場","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","〒646-1321和歌山県田辺市熊野225","1971年","","","","田辺市","カモシカ牧場","約4,200m2","","","","最大13頭(1978年)","","","1","","　ニホンカモシカ","",""
"大町山岳博物館","[大町山岳博物館] 大町山岳博物館 （おおまちさんがくはくぶつかん）は、 長野県 大町市 大町にある、山岳に関する資料を扱った市立 博物館 。愛称は「山博（さんぱく）」。日本ではじめての山岳をテーマとした博物館であり、大町市は山岳文化都市宣言をしている。 安曇野アートライン 加盟施設。","https://ja.wikipedia.org/wiki/大町山岳博物館","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度30分18.9秒東経137度52分14秒","〒398-0002大町市大町8056-1","","北緯36度30分18.9秒東経137度52分14秒﻿ / ﻿北緯36.505250度 東経137.87056度﻿ /36.505250; 137.87056座標:北緯36度30分18.9秒東経137度52分14秒﻿ / ﻿北緯36.505250度 東経137.87056度﻿ /36.505250; 137.87056","大町市教育委員会","","","山岳資料","","","市立大町山岳博物館","","","","","","","","","大町市"
"大牟田市動物園","[大牟田市動物園] 大牟田市動物園 （おおむたしどうぶつえん）は、 福岡県 大牟田市 にある 動物園 である。市民には 延命動物園 （えんめいどうぶつえん）と呼ばれることが多い。","https://ja.wikipedia.org/wiki/大牟田市動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","〒836-0871福岡県大牟田市昭和町163","1941年10月","","西日本メンテナンス（指定管理者）","http://omutacityzoo.org/","大牟田市","総合","44,000m2","","","椎原春一","","延命動物園","","","","","",""
"岡崎市東公園動物園","[岡崎市東公園動物園] 東公園 （ひがしこうえん  ）は、 愛知県 岡崎市 欠町 にある 都市公園 （総合公園）である  。 1928年 （ 昭和 3年） 4月 に開園した  。","https://ja.wikipedia.org/wiki/岡崎市東公園動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度57分10.9秒東経137度11分30.8秒","日本愛知県岡崎市欠町字大山田1","1928年（昭和3年）4月","","","岡崎市東公園","","","26.91ha","","","","","","","","","","都市公園（総合公園）",""
