"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","タイプ","分野","使用言語","閲覧","登録","ライセンス","運営元","設立","設立者","分類","面積","開園"
"道の駅那須与一の郷","なすよいちのさと那須与一の郷（なすよいちのさと）大田原市国道461号栃木-11 ","https://ja.wikipedia.org/wiki/道の駅那須与一の郷","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度51分44秒東経140度05分16秒","〒324-0012栃木県大田原市南金丸1584-6","国道461号","第19回（09011）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2004年4月11日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅那須野が原博物館","なすのがはらはくぶつかん那須野が原博物館（なすのがはらはくぶつかん）那須塩原市市道塩原街道線栃木-12旧名称「にしなすの」国道400号旧道","https://ja.wikipedia.org/wiki/道の駅那須野が原博物館","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度53分59秒東経139度58分08秒","〒329-2752栃木県那須塩原市三島5-1","市道塩原街道線","第20回（09012）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2004年4月23日（施設供用）","9:00 - 17:00","","","","","","","","","","","",""
"道の駅みかも","みかも栃木市国道50号栃木-13 ","https://ja.wikipedia.org/wiki/道の駅みかも","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度17分48秒東経139度37分30秒","〒323-1107栃木県栃木市藤岡町大田和678","国道50号","第20回（09013）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2006年4月21日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅思川","おもいがわ思川（おもいがわ）小山市国道50号栃木-14 ","https://ja.wikipedia.org/wiki/道の駅思川","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度18分29秒東経139度45分37秒","〒321-0065栃木県小山市大字下国府塚25-1","国道50号","第21回（09014）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2006年4月29日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅湯西川","ゆにしがわ湯西川（ゆにしがわ）日光市国道121号栃木-15野岩鉄道会津鬼怒川線湯西川温泉駅と直結","https://ja.wikipedia.org/wiki/道の駅湯西川","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度55分48秒東経139度41分13秒","〒321-2603栃木県日光市西川478-1","国道121号","第22回（09015）","2006年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2006年8月18日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅みぶ","みぶ下都賀郡壬生町県道71号羽生田上蒲生線栃木-16北関東自動車道壬生PAと連結（ハイウェイオアシス）","https://ja.wikipedia.org/wiki/道の駅みぶ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度27分19秒東経139度48分24秒","〒321-0211栃木県下都賀郡壬生町大字国谷1870-2","栃木県道71号","第32回（09016）","2009年7月31日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2009年10月23日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅にしかた","にしかた栃木市国道293号栃木-17 ","https://ja.wikipedia.org/wiki/道の駅にしかた","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度28分00秒東経139度44分35秒","〒322-0604栃木県栃木市西方町元369-1","国道293号","第32回（09017）","2009年7月31日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2009年11月22日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅しもつけ","しもつけ下野市国道4号小山石橋バイパス栃木-18 ","https://ja.wikipedia.org/wiki/道の駅しもつけ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度23分50秒東経139度53分02秒","〒329-0431栃木県下野市薬師寺3720-1","国道4号","第34回（09018）","2010年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2011年3月26日","9:00 - 18:00（夏季9:00 - 19:00）","","","","","","","","","","","",""
"道の駅やいた","やいた矢板市県道30号矢板那須線栃木-19 ","https://ja.wikipedia.org/wiki/道の駅やいた","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度48分20秒東経139度55分18秒","〒329-2165栃木県矢板市矢板114番地1","栃木県道30号","第35回（09019）","2011年3月3日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2011年4月29日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅湧水の郷しおや","ゆうすいのさとしおや湧水の郷 しおや（ゆうすいのさとしおや）塩谷郡塩谷町国道461号栃木-20","https://ja.wikipedia.org/wiki/道の駅湧水の郷しおや","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度45分52秒東経139度46分53秒","〒329-2441栃木県塩谷郡塩谷町大字船生字上桜3733-1","国道461号","第37回（09020）","2012年3月26日","国土交通省案内ページ全国道の駅連絡会ページ","2012年6月23日","","","","","","","","","","","","",""
"道の駅うつのみや ろまんちっく村","うつのみや ろまんちっく村（うつのみやろまんちっくむら）宇都宮市国道293号栃木-21 ","https://ja.wikipedia.org/wiki/道の駅うつのみや_ろまんちっく村","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度38分00秒東経139度49分53秒","〒321-2118栃木県宇都宮市新里町丙254","国道293号","第37回（09021）","2012年3月26日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2012年9月22日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅サシバの里いちかい","さしばのさといちかいサシバの里いちかい（サシバのさといちかい）芳賀郡市貝町県道69号宇都宮茂木線栃木-22 ","https://ja.wikipedia.org/wiki/道の駅サシバの里いちかい","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度32分34秒東経140度06分01秒","〒321-3423栃木県芳賀郡市貝町大字市塙1270","栃木県道69号","第41回（09022）","2014年4月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年4月20日","","","","","","","","","","","","",""
"道の駅日光","にっこう日光（にっこう）日光市国道119号栃木-23 ","https://ja.wikipedia.org/wiki/道の駅日光","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度43分28秒東経139度41分15秒","〒321-1261栃木県日光市今市719番地1","国道119号","第43回（09023）","2015年4月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年4月27日","","","","","","","","","","","","",""
"道の駅ましこ","ましこ芳賀郡益子町県道41号つくば益子線栃木-24 ","https://ja.wikipedia.org/wiki/道の駅ましこ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度25分52秒東経140度04分21秒","〒321-4225栃木県芳賀郡益子町大字長堤2271","栃木県道41号つくば益子線","第45回（09024）","2016年5月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2016年10月15日[1][2]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅たかねざわ 元気あっぷむら","たかねざわ 元気あっぷむら（たかねざわげんきあっぷむら）塩谷郡高根沢町町道434号線栃木-25 ","https://ja.wikipedia.org/wiki/道の駅たかねざわ_元気あっぷむら","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度37分57.6秒東経140度03分11.5秒","〒329-1212栃木県塩谷郡高根沢町大字上柏崎588-1","町道434号線","第51回（09025）","2019年6月19日[1]","全国道の駅連絡会ページ公式ウェブサイト","2020年4月1日[2][3]","10:00 - 21:00","","","","","","","","","","","",""
"道の駅上野","うえの上野（うえの）多野郡上野村国道299号群馬-01 ","https://ja.wikipedia.org/wiki/道の駅上野","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度04分50秒東経138度47分03秒","〒370-1613群馬県多野郡上野村大字勝山甲131","国道299号","第6回（10001）","1994年8月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1994年8月4日","8:30 - 18:30","","","","","","","","","","","",""
"道の駅ぐりーんふらわー牧場・大胡","ぐりーんふらわー牧場・大胡（ぐりーんふらわーぼくじょうおおご）前橋市国道353号群馬-02 ","https://ja.wikipedia.org/wiki/道の駅ぐりーんふらわー牧場・大胡","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度27分33秒東経139度08分11秒","〒371-0235群馬県前橋市滝窪町1369-1","国道353号","第8回（10002）","1995年4月11日[1]","国土交通省案内ページ全国道の駅連絡会ページ","不明","10:00 - 17:00","","","","","","","","","","","",""
"道の駅六合","くに六合（くに）吾妻郡中之条町国道292号群馬-03 ","https://ja.wikipedia.org/wiki/道の駅六合","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度36分27秒東経138度38分19秒","〒377-1704群馬県吾妻郡中之条町大字小雨29","国道292号","第10回（10003）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅おのこ","おのこ渋川市国道353号群馬-04 ","https://ja.wikipedia.org/wiki/道の駅おのこ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度32分53秒東経138度57分10秒","〒377-0312群馬県渋川市小野子1980番地","国道353号","第10回（10004）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00（4月-10月）9:00 - 16:30（11-3月）","","","","","","","","","","","",""
"道の駅上州おにし","じょうしゅうおにし上州おにし（じょうしゅうおにし）藤岡市国道462号群馬-05 ","https://ja.wikipedia.org/wiki/道の駅上州おにし","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度08分35秒東経139度02分26秒","〒370-1402群馬県藤岡市白井2318-1","国道462号","第10回（10005）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅川場田園プラザ","かわばでんえんプラザ川場田園プラザ（かわばでんえんプラザ）利根郡川場村県道64号平川横塚線群馬-06 ","https://ja.wikipedia.org/wiki/道の駅川場田園プラザ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度41分13秒東経139度06分27秒","〒378-0111群馬県利根郡川場村大字萩室385","群馬県道64号","第10回（10006）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅みなかみ水紀行館","みなかみ水紀行館（みなかみみずきこうかん）利根郡みなかみ町国道291号群馬-07旧名称「水上町水紀行館」 ","https://ja.wikipedia.org/wiki/道の駅みなかみ水紀行館","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度45分53秒東経138度58分06秒","〒379-1617群馬県利根郡みなかみ町湯原1681-1","国道291号","第11回（10007）","1996年8月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅白沢","しらさわ白沢（しらさわ）沼田市国道120号群馬-08 ","https://ja.wikipedia.org/wiki/道の駅白沢","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度39分42秒東経139度07分12秒","〒378-0125群馬県沼田市白沢町平出1297","国道120号","第12回（10008）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 22:00","","","","","","","","","","","",""
"道の駅草津運動茶屋公園","くさつうんどうじゃやこうえん草津運動茶屋公園（くさつうんどうじゃやこうえん）吾妻郡草津町国道292号群馬-09 ","https://ja.wikipedia.org/wiki/道の駅草津運動茶屋公園","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度36分52秒東経138度35分24秒","〒377-1711群馬県吾妻郡草津町大字草津2-1","国道292号","第14回（10009）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅くろほね・やまびこ","くろほね・やまびこ桐生市国道122号群馬-10 ","https://ja.wikipedia.org/wiki/道の駅くろほね・やまびこ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度29分29秒東経139度16分20秒","〒376-0144群馬県桐生市黒保根町下田沢91-4","国道122号","第14回（10010）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅ららん藤岡","ららん藤岡藤岡市上信越自動車道県道13号前橋長瀞線群馬-11上信越自動車道藤岡PAと連結（ハイウェイオアシス）旧名称「ふじおか」","https://ja.wikipedia.org/wiki/道の駅ららん藤岡","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度16分22秒東経139度04分19秒","〒375-0005群馬県藤岡市中1131-8","群馬県道13号前橋長瀞線","第15回（10011）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年8月","10:00 - 19:00","","","","","","","","","","","",""
"道の駅こもち","こもち渋川市国道17号鯉沢バイパス群馬-12 ","https://ja.wikipedia.org/wiki/道の駅こもち","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度30分54秒東経139度00分59秒","〒377-0204群馬県渋川市白井2318-1","国道17号","第16回（10012）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年4月21日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅月夜野矢瀬親水公園","つきよのやぜしんすいこうえん月夜野矢瀬親水公園（つきよのやぜしんすいこうえん）利根郡みなかみ町県道61号沼田水上線群馬-13 ","https://ja.wikipedia.org/wiki/道の駅月夜野矢瀬親水公園","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度41分51秒東経138度58分53秒","〒379-1313群馬県利根郡みなかみ町月夜野2936","群馬県道61号","第16回（10013）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 18:00","","","","","","","","","","","",""
