"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","主祭神","位置","社格,等","例祭","創建","本殿の,様式","地図","主な神事","別名","札所等","神体","法人番号","国","地方","面積","総人口","人口密度","外部リンク"
"浅草神社","[浅草神社（東京都台東区）] 浅草神社 （あさくさじんじゃ）は、 東京都 台東区 浅草 の 浅草寺 本堂東側にある 神社 である。通称に 三社権現 （さんじゃごんげん）、 三社様 （さんじゃさま）。5月例大祭は 三社祭 という。","https://ja.wikipedia.org/wiki/浅草神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度42分54.5秒東経139度47分50.8秒","東京都台東区浅草二丁目3番1号","土師真中知命檜前浜成命檜前武成命","北緯35度42分54.5秒東経139度47分50.8秒﻿ / ﻿北緯35.715139度 東経139.797444度﻿ /35.715139; 139.797444座標:北緯35度42分54.5秒東経139度47分50.8秒﻿ / ﻿北緯35.715139度 東経139.797444度﻿ /35.715139; 139.797444","郷社","5月第3週の金・土・日曜日（三社祭）","","三間社流造","","","淺草神社、三社明神社、三社權現","","","","","","","","",""
"安里八幡宮","[安里八幡宮（沖縄県那覇市安里）] 安里八幡宮 （あさとはちまんぐう）は 沖縄県 那覇市 安里 にある 神社 。 琉球八社 の一つで、 明治 の 近代社格制度 では 無格社 。","https://ja.wikipedia.org/wiki/安里八幡宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯26度13分15.9秒東経127度41分41.8秒","沖縄県那覇市安里124","応神天皇神功皇后玉依姫命","北緯26度13分15.9秒東経127度41分41.8秒﻿ / ﻿北緯26.221083度 東経127.694944度﻿ /26.221083; 127.694944﻿ (安里八幡宮)座標:北緯26度13分15.9秒東経127度41分41.8秒﻿ / ﻿北緯26.221083度 東経127.694944度﻿ /26.221083; 127.694944﻿ (安里八幡宮)","旧無格社","旧暦9月9日","天順年間（1457年 - 1464年）","入母屋造","安里八幡宮","","","琉球八社","","","","","","","",""
"静岡県","[本社：浅間大社（静岡県富士宮市）：⇒富士山本宮浅間大社（せんげん）] ","https://ja.wikipedia.org/wiki/静岡県","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度54分59秒東経138度18分59秒","〒420-8601静岡県静岡市葵区追手町 9-6北緯34度54分59秒東経138度18分59秒﻿ / ﻿北緯34.91639度 東経138.31639度﻿ /34.91639; 138.31639座標:北緯34度54分59秒東経138度18分59秒﻿ / ﻿北緯34.91639度 東経138.31639度﻿ /34.91639; 138.31639県庁舎位置","","","","","","","","","","","","7000020220001","日本","中部地方、東海地方","7,777.42km2（境界未定部分あり）","3,615,430人（推計人口、2021年6月1日）","465人/km2","公式ウェブサイト"
"山梨県","[浅間神社（山梨県南都留郡富士河口湖町）：⇒河口浅間神社（あさま）] ","https://ja.wikipedia.org/wiki/山梨県","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度39分50.9秒東経138度34分6.3秒","〒400-8501山梨県甲府市丸の内一丁目6番1号北緯35度39分50.9秒東経138度34分6.3秒﻿ / ﻿北緯35.664139度 東経138.568417度﻿ /35.664139; 138.568417座標:北緯35度39分50.9秒東経138度34分6.3秒﻿ / ﻿北緯35.664139度 東経138.568417度﻿ /35.664139; 138.568417","","","","","","","","","","","","8000020190004","日本","中部地方、甲信越地方","4,465.27km2（境界未定部分あり）","802,526人（推計人口、2021年6月1日）","180人/km2","公式ウェブサイト"
"浅間神社 (笛吹市)","[浅間神社（山梨県笛吹市） （あさま）] 浅間神社 （あさまじんじゃ）は、 山梨県 笛吹市 一宮町一宮にある 神社 。 式内社 （ 名神大社 ） 論社 、 甲斐国 一宮 。 旧社格 は 国幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/浅間神社_(笛吹市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度38分51.93秒東経138度41分50.79秒","山梨県笛吹市一宮町一宮1684","木花開耶姫命","北緯35度38分51.93秒東経138度41分50.79秒﻿ / ﻿北緯35.6477583度 東経138.6974417度﻿ /35.6477583; 138.6974417﻿ (浅間神社 (笛吹市))座標:北緯35度38分51.93秒東経138度41分50.79秒﻿ / ﻿北緯35.6477583度 東経138.6974417度﻿ /35.6477583; 138.6974417﻿ (浅間神社 (笛吹市))","式内社（名神大）論社甲斐国一宮旧国幣中社別表神社","4月15日","（伝）第11代垂仁天皇8年","流造","浅間神社","御幸祭","一宮浅間神社","","","","","","","","",""
"阿志都弥神社・行過天満宮","[阿志都弥神社・行過天満宮（滋賀県高島市）] 阿志都弥神社・行過天満宮 （あしづみじんじゃ・ゆきすぎてんまんぐう）は、 滋賀県 高島市 今津町弘川にある神社である。 式内社 の 論社 で、 旧社格 は 郷社 。","https://ja.wikipedia.org/wiki/阿志都弥神社・行過天満宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度24分24.0秒東経136度01分32.8秒","滋賀県高島市今津町弘川1707-1","木花開耶姫命菅原道真公","北緯35度24分24.0秒東経136度01分32.8秒﻿ / ﻿北緯35.406667度 東経136.025778度﻿ /35.406667; 136.025778","式内社・旧郷社","4月25日","不詳","三間社流造","","","桜花大明神・行過天満宮","","","","","","","","",""
"蘆別神社","[蘆別神社（北海道）] 蘆別神社 （あしべつじんじゃ）は、 北海道 芦別市 北3条西1丁目6番地にある 神社 である。『芦別市史』などの史料では「 芦 別神社」と書かれることもあるが、「 蘆 別神社」が正しい  。","https://ja.wikipedia.org/wiki/蘆別神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯43度31分24秒東経142度11分06秒","北海道芦別市北3条西1丁目6","天照大御神","北緯43度31分24秒東経142度11分06秒﻿ / ﻿北緯43.52333度 東経142.18500度﻿ /43.52333; 142.18500","旧郷社","9月6日","明治29年（1896年）","神明造","","","","","","","","","","","",""
"飛鳥坐神社","[飛鳥坐神社（奈良県明日香村）] 飛鳥坐神社 （あすかにいますじんじゃ/あすかにますじんじゃ）は、 奈良県 高市郡 明日香村 にある 神社 。 式内社 （ 名神大社 ）で、 旧社格 は 村社 。毎年2月の おんだ祭 が 奇祭 として知られる。","https://ja.wikipedia.org/wiki/飛鳥坐神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度28分47秒東経135度49分21.8秒","奈良県高市郡明日香村大字飛鳥字神奈備708","事代主神高皇産靈神飛鳥神奈備三日女神大物主神","北緯34度28分47秒東経135度49分21.8秒﻿ / ﻿北緯34.47972度 東経135.822722度﻿ /34.47972; 135.822722﻿ (飛鳥坐神社)座標:北緯34度28分47秒東経135度49分21.8秒﻿ / ﻿北緯34.47972度 東経135.822722度﻿ /34.47972; 135.822722﻿ (飛鳥坐神社)","式内社（名神大4座）旧村社","2月第1日曜日","不詳","四間社流造","飛鳥坐神社","御田祭（2月第1日曜日）","","","","","","","","","",""
"飛鳥戸神社","[飛鳥戸神社（大阪府羽曳野市）] 飛鳥戸神社 （あすかべじんじゃ）は、 大阪府 羽曳野市 飛鳥にある 神社 。 式内社 （ 名神大社 ）で、 旧社格 は 村社 。","https://ja.wikipedia.org/wiki/飛鳥戸神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度32分06秒東経135度38分19秒","大阪府羽曳野市飛鳥1023","素盞嗚命","北緯34度32分06秒東経135度38分19秒﻿ / ﻿北緯34.53500度 東経135.63861度﻿ /34.53500; 135.63861","式内社（名神大）旧村社","10月17日","","一間社流造桧皮葺","","","","","","","","","","","",""
"足助八幡宮","[足助八幡宮（愛知県豊田市）] 足助八幡宮 （あすけはちまんぐう）は、 愛知県 豊田市 にある 神社 である。","https://ja.wikipedia.org/wiki/足助八幡宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度8分3.21秒東経137度18分38.66秒","愛知県豊田市足助町宮ノ後13","品陀和気命","北緯35度8分3.21秒東経137度18分38.66秒﻿ / ﻿北緯35.1342250度 東経137.3107389度﻿ /35.1342250; 137.3107389","","10月","伝・白鳳3年（673年）","三間社流造","","","","","","","","","","","",""
"阿蘇神社","[阿蘇神社（熊本県阿蘇市）] 阿蘇神社 （あそ じんじゃ）は、 日本 の 九州 中央部、 熊本県 阿蘇市 にある 神社 。古くは「 阿蘓神社 」とも記した（ 銘板 が現存する）。","https://ja.wikipedia.org/wiki/阿蘇神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯32度56分52秒東経131度06分57.5秒","熊本県阿蘇市一の宮町宮地3083-1","健磐龍命阿蘇都比咩命ほか10柱","北緯32度56分52秒東経131度06分57.5秒﻿ / ﻿北緯32.94778度 東経131.115972度﻿ /32.94778; 131.115972﻿ (阿蘇神社)座標:北緯32度56分52秒東経131度06分57.5秒﻿ / ﻿北緯32.94778度 東経131.115972度﻿ /32.94778; 131.115972﻿ (阿蘇神社)","式内社（名神大1社、小1社）肥後国一宮旧官幣大社別表神社","7月28日","（伝）第7代孝霊天皇9年","","阿蘇神社","","","","","","","","","","",""
"愛宕神社","[本社：愛宕神社（京都市右京区）] 愛宕神社 （あたごじんじゃ）は、 京都府 京都市 右京区 にある 神社 。旧称は 阿多古神社 。 旧社格 は 府社 で、現在は 別表神社 。","https://ja.wikipedia.org/wiki/愛宕神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度03分35.59秒東経135度38分04.08秒","京都府京都市右京区嵯峨愛宕町1","（本殿）伊弉冉尊・埴山姫神・天熊人命・稚産霊神・豊受姫命（若宮）雷神・迦遇槌命・破无神","北緯35度03分35.59秒東経135度38分04.08秒﻿ / ﻿北緯35.0598861度 東経135.6344667度﻿ /35.0598861; 135.6344667﻿ (愛宕神社)座標:北緯35度03分35.59秒東経135度38分04.08秒﻿ / ﻿北緯35.0598861度 東経135.6344667度﻿ /35.0598861; 135.6344667﻿ (愛宕神社)","旧府社別表神社","9月28日","大宝年間（701年-704年）","","愛宕神社","鎮火祭（4月24日）千日通夜祭（通称 千日詣り、7月31日夜-8月1日早朝）火臼祭（11月亥の日）","阿多古神社愛宕さん","","","","","","","","",""
"安達太良神社","[安達太良神社（福島県本宮市）] 安達太良神社 （あだたらじんじゃ）は 福島県 本宮市 にある 神社 である。 式内小社 飯豊和氣神社の論社である。 旧社格 は県社。","https://ja.wikipedia.org/wiki/安達太良神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯37度31分16.16秒東経140度24分15.66秒","福島県本宮市本宮字舘越232","高皇産霊神神皇産霊神飯豊和気神飯津比売神陽日温泉神禰宜大刀自神","北緯37度31分16.16秒東経140度24分15.66秒﻿ / ﻿北緯37.5211556度 東経140.4043500度﻿ /37.5211556; 140.4043500﻿ (安達太良神社)座標:北緯37度31分16.16秒東経140度24分15.66秒﻿ / ﻿北緯37.5211556度 東経140.4043500度﻿ /37.5211556; 140.4043500﻿ (安達太良神社)","式内社（小）論社旧県社","5月1日（春祭）、10月第4金曜日より3日間（秋祭）","久安2年（1146年）","","安達太良神社","","","","","","","","","","",""
"熱田神宮","[熱田神宮（名古屋市熱田区）] 熱田神宮 （あつたじんぐう）は、 愛知県 名古屋市 熱田区 にある 神社 。 式内社 （ 名神大社 ）、 尾張国 三宮 。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。宮中の 四方拝 で遥拝される一社。 神紋 は「五七桐竹紋」。","https://ja.wikipedia.org/wiki/熱田神宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度7分38.5秒東経136度54分31.2秒","愛知県名古屋市熱田区神宮1-1-1","熱田大神","北緯35度7分38.5秒東経136度54分31.2秒﻿ / ﻿北緯35.127361度 東経136.908667度﻿ /35.127361; 136.908667﻿ (熱田神宮)座標:北緯35度7分38.5秒東経136度54分31.2秒﻿ / ﻿北緯35.127361度 東経136.908667度﻿ /35.127361; 136.908667﻿ (熱田神宮)","式内社（名神大）尾張国三宮旧官幣大社勅祭社別表神社","6月5日（熱田祭）","（伝）仲哀天皇元年（伝）646年（大化2年）","神明造","熱田神宮","歩射神事御煤納神事","","","草薙神剣（草薙剣）","","","","","","",""
"穴師神社 (存在しないページ)","[穴師神社（大阪府泉大津市）]","https://ja.wikipedia.org/w/index.php?title=穴師神社&amp;action=edit&amp;redlink=1","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"穴師坐兵主神社","[穴師坐兵主神社（奈良県桜井市）] 穴師坐兵主神社 （あなしにますひょうずじんじゃ）は、 奈良県 桜井市 にある 神社 である。 式内社 で、旧 社格 は 県社 。","https://ja.wikipedia.org/wiki/穴師坐兵主神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度32分42秒東経135度51分28秒","奈良県桜井市穴師1065","兵主神（御食津神）大兵主神若御魂神（稲田姫命）","北緯34度32分42秒東経135度51分28秒﻿ / ﻿北緯34.54500度 東経135.85778度﻿ /34.54500; 135.85778﻿ (穴師坐兵主神社)座標:北緯34度32分42秒東経135度51分28秒﻿ / ﻿北緯34.54500度 東経135.85778度﻿ /34.54500; 135.85778﻿ (穴師坐兵主神社)","式内社（名神大・大・小）旧県社","4月8日・10月21日","不明","流造","穴師坐兵主神社","","","","","","","","","","",""
"安仁神社","[安仁神社（岡山県）] 安仁神社 （あにじんじゃ）は、 岡山県 岡山市 東区 西大寺 にある 神社 。 式内社 （ 名神大社 ）、 備前国 元 一宮 。 旧社格 は 国幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/安仁神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度36分37.93秒東経134度5分45.4秒","岡山県岡山市東区西大寺一宮895","五瀬命","北緯34度36分37.93秒東経134度5分45.4秒﻿ / ﻿北緯34.6105361度 東経134.095944度﻿ /34.6105361; 134.095944﻿ (安仁神社)座標:北緯34度36分37.93秒東経134度5分45.4秒﻿ / ﻿北緯34.6105361度 東経134.095944度﻿ /34.6105361; 134.095944﻿ (安仁神社)","式内社（名神大）（元）備前国一宮旧国幣中社別表神社","10月11日（現在は10月第2日曜日）","不詳","流造","安仁神社","","","","","","","","","","",""
"油日神社","[油日神社（滋賀県甲賀市）] 油日神社 （あぶらひじんじゃ）は、 滋賀県 甲賀市 甲賀町油日 にある 神社 。 国史見在社 で 旧社格 は 県社 。祭神の油日大神は勝軍神として 武士 の崇敬を受け、社名から油の火の神としても信仰された。 油日岳 を 神体山 とし、山頂には罔象女神を祀る岳神社がある。神紋は 木瓜 に 二ツ引 。","https://ja.wikipedia.org/wiki/油日神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度53分13.3秒東経136度14分59.0秒","滋賀県甲賀市甲賀町油日1042","油日大神","北緯34度53分13.3秒東経136度14分59.0秒﻿ / ﻿北緯34.887028度 東経136.249722度﻿ /34.887028; 136.249722﻿ (油日神社)座標:北緯34度53分13.3秒東経136度14分59.0秒﻿ / ﻿北緯34.887028度 東経136.249722度﻿ /34.887028; 136.249722﻿ (油日神社)","国史見在社、旧県社","5月1日","伝・用明天皇朝（または天武天皇朝）","三間社流造","油日神社","太鼓踊（5月1日）","","","","","","","","","",""
"阿部野神社","[阿部野神社（大阪市阿倍野区）] 阿部野神社 （あべのじんじゃ）は、 大阪市 阿倍野区 北畠 にある 神社 。 南朝 方に付いて各地を転戦した 北畠顕家 と、その父の 北畠親房 を祀る。 建武中興十五社 の一社で、旧 社格 は 別格官幣社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/阿部野神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度37分42秒東経135度29分58.3秒","大阪府大阪市阿倍野区北畠3丁目7-20","北畠親房北畠顕家","北緯34度37分42秒東経135度29分58.3秒﻿ / ﻿北緯34.62833度 東経135.499528度﻿ /34.62833; 135.499528﻿ (阿部野神社)座標:北緯34度37分42秒東経135度29分58.3秒﻿ / ﻿北緯34.62833度 東経135.499528度﻿ /34.62833; 135.499528﻿ (阿部野神社)","旧別格官幣社別表神社","1月24日","1882年（明治15年）","","阿部野神社","","","神仏霊場巡拝の道第44番（大阪第3番）","","","","","","","",""
"天手長男神社","[天手長男神社（長崎県壱岐市）（壱岐一宮）] 天手長男神社 （あめのたながおじんじゃ    、あまのたながおじんじゃ    ）は、 長崎県 壱岐市 にある 神社 。 式内社 （ 名神大社 ） 論社 、 壱岐国 一宮 後継社で、 旧社格 は 村社 。","https://ja.wikipedia.org/wiki/天手長男神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯33度45分50.9秒東経129度42分09.0秒","長崎県壱岐市郷ノ浦町田中触730","天忍穂耳尊天手力男命天鈿女命","北緯33度45分50.9秒東経129度42分09.0秒﻿ / ﻿北緯33.764139度 東経129.702500度﻿ /33.764139; 129.702500﻿ (天手長男神社)座標:北緯33度45分50.9秒東経129度42分09.0秒﻿ / ﻿北緯33.764139度 東経129.702500度﻿ /33.764139; 129.702500﻿ (天手長男神社)","式内社（名神大）論社壱岐国一宮後継社旧村社","10月16日","弘仁2年（811年）（『神名式』）","流造","天手長男神社","","","","","","","","","","",""
