"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","河川","ダム型式","堤高","堤頂長","堤体積","湛水面積","総貯水容量","有効貯水容量","利用目的","事業主体","着手年/竣工年","ダム湖","流域面積","施工業者","発電所名,（認可出力）","電気事業者","所在地","出典"
"宮床ダム","[12あさひな湖宮城県黒川郡大和町鳴瀬川宮床川宮床ダム宮城県] 宮床ダム （みやとこダム）は 宮城県 黒川郡 大和町 、 一級河川 ・ 鳴瀬川 水系 宮床川 に建設された 都道府県営ダム である。 吉田川 の治水と 仙台市 泉区 への 上水道 供給を目的とした 多目的ダム である。ダム湖は、あさひな湖と命名され、 ダム湖百選 に選定されている。","https://ja.wikipedia.org/wiki/宮床ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯38度23分13秒東経140度49分20秒","北緯38度23分13秒東経140度49分20秒﻿ / ﻿北緯38.38694度 東経140.82222度﻿ /38.38694; 140.82222","鳴瀬川水系宮床川","重力式コンクリートダム","48.0m","256.0 m","329,000m³","43.0ha","5,000,000 m³","5,000,000 m³","洪水調節・不特定利水・上水道","宮城県","1979年/1998年","あさひな湖（ダム湖百選）","10.8km²","前田建設工業・大豊建設・熱海建設","","","宮城県黒川郡大和町摺萩",""
"釜房ダム","[13釜房湖宮城県柴田郡川崎町名取川碁石川釜房ダム国土交通省東北地方整備局国営みちのく杜の湖畔公園湖沼水質保全特別措置法指定] 釜房ダム （かまふさダム）は 宮城県 柴田郡 川崎町 大字小野と大字支倉にまたがる、 一級河川 ・ 名取川 水系 碁石川 に建設された ダム である。","https://ja.wikipedia.org/wiki/釜房ダム#釜房湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯38度12分08秒東経140度41分51秒","北緯38度12分08秒東経140度41分51秒﻿ / ﻿北緯38.20222度 東経140.69750度﻿ /38.20222; 140.69750","名取川水系碁石川","重力式コンクリートダム","45.5m","323.0 m","226,000m³","390.0ha","45,300,000 m³","39,300,000 m³","洪水調節・不特定利水上水道・工業用水・発電","国土交通省東北地方整備局","1964年/1970年","釜房湖（ダム湖百選）","195.3km²","佐藤工業","釜房発電所(1,200kW)","東北電力","左岸:宮城県柴田郡川崎町大字小野字大平山右岸:宮城県柴田郡川崎町大字支倉字鍛冶谷山",""
"七ヶ宿ダム","[14七ヶ宿湖宮城県刈田郡七ヶ宿町阿武隈川白石川七ヶ宿ダム国土交通省東北地方整備局七ヶ宿ダム自然休養公園] 七ヶ宿ダム （しちかしゅくダム）は 宮城県 刈田郡 七ヶ宿町 大字渡瀬、 一級河川 ・ 阿武隈川 水系 白石川 に建設された ダム である。","https://ja.wikipedia.org/wiki/七ヶ宿ダム#七ヶ宿湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯37度57分37秒東経140度30分44秒","北緯37度57分37秒東経140度30分44秒﻿ / ﻿北緯37.96028度 東経140.51222度﻿ /37.96028; 140.51222座標:北緯37度57分37秒東経140度30分44秒﻿ / ﻿北緯37.96028度 東経140.51222度﻿ /37.96028; 140.51222","阿武隈川水系白石川","中央土質遮水壁型ロックフィルダム","90.0m","565.0 m","5,100,000m³","410.0ha","109,000,000 m³","99,500,000 m³","洪水調節・不特定利水上水道・工業用水・かんがい","国土交通省東北地方整備局","1973年/1991年","七ヶ宿湖（ダム湖百選）","236.6km²","佐藤工業・フジタ青木あすなろ建設","管理用発電所（3,600kW）","同上","左岸:宮城県刈田郡七ヶ宿町大字渡瀬字切通右岸:宮城県刈田郡七ヶ宿町大字渡瀬字橋場",""
"玉川ダム (秋田県)","[15宝仙湖秋田県仙北市雄物川玉川玉川ダム国土交通省東北地方整備局] 玉川ダム （たまがわダム）は 秋田県 仙北市 、 一級河川 ・ 雄物川 水系 玉川 に建設された ダム である。","https://ja.wikipedia.org/wiki/玉川ダム_(秋田県)#宝仙湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯39度49分52秒東経140度38分28秒","北緯39度49分52秒東経140度38分28秒﻿ / ﻿北緯39.83111度 東経140.64111度﻿ /39.83111; 140.64111","雄物川水系玉川","重力式コンクリートダム","100.0m","441.5 m","1,150,000m³","830.0ha","254,000,000 m³","229,000,000 m³","洪水調節・不特定利水かんがい・上水道工業用水・発電","国土交通省東北地方整備局","1973年/1990年","宝仙湖【ダム湖百選】","287.0km²","鹿島建設・奥村組・地崎工業","玉川発電所 (23,600kW)","秋田県公営企業","",""
"寒河江ダム","[16月山湖山形県西村山郡西川町最上川寒河江川寒河江ダム国土交通省東北地方整備局] 寒河江ダム （さがえダム）は 山形県 西村山郡 西川町 、 一級河川 ・ 最上川 水系 寒河江川 に建設された ダム である。","https://ja.wikipedia.org/wiki/寒河江ダム#月山湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯38度27分19秒東経140度02分18秒","北緯38度27分19秒東経140度02分18秒﻿ / ﻿北緯38.45528度 東経140.03833度﻿ /38.45528; 140.03833","最上川水系寒河江川","中央土質遮水壁型ロックフィルダム","112.0m","510.0 m","10,350,000m³","340.0ha","109,000,000 m³","98,000,000 m³","洪水調節・不特定利水かんがい・上水道・発電","国土交通省東北地方整備局","1972年/1990年","月山湖【ダム湖百選】","231.0km²","三井住友建設・飛島建設","本道寺発電所 (75,000kW)","東北電力","",""
"羽鳥ダム","[17羽鳥湖福島県岩瀬郡天栄村阿賀野川鶴沼川羽鳥ダム農林水産省東北農政局] 羽鳥ダム （はとりダム）は 福島県 岩瀬郡 天栄村 大字羽鳥、 一級河川 ・ 阿賀野川 水系 鶴沼川 に建設された ダム である。","https://ja.wikipedia.org/wiki/羽鳥ダム#羽鳥湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯37度16分18秒東経140度04分34秒","北緯37度16分18秒東経140度04分34秒﻿ / ﻿北緯37.27167度 東経140.07611度﻿ /37.27167; 140.07611","阿賀野川水系鶴沼川","アースダム","37.1m","169.5 m","318,000m³","201.0ha","27,321,000 m³","25,951,000 m³","かんがい","農林水産省東北農政局","1950年/1956年","羽鳥湖（ダム湖百選）","42.7km²","三幸建設工業","－","－","左岸：福島県岩瀬郡天栄村大字羽鳥字唐沢国有林右岸：福島県岩瀬郡天栄村大字羽鳥字行人塚",""
"田子倉ダム","[18田子倉湖福島県南会津郡只見町阿賀野川只見川田子倉ダム電源開発越後三山只見国定公園] 田子倉ダム （たごくらダム）は、 福島県 南会津郡 只見町 大字田子倉、 一級河川 ・ 阿賀野川 水系 只見川 に建設された ダム である。","https://ja.wikipedia.org/wiki/田子倉ダム#田子倉湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯37度18分38秒東経139度17分13秒","北緯37度18分38秒東経139度17分13秒﻿ / ﻿北緯37.31056度 東経139.28694度﻿ /37.31056; 139.28694","阿賀野川水系只見川","重力式コンクリートダム","145.0m","462.0 m","1,950,000m³","995.0ha","494,000,000 m³","370,000,000 m³","発電","電源開発","1953年/1960年","田子倉湖（ダム湖百選）","816.3km²","前田建設工業","田子倉発電所 (400,000kW)","電源開発","",""
"奥只見ダム","[19奥只見湖（銀山湖）福島県南会津郡桧枝岐村新潟県魚沼市阿賀野川只見川奥只見ダム電源開発越後三山只見国定公園] 奥只見ダム （おくただみダム）は、 福島県 南会津郡 檜枝岐村 と 新潟県 魚沼市 に跨る、 一級河川 ・ 阿賀野川 水系 只見川 最上流部に建設された ダム である。","https://ja.wikipedia.org/wiki/奥只見ダム#奥只見湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯37度09分13秒東経139度14分58秒","北緯37度09分13秒東経139度14分58秒﻿ / ﻿北緯37.15361度 東経139.24944度﻿ /37.15361; 139.24944","阿賀野川水系只見川","重力式コンクリートダム","157.0m","480.0 m","1,636,000m³","1,150.0ha","601,000,000 m³","458,000,000 m³","発電","電源開発","1953年/1960年","奥只見湖（ダム湖百選）","595.1km²","鹿島建設","奥只見発電所 (560,000kW)奥只見（維持流量）発電所 (2,700kW)","電源開発","","『ダム便覧』奥只見ダム"
"矢木沢ダム","[20奥利根湖群馬県利根郡みなかみ町利根川利根川矢木沢ダム水資源機構利根川上流ダム群] 矢木沢ダム （やぎさわダム）は 群馬県 利根郡 みなかみ町 、 一級河川 ・ 利根川 本川最上流部に位置する ダム である。","https://ja.wikipedia.org/wiki/矢木沢ダム#奥利根湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度54分41秒東経139度03分23秒","北緯36度54分41秒東経139度03分23秒﻿ / ﻿北緯36.91139度 東経139.05639度﻿ /36.91139; 139.05639","利根川水系利根川","アーチ式コンクリートダム","131.0m","352.0 m","510,000m³","570.0ha","204,300,000 m³","175,800,000 m³","洪水調節・不特定利水かんがい・上水道・発電","水資源機構","1959年/1967年","奥利根湖【ダム湖百選】","167.4km²","熊谷組","矢木沢発電所 (240,000kW)","東京電力","",""
"奈良俣ダム","[21ならまた湖群馬県利根郡みなかみ町利根川楢俣川奈良俣ダム水資源機構利根川上流ダム群] 奈良俣ダム （ならまたダム）は 群馬県 利根郡 みなかみ町 、 利根川 水系 楢俣川 に建設された ダム である。","https://ja.wikipedia.org/wiki/奈良俣ダム#観光","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度52分57秒東経139度04分46秒","北緯36度52分57秒東経139度04分46秒﻿ / ﻿北緯36.88250度 東経139.07944度﻿ /36.88250; 139.07944","利根川水系楢俣川","中央土質遮水壁型ロックフィルダム","158m","520 m","13,100,000m³","200ha","90,000,000 m³","85,000,000 m³","洪水調節・不特定利水・かんがい・上水道・工業用水・発電","水資源機構","1973年/1990年","ならまた湖【ダム湖百選】","95.4km²","鹿島建設・熊谷組・日本国土開発","奈良俣発電所 (12,800kW)","群馬県企業局","",""
"野反ダム","[22野反湖群馬県吾妻郡中之条町信濃川中津川野反ダム東京電力上信越高原国立公園] 野反ダム （のぞりダム）は、 群馬県 吾妻郡 中之条町 を流れる 信濃川 水系 中津川 に建設された ダム 。高さ44メートルの ロックフィルダム で、 東京電力リニューアブルパワー の 発電用ダム である。ダム湖（ 人造湖 ）の名は 野反湖 （のぞりこ）という（ ダム湖百選 ）。 上信越高原国立公園 に属する。湖を一周する 遊歩道 は 遊歩百選 。","https://ja.wikipedia.org/wiki/野反ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度43分07秒東経138度38分29秒","北緯36度43分07秒東経138度38分29秒﻿ / ﻿北緯36.71861度 東経138.64139度﻿ /36.71861; 138.64139","信濃川水系中津川","表面コンクリート遮水壁型フィルダム","44.0m","152.5 m","191,840m³","180.0ha","27,050,000 m³","26,750,000 m³","発電","東京電力（竣工当時）","1953年/1956年","野反湖（野反貯水池）【ダム湖百選】","16.56km²","西松建設","－","東京電力リニューアブルパワー","群馬県吾妻郡中之条町大字入山字沼山",""
"相俣ダム","[23赤谷湖群馬県利根郡みなかみ町利根川赤谷川相俣ダム国土交通省関東地方整備局利根川上流ダム群] 相俣ダム （あいまたダム）は 群馬県 利根郡 みなかみ町 相俣、 一級河川 ・ 利根川 水系 赤谷川 に建設された ダム である。","https://ja.wikipedia.org/wiki/相俣ダム#赤谷湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度42分44秒東経138度53分35秒","北緯36度42分44秒東経138度53分35秒﻿ / ﻿北緯36.71222度 東経138.89306度﻿ /36.71222; 138.89306","利根川水系赤谷川","重力式コンクリートダム","67.0m","80.0 m","63,000m³","98.0ha","25,000,000 m³","20,000,000 m³","洪水調節・不特定利水・発電","国土交通省関東地方整備局","1952年/1959年","赤谷湖（ダム湖百選）","110.8km²","熊谷組","相俣発電所（7,300kW）相俣第二発電所(120kW)","群馬県企業局","左岸:群馬県利根郡みなかみ町大字相俣字宮坂右岸:群馬県利根郡みなかみ町大字相俣字宮坂",""
"草木ダム","[24草木湖群馬県みどり市利根川渡良瀬川草木ダム水資源機構利根川上流ダム群] 草木ダム （くさきダム）は、 群馬県 みどり市 東町座間、 一級河川 ・ 利根川 水系 渡良瀬川 の本川上流部に建設された ダム である。旧名は 神戸ダム （ごうどダム）。","https://ja.wikipedia.org/wiki/草木ダム#草木湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度32分22秒東経139度22分20秒","北緯36度32分22秒東経139度22分20秒﻿ / ﻿北緯36.53944度 東経139.37222度﻿ /36.53944; 139.37222","利根川水系渡良瀬川","重力式コンクリートダム","140.0m","405.0 m","1,321,000m³","170.0ha","60,500,000 m³","50,500,000 m³","洪水調節・不特定利水・かんがい上水道・工業用水・発電","水資源機構","1965年/1976年","草木湖（ダム湖百選）","254.0km²","鹿島建設・西松建設","東発電所 (20,300kW)東第二発電所 (240kW)","群馬県企業局","","『ダム便覧』 草木ダム"
"下久保ダム","[25神流湖群馬県藤岡市群馬県多野郡神流町埼玉県秩父市埼玉県児玉郡神川町利根川神流川下久保ダム水資源機構利根川上流ダム群] 下久保ダム （しもくぼダム）は 群馬県 藤岡市 と 埼玉県 児玉郡 神川町 にまたがる、 一級河川 ・ 利根川 水系 神流川 （かんながわ）に建設された ダム である。","https://ja.wikipedia.org/wiki/下久保ダム#神流湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度07分57秒東経139度01分21秒","北緯36度07分57秒東経139度01分21秒﻿ / ﻿北緯36.13250度 東経139.02250度﻿ /36.13250; 139.02250﻿ (下久保ダム)座標:北緯36度07分57秒東経139度01分21秒﻿ / ﻿北緯36.13250度 東経139.02250度﻿ /36.13250; 139.02250﻿ (下久保ダム)","利根川水系神流川","重力式コンクリートダム","129.0m","605.0 m","1,345,000m³","327.0ha","130,000,000 m³","120,000,000 m³","洪水調節・不特定利水かんがい・上水道・工業用水・発電","水資源機構","1959年/1968年","神流湖（ダム湖百選）","322.9km²","熊谷組・間組","下久保発電所（15,000kW）下久保第二発電所(270kW)","群馬県企業局","左岸:群馬県藤岡市保美濃山右岸:埼玉県児玉郡神川町矢納",""
"山口貯水池","[26狭山湖埼玉県所沢市埼玉県入間市荒川柳瀬川山口ダム東京都水道局埼玉県立狭山自然公園] 山口貯水池 （やまぐちちょすいち、 英称 ： Yamaguchi Reservoir ）は 狭山湖 （さやまこ、 英称 ： Sayama Lake ）の通称でよばれる、 埼玉県 所沢市 ・ 入間市 にある 1934年 （昭和9年）完成の 東京都水道局 水源管理事務所村山・山口貯水池管理事務所が管理する 人造湖 である。","https://ja.wikipedia.org/wiki/山口貯水池","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度46分40秒東経139度24分55秒","北緯35度46分40秒東経139度24分55秒﻿ / ﻿北緯35.77778度 東経139.41528度﻿ /35.77778; 139.41528","多摩川水系多摩川","アースダム","33.5 (35)m","716 (690.9) m","2,372,000 (1,404,000)m³","189 (189)ha","20,649,000 (20,649,000) m³","19,528,000 (19,528,000) m³","上水道","東京都","1927年/1934年","狭山湖【ダム湖百選】","7.2 (7)km²","（元）ダム事業者直営（再）鹿島建設・間組・清水建設","","","",""
"村山貯水池","[27多摩湖東京都東大和市荒川空堀川村山ダム東京都水道局東京都立狭山自然公園] 村山貯水池 （むらやまちょすいち、 英称 ：Murayama Reservoir）は、 多摩湖 （たまこ、 英称 ：Tama Lake）の通称で呼ばれる  、 東大和市 の 狭山丘陵 の 渓谷 に造られた 1927年 （昭和2年）完成の 東京都水道局 水源管理事務所村山・ 山口貯水池 管理事務所が管理する 人造湖 である。西の 村山上貯水池 と東の 村山下貯水池 に分かれている。東京都内の他県にまたがらない 湖 の中では最大である。","https://ja.wikipedia.org/wiki/村山貯水池","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度45分48秒東経139度25分02秒","北緯35度45分48秒東経139度25分02秒﻿ / ﻿北緯35.76333度 東経139.41722度﻿ /35.76333; 139.41722","多摩川水系多摩川","アースダム","24.2m","318.2 m","333,000m³","41ha","3,321,000 m³","2,983,000 m³","上水道","東京都","?/1924年","多摩湖【ダム湖百選】","1.3km²","ダム事業者直営","","","",""
"奥多摩湖","[28奥多摩湖東京都西多摩郡奥多摩町山梨県北都留郡丹波山村多摩川多摩川小河内ダム東京都水道局東京都立奥多摩湖畔公園] 奥多摩湖 （おくたまこ）は正式名称を 小河内貯水池 （おごうちちょすいち）と言い、 東京都 西多摩郡 奥多摩町 と 山梨県 北都留郡 の 丹波山村 ・ 小菅村 に跨る 東京都水道局 管理の 人造湖 （貯水池）である。 1957年 （ 昭和 32年）、 多摩川 を 小河内ダム （おごうちダム）によって堰き止めて造られた。","https://ja.wikipedia.org/wiki/奥多摩湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度47分23秒東経139度03分03秒","北緯35度47分23秒東経139度03分03秒﻿ / ﻿北緯35.78972度 東経139.05083度﻿ /35.78972; 139.05083","多摩川水系多摩川","直線重力式非溢流型コンクリートダム","148.0m","353.00 m","1,675,680m³","1,150.0ha","189,100,000 m³","185,400,000 m³","上水道・発電","東京都水道局","1936年/1957年","小河内貯水池 （通称：奥多摩湖）","425.0km²","鹿島建設","多摩川第一発電所（19,000kW）","東京都交通局","","ダム便覧「小河内ダム」一般社団法人電力土木技術教会 水力発電所データベース「多摩川第一発電所」"
