"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城主","築城年","遺構","指定文化財","廃城年","文化財","天守構造","主な城主","創建年","別名","主な改修者","山号","本尊","法人番号","再建造物"
"大谷磨崖仏","[大谷磨崖仏栃木県地理院地図Googleマップ北緯36度35分47秒東経139度49分17秒﻿ / ﻿北緯36.5963度 東経139.8214度﻿ /36.5963; 139.8214﻿ (大谷磨崖仏)] 大谷磨崖仏 （おおやまがいぶつ）は、 栃木県 宇都宮市 大谷にある 磨崖仏 である。 千手観音 像、伝 釈迦三尊 像、伝 薬師三尊 像、伝 阿弥陀三尊 像の4組10体の石心 塑像 が4区に分かれて彫出されている。このうち千手観音像は、現在 大谷寺 の本尊である。","https://ja.wikipedia.org/wiki/大谷磨崖仏","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度35分46.3秒 東経139度49分16.9秒","","","","","","","","","","","","","","","","","","",""
"日光杉並木","[日光杉並木街道 附 並木寄進碑（特別天然記念物との重複指定）栃木県地理院地図Googleマップ北緯36度43分44秒東経139度40分24秒﻿ / ﻿北緯36.7289度 東経139.6732度﻿ /36.7289; 139.6732﻿ (日光杉並木街道 附 並木寄進碑（特別天然記念物との重複指定）)] 日光杉並木 （にっこうすぎなみき）は、 日光街道 、 日光例幣使街道 、 会津西街道 の3 街道 に跨がる スギ の 並木道 。 日光杉並木街道 （にっこうすぎなみきかいどう）とも呼ばれる。","https://ja.wikipedia.org/wiki/日光杉並木","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"金井沢碑","[金井沢碑群馬県地理院地図Googleマップ北緯36度17分09秒東経139度00分57秒﻿ / ﻿北緯36.2857度 東経139.0159度﻿ /36.2857; 139.0159﻿ (金井沢碑)] 金井沢碑 （かないざわひ   、かないざわのひ  ）は、 群馬県 高崎市 山名町にある古碑であり、国の 特別史跡 に指定されている。 山ノ上碑 、 多胡碑 とともに「 上野三碑 」  と称される。","https://ja.wikipedia.org/wiki/金井沢碑","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度17分8.36秒 東経139度0分58.27秒","","","","","","","","","","","","","","","","","","",""
"山ノ上碑","[山上碑および古墳群馬県地理院地図Googleマップ北緯36度16分38秒東経139度01分40秒﻿ / ﻿北緯36.2771度 東経139.0278度﻿ /36.2771; 139.0278﻿ (山上碑および古墳)] 山ノ上碑   （やまのうえのひ/やまのうえひ、 山上碑   ）は、 群馬県 高崎市 山名町にある古碑。国の 特別史跡 に指定されている（指定名称は「山上碑及び古墳」）  。","https://ja.wikipedia.org/wiki/山ノ上碑","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度16分37.5秒 東経139度1分40.0秒","","","","","","","","","","","","","","","","","","",""
"多胡碑","[多胡碑群馬県地理院地図Googleマップ北緯36度15分54秒東経138度59分47秒﻿ / ﻿北緯36.2650度 東経138.9964度﻿ /36.2650; 138.9964﻿ (多胡碑)] 多胡碑 （たごひ）は、 群馬県 高崎市 吉井町 池字御門にある古碑（金石文）であり、国の 特別史跡 に指定されている。 山ノ上碑 、 金井沢碑 とともに「 上野三碑 」  と総称される。また、 書道史 の上から、 日本三古碑 の一つとされる。建碑は、その内容から8世紀後半とされる。","https://ja.wikipedia.org/wiki/多胡碑","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度15分54.0秒 東経138度59分46.8秒","","","","","","","","","","","","","","","","","","",""
"埼玉古墳群","[埼玉古墳群埼玉県地理院地図Googleマップ北緯36度07分34秒東経139度28分41秒﻿ / ﻿北緯36.126097度 東経139.477999度﻿ /36.126097; 139.477999﻿ (埼玉古墳群)] 埼玉古墳群 （さきたまこふんぐん）は、 埼玉県 行田市 にある、9基の大型 古墳 からなる 古墳群 。国の 特別史跡 に指定されている。「埼玉古墳群 - 古代東アジア古墳文化の終着点 -」として 世界遺産 への登録を推進している  。","https://ja.wikipedia.org/wiki/埼玉古墳群","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度07分42秒東経139度28分46秒","北緯36度07分42秒東経139度28分46秒﻿ / ﻿北緯36.12833度 東経139.47944度﻿ /36.12833; 139.47944","埼玉県行田市大字埼玉ほか","埼玉古墳群","","","","","","","","","","","","","","","",""
"加曽利貝塚","[加曽利貝塚千葉県地理院地図Googleマップ北緯35度37分24秒東経140度09分53秒﻿ / ﻿北緯35.623322度 東経140.164714度﻿ /35.623322; 140.164714﻿ (加曽利貝塚)] 加曽利貝塚 （かそりかいづか）は、 千葉県 千葉市 若葉区 桜木8丁目にある 縄文時代 の 貝塚 および 環状集落 の 遺跡 である。日本最大級の貝塚であり、学史上でも著名な 標式遺跡 としても知られる。 1971年 （ 昭和 46年）に北貝塚が、 1977年 （昭和52年）に南貝塚が国の 史跡 に指定され、 2017年 （ 平成 29年）に国の 特別史跡 に指定された。北貝塚のE地点の 土器 は、縄文中期後半の 加曽利E式 、南貝塚のB地点の土器は、縄文後期後半の 加曽利B式 として 編年 の指標となる土器と位置づけられている。","https://ja.wikipedia.org/wiki/加曽利貝塚","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度37分24秒東経140度9分53秒","","千葉県千葉市若葉区桜木8丁目","","","","","","","","","","","","","","","","",""
"浜離宮庭園","[旧浜離宮庭園（特別名勝との重複指定）東京都地理院地図Googleマップ北緯35度39分36秒東経139度45分50秒﻿ / ﻿北緯35.6601度 東経139.7640度﻿ /35.6601; 139.7640﻿ (旧浜離宮庭園（特別名勝との重複指定）)] 浜離宮庭園 （はまりきゅうていえん）は、 東京都 中央区 の 町名 。丁番を持たない単独町名である。 郵便番号 は104-0046  。","https://ja.wikipedia.org/wiki/浜離宮庭園","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度39分35.78秒 東経139度45分48.51秒","","","","","","","","","","","","","","","","","","",""
"江戸城","[江戸城跡東京都地理院地図Googleマップ北緯35度41分12秒東経139度45分00秒﻿ / ﻿北緯35.6867度 東経139.7499度﻿ /35.6867; 139.7499﻿ (江戸城跡)] 江戸城 （えどじょう）は、 武蔵国 豊嶋郡 江戸 （現在の 東京都 千代田区 千代田 ）にあった 日本の城 である。現在は 皇居 となっている  。","https://ja.wikipedia.org/wiki/江戸城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度41分17.97秒東経139度45分15.72秒","北緯35度41分17.97秒東経139度45分15.72秒﻿ / ﻿北緯35.6883250度 東経139.7543667度﻿ /35.6883250; 139.7543667","","江戸城","輪郭式平城または平山城","太田道灌","1457年（長禄元年）","現存櫓・門、石垣・土塁・堀","国の重要文化財（桜田門、田安門、清水門）特別史跡","","","•1606年新築天守（解体、非現存）　連立式層塔型5重5階地下1階•1621年再築天守（解体、非現存）　独立式層塔型5重5階地下1階•1635年再築天守（焼失、非現存）　独立式層塔型5重5階地下1階","太田氏（1457年-1486年、1561年-1577年）扇谷上杉氏（1486年-1524年）後北条氏（1524年-1561年、1577年-1590年）徳川氏（1590年-1868年）（以下、皇居としての所有者）皇室（1868年-1947年）国（1947年-）","","千代田城","徳川家康、秀忠、家光（江戸期）宮内省・宮内庁（明治以降）","","","","富士見櫓、伏見櫓・多聞櫓桜田巽櫓、大手門"
"小石川後楽園","[小石川後楽園（特別名勝との重複指定）東京都地理院地図Googleマップ北緯35度42分18秒東経139度44分59秒﻿ / ﻿北緯35.7051度 東経139.7498度﻿ /35.7051; 139.7498﻿ (小石川後楽園（特別名勝との重複指定）)] 小石川後楽園 （こいしかわこうらくえん）は、 東京都 文京区 後楽 一丁目にある 都立庭園 。 江戸時代 初期に 水戸徳川家 の 江戸 上屋敷内につくられた築山泉水回遊式の 日本庭園 （ 大名庭園 ）である。国の 特別史跡 及び 特別名勝 に指定されている  。","https://ja.wikipedia.org/wiki/小石川後楽園","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度42分18.4秒東経139度44分59.6秒","","日本東京都文京区後楽一丁目","","","","","","","","","","","","","","","","",""
"一乗谷朝倉氏遺跡","[一乗谷朝倉氏遺跡（「一乗谷朝倉氏庭園」として特別名勝に指定）福井県地理院地図Googleマップ北緯35度59分56秒東経136度17分48秒﻿ / ﻿北緯35.9988度 東経136.2966度﻿ /35.9988; 136.2966﻿ (一乗谷朝倉氏遺跡（「一乗谷朝倉氏庭園」として特別名勝に指定）)] 一乗谷朝倉氏遺跡 （いちじょうだに あさくらし いせき）は、 福井県 福井市 城戸ノ内町にある 戦国時代 の 遺跡 （ 日本の城 ）である。戦国時代に 一乗谷城 を中心に 越前国 を支配した戦国大名 朝倉氏 の遺跡。一乗谷城（ 山城 ）と山麓の 城下町 （朝倉氏および家臣の居館）からなる。","https://ja.wikipedia.org/wiki/一乗谷朝倉氏遺跡","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度59分58.17秒東経136度17分44.03秒","北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639座標:北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639","","朝倉館跡","山城","朝倉氏","南北朝時代","土塁、堀、虎口、石垣、礎石、","遺跡（特別史跡）、庭園（特別名勝）、遺跡出土品（重要文化財）","1575年（天正3年）","","なし","朝倉氏、桂田長俊","","一乗谷城","桂田長俊","","","",""
"尖石・与助尾根遺跡","[尖石石器時代遺跡長野県地理院地図Googleマップ北緯36度00分48秒東経138度13分57秒﻿ / ﻿北緯36.0133度 東経138.2326度﻿ /36.0133; 138.2326﻿ (尖石石器時代遺跡)] 尖石・与助尾根遺跡 （とがりいし・よすけおねいせき）は、 長野県 茅野市 豊平にある 縄文時代 中期の集落遺跡。南側の 尖石遺跡 は戦前から発掘されてきた縄文時代を代表する遺跡の1つとして知られているが、現在では同遺跡と浅い沢1つ隔てた北側の台地上にある 与助尾根遺跡 と一括して扱われることが多い。「尖石」の名称は遺跡の南側にあった三角錐状の巨石の通称に由来する。","https://ja.wikipedia.org/wiki/尖石・与助尾根遺跡","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度00分46.1秒 東経138度13分55.4秒","","","","","","","","","","","","","","","","","","",""
"遠江国","[遠江国分寺跡静岡県地理院地図Googleマップ北緯34度43分12秒東経137度51分05秒﻿ / ﻿北緯34.7199度 東経137.8513度﻿ /34.7199; 137.8513﻿ (遠江国分寺跡)] 遠江国 （とおとうみのくに/とほたふみのくに）は、 日本 の地方行政区分である 令制国 の一つ。 東海道 に属する。現在の 静岡県 西部。","https://ja.wikipedia.org/wiki/遠江国#国分寺・国分尼寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"新居関所","[新居関跡静岡県地理院地図Googleマップ北緯34度41分41秒東経137度33分40秒﻿ / ﻿北緯34.6946度 東経137.5610度﻿ /34.6946; 137.5610﻿ (新居関跡)] 新居関所 （あらいせきしょ）は、 江戸時代 の 東海道 の 関所 のひとつ。現在、 静岡県 湖西市 新居町 新居に相当する。正式名称が 今切関所 （いまぎれせきしょ）である。","https://ja.wikipedia.org/wiki/新居関所","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度41分41秒 東経137度33分41秒","","","","","","","","","","","","","","","","","","",""
"登呂遺跡","[登呂遺跡静岡県地理院地図Googleマップ北緯34度57分21秒東経138度24分29秒﻿ / ﻿北緯34.9559度 東経138.4081度﻿ /34.9559; 138.4081﻿ (登呂遺跡)] 登呂遺跡 （とろいせき）は、 静岡県 静岡市 駿河区 登呂五丁目にある、 弥生時代 の集落・ 水田 遺跡 。国の 特別史跡 に指定されている。弥生時代後期に属し、 1世紀 ごろの集落と推定される。「登呂」はこの地域の 小字 （ 1973年 、 住居表示 実施により町名にも採用）。","https://ja.wikipedia.org/wiki/登呂遺跡","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度57分22秒東経138度24分29秒","","静岡県静岡市駿河区登呂五丁目","","","","","","","","","","","","","","","","",""
"名古屋城","[名古屋城跡愛知県地理院地図Googleマップ北緯35度11分08秒東経136度53分59秒﻿ / ﻿北緯35.1856度 東経136.8998度﻿ /35.1856; 136.8998﻿ (名古屋城跡)] 名古屋城 （なごやじょう）は、 尾張国 愛知郡 名古屋（現在の 愛知県 名古屋市 中区 ・ 北区 ）にある 日本の城 。「名城（めいじょう）」、「金鯱城（きんこじょう、きんしゃちじょう）」、「金城（きんじょう）」の異名を持つ。 日本100名城 に選定されており、国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/名古屋城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度11分7.77秒東経136度53分56.71秒","北緯35度11分7.77秒東経136度53分56.71秒﻿ / ﻿北緯35.1854917度 東経136.8990861度﻿ /35.1854917; 136.8990861座標:北緯35度11分7.77秒東経136度53分56.71秒﻿ / ﻿北緯35.1854917度 東経136.8990861度﻿ /35.1854917; 136.8990861","","名古屋城","梯郭式平城","徳川家康","慶長14年（1609年）","櫓3棟・門3棟、庭園、石垣、堀","国の重要文化財（櫓3棟、門3棟）","1871年（明治4年）","","連結式層塔型5層5階地下1階1612年築 （非現存）1959年再建（SRC造・外観復元）","尾張徳川家","","金鯱城、金城、柳城、亀屋城、蓬左城","名古屋城再建委員会","","","","大小天守、正門、本丸御殿"
"本居宣長旧宅","[本居宣長旧宅同 宅跡三重県地理院地図Googleマップ北緯34度34分31秒東経136度31分33秒﻿ / ﻿北緯34.5753度 東経136.5257度﻿ /34.5753; 136.5257﻿ (本居宣長旧宅同 宅跡)] 本居宣長旧宅の建物は 1691年 （元禄4年）に本居宣長の祖父小津三四右衛門定治が隠居所として建てたものである。最初建物は松坂職人町に建てられ、後に松坂魚町に移築された。本居宣長の先祖は代々 伊勢国 の 北畠家 の家臣であり、本居家初代の本居武秀は 蒲生氏郷 に仕えた武将であった。その子七右衛門の代から氏を小津と改めて松坂に住み、小津家は 木綿問屋 を営んで江戸店持ちの豪商として栄えていた。","https://ja.wikipedia.org/wiki/本居宣長旧宅","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度34分30.9秒 東経136度31分33.0秒","","","","","","","","","","","","","","","","","","",""
"安土城","[安土城跡滋賀県地理院地図Googleマップ北緯35度09分19秒東経136度08分22秒﻿ / ﻿北緯35.1554度 東経136.1394度﻿ /35.1554; 136.1394﻿ (安土城跡)] 安土城 （あづちじょう）は、 琵琶湖 東岸の、 近江国 蒲生郡 安土山（現在の 滋賀県 近江八幡市 安土町 下豊浦）  にあった 日本の城 （ 山城 ）。城址は国の 特別史跡 で、 琵琶湖国定公園 第1種特別地域になっている。","https://ja.wikipedia.org/wiki/安土城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度9分21.29秒東経136度8分21.87秒","北緯35度9分21.29秒東経136度8分21.87秒﻿ / ﻿北緯35.1559139度 東経136.1394083度﻿ /35.1559139; 136.1394083座標:北緯35度9分21.29秒東経136度8分21.87秒﻿ / ﻿北緯35.1559139度 東経136.1394083度﻿ /35.1559139; 136.1394083","","安土城","山城","織田信長","1576年（天正4年）","天守台、曲輪、石垣、堀","国特別史跡","1585年（天正13年）","","望楼型地上6階地下1階（1579年・非現存）","織田氏、明智氏","","","羽柴秀吉","","","","一部の石垣・大手道石階段・門跡"
"彦根城","[彦根城跡滋賀県地理院地図Googleマップ北緯35度16分35秒東経136度15分08秒﻿ / ﻿北緯35.2765度 東経136.2523度﻿ /35.2765; 136.2523﻿ (彦根城跡)] 彦根城 （ひこね じょう）は、 滋賀県 彦根市 にある 城 。 江戸時代 には 彦根藩 の政庁が置かれた。 天守 、附櫓及び 多聞櫓 は 国宝 、城跡は 特別史跡 かつ 琵琶湖国定公園 第1種特別地域である。天守が国宝指定された5城のうちの一つである（他は 犬山城 、 松本城 、 姫路城 、 松江城 ）。","https://ja.wikipedia.org/wiki/彦根城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度16分35秒東経136度15分07秒","北緯35度16分35秒東経136度15分07秒﻿ / ﻿北緯35.276422度 東経136.251889度﻿ /35.276422; 136.251889﻿ (彦根城)座標:北緯35度16分35秒東経136度15分07秒﻿ / ﻿北緯35.276422度 東経136.251889度﻿ /35.276422; 136.251889﻿ (彦根城)彦根城彦根城 (滋賀県)","","","連郭式平山城","井伊直継","1622年　　（元和8年）","現存天守、 櫓、門、塀、馬屋石垣、土塁、堀","国宝（天守等2棟）重要文化財（櫓、門、馬屋等5棟）特別史跡","1874年（明治7年）","","複合式望楼型 3重3階地下1階（1604年築）","井伊氏","","金亀城","","","","","御殿"
