"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","標高","山系","種類","最新噴火","最高峰","延長","幅","上位山系","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"白地山","[11しろじやま白地山秋田県1,034.2地理院地図Googleマップ北緯40度26分50秒東経140度47分17秒﻿ / ﻿北緯40.447221度 東経140.788157度﻿ /40.447221; 140.788157﻿ (白地山)十和田湖西の外輪山] 白地山 （しろじやま）は、 秋田県 鹿角郡 小坂町 にある 山 である。","https://ja.wikipedia.org/wiki/白地山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度26分49.8秒東経140度47分17.5秒","北緯40度26分49.8秒東経140度47分17.5秒﻿ / ﻿北緯40.447167度 東経140.788194度﻿ /40.447167; 140.788194座標:北緯40度26分49.8秒東経140度47分17.5秒﻿ / ﻿北緯40.447167度 東経140.788194度﻿ /40.447167; 140.788194","日本秋田県鹿角郡小坂町","1,034.0m","","","","","","","","","","","","","","","",""
"小岳 (秋田県)","[12こだけ小岳秋田県1,042.5地理院地図Googleマップ北緯40度25分58秒東経140度11分52秒﻿ / ﻿北緯40.432797度 東経140.197777度﻿ /40.432797; 140.197777﻿ (小岳)白神山地] 小岳 （こだけ）は、 秋田県 山本郡 藤里町 にある山である。標高は1,042.3m。山頂には三等 三角点 「小岳」が設置されている。","https://ja.wikipedia.org/wiki/小岳_(秋田県)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度25分58秒東経140度11分52秒","北緯40度25分58秒東経140度11分52秒﻿ / ﻿北緯40.43278度 東経140.19778度﻿ /40.43278; 140.19778座標:北緯40度25分58秒東経140度11分52秒﻿ / ﻿北緯40.43278度 東経140.19778度﻿ /40.43278; 140.19778","日本秋田県山本郡藤里町","1,042.3m","白神山地","","","","","","","","","","","","","","",""
"藤里駒ヶ岳","[13ふじさとこまがたけ藤里駒ヶ岳秋田県1,158.1地理院地図Googleマップ北緯40度24分47秒東経140度15分04秒﻿ / ﻿北緯40.412917度 東経140.251131度﻿ /40.412917; 140.251131﻿ (藤里駒ヶ岳)太良駒ヶ岳白神山地] 藤里駒ヶ岳 （ふじさとこまがたけ）は、 秋田県 山本郡 藤里町 にある 標高 1,158mの 山 。この地区の地名から 太良駒ヶ岳 （だいらこまがたけ）とも呼ばれる。江戸時代の絵図ではカセ内嶽  やカセナイ  、駒岳  と記されている。","https://ja.wikipedia.org/wiki/藤里駒ヶ岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度24分46秒東経140度15分04秒","北緯40度24分46秒東経140度15分04秒﻿ / ﻿北緯40.41278度 東経140.25111度﻿ /40.41278; 140.25111﻿ (駒ヶ岳)座標:北緯40度24分46秒東経140度15分04秒﻿ / ﻿北緯40.41278度 東経140.25111度﻿ /40.41278; 140.25111﻿ (駒ヶ岳)","秋田県山本郡藤里町","1,157.9m","白神山地","成層火山","","","","","","","","","","","","","",""
"田代岳","[14たしろだけ田代岳秋田県1,177.9地理院地図Googleマップ北緯40度25分43秒東経140度24分32秒﻿ / ﻿北緯40.428491度 東経140.408836度﻿ /40.428491; 140.408836﻿ (田代岳)白神山地] 田代岳 （たしろだけ）は、 秋田県 大館市 にある 標高 1,178mの 山 。 田代岳県立自然公園 の中心をなす。","https://ja.wikipedia.org/wiki/田代岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度25分43秒東経140度24分32秒","北緯40度25分43秒東経140度24分32秒﻿ / ﻿北緯40.42861度 東経140.40889度﻿ /40.42861; 140.40889座標:北緯40度25分43秒東経140度24分32秒﻿ / ﻿北緯40.42861度 東経140.40889度﻿ /40.42861; 140.40889","日本秋田県大館市早口","1,178m","白神山地","成層火山","","","","","","","","","","","","","",""
"八幡平","[15はちまんたい八幡平岩手県秋田県1,613.5地理院地図Googleマップ北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.957816度 東経140.854083度﻿ /39.957816; 140.854083﻿ (八幡平)日本百名山花の百名山新・花の百名山] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度57分28秒東経140度51分15秒","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","日本岩手県八幡平市秋田県仙北市・鹿角市","1,613.50m","奥羽山脈","成層火山","","","","","","","","","","","","","",""
"秋田焼山","[16やけやま秋田焼山秋田県1,366.2地理院地図Googleマップ北緯39度57分50秒東経140度45分25秒﻿ / ﻿北緯39.963825度 東経140.756993度﻿ /39.963825; 140.756993﻿ (秋田焼山)焼山] 秋田焼山 （あきたやけやま）は、 秋田県 の北東部に位置し、 鹿角市 と 仙北市 との境界にある 活火山 である。","https://ja.wikipedia.org/wiki/秋田焼山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度57分50.0秒東経140度45分25.4秒","北緯39度57分50.0秒東経140度45分25.4秒﻿ / ﻿北緯39.963889度 東経140.757056度﻿ /39.963889; 140.757056座標:北緯39度57分50.0秒東経140度45分25.4秒﻿ / ﻿北緯39.963889度 東経140.757056度﻿ /39.963889; 140.757056","秋田県鹿角市・仙北市","1,366m","","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"三ツ石山","[17みついしさん三ツ石山岩手県1,466地理院地図Googleマップ北緯39度51分05秒東経140度53分48秒﻿ / ﻿北緯39.851258度 東経140.896531度﻿ /39.851258; 140.896531﻿ (三ツ石山)] 三ツ石山 （みついしさん）は 岩手山 から続く、 裏岩手縦走路 の上にある山である。 東北百名山 に選ばれている。","https://ja.wikipedia.org/wiki/三ツ石山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度51分04.5秒東経140度53分47.4秒","北緯39度51分04.5秒東経140度53分47.4秒﻿ / ﻿北緯39.851250度 東経140.896500度﻿ /39.851250; 140.896500座標:北緯39度51分04.5秒東経140度53分47.4秒﻿ / ﻿北緯39.851250度 東経140.896500度﻿ /39.851250; 140.896500","日本岩手県岩手郡雫石町・八幡平市","1,466m","","","","","","","","","","","","","","","",""
"大白森","[18おおしろもり大白森岩手県秋田県1,215.7地理院地図Googleマップ北緯39度50分31秒東経140度47分06秒﻿ / ﻿北緯39.841947度 東経140.785054度﻿ /39.841947; 140.785054﻿ (大白森)] 大白森 （おおしろもり）は、 秋田県 の北東部に位置し、秋田の小和田瀬川と岩手の葛根田川源流の山である。山頂は平坦になっており、そこに広大な高層湿原がある。","https://ja.wikipedia.org/wiki/大白森","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度50分31秒東経140度47分06秒","北緯39度50分31秒東経140度47分06秒﻿ / ﻿北緯39.84194度 東経140.78500度﻿ /39.84194; 140.78500座標:北緯39度50分31秒東経140度47分06秒﻿ / ﻿北緯39.84194度 東経140.78500度﻿ /39.84194; 140.78500","日本秋田県仙北市・岩手県雫石町","1,216m","","","","","","","","","","","","","","","",""
"秋田駒ヶ岳","[19あきたこまがたけ秋田駒ヶ岳秋田県1,637.3地理院地図Googleマップ北緯39度45分40秒東経140度47分58秒﻿ / ﻿北緯39.761105度 東経140.799365度﻿ /39.761105; 140.799365﻿ (秋田駒ヶ岳)日本二百名山新日本百名山新・花の百名山駒ヶ岳男女岳秋田県最高峰] 秋田駒ヶ岳 （あきたこまがたけ）とは、 秋田県 仙北市 と 岩手県 岩手郡 雫石町 に跨る 活火山 である。 十和田八幡平国立公園 の南端。標高1,637m。全国に数多い 駒ヶ岳 のなかで最も 高山植物 の豊富な山としても知られる。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/秋田駒ヶ岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度45分39.9774秒東経140度47分57.7149秒","北緯39度45分39.9774秒東経140度47分57.7149秒﻿ / ﻿北緯39.761104833度 東経140.799365250度﻿ /39.761104833; 140.799365250座標:北緯39度45分39.9774秒東経140度47分57.7149秒﻿ / ﻿北緯39.761104833度 東経140.799365250度﻿ /39.761104833; 140.799365250","日本秋田県仙北市岩手県岩手郡雫石町","1,637.4m","奥羽山脈","成層火山（活火山ランクB）","1971年","","","","","","","","","","","","",""
"乳頭山","[20えぼしだけ烏帽子岳岩手県秋田県1,478地理院地図Googleマップ北緯39度48分18秒東経140度50分19秒﻿ / ﻿北緯39.804883度 東経140.838589度﻿ /39.804883; 140.838589﻿ (烏帽子岳)日本三百名山乳頭山] 乳頭山 （にゅうとうさん）とは、 秋田県 仙北市 と 岩手県 岩手郡 雫石町 にまたがる山である。 十和田八幡平国立公園 の中に位置する。","https://ja.wikipedia.org/wiki/乳頭山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度48分18.00秒東経140度50分19.40秒","北緯39度48分18.00秒東経140度50分19.40秒﻿ / ﻿北緯39.8050000度 東経140.8387222度﻿ /39.8050000; 140.8387222","秋田県仙北市・岩手県岩手郡雫石町","1478m","奥羽山脈","","","","","","","","","","","","","","",""
"竜ヶ森 (北秋田市・大館市)","[21りゅうがもり竜ヶ森秋田県1,049.9地理院地図Googleマップ北緯40度06分14秒東経140度35分59秒﻿ / ﻿北緯40.103894度 東経140.599620度﻿ /40.103894; 140.599620﻿ (竜ヶ森)] 竜ヶ森 （りゅうがもり）とは、 秋田県 北秋田市 と 大館市 にまたがる山である。","https://ja.wikipedia.org/wiki/竜ヶ森_(北秋田市・大館市)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度6分13.66秒東経140度35分57.49秒","北緯40度6分13.66秒東経140度35分57.49秒﻿ / ﻿北緯40.1037944度 東経140.5993028度﻿ /40.1037944; 140.5993028﻿ (竜ヶ森)座標:北緯40度6分13.66秒東経140度35分57.49秒﻿ / ﻿北緯40.1037944度 東経140.5993028度﻿ /40.1037944; 140.5993028﻿ (竜ヶ森)","日本秋田県北秋田市・大館市","1,050m","","","","","","","","","","","","","","","",""
"森吉山","[22もりよしざん森吉山秋田県1,454.3地理院地図Googleマップ北緯39度58分36秒東経140度32分39秒﻿ / ﻿北緯39.976760度 東経140.544163度﻿ /39.976760; 140.544163﻿ (森吉山)日本二百名山] 森吉山 （もりよしざん）は、 秋田県 北秋田市 に位置する 標高 1,454.2mの古い 火山 である。高山帯では多くの 高山植物 が咲乱れるため「 花の百名山 （NHK選・山と溪谷社選）」に選ばれている。向岳（むかいだけ）、秋田山（あきたやま）ともいう。","https://ja.wikipedia.org/wiki/森吉山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度58分40秒東経140度32分40秒","北緯39度58分40秒東経140度32分40秒﻿ / ﻿北緯39.97778度 東経140.54444度﻿ /39.97778; 140.54444座標:北緯39度58分40秒東経140度32分40秒﻿ / ﻿北緯39.97778度 東経140.54444度﻿ /39.97778; 140.54444","秋田県北秋田市","1,454.2m","独立峰","成層火山","","","","","","","","","","","","","",""
"太平山 (秋田県)","[23たいへいざん太平山秋田県1,170.5地理院地図Googleマップ北緯39度47分49秒東経140度18分38秒﻿ / ﻿北緯39.796998度 東経140.310672度﻿ /39.796998; 140.310672﻿ (太平山)日本三百名山新日本百名山] 太平山 （たいへいざん）とは、 秋田県 中央部、 秋田市 と 上小阿仁村 とにまたがる山である。 太平山地 の主峰。標高1170メートル。太平山を中心として 太平山県立自然公園 に指定されている。","https://ja.wikipedia.org/wiki/太平山_(秋田県)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度47分49秒東経140度18分39秒","北緯39度47分49秒東経140度18分39秒﻿ / ﻿北緯39.79694度 東経140.31083度﻿ /39.79694; 140.31083座標:北緯39度47分49秒東経140度18分39秒﻿ / ﻿北緯39.79694度 東経140.31083度﻿ /39.79694; 140.31083","日本秋田県秋田市・北秋田郡上小阿仁村","1,170m","","","","","","","","","","","","","","","",""
"岩手山","[24いわてさん岩手山岩手県2,038.1地理院地図Googleマップ北緯39度51分09秒東経141度00分04秒﻿ / ﻿北緯39.852616度 東経141.001004度﻿ /39.852616; 141.001004﻿ (岩手山)日本百名山新日本百名山薬師岳岩手県最高峰南部片富士] 岩手山 （いわてさん）は、 岩手県 の北西部にあり、二つの外輪山からなる 標高 2,038mの 成層火山 である。 青森県 から 岩手県 を経て 福島県 に連なる 奥羽山脈 の岩手県域北部に位置する岩手山は、岩手県の 最高峰 であり、県のシンボルの一つとされている  。 日本百名山 に選定されている  。","https://ja.wikipedia.org/wiki/岩手山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度51分0秒東経141度0分0秒","北緯39度51分0秒東経141度0分0秒﻿ / ﻿北緯39.85000度 東経141.00000度﻿ /39.85000; 141.00000座標:北緯39度51分0秒東経141度0分0秒﻿ / ﻿北緯39.85000度 東経141.00000度﻿ /39.85000; 141.00000","日本岩手県八幡平市・滝沢市・雫石町","2,037.95m","奥羽山脈","成層火山","1919年（小規模）","","","","","","","","","","","","",""
"七時雨山","[25ななしぐれやま七時雨山岩手県1,063地理院地図Googleマップ北緯40度04分16秒東経141度06分30秒﻿ / ﻿北緯40.070997度 東経141.108386度﻿ /40.070997; 141.108386﻿ (七時雨山)新日本百名山] 七時雨山 （ななしぐれやま）は、 岩手県 の北西部に位置する山。標高1063m  。 八幡平市 にあり、 新日本百名山 や 東北百名山 に選ばれている。","https://ja.wikipedia.org/wiki/七時雨山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度4分16秒東経141度6分30秒","北緯40度4分16秒東経141度6分30秒﻿ / ﻿北緯40.07111度 東経141.10833度﻿ /40.07111; 141.10833座標:北緯40度4分16秒東経141度6分30秒﻿ / ﻿北緯40.07111度 東経141.10833度﻿ /40.07111; 141.10833","岩手県八幡平市","1,063m","七時雨火山","溶岩ドーム(七時雨山峰)","","","","","","","","","","","","","",""
"安家森 (存在しないページ)","[26画 像 募 集 中あっかもり安家森岩手県1,238.9地理院地図Googleマップ北緯40度02分17秒東経141度32分28秒﻿ / ﻿北緯40.038047度 東経141.540977度﻿ /40.038047; 141.540977﻿ (安家森)]","https://ja.wikipedia.org/w/index.php?title=安家森&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"姫神山 (岩手県)","[27ひめかみさん姫神山岩手県1,123.7地理院地図Googleマップ北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.844035度 東経141.246882度﻿ /39.844035; 141.246882﻿ (姫神山)日本二百名山新・花の百名山] 姫神山 （ひめかみさん）は、 岩手県 盛岡市 にある山である。独立峰でピラミッド型をした山容が特徴である。山頂には一等三角点がある。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/姫神山_(岩手県)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度50分39秒東経141度14分49秒","北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.84417度 東経141.24694度﻿ /39.84417; 141.24694座標:北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.84417度 東経141.24694度﻿ /39.84417; 141.24694","日本岩手県盛岡市","1,123.8m","北上山地","","","","","","","","","","","","","","",""
"兜明神岳 (存在しないページ)","[28画 像 募 集 中かぶとみょうじんだけ兜明神岳岩手県1,005地理院地図Googleマップ北緯39度39分22秒東経141度22分11秒﻿ / ﻿北緯39.656133度 東経141.369808度﻿ /39.656133; 141.369808﻿ (兜明神岳)兜明神嶽]","https://ja.wikipedia.org/w/index.php?title=兜明神岳&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"早池峰山","[29はやちね早池峰岩手県1,917地理院地図Googleマップ北緯39度33分30秒東経141度29分20秒﻿ / ﻿北緯39.558358度 東経141.489014度﻿ /39.558358; 141.489014﻿ (早池峰)日本百名山花の百名山新・花の百名山早池峰山] 早池峰山 （はやちねさん）は、 岩手県 にある 標高 1917mの 山 。 北上山地 の最高峰で 日本百名山  、 新日本百名山  、 花の百名山  、 新・花の百名山  及び 一等三角点百名山  に選定されている。 六角牛山 、 石上山 と共に「遠野三山」と呼ばれる  。山頂は 宮古市 、 遠野市 、 花巻市 の3つの市の境界となっている。","https://ja.wikipedia.org/wiki/早池峰山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度33分31秒東経141度29分19秒","北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861座標:北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861","日本岩手県宮古市・遠野市・花巻市","1917m","北上山地","","","","","","","","","","","","","","",""
"薬師岳 (岩手県) (存在しないページ)","[30やくしだけ薬師岳岩手県1,644.7地理院地図Googleマップ北緯39度31分48秒東経141度29分45秒﻿ / ﻿北緯39.529940度 東経141.495711度﻿ /39.529940; 141.495711﻿ (薬師岳)]","https://ja.wikipedia.org/w/index.php?title=薬師岳_(岩手県)&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鯨山 (存在しないページ)","[31画 像 募 集 中くじらやま鯨山岩手県609.9地理院地図Googleマップ北緯39度24分05秒東経141度55分22秒﻿ / ﻿北緯39.401275度 東経141.922785度﻿ /39.401275; 141.922785﻿ (鯨山)]","https://ja.wikipedia.org/w/index.php?title=鯨山&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
