"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"尺土駅","尺土駅（しゃくどえき）","https://ja.wikipedia.org/wiki/尺土駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度30分30.84秒東経135度43分15.83秒","F南大阪線","32.3 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","奈良県葛城市尺土228北緯34度30分30.84秒東経135度43分15.83秒﻿ / ﻿北緯34.5085667度 東経135.7210639度﻿ /34.5085667; 135.7210639座標:北緯34度30分30.84秒東経135度43分15.83秒﻿ / ﻿北緯34.5085667度 東経135.7210639度﻿ /34.5085667; 135.7210639","地上駅（橋上駅）","1929年（昭和4年）3月29日","2面4線"," F23 ","*一部列車が南大阪線へ直通","シト","2,427人/日（降車客含まず）-2018年-","","","","","","","",""
"社家駅","社家駅（しゃけえき）","https://ja.wikipedia.org/wiki/社家駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度25分14.5秒東経139度22分38.5秒","■相模線","11.6 km（茅ケ崎起点）","東日本旅客鉄道（JR東日本）","神奈川県海老名市社家115北緯35度25分14.5秒東経139度22分38.5秒﻿ / ﻿北緯35.420694度 東経139.377361度﻿ /35.420694; 139.377361座標:北緯35度25分14.5秒東経139度22分38.5秒﻿ / ﻿北緯35.420694度 東経139.377361度﻿ /35.420694; 139.377361","地上駅","1926年（大正15年）7月15日","1面2線","","無人駅","ヤケ","2,101人/日（降車客含まず）-2014年-","","","","","","","",""
"社台駅","社台駅（しゃだいえき）","https://ja.wikipedia.org/wiki/社台駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯42度34分43.44秒東経141度25分3.08秒","■室蘭本線","119.1 km（長万部起点）","北海道旅客鉄道（JR北海道）","北海道白老郡白老町字社台北緯42度34分43.44秒東経141度25分3.08秒﻿ / ﻿北緯42.5787333度 東経141.4175222度﻿ /42.5787333; 141.4175222﻿ (社台駅)","地上駅","1907年（明治40年）12月25日","1面2線","○H22","無人駅","シタ","","14人/日-2014年-","","","","","","",""
"ジヤトコ前駅","ジヤトコ前駅（ジャトコまええき）","https://ja.wikipedia.org/wiki/ジヤトコ前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度9分27.92秒東経138度41分24.07秒","■岳南線","2.3 km（吉原起点）","岳南電車","静岡県富士市依田原町7〒417‐0022北緯35度9分27.92秒東経138度41分24.07秒座標:北緯35度9分27.92秒 東経138度41分24.07秒","地上駅","1949年（昭和24年）11月18日","1面1線","GD02","無人駅","","87人/日（降車客含まず）-2019年-","124人/日-2019年-","","","","","","",""
"十王駅","十王駅（じゅうおうえき）","https://ja.wikipedia.org/wiki/十王駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度40分16.95秒東経140度41分10.21秒","■常磐線","156.6 km（日暮里起点）","東日本旅客鉄道（JR東日本）","茨城県日立市十王町友部177北緯36度40分16.95秒東経140度41分10.21秒座標:北緯36度40分16.95秒 東経140度41分10.21秒","地上駅","1897年（明治30年）2月25日","1面2線","","業務委託駅*2004年に川尻駅から改称[1]。","シユ","2,957人/日（降車客含まず）-2019年-","","","","","","","",""
"自由が丘駅","自由が丘駅（じゆうがおかえき・東急東横線・大井町線）","https://ja.wikipedia.org/wiki/自由が丘駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度36分27秒東経139度40分8秒","■東横線[2]","7.0 km（渋谷起点）","東急電鉄","東京都目黒区自由が丘一丁目9-8[2]北緯35度36分27秒東経139度40分8秒﻿ / ﻿北緯35.60750度 東経139.66889度﻿ /35.60750; 139.66889座標:北緯35度36分27秒東経139度40分8秒﻿ / ﻿北緯35.60750度 東経139.66889度﻿ /35.60750; 139.66889","高架駅（東横線）地上駅（大井町線）","1927年（昭和2年）8月28日","2面4線（東横線）2面2線（大井町線）","TY07[2]","","","","（東横線）100,055人/日（大井町線）57,959人/日（合計）158,014人/日-2018年-","","","","","","",""
"自由ヶ丘駅","自由ヶ丘駅（じゆうがおかえき・名古屋市営地下鉄名城線）","https://ja.wikipedia.org/wiki/自由ヶ丘駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度10分31.7秒東経136度58分0.2秒","名城線","3.8 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市千種区自由ケ丘三丁目11北緯35度10分31.7秒東経136度58分0.2秒﻿ / ﻿北緯35.175472度 東経136.966722度﻿ /35.175472; 136.966722座標:北緯35度10分31.7秒東経136度58分0.2秒﻿ / ﻿北緯35.175472度 東経136.966722度﻿ /35.175472; 136.966722","地下駅","2003年（平成15年）12月13日","2面2線","M16","","","6,735人/日（降車客含まず）-2019年-","13,653[1]人/日-2019年-","","","","","","",""
"修学院駅","修学院駅（しゅうがくいんえき）","https://ja.wikipedia.org/wiki/修学院駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度3分0.81秒東経135度47分25.65秒","■叡山本線","2.9 km（出町柳起点）","叡山電鉄","京都市左京区山端壱町田町14-1[1]北緯35度3分0.81秒東経135度47分25.65秒﻿ / ﻿北緯35.0502250度 東経135.7904583度﻿ /35.0502250; 135.7904583﻿ (修学院駅)座標:北緯35度3分0.81秒東経135度47分25.65秒﻿ / ﻿北緯35.0502250度 東経135.7904583度﻿ /35.0502250; 135.7904583﻿ (修学院駅)","地上駅","1925年（大正14年）9月27日[1]","2面2線"," E05 ","","","1,858人/日（降車客含まず）-2017年-","","","","","","","",""
"十九条駅","十九条駅（じゅうくじょうえき）","https://ja.wikipedia.org/wiki/十九条駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度23分44.82秒東経136度39分39.39秒","樽見線","5.5 km（大垣起点）","樽見鉄道","岐阜県瑞穂市十九条北緯35度23分44.82秒東経136度39分39.39秒﻿ / ﻿北緯35.3957833度 東経136.6609417度﻿ /35.3957833; 136.6609417座標:北緯35度23分44.82秒東経136度39分39.39秒﻿ / ﻿北緯35.3957833度 東経136.6609417度﻿ /35.3957833; 136.6609417","地上駅","1956年（昭和31年）3月20日","1面1線","","","","","62人/日-2018年[瑞穂市統計 1]-","","","","","","",""
"十字街停留場","十字街停留場（じゅうじがいていりゅうじょう）","https://ja.wikipedia.org/wiki/十字街停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯41度45分50.69秒東経140度43分7.06秒","函館市電本線","1.3km（函館駅前起点）湯の川より7.8 km","函館市企業局交通部","北海道函館市末広町8-6先、9-15先北緯41度45分50.69秒東経140度43分7.06秒﻿ / ﻿北緯41.7640806度 東経140.7186278度﻿ /41.7640806; 140.7186278﻿ (十字街停留場)座標:北緯41度45分50.69秒東経140度43分7.06秒﻿ / ﻿北緯41.7640806度 東経140.7186278度﻿ /41.7640806; 140.7186278﻿ (十字街停留場)","地上駅（停留場）","1913年10月30日","2面2線","DY20","","","","2,098[1]人/日-2019年-","","","","","","",""
"十条駅 (東京都)","十条駅 (東京都)（じゅうじょうえき・東日本旅客鉄道埼京線）","https://ja.wikipedia.org/wiki/十条駅_(東京都)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度45分37秒東経139度43分20秒","■埼京線（正式には赤羽線）*","3.5 km（池袋起点）大崎から16.9 km","東日本旅客鉄道（JR東日本）","東京都北区上十条一丁目12-10北緯35度45分37秒東経139度43分20秒座標:北緯35度45分37秒 東経139度43分20秒","地上駅","1910年（明治43年）11月1日","2面2線","JA14","直営駅東京都区内駅","シウ","36,429人/日（降車客含まず）-2019年-","","","","","","","",""
"十条駅 (近鉄)","十条駅 (近鉄)（じゅうじょうえき・近鉄京都線）","https://ja.wikipedia.org/wiki/十条駅_(近鉄)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度58分26.39秒東経135度45分8.8秒","B京都線","1.5 km（京都起点）","近畿日本鉄道（近鉄）","京都市南区西九条柳の内町1北緯34度58分26.39秒東経135度45分8.8秒﻿ / ﻿北緯34.9739972度 東経135.752444度﻿ /34.9739972; 135.752444座標:北緯34度58分26.39秒東経135度45分8.8秒﻿ / ﻿北緯34.9739972度 東経135.752444度﻿ /34.9739972; 135.752444","高架駅","1928年（昭和3年）11月15日","1面2線"," B03 ","","シウ","","（全日）6,511人/日-2019年-","","","","","","",""
"十条駅 (京都市営地下鉄)","十条駅 (京都市営地下鉄)（じゅうじょうえき・京都市営地下鉄烏丸線）","https://ja.wikipedia.org/wiki/十条駅_(京都市営地下鉄)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度58分19.62秒東経135度45分34.79秒","烏丸線","11.8 km（国際会館起点）","京都市交通局（京都市営地下鉄）","京都市南区東九条南石田町北緯34度58分19.62秒東経135度45分34.79秒﻿ / ﻿北緯34.9721167度 東経135.7596639度﻿ /34.9721167; 135.7596639座標:北緯34度58分19.62秒東経135度45分34.79秒﻿ / ﻿北緯34.9721167度 東経135.7596639度﻿ /34.9721167; 135.7596639","地下駅","1988年（昭和63年）6月11日","1面2線","●K13","","","","7,757人/日-2019年-","","","","","","",""
"十三駅","十三駅（じゅうそうえき）","https://ja.wikipedia.org/wiki/十三駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度43分11.61秒東経135度28分58.05秒","■神戸本線","2.4 km（大阪梅田起点）","阪急電鉄","大阪市淀川区十三東二丁目12番1号[1]北緯34度43分11.61秒東経135度28分58.05秒﻿ / ﻿北緯34.7198917度 東経135.4827917度﻿ /34.7198917; 135.4827917﻿ (十三駅)座標:北緯34度43分11.61秒東経135度28分58.05秒﻿ / ﻿北緯34.7198917度 東経135.4827917度﻿ /34.7198917; 135.4827917﻿ (十三駅)","地上駅","1910年（明治43年）3月10日","4面6線","HK03","","","","（特定日）73,574人/日-2019年-","","（通年平均）68,706人/日-2019年-","","","","",""
"修大協創中高前駅","修大協創中高前駅（しゅうだいきょうそうちゅうこうまええき）","https://ja.wikipedia.org/wiki/修大協創中高前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度22分5.3秒東経132度22分27.29秒","■宮島線","6.0 km（広電西広島起点）","広島電鉄","広島市西区井口四丁目1-1[1]北緯34度22分5.3秒東経132度22分27.29秒﻿ / ﻿北緯34.368139度 東経132.3742472度﻿ /34.368139; 132.3742472﻿ (修大協創中高前駅)座標:北緯34度22分5.3秒東経132度22分27.29秒﻿ / ﻿北緯34.368139度 東経132.3742472度﻿ /34.368139; 132.3742472﻿ (修大協創中高前駅)","地上駅","1941年（昭和16年）7月4日","2面2線","●M27","1日当たりの乗車人員は、年間乗車人員を日数で除することで算出した参考値","","2,060人/日（降車客含まず）-2019年-","","","","","","","",""
"守内かさ神駅","守内かさ神駅（しゅうちかさがみえき）","https://ja.wikipedia.org/wiki/守内かさ神駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度10分12.46秒東経132度8分8.77秒","錦川清流線","5.4 km（川西起点）","錦川鉄道","山口県岩国市守内北緯34度10分12.46秒東経132度8分8.77秒﻿ / ﻿北緯34.1701278度 東経132.1357694度﻿ /34.1701278; 132.1357694﻿ (守内かさ神駅)座標:北緯34度10分12.46秒東経132度8分8.77秒﻿ / ﻿北緯34.1701278度 東経132.1357694度﻿ /34.1701278; 132.1357694﻿ (守内かさ神駅)","地上駅","1993年(平成5年)3月17日","1面1線","","無人駅[2]","シカ","","4[1]人/日-2019年-","","","","","","",""
"十二兼駅","十二兼駅（じゅうにかねえき）","https://ja.wikipedia.org/wiki/十二兼駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度38分43.50秒東経137度37分3.24秒","CF中央本線","292.5km（東京起点）名古屋から104.4 km","東海旅客鉄道（JR東海）","長野県木曽郡南木曽町読書[1]北緯35度38分43.50秒東経137度37分3.24秒﻿ / ﻿北緯35.6454167度 東経137.6175667度﻿ /35.6454167; 137.6175667﻿ (十二兼駅)","地上駅（盛土上）","1948年（昭和23年）9月1日[1]","2面2線[1]","","駅員無配置駅[1]標高：474.4m[1]","カネ[1]","10人/日（降車客含まず）-2018年-","","","","","","","",""
"十二橋駅","十二橋駅（じゅうにきょうえき）","https://ja.wikipedia.org/wiki/十二橋駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度55分3.4秒東経140度32分44.8秒","■鹿島線","3.0 km（香取起点）","東日本旅客鉄道（JR東日本）","千葉県香取市津宮3928-14北緯35度55分3.4秒東経140度32分44.8秒座標:北緯35度55分3.4秒 東経140度32分44.8秒","高架駅[1]","1970年（昭和45年）8月20日[1]","1面1線[1]","","無人駅[1]（乗車駅証明書発行機 有）","トニ","55人/日（降車客含まず）-2006年-","","","","","","","",""
"十二湖駅","十二湖駅（じゅうにこえき）","https://ja.wikipedia.org/wiki/十二湖駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","■五能線","46.6 km（東能代起点）","東日本旅客鉄道（JR東日本）","","地上駅","1959年（昭和34年）9月15日[1]","1面1線[1]","","無人駅[1]","シコ","","","","","","","","",""
"十二所駅","十二所駅（じゅうにしょえき）","https://ja.wikipedia.org/wiki/十二所駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯40度12分52.32秒東経140度40分6.12秒","■花輪線","89.6 km（好摩起点）","東日本旅客鉄道（JR東日本）","秋田県大館市十二所字荒町42北緯40度12分52.32秒東経140度40分6.12秒座標:北緯40度12分52.32秒 東経140度40分6.12秒","地上駅","1915年（大正4年）12月25日","1面1線","","無人駅","シウ","","","","","","","","",""
"十文字駅","十文字駅（じゅうもんじえき）","https://ja.wikipedia.org/wiki/十文字駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯39度13分13.9秒東経140度31分32.5秒","■奥羽本線","217.8 km（福島起点）","東日本旅客鉄道（JR東日本）","秋田県横手市十文字町字大道東18-1北緯39度13分13.9秒東経140度31分32.5秒座標:北緯39度13分13.9秒 東経140度31分32.5秒","地上駅","1905年（明治38年）9月14日","2面3線","","業務委託駅","シモ","376人/日（降車客含まず）-2019年-","","","","","","","",""
"聚楽園駅","聚楽園駅（しゅうらくえんえき）","https://ja.wikipedia.org/wiki/聚楽園駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度2分34秒東経136度54分11秒","常滑線","9.7 km（神宮前起点）","名古屋鉄道","愛知県東海市荒尾町リノ割235-3北緯35度2分34秒東経136度54分11秒﻿ / ﻿北緯35.04278度 東経136.90306度﻿ /35.04278; 136.90306座標:北緯35度2分34秒東経136度54分11秒﻿ / ﻿北緯35.04278度 東経136.90306度﻿ /35.04278; 136.90306","地上駅","1917年（大正6年）5月10日","2面3線","TA  07 ","","","","6,671人/日-2019年[1]-","","","","","","",""
"宿院停留場","宿院停留場（しゅくいんていりゅうじょう）","https://ja.wikipedia.org/wiki/宿院停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度34分34.70秒東経135度28分18.71秒","■阪堺線","9.4km（恵美須町起点）天王寺駅前から9.2 km","阪堺電気軌道","堺市堺区大町西1丁北緯34度34分34.70秒東経135度28分18.71秒﻿ / ﻿北緯34.5763056度 東経135.4718639度﻿ /34.5763056; 135.4718639座標:北緯34度34分34.70秒東経135度28分18.71秒﻿ / ﻿北緯34.5763056度 東経135.4718639度﻿ /34.5763056; 135.4718639","地上駅","1912年（明治45年）3月5日","相対式 2面2線"," HN23 ","","","","","","","","","","",""
"夙川駅","夙川駅（しゅくがわえき）","https://ja.wikipedia.org/wiki/夙川駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度44分31.84秒東経135度19分40.96秒","■神戸本線","18.3 km（大阪梅田起点）","阪急電鉄","兵庫県西宮市相生町2番1号[1]北緯34度44分31.84秒東経135度19分40.96秒﻿ / ﻿北緯34.7421778度 東経135.3280444度﻿ /34.7421778; 135.3280444座標:北緯34度44分31.84秒東経135度19分40.96秒﻿ / ﻿北緯34.7421778度 東経135.3280444度﻿ /34.7421778; 135.3280444","地上駅","1920年（大正9年）7月16日[2]","（■神戸本線）2面2線[2]（■甲陽線）1面1線[2]","HK09","","","","","","（通年平均）27,345人/日-2019年-","","","","",""
"宿河原駅","宿河原駅（しゅくがわらえき・東日本旅客鉄道南武線）","https://ja.wikipedia.org/wiki/宿河原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度36分55秒東経139度34分46秒","■南武線","16.2 km（川崎起点）","東日本旅客鉄道（JR東日本）","川崎市多摩区宿河原三丁目4-4北緯35度36分55秒東経139度34分46秒﻿ / ﻿北緯35.61528度 東経139.57944度﻿ /35.61528; 139.57944座標:北緯35度36分55秒東経139度34分46秒﻿ / ﻿北緯35.61528度 東経139.57944度﻿ /35.61528; 139.57944","地上駅","1927年（昭和2年）3月9日[1]","2面2線","JN13","業務委託駅","ユク","8,266人/日（降車客含まず）-2019年-","","","","","","","",""
"宿川原駅","宿川原駅（しゅくがわらえき・弘南鉄道大鰐線）","https://ja.wikipedia.org/wiki/宿川原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","大鰐線","0.9 km（大鰐起点）","弘南鉄道","","地上駅","1952年（昭和27年）1月26日","1面1線","KW 13","無人駅","","","24人/日-2017年-","","","","","","",""
"宿戸駅","宿戸駅（しゅくのへえき）","https://ja.wikipedia.org/wiki/宿戸駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","■八戸線","40.0 km（八戸起点）","東日本旅客鉄道（JR東日本）","","地上駅","1954年（昭和29年）8月5日[1]","1面1線","","無人駅","シノ","","","","","","","","",""
