"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","法人番号","文化財","宗派","創建年","本尊","山号","面積","開基","札所等","正式名","寺格","分類","別称","運営者","公式サイト","開山","公式HP"
"陸奥国分寺","[木の下及び薬師堂- 宮城県仙台市] 陸奥国分寺 （むつ こくぶんじ）は、 宮城県 仙台市 若林区 木下にある 真言宗智山派 の 寺院 。 護国山医王院国分寺 と号す。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/陸奥国分寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯38度15分4.71秒東経140度54分10.12秒","宮城県仙台市若林区木ノ下2-8-28","北緯38度15分4.71秒東経140度54分10.12秒﻿ / ﻿北緯38.2513083度 東経140.9028111度﻿ /38.2513083; 140.9028111﻿ (陸奥国分寺)座標:北緯38度15分4.71秒東経140度54分10.12秒﻿ / ﻿北緯38.2513083度 東経140.9028111度﻿ /38.2513083; 140.9028111﻿ (陸奥国分寺)","3370005000740","薬師堂（国の重要文化財）陸奥国分寺跡（国の史跡）仁王門・木造十二神将立像12躯・木造不動明王立像・木造毘沙門天立像（宮城県指定文化財）","真言宗智山派","8世紀前半","薬師如来","護国山","","聖武天皇","","護国山医王院国分寺","","","金光明四天王護国之寺","","","",""
"多賀城碑","[壺碑（つぼの石ぶみ）- 宮城県多賀城市] 多賀城碑 （たがじょうひ）は、 宮城県 多賀城市 大字市川にある 奈良時代 の石碑。 1998年 （ 平成 10年）6月に国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/多賀城碑","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"末の松山","[末の松山- 宮城県多賀城市] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯38度17分16秒 東経141度0分11.9秒 ﻿ / ﻿ 北緯38.28778度 東経141.003306度 ﻿ / 38.28778; 141.003306","https://ja.wikipedia.org/wiki/末の松山","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"塩竃市","[籬が島 - 宮城県塩竃市] ","https://ja.wikipedia.org/wiki/塩竃市","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯38度18分51.7秒東経141度1分19.1秒","〒985-8501宮城県塩竈市旭町1番1号北緯38度18分51.7秒東経141度1分19.1秒﻿ / ﻿北緯38.314361度 東経141.021972度﻿ /38.314361; 141.021972","","9000020042030","","","","","","17.37km2","","","","","","","","","",""
"金鶏山","[金鶏山-岩手県西磐井郡平泉町] 金鶏山 （きんけいざん    、きんけいさん    ）は、 岩手県 西磐井郡 平泉町 にある 山 。","https://ja.wikipedia.org/wiki/金鶏山","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯38度59分36.3秒東経141度06分33.2秒","日本岩手県西磐井郡平泉町","北緯38度59分36.3秒東経141度06分33.2秒﻿ / ﻿北緯38.993417度 東経141.109222度﻿ /38.993417; 141.109222座標:北緯38度59分36.3秒東経141度06分33.2秒﻿ / ﻿北緯38.993417度 東経141.109222度﻿ /38.993417; 141.109222","","","","","","","","","","","","","","","","",""
"衣川館","[高館- 岩手県西磐井郡平泉町] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯38度59分50.25秒 東経141度6分48.75秒 ﻿ / ﻿ 北緯38.9972917度 東経141.1135417度 ﻿ / 38.9972917; 141.1135417","https://ja.wikipedia.org/wiki/衣川館","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山形県","[本合海 -山形県新庄市] ","https://ja.wikipedia.org/wiki/山形県","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯38度14分25.6秒東経140度21分48.8秒","〒990-8570山形県山形市松波2丁目8番1号北緯38度14分25.6秒東経140度21分48.8秒﻿ / ﻿北緯38.240444度 東経140.363556度﻿ /38.240444; 140.363556","","5000020060003","","","","","","9,325.15km2（境界未定部分あり）","","","","","","","","","",""
"三崎公園 (秋田県・山形県)","[三崎（大師崎）- 山形県飽海郡遊佐町・秋田県にかほ市] 三崎公園 （みさきこうえん）は、 秋田県 にかほ市 と 山形県 遊佐町 にまたがる三崎にある、 海浜公園 である。 鳥海国定公園 の一部である。","https://ja.wikipedia.org/wiki/三崎公園_(秋田県・山形県)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"象潟","[象潟及び汐越- 秋田県にかほ市] 象潟 （きさかた）は、 秋田県 にかほ市 象潟地域の地形である。現在は平地だがかつては 潟湖 で、それを象「潟」と呼んだ。","https://ja.wikipedia.org/wiki/象潟","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"親不知","[親しらず-新潟県糸魚川市] 親不知 （おやしらず）は、 新潟県 糸魚川市 の西端に位置する 崖 が連なった地帯。正式には 親不知・子不知 （おやしらず・こしらず）といい、日本海の海岸の断崖絶壁に沿って狭い砂浜があるだけで古くから交通の難所として知られる  。","https://ja.wikipedia.org/wiki/親不知","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富山湾","[有磯海-富山県高岡市] 富山湾 （とやまわん）は、 北陸地方 北東部に位置する 湾 。 日本海 では最大の外洋性内湾である。日本の湾のなかでも、水深の深さと 魚 の豊富さで知られている。また、春と冬には 蜃気楼 が発生することで知られる。これらが評価され2014年に 世界で最も美しい湾クラブ への加盟が認められた。","https://ja.wikipedia.org/wiki/富山湾","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"那谷寺","[那谷寺境内（奇石） -石川県小松市] 那谷寺 （なたでら）は、 石川県 小松市 にある 仏教 寺院 。 高野山真言宗 別格本山。","https://ja.wikipedia.org/wiki/那谷寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯36度18分48.27秒東経136度25分13.41秒","石川県小松市那谷町ユ122","北緯36度18分48.27秒東経136度25分13.41秒﻿ / ﻿北緯36.3134083度 東経136.4203917度﻿ /36.3134083; 136.4203917座標:北緯36度18分48.27秒東経136度25分13.41秒﻿ / ﻿北緯36.3134083度 東経136.4203917度﻿ /36.3134083; 136.4203917","9220005003653","本堂、書院及び庫裏、三重塔、護摩堂、鐘楼（重要文化財）庫裡庭園（名勝）ほか","高野山真言宗","（伝）養老元年（717年）","千手観世音菩薩","自生山","","（伝）泰澄","北陸三十三ヵ所観音霊場第12番北陸白寿観音霊場第11番","","別格本山","","","","","",""
"山中温泉","[道明が淵（山中の温泉） - 石川県加賀市] 山中温泉 （やまなかおんせん）は、 石川県 加賀市 にある 温泉 。ならびに加賀市の 町名 の一つ。古くから歴史のある温泉の地  であり、 加賀温泉郷 の一角を占める。","https://ja.wikipedia.org/wiki/山中温泉","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","石川県加賀市","","","","","","","","","","","","","","","","","",""
"氣比神宮","[けいの明神（氣比神宮境内）-福井県敦賀市] 氣比神宮 （けひじんぐう、気比神宮）は、 福井県 敦賀市 曙町にある 神社 。 式内社 （ 名神大社 ）、 越前国 一宮 。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/氣比神宮","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度39分17.85秒東経136度4分28.92秒","福井県敦賀市曙町11-68","北緯35度39分17.85秒東経136度4分28.92秒﻿ / ﻿北緯35.6549583度 東経136.0747000度﻿ /35.6549583; 136.0747000﻿ (氣比神宮)座標:北緯35度39分17.85秒東経136度4分28.92秒﻿ / ﻿北緯35.6549583度 東経136.0747000度﻿ /35.6549583; 136.0747000﻿ (氣比神宮)","","","","","","","","","","","","","","","","",""
"住吉灯台 (岐阜県)","[大垣船町川湊-岐阜県大垣市] 住吉灯台 （すみよしとうだい）とは、 岐阜県 大垣市 船町にある、かつての 川湊 の 灯台 である。住吉灯台の名の灯台は、 熊本県 宇土市 、 鹿児島県 種子島 にもあるが、この記事では 岐阜県 大垣市 の住吉灯台について記述する。","https://ja.wikipedia.org/wiki/住吉灯台_(岐阜県)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"木曽川","[木曽川（岐阜県可児市・加茂郡坂祝町・各務原市・愛知県犬山市）] 木曽川 （きそがわ）は、 長野県 から 岐阜県 、 愛知県 、 三重県 を経て 伊勢湾 に注ぐ木曽川水系の本流で 一級河川 、いわゆる 木曽三川 の一つ。源流部では、「 味噌川 」（みそがわ）とも呼ばれる。","https://ja.wikipedia.org/wiki/木曽川","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"香雪園","[旧岩船氏庭園（香雪園）（函館市）] 香雪園 （こうせつえん）は 北海道 函館市 にある 庭園 （ 風景式庭園 ）。 見晴公園 内にある。","https://ja.wikipedia.org/wiki/香雪園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯41度47分37秒東経140度48分10秒","日本北海道函館市","","","","","","","","13.3ヘクタール","","","","","","","函館市住宅土地施設公社（指定管理者）","見晴公園","",""
"天都山","[天都山（網走市）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯44度0分3.83秒 東経144度14分23.6秒 ﻿ / ﻿ 北緯44.0010639度 東経144.239889度 ﻿ / 44.0010639; 144.239889","https://ja.wikipedia.org/wiki/天都山","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"九度山","[九度山（クトウンヌプリ）] 九度山 (くどさん)は、 北海道 名寄市 に位置する 標高 673.6メートルの 山 である  。","https://ja.wikipedia.org/wiki/九度山","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯44度24分56.5秒東経142度30分37.0秒","日本北海道名寄市字日進","北緯44度24分56.5秒東経142度30分37.0秒﻿ / ﻿北緯44.415694度 東経142.510278度﻿ /44.415694; 142.510278座標:北緯44度24分56.5秒東経142度30分37.0秒﻿ / ﻿北緯44.415694度 東経142.510278度﻿ /44.415694; 142.510278","","","","","","","","","","","","","","","","",""
"黄金山 (石狩市)","[黄金山（ピンネタイオルシペ）] 黄金山 （こがねやま）は、 北海道 石狩市 浜益区 に位置する 標高 739.1メートルの 山 である。","https://ja.wikipedia.org/wiki/黄金山_(石狩市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯43度37分26.4秒東経141度28分23.4秒","日本北海道石狩市浜益区","北緯43度37分26.4秒東経141度28分23.4秒﻿ / ﻿北緯43.624000度 東経141.473167度﻿ /43.624000; 141.473167座標:北緯43度37分26.4秒東経141度28分23.4秒﻿ / ﻿北緯43.624000度 東経141.473167度﻿ /43.624000; 141.473167","","","","","","","","","","","","","","","","",""
"北見神威岬","[神威岬（カムイエトウ）] 北見神威岬灯台 （きたみかむいみさきとうだい）は、北見神威岬の崖の斜面の中腹に建つ灯台。 1962年 （昭和37年） 12月8日 初点灯。","https://ja.wikipedia.org/wiki/北見神威岬","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯45度03分32秒東経142度30分05秒","北海道枝幸郡枝幸町","北緯45度03分32秒東経142度30分05秒﻿ / ﻿北緯45.05889度 東経142.50139度﻿ /45.05889; 142.50139座標:北緯45度03分32秒東経142度30分05秒﻿ / ﻿北緯45.05889度 東経142.50139度﻿ /45.05889; 142.50139","","","","","","","","","","","","","","","","",""
"襟裳岬","[襟裳岬（オンネエンルム）] 襟裳岬 （えりもみさき）は、 北海道 幌泉郡 えりも町 えりも岬に属し、 太平洋 に面する 岬 。北緯41度55分28秒、東経143度14分57秒。北海道の形を大きく表徴する自然地形の一つである。 日高山脈 の最南端で、太平洋に向かって南へ突き出した岬である。海上にまで岩礁群も伸びている。","https://ja.wikipedia.org/wiki/襟裳岬","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"チャシ","[カムイチャシ] チャシ とは主に 近世 に アイヌ が築造したある種の施設であって、高い場所に築かれ、 壕 や 崖 などで周囲と切り離された施設である。","https://ja.wikipedia.org/wiki/チャシ","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"絵鞆半島","[絵鞆半島外海岸] 絵鞆半島 （えともはんとう）は、 北海道 室蘭市 南部に位置し、 太平洋 及び 内浦湾 に面した小 半島 。内浦湾の東端を占める。","https://ja.wikipedia.org/wiki/絵鞆半島","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"十勝幌尻岳","[十勝幌尻岳（ポロシリ）] 十勝幌尻岳 （とかちぽろしりだけ）は、 北海道 帯広市 と 河西郡 中札内村 とにまたがる 標高 1,846 m の 山 である。 日高山脈襟裳国定公園 に属する。","https://ja.wikipedia.org/wiki/十勝幌尻岳","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯42度41分44秒東経142度51分34秒","北海道十勝総合振興局帯広市・河西郡中札内村","北緯42度41分44秒東経142度51分34秒﻿ / ﻿北緯42.69556度 東経142.85944度﻿ /42.69556; 142.85944座標:北緯42度41分44秒東経142度51分34秒﻿ / ﻿北緯42.69556度 東経142.85944度﻿ /42.69556; 142.85944","","","","","","","","","","","","","","","","",""
"幌尻岳","[幌尻岳（ポロシリ）] 幌尻岳 （ぽろしりだけ）は、 北海道 日高振興局 の 沙流郡 平取町 と 新冠郡 新冠町 にまたがる 標高 2,052 m   の 山 。 日高山脈 の主峰であり、 日本百名山 に選定されている  。 日高山脈襟裳国定公園 に含まれ、山頂には 二等三角点 （点名「幌尻」）  がある。山名は アイヌ語 で「Poro（大きい）sir（山）」を意味する  。","https://ja.wikipedia.org/wiki/幌尻岳","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯42度43分10秒東経142度40分58秒","日本北海道日高振興局沙流郡平取町・新冠郡新冠町","北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ /42.71944; 142.68278座標:北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ /42.71944; 142.68278","","","","","","","","","","","","","","","","",""
"アイヌラックル","[オキクルミのチャシ及びムイノカ] アイヌラックル は、 アイヌ 伝承の 創世神話 における 英雄 神 で、 アイヌ民族 の祖とされる地上で初めて誕生した神  。 アイヌ語 で「人間みたいな神」という意味。エピソードを通じて人々の日常生活を支える多くの品々の起源が語られることから、アイヌ神話の上での 文化英雄 の役割を持つ  。 オイナ 、 オイナカムイ 、 オキクルミ などの別名でも伝えられている。","https://ja.wikipedia.org/wiki/アイヌラックル","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金平成園","[金平成園（澤成園）（黒石市）] 金平成園 （かねひらなりえん）とは、 青森県 黒石市 にある 日本庭園 。別名「 澤成園 （ さわなりえん ）」  。 津軽 で盛んであった 大石武学流 の造園を代表する庭園である。国の 名勝 。","https://ja.wikipedia.org/wiki/金平成園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯40度38分36.7秒東経140度35分32.4秒","日本青森県黒石市大字内町4","","","","","","","","5662m2","","","","","日本庭園","","黒石市教育委員会","国指定名勝 盛美園","",""
"瑞楽園","[瑞楽園（弘前市）] 瑞楽園 （ずいらくえん）は、 青森県 弘前市 宮舘 字宮舘沢にある 日本庭園 。流派は大石武学流。国の 名勝 。","https://ja.wikipedia.org/wiki/瑞楽園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","青森県弘前市","","","","","","","","","","","","","","","弘前市","","",""
"平川市","[清藤氏書院庭園（平川市）] ","https://ja.wikipedia.org/wiki/平川市","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯40度35分2.8秒東経140度33分59.3秒","〒036-0104青森県平川市柏木町藤山25-6北緯40度35分2.8秒東経140度33分59.3秒﻿ / ﻿北緯40.584111度 東経140.566472度﻿ /40.584111; 140.566472","","6000020022101","","","","","","346.01km2","","","","","","","","","",""
"盛美園","[盛美園（平川市）] 盛美園 （せいびえん）とは、 青森県 平川市 猿賀石林にある 日本庭園 。 津軽 で盛んであった 大石武学流 の造園を代表する庭園である。国の 名勝 。","https://ja.wikipedia.org/wiki/盛美園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯40度37分0.1秒東経140度34分11.7秒","日本青森県平川市猿賀字石林1","","","","","","","","12,000m2","","","","","日本庭園","","","国指定名勝 盛美園","",""
"種差海岸","[種差海岸（八戸市）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯40度30分41秒 東経141度36分38秒 ﻿ / ﻿ 北緯40.51139度 東経141.61056度 ﻿ / 40.51139; 141.61056","https://ja.wikipedia.org/wiki/種差海岸","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"仏ヶ浦","[仏宇多（仏ヶ浦）（下北郡佐井村）] 仏ヶ浦 （ほとけがうら）は、 青森県 下北半島 西岸の 下北郡 佐井村 南部に所在する 景勝地 。古くは 仏宇陀 （ほとけうた、ほとけうだ）と称した。","https://ja.wikipedia.org/wiki/仏ヶ浦","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
