"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","最新噴火","初登頂","上位山系","最高峰","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"大岳山 (東京都)","[大岳山] 大岳山 （おおだけさん、おおたけさん）は、 東京都 西多摩郡 檜原村 、 奥多摩町 の境界、 奥多摩 山域にある 標高 1,266.5 m の 山 。標高はさして高くないが、個性的な山容を備えた奥多摩の名峰である。 日本二百名山 及び 花の百名山 の一つに数えられる。多様な登山コースがあり、初心者から経験者まで幅広く楽しめる山である。","https://ja.wikipedia.org/wiki/大岳山_(東京都)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度45分54秒東経139度07分49秒","東京都西多摩郡檜原村・奥多摩町","北緯35度45分54秒東経139度07分49秒﻿ / ﻿北緯35.76500度 東経139.13028度﻿ /35.76500; 139.13028座標:北緯35度45分54秒東経139度07分49秒﻿ / ﻿北緯35.76500度 東経139.13028度﻿ /35.76500; 139.13028","1,266.4m","奥多摩","","","","","","","","","","","","","","",""
"白砂山","[白砂山] 白砂山 （しらすなやま）は、 長野県 ・ 新潟県 ・ 群馬県 の3県の境に位置する山である。 標高 は2,139.7m。 日本二百名山 および 越後百山 、 信州百名山 、 ぐんま百名山 に選定されている。","https://ja.wikipedia.org/wiki/白砂山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度44分17秒東経138度41分36秒","日本長野県下水内郡栄村新潟県南魚沼郡湯沢町群馬県吾妻郡中之条町","北緯36度44分17秒東経138度41分36秒﻿ / ﻿北緯36.73806度 東経138.69333度﻿ /36.73806; 138.69333座標:北緯36度44分17秒東経138度41分36秒﻿ / ﻿北緯36.73806度 東経138.69333度﻿ /36.73806; 138.69333","2,139.7m","上信越高原","","","","","","","","","","","","","","",""
"奥白根山","[奥白根山] 日光白根山 （にっこうしらねさん）は、 栃木県 日光市 と 群馬県 利根郡 片品村 の境界にある 標高 2,578mの 山 。","https://ja.wikipedia.org/wiki/奥白根山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度47分55秒東経139度22分33秒","日本栃木県日光市・群馬県利根郡片品村","北緯36度47分55秒東経139度22分33秒﻿ / ﻿北緯36.79861度 東経139.37583度﻿ /36.79861; 139.37583座標:北緯36度47分55秒東経139度22分33秒﻿ / ﻿北緯36.79861度 東経139.37583度﻿ /36.79861; 139.37583","2,578m","日光火山群","溶岩ドーム","","","","","","","","","","","","","",""
"伊予ヶ岳","[伊予ヶ岳] 伊予ヶ岳 （いよがたけ）は、 千葉県 南房総市 にある 山 で、 標高 336.3m。 房総丘陵 の山の一つである。なだらかな山が多い房総の山の中では珍しい岩峰で、 千葉県 内で唯一山名に「 岳 」がつく山である。 関東百名山 に選ばれている。","https://ja.wikipedia.org/wiki/伊予ヶ岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度06分26秒東経139度54分50秒","日本千葉県南房総市","北緯35度06分26秒東経139度54分50秒﻿ / ﻿北緯35.10722度 東経139.91389度﻿ /35.10722; 139.91389座標:北緯35度06分26秒東経139度54分50秒﻿ / ﻿北緯35.10722度 東経139.91389度﻿ /35.10722; 139.91389","336.3m","房総丘陵","","","","","","","","","","","","","","",""
"御前山 (東京都)","[御前山] 御前山 （ごぜんやま）は、 東京都 西多摩郡 奥多摩町 、 檜原村 の境界、奥多摩山域にある 標高 1405mの 山 。","https://ja.wikipedia.org/wiki/御前山_(東京都)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度46分13秒東経139度4分50秒","日本東京都西多摩郡奥多摩町、檜原村","北緯35度46分13秒東経139度4分50秒﻿ / ﻿北緯35.77028度 東経139.08056度﻿ /35.77028; 139.08056座標:北緯35度46分13秒東経139度4分50秒﻿ / ﻿北緯35.77028度 東経139.08056度﻿ /35.77028; 139.08056","1,405m","奥多摩","","","","","","","","","","","","","","",""
"草津白根山","[草津白根山] 草津白根山 （くさつ しらねさん）は、 日本 の 北関東 、 群馬県 吾妻郡 草津町 に所在する 活火山 である。 標高 は2,160 メートル 。正式名称は 白根山 であるが、他の 白根山 と区別する必要のある場合の名称として地域名「 草津 」を冠した 草津白根山 の名で呼ばれる。また、近隣の 逢ノ峰 と 本白根山 を含めた三山の総称とすることもあり、この場合は標高2,171メートルの 本白根山 が 最高峰 となる。一つの火山の山体として捉える際は後者の考え方をとる（特に2018年の本白根山での噴火以降は、後者の意味で扱われることが増えている）。","https://ja.wikipedia.org/wiki/草津白根山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度38分38秒東経138度31分40秒","日本群馬県吾妻郡草津町","北緯36度38分38秒東経138度31分40秒﻿ / ﻿北緯36.64389度 東経138.52778度﻿ /36.64389; 138.52778座標:北緯36度38分38秒東経138度31分40秒﻿ / ﻿北緯36.64389度 東経138.52778度﻿ /36.64389; 138.52778","2,160m","","活火山ランクB・常時観測火山","","","","","","","","","","","","","",""
"女峰山","[女峰山] 女峰山 （にょほうさん）は 日光市 の北側、 男体山 の北東約7km地点にある 標高 2,483mの 成層火山 である。 日光三山 のひとつ。 日本二百名山 のひとつ。","https://ja.wikipedia.org/wiki/女峰山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度48分41秒東経139度32分11秒","日本栃木県日光市","北緯36度48分41秒東経139度32分11秒﻿ / ﻿北緯36.81139度 東経139.53639度﻿ /36.81139; 139.53639座標:北緯36度48分41秒東経139度32分11秒﻿ / ﻿北緯36.81139度 東経139.53639度﻿ /36.81139; 139.53639","2,483m","日光連山","成層火山","","","","","","","","","","","","","",""
"御殿山 (千葉県) (存在しないページ)","[御殿山]","https://ja.wikipedia.org/w/index.php?title=御殿山_(千葉県)&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"三頭山 (東京都)","[三頭山] 三頭山 （みとうさん）は、 東京都 西多摩郡 奥多摩町 ・ 檜原村 、 山梨県 上野原市 、 北都留郡 小菅村 にまたがる 標高 1,531mの 山 。 日本三百名山 、 山梨百名山 の一つに選定されている。古くは山の神々が集まる場所で鹿妻山と呼ばれていた。","https://ja.wikipedia.org/wiki/三頭山_(東京都)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度44分19秒東経139度00分51秒","日本東京都西多摩郡奥多摩町、檜原村山梨県上野原市、北都留郡小菅村","北緯35度44分19秒東経139度00分51秒﻿ / ﻿北緯35.73861度 東経139.01417度﻿ /35.73861; 139.01417座標:北緯35度44分19秒東経139度00分51秒﻿ / ﻿北緯35.73861度 東経139.01417度﻿ /35.73861; 139.01417","1,531m","奥多摩","","","","","","","","","","","","","","",""
"黒斑山","[黒斑山] 黒斑山 （くろふやま）は、 群馬県 嬬恋村 と 長野県 小諸市 にある 浅間山 の第一 外輪山 の 最高峰 である 標高 2,404 m の 山 。","https://ja.wikipedia.org/wiki/黒斑山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度24分19秒東経138度29分19秒","日本群馬県嬬恋村長野県小諸市","北緯36度24分19秒東経138度29分19秒﻿ / ﻿北緯36.40528度 東経138.48861度﻿ /36.40528; 138.48861座標:北緯36度24分19秒東経138度29分19秒﻿ / ﻿北緯36.40528度 東経138.48861度﻿ /36.40528; 138.48861","2,404m","浅間山","馬蹄形カルデラ外輪山","","","","","","","","","","","","","",""
"男体山","[男体山] 男体山 （なんたいさん）は 栃木県 日光市 にある 標高 2,486mの 火山 。山体は 日光国立公園 に属す。 日本百名山 のひとつ。 日光二荒山神社 の境内地で冬季入山禁止（霊峰男体山の登拝期間は、毎年5月5日から10月25日までであったが、2019年より4月25日から11月11日までに延長された）。","https://ja.wikipedia.org/wiki/男体山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度45分54秒東経139度29分27秒","日本栃木県日光市","北緯36度45分54秒東経139度29分27秒﻿ / ﻿北緯36.76500度 東経139.49083度﻿ /36.76500; 139.49083","2,486m","日光連山および日光火山群","成層火山（活火山）","約7,000年前","782年（天応2年）","","","","","","","","","","","",""
"日和田山","[日和田山] 日和田山 （ひわださん）は、 埼玉県 日高市 にある山である。 標高 305m。 奥武蔵 の山の一つ。","https://ja.wikipedia.org/wiki/日和田山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度53分37.3秒東経139度18分17.7秒","日本埼玉県日高市","北緯35度53分37.3秒東経139度18分17.7秒﻿ / ﻿北緯35.893694度 東経139.304917度﻿ /35.893694; 139.304917座標:北緯35度53分37.3秒東経139度18分17.7秒﻿ / ﻿北緯35.893694度 東経139.304917度﻿ /35.893694; 139.304917","305m","奥武蔵","","","","","","","","","","","","","","",""
"浅間嶺 (存在しないページ)","[浅間嶺]","https://ja.wikipedia.org/w/index.php?title=浅間嶺&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯ノ丸山","[湯ノ丸山] 湯ノ丸山 （ゆのまるやま）は 長野県 東御市 ・ 上田市 と 群馬県 嬬恋村 の県境にある 標高 2,101mの山。 烏帽子火山群 の一峰。","https://ja.wikipedia.org/wiki/湯ノ丸山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度26分5秒東経138度24分4秒","日本長野県東御市・上田市群馬県嬬恋村","北緯36度26分5秒東経138度24分4秒﻿ / ﻿北緯36.43472度 東経138.40111度﻿ /36.43472; 138.40111","2,101m","烏帽子火山群","溶岩ドーム","","","","","","","","","","","","","",""
"皇海山","[皇海山] 皇海山 （すかいさん）は、 栃木県 日光市 と 群馬県 沼田市 との境界にある 山 である。 足尾山地 に属する。 標高 2,144m   。 日本百名山 の一つ。約160万～90万年前に活動した  古い 成層火山 だが、侵食が進み、また樹林に覆われ、今日では火山らしい面影はない。","https://ja.wikipedia.org/wiki/皇海山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度41分24秒東経139度20分13秒","日本栃木県日光市・群馬県沼田市","北緯36度41分24秒東経139度20分13秒﻿ / ﻿北緯36.69000度 東経139.33694度﻿ /36.69000; 139.33694座標:北緯36度41分24秒東経139度20分13秒﻿ / ﻿北緯36.69000度 東経139.33694度﻿ /36.69000; 139.33694","2,144m","足尾山地","成層火山","","","","","","","","","","","","","",""
"笠山 (埼玉県)","[笠山] 笠山 （かさやま）は、 埼玉県 比企郡 小川町 と 秩父郡 東秩父村 との境界にある 山 である。","https://ja.wikipedia.org/wiki/笠山_(埼玉県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度01分06.5秒東経139度11分23.5秒","日本埼玉県比企郡小川町・秩父郡東秩父村","北緯36度01分06.5秒東経139度11分23.5秒﻿ / ﻿北緯36.018472度 東経139.189861度﻿ /36.018472; 139.189861座標:北緯36度01分06.5秒東経139度11分23.5秒﻿ / ﻿北緯36.018472度 東経139.189861度﻿ /36.018472; 139.189861","837m","外秩父山地","","","","","","","","","","","","","","",""
"陣馬山","[陣馬山] 陣馬山 （じんばさん）は、 東京都 八王子市 と 神奈川県 相模原市 緑区 との境界にある 標高 854.8mの 山 である。従来は 陣場山 の字が使われた  。","https://ja.wikipedia.org/wiki/陣馬山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度39分08秒東経139度10分00秒","日本東京都八王子市神奈川県相模原市緑区","北緯35度39分08秒東経139度10分00秒﻿ / ﻿北緯35.65222度 東経139.16667度﻿ /35.65222; 139.16667座標:北緯35度39分08秒東経139度10分00秒﻿ / ﻿北緯35.65222度 東経139.16667度﻿ /35.65222; 139.16667","854.8m","奥多摩","","","","","","","","","","","","","","",""
"鼻曲山","[鼻曲山] 鼻曲山 （はなまがりやま）は、 群馬県 高崎市 、 吾妻郡 長野原町 および 長野県 北佐久郡 軽井沢町 との境界にある 山 である。","https://ja.wikipedia.org/wiki/鼻曲山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度24分39秒東経138度38分43秒","群馬県高崎市・吾妻郡長野原町・長野県北佐久郡軽井沢町","北緯36度24分39秒東経138度38分43秒﻿ / ﻿北緯36.41083度 東経138.64528度﻿ /36.41083; 138.64528座標:北緯36度24分39秒東経138度38分43秒﻿ / ﻿北緯36.41083度 東経138.64528度﻿ /36.41083; 138.64528","1,655m","","","","","","","","","","","","","","","",""
"袈裟丸山","[袈裟丸山] 袈裟丸山 （けさまるやま）は 栃木県 日光市 ・ 群馬県 沼田市 と 群馬県 みどり市 にまたがる 山 。 前袈裟丸山 ・ 中袈裟丸山 ・ 後袈裟丸山 ・ 奥袈裟丸山 ・ 法師岳 の総称のこと。一般には前袈裟丸山がこう呼ばれる。標高は1,878 m （前袈裟丸山）。最高点は奥袈裟丸山の標高点1,961 m  。袈裟丸連峰。袈裟丸山は古い 皇海火山 を構成する一峰である  。 日本三百名山 。名所としては 寝釈迦像 が有名。","https://ja.wikipedia.org/wiki/袈裟丸山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度38分17秒東経139度19分43秒","日本栃木県日光市群馬県沼田市・みどり市","北緯36度38分17秒東経139度19分43秒﻿ / ﻿北緯36.63806度 東経139.32861度﻿ /36.63806; 139.32861座標:北緯36度38分17秒東経139度19分43秒﻿ / ﻿北緯36.63806度 東経139.32861度﻿ /36.63806; 139.32861","1,961m","","火山岩（皇海火山の一部）","","","","","","","","","","","","","",""
"大霧山","[大霧山] 大霧山 （おおぎりやま）は、 埼玉県 秩父郡 皆野町 と 秩父郡 東秩父村 の境に位置する標高766.6mの山。","https://ja.wikipedia.org/wiki/大霧山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度02分03.5秒東経139度09分23.5秒","日本埼玉県秩父郡皆野町、東秩父村","北緯36度02分03.5秒東経139度09分23.5秒﻿ / ﻿北緯36.034306度 東経139.156528度﻿ /36.034306; 139.156528座標:北緯36度02分03.5秒東経139度09分23.5秒﻿ / ﻿北緯36.034306度 東経139.156528度﻿ /36.034306; 139.156528","766.6m","","","","","","","","","","","","","","","",""
"高尾山","[高尾山] 高尾山 （たかおさん  ）は、 東京都 八王子市 にある 標高 599 メートル （m）の 山 。 明治の森高尾国定公園 及び 東京都立高尾陣場自然公園 に位置  。東京 都心 から近く、年間を通じて多くの 観光 客や 登山 者が訪れる。古くから 修験道 の 霊山 とされた。","https://ja.wikipedia.org/wiki/高尾山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度37分31秒東経139度14分37秒","日本東京都八王子市高尾町","北緯35度37分31秒東経139度14分37秒﻿ / ﻿北緯35.62528度 東経139.24361度﻿ /35.62528; 139.24361座標:北緯35度37分31秒東経139度14分37秒﻿ / ﻿北緯35.62528度 東経139.24361度﻿ /35.62528; 139.24361","599.3m","関東山地（秩父山地）","","","","","","","","","","","","","","",""
"浅間隠山","[浅間隠山] 浅間隠山 （あさまかくしやま）は、 群馬県 吾妻郡 東吾妻町 と 長野原町 の境にある山。標高1,757m。","https://ja.wikipedia.org/wiki/浅間隠山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度27分13秒東経138度39分09秒","日本群馬県吾妻郡東吾妻町・長野原町","北緯36度27分13秒東経138度39分09秒﻿ / ﻿北緯36.45361度 東経138.65250度﻿ /36.45361; 138.65250座標:北緯36度27分13秒東経138度39分09秒﻿ / ﻿北緯36.45361度 東経138.65250度﻿ /36.45361; 138.65250","1,757m","","","","","","","","","","","","","","","",""
"根本山","[根本山] 根本山 （ねもとさん）は、 栃木県 と 群馬県 に跨がる 山 。標高1,199m。栃木百名山・ぐんま百名山の一つ  。","https://ja.wikipedia.org/wiki/根本山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度32分59.4秒東経139度27分3.4秒","日本栃木県佐野市群馬県桐生市・みどり市","北緯36度32分59.4秒東経139度27分3.4秒﻿ / ﻿北緯36.549833度 東経139.450944度﻿ /36.549833; 139.450944座標:北緯36度32分59.4秒東経139度27分3.4秒﻿ / ﻿北緯36.549833度 東経139.450944度﻿ /36.549833; 139.450944","1,199m","足尾山地","","","","","","","","","","","","","","",""
"鐘撞堂山 (存在しないページ)","[鐘撞堂山]","https://ja.wikipedia.org/w/index.php?title=鐘撞堂山&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"棒ノ嶺","[棒ノ嶺] 棒ノ折山 （ぼうのおれやま）は、 東京都 西多摩郡 奥多摩町 と 埼玉県 飯能市 との境にある 標高 969mの山である。 奥多摩 と 奥武蔵 の山域の境にある。","https://ja.wikipedia.org/wiki/棒ノ嶺","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度51分31秒東経139度09分18秒","東京都西多摩郡奥多摩町埼玉県飯能市","北緯35度51分31秒東経139度09分18秒﻿ / ﻿北緯35.85861度 東経139.15500度﻿ /35.85861; 139.15500座標:北緯35度51分31秒東経139度09分18秒﻿ / ﻿北緯35.85861度 東経139.15500度﻿ /35.85861; 139.15500","969m","奥多摩、奥武蔵","","","","","","","","","","","","","","",""
"妙義山","[妙義山] 妙義山 （みょうぎさん）は、 群馬県 甘楽郡 下仁田町 ・ 富岡市 ・ 安中市 の境界に位置する 日本三大奇景 の一つとされる 山 である。いくつものピークから成り、最高峰は表妙義稜線上の 相馬岳 (1,103.8m)で、また妙義山系全体の最高峰は裏妙義に聳える 谷急山 (1,162.1m)となっている。","https://ja.wikipedia.org/wiki/妙義山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度17分55秒東経138度44分56秒","群馬県甘楽郡下仁田町・富岡市・安中市","北緯36度17分55秒東経138度44分56秒﻿ / ﻿北緯36.29861度 東経138.74889度﻿ /36.29861; 138.74889座標:北緯36度17分55秒東経138度44分56秒﻿ / ﻿北緯36.29861度 東経138.74889度﻿ /36.29861; 138.74889","1,103.8m","","","","","","","","","","","","","","","",""
"古峰ヶ原 (存在しないページ)","[古峰ヶ原]","https://ja.wikipedia.org/w/index.php?title=古峰ヶ原&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"城峯山","[城峯山] 城峯山 （じょうみねさん）は、 埼玉県 秩父市 、 秩父郡 皆野町 と 児玉郡 神川町 の境界にある 標高 1,037.7mの 山 である。しばしば「城峰山」とも書かれるが、 国土地理院 発行の 地形図 では城峯山と表記されている。","https://ja.wikipedia.org/wiki/城峯山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度05分51.2秒東経139度00分27.5秒","日本埼玉県秩父市・秩父郡皆野町・児玉郡神川町","北緯36度05分51.2秒東経139度00分27.5秒﻿ / ﻿北緯36.097556度 東経139.007639度﻿ /36.097556; 139.007639座標:北緯36度05分51.2秒東経139度00分27.5秒﻿ / ﻿北緯36.097556度 東経139.007639度﻿ /36.097556; 139.007639","1,037.7m","","","","","","","","","","","","","","","",""
