"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","製造所","編成","電気方式","最高運転速度","車両定員"
"愛山駅","[愛山駅（あいざんえき）] 愛山駅 （あいざんえき）は、 北海道 上川郡 愛別町 字愛山にある 北海道旅客鉄道 （JR北海道） 石北本線 の 駅 である。 駅番号 は A40 。","https://ja.wikipedia.org/wiki/愛山駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯43度51分59.15秒東経142度40分51秒","■石北本線","36.0 km（新旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1960年（昭和35年）5月2日","1面1線","北海道上川郡愛別町字愛山北緯43度51分59.15秒東経142度40分51秒﻿ / ﻿北緯43.8664306度 東経142.68083度﻿ /43.8664306; 142.68083座標:北緯43度51分59.15秒東経142度40分51秒﻿ / ﻿北緯43.8664306度 東経142.68083度﻿ /43.8664306; 142.68083","無人駅","イサ","○A40","","10人/日-2014年-","","","","","","",""
"愛大医学部南口駅","[愛大医学部南口駅（あいだいいがくぶみなみぐちえき）] 愛大医学部南口駅 （あいだいいがくぶみなみぐちえき）は、 愛媛県 東温市 にある 伊予鉄道横河原線 の 駅 である。駅番号は IY23 。略称 医学部駅  。","https://ja.wikipedia.org/wiki/愛大医学部南口駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度47分52.2秒東経132度52分43.17秒","横河原線","12.4 km（松山市起点）","伊予鉄道","地上駅","1981年8月10日","片式1面1線","愛媛県東温市志津川936北緯33度47分52.2秒東経132度52分43.17秒﻿ / ﻿北緯33.797833度 東経132.8786583度﻿ /33.797833; 132.8786583﻿ (愛大医学部南口駅)","","","●IY23","","1,316人/日-2019年-","","","","","","",""
"愛・地球博記念公園駅","[愛・地球博記念公園駅（あい・ちきゅうはくきねんこうえんえき）] 愛・地球博記念公園駅 （あい・ちきゅうはくきねんこうえんえき）は、 愛知県 長久手市 茨ヶ廻間にある、 愛知高速交通 東部丘陵線（リニモ） の 駅 である。駅番号は L07 。","https://ja.wikipedia.org/wiki/愛・地球博記念公園駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度10分39秒東経137度5分15秒","■東部丘陵線（リニモ）","7.0 km（藤が丘起点）","愛知高速交通","高架駅","2005年（平成17年）3月6日","2面3線","愛知県長久手市茨ヶ廻間北緯35度10分39秒東経137度5分15秒﻿ / ﻿北緯35.17750度 東経137.08750度﻿ /35.17750; 137.08750座標:北緯35度10分39秒東経137度5分15秒﻿ / ﻿北緯35.17750度 東経137.08750度﻿ /35.17750; 137.08750","シンボルマーク：*2006年（平成18年）4月1日、万博会場駅から改称。","","L07","2,358人/日（降車客含まず）-2019年-","4,740人/日-2019年-","","","","","","",""
"愛知大学前駅","[愛知大学前駅（あいちだいがくまええき）] 愛知大学前駅 （あいちだいがくまええき）は、 愛知県 豊橋市 北丘町1番地1にある 豊橋鉄道 渥美線 の 駅 である。駅番号は 4 。","https://ja.wikipedia.org/wiki/愛知大学前駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度44分29.8秒東経137度23分8.7秒","渥美線","2.5 km（新豊橋起点）","豊橋鉄道","地上駅","1924年（大正13年）4月25日","1面1線","愛知県豊橋市北丘町1番地の1北緯34度44分29.8秒東経137度23分8.7秒﻿ / ﻿北緯34.741611度 東経137.385750度﻿ /34.741611; 137.385750座標:北緯34度44分29.8秒東経137度23分8.7秒﻿ / ﻿北緯34.741611度 東経137.385750度﻿ /34.741611; 137.385750","駅員時間配置駅7:45〜18:00(愛知大学開校日)",""," 4 ","2,531人/日（降車客含まず）-2019年-","5,111人/日-2019年-","","","","","","",""
"愛知御津駅","[愛知御津駅（あいちみとえき）] 愛知御津駅 （あいちみとえき）は、 愛知県 豊川市 御津町西方松本にある、 東海旅客鉄道 （JR東海） 東海道本線 の 駅 である。 駅番号 は CA44 。","https://ja.wikipedia.org/wiki/愛知御津駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度48分46.036秒東経137度18分59.500秒","CA東海道本線（名古屋地区）","302.1 km（東京起点）","東海旅客鉄道（JR東海）","地上駅","1888年（明治21年）9月1日","2面3線","愛知県豊川市御津町西方松本北緯34度48分46.036秒東経137度18分59.500秒﻿ / ﻿北緯34.81278778度 東経137.31652778度﻿ /34.81278778; 137.31652778座標:北緯34度48分46.036秒東経137度18分59.500秒﻿ / ﻿北緯34.81278778度 東経137.31652778度﻿ /34.81278778; 137.31652778","駅員無配置駅（自動券売機 有）集中旅客サービスシステム導入駅*1948年に御油駅から改称。","アミ","CA  44 ","1,375人/日（降車客含まず）-2019年-","","","","","","","",""
"会津荒海駅","[会津荒海駅（あいづあらかいえき）] 会津荒海駅 （あいづあらかいえき）は、 福島県 南会津郡 南会津町 関本字百一にある 会津鉄道会津線 の 駅 である。","https://ja.wikipedia.org/wiki/会津荒海駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度9分11.9秒 東経139度44分1.2秒","会津線","49.2 km（西若松起点）","会津鉄道","地上駅","1947年（昭和22年）12月12日","2面2線","","","アラ","","38人/日（降車客含まず）-2015年-","","","","","","","",""
"会津大塩駅","[会津大塩駅（あいづおおしおえき）] 会津大塩駅 （あいづおおしおえき）は、 福島県 大沼郡 金山町 大字大塩にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津大塩駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度23分34.1秒東経139度24分47.1秒","■只見線","75.4 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1965年（昭和40年）2月1日","1面1線","福島県大沼郡金山町大字大塩北緯37度23分34.1秒東経139度24分47.1秒﻿ / ﻿北緯37.392806度 東経139.413083度﻿ /37.392806; 139.413083座標:北緯37度23分34.1秒東経139度24分47.1秒﻿ / ﻿北緯37.392806度 東経139.413083度﻿ /37.392806; 139.413083","無人駅","アオ","","11人/日（降車客含まず）-2004年-","","","","","","","",""
"会津蒲生駅","[会津蒲生駅（あいづがもうえき）] 会津蒲生駅 （あいづがもうえき）は、 福島県 南会津郡 只見町 大字蒲生字久保にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津蒲生駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度22分54.4秒 東経139度20分0.0秒","■只見線","83.9 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1963年（昭和38年）8月20日","1面1線","","無人駅","カモ","","0人/日（降車客含まず）-2004年-","","","","","","","",""
"会津川口駅","[会津川口駅（あいづかわぐちえき）] 会津川口駅 （あいづかわぐちえき）は、 福島県 大沼郡 金山町 大字川口字森ノ上にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津川口駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度27分18.3秒 東経139度31分26.0秒","■只見線","60.8 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1956年（昭和31年）9月20日","1面2線","","直営駅POS端末設置","カワ","","37人/日（降車客含まず）-2020年-","","","","","","","",""
"相月駅","[相月駅（あいづきえき）] 相月駅 （あいづきえき）は、 静岡県 浜松市 天竜区 佐久間町相月にある、 東海旅客鉄道 （JR東海） 飯田線 の 駅 である  。","https://ja.wikipedia.org/wiki/相月駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度6分53.99秒東経137度51分15.46秒","CD飯田線","68.5 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1955年（昭和30年）11月11日","1面1線","浜松市天竜区佐久間町相月883北緯35度6分53.99秒東経137度51分15.46秒﻿ / ﻿北緯35.1149972度 東経137.8542944度﻿ /35.1149972; 137.8542944座標:北緯35度6分53.99秒東経137度51分15.46秒﻿ / ﻿北緯35.1149972度 東経137.8542944度﻿ /35.1149972; 137.8542944","駅員無配置駅","ツキ","","7人/日（降車客含まず）-2019年-","","","","","","","",""
"会津高原尾瀬口駅","[会津高原尾瀬口駅（あいづこうげんおぜぐちえき）] 会津高原尾瀬口駅 （あいづこうげんおぜぐちえき）は、 福島県 南会津郡 南会津町 滝原（たきのはら）字羽根子にある 会津鉄道 ・ 野岩鉄道 の 駅 。","https://ja.wikipedia.org/wiki/会津高原尾瀬口駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度5分24.1秒 東経139度42分18.4秒","■会津鉄道会津線","57.4 km（西若松起点）","会津鉄道野岩鉄道","地上駅","1953年（昭和28年）11月8日","1面2線","","共同使用駅（会津鉄道の管轄駅）","コケ（会津鉄道）・アコ（野岩鉄道）","","（会津鉄道）-2015年-36人/日（降車客含まず）（野岩鉄道）-2015年-224人/日（降車客含まず）","","","","","","","",""
"会津越川駅","[会津越川駅（あいづこすがわえき）] 会津越川駅 （あいづこすがわえき）は、 福島県 大沼郡 金山町 大字越川字中屋敷にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津越川駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度23分55.3秒 東経139度28分9.9秒","■只見線","70.0 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1965年（昭和40年）2月1日","1面1線","","無人駅","アス","","5人/日（降車客含まず）-2004年-","","","","","","","",""
"会津坂本駅","[会津坂本駅（あいづさかもとえき）] 会津坂本駅 （あいづさかもとえき）は、 福島県 河沼郡 会津坂下町 大字坂本字上新田丁（かみしんでんてい）にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津坂本駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度33分11.6秒 東経139度45分23.4秒","■只見線","29.7 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1928年（昭和3年）11月20日","1面1線","","無人駅","アモ","","33人/日（降車客含まず）-2004年-","","","","","","","",""
"会津山村道場駅","[会津山村道場駅（あいづさんそんどうじょうえき）] 会津山村道場駅 （あいづさんそんどうじょうえき）は、 福島県 南会津郡 南会津町 糸沢字今泉平にある 会津鉄道会津線 の 駅 である。","https://ja.wikipedia.org/wiki/会津山村道場駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度8分41.2秒 東経139度43分55.3秒","会津線","50.1 km（西若松起点）","会津鉄道","地上駅","2001年（平成13年）7月19日","1面1線","","","サン","","8人/日（降車客含まず）-2015年-","","","","","","","",""
"会津塩沢駅","[会津塩沢駅（あいづしおざわえき）] 会津塩沢駅 （あいづしおざわえき）は、 福島県 南会津郡 只見町 大字塩沢字上田にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津塩沢駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度23分36.9秒 東経139度21分18.4秒","■只見線","80.9 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1965年（昭和40年）2月1日","1面1線","","無人駅","ツシ","","0人/日（降車客含まず）-2004年-","","","","","","","",""
"会津下郷駅","[会津下郷駅（あいづしもごうえき）] 会津下郷駅 （あいづしもごうえき）は、 福島県 南会津郡 下郷町 大字豊成字下モにある 会津鉄道会津線 の 駅 である。","https://ja.wikipedia.org/wiki/会津下郷駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度15分18.7秒 東経139度51分53.9秒","会津線","31.1 km（西若松起点）","会津鉄道","地上駅","1934年（昭和9年）12月27日","1面2線","","簡易委託駅","ララ（転換前）、シモ","","98人/日（降車客含まず）-2015年-","","","","","","","",""
"会津高田駅","[会津高田駅（あいづたかだえき）] 会津高田駅 （あいづたかだえき）は、 福島県 大沼郡 会津美里町 字柳台甲にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津高田駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度28分14.3秒 東経139度50分29.5秒","■只見線","11.3 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1926年（大正15年）10月15日","1面1線","","無人駅","タタ","","312人/日（降車客含まず）-2004年-","","","","","","","",""
"会津田島駅","[会津田島駅（あいづたじまえき）] 会津田島駅 （あいづたじまえき）は、 福島県 南会津郡 南会津町 田島字西番場甲にある 会津鉄道会津線 の 駅 である。当駅を境に 会津高原尾瀬口 方面は 電化区間 、 西若松 方面は非電化区間である。","https://ja.wikipedia.org/wiki/会津田島駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度12分11.7秒 東経139度46分27.4秒","会津線","42.0 km（西若松起点）","会津鉄道","地上駅","1934年（昭和9年）12月27日","2面4線","","直営駅当駅を境に会津高原尾瀬口駅方面は電化区間、西若松駅方面は非電化区間である。","ツマ","","260人/日（降車客含まず）-2015年-","","","","","","","",""
"会津豊川駅","[会津豊川駅（あいづとよかわえき）] 会津豊川駅 （あいづとよかわえき）は、 福島県 喜多方市 豊川町一井字三百刈（さんびゃくがり）にある、 東日本旅客鉄道 （JR東日本） 磐越西線 の 駅 である  。","https://ja.wikipedia.org/wiki/会津豊川駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度37分59.51秒 東経139度52分36.63秒","■磐越西線","79.5 km（郡山起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）11月1日","1面1線","","無人駅","アヨ","","8人/日（降車客含まず）-2004年-","","","","","","","",""
"会津中川駅","[会津中川駅（あいづなかがわえき）] 会津中川駅 （あいづなかがわえき）は、 福島県 大沼郡 金山町 大字中川字坂下にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津中川駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度28分25.2秒東経139度31分55.5秒","■只見線","58.3 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1956年（昭和31年）9月20日","1面1線","福島県大沼郡金山町大字中川字坂下北緯37度28分25.2秒東経139度31分55.5秒﻿ / ﻿北緯37.473667度 東経139.532083度﻿ /37.473667; 139.532083座標:北緯37度28分25.2秒東経139度31分55.5秒﻿ / ﻿北緯37.473667度 東経139.532083度﻿ /37.473667; 139.532083","無人駅","ナカ","","5人/日（降車客含まず）-2004年-","","","","","","","",""
"会津長野駅","[会津長野駅（あいづながのえき）] 会津長野駅 （あいづながのえき）は、 福島県 南会津郡 南会津町 長野字下谷地にある 会津鉄道会津線 の 駅 である。","https://ja.wikipedia.org/wiki/会津長野駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度12分54.8秒 東経139度49分25.9秒","会津線","37.3 km（西若松起点）","会津鉄道","地上駅","1934年（昭和9年）12月27日","1面1線","","","ナノ","","5人/日（降車客含まず）-2015年-","","","","","","","",""
"会津西方駅","[会津西方駅（あいづにしかたえき）] 会津西方駅 （あいづにしかたえき）は、 福島県 大沼郡 三島町 大字名入（ないり）字根岸居平（ねぎしいだいら）にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津西方駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度28分51.3秒 東経139度39分41.3秒","■只見線","43.7 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1941年（昭和16年）10月28日","1面1線","","無人駅","シカ","","5人/日（降車客含まず）-2004年-","","","","","","","",""
"会津坂下駅","[会津坂下駅（あいづばんげえき）] 会津坂下駅 （あいづばんげえき）は、 福島県 河沼郡 会津坂下町 字五反田にある、 東日本旅客鉄道 （JR東日本） 只見線 の 駅 である。","https://ja.wikipedia.org/wiki/会津坂下駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯37度33分24.1秒 東経139度49分17.5秒","■只見線","21.6 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1926年（大正15年）10月15日","2面2線","","直営駅みどりの窓口有","ハン","","355人/日（降車客含まず）-2019年-","","","","","","","",""
