"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜"
"筑後大石駅","筑後大石駅（ちくごおおいしえき）","https://ja.wikipedia.org/wiki/筑後大石駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度20分50.51秒東経130度48分57.01秒","■久大本線","33.0 km（久留米が、起点）","九州旅客鉄道（JR九州）","福岡県うきは市浮羽町高見[1]北緯33度20分50.51秒東経130度48分57.01秒","地上駅","1931年（昭和6年）7月11日[2]","1面1線[1]","簡易委託駅(駅舎外発券)[1]","","ホイ","","","","","","","","",""
"筑後草野駅","筑後草野駅（ちくごくさのえき）","https://ja.wikipedia.org/wiki/筑後草野駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度19分19.35秒東経130度38分31.62秒","■久大本線","15.7 km（久留米起点）","九州旅客鉄道（JR九州）","福岡県久留米市草野町紅桃林[1]北緯33度19分19.35秒東経130度38分31.62秒","地上駅","1928年（昭和3年）12月24日[2]","2面2線[1]","無人駅[1]","","チサ","120人/日（降車客含まず）-2016年-","241人/日-2016年-","","","","","","",""
"筑後船小屋駅","筑後船小屋駅（ちくごふなごやえき）","https://ja.wikipedia.org/wiki/筑後船小屋駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度10分40.5秒東経130度29分32.6秒","九州新幹線（鹿児島ルート）","51.5km（博多起点）新大阪から673.8 km","九州旅客鉄道（JR九州）","福岡県筑後市大字津島字東1088-2[1][2]北緯33度10分40.5秒東経130度29分32.6秒﻿ / ﻿北緯33.177917度 東経130.492389度﻿ /33.177917; 130.492389﻿ (九州新幹線 筑後船小屋駅)座標:北緯33度10分40.5秒東経130度29分32.6秒﻿ / ﻿北緯33.177917度 東経130.492389度﻿ /33.177917; 130.492389﻿ (九州新幹線 筑後船小屋駅)（新幹線）福岡県筑後市大字津島字東1101-4北緯33度10分41秒東経130度29分29.5秒﻿ / ﻿北緯33.17806度 東経130.491528度﻿ /33.17806; 130.491528﻿ (鹿児島本線 筑後船小屋駅)（在来線）","高架駅（新幹線）地上駅（在来線）","1928年（昭和3年）7月20日*","2面3線（新幹線）[1]2面2線（在来線）[1]","新幹線：直営駅在来線：業務委託駅[2]みどりの窓口有[1][3]","JB  21 ","コヤ","1,154人/日（降車客含まず）-2019年-","","","","","","","",""
"筑後吉井駅","筑後吉井駅（ちくごよしいえき）","https://ja.wikipedia.org/wiki/筑後吉井駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度20分27.59秒東経130度45分7.91秒","■久大本線","26.4 km（久留米起点）","九州旅客鉄道（JR九州）","福岡県うきは市吉井町199[1][2]北緯33度20分27.59秒東経130度45分7.91秒","地上駅","1928年（昭和3年）12月24日[4]","2面3線[1]","業務委託駅[2]","","チヨ←チヨシ","511人[3]人/日（降車客含まず）-2018年-","","","","","","","",""
"千種駅","千種駅（ちくさえき）","https://ja.wikipedia.org/wiki/千種駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","東海旅客鉄道（JR東海・駅詳細）名古屋市交通局（駅詳細）","名古屋市千種区・東区","","","","","","","","","","","","","","",""
"筑紫駅","筑紫駅（ちくしえき）","https://ja.wikipedia.org/wiki/筑紫駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度27分46.2秒東経130度33分11.15秒","■天神大牟田線","20.8 km（西鉄福岡（天神）起点）","西日本鉄道","福岡県筑紫野市大字筑紫北緯33度27分46.2秒東経130度33分11.15秒﻿ / ﻿北緯33.462833度 東経130.5530972度﻿ /33.462833; 130.5530972座標:北緯33度27分46.2秒東経130度33分11.15秒﻿ / ﻿北緯33.462833度 東経130.5530972度﻿ /33.462833; 130.5530972","地上駅","1924年（大正13年）4月12日","2面4線","","T  17 ","","","6,821人/日-2019年-","","","","","","",""
"筑前岩屋駅","筑前岩屋駅（ちくぜんいわやえき）","https://ja.wikipedia.org/wiki/筑前岩屋駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度25分51.16秒東経130度52分53.32秒","■日田彦山線","55.1 km（城野起点）","九州旅客鉄道（JR九州）","福岡県朝倉郡東峰村大字宝珠山[1]4014北緯33度25分51.16秒東経130度52分53.32秒","地上駅","1956年（昭和31年）3月15日[1]","1面1線[1]","無人駅[1]","","チイ","","","","","","","","",""
"筑前植木駅","筑前植木駅（ちくぜんうえきえき）","https://ja.wikipedia.org/wiki/筑前植木駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度46分35.35秒東経130度42分30.49秒","JC筑豊本線[1]（福北ゆたか線）","21.2 km（若松起点）","九州旅客鉄道（JR九州）[1]","福岡県直方市大字植木[2]1182-1-2北緯33度46分35.35秒東経130度42分30.49秒﻿ / ﻿北緯33.7764861度 東経130.7084694度﻿ /33.7764861; 130.7084694﻿ (筑前植木駅*)","地上駅","1893年（明治26年）12月20日[2]","2面2線[2]","無人駅[1]駅集中管理システム（Smart Support Station）採用*1897年に植木駅から改称[2]。","JC  21 ","チク","547人/日（降車客含まず）-2019年-","","","","","","","",""
"筑前内野駅","筑前内野駅（ちくぜんうちのえき）","https://ja.wikipedia.org/wiki/筑前内野駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度32分24.19秒東経130度38分17.16秒","JG筑豊本線（原田線）","51.2 km（若松起点）","九州旅客鉄道（JR九州）","福岡県飯塚市内野小深田[1]7001北緯33度32分24.19秒東経130度38分17.16秒﻿ / ﻿北緯33.5400528度 東経130.6381000度﻿ /33.5400528; 130.6381000﻿ (筑前内野駅)","地上駅","1928年（昭和3年）7月15日[1][2]","1面1線[1]","無人駅[1]","JG  03 ","チチ","11人/日（降車客含まず）-2016年-","22人/日-2016年-","","","","","","",""
"筑前庄内駅","筑前庄内駅（ちくぜんしょうないえき）","https://ja.wikipedia.org/wiki/筑前庄内駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度36分59.43秒東経130度44分18.31秒","JJ後藤寺線","7.1 km（田川後藤寺起点）","九州旅客鉄道（JR九州）","福岡県飯塚市赤坂[1]786北緯33度36分59.43秒東経130度44分18.31秒","地上駅","1926年（大正15年）7月15日[1]","1面1線[1]","簡易委託駅[1]","JJ  04 ","クセ","27人/日（降車客含まず）-2016年-","57人/日-2016年-","","","","","","",""
"地区センター駅","地区センター駅（ちくセンターえき）","https://ja.wikipedia.org/wiki/地区センター駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度43分33.4秒東経140度9分18.8秒","■ユーカリが丘線","0.6 km（ユーカリが丘起点）","山万","千葉県佐倉市ユーカリが丘四丁目3番1号北緯35度43分33.4秒東経140度9分18.8秒﻿ / ﻿北緯35.725944度 東経140.155222度﻿ /35.725944; 140.155222座標:北緯35度43分33.4秒東経140度9分18.8秒﻿ / ﻿北緯35.725944度 東経140.155222度﻿ /35.725944; 140.155222","高架駅","1992年（平成4年）12月3日[1]","単式 1面1線","無人駅","","","","","","","152人/日（降車客含まず）-2018年-","","","",""
"筑前大分駅","筑前大分駅（ちくぜんだいぶえき）","https://ja.wikipedia.org/wiki/筑前大分駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度35分24.61秒東経130度37分46.70秒","JC篠栗線（福北ゆたか線）","3.2 km（桂川起点）","九州旅客鉄道（JR九州）","福岡県飯塚市大分6008-1北緯33度35分24.61秒東経130度37分46.70秒﻿ / ﻿北緯33.5901694度 東経130.6296389度﻿ /33.5901694; 130.6296389座標:北緯33度35分24.61秒東経130度37分46.70秒﻿ / ﻿北緯33.5901694度 東経130.6296389度﻿ /33.5901694; 130.6296389","地上駅","1968年（昭和43年）5月25日[1]","2面2線","業務委託駅POS端末設置","JC  10 ","タフ","678人/日（降車客含まず）-2019年-","","","","","","","",""
"筑前垣生駅","筑前垣生駅（ちくぜんはぶえき）","https://ja.wikipedia.org/wiki/筑前垣生駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度49分5.28秒東経130度42分6.36秒","JC筑豊本線（福北ゆたか線）","16.4 km（若松起点）","九州旅客鉄道（JR九州）","福岡県中間市大字垣生[1]360北緯33度49分5.28秒東経130度42分6.36秒﻿ / ﻿北緯33.8181333度 東経130.7017667度﻿ /33.8181333; 130.7017667﻿ (筑前垣生駅)","地上駅","1935年（昭和10年）4月26日[1][2]","1面2線[1]","無人駅（自動券売機 有）[3]駅集中管理システム（Smart Support Station）採用","JC  23 ","ハフ←ハブ","414人/日（降車客含まず）-2018年-","","","","413人/日（降車客含まず）-2018年-","","","",""
"筑前深江駅","筑前深江駅（ちくぜんふかええき）","https://ja.wikipedia.org/wiki/筑前深江駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度30分54.4秒東経130度8分21.53秒","JK筑肥線","20.1 km（姪浜起点）","九州旅客鉄道（JR九州）","福岡県糸島市二丈深江1054-2北緯33度30分54.4秒東経130度8分21.53秒﻿ / ﻿北緯33.515111度 東経130.1393139度﻿ /33.515111; 130.1393139﻿ (筑前深江駅)","地上駅","1924年（大正13年）4月1日","1面2線","業務委託駅[1]","JK  12 ","チフ","883人/日（降車客含まず）-2019年-","","","","","","","",""
"筑前前原駅","筑前前原駅（ちくぜんまえばるえき）","https://ja.wikipedia.org/wiki/筑前前原駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度33分25.51秒東経130度11分57.55秒","JK筑肥線","12.7 km（姪浜起点）","九州旅客鉄道（JR九州）","福岡県糸島市前原中央一丁目1-15北緯33度33分25.51秒東経130度11分57.55秒﻿ / ﻿北緯33.5570861度 東経130.1993194度﻿ /33.5570861; 130.1993194座標:北緯33度33分25.51秒東経130度11分57.55秒﻿ / ﻿北緯33.5570861度 東経130.1993194度﻿ /33.5570861; 130.1993194","地上駅（橋上駅）","1924年（大正13年）4月1日","2面4線","直営駅みどりの窓口有*1937年に前原駅から改称。","JK  08 ","マエ←マヱ","7,095人/日（降車客含まず）-2019年-","","","","","","","",""
"筑前山家駅","筑前山家駅（ちくぜんやまええき）","https://ja.wikipedia.org/wiki/筑前山家駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度28分38.46秒東経130度34分25.69秒","JG筑豊本線（原田線）","61.4 km（若松起点）","九州旅客鉄道（JR九州）","福岡県筑紫野市大字山家[1]4928北緯33度28分38.46秒東経130度34分25.69秒﻿ / ﻿北緯33.4773500度 東経130.5738028度﻿ /33.4773500; 130.5738028﻿ (筑前山家駅)","地上駅","1929年（昭和4年）12月7日[1][2]","1面1線[1]","無人駅[1]","JG  04 ","チエ←チヱ","25人/日（降車客含まず）-2016年-","47人/日-2016年-","","","","","","",""
"筑前山手駅","筑前山手駅（ちくぜんやまてえき）","https://ja.wikipedia.org/wiki/筑前山手駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度37分19.70秒東経130度33分26.27秒","JC篠栗線（福北ゆたか線）","11.7 km（桂川起点）","九州旅客鉄道（JR九州）","福岡県糟屋郡篠栗町大字篠栗2279北緯33度37分19.70秒東経130度33分26.27秒﻿ / ﻿北緯33.6221389度 東経130.5572972度﻿ /33.6221389; 130.5572972座標:北緯33度37分19.70秒東経130度33分26.27秒﻿ / ﻿北緯33.6221389度 東経130.5572972度﻿ /33.6221389; 130.5572972","高架駅","1968年（昭和43年）5月25日[1]","1面1線","無人駅（自動券売機 有）","JC  07 ","ヤテ","","","","","","","","",""
"千国駅","千国駅（ちくにえき）","https://ja.wikipedia.org/wiki/千国駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度45分47.84秒東経137度54分3.03秒","■大糸線","68.7 km（松本起点）","東日本旅客鉄道（JR東日本）","長野県北安曇郡小谷村大字千国[1]北緯36度45分47.84秒東経137度54分3.03秒﻿ / ﻿北緯36.7632889度 東経137.9008417度﻿ /36.7632889; 137.9008417座標:北緯36度45分47.84秒東経137度54分3.03秒﻿ / ﻿北緯36.7632889度 東経137.9008417度﻿ /36.7632889; 137.9008417","地上駅","1962年（昭和37年）12月25日[2]","1面1線[1]","無人駅[1]1961年に仮乗降場として設置[1]。標高：539.6m[1]","□10[報道 1]","クニ[1]","2人/日（降車客含まず）-2011年-","","","","","","","",""
"筑豊香月駅","筑豊香月駅（ちくほうかつきえき）","https://ja.wikipedia.org/wiki/筑豊香月駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度47分58.89秒東経130度43分7.44秒","筑豊電気鉄道線","10.2 km（黒崎駅前起点）","筑豊電気鉄道","北九州市八幡西区楠北三丁目2491-2北緯33度47分58.89秒東経130度43分7.44秒","地上駅","1958年（昭和33年）4月29日","2面2線","無人駅","CK 15","","","571人/日-2019年-","","","","","","",""
"筑豊中間駅","筑豊中間駅（ちくほうなかまえき）","https://ja.wikipedia.org/wiki/筑豊中間駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度48分59.73秒東経130度42分59.75秒","筑豊電気鉄道線","7.9 km（黒崎駅前起点）","筑豊電気鉄道","福岡県中間市東中間一丁目3372-3北緯33度48分59.73秒東経130度42分59.75秒","高架駅","1956年（昭和31年）3月21日","2面2線","無人駅","CK 13","","","874人/日-2019年-","","","","","","",""
"筑豊直方駅","筑豊直方駅（ちくほうのおがたえき）","https://ja.wikipedia.org/wiki/筑豊直方駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度45分12.52秒東経130度43分33.62秒","筑豊電気鉄道線","16.0 km（黒崎駅前起点）","筑豊電気鉄道","福岡県直方市知古一丁目325-2北緯33度45分12.52秒東経130度43分33.62秒","高架駅","1959年（昭和34年）9月18日","2面2線","無人駅","CK 21","","","908人/日-2019年-","","","","","","",""
"千曲駅","千曲駅（ちくまえき）","https://ja.wikipedia.org/wiki/千曲駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度30分32.81秒東経138度8分29.03秒","■しなの鉄道線","57.1 km（軽井沢起点）","しなの鉄道","長野県千曲市大字寂蒔[1]200北緯36度30分32.81秒東経138度8分29.03秒﻿ / ﻿北緯36.5091139度 東経138.1413972度﻿ /36.5091139; 138.1413972座標:北緯36度30分32.81秒東経138度8分29.03秒﻿ / ﻿北緯36.5091139度 東経138.1413972度﻿ /36.5091139; 138.1413972","地上駅","2009年（平成21年）3月14日[1]","2面2線[1]","簡易委託駅[1]標高：369m[1]","","チマ[1]","493人/日（降車客含まず）-2017年-","","","","","","","",""
"千倉駅","千倉駅（ちくらえき）","https://ja.wikipedia.org/wiki/千倉駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度58分36.1秒東経139度57分16.8秒","■内房線","96.6 km（蘇我起点）千葉から100.4 km","東日本旅客鉄道（JR東日本）","千葉県南房総市千倉町瀬戸2079北緯34度58分36.1秒東経139度57分16.8秒座標:北緯34度58分36.1秒 東経139度57分16.8秒","地上駅","1921年（大正10年）6月1日[1]","2面3線","業務委託駅","","チラ","338人/日（降車客含まず）-2019年-","","","","","","","",""
"稚子塚駅","稚子塚駅（ちごづかえき）","https://ja.wikipedia.org/wiki/稚子塚駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度41分11.77秒東経137度19分3.14秒","■立山線","1.4 km（寺田起点）","富山地方鉄道","富山県中新川郡立山町浦田1766-4北緯36度41分11.77秒東経137度19分3.14秒﻿ / ﻿北緯36.6866028度 東経137.3175389度﻿ /36.6866028; 137.3175389﻿ (稚子塚駅)座標:北緯36度41分11.77秒東経137度19分3.14秒﻿ / ﻿北緯36.6866028度 東経137.3175389度﻿ /36.6866028; 137.3175389﻿ (稚子塚駅)","地上駅","1931年（昭和6年）8月15日","単式1面1線","無人駅","T44","","","65人/日-2019年-","","","","","","",""
"千里駅 (三重県)","千里駅 (三重県)（ちさとえき・近鉄名古屋線）","https://ja.wikipedia.org/wiki/千里駅_(三重県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度47分54.82秒東経136度33分22.8秒","E名古屋線","20.9 km（伊勢中川起点）","近畿日本鉄道（近鉄）","三重県津市河芸町上野106-2北緯34度47分54.82秒東経136度33分22.8秒﻿ / ﻿北緯34.7985611度 東経136.556333度﻿ /34.7985611; 136.556333座標:北緯34度47分54.82秒東経136度33分22.8秒﻿ / ﻿北緯34.7985611度 東経136.556333度﻿ /34.7985611; 136.556333","地上駅","1943年（昭和18年）7月1日*","2面2線","無人駅（自動券売機有）* 1917年 - 1921年にも存在"," E34 ","チサト","1,638人/日（降車客含まず）-2019年-","","","","","","","",""
"千里駅 (富山県)","千里駅 (富山県)（ちさとえき・西日本旅客鉄道高山本線）","https://ja.wikipedia.org/wiki/千里駅_(富山県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度38分4.41秒東経137度7分56.48秒","■高山本線","213.6km（岐阜起点）猪谷から24.4 km","西日本旅客鉄道（JR西日本）","富山県富山市婦中町千里2003北緯36度38分4.41秒東経137度7分56.48秒座標:北緯36度38分4.41秒 東経137度7分56.48秒","地上駅","1927年（昭和2年）9月1日","2面2線","無人駅（自動券売機 有）","","チサ","380人/日（降車客含まず）-2019年-","","","","","","","",""
"千路駅","千路駅（ちじえき）","https://ja.wikipedia.org/wiki/千路駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度55分41.40秒東経136度48分4.13秒","■七尾線","33.8 km（津幡起点）金沢から45.3 km","西日本旅客鉄道（JR西日本）","石川県羽咋市千路町ヘ11北緯36度55分41.40秒東経136度48分4.13秒﻿ / ﻿北緯36.9281667度 東経136.8011472度﻿ /36.9281667; 136.8011472座標:北緯36度55分41.40秒東経136度48分4.13秒﻿ / ﻿北緯36.9281667度 東経136.8011472度﻿ /36.9281667; 136.8011472","地上駅","1898年（明治31年）4月24日[1]","1面1線[1]","無人駅[1]（自動券売機 有）","","チチ","62人/日（降車客含まず）-2019年-","","","","","","","",""
