"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","面積","時代","文化財指定","分類","開園","運営者","公式サイト","管理者","駐車場","位置","形状","規模","出土品","築造時期","史跡","国","都道府県"
"志藤沢遺跡 (存在しないページ)","[志藤沢遺跡（男鹿市）]","https://ja.wikipedia.org/w/index.php?title=志藤沢遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"館の上遺跡 (存在しないページ)","[館の上遺跡（三種町）]","https://ja.wikipedia.org/w/index.php?title=館の上遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横長根遺跡 (存在しないページ)","[横長根遺跡（男鹿市）]","https://ja.wikipedia.org/w/index.php?title=横長根遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"はりま館遺跡 (存在しないページ)","[はりま館遺跡（小坂町）]","https://ja.wikipedia.org/w/index.php?title=はりま館遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"百刈田遺跡 (存在しないページ)","[百刈田遺跡（南陽市）]","https://ja.wikipedia.org/w/index.php?title=百刈田遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"向河原遺跡 (存在しないページ)","[向河原遺跡（山形市）]","https://ja.wikipedia.org/w/index.php?title=向河原遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"桜井遺跡 (存在しないページ)","[桜井遺跡（南相馬市）]","https://ja.wikipedia.org/w/index.php?title=桜井遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天神沢遺跡 (存在しないページ)","[天神沢遺跡（南相馬市）]","https://ja.wikipedia.org/w/index.php?title=天神沢遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西平遺跡 (存在しないページ)","[西平遺跡]","https://ja.wikipedia.org/w/index.php?title=西平遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"出流原遺跡 (存在しないページ)","[出流原遺跡]","https://ja.wikipedia.org/w/index.php?title=出流原遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"有馬条里遺跡 (存在しないページ)","[有馬条里遺跡]","https://ja.wikipedia.org/w/index.php?title=有馬条里遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日高遺跡","[日高遺跡] 日高遺跡 （ひだかいせき）は、 群馬県 高崎市 日高町・ 中尾町 にある 弥生時代 の 集落 の 遺跡 。 1989年 （平成元年）11月9日、国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/日高遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯36度22分11.8秒 東経139度01分54.5秒","","","","","","","","","","","","","","","","","","",""
"水沼弥生時代住居跡 (存在しないページ)","[水沼弥生時代住居跡]","https://ja.wikipedia.org/w/index.php?title=水沼弥生時代住居跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中高瀬観音山遺跡","[中高瀬観音山遺跡(富岡市)] 中高瀬観音山遺跡は、富岡市街地南方、通称「離れ山」と呼ばれる独立丘陵上に位置する、 弥生時代 後期を中心とする集落跡である。「離れ山」は、北側は 鏑川 によって形成された 河岸段丘 、南側は野上川等の小河川によって浸食された谷になっており、南北の幅は約500メートル、東西の長さは約3キロに及ぶ。遺跡はこの丘陵の中央部西寄りに位置する。遺跡地の最高所は標高249メートルの尾根で、遺構はこの尾根から北へ向けて下る緩斜面と、その北方の平坦部にかけて分布する。弥生時代後期の住居跡は、この平坦部に集中する。平坦部の標高は225メートルほどで、北側は段丘崖、東と西は谷によって浸食され、いずれも急斜面になっている。崖下の水田（下位段丘面）との比高は50メートル以上あり、遺跡は周囲の眺望の良い場所に位置している。当地には縄文時代から中世に至る遺構が所在するが、その8割は弥生時代後期のものである  。","https://ja.wikipedia.org/wiki/中高瀬観音山遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯36度30分48秒 東経139度02分23秒","","","","","","","","","","","","","","","","","","",""
"黒川小塚遺跡 (存在しないページ)","[黒川小塚遺跡(富岡市)]","https://ja.wikipedia.org/w/index.php?title=黒川小塚遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"円正寺遺跡 (存在しないページ)","[円正寺遺跡（さいたま市）]","https://ja.wikipedia.org/w/index.php?title=円正寺遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"明花向遺跡 (存在しないページ)","[明花向遺跡（さいたま市）]","https://ja.wikipedia.org/w/index.php?title=明花向遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"一ツ木遺跡 (存在しないページ)","[一ツ木遺跡（さいたま市）]","https://ja.wikipedia.org/w/index.php?title=一ツ木遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大和田本村遺跡 (存在しないページ)","[大和田本村遺跡（さいたま市）]","https://ja.wikipedia.org/w/index.php?title=大和田本村遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白幡中学校校庭内遺跡 (存在しないページ)","[白幡中学校校庭内遺跡（さいたま市）]","https://ja.wikipedia.org/w/index.php?title=白幡中学校校庭内遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"井沼方遺跡 (存在しないページ)","[井沼方遺跡（さいたま市）]","https://ja.wikipedia.org/w/index.php?title=井沼方遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中里前原遺跡 (存在しないページ)","[中里前原遺跡（さいたま市）]","https://ja.wikipedia.org/w/index.php?title=中里前原遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本村遺跡 (存在しないページ)","[本村遺跡（さいたま市）]","https://ja.wikipedia.org/w/index.php?title=本村遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鍛冶谷・新田口遺跡 (存在しないページ)","[鍛冶谷・新田口遺跡（戸田市）]","https://ja.wikipedia.org/w/index.php?title=鍛冶谷・新田口遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"霞ヶ関遺跡 (存在しないページ)","[霞ヶ関遺跡（川越市）]","https://ja.wikipedia.org/w/index.php?title=霞ヶ関遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鶴ヶ丘遺跡 (存在しないページ)","[鶴ヶ丘遺跡（川越市）]","https://ja.wikipedia.org/w/index.php?title=鶴ヶ丘遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"牛王山遺跡 (存在しないページ)","[牛王山遺跡（和光市）]","https://ja.wikipedia.org/w/index.php?title=牛王山遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉ヶ谷遺跡 (存在しないページ)","[吉ヶ谷遺跡（東松山市）]","https://ja.wikipedia.org/w/index.php?title=吉ヶ谷遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"屋敷裏遺跡 (存在しないページ)","[屋敷裏遺跡（羽生市）]","https://ja.wikipedia.org/w/index.php?title=屋敷裏遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上敷免遺跡 (存在しないページ)","[上敷免遺跡（深谷市）]","https://ja.wikipedia.org/w/index.php?title=上敷免遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"四十坂遺跡 (存在しないページ)","[四十坂遺跡（深谷市）]","https://ja.wikipedia.org/w/index.php?title=四十坂遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小敷田遺跡 (存在しないページ)","[小敷田遺跡（行田市）]","https://ja.wikipedia.org/w/index.php?title=小敷田遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"池守・池上遺跡","[池守・池上遺跡（行田市）] 池守・池上遺跡 （いけもり・いけがみいせき）は、 埼玉県 行田市 上池守と同 熊谷市 池上とにまたがる 弥生時代 から 平安時代 にかけての 遺跡 をさす。","https://ja.wikipedia.org/wiki/池守・池上遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神明ヶ谷戸遺跡 (存在しないページ)","[神明ヶ谷戸遺跡（美里町）]","https://ja.wikipedia.org/w/index.php?title=神明ヶ谷戸遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿島前遺跡 (存在しないページ)","[鹿島前遺跡（我孫子市）]","https://ja.wikipedia.org/w/index.php?title=鹿島前遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"須和田遺跡","[須和田遺跡（市川市）] 須和田遺跡 （すわだいせき）は、 千葉県 市川市 須和田 二丁目及び 真間 二丁目に所在する集落遺跡。須和田台地のほぼ中央にあり  、 弥生時代 中期から 奈良時代 ・ 平安時代 にかけての複合遺跡である。1994年2月22日に、千葉県指定史跡となった  。 杉原荘介 が1942年に提唱した弥生時代中期の土器の型式、 須和田式 の 標式遺跡 である。また、 須恵器 や 土師器 、 土製品 、鉄滓などの遺物も出土している  。","https://ja.wikipedia.org/wiki/須和田遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮ノ台遺跡 (存在しないページ)","[宮ノ台遺跡（茂原市）]","https://ja.wikipedia.org/w/index.php?title=宮ノ台遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飯郷作遺跡 (存在しないページ)","[飯郷作遺跡（佐倉市）]","https://ja.wikipedia.org/w/index.php?title=飯郷作遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"弥生二丁目遺跡","[弥生二丁目遺跡（文京区）] 弥生二丁目遺跡 (やよいにちょうめいせき) は、 東京都 文京区 にある 弥生時代 の 遺跡 。 1976年 6月7日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/弥生二丁目遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度43分00秒 東経139度45分52秒","","","","","","","","","","","","","","","","","","",""
"道合遺跡 (東京都) (存在しないページ)","[道合遺跡（北区）]","https://ja.wikipedia.org/w/index.php?title=道合遺跡_(東京都)&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土器塚遺跡 (存在しないページ)","[土器塚遺跡（目黒区）]","https://ja.wikipedia.org/w/index.php?title=土器塚遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇津木向原遺跡 (存在しないページ)","[宇津木向原遺跡（八王子市）]","https://ja.wikipedia.org/w/index.php?title=宇津木向原遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中田遺跡 (存在しないページ)","[中田遺跡（八王子市）]","https://ja.wikipedia.org/w/index.php?title=中田遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"久ヶ原遺跡","[久ヶ原遺跡（大田区）] 久が原 （くがはら）は、 東京都 大田区 の 町名 。現行行政地名は久が原一丁目から久が原六丁目。 郵便番号 は146-0085  。","https://ja.wikipedia.org/wiki/久ヶ原遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度34分48.19秒 東経139度41分22.52秒","","","","","","","","","","","","","","","","","","日本","東京都"
"本町田遺跡 (存在しないページ)","[本町田遺跡（町田市） - 縄文から弥生時代の複合遺跡]","https://ja.wikipedia.org/w/index.php?title=本町田遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大塚・歳勝土遺跡","[大塚・歳勝土遺跡（横浜市）] 大塚・歳勝土遺跡 （おおつか・さいかちどいせき）は、 神奈川県 横浜市 都筑区 （ 港北ニュータウン 内）にある 弥生時代 中期の 遺跡 。国の 史跡 。","https://ja.wikipedia.org/wiki/大塚・歳勝土遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度33分5.1秒東経139度34分50.0秒","日本横浜市都筑区大棚西1","","54,640m2","","","都市公園（歴史公園）","1996年3月25日","横浜市","大塚・歳勝土遺跡公園（横浜市歴史博物館）","","","","","","","","","",""
"三殿台遺跡","[三殿台遺跡（横浜市）] 三殿遺跡 （さとのいいせき）は、 神奈川納棚田や綾田瀬端ワタワタ湯アユタヤは県 ","https://ja.wikipedia.org/wiki/三殿台遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊屋之免遺跡 (存在しないページ)","[伊屋之免遺跡（川崎市）]","https://ja.wikipedia.org/w/index.php?title=伊屋之免遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"緑ヶ丘霊園内遺跡 (存在しないページ)","[緑ヶ丘霊園内遺跡（川崎市）]","https://ja.wikipedia.org/w/index.php?title=緑ヶ丘霊園内遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東高根遺跡","[東高根遺跡（川崎市）] 神奈川県立東高根森林公園 （かながわけんりつひがしたかねしんりんこうえん）は、 神奈川県 川崎市 宮前区 神木本町 にある 森林公園 で、川崎市内唯一の県立公園である。","https://ja.wikipedia.org/wiki/東高根遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度36分16秒 東経139度35分11秒","川崎市宮前区神木本町2丁目10-1","","11.0ha（計画13.9ha）","","","都市公園（風致公園）","1978年（昭和53年）4月25日","神奈川県（指定管理者：横浜緑地・西武造園グループ）","公式サイト","","","","","","","","","",""
"神崎遺跡","[神崎遺跡（綾瀬市）] 神崎遺跡は神奈川県中央部に位置する綾瀬市の南西端となる、東側に 相模川 の支流である 目久尻川 、西側に目久尻川の小支谷に挟まれた、南北に長い台地の先端部にあり、 相模野台地 の辺縁部に位置している  。神崎遺跡がある台地上の標高は海抜約24メートルで、目久尻川が流れる沖積地の標高は約13メートルであるため、沖積地と台地との標高差は約11メートルである  。","https://ja.wikipedia.org/wiki/神崎遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度24分36秒 東経139度24分25秒","日本神奈川県綾瀬市吉岡3425-5","","1.03 ha","","","都市公園（歴史公園）","2017年（平成29年）4月1日","綾瀬市","綾瀬市HP","","あり","","","","","","","",""
"中里遺跡 (小田原市)","[中里遺跡（小田原市）] 中里遺跡 （なかざといせき）は、 神奈川県 小田原市 中里にある 弥生時代 の集落 遺跡 。 関東地方 の弥生時代の集落としては最初期のものとされる。出土品は県の 有形文化財 に指定されている  。","https://ja.wikipedia.org/wiki/中里遺跡_(小田原市)","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度16分58.0秒 東経139度11分12.0秒","","","","","","","","","","","","","","","","","","",""
"矢ノ津坂遺跡 (存在しないページ)","[矢ノ津坂遺跡（横須賀市）]","https://ja.wikipedia.org/w/index.php?title=矢ノ津坂遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下谷地遺跡","[下谷地遺跡（柏崎市）] 下谷地遺跡 （しもやちいせき）は、 新潟県 柏崎市 吉井にある 弥生時代 中期の遺跡。1979年6月4日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/下谷地遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯37度23分51秒東経138度37分27秒","新潟県柏崎市吉井","","","弥生時代","1979年-国の史跡","","","","","","","","","","","","","",""
"松影A遺跡 (存在しないページ)","[松影A遺跡（新潟市）]","https://ja.wikipedia.org/w/index.php?title=松影A遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古津八幡遺跡 (存在しないページ)","[古津八幡遺跡（新潟市）]","https://ja.wikipedia.org/w/index.php?title=古津八幡遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"斐太遺跡 (存在しないページ)","[斐太遺跡（妙高市）]","https://ja.wikipedia.org/w/index.php?title=斐太遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"王塚・千坊山遺跡群 (存在しないページ)","[王塚・千坊山遺跡群]","https://ja.wikipedia.org/w/index.php?title=王塚・千坊山遺跡群&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉崎・次場遺跡","[吉崎・次場遺跡] 吉崎・次場遺跡 （よしざき・すばいせき  ）は、 石川県 羽咋市 の吉崎町・次場町にある、 弥生時代 の大型集落遺跡である。1983年12月15日、 国史跡 に指定された  。","https://ja.wikipedia.org/wiki/吉崎・次場遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯36度54分20秒 東経136度47分24秒","","","","","","","","","","","","","","","","","","",""
"糞置遺跡 (存在しないページ)","[糞置遺跡]","https://ja.wikipedia.org/w/index.php?title=糞置遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
