"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","管理運営","事業主体","専門分野","公式サイト","正式名称","アクセス","面積","愛称","種数","館長","前身","頭数","主な飼育動物","水槽総容量","最大水槽容量","来園者数"
"市立室蘭水族館","[市立室蘭水族館（北海道室蘭市）] 市立室蘭水族館 （しりつむろらんすいぞくかん）は、 北海道 室蘭市 の 水族館 である。","https://ja.wikipedia.org/wiki/市立室蘭水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯42度20分23.1秒東経140度56分37.5秒","〒051－0036北海道室蘭市祝津町3丁目3番12号","北緯42度20分23.1秒東経140度56分37.5秒﻿ / ﻿北緯42.339750度 東経140.943750度﻿ /42.339750; 140.943750","1953年6月","一般社団法人室蘭観光協会","室蘭市","","公式サイト","市立室蘭水族館","・JR室蘭駅から車で約10分、道南バスで約30分、徒歩で約1時間・室蘭ICから車で約15分・道南バス みたら・水族館前バス停下車 徒歩で約5分","15334,31㎡","","約140種","","道立室蘭水族館","","","","",""
"登別マリンパークニクス","[登別マリンパークニクス（北海道登別市）★] 登別マリンパークニクス （のぼりべつマリンパークニクス）は、 北海道 登別市 に所在する 日本 の 水族館  。 「北欧ロマンと海洋ファンタジー」をテーマにしている。 登別駅 より徒歩約5分。","https://ja.wikipedia.org/wiki/登別マリンパークニクス","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯42度27分17.9秒東経141度10分55.9秒","北海道登別市登別東町1丁目22","北緯42度27分17.9秒東経141度10分55.9秒﻿ / ﻿北緯42.454972度 東経141.182194度﻿ /42.454972; 141.182194座標:北緯42度27分17.9秒東経141度10分55.9秒﻿ / ﻿北緯42.454972度 東経141.182194度﻿ /42.454972; 141.182194","1990年（平成2年）7月20日","北海道マリンパーク株式会社","登別市（第三セクター）↓民間（加森観光）","","","","","","","","","","","","","",""
"くしろ水族館 ぷくぷく (存在しないページ)","[くしろ水族館 ぷくぷく（北海道釧路市）]","https://ja.wikipedia.org/w/index.php?title=くしろ水族館_ぷくぷく&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青森県営浅虫水族館","[青森県営浅虫水族館（青森県青森市）] 青森県営浅虫水族館 （あおもりけんえいあさむしすいぞくかん）は、 青森県 青森市 、 浅虫 にある 水族館 。 青森湾 を臨む 本州 最北端の水族館でもある  。青森県内の豊富な 水産資源 や、 世界 の珍しい 水生動物 など約514種、1万1千点を 飼育 展示している。現在は 指定管理者制度 を用いて運営されている。","https://ja.wikipedia.org/wiki/青森県営浅虫水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯40度53分51.3秒東経140度51分46秒","〒039-3501青森県青森市大字浅虫字馬場山1-25","北緯40度53分51.3秒東経140度51分46秒﻿ / ﻿北緯40.897583度 東経140.86278度﻿ /40.897583; 140.86278座標:北緯40度53分51.3秒東経140度51分46秒﻿ / ﻿北緯40.897583度 東経140.86278度﻿ /40.897583; 140.86278","1983年","青森水族館管理株式会社","青森県","総合","http://www.asamushi-aqua.com/","青森県営浅虫水族館","鉄道で浅虫温泉駅下車バスで「浅虫水族館」下車","48,300.91m²","","約400種（2014年8月現在）","太田守信（2014年8月現在）","","約1万点（2012年現在）","サンショウウオ、イルカ、アザラシ","720t(隣接施設含む水量は2,098t)","","約30万人/年"
"八戸市水産科学館","[八戸市水産科学館 マリエント（青森県八戸市）] 八戸市水産科学館マリエント （はちのへしすいさんかがくかんマリエント）は、 青森県 八戸市 にある「 水産 」をテーマとする 科学館 。","https://ja.wikipedia.org/wiki/八戸市水産科学館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯40度32分23秒東経141度33分46秒","〒031-0841青森県八戸市大字鮫町字下松苗場14－33","北緯40度32分23秒東経141度33分46秒﻿ / ﻿北緯40.53972度 東経141.56278度﻿ /40.53972; 141.56278","1989年10月","","八戸市","水産","","八戸市水産科学館","","","マリエント","","","","","","","",""
"もぐらんぴあ","[もぐらんぴあ 久慈地下水族科学館（岩手県久慈市、石油文化ホール併設）] もぐらんぴあ は、 岩手県 久慈市 にある、同市が建設した「 久慈地下水族科学館 」と 日本地下石油備蓄 株式会社 が建設した「 石油文化ホール 」による複合施設で、 三陸海岸 の 久慈湾 北岸にある。 東北地方太平洋沖地震 （ 東日本大震災 ）に伴う 津波 で被災して営業休止となったが、場所を移して「 もぐらんぴあ まちなか水族館 」として再開した。その後、2016年に元の場所で営業を再開した。","https://ja.wikipedia.org/wiki/もぐらんぴあ","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯40度13分16.4秒東経141度48分57秒","〒028-7800日本岩手県久慈市侍浜町字麦生1-43-7","北緯40度13分16.4秒東経141度48分57秒﻿ / ﻿北緯40.221222度 東経141.81583度﻿ /40.221222; 141.81583","1994年（平成6年）4月","水族館：あくあぷらんつ（指定管理者）","久慈市日本地下石油備蓄株式会社","水族館石油備蓄技術","","久慈市国家石油備蓄基地トンネル利用施設","東日本旅客鉄道（JR東日本）および三陸鉄道リアス線・久慈駅よりのるねっとKUJI「北野行」で、｢半崎｣下車。徒歩10分。ただし、火・木曜日に運行される｢高家口行｣は｢半崎｣を経由しないので注意が必要。東日本旅客鉄道（JR東日本）八戸線・陸中夏井駅よりタクシーで約10分。","","もぐらんぴあ(moguranpia)","","","","","","","",""
"岩手県立水産科学館 (存在しないページ)","[岩手県立水産科学館（岩手県宮古市）]","https://ja.wikipedia.org/w/index.php?title=岩手県立水産科学館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"仙台うみの杜水族館","[仙台うみの杜水族館（宮城県仙台市、高砂中央公園内）] 仙台うみの杜水族館 （せんだいうみのもりすいぞくかん）は、 宮城県 仙台市 宮城野区 高砂中央公園 内に所在する民間 水族館 である。かつて仙台に存在した マリンピア松島水族館 の後継館と2015年にオープンした。 横浜八景島 と 仙台水族館開発 が連携して運営を行う。","https://ja.wikipedia.org/wiki/仙台うみの杜水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯38度16分15.9秒東経140度58分50.4秒","〒983-0013宮城県仙台市宮城野区中野4丁目6番地","北緯38度16分15.9秒東経140度58分50.4秒﻿ / ﻿北緯38.271083度 東経140.980667度﻿ /38.271083; 140.980667座標:北緯38度16分15.9秒東経140度58分50.4秒﻿ / ﻿北緯38.271083度 東経140.980667度﻿ /38.271083; 140.980667","2015年（平成27年）7月1日","横浜八景島仙台水族館開発","特定目的会社仙台水族館開発（株）","","http://www.uminomori.jp/","","仙石線中野栄駅仙台東部道路仙台港IC","（敷地面積）13,493m2（建築面積）06,087m2（延床面積）09,989m2","","","","","","スナメリ、ヨシキリザメなど","約3,000t","990t",""
"アクアテラス錦ヶ丘","[アクアテラス錦ヶ丘（宮城県仙台市、ヒルサイドモール）] アクアテラス錦ヶ丘 （アクアテラスにしきがおか）は、 宮城県 仙台市 青葉区 錦ケ丘 にある民間 水族館 。","https://ja.wikipedia.org/wiki/アクアテラス錦ヶ丘","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯38度15分25.6秒東経140度45分54.2秒","〒989-3123宮城県仙台市青葉区錦ケ丘1丁目3-1アクアハウス棟2階","北緯38度15分25.6秒東経140度45分54.2秒﻿ / ﻿北緯38.257111度 東経140.765056度﻿ /38.257111; 140.765056座標:北緯38度15分25.6秒東経140度45分54.2秒﻿ / ﻿北緯38.257111度 東経140.765056度﻿ /38.257111; 140.765056","2015年7月18日","dogwood","","","http://aquaterrace.co.jp/","","仙山線愛子駅東北自動車道仙台宮城IC","","","200種類","","","","","","",""
"秋田県立男鹿水族館","[男鹿水族館GAO（秋田県男鹿市）★] 秋田県立男鹿水族館 （あきたけんりつおがすいぞくかん）は、 秋田県 男鹿市 戸賀塩浜（ 男鹿半島 ）にある 水族館 。通称・ 男鹿水族館GAO （おがすいぞくかん ガオ）。 指定管理者制度 により、 第三セクター の 株式会社男鹿水族館 が管理・運営している  。","https://ja.wikipedia.org/wiki/秋田県立男鹿水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯39度56分31.8秒東経139度42分16.5秒","〒010-0673秋田県男鹿市戸賀塩浜字壺ケ沢","北緯39度56分31.8秒東経139度42分16.5秒﻿ / ﻿北緯39.942167度 東経139.704583度﻿ /39.942167; 139.704583座標:北緯39度56分31.8秒東経139度42分16.5秒﻿ / ﻿北緯39.942167度 東経139.704583度﻿ /39.942167; 139.704583","2004年7月13日","株式会社男鹿水族館（指定管理者）","秋田県","総合","","秋田県立男鹿水族館","JR男鹿線羽立駅から路線バスで60分","","GAO（ガオ）","","","秋田県男鹿水族館","","","","",""
"鶴岡市立加茂水族館","[鶴岡市立加茂水族館 クラゲドリーム館（山形県鶴岡市）★] 鶴岡市立加茂水族館 （つるおかしりつ かもすいぞくかん）は、 山形県 鶴岡市 にある、同県唯一    かつ市立の 水族館 である。同館は旧 加茂町 の中心部に近い、 日本海 に面した 岬 に建っている。愛称は「 クラゲ ドリーム館 」。","https://ja.wikipedia.org/wiki/鶴岡市立加茂水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯38度45分42秒東経139度43分28.7秒","〒997-1206山形県鶴岡市今泉字大久保657-1","北緯38度45分42秒東経139度43分28.7秒﻿ / ﻿北緯38.76167度 東経139.724639度﻿ /38.76167; 139.724639座標:北緯38度45分42秒東経139度43分28.7秒﻿ / ﻿北緯38.76167度 東経139.724639度﻿ /38.76167; 139.724639","1930年（昭和5年）","鶴岡市開発公社（指定管理者）","鶴岡市","クラゲ","http://kamo-kurage.jp/","","鶴岡駅より加茂経由・湯野浜温泉行きバスに乗車し「加茂水族館」下車すぐ","","クラゲドリーム館","","奥泉和也（館長）村上龍男（名誉館長）","山形県水族館（組合営）（海洋道場）（山形県水産学校仮校舎）鶴岡市立加茂水族館（昭和期市営）庄内浜加茂水族館（3セク営→民営）","","","","",""
"アクアマリンふくしま","[ふくしま海洋科学館 アクアマリンふくしま（福島県いわき市）★] 施設は 福島県 が所有し、県の外郭団体である公益財団法人ふくしま海洋科学館が 指定管理者 として運営管理を行う。 東北 最大級の水族館である。","https://ja.wikipedia.org/wiki/アクアマリンふくしま","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度56分33.9秒東経140度54分05.4秒","〒971-8101福島県いわき市小名浜字辰巳町50","北緯36度56分33.9秒東経140度54分05.4秒﻿ / ﻿北緯36.942750度 東経140.901500度﻿ /36.942750; 140.901500","2000年（平成12年）7月15日","公益財団法人ふくしま海洋科学館（指定管理者）","福島県","総合","アクアマリンふくしま 公式サイト","ふくしま海洋科学館","","","アクアマリンふくしま（aquamarine Fukushima）","","","","","","3,990t","2,050t(潮目の大水槽 黒潮1,500t 親潮550t)",""
"アクアマリンいなわしろカワセミ水族館","[アクアマリンいなわしろカワセミ水族館（旧・いなわしろ淡水魚館、福島県耶麻郡猪苗代町）★] アクアマリンいなわしろカワセミ水族館 （アクアマリンいなわしろカワセミすいぞくかん）は、 福島県 猪苗代町 の 猪苗代緑の村 にある 水族館 。 指定管理者 は同県内で アクアマリンふくしま を運営する 公益財団法人 ふくしま海洋科学館。","https://ja.wikipedia.org/wiki/アクアマリンいなわしろカワセミ水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯37度33分41.0秒東経140度04分28.5秒","〒969-3283福島県耶麻郡猪苗代町大字長田字東中丸3447-4","北緯37度33分41.0秒東経140度04分28.5秒﻿ / ﻿北緯37.561389度 東経140.074583度﻿ /37.561389; 140.074583座標:北緯37度33分41.0秒東経140度04分28.5秒﻿ / ﻿北緯37.561389度 東経140.074583度﻿ /37.561389; 140.074583","1989年","公益財団法人ふくしま海洋科学館","猪苗代町","猪苗代湖の生態系","アクアマリンいなわしろカワセミ水族館","","#アクセス参照","","","","安田純","","","ゲンゴロウ類、淡水魚、ユーラシアカワウソなど","","",""
"アクアワールド・大洗","[アクアワールド・大洗（旧・大洗水族館、茨城県東茨城郡大洗町）] 隣接する ひたちなか市 の 国営ひたち海浜公園 とともに茨城県を代表する海岸部のレジャースポットである  。茨城県随一の観光施設であると同時に、大洗町そのもののイメージの形成に深く影響を与える施設でもある  。","https://ja.wikipedia.org/wiki/アクアワールド・大洗","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度20分0秒東経140度35分38秒","〒311-1301茨城県東茨城郡大洗町磯浜町8252-3","北緯36度20分0秒東経140度35分38秒﻿ / ﻿北緯36.33333度 東経140.59389度﻿ /36.33333; 140.59389座標:北緯36度20分0秒東経140度35分38秒﻿ / ﻿北緯36.33333度 東経140.59389度﻿ /36.33333; 140.59389","初代：1952年6月現行館：2002年3月21日","公益財団法人いばらき文化振興財団","茨城県生活環境部生活文化課","総合","www.aquaworld-oarai.com/","アクアワールド茨城県大洗水族館","大洗駅から周遊バス海遊号乗車約15分","19,800m2","","580種（2015年時点）","石橋丈夫（2017年4月時点）","県立大洗水族館、海のこどもの国大洗水族館","68,000点（2015年時点）","サメ、マンボウ、イルカ、アシカ、エトピリカ、ゴマフアザラシ、フンボルトペンギン、カピバラ","5,100t","1,300t","1,134,313人（2016年度）"
"山方淡水魚館","[山方淡水魚館（茨城県常陸大宮市）] 山方淡水魚館 （やまがたたんすいぎょかん）は、 茨城県 常陸大宮市 山方にある日本最小規模の 水族館 。 久慈川 沿いの清流公園近くに位置する。 指定管理者 は 公益財団法人 常陸大宮市振興財団。","https://ja.wikipedia.org/wiki/山方淡水魚館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度37分32.398秒東経140度24分14.567秒","〒319-3111茨城県常陸大宮市山方535","北緯36度37分32.398秒東経140度24分14.567秒﻿ / ﻿北緯36.62566611度 東経140.40404639度﻿ /36.62566611; 140.40404639座標:北緯36度37分32.398秒東経140度24分14.567秒﻿ / ﻿北緯36.62566611度 東経140.40404639度﻿ /36.62566611; 140.40404639","1986年","公益財団法人 常陸大宮市振興財団","常陸大宮市","久慈川水系の淡水魚","","常陸大宮市山方自然生態観察施設淡水魚館","#アクセス参照","219m2","","50","橋本努","","","オオサンショウウオなど","","",""
"かすみがうら市水族館","[かすみがうら市水族館（茨城県かすみがうら市、歩崎公園内）] かすみがうら市水族館 （かすみがうらしすいぞくかん）は、 茨城県 かすみがうら市 坂にある 市立 水族館 。 霞ヶ浦 の西浦湖畔に面する歩崎公園敷地内に位置する。","https://ja.wikipedia.org/wiki/かすみがうら市水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度04分17.738秒東経140度22分33.625秒","〒300-0214茨城県かすみがうら市坂910-1","北緯36度04分17.738秒東経140度22分33.625秒﻿ / ﻿北緯36.07159389度 東経140.37600694度﻿ /36.07159389; 140.37600694座標:北緯36度04分17.738秒東経140度22分33.625秒﻿ / ﻿北緯36.07159389度 東経140.37600694度﻿ /36.07159389; 140.37600694","1990年（平成2年）","","かすみがうら市","淡水魚","http://www.dane-kerry.com/aquarium/","","#アクセス参照","","","120","","","1250","霞ヶ浦に生息する淡水魚等","","","29,922人（2011年（平成23年）度）"
"栃木県なかがわ水遊園","[栃木県なかがわ水遊園（栃木県大田原市、栃木県水産試験場併設）★] 栃木県なかがわ水遊園 （とちぎけんなかがわすいゆうえん）は、 栃木県 大田原市 佐良土（さらど：旧 湯津上村 ）の 那珂川 の畔にある 栃木県 水産試験場に併設された 淡水魚 水族館 及び関連する 公園 である。","https://ja.wikipedia.org/wiki/栃木県なかがわ水遊園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度47分20.9秒東経140度7分43.3秒","〒324-0404栃木県大田原市佐良土2686","北緯36度47分20.9秒東経140度7分43.3秒﻿ / ﻿北緯36.789139度 東経140.128694度﻿ /36.789139; 140.128694座標:北緯36度47分20.9秒東経140度7分43.3秒﻿ / ﻿北緯36.789139度 東経140.128694度﻿ /36.789139; 140.128694","2001年（平成13年）7月15日","公益財団法人栃木県農業振興公社","栃木県","淡水魚","http://tnap.jp/","","","","","","","","","","","",""
"さかなと森の観察園 (存在しないページ)","[さかなと森の観察園（栃木県日光市）]","https://ja.wikipedia.org/w/index.php?title=さかなと森の観察園&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"道の駅みなかみ水紀行館","[水産学習館（群馬県利根郡みなかみ町）] 道の駅みなかみ水紀行館 （みちのえき みなかみ みずきこうかん）は 群馬県 利根郡 みなかみ町 にある 国道291号 の 道の駅 である。旧称は 道の駅水上町水紀行館 。","https://ja.wikipedia.org/wiki/道の駅みなかみ水紀行館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度45分53秒東経138度58分06秒","〒379-1617群馬県利根郡みなかみ町湯原1681-1","","","","","","","","","","","","","","","","","",""
"さいたま水族館","[さいたま水族館（埼玉県羽生市）★] さいたま水族館 （さいたますいぞくかん）は、 埼玉県 羽生市 にある 淡水魚 の 水族館 である。","https://ja.wikipedia.org/wiki/さいたま水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度10分23.3秒東経139度35分52.3秒","〒348-0011埼玉県羽生市三田ヶ谷751-1","北緯36度10分23.3秒東経139度35分52.3秒﻿ / ﻿北緯36.173139度 東経139.597861度﻿ /36.173139; 139.597861座標:北緯36度10分23.3秒東経139度35分52.3秒﻿ / ﻿北緯36.173139度 東経139.597861度﻿ /36.173139; 139.597861","1983年（昭和58年）10月","公益財団法人埼玉県公園緑地協会","","淡水魚","","","","","","","","","","","","",""
"埼玉県立桶川西高等学校","[桶西水族館（埼玉県桶川市、埼玉県立桶川西高等学校内）] 埼玉県立桶川西高等学校 （さいたまけんりつ おけがわにしこうとうがっこう）は、 埼玉県 桶川市 川田谷にある男女共学の公立 高等学校 。学校の中に 水族館 がある。なお、水族館がある普通科高等学校は全国に二校しかない。","https://ja.wikipedia.org/wiki/埼玉県立桶川西高等学校","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度59分3.1秒 東経139度31分53.8秒","〒363-0027","","","","","","","","","","","","","","","","","",""
