"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","時代","面積","文化財指定","外部リンク","国","都道府県","標高","分類","運営者","公式サイト","一般公開","地方","市町村コード","法人番号","総人口","人口密度","隣接自治体"
"東山1遺跡 (存在しないページ)","[東山1遺跡（岩内町）]","https://ja.wikipedia.org/w/index.php?title=東山1遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北黄金貝塚","[北黄金貝塚（伊達市）] 北黄金貝塚 （きたこがねかいづか）は、 北海道 伊達市 北黄金町 にある 縄文時代 前期・中期の大規模な 貝塚 遺跡（集落遺跡）。北海道にある縄文貝塚の1/5の 面積 を占める巨大なものである   。 1987年 12月25日に国史跡に指定されている  。　","https://ja.wikipedia.org/wiki/北黄金貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯42度24分07秒 東経140度54分38秒","","","","","","","","","","","","","","","","","","",""
"忍路環状列石","[忍路環状列石（小樽市）] 北海道小樽市から 余市町 にかけては80基以上のストーンサークルが確認されているが、その中でも忍路環状列石は最大のものである。遺跡は三笠山という小高い山の山麓の、標高20メートルの河岸段丘上に位置する。遺跡の広さは南北約33メートル、東西約22メートルで、楕円形をしている。外側に2メートルから3メートルの幅で大きさ10センチから20センチの石が環状に置かれ、その内側に高さ1メートルから2メートルの大石が配置されている。約3,500年前の 縄文時代 後期のものと推定されている。","https://ja.wikipedia.org/wiki/忍路環状列石","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯43度11分58.6秒 東経140度52分29.5秒","","","","","","","","","","","","","","","","","","",""
"カリンバ遺跡","[カリンバ遺跡(恵庭市)] カリンバ遺跡 （カリンバいせき）は、 北海道 恵庭市 黄金中央5丁目216-7ほかにある 遺跡 。 2005年 （平成17年）3月2日に、国の 史跡 に指定され、出土品は 2006年 （平成18年）6月9日に 重要文化財 に指定された  。北海道を代表する、 縄文時代 後期後半から晩期初頭にかけての、多数の墓によって構成される遺跡である  。豊富な副葬品を持つ土坑墓群や数多くの合葬墓は縄文時代の埋葬習俗や装身文化、漆工技術などを考える上で貴重なものである  。","https://ja.wikipedia.org/wiki/カリンバ遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯42度53分18秒 東経141度35分36.2秒","","","","","","","","","","","","","","","","","","",""
"東釧路貝塚","[東釧路貝塚(釧路市)] 東釧路貝塚 （ひがしくしろかいづか）は、 北海道 釧路市 貝塚一丁目にある 縄文時代 の 貝塚 遺跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/東釧路貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯42度59分39秒 東経144度24分45秒","","","","","","","","","","","","","","","","","","",""
"三内丸山遺跡","[三内丸山遺跡（青森市）] 三内丸山遺跡 （さんないまるやまいせき）は、 青森県 青森市 大字三内字丸山にある、 縄文時代 前期中頃から中期末葉（約5900-4200年前  ）の大規模集落跡。 沖館川 右岸の 河岸段丘 上に立地する。 1997年 3月5日  、国の 特別史跡 に指定。遺跡には住居群、倉庫群のほか、シンボル的な3層の 掘立柱建物 が再現されており、資料や出土品の展示施設「 縄文時遊館 」もある  。青森県 教育庁 文化財保護課三内丸山遺跡保存活用推進室が 発掘調査 を行っている。","https://ja.wikipedia.org/wiki/三内丸山遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯40度48分41秒東経140度41分48秒","青森県青森市大字三内字丸山","遺跡","縄文時代","","国特別史跡(2000年指定)","","","","","","","","","","","","","",""
"小牧野遺跡","[小牧野遺跡（青森市）] 小牧野遺跡 （こまきのいせき）は、 青森県 青森市 にある 縄文時代 後期前半の 遺跡 。所在地は青森市野沢字小牧野。 三内丸山遺跡 の南に位置する。 1995年 （平成7年） 3月17日 に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/小牧野遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯40度44分15.0秒 東経140度43分41.4秒","","","","","","","","","","","","","","","","","","",""
"亀ヶ岡遺跡","[亀ヶ岡遺跡（つがる市）] 亀ヶ岡石器時代遺跡 （かめがおかせっきじだいいせき）は、 青森県 つがる市 にある 縄文時代 晩期の集落遺跡である。単に 亀ヶ岡遺跡 とも称される。 遮光器土偶 が出土した 遺跡 として知られ、1944年（昭和19年）6月26日に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/亀ヶ岡遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯40度53分5.62秒 東経140度20分22.45秒","","","","","","","","","","","","","","","","","","",""
"是川遺跡","[是川遺跡（八戸市）] 是川遺跡 （これかわいせき）は、 青森県 八戸市 大字是川中居にある 縄文時代 晩期の 遺跡 。別称是川石器時代遺跡ともいう。1957年（昭和32年）7月1日、国の史跡に指定されている  。","https://ja.wikipedia.org/wiki/是川遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯40度28分28.3秒 東経141度29分28.5秒","","","","","","","","","","","","","","","","","","",""
"風張1遺跡 (存在しないページ)","[風張1遺跡（八戸市）]","https://ja.wikipedia.org/w/index.php?title=風張1遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大平山元I遺跡","[大平山元I遺跡（外ヶ浜町）] 大平山元Ⅰ遺跡 （おおだいやまもといちいせき）は、 青森県 東津軽郡 外ヶ浜町 にある 旧石器時代 終末期から 縄文時代 草創期の 遺跡 である。2013年（平成25年）3月27日付で国の 史跡 に指定された。指定名称は「大平山元遺跡（おおだいやまもといせき）」  。","https://ja.wikipedia.org/wiki/大平山元I遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯41度03分55.1秒 東経140度33分07.0秒","","","","","","","","","","","","","","","","","","",""
"御所野遺跡","[御所野遺跡（一戸町）] 山間地を北に流れる 馬淵川 右岸に位置し、東西に長く延びる 河岸段丘 における標高190-200メートルの中位段丘面に立地する。広い箇所では幅120メートルにもおよぶ平坦な 台地 が遺跡周囲では東から北へ弧状に0.5キロメートルほどつづき、台地上の平坦面の広さはおよそ6ヘクタールにもおよんでいる。周辺には ケヤキ や ブナ などの 落葉広葉樹林 が広がり、 クリ 、 ドングリ 、 アケビ などが豊富に実る。そばには 馬淵川 が流れ、そこを遡上するサケ・マスなどが利用された。","https://ja.wikipedia.org/wiki/御所野遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯40度11分52.2秒 東経141度18分22.1秒","","","","","","","","","","","","","","","","","","",""
"萪内遺跡 (存在しないページ)","[萪内遺跡（盛岡市）]","https://ja.wikipedia.org/w/index.php?title=萪内遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"手代森遺跡","[手代森遺跡（盛岡市）] 手代森遺跡 （てしろもりいせき）は、 岩手県 盛岡市 手代森に所在する 縄文時代 の 遺跡 。","https://ja.wikipedia.org/wiki/手代森遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯39度38分25.7秒 東経141度11分22.4秒","","","","","","","","","","","","","","","","","","",""
"大清水上遺跡","[大清水上遺跡（奥州市）] 大清水上遺跡 （おおすずかみいせき）は、 岩手県 奥州市 胆沢若柳字慶存にある 縄文時代 の 環状集落 の 遺跡 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/大清水上遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯39度06分47秒東経140度57分14秒","日本岩手県奥州市","","縄文時代","","","","","","270 m (886 ft)","","","","","","","","","",""
"綾織新田遺跡","[綾織新田遺跡（遠野市）] 綾織新田遺跡 （あやおりしんでんいせき）は、 岩手県 遠野市 綾織町 （下綾織）にある 縄文時代 前期の 集落 遺跡 。 2002年 （平成14年） 10月19日 に国の 史跡 に指定された    。","https://ja.wikipedia.org/wiki/綾織新田遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯39度19分01秒東経141度17分56秒","日本岩手県遠野市","","縄文時代","","","","","","270 m (886 ft)","","","","","","","","","",""
"貝鳥貝塚 (存在しないページ)","[貝鳥貝塚（一関市）]","https://ja.wikipedia.org/w/index.php?title=貝鳥貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大洞貝塚","[大洞貝塚（大船渡市）] 大洞貝塚 （おおほらかいづか）は、 岩手県 大船渡市 赤崎町字大洞にある 縄文時代 晩期の 貝塚 。 2001年 （平成13年）8月13日に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/大洞貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯39度04分01秒東経141度44分40秒","日本岩手県大船渡市","","縄文時代","20,000 sq.m.","","","","","31 m (102 ft)","","","","","","","","","",""
"中沢浜貝塚","[中沢浜貝塚（陸前高田市）] 中沢浜貝塚 （なかざわはまかいづか）は、 岩手県 陸前高田市 広田町中沢にある 縄文時代 の 貝塚 遺跡。日本でも有数の多数の人骨が出土した貝塚である。1934年1月22日、 国史跡 に指定された   。","https://ja.wikipedia.org/wiki/中沢浜貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度57分18秒 東経141度41分50秒","","","","","","","","","","","","","","","","","","",""
"大湯環状列石","[大湯環状列石（後期、鹿角市）] 大湯環状列石 （おおゆかんじょうれっせき）は、 秋田県 鹿角市 十和田大湯 にある 縄文時代 後期の大型の 配石 遺跡。国の 特別史跡 に指定されている。環状石籬（かんじょうせきり）や ストーンサークル とも呼ばれる。","https://ja.wikipedia.org/wiki/大湯環状列石","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯40度16分18.0秒 東経140度48分14.0秒","","","","","","","","","","","","","","","","","","",""
"杉沢台遺跡","[杉沢台遺跡（前期、能代市）] 杉沢台遺跡 （すぎさわだいいせき）は、 秋田県 能代市 磐字杉沢台  にある 縄文時代 前期の 遺跡 である。","https://ja.wikipedia.org/wiki/杉沢台遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯40度15分19秒 東経140度03分04秒","","","","","","","","","","","","","","","","","","",""
"伊勢堂岱遺跡","[伊勢堂岱遺跡（後期、北秋田市）] 伊勢堂岱遺跡 （いせどうたいいせき）は、 秋田県 北秋田市 脇神 字伊勢堂岱にある 縄文時代 後期前半の 遺跡 である。 国の史跡 に指定されている。","https://ja.wikipedia.org/wiki/伊勢堂岱遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯40度12分04秒 東経140度20分53秒","","","","","","","","","","","","","","","","","","",""
"虫内遺跡 (存在しないページ)","[虫内遺跡（前期・晩期、横手市）]","https://ja.wikipedia.org/w/index.php?title=虫内遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上ノ山II遺跡 (存在しないページ)","[上ノ山II遺跡（前期、大仙市）]","https://ja.wikipedia.org/w/index.php?title=上ノ山II遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩井堂洞窟","[岩井堂洞窟（早期 - 古代、湯沢市）] 岩井堂洞窟 （いわいどうどうくつ）または 岩井堂岩陰遺跡 （いわいどういわかげいせき）は、 秋田県 湯沢市 上院内字岩井堂ほかに所在する 縄文時代 の 岩陰遺跡 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/岩井堂洞窟","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯39度02分51.47秒東経140度24分09.19秒","秋田県湯沢市上院内字岩井堂","遺跡","縄文時代","","国史跡(1978年指定)","","","","","","","","","","","","","",""
"池内遺跡 (存在しないページ)","[池内遺跡（前期、大館市）]","https://ja.wikipedia.org/w/index.php?title=池内遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩瀬遺跡 (存在しないページ)","[岩瀬遺跡（草創期 - 中期、横手市）]","https://ja.wikipedia.org/w/index.php?title=岩瀬遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"一丈木遺跡 (存在しないページ)","[一丈木遺跡（中期、美郷町）]","https://ja.wikipedia.org/w/index.php?title=一丈木遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天戸森遺跡 (存在しないページ)","[天戸森遺跡（中期、鹿角市）]","https://ja.wikipedia.org/w/index.php?title=天戸森遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上掵遺跡","[上掵遺跡（前期、東成瀬村）] 上掵遺跡 （うわはばいせき）は、 秋田県 雄勝郡 東成瀬村 田子内（たごない）の 河岸段丘 上に所在する 縄文時代 の 遺跡 。大形の磨製 石斧 を出土したことで知られる。","https://ja.wikipedia.org/wiki/上掵遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"根羽子沢遺跡","[根羽子沢遺跡（前期、横手市）] 根羽子沢遺跡 （ねばこざわいせき）は、 秋田県 横手市 雄物川町 大沢に所在する 縄文時代 前期の遺跡。3基の 配石 が見つかった。1号組石は全体で長径2m、短径1m前後の楕円形を呈し、その下に同じ大きさの 土坑 があり、床上30cmから ケツ状耳飾り が出土したことから 墓 だと考えられる。組石中の長さ60cmの棒状の石は、大きさ・形状・出土状況から 立石 であった可能性が高い。2号組石も土坑をともない、なかに大量の木炭片と穴のあいた偏平な石が7個程度入っていた。遺跡からは、大木4式および大木5式土器が出土している。","https://ja.wikipedia.org/wiki/根羽子沢遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"田柄貝塚 (存在しないページ)","[田柄貝塚（後期、気仙沼市）]","https://ja.wikipedia.org/w/index.php?title=田柄貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"前浜貝塚","[前浜貝塚（後期 - 晩期、気仙沼市）] 前浜貝塚 （まえはまかいづか）は、 宮城県 気仙沼市 本吉町 に所在する 縄文時代 後期 - 晩期に属する 貝塚 である。 1980年 （ 昭和 55年） 5月1日 に町の 史跡 に指定された(現在、市指定）。","https://ja.wikipedia.org/wiki/前浜貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度48分14.43秒 東経141度32分56.86秒","","","","","","","","","","","","","","","","","","",""
"山王囲遺跡","[山王囲遺跡（栗原市）] 遺跡は、 迫川 の支流 長崎川 北岸の氾濫原で自然堤防上に立地している。1962年（昭和37年）に明治大学が、 1965年 （昭和40年）に一迫町が発掘調査を行った。","https://ja.wikipedia.org/wiki/山王囲遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度44分26.4秒 東経140度56分54.7秒","","","","","","","","","","","","","","","","","","",""
"糠塚貝塚","[糠塚貝塚（前期 - 後期、登米市）] 糠塚貝塚 （ぬかづかかいづか）は、 宮城県 登米市 に所在する 縄文時代 前期～後期に属する 貝塚 である。","https://ja.wikipedia.org/wiki/糠塚貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度42分55.05秒 東経141度8分54.69秒","","","","","","","","","","","","","","","","","","",""
"里浜貝塚","[里浜貝塚（前期 - 晩期、東松島市）] 里浜貝塚 （さとはまかいづか）は、 宮城県 東松島市 の 松島湾 中の 宮戸島 に存在する 縄文時代 を通して継続された 貝塚 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/里浜貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度20分9.38秒 東経141度8分42.94秒","","","","","","","","","","","","","","","","","","",""
"中沢目貝塚","[中沢目貝塚（後期 - 晩期、大崎市）] 中沢目貝塚 （なかざわめかいづか）は、 宮城県 大崎市 田尻にある 縄文時代 の 貝塚 。 1988年 （ 昭和 63年）10月14日、国の 史跡 に指定される  。","https://ja.wikipedia.org/wiki/中沢目貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度37分13.3秒 東経141度5分54.6秒","","","","","","","","","","","","","","","","","","",""
"恵比須田遺跡","[恵比須田遺跡（大崎市）] 篦岳丘陵 の西北端から東に延びる低丘陵斜面にあり、 1943年 （ 昭和 18年）に、 桑 の木の根を掘ったときに、縄文時代、前1000～前400年頃のものと推定される高さ36.1cm、肩幅21.0cmの 遮光器土偶 （ 東京国立博物館 蔵:国の 重要文化財 ）が出土し  、 1981年 （昭和56年）6月に国の重要文化財に指定された。当遺跡からは他に、縄文時代早期、前期、中期、後期、晩期の 土器 片が出土した。今から約7千年前より、この地域に人が住んでいたと考えられている  。","https://ja.wikipedia.org/wiki/恵比須田遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度37分33.999秒 東経141度05分13.498秒","","","","","","","","","","","","","","","","","","",""
"長根貝塚","[長根貝塚（早期末 - 晩期、涌谷町）] 長根貝塚 （ながねかいづか）は、 宮城県 遠田郡 涌谷町 にある 縄文時代 の代表的な 貝塚 。 1970年 （ 昭和 45年） 3月9日 、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/長根貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度36分06.8秒 東経141度08分38.4秒","","","","","","","","","","","","","","","","","","",""
"泉沢貝塚","[泉沢貝塚（石巻市）] 宮城県石巻市北上町の丘陵斜面にある貝塚で、 1948年 （ 昭和 23年）に アイオン台風 が石巻地方を襲った際に  、縄文時代晩期の高さ26.2cmの 遮光器土偶 が偶然発見された。同土偶は、県指定 有形文化財 として 多賀城市 の 東北歴史博物館 に所蔵されている。","https://ja.wikipedia.org/wiki/泉沢貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度33分56.3秒 東経141度24分23.5秒","","","","","","","","","","","","","","","","","","",""
"大木囲貝塚","[大木囲貝塚（前期 - 中期、七ヶ浜町）] 大木囲貝塚 （だいぎかこいかいづか）は、 宮城県 宮城郡 七ヶ浜町 東宮字大木・西大木・北大木・南大木に所在する 縄文時代 前期から中期にかけての大規模な環状 貝塚 遺跡 である。東北地方南部の縄文時代の 標式遺跡 のひとつである。1968年（昭和43年）3月18日、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/大木囲貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度18分10.9秒 東経141度2分37.9秒","","","","","","","","","","","","","","","","","","",""
"三神峯遺跡","[三神峯遺跡（前期 - 中期、仙台市）] 三神峯遺跡 （みかみねいせき）は、日本の 宮城県 仙台市 太白区 三神峯一丁目に所在する 縄文時代 と 古墳時代 の 複合遺跡 である。三神峯という 台地 上にあり、縄文時代前期の 竪穴住居 の集落跡と 遺物包含層 から多数の 遺物 が見つかっている。現在は 三神峯公園 となっているが、地下に遺跡があることはあまり知られていないと言う  。","https://ja.wikipedia.org/wiki/三神峯遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯38度13分29.68秒東経140度51分32.70秒","宮城県仙台市太白区三神峯一丁目","縄文時代・古墳時代の遺構","","","","","","","","","","","","","","","","",""
"小梁川遺跡","[小梁川遺跡（早期 - 中期、七ヶ宿町）] 小梁川遺跡 （こやながわいせき）は、 宮城県 刈田郡 七ヶ宿町 に所在する 縄文時代 早期から中期および 平安時代 （ 9世紀 後葉）に属する 遺跡 である。 七ヶ宿ダム 建設に伴い、 1981年 （昭和56年）から 1982年 （昭和57年）にわたって 発掘調査 が行われた。調査面積は48,000平方メートルに及び、宮城県では、はじめての遺跡の全面発掘調査となった。","https://ja.wikipedia.org/wiki/小梁川遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯37度58分13.27秒 東経140度29分58.41秒","","","","","","","","","","","","","","","","","","",""
"大梁川遺跡","[大梁川遺跡（中期 - 後期、七ヶ宿町）] 大梁川遺跡 （おおやながわいせき）は、 宮城県 刈田郡 七ヶ宿町 に所在する 縄文時代 中期から後期に属する 遺跡 である。 七ヶ宿ダム 建設に伴い、 1984年 （昭和59年）に発掘調査が行われた。調査対象面積は10,000平方メートルのうち道路部分にかかる約1,000平方メートルである。","https://ja.wikipedia.org/wiki/大梁川遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯37度58分58.26秒 東経140度29分1.90秒","","","","","","","","","","","","","","","","","","",""
