"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","所属諸島","最高峰","人口","都道府県","場所","最大都市","主要な島","時間帯","市町村","諸島","島数","人口密度","言語","郡"
"渡島大島","[大島- 9.74km2[11] 渡島大島 （おしまおおしま）は、 北海道 松前郡 松前町 に属する 無人島 である。 松前大島 （まつまえおおしま）とも呼ばれる。松前町西方沖50kmの地点に位置する。大島の名は 渡島小島 に対してのもの。住所は全域に亘って松前郡松前町大島。","https://ja.wikipedia.org/wiki/渡島大島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯41度30分40秒東経139度21分30秒","日本","9.73km²","737m","","","","江良岳","","","","","","","","","","","",""
"中島 (屈斜路湖)","[中島- 5.81km2[11] 中島 （なかじま）は 屈斜路湖 の 島 である。湖中島としては日本最大。上陸は禁止されている。","https://ja.wikipedia.org/wiki/中島_(屈斜路湖)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度37分56秒東経144度18分20秒","日本北海道弟子屈町","5.81km²","355m","屈斜路湖","12km","","","","","","","","","","","","","",""
"天売島","[天売島- 5.47km2[11] 天売島 （てうりとう）は、 北海道 北西部の 日本海 に浮かぶ 離島 。 留萌振興局 管内の 苫前郡 羽幌町 にある羽幌港から30 km 西にあり  、天売島の東側に並んで浮かぶ 焼尻島 とともに羽幌町に属している。面積5.47 km 2  、周囲約12km  、人口は317人（ 平成 29年3月時点）。島の名は、 アイヌ語 の「テウレ」（魚の背腸）もしくは「チュウレ」（足）に由来すると言われている。","https://ja.wikipedia.org/wiki/天売島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯44度25分28.0秒東経141度18分54.0秒","日本","5.50km²","184.5m","日本海","12km","","","","","","","","","","","","","",""
"焼尻島","[焼尻島- 5.19km2[11] 焼尻島 （やぎしりとう）は、 北海道 留萌振興局 管内の 苫前郡 羽幌町 の西25kmの 日本海 に浮かぶ 島 である。武蔵水道を隔てて西方にある 天売島 とともに、羽幌町に属する。","https://ja.wikipedia.org/wiki/焼尻島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯44度26分0秒東経141度25分26秒","北海道留萌振興局苫前郡羽幌町","5.21km²","94m","日本海","","","","198人（2019年）","","","","","","","","","38人/km","",""
"中島 (洞爺湖)","[中島- 4.84km2[11] 中島 （なかじま）は、 北海道 ・ 壮瞥町 と 洞爺湖町 に属する 洞爺湖 の湖中島である 大島 、 弁天島 、 観音島 、 饅頭島 の4島の総称である  。洞爺カルデラ内での約5万年前の火山噴火にともなって形成された 溶岩ドーム が水面に姿を現したもので  、湖底にあるものを含め周辺には11の火山体があることが確認されている  。最も大きい大島は、島の周長が9.6 km であり   、最高点の トーノシケヌプリ は標高455m、全体を広葉樹林に覆われている。","https://ja.wikipedia.org/wiki/中島_(洞爺湖)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯42度36分02秒東経140度51分22秒","日本北海道壮瞥町・洞爺湖町","4.84km²","455m","洞爺湖","","","トーノシケヌプリ","","","","","","","","","","","",""
"秋勇留島","[秋勇留島- 2.11km2[11] 島の名前の由来は、 アイヌ語 の「アキ・ユリ（弟・勇留→勇留の弟）」から。","https://ja.wikipedia.org/wiki/秋勇留島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度21分59.1秒東経146度0分21秒","ロシア（実効支配）日本（領有権主張）","5km²","33m","太平洋（北海道）","10.5km","歯舞群島","","","","","","","","","","","","",""
"ユルリ島","[ユルリ島- 1.98km2[11] ユルリ島 は、 北海道 根室市 昆布盛 の南東約2.6km、北緯43度12分、東経145度35に位置する 無人島 。","https://ja.wikipedia.org/wiki/ユルリ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度12分45.2秒東経145度35分48.5秒","日本北海道根室市","1.98km²","43.1m","","7.8km","","","","","","","","","","","","","",""
"渡島小島","[小島- 1.54km2[11] 渡島小島 （おしまこじま）は、 北海道 松前郡 松前町 に属する 無人島 。 松前小島 （まつまえこじま）とも呼ばれる。松前町の沖約24km付近に位置している  。面積は1.54km 2 。周囲約4km  。小島の名は 渡島大島 に対してのもの。島の南端は北緯41度20分58秒であり、離島も含めた広義の 北海道 最南端である。住所は全域に亘って松前郡松前町小島。","https://ja.wikipedia.org/wiki/渡島小島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯41度21分40秒東経139度48分20秒","日本","1.54km²","293m","","","","","","","","","","","","","","","",""
"大島 (北海道色丹村)","[大島- 1.28km2[11] 大島 （おおしま）は 北海道 （ 根室振興局 ） 色丹郡 色丹村 の島。","https://ja.wikipedia.org/wiki/大島_(北海道色丹村)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度45分10秒東経146度47分57秒","日本（領有権主張）ロシア（実効支配）","1.28km²","61m","","","北方地域","","","","","","","","","","","","",""
"大黒島 (厚岸町)","[大黒島- 1.07km2[11] 大黒島 （だいこくじま）は、 日本 の 北海道 厚岸郡 厚岸町 に属する 島 。 厚岸道立自然公園 に含まれる。","https://ja.wikipedia.org/wiki/大黒島_(厚岸町)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯42度57分20秒東経144度52分20秒","北海道厚岸郡厚岸町","1.08km²","105m","太平洋","","","","","","","","","","","","","","",""
"海馬島 (猿払村)","[海馬島 (猿払村)] 海馬島 （とどじま、とどしま）は、 北海道 宗谷郡 猿払村 に属する 島 。","https://ja.wikipedia.org/wiki/海馬島_(猿払村)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度21分36.8秒東経142度9分58.2秒","北海道宗谷郡猿払村","0.00008km²","2.7m","オホーツク海","","","","","","","","","","","","","","",""
"エサンベ鼻北小島","[エサンベ鼻北小島] エサンベ鼻北小島 （エサンベはなきたこじま）は、 北海道 猿払村 の沖合およそ500 mにあった 無人島 である     。","https://ja.wikipedia.org/wiki/エサンベ鼻北小島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度20分5.9秒東経142度10分52.9秒","日本北海道","","1.4m","オホーツク海","","","","","","","","","","","","","","",""
"海驢島","[海驢島] 海驢島 （とどじま、とどしま）は、 北海道 礼文郡 礼文町 （ 大字船泊村 ）に属する無人島。名称は「 海馬島 」や「 トド島 」とも表記され、また アイヌ語 における名称は ポンモシリ （Ponmosir）である。 礼文島 の スコトン岬 から北方約1キロメートル沖合に位置する 離島 であり、白浜の須古頓漁港から直線距離にして約2キロメートル、江戸屋の浜中漁港からは約3キロメートル離れている。 利尻礼文サロベツ国立公園 に含まれる島であり、20世紀初頭から1980年代にかけては 昆布 や ウニ の漁期に限って 漁業者 が居住していた。高台には 海驢島灯台 が存在する。","https://ja.wikipedia.org/wiki/海驢島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度28分37秒 東経140度57分52秒","北海道礼文郡礼文町","0.21km²","44m","日本海","4km","","","","","","","","","","","","","",""
"鴎島 (江差町)","[鴎島] 鷗島 （かもめじま）は、 北海道 檜山郡 江差町 に存在する 島 である。","https://ja.wikipedia.org/wiki/鴎島_(江差町)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯41度52分10秒 東経140度6分50秒","日本北海道","","","日本海","","","","","","","","","","","","","","",""
"嶮暮帰島","[嶮暮帰島] 嶮暮帰島 （けんぼっきとう）は、 北海道 厚岸郡 浜中町 字嶮暮帰にある隆起海食性台地の 島 で 厚岸道立自然公園 に含まれる。","https://ja.wikipedia.org/wiki/嶮暮帰島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度3分0秒東経145度6分23秒","日本","0.71km²","59m","太平洋","4.5km","","","","","","","","","","","","","",""
"弁天島 (北海道松前町)","[弁天島 (北海道松前町)] 弁天島 （べんてんじま）は、 北海道 松前郡 松前町 に存在する 島 である。","https://ja.wikipedia.org/wiki/弁天島_(北海道松前町)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯41度25分8秒東経140度5分23秒","日本（北海道）","","","松前湾","約1km","","","","","","","","","","","","","",""
"弁天島 (根室市)","[弁天島 (根室市)] 弁天島 （べんてんじま  ）は、 北海道 根室港 （ 根室市 ）にある 無人島   。","https://ja.wikipedia.org/wiki/弁天島_(根室市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度20分32秒東経145度34分35秒","日本北海道","","13m","根室湾","","","","","","","","","","","","","","",""
"弁天島 (稚内市)","[弁天島 (稚内市)- 日本が実効支配する最北端の地] 弁天島 （べんてんじま）は、 北海道 稚内市 の 宗谷湾 にある 無人島  。 宗谷岬 の北西約1.2 キロメートル 沖合に位置する 島 であり、 宗谷村 珊内の 集落 からは北へ約1キロメートル離れている。 日本国の施政下における域内では最北端の地 にあたる  。島名は 弁財天 が祀られていたことに由来する。","https://ja.wikipedia.org/wiki/弁天島_(稚内市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度31分35秒東経141度55分9秒","北海道稚内市","0.005km²","20m","日本海","0.5km","","","","","","","","","","","","","",""
"久六島","[久六島] 久六島 （きゅうろくじま   、きゅうろくしま  ）は、 青森県 西方の 日本海 上にある 島 。3つの岩礁からなる 無人島 で、行政上は 西津軽郡 深浦町 に属する。","https://ja.wikipedia.org/wiki/久六島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯40度31分53秒東経139度30分05秒","日本青森県西津軽郡深浦町","-km²","最高4.7m","日本海","-km","","","","","","","","","","","","","",""
"蕪島","[蕪島] 蕪島 （かぶしま）は、 青森県 八戸市 鮫町 にある 島 である。 ウミネコ 繁殖地として、国の 天然記念物 に指定されている  。また、2013年5月に 三陸復興国立公園 に指定されている。","https://ja.wikipedia.org/wiki/蕪島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯40度32分20.66秒東経141度33分26.95秒","日本（青森県）","0.017km²","19m","太平洋","0.8km","","","","","","","","","","","","","",""
"弁天島 (大間町)","[弁天島 (大間町)- 本州の最北端大間崎の北に位置する島] 弁天島 （べんてんじま）は、 青森県 下北郡 大間町 に存在する 島 である。かつては 鳥居島 とも呼ばれていた。","https://ja.wikipedia.org/wiki/弁天島_(大間町)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯41度33分5秒東経140度54分55秒","日本（青森県）","0.14km²","","津軽海峡","2.7km","","","","","","","","","","","","","",""
"鯛島 (青森県)","[鯛島] 鯛島 （たいじま）は、 青森県 むつ市 脇野沢（旧 脇野沢村 ）の牛ノ首岬沖約800mの 陸奥湾 上にある 無人島 。 下北半島国定公園 に含まれ、 1975年 12月10日 には 海域公園 （旧称：海中公園）に指定されている。","https://ja.wikipedia.org/wiki/鯛島_(青森県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯41度07分03.88秒東経140度49分05.92秒","日本・青森県むつ市","0.016km²","24m","陸奥湾","0.4km","","","","","","","","","","","","","",""
"三貫島","[三貫島] 三貫島 （さんがんじま）は、 岩手県 釜石市 箱崎町 に存在する 島 である。","https://ja.wikipedia.org/wiki/三貫島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯39度18分23秒 東経141度58分55秒","","","","","","","","","","","","","","","","","","",""
"日出島","[日出島] 日出島 （ひでしま、ひでじま）は、 岩手県 宮古市 に存在する 島 であり、同市の中で最大の島である  。","https://ja.wikipedia.org/wiki/日出島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯39度40分12秒 東経141度59分15秒","","","","","","","","","","","","","","","","","","",""
"椿島 (陸前高田市)","[椿島 (陸前高田市)] 椿島 （つばきしま）は、 岩手県 陸前高田市 広田半島の約1キロメートル沖の 太平洋 上に存在する 島 である。","https://ja.wikipedia.org/wiki/椿島_(陸前高田市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度55分58秒 東経141度43分15秒","","","","","","","","","","","","","","","","","","",""
"金華山 (宮城県)","[金華山- 9.92km2[11] 金華山 （きんかさん   ）は、 宮城県 石巻市 の 太平洋 上に浮かぶ 島 である。 人口 は5人。これは全員が後述の神社の 神職 であり、他に一般の居住者はいない。対岸の 牡鹿半島 との間に 内海 「金華山瀬戸」がある。","https://ja.wikipedia.org/wiki/金華山_(宮城県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度17分20秒東経141度34分12.2秒","日本･宮城県石巻市","10.28km²","444m","太平洋","17.3km","牡鹿諸島","金華山","","","","","","","","","","","",""
"大島 (宮城県気仙沼市)","[大島- 8.50km2[11] 大島 （おおしま）は、 日本 の 東北地方 の 三陸海岸 に位置する、 面積 8.50平方キロメートルの 島 。 行政 上は 宮城県 気仙沼市 に属する有人島の一つ。この島は通常「 大島 」と呼ばれるが、全国各地にある他の「 大島 」と区別するために「 気仙沼大島 」（けせんぬま おおしま）と呼ばれることもある  。","https://ja.wikipedia.org/wiki/大島_(宮城県気仙沼市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度51分42秒東経141度37分44秒","日本（宮城県）","8.50km²","235m","太平洋","22km","","","","","","","","","","","","","",""
"宮戸島","[宮戸島- 7.06km2[11] 宮戸島 （みやとじま）は、 宮城県 東松島市 にある 陸繋島 で、 仙台湾 の支湾である 松島湾 と 石巻湾 とを分ける位置にある。島としては、松島湾で最大の面積を持つ。人口は約1,200人。","https://ja.wikipedia.org/wiki/宮戸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度20分7.1秒東経141度9分14秒","日本","7.39km²","105.6m","太平洋、仙台湾、松島湾","約15km","","大高森","","","","","","","","","","","",""
"網地島","[網地島- 6.49km2[11] 網地島 （あじしま）は、 宮城県 石巻市 の沖合いに浮かぶ 島 。","https://ja.wikipedia.org/wiki/網地島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度15分57.8秒東経141度28分44.0秒","日本･宮城県石巻市","6.43km²","101mm","太平洋、仙台湾","18.3km","牡鹿諸島","七ツ森","","","","","","","","","","","",""
"田代島","[田代島- 2.92km2[11] 田代島 （たしろじま）は、 宮城県 石巻市 に属す 島 。「 たっしょ  」とも呼ばれる。 三陸海岸 南端を構成する 牡鹿半島 の先端近くの 仙台湾 （ 石巻湾 ）内にある。島内の 農業 は衰退したが、現在は 漁業 や釣り客・観光客を相手とする 観光業 が主な産業となっている。","https://ja.wikipedia.org/wiki/田代島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度17分52.5秒東経141度25分1.3秒","日本・宮城県石巻市","2.92km²","96.2m","太平洋・仙台湾","11.5km","牡鹿諸島","正島山（しょうじまやま）","","","","","","","","","","","",""
"出島 (宮城県)","[出島- 2.63km2[11] 出島 （いずしま）は、 宮城県 牡鹿郡 女川町 に浮かぶ有人 島 。","https://ja.wikipedia.org/wiki/出島_(宮城県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度27分0秒東経141度31分30秒","日本・宮城県牡鹿郡女川町","2.63km²","87.8m","太平洋","14km","牡鹿諸島","","","","","","","","","","","","",""
"寒風沢島","[寒風沢島- 1.37km2[11] 寒風沢島 （さぶさわじま）は 宮城県 塩竈市 にある島である。","https://ja.wikipedia.org/wiki/寒風沢島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度19分59秒東経141度07分28秒","日本宮城県塩竈市","1.45km²","30m","松島湾","13.5km","浦戸諸島","","","","","","","","","","","","",""
"江島 (宮城県)","[江島 (宮城県)] 江島 （えのしま）は、 宮城県 牡鹿郡 女川町 の沖合に浮かぶ 島 。 神奈川県 の 江の島 や その他の江島 と区別して「 陸前 江島 （りくぜんえのしま）」とも呼ばれる。島名は「江ノ島」、「江の島」と表記されることも多いが、「江島」とするのが正しい。","https://ja.wikipedia.org/wiki/江島_(宮城県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度23分55秒東経141度35分38秒","日本・宮城県牡鹿郡女川町","0.36km²","76.5m","太平洋","3.73km","牡鹿諸島","","","","","","","","","","","","",""
"浦戸諸島","[浦戸諸島] 塩釜港 と各島の間を、 塩竈市営汽船 が1日6、7往復、運航している。運行経路は、塩竈観光桟橋（ マリンゲート塩釜 ）、桂島、野々島、石浜（桂島の東側）、寒風沢島、朴島である。運航船舶は「しおじ（64トン）」の鋼船1隻と、「うらと（19トン）」、「しおね（19トン）」のFRP船2隻である  。いずれも 貨客船 で旅客も貨物も扱っているが、船舶により積載量が異なることから、 テレビ受像機 、 冷蔵庫 、大型 漁具 等の大型荷物の輸送については、事前の問い合わせが必要である  。","https://ja.wikipedia.org/wiki/浦戸諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"椿島 (南三陸町)","[椿島 (南三陸町)] 椿島 （つばきしま）は、 宮城県 本吉郡 南三陸町 に存在する 島 である。 志津川湾 の南西部に位置する。","https://ja.wikipedia.org/wiki/椿島_(南三陸町)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度39分6秒 東経141度29分20秒","","","","","","","","","","","","","","","","","","",""
"水島 (秋田県)","[水島、根太島、宮島 - いずれも男鹿半島近海の離島。] 水島 （みずしま）は、 秋田県 男鹿市 にある 日本 の 無人島 。","https://ja.wikipedia.org/wiki/水島_(秋田県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯40度0分53秒東経139度41分56秒","日本（秋田県）","","1m","日本海","","","","","","","","","","","","","","",""
"八郎潟","[八郎潟- 干拓による人工の湖中島。] 八郎潟 （はちろうがた）は、 秋田県 にある 湖 。 二級河川 馬場目川 水系に属する  。かつては面積220 km 2 と、日本の湖沼面積では 琵琶湖 に次ぐ第2位であったが、大部分の水域が 干拓 によって陸地化され、陸地部分が 大潟村 になった。現在では日本の湖沼において18位の面積である  。 八郎湖 や  、 八郎潟残存湖 といった別名でも呼ばれる。","https://ja.wikipedia.org/wiki/八郎潟","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯39度55分00秒東経140度01分00秒","日本秋田県","27.75km2","","","","","","","","","","","","","","","","",""
"飛島 (山形県)","[飛島- 2.73km2[11] 飛島 （とびしま）は、 日本海 に浮かぶ 島 。 山形県 酒田市 に属する  。 離島振興対策実施地域 （ 1955年 指定）  。","https://ja.wikipedia.org/wiki/飛島_(山形県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯39度11分40秒東経139度33分0秒","日本山形県酒田市","2.73km²","68m","日本海","10.2km","","高森山","275人","","","","","","","","","","",""
"弁天島 (鶴岡市)","[弁天島] ","https://ja.wikipedia.org/wiki/弁天島_(鶴岡市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度33分31.9秒東経139度32分29.66秒","山形県鶴岡市鼠ヶ関","","","","","","","","","","","","","","","","","",""
"白山島","[白山島] 白山島 （はくさんじま）は、 山形県 鶴岡市 の沖合にある 島 である。","https://ja.wikipedia.org/wiki/白山島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯38度43分29.4秒東経139度40分58.5秒","日本（山形県）","0.03km²","70m","日本海","0.8km","","","","","","","","","","","","","",""
"中州","[中州-潟湖である松川浦の湖中島。] 中州 （ 中洲 、なかす）とは、 川 の中において、上流から供給された 土砂 などが 堆積 し、 陸地 となっている 地形 のことである。 川中島 （かわなかじま）ともいう。","https://ja.wikipedia.org/wiki/中州","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"機械島 (存在しないページ)","[機械島- 同上。]","https://ja.wikipedia.org/w/index.php?title=機械島&amp;action=edit&amp;redlink=1","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"翁島","[翁島-猪苗代湖の湖中島。] 翁島 （おきなじま）は、 福島県 の 猪苗代湖 の西北部に位置する 島 。行政上は 福島県 耶麻郡 猪苗代町 大字翁沢に属する 無人島 である。また、翁島を含む猪苗代町西南部の地域名でもある。","https://ja.wikipedia.org/wiki/翁島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯37度30分36.4秒 東経140度2分14秒","","","","","","","","","","","","","","","","","","",""
