"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","  市域","国","標高","等時帯","人口","市長","  都市圏","市外局番"," 市","ナンバープレート","    ,人口密度","郵便番号"," ,州","簡体字","繁体字","拼音","カタカナ,転写","国家","行政級別"
"キンシャサ","[11キンシャサ  コンゴ民主共和国22,785,0001,73315,500] アフリカ でも特に成長著しい メガシティ の１つであり、人口は約1,457万人。","https://ja.wikipedia.org/wiki/キンシャサ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","南緯4度19分30秒 東経15度19分20秒","","コンゴ民主共和国","240 m","UTC+1(西アフリカ時間)","","","","243 + 9","","","","","","","","","","",""
"マニラ","[12マニラ  フィリピン共和国21,951,0001,42515,400] 「東洋の真珠」などの美称があり、フィリピンが スペイン人 によって 植民地 化された 16世紀 末よりフィリピンの首府であり、独立後も一貫して首都でありつづけている。市域人口は178万人（2015年）であり、人口1,155万人を抱える マニラ首都圏 の中核都市である。さらに近郊を含む 都市圏人口 は2016年時点で2,293万人であり、世界有数の 大都市圏 を形成している  。マニラ首都圏全体で首都機能を果たしているため、首都圏自体を首都とみなすこともある  。","https://ja.wikipedia.org/wiki/マニラ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯14度35分0秒 東経120度58分0秒","","フィリピン","16.0 m","UTC+8(フィリピン標準時)","","","","2","","","","0900–1096","","","","","","",""
"ダッカ","[13ダッカ  バングラデシュ人民共和国21,573,46186744,400] バングラデシュ中央部に位置し、ブリゴンガ排水路によって ドレッショリ川 に通じる同国の 商業 ・ 工業 ・ 文化 ・ 教育 の中心地であるダッカは、「モスクの街」としても知られる  。 ジュート ・ 綿 加工や食品加工などの 製造業 が行われ、特にまた高品質な モスリン 生産の地としても有名である。街中には約40万台と言われる リキシャ が毎日行き交う事でも知られる  。","https://ja.wikipedia.org/wiki/ダッカ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯23度42分7.2秒 東経90度22分1秒","145km2(56mi2)","バングラデシュ","2m","UTC+6  (UTC+6)","（2011年現在）","Sadeque Hossain Khoka","","02","ダッカ","","  61,421人/km2（159,036人/mi2）","","","","","","","",""
"ムンバイ","[14ムンバイ  インド共和国20,543,16496530,900] インド第2の大都市であり  、首都 デリー と共に 南アジア を代表する 世界都市 の一つである。和名は孟買。","https://ja.wikipedia.org/wiki/ムンバイ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯18度57分53秒 東経72度49分33秒","603.4km2(233mi2)","インド","8m(26ft)","IST（インド標準時）  (UTC+5:30)","（2011年現在）","キショリ・ペドネカール（英語版）（シヴ・セーナー）","21,290,000人","+022","ムンバイ","MH 01 - 03","  20,694人/km2（53,597人/mi2）","","マハーラーシュトラ州","","","","","",""
"ニューヨーク","[15ニューヨーク  アメリカ合衆国20,458,13011,6421,800] ニューヨーク市はアメリカ合衆国北東部の大西洋に面し、巨大な ニューヨーク港 を持つ。市は ブロンクス 、 ブルックリン 、 マンハッタン 、 クイーンズ 、 スタテンアイランド という5つの 行政区 （バロウ、ボロウ）に分けられる。2010年の国勢調査における市域人口は817万5,133人を数え  、陸地面積は790km 2   、人口密度はアメリカ国内の主要都市の中で2位である  。ニューヨーク都市圏の人口もまた国内最大であり、 ハドソン川 対岸の ニュージャージー州 ニューアーク や ジャージーシティ 、本土側の ヨンカーズ や ニューロシェル 、および ロングアイランド などを含む都市圏は1,889万7,109人、 コネチカット州 の スタンフォード 、 ブリッジポート 、 ニューヘイブン やニュージャージー州の州都 トレントン 、内陸のポキプシーなどを含む広域都市圏は2,208万5,649人（いずれも2010年国勢調査）の人口を抱えている  。","https://ja.wikipedia.org/wiki/ニューヨーク","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯40度42分46秒 西経74度00分22秒","1,214.4km2","アメリカ合衆国","平均10m","東部標準時(UTC-5)","（2020年現在）","エリック・アダムス（英語版）（民主党）","17,405 km2","","ニューヨーク市","","",""," ニューヨーク州","","","","","",""
"カイロ","[16カイロ  エジプト・アラブ共和国19,989,0001,70910,400] アラブ世界 で最も人口の多い 都市 であり、アラブ世界及び 中東 を代表する 世界都市 の一つ。 アラブ連盟 の本部所在地でもあり、アラブ文化圏の中心都市である。","https://ja.wikipedia.org/wiki/カイロ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯30度2分 東経31度14分",""," エジプト","23 m","UTC+02:00(EST)","","","","(+20) 2","","","","","","","","","","",""
"モスクワ","[17モスクワ  ロシア連邦19,652,0004,4033,500] 北緯55度45分、東経37度37分に位置する。市の中心を モスクワ川 が蛇行しながら流れる。市域 面積 は2,511平方キロメートルに達する。植生的には北の 針葉樹林 帯と南の混合樹林帯との接点に位置する。土壌は ポドゾル が主で、肥沃ではない  。","https://ja.wikipedia.org/wiki/モスクワ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯55度45分8秒 東経37度37分56秒","","ロシア","158m","モスクワ時間(UTC+3)","（2020年現在）","セルゲイ・ソビャーニン（統一ロシア）","","+7 495、+7 499","","77、99、97、177、199、197、777、799、797","  5,049人/km2","101xxx – 129xxx","","","","","","",""
"ロサンゼルス","[18ロサンゼルス  アメリカ合衆国17,854,1256,2992,400] ロサンゼルスは ロサンゼルス郡 内にある。同郡には他に ビバリーヒルズ 、 サンタモニカ 、 ロングビーチ などが含まれる。郡の面積は12,308km²で、人口は約976万人。市内には ハリウッド や バレー などがある。","https://ja.wikipedia.org/wiki/ロサンゼルス","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯34度3分0秒 西経118度15分0秒","1,301.970km2(502.693mi2)","アメリカ合衆国","※71m(233ft)","太平洋標準時(UTC-8)","（2016年現在）","エリック・ガーセッティ（英語版）（民主党）","","213、310、323、424、747、818","ロサンゼルス市","","  3,276人/km2（8,484人/mi2）",""," カリフォルニア州","","","","","",""
"コルカタ","[19コルカタ  インド共和国16,867,4311,20411,900] 2011年 の市域 人口 は448万人。 2016年 の近郊を含む 都市圏人口 は1,481万人であり、世界第20位、インドでは デリー と ムンバイ に次ぐ第3位である  。和名で甲谷佗、加爾各搭、軽骨田という表記も可能である。","https://ja.wikipedia.org/wiki/コルカタ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯22度34分22秒 東経88度21分50秒","205.00km2","インド","9m","IST(UTC+5:30)","（2011年現在）","Firhad Hakim（AITMC）","1,886.67 km2","","コルカタ","WB","  22,000人/km2","","西ベンガル州","","","","","",""
"メキシコシティ","[20メキシコシティ  メキシコ合衆国16,579,0002,0469.543] メキシコ最大の 都市 であり、 2016年 の近郊を含む 都市圏人口 は2,023万人であり、世界第12位である  。メキシコのみならず ラテンアメリカ の経済の中心地の一つであり、 2014年 の 都市圏GDP は3,837億 ドル である  。これはラテンアメリカでは サンパウロ （ ブラジル ）に次ぐ第2位であり、世界では第18位に位置する。","https://ja.wikipedia.org/wiki/メキシコシティ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯19度26分 西経99度8分",""," メキシコ","2,240 m","UTC−06:00(CST)","","","","","","","","","","","","","","",""
"ブエノスアイレス","[21ブエノスアイレス  アルゼンチン共和国16,213,0002,6425,200] どの 州 にも属しておらずブエノスアイレス自治市  とも呼ばれる（なお、 1880年 の首都令以来、 ブエノスアイレス州 の州都は ラ・プラタ 市である）。 大ブエノスアイレス都市圏 の 都市圏人口 は 2016年 時点で1,428万人であり、世界第21位である  。建国以来アルゼンチンの政治、経済、文化の中心である。アルゼンチンの縮図ともなっている一方で、内陸部との差異が大きすぎるため、しばしば「国内共和国」と呼ばれる。","https://ja.wikipedia.org/wiki/ブエノスアイレス","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","南緯34度36分13秒 西経58度22分54秒","203km2","アルゼンチン","25m","UTC-3  (UTC-3)","（2010年現在）","","4,758 km2","011","ブエノスアイレス","","  14,240人/km2","C1000 - C14??","","","","","","",""
"イスタンブール","[22イスタンブール  トルコ共和国15,461,2311,3999,700] サライブルヌ （ 英語版 ） の岬に紀元前660年に ビュザンティオン として創建され、現在では歴史上最も重要な都市の一つとしてイスタンブールは知られている。 330年 に コンスタンティノープル として再建されて以降およそ16世紀の間、 ローマ帝国 （330年 - 395年）、 ビザンティン （395年 - 1204年、1261年 - 1453年）、 ラテン帝国 （1204年 - 1261年）、 オスマン帝国 （1453年 - 1922年） と4つの帝国の首都であった   。1453年にオスマン帝国により都市が征服され コンスタンティノープルの陥落 が起こる以前のローマやビザンティンの時代は キリスト教 発展の要であったが、征服後は イスラム教 の中心やオスマンの カリフ の中心に変わった  。1923年にトルコ共和国が アンカラ を新しい首都に制定したが、宮殿や帝国のモスクは今でもイスタンブールの丘に見ることが出来、イスタンブールの以前の中心的な役割を想起させる遺産となっている。イスタンブールは歴史上重要な シルクロード に沿った戦略的な場所に位置する  。ヨーロッパ＝アナトリア間の鉄道網（ オリエンタル鉄道 ・ トルコ国鉄 ）と黒海・地中海を結ぶ唯一の航路がイスタンブールで交わっている。アナトリア中から移住者がイスタンブールやその周辺に集まって居住地が広まり、1950年代以来人口は10倍に増加している   。20世紀後半には芸術祭が確立し、その間にインフラが改善され複合的な交通網が整備されていった。","https://ja.wikipedia.org/wiki/イスタンブール","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯41度0分44.06秒 東経28度58分33.66秒","5,343km2(2,063mi2)","トルコ","100m(328ft)","極東ヨーロッパ時間(UTC+3)","（2020年現在）","Ekrem İmamoğlu（共和人民党）","","(+90) 212（ヨーロッパ側）(+90) 216（アジア側）","イスタンブール","34","  2,976人/km2","34010 - 34850（ヨーロッパ側）80000 - 81800（アジア側）","","","","","","",""
"中京","[23中京  日本国15,014,8973,8202,600] 別名 名古屋圏 （なごやけん）、 中部圏 （ちゅうぶけん）。","https://ja.wikipedia.org/wiki/中京圏","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","","","日本","","","","","","","","","","","","","","","","",""
"カラチ","[24カラチ  パキスタン・イスラム共和国12,879,00077718,300] 2016年 の近郊を含む 都市的地域の人口 は2,282万人であり、世界第7位である  。また、パキスタンにおける商業・金融の中心地でもある。位置は、 北緯 24度48分、 東経 66度59分。パキスタン建国から1960年8月1日に 首都 機能が イスラマバード に移転するまでは、同国の首都であった。","https://ja.wikipedia.org/wiki/カラチ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯24度51分36秒 東経67度00分36秒","3,527km2(1,356mi2)","パキスタン","8m(26ft)","パキスタン標準時(UTC+5)","（2017年現在）","","16,051,521人","021","カラチ","","  3,900人/km2（10,000人/mi2）","","シンド州","","","","","",""
"リマ","[25リマ  ペルー共和国12,336,00099818.000] 1535年1月18日に、 インカ帝国 を征服した スペイン人 の フランシスコ・ピサロ ら コンキスタドーレス 一行は、リマック川右岸のリマの首長、タウリチェスコの館で、スペイン式の儀式に基づいて「副王たちの都」（\"La Ciudad de los Reyes\"）を創設した  。場所の選定として最初はアンデス山脈中腹の ハウハ が候補に上ったが、高度と海路交通の不便さなどから見送られ、 太平洋 に面したリマク川の畔のリマの地が選定された  。1542年にリマは ペルー副王領 の首都に指定され、 ヌエバ・エスパーニャ副王領 の メヒコ市 と共に、それまでの イスパニョーラ島 の サント・ドミンゴ に代わって アメリカ大陸におけるスペイン植民地支配 の中心地となった。","https://ja.wikipedia.org/wiki/リマ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","南緯12度5分36秒 西経77度2分48秒","2,672.3km2","ペルー","0 - 1,548m","UTC-5  (UTC-5)","（2018年現在）","ホルヘ・ムニョス（無所属）","2,819.3 km2","","リマ","","","","","","","","","",""
"リオデジャネイロ","[26リオデジャネイロ  ブラジル連邦12,043,0002,0206,000] 人口は600万人を超え、 サンパウロ に次いでブラジル第2位にランクされる。経済規模（域内総生産）でもサンパウロに次いで第2位にあり、アメリカの シンクタンク が公表した ビジネス ・ 人材 ・ 文化 ・ 政治 などを対象とした総合的な 世界都市ランキング において、世界第56位、国内ではサンパウロに次ぐ第2位の都市と評価された  。都市周辺の美しい 文化的景観 は「 リオデジャネイロ:山と海との間のカリオカの景観群 」として、2012年に 世界遺産 リストに登録された。","https://ja.wikipedia.org/wiki/リオデジャネイロ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","南緯22度54分30秒 西経43度11分47秒","1,260km2","ブラジル","0〜380m","UTC-3  (UTC-3)","（2016年現在）","エドゥアルド・パイス（共和党）","4,557.3 km2","+55 21","リオ・デ・ジャネイロ","","  5,158人/km2","","","","","","","",""
"深圳","[27深圳  中華人民共和国11,885,0001,7486,800] 深圳市は 香港 の 新界 と接し、 経済特区 に指定されている。 北京市 、 上海市 、 広州市 と共に、中国本土の4大都市と称される「北上広深」の一つであり、「一線都市」に分類されている  。中国屈指の 世界都市 であり、 金融センター としても重要な機能を果たしている。 2010年 の近郊を含む 都市的地域の人口 は1,447万人であり、世界第15位である  。アメリカの シンクタンク が 2020年 に発表した総合的な 世界都市ランキング において、世界75位の都市と評価された  。中国本土では 北京市 、 上海市 、 広州市 に次ぐ4位である。","https://ja.wikipedia.org/wiki/深圳","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯22度33分 東経114度06分","","","","","","陳如桂","","","","粤B","","518000","","深圳","深圳","Shēnzhèn","シェンチェン","中華人民共和国","副省級市"
"シカゴ","[28シカゴ  アメリカ合衆国10,986,7346,8561,300] イリノイ州最大にして 北アメリカ 屈指の 世界都市 。国内では ニューヨーク と ロサンゼルス に次ぐ人口を持つ。","https://ja.wikipedia.org/wiki/シカゴ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯41度54分 西経87度39分","606.2km2(234.0mi2)","アメリカ合衆国","179m(587ft)","中部標準時(UTC-6)","（2010年現在）","ロリ・ライトフット（英語版）（民主党）","28,160 km2(10,874 mi2)","","シカゴ市","","  4,447.4人/km2（11,864.4人/mi2）",""," イリノイ州","","","","","",""
"天津","[29天津  中華人民共和国10,584,3141,6845,300] 華北平原海河の五大支流の合流する所に位置し、東に 渤海 を、北に燕山を臨む。市内を流れる 海河 は天津の母親河とも呼ばれる。","https://ja.wikipedia.org/wiki/天津","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯39度07分25秒 東経117度11分53秒","","","","","","（空位）","","","","津A, B, C, D, F, G, H津E (タクシー)","","300000/301000","","天津","天津","Tiānjīn","ティエンジン","中華人民共和国","直轄市"
"チェンナイ","[30チェンナイ  インド共和国10,211,31460914,600] 「南インドの玄関口」「南アジアの デトロイト 」「インドの健康首都」「インド銀行業の首都」の異名を持つ。","https://ja.wikipedia.org/wiki/チェンナイ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯13度5分 東経80度16分","426km2","インド","6m","IST(UTC+5:30)","（2011年現在）","","1,189 km2","+91 44","チェンナイ","TN-01 to TN-14, TN-18, TN-22, TN-85","  17,000人/km2","","タミル・ナードゥ州","","","","","",""
"ボゴタ","[31ボゴタ  コロンビア共和国10,014,56441421,000] 1991年 に名称が サンタ・フェ・デ・ボゴタ （Santa Fe de Bogotá）に変わったが、 2000年 に再び現在の名称になった。","https://ja.wikipedia.org/wiki/ボゴタ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯4度39分0秒 西経74度3分0秒","1,587km2"," コロンビア","2,640m","UTC-5  (UTC-5)","（2019年7月現在）","クラウディア・ロペス","","","ボゴタ","","  5,218人/km2","","","","","","","",""
"バンガロール","[32バンガロール  インド共和国8,670,00073811,700] デカン高原 の南、カルナータカ州南西部のマイソール高原の上に位置し、標高は920m。市域人口は842万人（2011年）に達し、インド第3の人口である  。 2016年 の 都市圏人口 は1,016万人であり、同国第4位の 大都市圏 を形成している  。インドにおける IT産業 の中心都市。","https://ja.wikipedia.org/wiki/バンガロール","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯12度58分12秒 東経77度33分36秒","741km2","インド","920m","IST(UTC+5:30)","（2011年現在）","","8,499,399人","91-(0)80","ベンガルール","KA 01, KA 02, KA 03, KA 04, KA 05, KA 41, KA 50, KA 51, KA 53","","","カルナータカ州","","","","","",""
"ロンドン","[33ロンドン  イギリス8,586,0001,6235,300] イギリス や ヨーロッパ 域内で最大の 都市圏 を形成している。ロンドンは テムズ川 河畔に位置し、2000年前の ローマ帝国 による ロンディニウム 創建が都市の起源である  。ロンディニウム当時の街の中心部は、現在の シティ・オブ・ロンドン （シティ）に相当する地域にあった。シティの 市街壁 内の面積は約1 平方マイル （2.6km 2 ）あり、中世以来その範囲はほぼ変わっていない。少なくとも 19世紀 以降、「ロンドン」の名称はシティの市街壁を越えて開発が進んだシティ周辺地域をも含めて用いられている  。ロンドンでは市街地の大部分が コナベーション により形成されている  。ロンドンを管轄する リージョン である グレーター・ロンドン では  、選挙で選出された ロンドン市長 と ロンドン議会 により統治が行われている  。","https://ja.wikipedia.org/wiki/ロンドン","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯51度30分28秒 西経0度07分41秒","","イギリス","","UTC+0(グリニッジ標準時)","","","","","","","","E, EC, N, NW, SE, SW, W, WC, BR, CM, CR, DA, EN, HA, IG, KT, RM, SM, TN, TW, UB, WD","","","","","","",""
"ホーチミン","[34ホーチミン  ベトナム社会主義共和国8,400,0008429,900] ベトナム 国民の父 として親しまれる人物である「 ホー・チ・ミン 」と音韻弁別するため、通常は ホーチミン市 又は ホーチミン・シティ （ 英語 : Ho Chi Minh City ）と呼ぶ。旧名は サイゴン （ ベトナム語 ： Sài Gòn  / 柴棍 、 中 ： 西貢 ）であり、現地では今なお「サイゴン」という表現が、様々な場面で使われており、都市名としては「ホーチミン市」よりも通じる  。また、 ベトナム人 の間では「 HCMC 」「 TP.HCM 」と省略されることが多い。","https://ja.wikipedia.org/wiki/ホーチミン市","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯10度46分10秒 東経106度40分55秒","","","","","","","","28","","50 → 59","","70","","","","","","",""
"台北市","[35台北市  中華民国8,330,1251,1407,300] 台北市は急速な人口増加のため、台北盆地の山際にまで 都市化 が進展している。北部は夜市で有名な士林、山の手高級住宅地の 天母 、 温泉 で有名な北投から、地域内には台北最古の寺・ 関渡宮 が立地している 関渡 にいたる。中心部は古くから栄えた地域であり、日本時代の建築や清時代の遺構が多い。総統府、台北最古の寺の一つの 龍山寺 、古くからの繁華街・西門町もここにある。南部には茶の産地である 木柵 を擁する。","https://ja.wikipedia.org/wiki/台北市","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯25度5分27.8秒東経121度33分35.4秒","","","","","","","","","","","","","","","","","","",""
"東莞","[36東莞  中華人民共和国8,278,0001,4505,700] 唐 代の757年に、番禺（ 広州 ）の東にある、「莞草」（ イグサ ）の産地として「東莞」と名付けられた。","https://ja.wikipedia.org/wiki/東莞市","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯23度2分 東経113度43分","","","","","","袁宝成","","","","粤S","","523000","","东莞","東莞","Dōngguǎn","ドングアン","中華人民共和国","地級市"
