"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","最新噴火","山号","宗旨","宗派","本尊","創建年","開山","中興","正式名","札所等","法人番号","Hidden","Hidden","Hidden"
"三国山 (鳥取県・岡山県)","[11画 像 募 集 中みくにがせん三国山鳥取県岡山県1,251.9地理院地図Googleマップ北緯35度21分25秒東経134度01分10秒﻿ / ﻿北緯35.357009度 東経134.019520度﻿ /35.357009; 134.019520﻿ (三国山)吉井川源流] 三国山 （みくにがせん、みくにやま）は、 鳥取県 と 岡山県 の県境をなす山である。 山と溪谷社 による 中国百名山 の一つ。","https://ja.wikipedia.org/wiki/三国山_(鳥取県・岡山県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度21分1.58秒東経134度0分53.98秒","日本鳥取県鳥取市","（北嶺）1251.9m","北緯35度21分1.58秒東経134度0分53.98秒﻿ / ﻿北緯35.3504389度 東経134.0149944度﻿ /35.3504389; 134.0149944座標:北緯35度21分1.58秒東経134度0分53.98秒﻿ / ﻿北緯35.3504389度 東経134.0149944度﻿ /35.3504389; 134.0149944","中国山地","","","","","","","","","","","","","","",""
"鷲峰山 (鳥取県)","[12じゅうぼうざん鷲峰山鳥取県920.6地理院地図Googleマップ北緯35度25分20秒東経134度02分40秒﻿ / ﻿北緯35.422335度 東経134.044324度﻿ /35.422335; 134.044324﻿ (鷲峰山)] 鷲峰山 （じゅうぼうやま）  は、 鳥取県 鳥取市 鹿野町 にある山である。 標高 920.6m  。「じゅうほうざん」とも呼ばれ  、 @media screen{.mw-parser-output .fix-domain{border-bottom:dashed 1px}} 鷲峯山とも書かれる  。","https://ja.wikipedia.org/wiki/鷲峰山_(鳥取県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度25分22秒東経134度02分40秒","鳥取県鳥取市","920.6m","北緯35度25分22秒東経134度02分40秒﻿ / ﻿北緯35.42278度 東経134.04444度﻿ /35.42278; 134.04444座標:北緯35度25分22秒東経134度02分40秒﻿ / ﻿北緯35.42278度 東経134.04444度﻿ /35.42278; 134.04444","四国山地","","","","","","","","","","","","","","",""
"三徳山","[13みとくさん三徳山鳥取県899.6地理院地図Googleマップ北緯35度23分09秒東経133度57分49秒﻿ / ﻿北緯35.385949度 東経133.963500度﻿ /35.385949; 133.963500﻿ (三徳山)三仏寺投入堂(国宝)] 三徳山 （みとくさん）は、 鳥取県 東伯郡 三朝町 にある山である。 標高 899.6 メートル 。706年に役行者により修験の霊地と定められたと伝わる。山名は蔵王・子守・勝手の三所権現を山内に祀り「福徳」「智徳」「寿徳」の３つの徳が授かる山の由来と、「 法身 （美しい）」「 般若 （にごりのない）」「 解脱 （働きのある心）」の3つの徳に由来する。麓には国宝投入堂を有する三徳山三佛寺が存在する。","https://ja.wikipedia.org/wiki/三徳山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度23分09.3秒東経133度57分48.6秒","日本鳥取県東伯郡三朝町","899.6m","北緯35度23分09.3秒東経133度57分48.6秒﻿ / ﻿北緯35.385917度 東経133.963500度﻿ /35.385917; 133.963500座標:北緯35度23分09.3秒東経133度57分48.6秒﻿ / ﻿北緯35.385917度 東経133.963500度﻿ /35.385917; 133.963500","","","","","","","","","","","","","","","",""
"打吹山","[14うつぶきやま打吹山鳥取県204地理院地図Googleマップ北緯35度25分35秒東経133度49分19秒﻿ / ﻿北緯35.426453度 東経133.821997度﻿ /35.426453; 133.821997﻿ (打吹山)] 打吹山 （うつぶきやま）は、 鳥取県 倉吉市 にある山である。 標高 204m。 天女 伝説のある山で、残された天女の子どもが、この山の頂で太鼓や笛を吹いて天に帰った母親を思い偲んだと伝えられている。","https://ja.wikipedia.org/wiki/打吹山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度25分35.2秒東経133度49分19.1秒","日本鳥取県倉吉市","204m","北緯35度25分35.2秒東経133度49分19.1秒﻿ / ﻿北緯35.426444度 東経133.821972度﻿ /35.426444; 133.821972座標:北緯35度25分35.2秒東経133度49分19.1秒﻿ / ﻿北緯35.426444度 東経133.821972度﻿ /35.426444; 133.821972","","","","","","","","","","","","","","","",""
"角ヶ仙","[15画 像 募 集 中つのがせん角ヶ仙岡山県1,152.7地理院地図Googleマップ北緯35度14分28秒東経134度00分15秒﻿ / ﻿北緯35.240980度 東経134.004122度﻿ /35.240980; 134.004122﻿ (角ヶ仙)] 角ヶ仙 （つのがせん）は、 岡山県 北部の 美作地方 、 津山市 と 苫田郡 鏡野町 の境に位置しており、 中国百名山 にも指定されている 標高 1,152.7メートルの 独立峰 の 山 である    。 山頂 には 三等三角点 （点名：角ヶ仙）が設置されている。火山性の山である。","https://ja.wikipedia.org/wiki/角ヶ仙","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度14分27.5秒東経134度00分14.7秒","日本岡山県津山市・苫田郡鏡野町","1,152.7m","北緯35度14分27.5秒東経134度00分14.7秒﻿ / ﻿北緯35.240972度 東経134.004083度﻿ /35.240972; 134.004083座標:北緯35度14分27.5秒東経134度00分14.7秒﻿ / ﻿北緯35.240972度 東経134.004083度﻿ /35.240972; 134.004083","中国山地","火山","","","","","","","","","","","","","",""
"泉山 (鏡野町) (存在しないページ)","[16画 像 募 集 中いずみがせん泉山岡山県1,209.1地理院地図Googleマップ北緯35度12分08秒東経133度57分34秒﻿ / ﻿北緯35.202227度 東経133.959561度﻿ /35.202227; 133.959561﻿ (泉山)]","https://ja.wikipedia.org/w/index.php?title=泉山_(鏡野町)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"三ヶ上 (存在しないページ)","[17画 像 募 集 中さんがじょう三ヶ上岡山県1,062地理院地図Googleマップ北緯35度16分09秒東経133度56分49秒﻿ / ﻿北緯35.269138度 東経133.946898度﻿ /35.269138; 133.946898﻿ (三ヶ上)]","https://ja.wikipedia.org/w/index.php?title=三ヶ上&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"若杉山","[18画 像 募 集 中わかすぎやま若杉山鳥取県1,020.6地理院地図Googleマップ北緯35度16分54秒東経133度50分16秒﻿ / ﻿北緯35.281721度 東経133.837650度﻿ /35.281721; 133.837650﻿ (若杉山)] 若杉山 （わかすぎせん  、わかすぎやま  ）（別名、若杉仙  ）は、 鳥取県 三朝町 にある山である  。 山と溪谷社 による 中国百名山 の一つ。","https://ja.wikipedia.org/wiki/若杉山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度16分54秒東経133度50分15秒","日本鳥取県三朝町","1020.6m","北緯35度16分54秒東経133度50分15秒﻿ / ﻿北緯35.28167度 東経133.83750度﻿ /35.28167; 133.83750座標:北緯35度16分54秒東経133度50分15秒﻿ / ﻿北緯35.28167度 東経133.83750度﻿ /35.28167; 133.83750","中国山地","","","","","","","","","","","","","","",""
"津黒山","[19画 像 募 集 中つぐろせん津黒山鳥取県岡山県1,117.8地理院地図Googleマップ北緯35度15分07秒東経133度48分54秒﻿ / ﻿北緯35.251808度 東経133.814994度﻿ /35.251808; 133.814994﻿ (津黒山)] 津黒山 （つぐろせん  、つぐろやま  ）は、 岡山県 と 鳥取県 の県境をなす山である。 山と溪谷社 による 中国百名山 の一つ。","https://ja.wikipedia.org/wiki/津黒山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度15分7秒東経133度48分54秒","日本岡山県真庭市","1118m","北緯35度15分7秒東経133度48分54秒﻿ / ﻿北緯35.25194度 東経133.81500度﻿ /35.25194; 133.81500座標:北緯35度15分7秒東経133度48分54秒﻿ / ﻿北緯35.25194度 東経133.81500度﻿ /35.25194; 133.81500","中国山地-作北山地・中和山地","","","","","","","","","","","","","","",""
"三坂山 (存在しないページ)","[20画 像 募 集 中みさかやま三坂山岡山県902.5地理院地図Googleマップ北緯35度08分20秒東経133度44分39秒﻿ / ﻿北緯35.138929度 東経133.744087度﻿ /35.138929; 133.744087﻿ (三坂山)]","https://ja.wikipedia.org/w/index.php?title=三坂山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"櫃ヶ山 (存在しないページ)","[21画 像 募 集 中ひつがせん櫃ヶ山岡山県953.5地理院地図Googleマップ北緯35度09分30秒東経133度42分24秒﻿ / ﻿北緯35.158443度 東経133.706747度﻿ /35.158443; 133.706747﻿ (櫃ヶ山)]","https://ja.wikipedia.org/w/index.php?title=櫃ヶ山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"星山 (存在しないページ)","[22画 像 募 集 中ほしがせん星山岡山県1,030.3地理院地図Googleマップ北緯35度08分31秒東経133度40分38秒﻿ / ﻿北緯35.142068度 東経133.677359度﻿ /35.142068; 133.677359﻿ (星山)]","https://ja.wikipedia.org/w/index.php?title=星山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"皆ヶ山 (存在しないページ)","[23画 像 募 集 中みながせん皆ヶ山鳥取県岡山県1,159.3地理院地図Googleマップ北緯35度20分09秒東経133度37分20秒﻿ / ﻿北緯35.335788度 東経133.622328度﻿ /35.335788; 133.622328﻿ (皆ヶ山)]","https://ja.wikipedia.org/w/index.php?title=皆ヶ山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"蒜山","[24ひるぜん蒜山鳥取県岡山県1,202地理院地図Googleマップ北緯35度19分36秒東経133度39分45秒﻿ / ﻿北緯35.326716度 東経133.662389度﻿ /35.326716; 133.662389﻿ (蒜山)日本二百名山新日本百名山上蒜山蒜山高原] 蒜山 （ひるぜん）は、 岡山県 の 真庭市 北部、 鳥取県 の 倉吉市 南部および 日野郡 江府町 北東部に跨って位置する 火山 である。","https://ja.wikipedia.org/wiki/蒜山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度19分30秒東経133度39分49秒","岡山県真庭市鳥取県倉吉市","1,202m","北緯35度19分30秒東経133度39分49秒﻿ / ﻿北緯35.32500度 東経133.66361度﻿ /35.32500; 133.66361座標:北緯35度19分30秒東経133度39分49秒﻿ / ﻿北緯35.32500度 東経133.66361度﻿ /35.32500; 133.66361","","成層火山","","","","","","","","","","","","","",""
"烏ヶ山","[25からすがせん烏ヶ山鳥取県1,448地理院地図Googleマップ北緯35度21分21秒東経133度34分14秒﻿ / ﻿北緯35.355792度 東経133.570439度﻿ /35.355792; 133.570439﻿ (烏ヶ山)] 烏ヶ山 （からすがせん）は、 鳥取県 東伯郡 琴浦町 と 日野郡 江府町 との境にある山である。 大山 山系の一つ。 標高 1,448m。","https://ja.wikipedia.org/wiki/烏ヶ山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度21分21秒東経133度34分14秒","日本鳥取県東伯郡琴浦町・日野郡江府町","1,448m","北緯35度21分21秒東経133度34分14秒﻿ / ﻿北緯35.35583度 東経133.57056度﻿ /35.35583; 133.57056座標:北緯35度21分21秒東経133度34分14秒﻿ / ﻿北緯35.35583度 東経133.57056度﻿ /35.35583; 133.57056","大山山系","溶岩ドーム","","","","","","","","","","","","","",""
"大山 (鳥取県)","[26だいせん大山鳥取県1,729地理院地図Googleマップ北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.371091度 東経133.540055度﻿ /35.371091; 133.540055﻿ (大山)日本百名山新日本百名山花の百名山新・花の百名山剣ヶ峰鳥取県最高峰中国地方最高峰伯耆富士] 大山 （だいせん）は、 日本 の 鳥取県 にある 標高 1,729mの 山 。 成層火山 であるが、 活火山 としては扱われていない  。鳥取県および 中国地方 の最高峰でもある。 角盤山 （かくばんざん）とも呼ばれるほか、鳥取県西部の 旧国名 が 伯耆国 であったことから 伯耆大山 （ほうきだいせん）、あるいはその山容から 郷土富士 として 伯耆富士 や 出雲富士 とも呼ばれる  。 日本百名山 や 日本百景 にも選定され、鳥取県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/大山_(鳥取県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度22分16秒東経133度32分24秒","日本鳥取県大山町・琴浦町・江府町など","1,729m","北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000座標:北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000","独立峰（大山山系）","成層火山・溶岩ドーム","約2万800年前","","","","","","","","","","","","",""
"船上山","[27せんじょうさん船上山鳥取県615.4地理院地図Googleマップ北緯35度25分52秒東経133度35分53秒﻿ / ﻿北緯35.431198度 東経133.598093度﻿ /35.431198; 133.598093﻿ (船上山)新・花の百名山] 船上山 （せんじょうさん）は、 鳥取県 東伯郡 琴浦町 にある 標高 687 メートル の山である。","https://ja.wikipedia.org/wiki/船上山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度25分42秒東経133度35分29秒","日本鳥取県東伯郡琴浦町","687m","北緯35度25分42秒東経133度35分29秒﻿ / ﻿北緯35.42833度 東経133.59139度﻿ /35.42833; 133.59139座標:北緯35度25分42秒東経133度35分29秒﻿ / ﻿北緯35.42833度 東経133.59139度﻿ /35.42833; 133.59139","大山山系","","","","","","","","","","","","","","",""
"甲ヶ山","[28画 像 募 集 中かぶとがせん甲ヶ山鳥取県1,338地理院地図Googleマップ北緯35度23分37秒東経133度34分57秒﻿ / ﻿北緯35.393653度 東経133.582383度﻿ /35.393653; 133.582383﻿ (甲ヶ山)] 甲ヶ山 （かぶとがせん）は、 鳥取県 東伯郡 琴浦町 と 西伯郡 大山町 との境にある山である。 大山 山系の一つ。 標高 1,338m。","https://ja.wikipedia.org/wiki/甲ヶ山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度23分37.2秒東経133度34分56.6秒","日本鳥取県東伯郡琴浦町西伯郡大山町","1,338m","北緯35度23分37.2秒東経133度34分56.6秒﻿ / ﻿北緯35.393667度 東経133.582389度﻿ /35.393667; 133.582389座標:北緯35度23分37.2秒東経133度34分56.6秒﻿ / ﻿北緯35.393667度 東経133.582389度﻿ /35.393667; 133.582389","大山山系","","","","","","","","","","","","","","",""
"矢筈ヶ山","[29画 像 募 集 中やはずがせん矢筈ヶ山鳥取県1,359地理院地図Googleマップ北緯35度23分12秒東経133度34分51秒﻿ / ﻿北緯35.386725度 東経133.580902度﻿ /35.386725; 133.580902﻿ (矢筈ヶ山)] 矢筈ヶ山 （やはずがせん）は、 鳥取県 西伯郡 大山町 と 東伯郡 琴浦町 との境にある 大山 山系に属する山の一つである。 標高 1,358.4m。","https://ja.wikipedia.org/wiki/矢筈ヶ山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度23分12.2秒東経133度34分51.1秒","日本鳥取県西伯郡大山町・東伯郡琴浦町","1,358.4m","北緯35度23分12.2秒東経133度34分51.1秒﻿ / ﻿北緯35.386722度 東経133.580861度﻿ /35.386722; 133.580861座標:北緯35度23分12.2秒東経133度34分51.1秒﻿ / ﻿北緯35.386722度 東経133.580861度﻿ /35.386722; 133.580861","大山山系","","","","","","","","","","","","","","",""
"孝霊山","[30こうれいざん孝霊山鳥取県751.4地理院地図Googleマップ北緯35度26分16秒東経133度28分45秒﻿ / ﻿北緯35.437659度 東経133.479297度﻿ /35.437659; 133.479297﻿ (孝霊山)] 孝霊山 （こうれいさん）は、 鳥取県 西伯郡 大山町 と 米子市 との境界にある山である。 標高 751.4m。瓦山（からやま）、韓山（からやま）との別名がある。","https://ja.wikipedia.org/wiki/孝霊山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度26分16秒東経133度28分45秒","鳥取県西伯郡大山町・米子市","751.4m","北緯35度26分16秒東経133度28分45秒﻿ / ﻿北緯35.43778度 東経133.47917度﻿ /35.43778; 133.47917座標:北緯35度26分16秒東経133度28分45秒﻿ / ﻿北緯35.43778度 東経133.47917度﻿ /35.43778; 133.47917","大山火山","溶岩ドーム","","","","","","","","","","","","","",""
"三平山 (存在しないページ)","[31画 像 募 集 中みひらやま三平山鳥取県岡山県1,009.8地理院地図Googleマップ北緯35度16分40秒東経133度34分08秒﻿ / ﻿北緯35.277712度 東経133.568948度﻿ /35.277712; 133.568948﻿ (三平山)]","https://ja.wikipedia.org/w/index.php?title=三平山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"金ヶ谷山","[32画 像 募 集 中かながやせん金ヶ谷山鳥取県岡山県1,164.2地理院地図Googleマップ北緯35度14分45秒東経133度33分28秒﻿ / ﻿北緯35.245890度 東経133.557830度﻿ /35.245890; 133.557830﻿ (金ヶ谷山)] 金ヶ谷山 （かながやせん、かねがたにやま  、かながたにやま  、かながたにさん  ）は鳥取県と岡山県にまたがる標高1164メートルの山。 中国百名山 の一峰である。","https://ja.wikipedia.org/wiki/金ヶ谷山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度14分45.25秒東経133度33分28.16秒","日本鳥取県江府町・岡山県新庄村","1164.1m","北緯35度14分45.25秒東経133度33分28.16秒﻿ / ﻿北緯35.2459028度 東経133.5578222度﻿ /35.2459028; 133.5578222座標:北緯35度14分45.25秒東経133度33分28.16秒﻿ / ﻿北緯35.2459028度 東経133.5578222度﻿ /35.2459028; 133.5578222","中国山地","","","","","","","","","","","","","","",""
"毛無山 (鳥取県・岡山県)","[33画 像 募 集 中けなしがせん毛無山鳥取県岡山県1,218.4地理院地図Googleマップ北緯35度14分08秒東経133度30分53秒﻿ / ﻿北緯35.235685度 東経133.514697度﻿ /35.235685; 133.514697﻿ (毛無山)] 毛無山 （けなしがせん、けなしやま）は、 鳥取県 と 岡山県 にまたがる標高1218メートルの山  。 大山隠岐国立公園 の一部を成す。 山と溪谷社 による 中国百名山 のひとつに挙げられているほか、山頂付近のカタクリ群落が 環境省 による かおり風景100選 （毛無山ブナとカタクリの花）に選出されている。","https://ja.wikipedia.org/wiki/毛無山_(鳥取県・岡山県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度14分8.46秒東経133度30分52.90秒","日本鳥取県江府町・岡山県新庄村","1218.4m","北緯35度14分8.46秒東経133度30分52.90秒﻿ / ﻿北緯35.2356833度 東経133.5146944度﻿ /35.2356833; 133.5146944座標:北緯35度14分8.46秒東経133度30分52.90秒﻿ / ﻿北緯35.2356833度 東経133.5146944度﻿ /35.2356833; 133.5146944","中国山地","","","","","","","","","","","","","","",""
