"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"ダイナスティスキーリゾート","[ダイナスティスキーリゾート（旧後楽園北広島スキー場→セントレジャー北広島スキー場）] ダイナスティスキーリゾート は、 北海道 北広島市 にある スキー場 である。（旧：セントレジャー北広島スキー場）","https://ja.wikipedia.org/wiki/ダイナスティスキーリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度55分51秒東経141度27分5秒","〒061-1267北海道北広島市仁別82番4","5本","","90 m","3本","dynasty-resort.jp","18度","1,200 m","","","1976年","","","後楽園広島スキー場後楽園北広島スキー場セントレジャー北広島スキー場","","","","",""
"滝野すずらん丘陵公園","[滝野スノーワールド] 滝野すずらん丘陵公園 （たきのすずらんきゅうりょうこうえん）は、 北海道 札幌市 南区 にある 公園 。 北海道 唯一の 国営公園 。","https://ja.wikipedia.org/wiki/滝野すずらん丘陵公園","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度54分49秒東経141度23分13秒","日本札幌市南区滝野","","","","","国営滝野すずらん丘陵公園オフィシャルウェブサイト","","","","","","国土交通省","","","","","","","395.7ヘクタール"
"Novel mountain park (存在しないページ)","[novel mountain park（旧コバワールドスキー場）]","https://ja.wikipedia.org/w/index.php?title=Novel_mountain_park&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜益村民スキー場 (存在しないページ)","[浜益村民スキー場（2008年廃止）]","https://ja.wikipedia.org/w/index.php?title=浜益村民スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"フッズスノーエリア","[フッズスノーエリア] 文部科学省 が推進する 総合型地域スポーツクラブ の発足に伴い、隣接する スキー場 と リュージュ のコースを合わせた野外施設としてオープンした  。夏期には マウンテンバイク や インラインスケート のコースを設置しており、芝生広場やバーベキューコーナーなどの設備もある  。","https://ja.wikipedia.org/wiki/フッズスノーエリア","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度57分16秒東経141度16分43秒","〒061-2271札幌市南区藤野473-1","6本","","300 m","3本","fujino-yagai-sports.jp","38度","1,800 m","","","1963年","","","藤野ヘルスランド国際スキー場","札幌市","札幌市藤野野外スポーツ交流施設","","",""
"真駒内スキー場","[真駒内スキー場（2005年廃止）] 真駒内スキー場 （まこまないスキーじょう）は、 1980年 （ 昭和 55年）   から 2007年 （ 平成 19年）  まで 北海道 札幌市 南区 に存在したスキー場。","https://ja.wikipedia.org/wiki/真駒内スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度55分20秒東経141度19分40秒","〒005-0863北海道札幌市南区常盤383-6","3本","460 m - 237 m","223 m","4本","","30度","1,200 m","","","1980年","プリンスホテル","","","","","","",""
"グリーンピア大沼スキー場 (存在しないページ)","[グリーンピア大沼スキー場]","https://ja.wikipedia.org/w/index.php?title=グリーンピア大沼スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ニヤマ高原スキー場 (存在しないページ)","[ニヤマ高原スキー場]","https://ja.wikipedia.org/w/index.php?title=ニヤマ高原スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"函館七飯スノーパーク","[函館七飯スノーパーク] 北海道駒ヶ岳 や 大沼 が目の前に広がっており、 スキー や スノーボード を持っていなくてもゴンドラに乗って山頂まで行くことが出来る。夏季は「函館七飯ゴンドラ」として営業（ 後述 ）している。 2018年 には「函館七飯ゴンドラ・スノーパーク」のPEAKCAFE（ピークカフェ、 後述 ）のテラスに設置された鐘「PEAK BELL（ピークベル）」が「 恋人の聖地 」サテライトに選定された   。","https://ja.wikipedia.org/wiki/函館七飯スノーパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯41度59分11秒東経140度44分49秒","〒041-1351北海道亀田郡七飯町東大沼666","8本","943 m - 245 m","698 m","3本","函館七飯スノーパーク","29度","4,000 m","","","","","","","","","","",""
"ふるさとの森スキー場 (存在しないページ)","[ふるさとの森スキー場]","https://ja.wikipedia.org/w/index.php?title=ふるさとの森スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八雲町営スキー場 (存在しないページ)","[八雲町営スキー場]","https://ja.wikipedia.org/w/index.php?title=八雲町営スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横津岳国際スキー場 (存在しないページ)","[横津岳国際スキー場（2006年休止）]","https://ja.wikipedia.org/w/index.php?title=横津岳国際スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今金町種川スキー場","[今金町種川スキー場] 今金町種川スキー場 （いまかねちょうたねかわスキーじょう）は、 北海道 瀬棚郡 今金町 にある スキー場 。","https://ja.wikipedia.org/wiki/今金町種川スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度25分24.9秒東経140度4分14秒","北海道瀬棚郡今金町字種川","1本","110 m - 35 m","75 m","2本","","","300 m","","","","","","","","","","",""
"太鼓山スキー場 (存在しないページ)","[太鼓山スキー場]","https://ja.wikipedia.org/w/index.php?title=太鼓山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大成スキー場 (存在しないページ)","[大成スキー場]","https://ja.wikipedia.org/w/index.php?title=大成スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富岡スキー場 (存在しないページ)","[富岡スキー場]","https://ja.wikipedia.org/w/index.php?title=富岡スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ピリカスキー場 (存在しないページ)","[ピリカスキー場]","https://ja.wikipedia.org/w/index.php?title=ピリカスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旭ヶ丘スキー場 (存在しないページ)","[旭ヶ丘スキー場]","https://ja.wikipedia.org/w/index.php?title=旭ヶ丘スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"朝里川温泉スキー場","[朝里川温泉スキー場] 1968年 （ 昭和 43年）開場  。安達建設グループである株式会社Nikkan（旧日観興業）が隣接するゴルフ場「 札樽ゴルフ倶楽部 」とともに所有しているが、 2006年 （ 平成 18年）から 2016年 （平成28年）までは 小樽朝里クラッセホテル を運営している アンビックス がスキー場の運営を行っていた   。その後、ゴルフ場とともにNikkanから新設分割した株式会社Sassonが運営を承継した  。","https://ja.wikipedia.org/wiki/朝里川温泉スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度08分37秒東経141度02分12秒","〒047-0154北海道小樽市朝里川温泉1丁目","9本","680 m - 140 m","540 m","4本","朝里川温泉スキー場","36度","3,000 m","","","","","","","","","","",""
"IWANAI RESORT (存在しないページ)","[IWANAI RESORT（旧ニセコいわない国際スキー場）]","https://ja.wikipedia.org/w/index.php?title=IWANAI_RESORT&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小樽天狗山スキー場","[小樽天狗山スキー場] 天狗山 の斜面にあり、 小樽港 や 石狩湾 などを一望することができるビューポイントとなっている。 北海道中央バス のグループ会社「中央バス観光開発」が運営している。周辺にはガラス工房や ペンション が立地している。夏場は山頂の 展望台 まで「 小樽天狗山ロープウエイ 」を運行している。","https://ja.wikipedia.org/wiki/小樽天狗山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度10分41秒東経140度58分24秒","〒047-0023北海道小樽市最上2丁目16-15","6本","532 m - 200 m","332 m","3本","小樽天狗山ロープウェイスキー場","42度","1,247 m","","","","","","","","","","",""
"キロロスノーワールド","[キロロスノーワールド] 朝里岳と長峰岳の斜面には日本国内屈指の積雪量と雪質を誇るスキー場があり、通常のゲレンデオープン期間は日本国内有数の長さとなっている。「株式会社キロロアソシエイツ」が運営している。朝里岳山頂にある「ニイサの鐘」は、「 恋人の聖地 」に選定されている  。","https://ja.wikipedia.org/wiki/キロロスノーワールド","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度04分01秒東経140度59分22秒","〒046-0593北海道余市郡赤井川村字常盤128-1","23本","1,180 m - 570 m","610 m","10本","キロロリゾート","36.8度","4,050 m","","","","","","","","","","",""
"積丹町野外スポーツ林スキー場 (存在しないページ)","[積丹町野外スポーツ林スキー場]","https://ja.wikipedia.org/w/index.php?title=積丹町野外スポーツ林スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"スノークルーズ・オーンズ","[スノークルーズ・オーンズ] 春香山 の北麓に位置しており、 石狩湾 を望むことができるスキー場となっている。「オーンズ」（ Onze ）とは フランス語 で「11」を意味している。例年は10月上旬から人工造雪機を導入してゲレンデ整備を行い、北海道内で最も早い 11月11日 を目途にオープンしている。また、 ナイター を午後11時まで営業しているなど、「11」にこだわったサービスを行っている。","https://ja.wikipedia.org/wiki/スノークルーズ・オーンズ","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度08分46秒東経141度07分59秒","〒047-0265北海道小樽市春香町357","9本","308 m - 100 m","208 m","2本","スノークルーズオーンズ","30度","1,000 m","","1","","","","","","","","",""
"チセヌプリスキー場 (存在しないページ)","[チセヌプリスキー場（2013年休止、CATスキーコースとして使用）]","https://ja.wikipedia.org/w/index.php?title=チセヌプリスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中山峠スキー場","[中山峠スキー場] 中山峠スキー場 （なかやまとうげスキーじょう）は、 北海道 虻田郡 喜茂別町 にある スキー場 である。","https://ja.wikipedia.org/wiki/中山峠スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","北海道虻田郡喜茂別町字川上345番地","3本","980 m - 790 m","190 m","1本","中山峠スキー場","24度","1,400 m","14.3615 ha","-","","","","","","","","",""
"仁木町民スキー場 (存在しないページ)","[仁木町民スキー場]","https://ja.wikipedia.org/w/index.php?title=仁木町民スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ニセコアンヌプリ国際スキー場","[ニセコアンヌプリ国際スキー場] コース","https://ja.wikipedia.org/wiki/ニセコアンヌプリ国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度51分12秒東経140度38分55秒","〒048-1511北海道虻田郡ニセコ町字ニセコ485","13本","1,156 m - 400 m","756 m","6本","ニセコアンヌプリ・オフィシャルサイト","34度","4,000 m","47 ha","","","","","","","","","",""
"ニセコHANAZONOリゾート","[ニセコHANAZONOリゾート] コース","https://ja.wikipedia.org/wiki/ニセコHANAZONOリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度53分35秒東経140度41分59秒","〒044-0082北海道虻田郡倶知安町字岩尾別328-1","8本","1,308 m - 308 m","1,000 m","3本","Hanazono Niseko","","3,300 m","560 ha","3","","","","","","","","",""
"ニセコビレッジスキーリゾート","[ニセコビレッジスキーリゾート（旧ニセコ東山スキー場）] ニセコアンヌプリ の裾野に広がる「ニセコユナイテッド」（ ニセコアンヌプリ国際スキー場 ・ニセコビレッジ・ ニセコマウンテンリゾート グラン・ヒラフ ・ ニセコHANAZONOリゾート ）の1つ  。 スキー場 、 ゴルフ場 、アクティビティ、 宿泊施設 、 商業施設 があり、冬期は各リゾート間と俱知安市街を結ぶ シャトルバス を運行している。 YTLコーポレーション によるリゾート開発が進められており、 リッツ・カールトン ブランドのホテルが開業する予定となっている  。","https://ja.wikipedia.org/wiki/ニセコビレッジスキーリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ニセコマウンテンリゾート グラン・ヒラフ","[ニセコマウンテンリゾート グラン・ヒラフ（旧ニセコひらふスキー場）] コース","https://ja.wikipedia.org/wiki/ニセコマウンテンリゾート_グラン・ヒラフ","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度51分46秒東経140度42分00秒","〒044-0081北海道虻田郡倶知安町字山田204","31本","1,200 m - 240 m","960 m","12本","ニセコ グラン・ヒラフ","","","","","","","","","","","","",""
"ニセコモイワスキー場","[ニセコモイワスキー場] モイワ山の斜面にゲレンデがあり、「ニセコユナイテッド」（ ニセコアンヌプリ国際スキー場 、 ニセコビレッジ 、 ニセコマウンテンリゾート グラン・ヒラフ 、 ニセコHANAZONOリゾート ）とは一線を画している。積雪は最大4 mにまで達するため、パウダースノーを好む日本国内外のスキーヤーやスノーボーダーが訪れている。また、家族連れで訪れることができるスキー場を目指している。「ニセコモイワスキースクール」はプライベートレッスンを基本としており、初心者からのニーズに対応したレッスンを受けることができる。","https://ja.wikipedia.org/wiki/ニセコモイワスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度50分54秒東経140度37分47秒","〒048-1511北海道虻田郡ニセコ町字ニセコ448","8本","800 m - 330 m","470 m","3本","niseko-moiwa.jp","24度","2,000 m","","","1966年","","","太平洋クラブ国際モイワスキー場ニセコ国際モイワスキー場ニセコスノーパーク ラ・ポンテニセコモイワ","","","","",""
"ニセコワイススキー場 (存在しないページ)","[ニセコワイススキー場（2009年休止　CATスキーコースとして使用）]","https://ja.wikipedia.org/w/index.php?title=ニセコワイススキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古平家族旅行村スキー場 (存在しないページ)","[古平家族旅行村スキー場（2010年休業）]","https://ja.wikipedia.org/w/index.php?title=古平家族旅行村スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ルスツリゾート","[ルスツリゾート] ルスツリゾート （英：RUSUTSU RESORT）は、 北海道 虻田郡 留寿都村 （ゴルフ場コースの一部は 喜茂別町 ）にあるリゾート施設。","https://ja.wikipedia.org/wiki/ルスツリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯42度44分51秒東経140度53分47秒","日本北海道虻田郡留寿都村","","","","","ルスツリゾート公式サイト","","","","","","","","","加森観光","","","",""
"岩見沢萩の山市民スキー場","[岩見沢萩の山市民スキー場] 岩見沢萩の山市民スキー場 （いわみざわはぎのやましみんスキーじょう）は 北海道 岩見沢市 にある民営スキー場。","https://ja.wikipedia.org/wiki/岩見沢萩の山市民スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度9分47.8秒東経141度48分33.6秒","北海道岩見沢市上志文町452","7本","","110 m","5本","www.haginoyama.com","27度","700 m","20 ha","","","","","","","","","",""
"桂沢国設スキー場 (存在しないページ)","[桂沢国設スキー場]","https://ja.wikipedia.org/w/index.php?title=桂沢国設スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上砂川岳国際スキー場 (存在しないページ)","[上砂川岳国際スキー場（2007年休業）]","https://ja.wikipedia.org/w/index.php?title=上砂川岳国際スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"かもい岳国際スキー場","[かもい岳国際スキー場（2019年休業）] かもい岳国際スキー場 （かもいだけスキーじょう）は、 北海道 歌志内市 歌神の 神威岳 に位置する スキー場 。 空知管内 屈指の規模を誇った。","https://ja.wikipedia.org/wiki/かもい岳国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度31分14.5秒東経142度1分8.6秒","北海道歌志内市","10本","467 m - 216 m","251 m","4本","","31度","1,500 m","","","1961年","歌志内市（1961年-2007年）プラッサ（2007年-2019年）M・かもい岳（2020年-）","","かもい岳スキー場（2007-2020年）","歌志内市（1961年-2020年）M・かもい岳（2020年-）","","プラッサ（2007年-2020年）","",""
"栗山町スキー場 (存在しないページ)","[栗山町スキー場]","https://ja.wikipedia.org/w/index.php?title=栗山町スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国設芦別スキー場 (存在しないページ)","[国設芦別スキー場]","https://ja.wikipedia.org/w/index.php?title=国設芦別スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"そっち岳スキー場","[そっち岳スキー場] 新十津川町そっち岳スキー場 （しんとつかわちょうそっちだけすきーじょう）は、 北海道 樺戸郡 新十津川町 に存在するスキー場。","https://ja.wikipedia.org/wiki/そっち岳スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度32分10秒東経141度47分50秒","〒073-1106北海道樺戸郡新十津川町字総進294-1","3本","194 m - 114 m","80 m","1本","そっち岳スキー場","18度","330 m","","","1980年12月21日","","","","","","","",""
"月形町営スキー場 (存在しないページ)","[月形町営スキー場（2006年廃止）]","https://ja.wikipedia.org/w/index.php?title=月形町営スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長沼スキー場 (存在しないページ)","[長沼スキー場]","https://ja.wikipedia.org/w/index.php?title=長沼スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"沼田町営高穂スキー場 (存在しないページ)","[沼田町営高穂スキー場]","https://ja.wikipedia.org/w/index.php?title=沼田町営高穂スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"美唄国設スキー場 (存在しないページ)","[美唄国設スキー場]","https://ja.wikipedia.org/w/index.php?title=美唄国設スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"深川スキー場 (存在しないページ)","[深川スキー場（2007年廃止）]","https://ja.wikipedia.org/w/index.php?title=深川スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北海道グリーンランド","[北海道グリーンランドホワイトパーク] 北海道グリーンランド （ほっかいどうグリーンランド）は 北海道 岩見沢市 にある 遊園地 。 いわみざわ公園 内にある。","https://ja.wikipedia.org/wiki/北海道グリーンランド","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度09分57秒東経141度46分48秒","〒864-0033北海道岩見沢市志文町1015番地","","","","","http://www.h-greenland.com/","","","","","","","","","","","","","33万平方メートル"
"マウントレースイ","[マウントレースイ] マウントレースイスキー場 （マウントレースイスキーじょう）は、 北海道 夕張市 にある スキー場 や ホテル で構成される複合型の リゾート 。 夕張リゾート が運営していた。名前の由来は「冷水山（れいすいざん）」から。","https://ja.wikipedia.org/wiki/マウントレースイ","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度3分2.9秒東経141度58分10.4秒","北海道夕張市末広2-4","19本","702 m - 298 m","404 m","5本","http://www.yubari-resort.com/","53度","4,000 m","- ha","ワンメイク、レールウェーブ、スノーモービル","","","","","","","","",""
