"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開館","位置","外部リンク","専門分野","正式名称","管理運営","事業主体","延床面積","館長","建物設計","収蔵作品数","来館者数","アクセス","愛称","前身","閉館","学芸員","公式サイト"
"北海道立三岸好太郎美術館","[北海道立三岸好太郎美術館（北海道）] 北海道立三岸好太郎美術館 （ほっかいどうりつみぎしこうたろうびじゅつかん、Migishi Kotaro Museum of Art, Hokkaido）は、 北海道 札幌市 にある 北海道立近代美術館 の分館である。設置者は北海道。","https://ja.wikipedia.org/wiki/北海道立三岸好太郎美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯43度3分41.7秒 東経141度19分58.2秒","〒060-0002北海道札幌市中央区北2条西15丁目","1967年（昭和42年）9月","","北海道立三岸好太郎美術館","","","","北海道","1,248m2","嵐田昇","","","","","","","","",""
"北海道立函館美術館","[北海道立函館美術館（北海道）] 北海道立函館美術館 （ほっかいどうりつはこだてびじゅつかん）は、 北海道 函館市 にある 美術館 。","https://ja.wikipedia.org/wiki/北海道立函館美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯41度47分36.3秒東経140度45分16.7秒","〒040-0001日本北海道函館市五稜郭町37-6","1986年9月23日","北緯41度47分36.3秒東経140度45分16.7秒﻿ / ﻿北緯41.793417度 東経140.754639度﻿ /41.793417; 140.754639座標:北緯41度47分36.3秒東経140度45分16.7秒﻿ / ﻿北緯41.793417度 東経140.754639度﻿ /41.793417; 140.754639","北海道立函館美術館","","","北海道教育庁生涯学習推進局文化財・博物館課","北海道","3,290 m²","","","2232点","","函館バス「五稜郭公園入口」バス停下車徒歩3分函館市企業局交通部（函館市電）五稜郭公園前停留場下車徒歩7分北海道旅客鉄道（JR北海道）函館駅から車で10分函館空港から車で20分","","","","",""
"北海道立旭川美術館","[北海道立旭川美術館（北海道）] 北海道立旭川美術館 （ほっかいどうりつあさひかわびじゅつかん）は、 北海道 旭川市 にある 美術館 である。設置者は北海道。建物は北海道を代表する建築家 田上義也 による設計。","https://ja.wikipedia.org/wiki/北海道立旭川美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯43度46分26.9秒東経142度21分19.3秒","〒070-0044北海道旭川市常磐公園内","1982年(昭和57年)","北緯43度46分26.9秒東経142度21分19.3秒﻿ / ﻿北緯43.774139度 東経142.355361度﻿ /43.774139; 142.355361座標:北緯43度46分26.9秒東経142度21分19.3秒﻿ / ﻿北緯43.774139度 東経142.355361度﻿ /43.774139; 142.355361","北海道立旭川美術館","美術館","","","北海道","3,195m2","","田上義也","","","","","","","",""
"北海道立帯広美術館","[北海道立帯広美術館（北海道）] 北海道立帯広美術館 （ほっかいどうりつおびひろびじゅつかん）は、 北海道 帯広市 にある 美術館 。","https://ja.wikipedia.org/wiki/北海道立帯広美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯42度54分16.5秒東経143度11分7.9秒","〒080-0846日本北海道帯広市字緑ヶ丘2","1991年9月22日","北緯42度54分16.5秒東経143度11分7.9秒﻿ / ﻿北緯42.904583度 東経143.185528度﻿ /42.904583; 143.185528座標:北緯42度54分16.5秒東経143度11分7.9秒﻿ / ﻿北緯42.904583度 東経143.185528度﻿ /42.904583; 143.185528","北海道立帯広美術館","","","北海道教育庁生涯学習推進局文化財・博物館課","北海道","2,500 m²","","アトリエアク、日本設計札幌支社、谷津設計","","","北海道旅客鉄道（JR北海道）帯広駅から車で約10分帯広駅バスターミナルから「緑ヶ丘6丁目・美術館入口」バス停下車徒歩4分","","","","",""
"北海道立釧路芸術館","[北海道立釧路芸術館（北海道）] 北海道立釧路芸術館 （ほっかいどうりつくしろげいじゅつかん）は、 北海道 釧路市 幸町に位置する北海道立の 美術館 である。","https://ja.wikipedia.org/wiki/北海道立釧路芸術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯42度58分57.8秒東経144度22分47.3秒","〒085-0017北海道釧路市幸町4丁目1番5号","1998年（平成10年）10月24日","北緯42度58分57.8秒東経144度22分47.3秒﻿ / ﻿北緯42.982722度 東経144.379806度﻿ /42.982722; 144.379806座標:北緯42度58分57.8秒東経144度22分47.3秒﻿ / ﻿北緯42.982722度 東経144.379806度﻿ /42.982722; 144.379806","北海道立釧路芸術館","美術館","","","北海道","3,430m2","","","","","","","","","",""
"札幌芸術の森美術館","[札幌芸術の森美術館（北海道）] 札幌芸術の森美術館 （さっぽろげいじゅつのもりびじゅつかん）は、 北海道 札幌市 の南部に位置する複合文化施設・ 札幌芸術の森 にある日本の美術館。北海道、札幌ゆかりの作家の作品および国内外の近現代美術などをコレクションの核とし、多彩な内容の特別展を年間5〜7本開催するとともに、美術に関する調査研究活動を行っている。また、74点の彫刻作品を常設展示する野外美術館ならびに 佐藤忠良 記念子どもアトリエを併設し、園内の豊かな自然環境や、周辺の教育・研究機関などとの繋がりを活かしたワークショップなどの事業を行っている。","https://ja.wikipedia.org/wiki/札幌芸術の森美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯42度56分21.2秒東経141度20分24.5秒","〒005-0864北海道札幌市南区芸術の森2丁目75番地","1986年（昭和61年）7月26日","北緯42度56分21.2秒東経141度20分24.5秒﻿ / ﻿北緯42.939222度 東経141.340139度﻿ /42.939222; 141.340139座標:北緯42度56分21.2秒東経141度20分24.5秒﻿ / ﻿北緯42.939222度 東経141.340139度﻿ /42.939222; 141.340139","札幌芸術の森美術館","美術館","","公益財団法人札幌市芸術文化財団","","","","","","","","","","","",""
"安田侃彫刻美術館 アルテピアッツァ美唄","[安田侃彫刻美術館 アルテピアッツァ美唄（北海道）] 安田侃彫刻美術館 アルテピアッツァ美唄 （やすだかんちょうこくびじゅつかん アルテピアッツァびばい）は、 北海道 美唄市 にある芸術文化交流施設  。「アルテピアッツァ」とはイタリア語で「芸術広場」を意味する  。","https://ja.wikipedia.org/wiki/安田侃彫刻美術館_アルテピアッツァ美唄","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯43度19分56秒東経141度54分43秒","〒072-0831日本北海道美唄市落合町栄町","1992年7月10日","北緯43度19分56秒東経141度54分43秒﻿ / ﻿北緯43.33222度 東経141.91194度﻿ /43.33222; 141.91194","ARTE PIAZZA BIBAI アルテピアッツァ美唄","","安田侃彫刻美術館 アルテピアッツァ美唄","NPO法人アルテピアッツァびばい（指定管理者）","","","磯田憲一","","","","道央自動車道美唄ICから1.7 km（車で約5分）","","","","",""
"市立小樽美術館","[市立小樽美術館（北海道）] 市立小樽美術館 （しりつおたるびじゅつかん）は、 北海道 小樽市 にある 美術館 。小樽市分庁舎（旧小樽地方貯金局）にあり、 市立小樽文学館 を併設している。","https://ja.wikipedia.org/wiki/市立小樽美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯43度11分48秒東経140度59分59秒","〒047-0031日本北海道小樽市色内1丁目9番5号","1979年8月19日","北緯43度11分48秒東経140度59分59秒﻿ / ﻿北緯43.19667度 東経140.99972度﻿ /43.19667; 140.99972","小樽市：市立小樽美術館","美術","","小樽市教育委員会","小樽市","","","小坂秀雄","","","■小樽駅から徒歩約10分北海道中央バス（おたもい営業所）「本局前」バス停下車 徒歩約5分","","","","",""
"苫小牧市美術博物館","[苫小牧市美術博物館（北海道）] 苫小牧市美術博物館 （とまこまいしびじゅつはくぶつかん）は、 北海道 苫小牧市 にある 博物館 と 美術館 の複合施設。前身の苫小牧博物館に美術館を併設し 2013年 にリニューアルオープンした。愛称は「あみゅー」  。","https://ja.wikipedia.org/wiki/苫小牧市美術博物館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯42度38分15秒東経141度36分46.6秒","〒053-0011日本北海道苫小牧市末広町3-9-7","2013年7月27日","北緯42度38分15秒東経141度36分46.6秒﻿ / ﻿北緯42.63750度 東経141.612944度﻿ /42.63750; 141.612944座標:北緯42度38分15秒東経141度36分46.6秒﻿ / ﻿北緯42.63750度 東経141.612944度﻿ /42.63750; 141.612944","苫小牧市美術博物館","","","","","","","","","","苫小牧駅からバスで約5分、徒歩約5分","あみゅー","苫小牧市博物館","","",""
"中原悌二郎記念旭川市彫刻美術館","[中原悌二郎記念旭川市彫刻美術館（北海道）] 中原悌二郎記念旭川市彫刻美術館 （なかはらていじろうきねんあさひかわしちょうこくびじゅつかん）は、 北海道 旭川市 にある 美術館 。旭川市にゆかりのある彫刻家・ 中原悌二郎 の作品を数多く収蔵し、 彫刻 に関連した作品の展示や企画展・講座などを開催している。","https://ja.wikipedia.org/wiki/中原悌二郎記念旭川市彫刻美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯43度48分20秒東経142度21分51.4秒","北海道旭川市春光5条7丁目5-35","1994年（平成6年）6月","北緯43度48分20秒東経142度21分51.4秒﻿ / ﻿北緯43.80556度 東経142.364278度﻿ /43.80556; 142.364278座標:北緯43度48分20秒東経142度21分51.4秒﻿ / ﻿北緯43.80556度 東経142.364278度﻿ /43.80556; 142.364278","","彫刻","","","","","","","","","","","旭川市立旭川郷土博物館","","",""
"網走市立美術館","[網走市立美術館（北海道）] 網走市立美術館 （あばしりしりつびじゅつかん）は 北海道 網走市 にある 美術館 。","https://ja.wikipedia.org/wiki/網走市立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯44度1分9.6秒東経144度16分3.5秒","〒093-0016北海道網走市南6条西1丁目","1972年","北緯44度1分9.6秒東経144度16分3.5秒﻿ / ﻿北緯44.019333度 東経144.267639度﻿ /44.019333; 144.267639座標:北緯44度1分9.6秒東経144度16分3.5秒﻿ / ﻿北緯44.019333度 東経144.267639度﻿ /44.019333; 144.267639","網走市立美術館","美術館","","","網走市","","","","","","","","","","",""
"北網圏北見文化センター","[北網圏北見文化センター（北海道）] 北網圏北見文化センター （ほくもうけんきたみぶんかセンター）は、 北海道 北見市 にある複合施設。 科学館 ・ 博物館 ・ 美術館 ・ プラネタリウム の機能を有している。","https://ja.wikipedia.org/wiki/北網圏北見文化センター","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯43度49分06秒東経143度54分13秒","〒090-0015日本北海道北見市公園町1","1984年11月1日","北緯43度49分06秒東経143度54分13秒﻿ / ﻿北緯43.81833度 東経143.90361度﻿ /43.81833; 143.90361","北網圏北見文化センター","","","オホーツク美装興業","北見市","","","","","","北海道北見バス「文化センター前」バス停下車徒歩2分、「児童相談所前」バス停下車徒歩3分","","","","",""
"釧路市立美術館","[釧路市立美術館（北海道）] 釧路市立美術館 （くしろしりつびじゅつかん）は 北海道 釧路市 幣舞町にある 美術館 である。","https://ja.wikipedia.org/wiki/釧路市立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯42度58分40.9秒東経144度23分9.6秒","〒085-0836北海道釧路市幣舞町4番28号 釧路市生涯学習センター3階","1992年（平成4年）11月","北緯42度58分40.9秒東経144度23分9.6秒﻿ / ﻿北緯42.978028度 東経144.386000度﻿ /42.978028; 144.386000座標:北緯42度58分40.9秒東経144度23分9.6秒﻿ / ﻿北緯42.978028度 東経144.386000度﻿ /42.978028; 144.386000","釧路市立美術館","","","","釧路市","","","","","","釧路駅から徒歩20分ほか","","アートギャラリー","","",""
"青森県立美術館","[青森県立美術館（青森県）] 青森県立美術館 （あおもりけんりつびじゅつかん）とは、 青森県 の施設である。所在地は青森県青森市大字安田字近野地内。 三内丸山遺跡 の隣に位置する。","https://ja.wikipedia.org/wiki/青森県立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯40度48分26.6秒東経140度42分2.6秒","〒038-0021青森県青森市安田字近野185","2006年7月13日","北緯40度48分26.6秒東経140度42分2.6秒﻿ / ﻿北緯40.807389度 東経140.700722度﻿ /40.807389; 140.700722座標:北緯40度48分26.6秒東経140度42分2.6秒﻿ / ﻿北緯40.807389度 東経140.700722度﻿ /40.807389; 140.700722","","美術品","青森県立美術館","","青森県","","杉本康雄","","","","","","","","",""
"弘前れんが倉庫美術館 (存在しないページ)","[弘前れんが倉庫美術館（青森県）]","https://ja.wikipedia.org/w/index.php?title=弘前れんが倉庫美術館&amp;action=edit&amp;redlink=1","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八戸市美術館","[八戸市美術館（青森県）] 八戸市美術館 （はちのへしびじゅつかん、英称： Hachinohe City Museum of Art ）は、 青森県 八戸市 にある市立 美術館 である。","https://ja.wikipedia.org/wiki/八戸市美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯40度30分42.3秒 東経141度29分28.7秒","〒031-0031青森県八戸市番町10-4","1986年11月21日","","八戸市美術館","","八戸市美術館","","八戸市","","山田泰子","","","","","","","2017年4月","",""
"十和田市現代美術館","[十和田市現代美術館（青森県）] 十和田市現代美術館 （とわだしげんだいびじゅつかん、Towada Art Center）とは、 青森県 十和田市 が推進するアートによるまちづくりプロジェクト、 Arts Towada （アーツ・トワダ）の拠点施設として 2008年 4月26日 に開館した 現代 美術館 。十和田市官庁街通り（別名：駒街道）に位置する。","https://ja.wikipedia.org/wiki/十和田市現代美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯40度36分51秒東経141度12分34秒","〒034-0082青森県十和田市西二番町10-9","9:00-17:00（入館は16:30まで）","北緯40度36分51秒東経141度12分34秒﻿ / ﻿北緯40.614039度 東経141.20941度﻿ /40.614039; 141.20941座標:北緯40度36分51秒東経141度12分34秒﻿ / ﻿北緯40.614039度 東経141.20941度﻿ /40.614039; 141.20941","","現代美術","十和田市現代美術館","","十和田市","","","","","","","","","毎週月曜日","",""
"七戸町立鷹山宇一記念美術館","[七戸町立鷹山宇一記念美術館（青森県）] 七戸町立鷹山宇一記念美術館 （しちのへまちりつたかやまういちきねんびじゅつかん）は、 青森県 七戸町 荒熊内にある 美術館 。七戸町出身の画家・ 鷹山宇一 を記念して、1994年8月1日に開業した。鷹山だけでなく、七戸町にゆかりのある作家による作品を収蔵・展示している。","https://ja.wikipedia.org/wiki/七戸町立鷹山宇一記念美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯40度43分01秒東経141度09分21秒","〒039-2501日本青森県上北郡七戸町字荒熊内67-94","1994年8月1日","北緯40度43分01秒東経141度09分21秒﻿ / ﻿北緯40.716934度 東経141.155972度﻿ /40.716934; 141.155972座標:北緯40度43分01秒東経141度09分21秒﻿ / ﻿北緯40.716934度 東経141.155972度﻿ /40.716934; 141.155972","www.takayamamuseum.jp","","","","","","","","","","","","","","",""
