"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","種類","管理者","漁港番号","開港","公式サイト","漁業協同組合"," • 合計","統計年度","都道府県","等時帯","郵便番号","市外局番","ナンバープレート","市町村","総陸揚量","陸揚金額","標高"
"臼尻漁港","[臼尻漁港（うすじり - ）函館市] 臼尻漁港 （うすじりぎょこう）は、 北海道 函館市 （旧 南茅部町 ）にある 漁港 。 港則法 上の「適用漁港」に指定されている  。","https://ja.wikipedia.org/wiki/臼尻漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","北緯41度56分10秒東経140度56分40秒","日本","北海道函館市","第3種漁港","北海道","1134040","","","南かやべ","","平成24年","","","","","","","8,754トン","14億7,400万円",""
"砂原漁港 (存在しないページ)","[砂原漁港（さわら - ）茅部郡森町]","https://ja.wikipedia.org/w/index.php?title=砂原漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"追直漁港 (存在しないページ)","[追直漁港（おいなおし - ）室蘭市]","https://ja.wikipedia.org/w/index.php?title=追直漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"登別漁港 (存在しないページ)","[登別漁港（のぼりべつ - ）白老郡白老町、登別市]","https://ja.wikipedia.org/w/index.php?title=登別漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三石漁港 (存在しないページ)","[三石漁港（みついし - ）日高郡新ひだか町]","https://ja.wikipedia.org/w/index.php?title=三石漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"様似漁港 (存在しないページ)","[様似漁港（さまに - ）様似郡様似町]","https://ja.wikipedia.org/w/index.php?title=様似漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"厚岸漁港","[厚岸漁港（あっけし - ）厚岸郡厚岸町] 厚岸漁港 （あっけしぎょこう）は、 北海道 厚岸郡 厚岸町 にある 漁港 。 港則法 上の「適用漁港」に指定されている  。","https://ja.wikipedia.org/wiki/厚岸漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","北緯43度02分51秒東経144度50分32秒","日本","北海道厚岸郡厚岸町","第3種漁港","北海道","1137010","","","厚岸","","平成25年","","","","","","","23,294トン","60億900万円",""
"落石漁港 (存在しないページ)","[落石漁港（おちいし - ）根室市]","https://ja.wikipedia.org/w/index.php?title=落石漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜鬼志別漁港 (存在しないページ)","[浜鬼志別漁港（はまおにしべつ - ）宗谷郡猿払村]","https://ja.wikipedia.org/w/index.php?title=浜鬼志別漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"頓別漁港 (存在しないページ)","[頓別漁港（とんべつ - ）枝幸郡浜頓別町]","https://ja.wikipedia.org/w/index.php?title=頓別漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富磯漁港 (存在しないページ)","[富磯漁港（とみいそ - ）稚内市]","https://ja.wikipedia.org/w/index.php?title=富磯漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"恵山泊漁港 (存在しないページ)","[恵山泊漁港（えさんどまり - ）稚内市]","https://ja.wikipedia.org/w/index.php?title=恵山泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本泊漁港 (存在しないページ)","[本泊漁港（もとどまり - ）利尻郡利尻富士町（利尻島）]","https://ja.wikipedia.org/w/index.php?title=本泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鬼鹿漁港 (存在しないページ)","[鬼鹿漁港（おにしか - ）留萌郡小平町]","https://ja.wikipedia.org/w/index.php?title=鬼鹿漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜益漁港 (存在しないページ)","[浜益漁港（はまます - ）石狩市]","https://ja.wikipedia.org/w/index.php?title=浜益漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神恵内漁港 (存在しないページ)","[神恵内漁港（かもえない - ）古宇郡神恵内村]","https://ja.wikipedia.org/w/index.php?title=神恵内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"泊漁港","[泊(後志)漁港（とまり（しりべし） - ）古宇郡泊村] 泊漁港 （とまりぎょこう）","https://ja.wikipedia.org/wiki/泊漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"豊浜漁港 (存在しないページ)","[豊浜漁港（とよはま - ）爾志郡乙部町]","https://ja.wikipedia.org/w/index.php?title=豊浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"乙部漁港 (存在しないページ)","[乙部漁港（おとべ - ）爾志郡乙部町]","https://ja.wikipedia.org/w/index.php?title=乙部漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"館浜漁港 (存在しないページ)","[館浜漁港（たてはま - ）松前郡松前町]","https://ja.wikipedia.org/w/index.php?title=館浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉岡漁港 (存在しないページ)","[吉岡漁港（よしおか - ）松前郡福島町]","https://ja.wikipedia.org/w/index.php?title=吉岡漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"戸井漁港 (存在しないページ)","[戸井漁港（とい - ）函館市]","https://ja.wikipedia.org/w/index.php?title=戸井漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大澗漁港 (存在しないページ)","[大澗漁港（おおま - ）函館市]","https://ja.wikipedia.org/w/index.php?title=大澗漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾札部漁港 (存在しないページ)","[尾札部漁港（おさつべ - ）函館市]","https://ja.wikipedia.org/w/index.php?title=尾札部漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿部漁港 (存在しないページ)","[鹿部漁港（しかべ - ）茅部郡鹿部町]","https://ja.wikipedia.org/w/index.php?title=鹿部漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本別漁港 (存在しないページ)","[本別漁港（ほんべつ - ）茅部郡鹿部町]","https://ja.wikipedia.org/w/index.php?title=本別漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"落部漁港 (存在しないページ)","[落部漁港（おとしべ - ）二海郡八雲町]","https://ja.wikipedia.org/w/index.php?title=落部漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八雲漁港 (存在しないページ)","[八雲漁港（やくも - ）二海郡八雲町]","https://ja.wikipedia.org/w/index.php?title=八雲漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"豊浦漁港 (存在しないページ)","[豊浦漁港（とようら - ）虻田郡豊浦町]","https://ja.wikipedia.org/w/index.php?title=豊浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"虻田漁港 (存在しないページ)","[虻田漁港（あぶた - ）虻田郡洞爺湖町]","https://ja.wikipedia.org/w/index.php?title=虻田漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白糠漁港 (存在しないページ)","[白糠漁港（しらぬか - ）白糠郡白糠町]","https://ja.wikipedia.org/w/index.php?title=白糠漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"昆布森漁港 (存在しないページ)","[昆布森漁港（こんぶもり - ）釧路郡釧路町]","https://ja.wikipedia.org/w/index.php?title=昆布森漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"散布漁港 (存在しないページ)","[散布漁港（ちりっぷ - ）厚岸郡浜中町]","https://ja.wikipedia.org/w/index.php?title=散布漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾岱沼漁港 (存在しないページ)","[尾岱沼漁港（おだいとう - ）野付郡別海町]","https://ja.wikipedia.org/w/index.php?title=尾岱沼漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"標津漁港 (存在しないページ)","[標津漁港（しべつ - ）標津郡標津町]","https://ja.wikipedia.org/w/index.php?title=標津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松法漁港 (存在しないページ)","[松法漁港（まつのり - ）目梨郡羅臼町]","https://ja.wikipedia.org/w/index.php?title=松法漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"知円別漁港 (存在しないページ)","[知円別漁港（ちえんべつ - ）目梨郡羅臼町]","https://ja.wikipedia.org/w/index.php?title=知円別漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"斜里漁港 (存在しないページ)","[斜里漁港（しゃり - ）斜里郡斜里町]","https://ja.wikipedia.org/w/index.php?title=斜里漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"常呂漁港 (存在しないページ)","[常呂漁港（ところ - ）北見市]","https://ja.wikipedia.org/w/index.php?title=常呂漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湧別漁港 (存在しないページ)","[湧別漁港（ゆうべつ - ）紋別郡湧別町]","https://ja.wikipedia.org/w/index.php?title=湧別漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"沙留漁港 (存在しないページ)","[沙留漁港（さるる - ）紋別郡興部町]","https://ja.wikipedia.org/w/index.php?title=沙留漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雄武漁港 (存在しないページ)","[雄武漁港（おうむ - ）紋別郡雄武町]","https://ja.wikipedia.org/w/index.php?title=雄武漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"音標漁港 (存在しないページ)","[音標漁港（おとしべ - ）枝幸郡枝幸町]","https://ja.wikipedia.org/w/index.php?title=音標漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"乙忠部漁港 (存在しないページ)","[乙忠部漁港（おっちゅうべ - ）枝幸郡枝幸町]","https://ja.wikipedia.org/w/index.php?title=乙忠部漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山臼漁港 (存在しないページ)","[山臼漁港（やまうす - ）枝幸郡枝幸町]","https://ja.wikipedia.org/w/index.php?title=山臼漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岡島漁港 (存在しないページ)","[岡島漁港（おかしま - ）枝幸郡枝幸町]","https://ja.wikipedia.org/w/index.php?title=岡島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"問牧漁港 (存在しないページ)","[問牧漁港（といまき - ）枝幸郡枝幸町]","https://ja.wikipedia.org/w/index.php?title=問牧漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"目梨泊漁港 (存在しないページ)","[目梨泊漁港（めなしどまり - ）枝幸郡枝幸町]","https://ja.wikipedia.org/w/index.php?title=目梨泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"斜内漁港 (存在しないページ)","[斜内漁港（しゃない - ）枝幸郡浜頓別町]","https://ja.wikipedia.org/w/index.php?title=斜内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜猿払漁港 (存在しないページ)","[浜猿払漁港（はまさるふつ - ）宗谷郡猿払村]","https://ja.wikipedia.org/w/index.php?title=浜猿払漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"知来別漁港 (存在しないページ)","[知来別漁港（ちらいべつ - ）宗谷郡猿払村]","https://ja.wikipedia.org/w/index.php?title=知来別漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宗谷漁港 (存在しないページ)","[宗谷漁港（そうや - ）稚内市]","https://ja.wikipedia.org/w/index.php?title=宗谷漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"声問漁港 (存在しないページ)","[声問漁港（こえとい - ）稚内市]","https://ja.wikipedia.org/w/index.php?title=声問漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西稚内漁港 (存在しないページ)","[西稚内漁港（にしわっかない - ）稚内市]","https://ja.wikipedia.org/w/index.php?title=西稚内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"稚咲内漁港 (存在しないページ)","[稚咲内漁港（わかさかない - ）天塩郡豊富町]","https://ja.wikipedia.org/w/index.php?title=稚咲内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東上泊漁港 (存在しないページ)","[東上泊漁港（ひがしうえどまり - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=東上泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"幌泊漁港 (存在しないページ)","[幌泊漁港（ほろどまり - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=幌泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜中漁港 (存在しないページ)","[浜中漁港（はまなか - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=浜中漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"須古頓漁港 (存在しないページ)","[須古頓漁港（すことん - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=須古頓漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西上泊漁港 (存在しないページ)","[西上泊漁港（にしうえどまり - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=西上泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇遠内漁港 (存在しないページ)","[宇遠内漁港（うえんない - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=宇遠内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"知床漁港 (存在しないページ)","[知床漁港（しれとこ - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=知床漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"差閉漁港 (存在しないページ)","[差閉漁港（さしとじ - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=差閉漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"香深井漁港 (存在しないページ)","[香深井漁港（かふかい - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=香深井漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"内路漁港 (存在しないページ)","[内路漁港（ないろ - ）礼文郡礼文町（礼文島）]","https://ja.wikipedia.org/w/index.php?title=内路漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新湊漁港 (存在しないページ)","[新湊漁港（しんみなと - ）利尻郡利尻町（利尻島）]","https://ja.wikipedia.org/w/index.php?title=新湊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蘭泊漁港 (存在しないページ)","[蘭泊漁港（らんどまり - ）利尻郡利尻町（利尻島）]","https://ja.wikipedia.org/w/index.php?title=蘭泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御崎漁港 (存在しないページ)","[御崎漁港（みさき - ）利尻郡利尻町（利尻島）]","https://ja.wikipedia.org/w/index.php?title=御崎漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南浜漁港 (北海道) (存在しないページ)","[南浜漁港（みなみはま - ）利尻郡利尻富士町（利尻島）]","https://ja.wikipedia.org/w/index.php?title=南浜漁港_(北海道)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旭浜(鬼脇)漁港 (存在しないページ)","[旭浜漁港（あさひはま（おにわき） - ）利尻郡利尻富士町（利尻島）]","https://ja.wikipedia.org/w/index.php?title=旭浜(鬼脇)漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雄忠志内漁港 (存在しないページ)","[雄忠志内漁港（おちゅうしない - ）利尻郡利尻富士町（利尻島）]","https://ja.wikipedia.org/w/index.php?title=雄忠志内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
