"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","面積","地方","総人口","都道府県","外部リンク","法人番号","人口密度","市町村コード","隣接自治体","市長","市の花","市の木","郡","町長","町の木","町の花","市の鳥"
"旭川市","[旭川（文化） -アイヌ文化、旭山動物園など。] 旭川市 （あさひかわし）は、 北海道 北中部（ 道北地方 ）に位置し、 上川総合振興局 に属する 市 。 上川盆地 に広がる振興局所在地であり、 札幌市 に次ぐ北海道第2位の人口（約33万人）を有する 中核市 である  。","https://ja.wikipedia.org/wiki/旭川市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯43度46分14.3秒東経142度21分54.0秒","日本","〒070-8525北海道旭川市6条通9丁目北緯43度46分14.3秒東経142度21分54.0秒﻿ / ﻿北緯43.770639度 東経142.365000度﻿ /43.770639; 142.365000座標:北緯43度46分14.3秒東経142度21分54.0秒﻿ / ﻿北緯43.770639度 東経142.365000度﻿ /43.770639; 142.365000","747.66km2","北海道地方","329,413人（住民基本台帳人口、2021年5月31日）","北海道（上川総合振興局）","旭川市","9000020012041","441人/km2","01204-1","上川総合振興局:石狩上川郡鷹栖町・東神楽町・当麻町・比布町・上川町・東川町・美瑛町、天塩国上川郡和寒町、雨竜郡幌加内町空知総合振興局:芦別市、深川市","西川将人","ツツジ","ナナカマド","","","","",""
"富良野市","[富良野・上富良野・中富良野（農村風景・文化・スポーツ） -ラベンダー畑などの農村風景、ドラマのロケ地、スキー場。] 富良野市 （ふらのし）は、 北海道 北部（ 道北地方南部 ）に位置し、 上川総合振興局 に属する 市 。","https://ja.wikipedia.org/wiki/富良野市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯43度20分31秒東経142度23分00秒","日本","〒076-8555北海道富良野市弥生町1-1北緯43度20分31秒東経142度23分00秒﻿ / ﻿北緯43.34194度 東経142.38333度﻿ /43.34194; 142.38333座標:北緯43度20分31秒東経142度23分00秒﻿ / ﻿北緯43.34194度 東経142.38333度﻿ /43.34194; 142.38333","600.71km2","北海道地方","20,862人（住民基本台帳人口、2021年5月31日）","北海道（上川総合振興局）","公式ウェブサイト","9000020012297","34.7人/km2","01229-7","上川総合振興局空知郡：上富良野町、中富良野町、南富良野町空知総合振興局芦別市","北猛俊","エゾムラサキツツジ","イチイホオノキ","","","","",""
"上川町","[上川・東川（自然・保養）-大雪山、層雲峡、層雲峡温泉・天人峡温泉など温泉。] 上川町 （かみかわちょう）は 北海道 上川地方中部、 上川郡 にある町。 大雪山 のうちの一つ 黒岳 への登山口には、北海道有数の温泉街である 層雲峡温泉 がある。 大雪高原温泉 の秋の紅葉は「日本一の紅葉」として知られ、紅葉時期には交通規制がなされるほど混雑する。ラーメン日本一の町として「 上川ラーメン 」にも力を入れている。","https://ja.wikipedia.org/wiki/上川町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒078-1753北海道上川郡上川町南町180番地","1,049.47km2","北海道地方","3,370人（住民基本台帳人口、2021年5月31日）","北海道（上川総合振興局）","上川町 公式サイト","8000020014575","3.21人/km2","01457-5","上川総合振興局旭川市、士別市美瑛町、東川町、当麻町、愛別町オホーツク総合振興局北見市紋別郡：滝上町、遠軽町十勝総合振興局河東郡：上士幌町十勝国上川郡：新得町","","","","上川郡 (石狩国)","佐藤芳治","アカエゾマツ","えぞつつじ",""
"美瑛町","[美瑛（農村風景） -丘陵地帯に広がる畑の景観。] 美瑛町 （びえいちょう）は、 北海道 上川郡 にある 町 。「 日本で最も美しい村連合 」加盟  。","https://ja.wikipedia.org/wiki/美瑛町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯43度35分18秒東経142度28分1秒","日本","〒071-0292北海道上川郡美瑛町本町4丁目6-1北緯43度35分18秒東経142度28分1秒﻿ / ﻿北緯43.58833度 東経142.46694度﻿ /43.58833; 142.46694座標:北緯43度35分18秒東経142度28分1秒﻿ / ﻿北緯43.58833度 東経142.46694度﻿ /43.58833; 142.46694","676.78km2","北海道地方","9,695人（住民基本台帳人口、2021年5月31日）","北海道（上川総合振興局）","北海道美瑛町","8000020014591","14.3人/km2","01459-1","上川総合振興局旭川市上川郡：東神楽町、東川町、上川町空知郡：上富良野町、中富良野町空知総合振興局芦別市十勝総合振興局上川郡：新得町","","","","上川郡","角和浩幸","シラカバ","スズラン",""
"占冠村","[占冠（保養地） -アルファリゾート・トマムなどのリゾート（スキー場など）。] 占冠村 （しむかっぷむら）は、 北海道 勇払郡 にある 村 。","https://ja.wikipedia.org/wiki/占冠村","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒079-2201北海道勇払郡占冠村字中央","571.41km2","北海道地方","1,236人（住民基本台帳人口、2021年5月31日）","北海道（上川総合振興局）","北海道占冠村","2000020014630","2.16人/km2","01463-0","上川総合振興局空知郡：南富良野町空知総合振興局夕張市日高振興局沙流郡：平取町、日高町胆振総合振興局勇払郡：むかわ町","","","","勇払郡","","","",""
"羽幌町","[羽幌（自然・海水浴場・夕日） -天売島、焼尻島、はぼろサンセットビーチ。] 羽幌町 （はぼろちょう）は、 北海道 北部の西海岸にある半農半商の町で、 留萌振興局 管内中部の中心都市である。かつては、道内有数の 炭鉱 の街でもあった。夕日のきれいな街としても知られている。","https://ja.wikipedia.org/wiki/羽幌町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯44度21分38秒東経141度41分50.2秒","日本","〒078-4198北海道苫前郡羽幌町南町1-1北緯44度21分38秒東経141度41分50.2秒﻿ / ﻿北緯44.36056度 東経141.697278度﻿ /44.36056; 141.697278","472.65km2","北海道地方","6,605人（住民基本台帳人口、2021年5月31日）","北海道（留萌振興局）","羽幌町","5000020014842","14人/km2","01484-2","苫前郡苫前町、初山別村、天塩郡遠別町、雨竜郡幌加内町","","","","苫前郡","駒井久晃","オンコ（イチイ）","ツツジ",""
"稚内市","[稚内（自然） - 最北端の町、宗谷岬、野寒布岬など。] 稚内市 （わっかないし）は、 北海道 北部（ 道北地方 ）にある 市 で、 宗谷総合振興局 の振興局所在地である。日本国内の最北端  に位置しており、宗谷地方の 行政 ・ 経済 の中心地、 ロシア サハリン州 をはじめとする北方圏への玄関口になっている  。","https://ja.wikipedia.org/wiki/稚内市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒097-8686北海道稚内市中央3丁目13番15号","761.47km2","北海道地方","32,586人（住民基本台帳人口、2021年5月31日）","北海道（宗谷総合振興局）","公式ウェブサイト","9000020012149","42.8人/km2","01214-9","宗谷総合振興局:天塩郡豊富町、宗谷郡猿払村","工藤広","ハマナス","サクラ、ナナカマド","","","","",""
"豊富町","[豊富・幌延（自然・保養） -サロベツ原野、豊富温泉。] 豊富町 （とよとみちょう）は、 北海道 宗谷総合振興局 管内の 日本海 側に位置する 町 である。 利尻礼文サロベツ国立公園 の一部である サロベツ原野 が広がり、日本最北の温泉郷「 豊富温泉 」が有名である。","https://ja.wikipedia.org/wiki/豊富町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒098-4110北海道天塩郡豊富町大通6丁目","520.69km2","北海道地方","3,792人（住民基本台帳人口、2021年5月31日）","北海道（宗谷総合振興局）","豊富町","4000020015164","7.28人/km2","01516-4","宗谷総合振興局稚内市宗谷郡：猿払村天塩郡：幌延町","","","","天塩郡","河田誠一","イチイ（オンコ）","エゾカンゾウ",""
"礼文町","[礼文（自然） -高山植物（レブンウスユキソウ）自生地など。] 礼文町 （れぶんちょう）は、 北海道 北部、 稚内市 沿岸の西方約60 km  の 礼文島 にある町。 宗谷地方 に属する。","https://ja.wikipedia.org/wiki/礼文町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒097-1201北海道礼文郡礼文町大字香深村字トンナイ558番地の5","81.64km2","北海道地方","2,400人（住民基本台帳人口、2021年5月31日）","北海道（宗谷総合振興局）","礼文町","4000020015172","29.4人/km2","01517-2","なし","","","","礼文郡","小野徹","シンパク","エゾウスユキソウ",""
"利尻町","[利尻町・利尻富士町の利尻島（自然） -利尻山（利尻富士）、仙法志崎など海岸。] 利尻町 （りしりちょう）は、 北海道 最北の 宗谷 地方、 利尻島 にある町。","https://ja.wikipedia.org/wiki/利尻町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒097-0401北海道利尻郡利尻町沓形字緑町14番1","76.51km2","北海道地方","1,945人（住民基本台帳人口、2021年5月31日）","北海道（宗谷総合振興局）","公式ウェブサイト","3000020015181","25.4人/km2","01518-1","利尻郡：利尻富士町","","","","利尻郡","上遠野浩志","ハイマツ","エゾカンゾウチシマザクラ",""
"網走市","[網走（自然・歴史遺産・文化） - 冬季の流氷、網走五湖、網走刑務所・監獄関係、ジャッカドフニなど少数民族関係。] 網走市 （あばしりし）は、 北海道 東部（ 道東地方 ）にある 市 。 オホーツク総合振興局 の振興局所在地。","https://ja.wikipedia.org/wiki/網走市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯44度1分14秒東経144度16分25秒","日本","〒093-8555北海道網走市南6条東4丁目北緯44度1分14秒東経144度16分25秒﻿ / ﻿北緯44.02056度 東経144.27361度﻿ /44.02056; 144.27361座標:北緯44度1分14秒東経144度16分25秒﻿ / ﻿北緯44.02056度 東経144.27361度﻿ /44.02056; 144.27361","471.00km2","北海道地方","34,152人（住民基本台帳人口、2021年5月31日）","北海道（オホーツク総合振興局）","公式ウェブサイト","2000020012114","72.5人/km2","01211-4","北見市、網走郡大空町、斜里郡小清水町","水谷洋一","エゾムラサキツツジ","カツラ","","","","",""
"紋別市","[紋別（自然） - 流氷など。] 紋別市 （もんべつし）は、 北海道 北部（ 道北地方 ）に位置し、 オホーツク総合振興局 に属する 市 。","https://ja.wikipedia.org/wiki/紋別市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯44度21分23秒 東経143度21分15秒","日本","〒094-8707北海道紋別市幸町2丁目1番18号","830.67km2（境界未定部分あり）","北海道地方","21,158人（住民基本台帳人口、2021年5月31日）","北海道（オホーツク総合振興局）","公式ウェブサイト","8000020012190","25.5人/km2","01219-0","紋別郡興部町、滝上町、遠軽町、湧別町","宮川良一","ハマナス","ナナカマド","","","","",""
"斜里町","[斜里・羅臼の知床半島（自然・保養） -羅臼岳・知床五湖などの世界遺産知床、ウトロ温泉などの温泉。] 斜里町 （しゃりちょう）は、 北海道 オホーツク総合振興局 にある 町 。 道東 にある 知床半島 の北側を占め、 オホーツク海 に面する  。","https://ja.wikipedia.org/wiki/斜里町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒099-4192北海道斜里郡斜里町本町12","737.13km2","北海道地方","11,139人（住民基本台帳人口、2021年5月31日）","北海道（オホーツク総合振興局）","公式ウェブサイト","8000020015458","15.1人/km2","01545-8","斜里郡小清水町、清里町、標津郡標津町、目梨郡羅臼町","","","","斜里郡","馬場隆","ミズナラ","ハマナス",""
"小清水町","[小清水（自然）-小清水原生花園。] 小清水町 （こしみずちょう）は、 北海道 オホーツク総合振興局 管内の 斜里郡 にある 町 。","https://ja.wikipedia.org/wiki/小清水町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒099-3698北海道斜里郡小清水町字小清水217番地","286.89km2","北海道地方","4,644人（住民基本台帳人口、2021年5月31日）","北海道（オホーツク総合振興局）","小清水町","8000020015474","16.2人/km2","01547-4","網走市、網走郡美幌町、大空町、斜里郡斜里町、清里町、川上郡弟子屈町","","","","斜里郡","久保弘志","ミズナラ","エゾスカシユリ",""
"釧路市","[阿寒地区を除く釧路市・釧路町・標茶・鶴居（自然） -釧路湿原（塘路湖などを含む）。] 釧路市 （くしろし）は、 北海道 東部（ 道東地方 ）の 太平洋 沿岸にある 市 。 釧路総合振興局 の振興局所在地。","https://ja.wikipedia.org/wiki/釧路市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯42度59分5.60秒東経144度22分54.16秒","日本","〒085-8505北海道釧路市黒金町7丁目5番地北緯42度59分5.60秒東経144度22分54.16秒﻿ / ﻿北緯42.9848889度 東経144.3817111度﻿ /42.9848889; 144.3817111﻿ (釧路市)座標:北緯42度59分5.60秒東経144度22分54.16秒﻿ / ﻿北緯42.9848889度 東経144.3817111度﻿ /42.9848889; 144.3817111﻿ (釧路市)","1,362.90km2","北海道地方","164,400人（住民基本台帳人口、2021年5月31日）","北海道（釧路総合振興局）","公式ウェブサイト（日本語）","7000020012068","121人/km2","01206-8","釧路総合振興局：白糠郡白糠町、阿寒郡鶴居村、釧路郡釧路町、川上郡弟子屈町十勝総合振興局：足寄郡足寄町、十勝郡浦幌町オホーツク総合振興局：網走郡津別町","蝦名大也","キンレンカ、スズラン、エゾリンドウ","ハシドイ、エゾヤマザクラ、ナナカマド","","","","",""
"足寄町","[釧路市阿寒地区・足寄東部（自然・保養・文化） -阿寒湖、オンネトー、阿寒湖畔温泉などの温泉、阿寒湖畔のアイヌコタンなど。] 足寄町 （あしょろちょう）は、 北海道 十勝総合振興局 管内の 足寄郡 にある 町 。","https://ja.wikipedia.org/wiki/足寄町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒089-3701北海道足寄郡足寄町北1条4丁目37番地","1,408.04km2","北海道地方","6,599人（住民基本台帳人口、2021年5月31日）","北海道（十勝総合振興局）","足寄町","9000020016471","4.69人/km2","01647-1","河東郡上士幌町、中川郡本別町、足寄郡陸別町、常呂郡置戸町、網走郡津別町、釧路市、白糠郡白糠町","","","","足寄郡","渡辺俊一","アカエゾマツ","エゾムラサキツツジ",""
"浜中町","[浜中（自然） -霧多布湿原、霧多布岬。] 浜中町 （はまなかちょう）は、 北海道 釧路総合振興局 管内の 厚岸郡 にある町。","https://ja.wikipedia.org/wiki/浜中町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒088-1592北海道厚岸郡浜中町霧多布東4条1丁目35-1","423.63km2","北海道地方","5,570人（住民基本台帳人口、2021年5月31日）","北海道（釧路総合振興局）","浜中町","5000020016632","13.1人/km2","01663-2","厚岸郡厚岸町、根室市、野付郡別海町","","","","厚岸郡","松本博","白樺","エゾカンゾウ",""
"弟子屈町","[弟子屈（自然・保養地） -摩周湖・屈斜路湖、摩周温泉・川湯温泉。] 弟子屈町 （てしかがちょう）は、 北海道 釧路総合振興局 管内の 川上郡 にある 町 である。","https://ja.wikipedia.org/wiki/弟子屈町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒088-3292北海道川上郡弟子屈町中央2丁目3番1号","774.33km2","北海道地方","6,891人（住民基本台帳人口、2021年5月31日）","北海道（釧路総合振興局）","北海道弟子屈町","3000020016659","8.9人/km2","01665-9","釧路市、川上郡標茶町、網走郡津別町、美幌町、斜里郡小清水町、清里町、標津郡中標津町","","","","川上郡","徳永哲雄","桜","つつじ",""
"根室市","[根室（自然） -納沙布岬、風蓮湖など。] 根室市 （ねむろし）は、 北海道 東部（ 道東地方 ）にある 市 。 根室振興局 の振興局所在地。また、 北海道本島 の最東端にあたる 市 である。その位置から日本の自治体では 日の出 の時間が一番早く、 日没 の時間も一番早い。","https://ja.wikipedia.org/wiki/根室市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯43度19分48秒東経145度34分59秒","日本","〒087-8711北海道根室市常盤町2丁目27北緯43度19分48秒東経145度34分59秒﻿ / ﻿北緯43.33000度 東経145.58306度﻿ /43.33000; 145.58306座標:北緯43度19分48秒東経145度34分59秒﻿ / ﻿北緯43.33000度 東経145.58306度﻿ /43.33000; 145.58306","506.25km2","北海道地方","24,540人（住民基本台帳人口、2021年5月31日）","北海道（根室振興局）","公式ウェブサイト","2000020012238","48.5人/km2","01223-8","野付郡別海町、厚岸郡浜中町","石垣雅敏","ユキワリコザクラ","千島桜","","","","",""
"別海町","[別海（自然） -トドワラ・ナラワラなどの野付半島。] 別海町 （べつかいちょう）は、 北海道 根室振興局 管内の 野付郡 にある町。","https://ja.wikipedia.org/wiki/別海町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒086-0205北海道野付郡別海町別海常盤町280番地","1,319.63km2","北海道地方","14,709人（住民基本台帳人口、2021年5月31日）","北海道（根室振興局）","別海町役場","9000020016918","11.1人/km2","01691-8","根室市、標津郡標津町、中標津町、厚岸郡浜中町、厚岸町、川上郡標茶町","","","","野付郡","曽根興三","ナラ","センダイハギ",""
