"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"山畑横穴群","[山畑横穴群（大崎市、横穴古墳、装飾古墳の北限、国の史跡）] 山畑横穴群 （やまはたよこあなぐん）は、 宮城県 大崎市 三本木蟻ヶ袋山畑にある横穴古墳（ 横穴墓 )である。6・10・15号墓には彩色壁画が確認されており、装飾を有する古墳としては最も北に位置する。 1973年 12月15日 、国の史跡に指定された  。","https://ja.wikipedia.org/wiki/山畑横穴群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度31分15.3秒 東経140度55分32.6秒","","","","","","","","","","","","","","","","","","",""
"青塚古墳 (大崎市) (存在しないページ)","[青塚古墳（大崎市、前方後円墳、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=青塚古墳_(大崎市)&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"遠見塚古墳","[遠見塚古墳（仙台市、前方後円墳、国の史跡）] 宮城県では 雷神山古墳 （ 名取市 ）に次ぐ第2位、 東北地方 では第5位の規模の古墳である  。 4世紀 末- 5世紀 初頭（ 古墳時代 中期）頃の築造と推定される。","https://ja.wikipedia.org/wiki/遠見塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度14分17.57秒東経140度54分52.01秒","宮城県仙台市若林区遠見塚","北緯38度14分17.57秒東経140度54分52.01秒﻿ / ﻿北緯38.2382139度 東経140.9144472度﻿ /38.2382139; 140.9144472﻿ (遠見塚古墳)座標:北緯38度14分17.57秒東経140度54分52.01秒﻿ / ﻿北緯38.2382139度 東経140.9144472度﻿ /38.2382139; 140.9144472﻿ (遠見塚古墳)","4世紀末-5世紀初頭","墳丘長約110m高さ6.5m","前方後円墳","国の史跡「遠見塚古墳」","小玉・管玉・竪櫛","遠見塚古墳雷神山古墳","粘土槨2基（内部に割竹形木棺）","","","東北地方第5位/宮城県第2位の規模","","","","","","",""
"雷神山古墳","[雷神山古墳（名取市、東北地方最大の前方後円墳、約170メートル、国の史跡)] 東北地方 では最大規模の古墳で  、 4世紀 末- 5世紀 前半（ 古墳時代 中期）頃の築造と推定される。 仙台平野 一帯を支配した広域首長の墓とされる。","https://ja.wikipedia.org/wiki/雷神山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度9分3.21秒東経140度52分46.08秒","宮城県名取市植松字山","北緯38度9分3.21秒東経140度52分46.08秒﻿ / ﻿北緯38.1508917度 東経140.8794667度﻿ /38.1508917; 140.8794667﻿ (雷神山古墳)座標:北緯38度9分3.21秒東経140度52分46.08秒﻿ / ﻿北緯38.1508917度 東経140.8794667度﻿ /38.1508917; 140.8794667﻿ (雷神山古墳)","4世紀末-5世紀前半","墳丘長約168m高さ12m","前方後円墳","国の史跡「雷神山古墳」","底部穿孔壺型土器・壺形埴輪","遠見塚古墳雷神山古墳","不明","","","東北地方第1位の規模","","","","","","",""
"飯野坂古墳群","[飯野坂古墳群（名取市、前方後方墳ほか、国の史跡）] 飯野坂古墳群 （いいのざかこふんぐん）は、 宮城県 名取市 飯野坂山居に所在する大型 前方後方墳 が群集する特異な 古墳群 である。","https://ja.wikipedia.org/wiki/飯野坂古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥屋八幡古墳 (存在しないページ)","[鳥屋八幡古墳（黒川郡大和町、円墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=鳥屋八幡古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"念南寺古墳群","[念南寺古墳群（加美郡色麻町、前方後円墳・円墳、県史跡）] 鳴瀬川 右岸の標高40mほどの小さな丘陵の上に立地する。最大の遺構は、小丘陵の頂部にある主軸長約52mの前方後円墳（1基）で、他にある円墳22基の径は10m前後である。前方後円墳からは 朝顔形埴輪 ・ 円筒埴輪 が採集されており、 古墳時代 中期（ 5世紀 頃）を中心とした時期に、この地域の首長層の墓として築造されたと考えられている。 1996年 （ 平成 8年）には 家型石棺 が発見された  。","https://ja.wikipedia.org/wiki/念南寺古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度31分56.38秒東経140度52分59.52秒","〒981-4122宮城県加美郡色麻町四竃東原","北緯38度31分56.38秒東経140度52分59.52秒﻿ / ﻿北緯38.5323278度 東経140.8832000度﻿ /38.5323278; 140.8832000","5世紀頃","主軸長約52mの前方後円墳・径10m前後の円墳","前方後円墳・円墳","1992年・宮城県指定史跡","朝顔形・円筒埴輪","念南寺古墳群","","","地域の首長層","","","","","","","",""
"高瀬山古墳","[高瀬山古墳（寒河江市、円墳、近辺に複数の方形周溝墓、県史跡）] 環状にめぐる幅5メートル周溝を持ち、周溝の外径は34メートル、内径は23メートル、高さ1.3メートルである（平成15年調査）。内部主体は粘板岩質の石材を組み合わせた箱式石槨で、石槨の底には丹を塗った小石が敷き詰められており、副葬品として直刀1振（鉄剣）が発見された（ 山形大学附属博物館 所蔵）。石槨内部の長径は220cm、幅40cm、深さ57cm。石槨は円墳中央から東にずれていたため、円墳中央部には木棺があったと考えられる。造られた時期は、 7世紀 前後と考えられ、昭和28年（1953年）2月20日県指定史跡に指定されている。","https://ja.wikipedia.org/wiki/高瀬山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度21分46.7秒東経140度16分4.8秒","山形県寒河江市大字高瀬山","北緯38度21分46.7秒東経140度16分4.8秒﻿ / ﻿北緯38.362972度 東経140.268000度﻿ /38.362972; 140.268000座標:北緯38度21分46.7秒東経140度16分4.8秒﻿ / ﻿北緯38.362972度 東経140.268000度﻿ /38.362972; 140.268000","7世紀前後","周溝外径34m、高さ1.3m","円墳","山形県指定史跡","直刀（鉄剣）","","箱式石槨","","不明","","","","","","","",""
"稲荷森古墳","[稲荷森古墳（南陽市、前方後円墳、国の史跡）] 山形県では最大、 東北地方 では第7位の規模の古墳で  、 4世紀 末（ 古墳時代 中期初頭）頃の築造と推定される。","https://ja.wikipedia.org/wiki/稲荷森古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度2分22.76秒東経140度9分26.06秒","山形県南陽市長岡字稲荷森","北緯38度2分22.76秒東経140度9分26.06秒﻿ / ﻿北緯38.0396556度 東経140.1572389度﻿ /38.0396556; 140.1572389座標:北緯38度2分22.76秒東経140度9分26.06秒﻿ / ﻿北緯38.0396556度 東経140.1572389度﻿ /38.0396556; 140.1572389","4世紀末","墳丘長96m高さ9.6m（後円部）","前方後円墳","国の史跡「稲荷森古墳」","土師器","稲荷森古墳","（推定）木棺直葬","","","東北地方第7位/山形県第1位の規模","","","","","","",""
"二色根古墳群 (存在しないページ)","[二色根古墳群（南陽市、円墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=二色根古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天神森古墳","[天神森古墳（東置賜郡川西町、前方後方墳、県史跡）] 大きさは、全長約75.58メートル、高さ約4.26メートル、後方部幅51.05メートルで  、周りには周溝を持つ。","https://ja.wikipedia.org/wiki/天神森古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度0分23.73秒 東経140度3分4.25秒","山形県東置賜郡川西町大字上小松字天神森1430-1","","4世紀末-5世紀初頭","全長77.5メートル高さ4.26メートル（後方部）","前方後方墳","山形県指定史跡","底部穿孔土器広口壺形土器","天神森古墳","","","","","","","","","","",""
"下小松古墳群","[下小松古墳群（東置賜郡川西町、前方後円墳ほか、国の史跡）] 下小松地区の丘陵上に所在する。北から陣が峰・永松寺・薬師沢・鷹待場・小森山・尼が沢の6支群に分けられ、古墳の総数は202基に及ぶ。この中には21基の前方後円（方）墳が含まれており、山形県内の半数以上の 前方後円墳 が集中している  。薬師沢・鷹待場・小森山の3支群179基は 2000年 に国の史跡に指定された  。","https://ja.wikipedia.org/wiki/下小松古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度01分23秒東経140度02分20秒","日本山形県川西町","","","","","","","","","","","","","","","","","",""
"清水前古墳群 (存在しないページ)","[清水前古墳群（東置賜郡高畠町、円墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=清水前古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安久津古墳群 (存在しないページ)","[安久津古墳群（東置賜郡高畠町、群集墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=安久津古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"谷柏古墳群 (存在しないページ)","[谷柏古墳群（山形市、群集墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=谷柏古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"菅沢古墳2号墳 (存在しないページ)","[菅沢古墳2号墳（山形市、東北地方最大の円墳、直径52メートル、県史跡）]","https://ja.wikipedia.org/w/index.php?title=菅沢古墳2号墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高原古墳 (存在しないページ)","[高原古墳（山形市、墳形不明、県史跡）]","https://ja.wikipedia.org/w/index.php?title=高原古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土矢倉古墳群 (存在しないページ)","[土矢倉古墳群（上山市、前方後円墳ほか、県史跡）]","https://ja.wikipedia.org/w/index.php?title=土矢倉古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大安場古墳群","[大安場古墳群（郡山市、前方後方墳ほか、国の史跡）] 大安場古墳群は、福島県の郡山市田村町にあり、中通りを南から北へ向けて貫流する 阿武隈川 の東岸、 安積盆地 に面した 標高 約250メートル、平地からの比高差約15メートルの低 丘陵 上に立地する。","https://ja.wikipedia.org/wiki/大安場古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度21分21秒東経140度24分13秒","福島県郡山市田村町","北緯37度21分21秒東経140度24分13秒﻿ / ﻿北緯37.35583度 東経140.40361度﻿ /37.35583; 140.40361","4世紀後半ころと推定","全長約83m（推定）　","前方後方墳","大安場古墳として国の史跡（2000年9月6日指定）","朱粒，緑色凝灰岩製腕輪形石製品１点、副葬品として棺内南半部に、大刀1点、剣1点、槍1点、鎌1点、板状鉄斧1点など","","","","阿武隈川流域を治めていた豪族と推定（阿尺国造？）","大安場古墳群のひとつ","","","","","","",""
"会津大塚山古墳","[会津大塚山古墳（会津若松市、前方後円墳、三角縁神獣鏡出土、国の史跡）] 会津盆地 東部に立つ大塚山の山頂に位置する墳丘全長114 メートル の 前方後円墳 である。","https://ja.wikipedia.org/wiki/会津大塚山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度30分46.83秒東経139度56分38.84秒","福島県会津若松市一箕町","北緯37度30分46.83秒東経139度56分38.84秒﻿ / ﻿北緯37.5130083度 東経139.9441222度﻿ /37.5130083; 139.9441222","4世紀末","墳丘長114m高さ10m","前方後円墳","国の史跡「大塚山古墳」","鏡、玉類、刀剣類ほか","会津大塚山古墳会津大塚山古墳の位置","割竹形木棺2基","一箕古墳群","不明","東北地方第4位/福島県第2位の規模","","出土品（国の重要文化財）","","","","",""
"宇内青津古墳群","[宇内青津古墳群（河沼郡会津坂下町）亀ヶ森・鎮守森古墳（前方後円墳、国の史跡）杵ガ森古墳（前方後円墳、4世紀初頭、東北最古級、県史跡）] 宇内青津古墳群 （うないあおつこふんぐん）は、 福島県 会津坂下町 にある、16基の 古墳 からなる古墳群である。","https://ja.wikipedia.org/wiki/宇内青津古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"亀ヶ森・鎮守森古墳","[亀ヶ森・鎮守森古墳（前方後円墳、国の史跡）] 亀ヶ森古墳 （かめがもりこふん、亀ケ森古墳/大亀甲古墳  ）は、 前方後円墳 。かつて中世城館の築城が知られるほか、後円部上に稲荷神社・観音堂が立地するとともに前方部は墓地利用された関係で、墳丘には大きな改変が加えられている   。これまでに測量調査および 1992年 （ 平成 4年）以後に数次の発掘調査が実施されている。","https://ja.wikipedia.org/wiki/亀ヶ森・鎮守森古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度35分34.89秒 東経139度49分44.77秒","","","","","","","","","","","","","","","","","","",""
"杵ガ森古墳","[杵ガ森古墳（前方後円墳、4世紀初頭、東北最古級、県史跡）] 東北地方で最古に位置づけられうる古墳として知られる。","https://ja.wikipedia.org/wiki/杵ガ森古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度33分58.73秒東経139度48分34.89秒","福島県河沼郡会津坂下町稲荷塚","北緯37度33分58.73秒東経139度48分34.89秒﻿ / ﻿北緯37.5663139度 東経139.8096917度﻿ /37.5663139; 139.8096917﻿ (杵ガ森古墳)座標:北緯37度33分58.73秒東経139度48分34.89秒﻿ / ﻿北緯37.5663139度 東経139.8096917度﻿ /37.5663139; 139.8096917﻿ (杵ガ森古墳)","3世紀末-4世紀初頭","墳丘長45.6m高さ2m","前方後円墳","福島県指定史跡「杵ガ森古墳」","土師器","","不明","宇内青津古墳群","","東北地方最古の古墳か","","","","","","",""
"甲塚古墳 (いわき市)","[甲塚古墳（いわき市、円墳、国の史跡）] 夏井川 河口近くの平地に造られた円墳で、直径37m、高さ8.2mを測る  。円墳としては形が整っており、保存状態も良い。未調査のため内部構造や築造年代は明らかで無いが、周辺の古墳との比較から、6世紀後半から7世紀後半にかけて造られたと推定される  。","https://ja.wikipedia.org/wiki/甲塚古墳_(いわき市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度3分11.5秒東経140度56分30.9秒","福島県いわき市平荒田目","北緯37度3分11.5秒東経140度56分30.9秒﻿ / ﻿北緯37.053194度 東経140.941917度﻿ /37.053194; 140.941917座標:北緯37度3分11.5秒東経140度56分30.9秒﻿ / ﻿北緯37.053194度 東経140.941917度﻿ /37.053194; 140.941917","6世紀後半～7世紀後半","墳径37m、墳高8.2m","円墳","1923年（大正12年）国指定","土師器、円筒埴輪、木簡","","","","","","","","","","","",""
"中田横穴","[中田横穴（いわき市、横穴古墳、国の史跡）] 中田横穴 （なかたよこあな）は、 福島県 いわき市 平沼ノ内にある 横穴墓群 (横穴式の集合 墳墓 )である。1号墓には彩色壁画が確認されている。 1970年 5月11日 、国の 史跡 に指定。","https://ja.wikipedia.org/wiki/中田横穴","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度00分20.7秒 東経140度58分00.4秒","","","","","","","","","","","","","","","","","","",""
"清戸迫横穴","[清戸迫横穴（双葉郡双葉町、横穴古墳、国の史跡）] 清戸迫横穴は300基以上ある 横穴墓 群の一つで、正式名称は「清戸迫76号横穴墓」である。","https://ja.wikipedia.org/wiki/清戸迫横穴","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度26分30.6秒東経141度0分17.0秒","福島県双葉郡双葉町大字新山","北緯37度26分30.6秒東経141度0分17.0秒﻿ / ﻿北緯37.441833度 東経141.004722度﻿ /37.441833; 141.004722座標:北緯37度26分30.6秒東経141度0分17.0秒﻿ / ﻿北緯37.441833度 東経141.004722度﻿ /37.441833; 141.004722","","","","","","","","","","","","","","","","",""
"泉崎横穴","[泉崎横穴（西白河郡泉崎村、横穴古墳、国の史跡）] 泉崎横穴 （いずみざきよこあな）は、 福島県 西白河郡 泉崎村 にある横穴式 装飾古墳 である。 昭和 8年（ 1933年 ）の県道拡張工事の際に発見された。昭和9年（ 1934年 ）に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/泉崎横穴","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度9分9.7秒 東経140度19分2.0秒","","","","","","","","","","","","","","","","","","",""
"桜井古墳","[桜井古墳（南相馬市、前方後方墳、国の史跡）] 桜井古墳は、福島県の通称 浜通り 地方の北部、南相馬市原町の中心市街の北東に位置し、西の 阿武隈高地 から東の 太平洋 に流下する 新田川 南岸の標高10メートルの低 台地 （ 河岸段丘 縁辺部）に立地する。 緯度 は 北緯 37度38分29秒、 経度 は 東経 140度59分29秒である。なお、桜井古墳を中心に河岸段丘上を東西約900メートルの範囲にわたって古墳群が広がり、大小37基の 古墳 が確認されている。これは、一般に「桜井古墳群」として一括して呼称されている（詳細は 後述 ）。","https://ja.wikipedia.org/wiki/桜井古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度38分29秒東経140度59分29秒","福島県南相馬市原町区上渋佐","北緯37度38分29秒東経140度59分29秒﻿ / ﻿北緯37.64139度 東経140.99139度﻿ /37.64139; 140.99139","4世紀-5世紀","全長74.5m、高さ6.8m","前方後方墳","国の史跡（1956年）","底部穿孔壺、二重口縁壺","","","","初代浮田国造・鹿我別命か","","","","","","","",""
