"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"福岡空港","[九州：福岡空港※2019年4月1日よりコンセッション方式で運営、北九州空港、長崎空港、熊本空港（阿蘇くまもと空港）※2020年4月1日よりコンセッション方式で運営[33] 福岡市街地から5km以内という至近距離に位置しており、アクセスの良い空港として知られる。1993年に 福岡市地下鉄空港線 が国内線ターミナル直下に乗り入れ、 博多駅 まで約5分、 天神駅 ・ 西鉄福岡（天神）駅 ・まで約11分で結んでいるほか、 福岡都市高速 の ランプ も至近に所在し、 九州自動車道 太宰府インターチェンジ への所要時間は15分から20分程度となっている。新幹線が発着する博多駅に近いため広域のアクセスがよく、九州北部から山口県に渡る広範囲から利用客を集めている。","https://ja.wikipedia.org/wiki/福岡空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度35分04秒東経130度27分06秒","福岡県福岡市博多区","商業","日本","福岡国際空港","9.1m(30ft)","16/34","24時間(但し定期便の運用は通常7:00 - 22:00迄に制限)","福岡空港公式サイト","353ha","1945年","23,979,222人","258,559t","","","89,261回（着陸回数）","","","",""
"那覇空港","[沖縄：那覇空港] 1933年 （ 昭和 8年）8月、 日本軍 は半農半漁の集落として栄えた旧 小禄村 大嶺（ウフンミ）の土地を強制接収し   、 海軍 の 軍用飛行場 、小禄飛行場（小禄海軍飛行場・海軍小禄飛行場）を建設した。","https://ja.wikipedia.org/wiki/那覇空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯26度12分20秒東経127度39分03秒","沖縄県那覇市字鏡水","軍民共用","日本","国土交通大臣","3.3m","18L/36R","24時間","那覇空港旅客ターミナルビル","327.8ha","","","","","","","","","",""
"旭川空港","[北海道：旭川空港（北海道のまん中・旭川空港）、帯広空港（とかち帯広空港）] 北海道 第2の都市旭川市中心部から南東約16km（バスで約35分）の田園地帯に囲まれた丘陵地帯に位置する  。旭川を中心とした 道北 の経済、文化、観光の拠点である。空港の東側には、日本最大の 国立公園 である 大雪山 連峰と、これに続く 十勝岳 連峰の山々がある。","https://ja.wikipedia.org/wiki/旭川空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯43度40分15秒東経142度26分51秒","北海道上川郡東神楽町","商業","日本","北海道エアポート","210.5m(692ft)","16/34","8:00 - 21:00","旭川空港ターミナル","214ha","1966年6月30日","1,110,137人","4,964t","","旭川市","","","","",""
"秋田空港","[東北：秋田空港、山形空港（おいしい山形空港）] 1981年 （昭和56年）6月26日に開港  。秋田市中心部から南東に約20kmの 河辺郡 雄和町 （現・秋田市）の 雄物川 と 岩見川 に挟まれた 安養寺川 上流の 丘陵地  に位置する。 東北地方 では最も早く2,500m 滑走路 を整備した空港であった。","https://ja.wikipedia.org/wiki/秋田空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯39度36分56秒東経140度13分07秒","秋田県秋田市雄和椿川","商業","日本","秋田県","93.1m(305ft)","10/28","7:00 - 22:00","秋田空港","159ha","1981年6月26日","1,228,136人","2,009t","","","","","","",""
"山口宇部空港","[中国：山口宇部空港] 山口宇部空港 （やまぐちうべくうこう Yamaguchi-Ube Airport ）は、 山口県 宇部市 に所在する 特定地方管理空港 である。本州の空港としては最西端に位置する。","https://ja.wikipedia.org/wiki/山口宇部空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度55分48秒東経131度16分43秒","山口県宇部市沖宇部字八王子625-17","商業","日本","山口県","7m(23ft)","07/25","7:30 - 21:30","http://www.yamaguchiube-airport.jp/","155ha","1966年（昭和41年）7月1日","","","","","","","","",""
"利尻空港","[北海道：利尻空港、礼文空港、奥尻空港、中標津空港（根室中標津空港）、女満別空港、紋別空港（オホーツク紋別空港）] 利尻空港は 利尻島 北端に位置する北海道内の最初の 離島 空港である。ジェット機の就航が可能であり、地域経済の活性化及び地域振興、島民の重要な生活基盤施設として期待されている。","https://ja.wikipedia.org/wiki/利尻空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯45度14分23秒東経141度11分29秒","北海道利尻郡利尻富士町","商業","日本","北海道","30.7m(100.7ft)","07/25","9:00 - 17:00","","","","","","","","","","","",""
"青森空港","[東北：青森空港、花巻空港（いわて花巻空港）、大館能代空港（あきた北空港）、庄内空港（おいしい庄内空港）、福島空港] 青森市中心部から南方に約10キロメートル（バスで約35分）の 標高 198メートルの山腹に位置する、 本州 最北端の空港である。","https://ja.wikipedia.org/wiki/青森空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯40度44分00秒東経140度41分19秒","青森県青森市","商業","日本","青森県","198m(650ft)","06/24","7:30 - 22:00","青森空港管理事務所","","","","","","","","","","",""
"大島空港","[伊豆諸島：大島空港、新島空港、神津島空港、三宅島空港、八丈島空港] 伊豆大島北部の元町に位置する。滑走路は ジェット機 （小型）の離着陸にも対応している。","https://ja.wikipedia.org/wiki/大島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度46分55秒東経139度21分37秒","東京都大島町元町字北の山270番地","商業","日本","東京都港湾局","37.8m(124ft)","03/21","","大島空港","","","","","","大島町","","","","",""
"佐渡空港","[中部：佐渡空港、富山空港（富山きときと空港）、能登空港（のと里山空港）、福井空港、松本空港（信州まつもと空港）、静岡空港（富士山静岡空港）※2019年4月1日よりコンセッション方式で運営] 佐渡島北東部の 国仲平野 に位置し、佐渡市の中心部からは南西約4kmの地点にある。北方には標高1,172mの北金山を頂点とする大佐渡連峰、南方には標高645m級の小佐渡連山を眺望することができる。","https://ja.wikipedia.org/wiki/佐渡空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯38度03分36秒東経138度24分50秒","新潟県佐渡市","商業","日本","新潟県","27m(88ft)","10/28","8:45 - 17:15","","","","","","","","","","","",""
"神戸空港","[近畿：神戸空港(マリンエア)※2018年4月1日よりコンセッション方式で運営、南紀白浜空港※2019年4月1日よりコンセッション方式で運営] 大阪市 の西約26キロメートル  、神戸市の中心部、 三宮 の南約8キロメートルに位置する 地方管理空港 。 関西国際空港 ・ 大阪国際空港 （伊丹空港）とともに、 関西三空港 のひとつに数えられる。海上都市 ポートアイランド の沖合約1キロメートルに造成された 人工島 の神戸空港島に建設され、 2006年 2月16日 に開港  。神戸市が設置・管理し、市営空港としては 旭川空港 ・ 帯広空港 に次いで国内3番目、旧 第三種空港 の中では、市が初めて建設から運営までを手がけた空港である。","https://ja.wikipedia.org/wiki/神戸空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度37分58秒東経135度13分26秒","兵庫県神戸市中央区神戸空港","商業","日本","関西エアポート神戸","5.486m(18ft)","09/27","7:00 - 23:00","www.kairport.co.jpwww.kairport.co.jp/eng/index.html（英語）","156.5ha","2006年2月16日","","","","大阪市","","","","",""
"鳥取空港","[中国：鳥取空港（鳥取砂丘コナン空港）、隠岐空港（隠岐世界ジオパーク空港）、出雲空港（出雲縁結び空港）、石見空港（萩・石見空港）、岡山空港（岡山桃太郎空港）] 鳥取市中心部から北西約7kmの 日本海 、 千代川 、 湖山池 に囲まれた 砂丘 地帯に位置し  、主に鳥取県の東部の空運を担っている。空港法に基づく地方管理空港に区分され、鳥取県が設置・管理。定期旅客便は、国内線のみが発着する。","https://ja.wikipedia.org/wiki/鳥取空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度31分48秒東経134度9分59秒","鳥取県鳥取市","商業","日本","鳥取県","14.7m","10/28","7:00 - 21:30","鳥取砂丘コナン空港","104.9ha","1967年7月31日","","","鳥取県","","","","","",""
"佐賀空港","[九州：佐賀空港（九州佐賀国際空港）、壱岐空港、対馬空港（対馬やまねこ空港）、小値賀空港、上五島空港、福江空港（五島つばき空港）] 佐賀県南部の 有明海 に面した干拓地に、 1998年 7月28日 に開港  。 旅客ターミナルビル の住所は佐賀県佐賀市川副町大字犬井道9476番地187。","https://ja.wikipedia.org/wiki/佐賀空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度08分59秒東経130度18分08秒","佐賀県佐賀市川副町大字犬井道","商業","日本","佐賀県","2m(6ft)","11/29","06:30 - 22:0000:30 - 04:30","","","","","","","","","","","",""
"種子島空港","[薩南諸島：種子島空港（コスモポート種子島）、屋久島空港、奄美空港、喜界空港、徳之島空港（徳之島子宝空港）、沖永良部空港（えらぶゆりの島空港）、与論空港] 種子島のほぼ中央に位置する。約8km南西に位置した 旧種子島空港 は滑走路が1,500mと短いため プロペラ機 のみの就航であったが、新種子島空港の開港により、同県の離島空港の中で、 徳之島空港 、 奄美空港 に次いで、同港に ジェット機 （小型）の乗り入れが可能になった。","https://ja.wikipedia.org/wiki/種子島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯30度36分18秒東経130度59分30秒","鹿児島県熊毛郡中種子町増田2692番地64","商業","日本","鹿児島県","234m(768ft)","13/31","8:30 - 18:30","－","","","86,962人","114.4 t","","","1,835回","","","",""
"伊江島空港","[沖縄：伊江島空港、慶良間空港、粟国空港、久米島空港、北大東空港、南大東空港、宮古空港、下地島空港、多良間空港（かりゆす多良間空港）、新石垣空港（南ぬ島石垣空港） 、波照間空港、与那国空港] 1975年（昭和50年）7月に開催された 沖縄国際海洋博覧会 の関連事業として開港している  。伊江島の中心部あたりに設置されているが、元々は戦前、日本陸軍によって作られた「 伊江島東飛行場 」がベースとなっており、 第二次世界大戦 後の 連合国軍 （ アメリカ軍 ）の施設 占領 と返還を経て、再整備の上で新たにターミナルが建設された。","https://ja.wikipedia.org/wiki/伊江島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯26度43分21秒東経127度47分13秒","沖縄県国頭郡伊江村字東江上3992-2","商業","日本","沖縄県","72.5m(237.9ft)","04/22","12:15 - 16:45（土曜日）9:15 - 16:45（日曜日）","-","","","","","","","","","","",""
"調布飛行場","[関東：調布飛行場] 調布飛行場 （ちょうふひこうじょう、Chofu Airport）は、 東京都 調布市 （一部 三鷹市 ・ 府中市 にまたがる）にある 日本の飛行場 である。東京都営空港の一つ。正式名称は 東京都調布飛行場  。 調布空港 と呼ばれることもある。","https://ja.wikipedia.org/wiki/調布飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度40分18秒東経139度31分41秒","東京都調布市","その他の空港","日本","東京都港湾局","42.3m(138.8ft)","17/35","","www.kouwan.metro.tokyo.lg.jp/rito/tmg-airport/chofu/","","","","","","","","","","",""
"名古屋飛行場","[中部：名古屋飛行場（名古屋空港、小牧空港、県営名古屋空港）] 名古屋市 の中心から北へおよそ15 kmの 濃尾平野 北東部に位置しており、行政区分上では 西春日井郡 豊山町 、 小牧市 、 春日井市 、 名古屋市 （ 北区 ）の3市1町にまたがっている。 航空自衛隊 小牧基地 に隣接しており、滑走路を共有しているが、防衛省設置管理の共用飛行場ではなく 愛知県 が管理する。 管制 業務は、 飛行場管制 業務と 着陸誘導管制 業務を 航空自衛隊 小牧管制隊が実施しており、 進入管制業務とターミナルレーダー管制業務 については、 中部国際空港 （常滑市）にある 国土交通省 大阪航空局 中部空港事務所が広域管制によって実施している。","https://ja.wikipedia.org/wiki/名古屋飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度15分18秒東経136度55分28秒","愛知県西春日井郡豊山町、小牧市、春日井市、名古屋市","公共","日本","愛知県","14m(45.9ft)","16/34","7:00 - 22:00","県営名古屋空港","","","","","","名古屋市","","","","",""
"八尾空港","[近畿：八尾空港、但馬飛行場（コウノトリ但馬空港）] 大阪市 の 南東 約14km  にある 空港 。定期便の就航はなく、主として航空宣伝・写真測量・操縦訓練などの事業用や自家用の 小型航空機 や ヘリコプター の発着に利用されているほか、 陸上自衛隊 や 消防 ・ 警察 の航空隊が利用している。","https://ja.wikipedia.org/wiki/八尾空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度35分46秒東経135度36分10秒","大阪府八尾市","その他","日本","国土交通大臣","10m","09/27","8:00 - 19:30","八尾空港","69.7ha","","","","","","","","","",""
"岡南飛行場","[中国：岡南飛行場] 岡南飛行場 （こうなんひこうじょう、 Kounan Airport ）は、 岡山県 岡山市 南区 にある、岡山県が設置・管理する 飛行場 である。 旧岡山空港 。","https://ja.wikipedia.org/wiki/岡南飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度35分29秒東経133度56分00秒","岡山県岡山市南区浦安南町640","商業","日本","岡南飛行場管理運用共同事業体","0m(0ft)","09/27","8:30 - 19:30","岡南飛行場管理事務所","","","","","","","","","","",""
"天草飛行場","[九州：天草飛行場、大分県央飛行場] 天草地方 の行政、商業、交通の中心地である旧 本渡市 の市街地より、約6kmの 天草下島 の北部にある高尾山の山頂付近（旧 天草郡 五和町 と旧本渡市の境）に位置し、主に天草地方の 空運 を担っている  。","https://ja.wikipedia.org/wiki/天草飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯32度28分49秒東経130度09分30秒","熊本県天草市五和町城河原1丁目2080","その他","日本","熊本県","103m(338ft)","13/31","7:40 - 20:30","天草空港","30.6ha","2000年3月23日","62,759人","2.1t","","","","","","",""
"札幌飛行場","[北海道：札幌飛行場（丘珠空港）※陸上自衛隊と共用、千歳飛行場※航空自衛隊と共用] 札幌飛行場は、陸上自衛隊の専用飛行場（ 軍用飛行場 ）であったが、 1961年 に公共用飛行場として指定と民間機の乗り入れが開始され、空港施設の名称から「丘珠空港」と通称されている。設置管理者は防衛省となっており、陸上自衛隊丘珠駐屯地との共用飛行場となっている。","https://ja.wikipedia.org/wiki/札幌飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯43度07分03秒東経141度22分53秒","北海道札幌市","軍民共用","日本","陸上自衛隊","8m(26.2ft)","14/32","7:30 - 20:30","丘珠空港","","","173,920人","13.7t","防衛省","","","","","",""
"三沢飛行場","[東北：三沢飛行場（三沢空港）※アメリカ空軍・航空自衛隊と共用] 三沢飛行場（三沢空港）は、青森県の太平洋岸東南部にある三沢市の市街地の外れ、市域のほぼ中央に位置し（三沢市中央部までバスで約15分）、青森県東部の玄関口となる空港であり、また本州の空港としては最東端に位置する。","https://ja.wikipedia.org/wiki/三沢飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯40度42分19秒東経141度22分19秒","青森県三沢市大字三沢字下タ沢83番地198","軍民共用","日本","アメリカ空軍","36m(119ft)","10/28","","航空自衛隊 三沢基地三沢空港ターミナル","","","","","防衛省","","","アメリカ空軍第35戦闘航空団航空自衛隊第3航空団","1941年","",""
"百里飛行場","[関東：百里飛行場（茨城空港）※航空自衛隊と共用] 百里飛行場 （ひゃくりひこうじょう）は、 茨城県 小美玉市 百里 ・与沢にある自衛隊と民間の共用 飛行場 である。","https://ja.wikipedia.org/wiki/百里飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度11分00秒東経140度25分14秒","茨城県小美玉市百里・与沢","軍民共用","日本","航空自衛隊","32m(105ft)","03R/21L","24時間","百里基地茨城空港","","","","","防衛省","","","中部航空方面隊第7航空団航空救難団百里救難隊","","",""
"小松飛行場","[中部：小松飛行場（小松空港）※航空自衛隊と共用] この節には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/小松飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度23分38秒東経136度24分27秒","石川県小松市","軍民共用","日本","航空自衛隊","6m(18ft)","06/24","","小松空港公式サイト航空自衛隊 小松基地","","","","","防衛省","金沢市・福井市","","第6航空団飛行教導群小松救難隊石川県消防防災航空隊","","",""
"美保飛行場","[中国：美保飛行場（米子空港、米子鬼太郎空港）※航空自衛隊と共用 、岩国飛行場（岩国錦帯橋空港） ※アメリカ海兵隊・海上自衛隊と共用] 美保飛行場 （みほひこうじょう）は、 鳥取県 境港市 （敷地の一部は 米子市 ）にある 飛行場 （ 空港 ）である。","https://ja.wikipedia.org/wiki/美保飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度29分32秒東経133度14分11秒","鳥取県境港市、米子市","軍民共用","日本","航空自衛隊","6m(20ft)","07/25","7:00 - 22:00","米子鬼太郎空港","","","","","防衛省","","","","1943年","",""
"徳島飛行場","[四国：徳島飛行場（徳島空港、徳島阿波おどり空港）※海上自衛隊と共用] 徳島市 中心部から北東に約9キロメートル  の 紀伊水道 に面した海岸部に位置する。 防衛大臣 が設置管理する 飛行場 で  、 海上自衛隊 が 教育航空集団 の基地を併設して使用する。また、 空港法 に基づく 共用空港 に指定されており、主に国内線の民間航空に使用されている。","https://ja.wikipedia.org/wiki/徳島飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度07分58秒東経134度36分23秒","徳島県板野郡松茂町","軍民共用","日本","海上自衛隊","11.4m(37.4ft)","11/29","7:00 - 21:30","徳島阿波おどり空港","191.1ha","1941年","","","防衛省","徳島市","","","","",""
"占冠ヘリポート","[北海道：占冠ヘリポート2017年3月をもって廃止、ニセコヘリポート、増毛ヘリポート、乙部ヘリポート、豊富ヘリポート、砂川ヘリポート] 占冠ヘリポート （しむかっぷヘリポート）は、 北海道 勇払郡 占冠村 トマム2231番にかつてあった公共用 ヘリポート である。","https://ja.wikipedia.org/wiki/占冠ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯43度03分21秒東経142度37分04秒","北海道勇払郡占冠村字中トマム2231-17","公共用ヘリポート","日本","アルファリゾート・トマム施設部車両課","545.8m","","午前7時から午後5時（日没まで）","","1.3ha","1990年12月15日","","","占冠村","","年間約10便（1998年度から2004年度平均）","","","",""
"米沢ヘリポート","[東北：米沢ヘリポート] 米沢ヘリポート （よねざわヘリポート）は、 山形県 米沢市 八幡原2丁目にある公共用 ヘリポート 。","https://ja.wikipedia.org/wiki/米沢ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯37度54分47秒東経140度09分58秒","山形県米沢市八幡原2-444-9","公共用ヘリポート","日本","山形県","261.5m","","午前9時から午後5時（但し日没後は離着陸不可）","","2ha","1992年4月1日","","","","","","","","",""
