"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"八戸大橋","[八戸大橋（八戸市）] 八戸大橋 （はちのへおおはし）は、 青森県 八戸市 に架かる橋である。 八戸港 と新井田川河口に位置し、 1976年 （ 昭和 51年）に開通した。橋梁の長さは1323.7m。連続箱桁形式の 橋梁 で、青森県で一番長い橋梁であり、 八太郎大橋 と共に 八戸港 の沿岸部の港湾道路を繋いでいる。路線名は（臨）白銀北沼線である。八戸大橋は、八戸市を代表する橋の一つで、市民からは 夢の大橋 として親しまれている。","https://ja.wikipedia.org/wiki/八戸大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯40度31分50.1秒東経141度31分22.3秒","青森県八戸市","日本","","1323.7m","","","1976年（昭和51年）開通","","","","","","","","","","","",""
"開運橋 (盛岡市)","[開運橋（盛岡市）] 開運橋 （かいうんばし）は、 岩手県 盛岡市 にある 北上川 に架かる 岩手県道2号盛岡停車場線 の 橋 。 盛岡駅 と市の中心部を結ぶ重要な橋である。","https://ja.wikipedia.org/wiki/開運橋_(盛岡市)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","東側菜園通り（公園通り）不来方橋および旭橋方向へ通じる市道西側盛岡市道開運橋向中野線盛岡駅北通り","82.25m","下路式単純ランガートラス他","11.5m（車道）2.5m×2（歩道）","","","鋼鉄コンクリート","岩手県道2号盛岡停車場線","","","岩手県","","1953年","","横河橋梁製作所（現横河ブリッジ）","",""
"不来方橋","[不来方橋] 不来方橋 （こずかたばし）は、 岩手県 盛岡市 にある 道路 橋梁 で、 北上川 に架かる橋である。","https://ja.wikipedia.org/wiki/不来方橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯39度42分02.0秒 東経141度08分25.7秒","","","","","","","","","","","","","","","","","","",""
"茨島跨線橋","[茨島跨線橋] 茨島跨線橋 （ばらしまこせんきょう）は、 岩手県 盛岡市 にある 国道4号 ・ 国道281号 ・ 国道282号 の 跨線橋 である。","https://ja.wikipedia.org/wiki/茨島跨線橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"夕顔瀬橋","[夕顔瀬橋] 夕顔瀬橋 （ゆうがおせばし）は、 岩手県 盛岡市 にある 岩手県道1号盛岡横手線 の道路橋梁である。","https://ja.wikipedia.org/wiki/夕顔瀬橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東北新幹線","[第一北上川橋梁（東北新幹線） 鉄道橋として日本最長] 東北新幹線 （とうほくしんかんせん）は、 東京駅 から 新青森駅 を結ぶ 東日本旅客鉄道 （JR東日本）の 高速鉄道 路線（ 新幹線 ）およびその 列車 である。","https://ja.wikipedia.org/wiki/東北新幹線","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","東京都、埼玉県、茨城県、栃木県、福島県、宮城県、岩手県、青森県","日本","","","","","","","","","","","","","","","","東京駅","新青森駅"
"三陸鉄道リアス線","[小本川橋脚（三陸鉄道リアス線） PC斜長橋として日本初、鉄道専用PC斜長橋としては世界初] リアス線 （リアスせん）は、 岩手県 大船渡市 の 盛駅 と 久慈市 の 久慈駅 を結ぶ、 三陸鉄道 の 鉄道路線 の総称である。","https://ja.wikipedia.org/wiki/三陸鉄道リアス線","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩根橋 (存在しないページ)","[岩根橋(遠野市)]","https://ja.wikipedia.org/w/index.php?title=岩根橋&amp;action=edit&amp;redlink=1","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雪沢大橋","[雪沢大橋（大館市）] 秋田県道2号大館十和田湖線 （あきたけんどう2ごう おおだてとわだこせん）は、 秋田県 大館市 から 鹿角郡 小坂町 を経由して 鹿角市 に至る 県道 （ 主要地方道 ）である。愛称は 樹海ライン である  。","https://ja.wikipedia.org/wiki/雪沢大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","大館市大館長倉交差点、国道7号交点【地図】","鹿角市十和田大湯字大湯発荷峠、国道103号交点【地図】"
"翔鷹大橋","[翔鷹大橋（北秋田市）] 秋田県道325号大館能代空港西線 （あきたけんどう325ごう おおだてのしろくうこうにしせん）は、 秋田県 北秋田市 を通る 一般県道 である  。","https://ja.wikipedia.org/wiki/翔鷹大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","北秋田市脇神字葈岱大館能代空港","北秋田市今泉字根立場国道7号交点"
"雄物大橋","[雄物大橋（秋田市）] 秋田南バイパス （あきたみなみバイパス）は、秋田県秋田市の海沿いを通る 国道7号 のバイパス路線。","https://ja.wikipedia.org/wiki/雄物大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","秋田県秋田市浜田字境川","秋田県秋田市八橋戌川原"
"雄物新橋","[雄物新橋（秋田市）] 秋田県道65号寺内新屋雄和線 （あきたけんどう65ごう てらうちあらやゆうわせん）は、 秋田県 秋田市 を通る 県道 （ 主要地方道 ）である  。","https://ja.wikipedia.org/wiki/雄物新橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","【現道】秋田市寺内字蛭根・国道7号交点【地図】【バイパス】秋田市新屋町・国道7号交点","秋田市雄和椿川字川端秋田県道9号秋田雄和本荘線交点【地図】"
"秋田大橋","[秋田大橋（秋田市）] 秋田大橋 （あきたおおはし）は、 秋田県 秋田市 の 雄物川 に架かる全長583.6 mの 橋 である。","https://ja.wikipedia.org/wiki/秋田大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯39度41分27.5秒東経140度5分29.4秒","秋田市","日本","雄物川","583.6 m","","15 m","1997年-2001年","","","","","","","","","","","",""
"雄物川橋梁","[雄物川橋梁（秋田市）] 雄物川橋梁 （おものがわきょうりょう）は、 秋田県 秋田市 にある 東日本旅客鉄道 （JR東日本） 羽越本線 の 鉄道橋 である。","https://ja.wikipedia.org/wiki/雄物川橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯39度41分6.6秒 東経140度5分50.2秒","","","","","","","","","","","","","","","","","","",""
"秋田南大橋","[秋田南大橋（秋田市）] 秋田南大橋 （あきたみなみおおはし）は、 秋田県 秋田市 に存在する 橋 である。","https://ja.wikipedia.org/wiki/秋田南大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇宙大橋","[宇宙大橋（湯沢市）] 宇宙大橋 （うちゅうおおはし）は、 秋田県 湯沢市 にある、 皆瀬川 の支流の中ノ台沢川に架かる 秋田県道323号小安温泉椿川線 の橋である。","https://ja.wikipedia.org/wiki/宇宙大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯39度2分56秒東経140度38分49秒","秋田県湯沢市","日本","中ノ台沢川","180メートル","バスケットハンドル型ニールセン系ローゼ桁の耐候性無塗装","10.25メートル","","","","秋田県道323号小安温泉椿川線","","","","","1994年（平成6年）11月","","","",""
"百目石橋 (存在しないページ)","[百目石橋タイドアーチ木橋として日本初]","https://ja.wikipedia.org/w/index.php?title=百目石橋&amp;action=edit&amp;redlink=1","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神取橋","[神取橋（石巻市）] 神取橋 （かんどりばし）は、 宮城県 石巻市 の 旧北上川 に架かる 橋 である。宮城県道21号線上にあり、石巻市和渕地区と石巻市 桃生町 神取地区を結ぶ。神取橋のすぐ北西側で旧北上川と 江合川 が 合流 している。","https://ja.wikipedia.org/wiki/神取橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度31分46秒東経141度13分33秒","宮城県石巻市和渕","日本","","287.1m","3径間連続下路式トラスト橋+3連単純合成鈑桁橋","","1965年","","","","","","","","","","","",""
"内海橋","[内海橋（石巻市）] 内海橋 （うつみばし）は、 宮城県 石巻市 にある 橋 で、 旧北上川 に架かる。石巻市街地の中央地区と湊地区を結び、 国道398号 を通している。旧北上川の中洲の 中瀬 地区を経由していて、そこを境に東内海橋と西内海橋に分かれる。内海橋の名称は架橋に尽力した内海五郎兵衛の名に由来するものである。","https://ja.wikipedia.org/wiki/内海橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度25分48秒東経141度18分40秒","宮城県石巻市","日本","旧北上川","75.08メートル（東内海橋）64.84メートル（西内海橋）","","8メートル","","","","国道398号","道路橋","","","","1933年（昭和8年）","","","",""
"日和大橋","[日和大橋（石巻市）] 日和大橋 （ひよりおおはし）は、 宮城県 石巻市 にある 橋 で、旧 北上川 の河口に架かる。 宮城県道240号石巻女川線 を通し、 石巻工業港 がある雲雀野方面と 石巻新漁港 がある魚町方面を結んでいる。橋梁長は716.6メートルであり、これは宮城県内の道路橋としては 槻木大橋 に次いで2番目に長いものである  。また、水面から橋桁までの高さは約18メートルである  。片側1車線で、車両の制限速度は時速50キロメートル。橋の片側に歩道がある。","https://ja.wikipedia.org/wiki/日和大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度24分55秒 東経141度18分45秒","","","","","","","","","","","","","","","","","","",""
"鳴瀬川橋梁","[鳴瀬川橋梁（東松島市）] 鳴瀬川橋梁 （なるせがわきょうりょう）は、 宮城県 東松島市 野蒜字下山ノ坊と牛網字下西を結ぶ 鉄道橋 。 東日本旅客鉄道 （JR東日本） 仙石線 の 野蒜駅 と 陸前小野駅 の間にあり、 一級河川 吉田川 と 鳴瀬川 を跨ぐ  単線電化の橋梁である。 2000年 （平成12年）6月完成  。 プレストレスト・コンクリート 構造下路桁の フィンバック橋 という珍しい構造をしている。","https://ja.wikipedia.org/wiki/鳴瀬川橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度23分22.5秒東経141度9分53.3秒","宮城県東松島市","日本","鳴瀬川","489 m","フィンバック橋","","","85 m","プレストレスト・コンクリート","","","","","","","","","",""
"第二広瀬川橋梁","[第二広瀬川橋梁（仙台市）] 第二広瀬川橋梁 （だいにひろせがわきょうりょう）は、 宮城県 仙台市 青葉区 上愛子道半の 東日本旅客鉄道 （JR東日本） 仙山線 陸前白沢駅 - 熊ケ根駅 間  にある 単線 鉄道橋 である。","https://ja.wikipedia.org/wiki/第二広瀬川橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度17分30.2秒東経140度41分8.7秒","宮城県仙台市青葉区上愛子道半","日本","広瀬川","134.4 m","上路プレートガータートレッスル","","1931年","21.60 m","鋼","","","51 m","","","","","","",""
"生瀬橋 (宮城県)","[生瀬橋（仙台市）] 生瀬橋 （おいせばし）は、 宮城県 仙台市 で 広瀬川 にかかる 橋 で、 宮城県道31号仙台村田線 （旧 国道48号 ）を通す。名称は、架橋当時の 名取郡 生 出村 （おいで）と 宮城郡 広 瀬 村 とを繋ぐ橋であることに由来する。","https://ja.wikipedia.org/wiki/生瀬橋_(宮城県)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"牛越橋","[牛越橋（仙台市）] 牛越橋 （うしごえばし）は、 宮城県 仙台市 青葉区 にある 橋 で、 広瀬川 に架かる。市道三居沢道線を通し、川内地区と 国道48号 を結ぶ位置にある。長さ134.6メートル、幅8.9メートル。","https://ja.wikipedia.org/wiki/牛越橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"澱橋","[澱橋（仙台市青葉区）] 澱橋 （よどみばし）は、 宮城県 仙台市 青葉区 にある 橋 である。 広瀬川 に架かり、市道澱橋通線  を通す。古くは 淀橋 ともいった  。北の 国道48号 と南の川内地区を結ぶ位置にある。幅12.6 m 、長さ137mの単純合成鋼鈑桁橋である。","https://ja.wikipedia.org/wiki/澱橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"仲の瀬橋","[仲の瀬橋（仙台市青葉区）] 仲の瀬橋 （なかのせばし）は、 宮城県 仙台市 青葉区 にあり、 名取川 水系の 広瀬川 に架かる 橋 である。この場所には江戸時代から橋が架けられていて、仲の瀬橋の名称も当時から続くものである。広瀬川の中洲である「中の瀬」を経由して橋が架けられていたことから仲の瀬橋と呼ばれた。 現在の仲の瀬橋は二層構造の橋梁で、橋の東側は 西公園 である。西側については、上層の道路は川内地区へ、下層の道路はトンネルを経て 愛子盆地 へ続く。","https://ja.wikipedia.org/wiki/仲の瀬橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大橋 (広瀬川)","[大橋（仙台市青葉区）] 大橋 （おおはし）は、 名取川 水系の 広瀬川 にかかる 橋 で、 宮城県 仙台市 青葉区 にある。かつては 仙台城 大手門と城下町を結ぶ重要な位置を占め、現在は 市街地中心部 から 青葉山 を経由して 八木山 方面に通じるための橋として利用されている。現在の橋は長さ約116メートル、幅約11メートル。","https://ja.wikipedia.org/wiki/大橋_(広瀬川)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"評定河原橋","[評定河原橋（仙台市青葉区）] 評定河原橋 （ひょうじょうがわらばし）は、 名取川 の支流 広瀬川 にかかる 橋 。市道評定河原渡船線  を通すが、建設中の市道向山常盤丁線  の一部にも指定されている。 仙台市 青葉区 の評定河原と霊屋下（おたまやした）を結んでおり、元は 評定橋 、 評定所橋 などといった。 寛永 13年（ 1636年 ）に初めて橋が架けられた。現在の橋は、長さ110.0 m 、幅11.9mの鋼 桁橋 である。","https://ja.wikipedia.org/wiki/評定河原橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"霊屋橋","[霊屋橋（仙台市青葉区）] 霊屋橋 （おたまやばし）は、 名取川 の支流 広瀬川 にかかる橋で、市道霊屋下米ヶ袋線を通す。 宮城県 仙台市 青葉区 の霊屋下（おたまやした）と米ヶ袋（こめがふくろ）を結ぶ。長さ60.6メートル、幅10.1メートル。","https://ja.wikipedia.org/wiki/霊屋橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"愛宕大橋","[愛宕大橋（仙台市）] 愛宕大橋 （あたごおおはし）は、 宮城県 仙台市 の 広瀬川 にかかる 橋 で、 青葉区 土樋（つちとい）と 太白区 越路（こえじ）とを結ぶ。 愛宕上杉通 （ 国道286号 ）を通しており、当橋南詰が愛宕上杉通と 広瀬河畔通 との境目となっている。両側に 歩道 があり、6車線の 道路 を通す。","https://ja.wikipedia.org/wiki/愛宕大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度14分49秒 東経140度52分47秒","","","","","","","","","","","","","","","","","","",""
"愛宕橋 (広瀬川)","[愛宕橋（仙台市）] 愛宕橋 （あたごばし）は、 宮城県 仙台市 にある 橋 で、 広瀬川 にかかり、市道愛宕橋線を通す。右岸は 太白区 越路で近くに 愛宕山 があり、左岸は 若林区 土樋で、姉歯横丁に続く。2010年現在ある橋は102.0m、幅12.8m。","https://ja.wikipedia.org/wiki/愛宕橋_(広瀬川)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度14分46秒 東経140度52分51秒","","","","","","","","","","","","","","","","","","",""
"宮沢橋 (広瀬川)","[宮沢橋（仙台市）広瀬川 (宮城県)#橋梁も参照] 宮沢橋 （みやざわはし）は、 宮城県 仙台市 にある 橋 で、 広瀬川 にかかる。市道宮沢橋線  を通す。 若林区 堰場（どうば）と 太白区 越路（こえじ）を結ぶ。2車線の車道と歩道を持つ。現在の橋は長さ152 m 。","https://ja.wikipedia.org/wiki/宮沢橋_(広瀬川)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度14分28秒 東経140度53分07秒","","","","","","","","","","","","","","","","","","",""
"広瀬川 (宮城県)","[広瀬川 (宮城県)#橋梁も参照] 広瀬川 （ひろせがわ）は、 宮城県 仙台市 を流れる 名取川 水系 名取川支流の 一級河川 である。","https://ja.wikipedia.org/wiki/広瀬川_(宮城県)#橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮城野陸橋","[宮城野陸橋（仙台市）] 宮城野陸橋 （みやぎのりっきょう）は、 宮城県 仙台市 宮城野区 宮城野にある 宮城県道137号荒浜原町線 （ 新寺通り ）の道路橋梁である。正式名称は 薬師堂橋 。北には貨物専用の 仙台貨物ターミナル駅 があり、この橋はその貨物線との立体交差のためにある。南方に 陸奥国分寺 薬師堂がある。","https://ja.wikipedia.org/wiki/宮城野陸橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"春田大橋","[春田大橋（田村郡三春町）] 春田大橋 （はるたおおはし）は、 福島県 田村郡 三春町 にある 道路橋 である。","https://ja.wikipedia.org/wiki/春田大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度24分28.5秒 東経140度29分10.4秒","","","","","","","","","","","","","","","","","","",""
"松川浦大橋","[松川浦大橋（相馬市）] 松川浦大橋 （まつかわうらおおはし）は、 福島県 相馬市 にある 道路橋 である。","https://ja.wikipedia.org/wiki/松川浦大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度49分34秒東経140度58分30秒","相馬市","日本","松川浦","286.6 m","斜張橋","12.95 m","1990-1995年","145 m","鉄筋コンクリート","","","58 m（主塔）","","","","","","",""
"信夫橋","[信夫橋（福島市）] 信夫橋 （しのぶばし）は、 福島県 福島市 にある 道路橋 である。","https://ja.wikipedia.org/wiki/信夫橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度44分39.5秒 東経140度27分48.0秒","","","","","","","","","","","","","","","","","","",""
"油井高架橋","[油井高架橋（二本松市）] 福島南バイパス （ふくしまみなみバイパス）は、 福島県 二本松市 から 福島市 までの 国道4号 の バイパス道路 である。バイパスと称しているが、旧道（ 奥州街道 ）は道幅が狭い上に 県道 や 市道 に格下げされており、並行する国道4号の指定区間がないので、現在は本道路が国道4号の現道となっている。","https://ja.wikipedia.org/wiki/油井高架橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"内郷高架橋","[内郷高架橋（いわき市）] 国道49号 （こくどう49ごう）は、 福島県 いわき市 から 新潟県 新潟市 中央区 に至る 一般国道 である。","https://ja.wikipedia.org/wiki/内郷高架橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","福島県いわき市常磐上矢田交差点（地図）","新潟県新潟市中央区栗ノ木橋交差点（地図）"
"あづま陸橋","[あづま陸橋（福島市）] あづま陸橋 （あづまりっきょう）は、 福島県 福島市 にある 跨線橋 である。","https://ja.wikipedia.org/wiki/あづま陸橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度45分10.4秒 東経140度27分34.7秒","","","","","","","","","","","","","","","","","","",""
"信夫大橋","[信夫大橋（福島市）] 信夫大橋 （しのぶおおはし）は、 福島県 福島市 にある道路橋。","https://ja.wikipedia.org/wiki/信夫大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度46分57秒 東経140度27分51秒","","","","","","","","","","","","","","","","","","",""
