"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"仁井田駅 (栃木県)","仁井田駅 (栃木県)（にいたえき・東日本旅客鉄道烏山線）","https://ja.wikipedia.org/wiki/仁井田駅_(栃木県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度39分26.19秒東経140度1分46.99秒","■烏山線","5.9 km（宝積寺起点）","東日本旅客鉄道（JR東日本）","地上駅","1923年（大正12年）4月15日","栃木県塩谷郡高根沢町大字文挾28北緯36度39分26.19秒東経140度1分46.99秒﻿ / ﻿北緯36.6572750度 東経140.0297194度﻿ /36.6572750; 140.0297194座標:北緯36度39分26.19秒東経140度1分46.99秒﻿ / ﻿北緯36.6572750度 東経140.0297194度﻿ /36.6572750; 140.0297194","1面1線","無人駅","","ニタ","","","","","","","","",""
"仁井田駅 (高知県)","仁井田駅 (高知県)（にいだえき・四国旅客鉄道土讃線）","https://ja.wikipedia.org/wiki/仁井田駅_(高知県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度14分42.18秒東経133度9分40.52秒","■土讃線","194.2 km（多度津起点）","四国旅客鉄道（JR四国）","地上駅","1951年（昭和26年）11月12日[1]","高知県高岡郡四万十町仁井田北緯33度14分42.18秒東経133度9分40.52秒","1面1線","無人駅","○K25","ニイ","","26人/日-2018年-","","","","","","",""
"二井田駅","二井田駅（にいだえき・阿武隈急行阿武隈急行線）","https://ja.wikipedia.org/wiki/二井田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度49分40.75秒東経140度34分49.65秒","■阿武隈急行線","15.4 km（福島起点）","阿武隈急行","地上駅","1988年（昭和63年）7月1日","福島県伊達市保原町二井田前原北緯37度49分40.75秒東経140度34分49.65秒﻿ / ﻿北緯37.8279861度 東経140.5804583度﻿ /37.8279861; 140.5804583座標:北緯37度49分40.75秒東経140度34分49.65秒﻿ / ﻿北緯37.8279861度 東経140.5804583度﻿ /37.8279861; 140.5804583","2面2線","無人駅","","","36人/日（降車客含まず）-2016年-","","","","","","","",""
"新津駅","新津駅（にいつえき）","https://ja.wikipedia.org/wiki/新津駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度48分0.1秒東経139度7分16.3秒","■信越本線","121.1 km（直江津起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","地上駅（橋上駅）[1]","1897年（明治30年）11月20日","新潟市秋葉区新津本町一丁目1-1北緯37度48分0.1秒東経139度7分16.3秒﻿ / ﻿北緯37.800028度 東経139.121194度﻿ /37.800028; 139.121194座標:北緯37度48分0.1秒東経139度7分16.3秒﻿ / ﻿北緯37.800028度 東経139.121194度﻿ /37.800028; 139.121194","3面5線[1]","直営駅（管理駅）みどりの窓口有","","ニツ","4,115人/日（降車客含まず）-2019年-","","","","","","","",""
"新月駅","新月駅（にいつきえき）","https://ja.wikipedia.org/wiki/新月駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯38度54分56.30秒東経141度29分19.87秒","■大船渡線","55.3 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","地上駅","1929年（昭和4年）7月31日","岩手県一関市室根町折壁字上前木北緯38度54分56.30秒東経141度29分19.87秒座標:北緯38度54分56.30秒 東経141度29分19.87秒","1面1線","無人駅","","ニツ←ヒツ","","","","","","","","",""
"新鶴駅","新鶴駅（にいつるえき）","https://ja.wikipedia.org/wiki/新鶴駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","■只見線","16.8 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1926年（大正15年）10月15日","","1面1線","無人駅","","ニル","44人/日（降車客含まず）-2004年-","","","","","","","",""
"新野駅 (兵庫県)","新野駅 (兵庫県)（にいのえき・西日本旅客鉄道播但線）","https://ja.wikipedia.org/wiki/新野駅_(兵庫県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","J播但線","27.7 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1951年（昭和26年）10月15日[2]","","2面2線[1]","無人駅（自動券売機 有）[1]","","ニノ","595人/日（降車客含まず）-2016年-","","","","","","","",""
"新居浜駅","新居浜駅（にいはまえき）","https://ja.wikipedia.org/wiki/新居浜駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度56分52.71秒東経133度17分39.74秒","■予讃線","103.1 km（高松起点）","四国旅客鉄道（JR四国）日本貨物鉄道（JR貨物）","地上駅","1921年（大正10年）6月21日","愛媛県新居浜市坂井町二丁目3-45北緯33度56分52.71秒東経133度17分39.74秒﻿ / ﻿北緯33.9479750度 東経133.2943722度﻿ /33.9479750; 133.2943722座標:北緯33度56分52.71秒東経133度17分39.74秒﻿ / ﻿北緯33.9479750度 東経133.2943722度﻿ /33.9479750; 133.2943722","2面3線","直営駅（管理駅）みどりの窓口有","○Y29","ニハ","1,948人/日（降車客含まず）-2019年-","4,038[1]人/日-2019年-","","","","","","",""
"新治駅","新治駅（にいはりえき）","https://ja.wikipedia.org/wiki/新治駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度19分40.99秒東経140度2分20.73秒","■水戸線","22.3 km（小山起点）","東日本旅客鉄道（JR東日本）","地上駅","1895年（明治28年）9月25日","茨城県筑西市新治2003-3北緯36度19分40.99秒東経140度2分20.73秒座標:北緯36度19分40.99秒 東経140度2分20.73秒","2面3線","無人駅","","ハリ","581人/日（降車客含まず）-2019年-","","","","","","","",""
"新見駅","新見駅（にいみえき）","https://ja.wikipedia.org/wiki/新見駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度59分14.78秒東経133度27分24.20秒","V伯備線（P芸備線直通含む）","64.4km（倉敷起点）岡山から80.3 km","西日本旅客鉄道（JR西日本）","地上駅","1928年（昭和3年）10月25日","岡山県新見市西方471北緯34度59分14.78秒東経133度27分24.20秒﻿ / ﻿北緯34.9874389度 東経133.4567222度﻿ /34.9874389; 133.4567222座標:北緯34度59分14.78秒東経133度27分24.20秒﻿ / ﻿北緯34.9874389度 東経133.4567222度﻿ /34.9874389; 133.4567222","2面4線","直営駅（管理駅）みどりの窓口有","JR-V18","ニミ","733人/日（降車客含まず）-2019年-","","","","","","","",""
"新村駅 (長野県)","新村駅（にいむらえき）","https://ja.wikipedia.org/wiki/新村駅_(長野県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度12分58.54秒東経137度54分18.23秒","上高地線","6.2 km（松本起点）","アルピコ交通","地上駅","1921年（大正10年）10月2日[1]","長野県松本市大字新村548北緯36度12分58.54秒東経137度54分18.23秒﻿ / ﻿北緯36.2162611度 東経137.9050639度﻿ /36.2162611; 137.9050639座標:北緯36度12分58.54秒東経137度54分18.23秒﻿ / ﻿北緯36.2162611度 東経137.9050639度﻿ /36.2162611; 137.9050639","1面2線[1]","","AK-08","","137人/日（降車客含まず）-2017年-","285人/日-2017年-","","","","","","",""
"新谷駅","新谷駅（にいやえき）","https://ja.wikipedia.org/wiki/新谷駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度32分2.84秒東経132度35分56.55秒","■内子線","0.0 km（新谷起点）","四国旅客鉄道（JR四国）","地上駅","1920年（大正9年）5月1日","愛媛県大洲市新谷北緯33度32分2.84秒東経132度35分56.55秒﻿ / ﻿北緯33.5341222度 東経132.5990417度﻿ /33.5341222; 132.5990417座標:北緯33度32分2.84秒東経132度35分56.55秒﻿ / ﻿北緯33.5341222度 東経132.5990417度﻿ /33.5341222; 132.5990417","2面2線","無人駅","○U13","ニヤ","","200[1]人/日-2019年-","","","","","","",""
"贄川駅","贄川駅（にえかわえき）","https://ja.wikipedia.org/wiki/贄川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度0分49.64秒東経137度51分38.06秒","CF中央本線","236.2km（東京起点）名古屋から160.7 km","東海旅客鉄道（JR東海）","地上駅","1909年（明治42年）12月1日[1]","長野県塩尻市大字贄川[1]北緯36度0分49.64秒東経137度51分38.06秒﻿ / ﻿北緯36.0137889度 東経137.8605722度﻿ /36.0137889; 137.8605722﻿ (贄川駅)","2面2線[1]","駅員無配置駅[1]標高：871.6m[1]","","ニヘ[1]","106人/日（降車客含まず）-2018年-","","","","","","","",""
"二階堂駅","二階堂駅（にかいどうえき）","https://ja.wikipedia.org/wiki/二階堂駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度36分7.57秒東経135度47分43.83秒","H天理線","1.3 km（平端起点）","近畿日本鉄道（近鉄）","地上駅","1915年（大正4年）2月7日","奈良県天理市二階堂上ノ庄町147-2北緯34度36分7.57秒東経135度47分43.83秒﻿ / ﻿北緯34.6021028度 東経135.7955083度﻿ /34.6021028; 135.7955083座標:北緯34度36分7.57秒東経135度47分43.83秒﻿ / ﻿北緯34.6021028度 東経135.7955083度﻿ /34.6021028; 135.7955083","1面2線",""," H33 ","ニト","1,789人/日（降車客含まず）-2019年-","","","","","","","",""
"仁方駅","仁方駅（にがたえき）","https://ja.wikipedia.org/wiki/仁方駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度13分18.38秒東経132度39分19.48秒","Y呉線","57.6 km（三原起点）","西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）11月24日","広島県呉市仁方本町二丁目1-1北緯34度13分18.38秒東経132度39分19.48秒﻿ / ﻿北緯34.2217722度 東経132.6554111度﻿ /34.2217722; 132.6554111座標:北緯34度13分18.38秒東経132度39分19.48秒﻿ / ﻿北緯34.2217722度 東経132.6554111度﻿ /34.2217722; 132.6554111","2面2線","無人駅（自動券売機 有）1982年（昭和57年）まで、予讃本線堀江駅との間に仁堀航路運航","JR-Y18","ニタ","511人/日（降車客含まず）-2019年-","","","","","","","",""
"苦竹駅","苦竹駅（にがたけえき）","https://ja.wikipedia.org/wiki/苦竹駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯38度16分7.3秒東経140度55分7.7秒","■仙石線","4.0 km（あおば通起点）","東日本旅客鉄道（JR東日本）","高架駅","1943年（昭和18年）2月8日","仙台市宮城野区苦竹一丁目7-33北緯38度16分7.3秒東経140度55分7.7秒﻿ / ﻿北緯38.268694度 東経140.918806度﻿ /38.268694; 140.918806﻿ (苦竹駅)座標:北緯38度16分7.3秒東経140度55分7.7秒﻿ / ﻿北緯38.268694度 東経140.918806度﻿ /38.268694; 140.918806﻿ (苦竹駅)","2面2線","業務委託駅仙台市内駅","","カケ","2,974人/日（降車客含まず）-2019年-","","","","","","","",""
"二月田駅","二月田駅（にがつでんえき）","https://ja.wikipedia.org/wiki/二月田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯31度15分15.28秒東経130度37分48.21秒","指宿枕崎線[1]","43.4 km（鹿児島中央起点）","九州旅客鉄道（JR九州）[1]","地上駅","1934年（昭和9年）12月19日","鹿児島県指宿市十町147番地北緯31度15分15.28秒東経130度37分48.21秒","1面1線","無人駅[1]","","ニク","346人/日（降車客含まず）-2019年-","","","","","","","",""
"仁賀保駅","仁賀保駅（にかほえき）","https://ja.wikipedia.org/wiki/仁賀保駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯39度17分23.41秒東経139度57分50.37秒","■羽越本線","214.7 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1922年（大正11年）6月30日[1]","秋田県にかほ市平沢字清水18-3北緯39度17分23.41秒東経139度57分50.37秒﻿ / ﻿北緯39.2898361度 東経139.9639917度﻿ /39.2898361; 139.9639917座標:北緯39度17分23.41秒東経139度57分50.37秒﻿ / ﻿北緯39.2898361度 東経139.9639917度﻿ /39.2898361; 139.9639917","2面3線","簡易委託駅","","ニホ","271人/日（降車客含まず）-2019年-","","","","","","","",""
"仁川駅","仁川駅（にがわえき）","https://ja.wikipedia.org/wiki/仁川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","■今津線","4.5 km（宝塚起点）大阪梅田（西宮北口経由）から18.8 km","阪急電鉄","地上駅[2]","1923年（大正12年）12月28日[2]","","2面2線宝塚側に降車用ホーム1面1線","","HK25","","","","","（特定日）24,545人/日（通年平均）24,998人/日-2019年-","","","","",""
"仁木駅","仁木駅（にきえき）","https://ja.wikipedia.org/wiki/仁木駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度9分14.84秒東経140度46分15秒","■函館本線","228.2 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1902年（明治35年）12月10日","北海道余市郡仁木町北町1丁目北緯43度9分14.84秒東経140度46分15秒","1面1線","無人駅","○S19","ニキ","","160人/日-2014年-","","","","","","",""
"二木島駅","二木島駅（にぎしまえき）","https://ja.wikipedia.org/wiki/二木島駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度56分22.24秒東経136度10分51.32秒","紀勢本線","146.8 km（亀山起点）","東海旅客鉄道（JR東海）","地上駅","1959年（昭和34年）7月15日[1]","三重県熊野市二木島町540北緯33度56分22.24秒東経136度10分51.32秒","1面1線","駅員無配置駅","","ニマ","19人/日（降車客含まず）-2019年-","","","","","","","",""
"二軒茶屋駅","二軒茶屋駅（にけんちゃやえき・叡山電鉄鞍馬線）","https://ja.wikipedia.org/wiki/二軒茶屋駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度4分40.06秒東経135度45分57.04秒","■鞍馬線","4.1km（宝ケ池起点）出町柳から7.9 km","叡山電鉄","地上駅","1928年（昭和3年）12月1日[1]","京都市左京区静市市原町968[1]北緯35度4分40.06秒東経135度45分57.04秒﻿ / ﻿北緯35.0777944度 東経135.7658444度﻿ /35.0777944; 135.7658444﻿ (二軒茶屋駅)座標:北緯35度4分40.06秒東経135度45分57.04秒﻿ / ﻿北緯35.0777944度 東経135.7658444度﻿ /35.0777944; 135.7658444﻿ (二軒茶屋駅)","2面2線",""," E13 ","","836人/日（降車客含まず）-2017年-","","","","","","","",""
"二軒茶屋停留場","二軒茶屋停留場（にけんぢゃやていりゅうじょう・鹿児島市電谷山線）","https://ja.wikipedia.org/wiki/二軒茶屋停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯31度32分59.95秒東経130度32分28.35秒","鹿児島市電谷山線（1系統）","3.6km（武之橋起点）鹿児島駅前から6.6 km","鹿児島市交通局","地上駅","1912年12月1日","鹿児島県鹿児島市宇宿一丁目北緯31度32分59.95秒東経130度32分28.35秒﻿ / ﻿北緯31.5499861度 東経130.5412083度﻿ /31.5499861; 130.5412083﻿ (二軒茶屋停留場)座標:北緯31度32分59.95秒東経130度32分28.35秒﻿ / ﻿北緯31.5499861度 東経130.5412083度﻿ /31.5499861; 130.5412083﻿ (二軒茶屋停留場)","2面2線","","●I20","","","767人/日-2015年-","","","","","","",""
"二軒屋駅","二軒屋駅（にけんやえき）","https://ja.wikipedia.org/wiki/二軒屋駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度3分15.86秒東経134度32分47.15秒","■牟岐線","2.8 km（徳島起点）","四国旅客鉄道（JR四国）","地上駅","1913年（大正2年）4月20日","徳島県徳島市南二軒屋町一丁目1北緯34度3分15.86秒東経134度32分47.15秒﻿ / ﻿北緯34.0544056度 東経134.5464306度﻿ /34.0544056; 134.5464306座標:北緯34度3分15.86秒東経134度32分47.15秒﻿ / ﻿北緯34.0544056度 東経134.5464306度﻿ /34.0544056; 134.5464306","1面2線","無人駅","○M02","ニケ","574人/日（降車客含まず）-2018年-","1,148人/日-2018年-","","","","","","",""
"新里駅 (青森県)","新里駅 (青森県)（にさとえき・弘南鉄道弘南線）","https://ja.wikipedia.org/wiki/新里駅_(青森県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯40度35分14.73秒東経140度31分14.42秒","弘南線","3.6 km（弘前起点）","弘南鉄道","地上駅","1927年（昭和2年）9月7日","青森県弘前市大字新里字東里見14-2北緯40度35分14.73秒東経140度31分14.42秒﻿ / ﻿北緯40.5874250度 東経140.5206722度﻿ /40.5874250; 140.5206722座標:北緯40度35分14.73秒東経140度31分14.42秒﻿ / ﻿北緯40.5874250度 東経140.5206722度﻿ /40.5874250; 140.5206722","1面2線","無人駅","","","","72人/日-2017年-","","","","","","",""
"虹の駅","虹駅（にじえき・神戸すまいまちづくり公社摩耶ケーブル線）","https://ja.wikipedia.org/wiki/虹の駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度43分38.37秒東経135度12分43.75秒","摩耶ケーブル線","0.9 km（摩耶ケーブル駅起点）","神戸すまいまちづくり公社","地上駅","1925年（大正14年）1月6日","神戸市灘区畑原（ケーブル）神戸市灘区原田（ロープウェー）北緯34度43分38.37秒東経135度12分43.75秒﻿ / ﻿北緯34.7273250度 東経135.2121528度﻿ /34.7273250; 135.2121528﻿ (摩耶ケーブル 虹の駅)座標:北緯34度43分38.37秒東経135度12分43.75秒﻿ / ﻿北緯34.7273250度 東経135.2121528度﻿ /34.7273250; 135.2121528﻿ (摩耶ケーブル 虹の駅)（ケーブル）北緯34度43分38.81秒東経135度12分40.8秒﻿ / ﻿北緯34.7274472度 東経135.211333度﻿ /34.7274472; 135.211333﻿ (摩耶ロープウェー 虹の駅)（ロープウェー）","2面1線（ケーブル）1面2線（ロープウェー）","* ケーブル側の正式名称は虹駅*2001年摩耶駅から改称","","","","","","","","","","",""
