"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","事業主体","位置","専門分野","管理運営","学校種別","設置者","本部所在地","学部","ウェブサイト","面積","研究科","正式名称","前身","キャンパス","分類","運営者"
"茨城県植物園","[茨城県植物園（茨城県那珂市）] 茨城県初の植物園として1981年（昭和56年）に開園  。現在はバラ園、 水生植物 園、 石庭 がある。ほかに ツバキ 、 針葉樹 、熱帯果樹のコレクションそして熱帯 温室 がある。総面積は79.5  ha あるとされている  。","https://ja.wikipedia.org/wiki/茨城県植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度28分36秒東経140度25分57秒","〒311-0122茨城県那珂市戸4589","1981年","茨城県植物園","","北緯36度28分36秒東経140度25分57秒﻿ / ﻿北緯36.47667度 東経140.43250度﻿ /36.47667; 140.43250座標:北緯36度28分36秒東経140度25分57秒﻿ / ﻿北緯36.47667度 東経140.43250度﻿ /36.47667; 140.43250","総合","公益社団法人茨城県農林振興公社","","","","","","","","","","","",""
"千葉県立中央博物館","[千葉県立中央博物館生態園（千葉県千葉市中央区）] 千葉県立中央博物館 （ちばけんりつちゅうおうはくぶつかん、 英 :Natural History Museum and Institute,Chiba）は、 千葉県 千葉市 中央区 にある千葉県の 自然 誌と 歴史 に関する 県立 の総合 博物館  。日本で唯一、博物館に「 生態園 」を併設している。","https://ja.wikipedia.org/wiki/千葉県立中央博物館","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度35分59秒東経140度8分18秒","〒260-8682千葉県千葉市中央区青葉町955-2","","","千葉県","北緯35度35分59秒東経140度8分18秒﻿ / ﻿北緯35.59972度 東経140.13833度﻿ /35.59972; 140.13833","自然科学・歴史","","","","","","","","","","","","",""
"清水公園","[清水公園（千葉県野田市）] 清水公園 （しみずこうえん）は、 千葉県 野田市 に所在する面積28万 平方メートル の敷地を有する 民営 の 自然公園 。 サクラ （桜祭り）と ツツジ （つつじ祭り）の名所であり、 日本さくら名所100選 に選定されている  。日本最大級の フィールドアスレチック を始め、園内施設が充実している。","https://ja.wikipedia.org/wiki/清水公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度57分35.43秒東経139度50分59.51秒","千葉県野田市","1894年4月3日","公式ホームページ","","","","","","","","","","280000 m2","","","聚楽園","","民営公園（風致公園）","株式会社千秋社"
"川口市立グリーンセンター","[川口市立グリーンセンター（埼玉県川口市）] 川口市立グリーンセンター （かわぐちしりつグリーンセンター）は、 埼玉県 川口市 新井宿 にある 植物園 である。","https://ja.wikipedia.org/wiki/川口市立グリーンセンター","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度50分45.1秒東経139度43分34.6秒","日本埼玉県川口市","","グリーンセンター公式ホームページ","","","","","","","","","","","","","川口市立花木植物園","","植物園","川口市"
"国営武蔵丘陵森林公園","[国営武蔵丘陵森林公園都市緑化植物園（埼玉県比企郡滑川町）] 国営武蔵丘陵森林公園 （こくえい むさしきゅうりょうしんりんこうえん）は、 埼玉県 比企郡 滑川町 と 熊谷市 （北口周辺のみ）にまたがる 比企北丘陵 にある 国営公園 。国の 明治百年 記念事業の一環として開設された。","https://ja.wikipedia.org/wiki/国営武蔵丘陵森林公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度5分10.68秒東経139度22分12秒","日本埼玉県比企郡滑川町、熊谷市","1974年7月22日","国営武蔵丘陵森林公園","","","","","","","","","","304ha","","","","","国営公園",""
"板橋区立赤塚植物園","[板橋区立赤塚植物園（東京都板橋区）] 板橋区 （いたばしく）は、 東京都 の 区部 北部に位置する 特別区  。","https://ja.wikipedia.org/wiki/板橋区立赤塚植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度45分4.3秒東経139度42分33.4秒","〒173-8501東京都板橋区板橋2丁目66番1号北緯35度45分4.3秒東経139度42分33.4秒﻿ / ﻿北緯35.751194度 東経139.709278度﻿ /35.751194; 139.709278座標:北緯35度45分4.3秒東経139度42分33.4秒﻿ / ﻿北緯35.751194度 東経139.709278度﻿ /35.751194; 139.709278","","","","","","","","","","","","32.22km2","","","","","",""
"板橋区立熱帯環境植物館","[板橋区立熱帯環境植物館（東京都板橋区）] 板橋清掃工場 の 余熱 を活用した施設であり、従来の温室植物園を改修して 1994年 （平成6年）9月に開館した。開館と同時期に、板橋区は マレーシア の ペナン州 政府と「友好提携に関する共同声明」に調印した。2005年からは 指定管理者 制度が導入され、 西武造園 ・ 横浜八景島 ・ 西武緑化管理 の共同企業体が受託している  。2020年9月より改修工事を開始し、2021年4月に工事完了、2021年4月21日にリニューアルオープンした。","https://ja.wikipedia.org/wiki/板橋区立熱帯環境植物館","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度47分31秒東経139度39分50.8秒","〒175-0082東京都板橋区高島平八丁目29番2号","1994年9月","www.seibu-la.co.jp/nettaikan/","","北緯35度47分31秒東経139度39分50.8秒﻿ / ﻿北緯35.79194度 東経139.664111度﻿ /35.79194; 139.664111座標:北緯35度47分31秒東経139度39分50.8秒﻿ / ﻿北緯35.79194度 東経139.664111度﻿ /35.79194; 139.664111","熱帯雨林、東南アジアの植生、熱帯魚","西武造園・横浜八景島・西武緑化管理（指定管理者）","","","","","","","","","温室植物園","","",""
"新宿御苑","[新宿御苑（東京都新宿区）] 新宿御苑 （しんじゅくぎょえん）は、 東京都 新宿区 と 渋谷区 に跨がる 環境省 所管の 庭園 である。","https://ja.wikipedia.org/wiki/新宿御苑","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度41分7秒東経139度42分35秒","日本東京都新宿区、渋谷区","1906年（明治39年）5月","公式ホームページ","","","","","","","","","","58.3 ha","","","新宿植物御苑","","国民公園","環境省"
"渋谷区ふれあい植物センター (存在しないページ)","[渋谷区ふれあい植物センター（東京都渋谷区）]","https://ja.wikipedia.org/w/index.php?title=渋谷区ふれあい植物センター&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"夢の島熱帯植物館","[夢の島熱帯植物館（東京都江東区）] 夢の島熱帯植物館 （ゆめのしまねったいしょくぶつかん、 Yumenoshima Tropical Greenhouse Dome ）は、 東京都 江東区 夢の島 の 都立夢の島公園 にある 植物園 。","https://ja.wikipedia.org/wiki/夢の島熱帯植物館","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度39分4.72秒東経139度49分45.51秒","〒136-0081東京都江東区夢の島2丁目1-2","","","東京都","北緯35度39分4.72秒東経139度49分45.51秒﻿ / ﻿北緯35.6513111度 東経139.8293083度﻿ /35.6513111; 139.8293083座標:北緯35度39分4.72秒東経139度49分45.51秒﻿ / ﻿北緯35.6513111度 東経139.8293083度﻿ /35.6513111; 139.8293083","熱帯","夢の島公園管理事務所","","","","","","","","都立夢の島公園夢の島熱帯植物館","","","",""
"東京都薬用植物園","[東京都薬用植物園（東京都小平市）] 東京都薬用植物園 （とうきょうとやくようしょくぶつえん）は、東京都小平市にある東京都営の 植物園 。規模は31,398 平方メートル 。","https://ja.wikipedia.org/wiki/東京都薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度43分57.9秒東経139度26分6.6秒","〒187-0033東京都小平市中島町21−1","1939年","東京都薬用植物園","東京都","北緯35度43分57.9秒東経139度26分6.6秒﻿ / ﻿北緯35.732750度 東経139.435167度﻿ /35.732750; 139.435167座標:北緯35度43分57.9秒東経139度26分6.6秒﻿ / ﻿北緯35.732750度 東経139.435167度﻿ /35.732750; 139.435167","薬用植物","東京生薬協会","","","","","","","","","","","",""
"神代植物公園","[神代植物公園（東京都調布市）] 神代植物公園 （じんだいしょくぶつこうえん）は、都内唯一として開園した 植物 公園 。 東京都 調布市 にある園内には約4,800種類、10万本・株の植物が30ブロックに分かれて植えられ、梅や桜の名所としても知られる。 ばら 園は、 2009年 に世界バラ会連合優秀庭園賞（WFRS Award of Garden Excellence）を受賞した  。春と秋のバラフェスタ、夜のライトアップやコンサートなどのイベントが催される。","https://ja.wikipedia.org/wiki/神代植物公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度40分16秒東経139度32分46秒","東京都調布市","","神代植物公園へ行こう！","","","","","","","","","","489,731m2","","","","","都立公園・植物園","東京都公園協会2016～2026年度指定管理者"
"多摩森林科学園","[多摩森林科学園（東京都八王子市）] 多摩森林科学園 （たましんりんかがくえん）は、 東京都 八王子市 廿里町 にある 森林 ・ 林業 ・ 木材産業 に関する試験研究機関である。組織としては、 国立研究開発法人 森林研究・整備機構 の施設にあたる。施設の一部は一般に公開されているが、入園料がかかる。","https://ja.wikipedia.org/wiki/多摩森林科学園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横浜市こども植物園","[横浜市こども植物園（神奈川県横浜市南区）] コムギ の研究で知られる遺伝学者の 木原均 は、 静岡県 三島市 の 国立遺伝学研究所 所長への就任を機に、 京都府 の 物集女 にあった研究所の横浜への移転を1955年に決定。1957年5月、当地に敷地面積1万坪（33000m 2 ）の研究所を開設した  。1970年、横浜市は敷地の一部を購入し児童の理科学習や教職員の研修所として利用した。1974年に管轄が 教育委員会 から緑政局に移り、1976年に 都市緑化植物園 としての都市計画決定を受けた。 国際児童年 を記念して、 1979年 （ 昭和 54年） 6月23日 に開園した  。","https://ja.wikipedia.org/wiki/横浜市こども植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度25分59.7秒東経139度34分38.9秒","〒232-0066神奈川県横浜市南区六ツ川3-122","1979年","www.hama-midorinokyokai.or.jp/kodomo/","","北緯35度25分59.7秒東経139度34分38.9秒﻿ / ﻿北緯35.433250度 東経139.577472度﻿ /35.433250; 139.577472座標:北緯35度25分59.7秒東経139度34分38.9秒﻿ / ﻿北緯35.433250度 東経139.577472度﻿ /35.433250; 139.577472","","横浜市緑の協会（指定管理者）","","","","","","","","","木原生物学研究所","","",""
"神奈川県立フラワーセンター大船植物園","[神奈川県立フラワーセンター大船植物園（神奈川県鎌倉市）] 神奈川県立大船フラワーセンター （かながわけんりつおおふなフラワーセンター）、愛称「 日比谷花壇大船フラワーセンター 」（ひびやかだんおおふなふらわーせんたー）は、 神奈川県 鎌倉市 岡本 にある総面積63,900 平方メートル の 植物園 。 1967年 （ 昭和 42年）に 神奈川県農業試験場 の跡地に開設された。","https://ja.wikipedia.org/wiki/神奈川県立フラワーセンター大船植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度20分52.7秒 東経139度31分15.4秒","〒247-0072神奈川県鎌倉市岡本1,018","1967年","www.fcofuna-kanagawa.jp","神奈川県","","","神奈川県","","","","","","","","神奈川県立大船フラワーセンター","神奈川県農業試験場","","",""
"箱根町立箱根湿生花園","[箱根町立箱根湿生花園（神奈川県足柄下郡箱根町）] 箱根町立箱根湿生花園 （はこねちょうりつ はこねしっせいかえん）は、 神奈川県 足柄下郡 箱根町 仙石原 にある 植物園 。 売店 や喫茶のほか、展示室といった 施設 も付帯した日本で初めての湿生植物園。","https://ja.wikipedia.org/wiki/箱根町立箱根湿生花園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度15分58.23秒 東経139度00分25.48秒","〒250-0631神奈川県箱根町仙石原817","","","箱根町","","","財団法人箱根町観光協会（指定管理者）","","","","","","","","箱根湿生花園","","","",""
"新潟県立植物園","[新潟県立植物園（新潟県新潟市秋葉区）] 新潟県立植物園 （にいがたけんりつしょくぶつえん）は、 新潟県 新潟市 秋葉区 に所在する 植物園 。","https://ja.wikipedia.org/wiki/新潟県立植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯37度45分39.1秒東経139度6分47.2秒","〒956-0845新潟県新潟市秋葉区金津186","1998年12月","","新潟県","北緯37度45分39.1秒東経139度6分47.2秒﻿ / ﻿北緯37.760861度 東経139.113111度﻿ /37.760861; 139.113111座標:北緯37度45分39.1秒東経139度6分47.2秒﻿ / ﻿北緯37.760861度 東経139.113111度﻿ /37.760861; 139.113111","植物","国際総合学園・新潟県都市緑化センターグループ","","","","","","","","新潟県立植物園","","","",""
"富山県中央植物園","[富山県中央植物園（富山県富山市）] 富山県中央植物園 （とやまけんちゅうおうしょくぶつえん、 Botanic Gardens of Toyama ）は、 富山県 富山市 に所在する 植物園 。運営は 公益財団法人 花と緑の銀行が行っている。 日本植物園協会 、富山県博物館協会会員。","https://ja.wikipedia.org/wiki/富山県中央植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度39分42.9秒東経137度10分54.2秒","〒939-2713富山県富山市婦中町上轡田42番地","1993年（平成5年）10月 部分開園1996年（平成8年）4月 全面開園","","富山県","北緯36度39分42.9秒東経137度10分54.2秒﻿ / ﻿北緯36.661917度 東経137.181722度﻿ /36.661917; 137.181722座標:北緯36度39分42.9秒東経137度10分54.2秒﻿ / ﻿北緯36.661917度 東経137.181722度﻿ /36.661917; 137.181722","植物","（公財）花と緑の銀行","","","","","","","","富山県中央植物園","","","",""
"七尾フラワーパーク・のと蘭ノ国","[七尾フラワーパーク・のと蘭ノ国（石川県七尾市）] 七尾フラワーパーク・のと蘭ノ国 （ななおフラワーパーク・のとらんのくに）は、 石川県 七尾市 に所在する 植物園 である。","https://ja.wikipedia.org/wiki/七尾フラワーパーク・のと蘭ノ国","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","〒926-0822石川県七尾市細口町渡リスイ153","2000年（平成12年）4月29日","","七尾市株式会社能登郡七尾西南部地区蘭生産組合","","花き","株式会社創生ななお株式会社能登郡七尾西南部地区蘭生産組合","","","","","","","","七尾フラワーパーク・のと蘭ノ国","新設","","",""
"福井総合植物園プラントピア","[福井総合植物園プラントピア（福井県丹生郡越前町）] 越前町 （えちぜんちょう）は、 福井県 嶺北 地方の西端、 日本海 に突き出た 越前岬 のある 町 。古くから 越前焼 陶器の産地としても知られ、数多くの 窯元 が同町に所在する。","https://ja.wikipedia.org/wiki/福井総合植物園プラントピア","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度58分27.3秒東経136度7分47.2秒","〒916-0192福井県丹生郡越前町西田中第13号5番地1北緯35度58分27.3秒東経136度7分47.2秒﻿ / ﻿北緯35.974250度 東経136.129778度﻿ /35.974250; 136.129778座標:北緯35度58分27.3秒東経136度7分47.2秒﻿ / ﻿北緯35.974250度 東経136.129778度﻿ /35.974250; 136.129778","","","","","","","","","","","","153.15km2","","","","","",""
"花フェスタ記念公園","[花フェスタ記念公園（岐阜県可児市）] 花フェスタ記念公園 （はなフェスタきねんこうえん、Flower Festival Commemorative Park）は、 岐阜県 可児市 にある  公園 （ 岐阜県営都市公園 ）。","https://ja.wikipedia.org/wiki/花フェスタ記念公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度25分15.3秒東経137度5分44.55秒","〒509-0213岐阜県可児市瀬田1584-1","1996年4月26日","","岐阜県","北緯35度25分15.3秒東経137度5分44.55秒﻿ / ﻿北緯35.420917度 東経137.0957083度﻿ /35.420917; 137.0957083座標:北緯35度25分15.3秒東経137度5分44.55秒﻿ / ﻿北緯35.420917度 東経137.0957083度﻿ /35.420917; 137.0957083","バラ","花フェスタ記念公園運営管理グループ","","","","","","","","","可児公園","","",""
"伊豆シャボテン公園","[伊豆シャボテン公園（静岡県伊東市）] 伊豆シャボテンリゾート株式会社 傘下の連結子会社である 株式会社伊豆シャボテン公園 が運営している。","https://ja.wikipedia.org/wiki/伊豆シャボテン公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度54分26秒東経139度6分3秒","静岡県伊東市富戸1317-13","1959年（昭和34年）10月","www.shaboten.co.jp","","北緯34度54分26秒東経139度6分3秒﻿ / ﻿北緯34.90722度 東経139.10083度﻿ /34.90722; 139.10083座標:北緯34度54分26秒東経139度6分3秒﻿ / ﻿北緯34.90722度 東経139.10083度﻿ /34.90722; 139.10083","動植物園","","","","","","","","","伊豆シャボテン動物公園","","","",""
"浜松市フラワーパーク","[浜松市フラワーパーク（静岡県浜松市西区）] 浜松市フラワーパーク （はままつしフラワーパーク）とは、 静岡県 浜松市 西区 舘山寺町 195番地に位置する総面積30万 m 2 の 植物園 である。","https://ja.wikipedia.org/wiki/浜松市フラワーパーク","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度45分47秒東経137度38分00秒","〒431-1209静岡県浜松市西区舘山寺町195番地","1970年9月10日","","静岡県浜松市","北緯34度45分47秒東経137度38分00秒﻿ / ﻿北緯34.76306度 東経137.63333度﻿ /34.76306; 137.63333座標:北緯34度45分47秒東経137度38分00秒﻿ / ﻿北緯34.76306度 東経137.63333度﻿ /34.76306; 137.63333","植物","財団法人浜松市花みどり振興財団","","","","","","","","","","","",""
"浜松市フルーツパーク","[浜松市フルーツパーク（静岡県浜松市北区）] 浜松市フルーツパーク （はままつしフルーツパーク）は、かつて 静岡県 浜松市 北区 都田町 4263-1に位置していた 面積 約43万 m 2 の 植物園 である。通称は はままつフルーツパーク 。1996年10月1日から 財団法人 浜松市フラワー・フルーツパーク公社が管理・運営していたが、 指定管理者制度 の導入により、2013年4月1日から株式会社 時之栖 が指定管理者として管理・運営することとなった  。なお、本文は特記ない限り2012年12月の閉園前のデータである。","https://ja.wikipedia.org/wiki/浜松市フルーツパーク","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度50分24秒東経137度43分59秒","〒431-2102静岡県浜松市北区都田町4263-1","1996年10月1日","","浜松市","北緯34度50分24秒東経137度43分59秒﻿ / ﻿北緯34.84000度 東経137.73306度﻿ /34.84000; 137.73306座標:北緯34度50分24秒東経137度43分59秒﻿ / ﻿北緯34.84000度 東経137.73306度﻿ /34.84000; 137.73306","植物","株式会社時之栖(2013年4月1日より)","","","","","","","","浜松市フルーツパーク↓はままつフルーツパーク時之栖（ときのすみか）","","","",""
"あおいパーク","[碧南市農業活性化センターあおいパーク（愛知県碧南市）] あおいパーク は、 愛知県 碧南市 にある 農業 と 食 と 健康 をテーマとした体験型施設である。正式名称は「 碧南市農業活性化センター あおいパーク 」。","https://ja.wikipedia.org/wiki/あおいパーク","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度51分3.58秒 東経136度58分7.23秒","","","","","","","","","","","","","","","","","","",""
