"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","最新噴火","初登頂","最高峰","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"川苔山","[11川苔山かわのりやま1,363m東京都アズマイチゲ地理院地図Google Map川乗山] 川苔山 または 川乗山 （かわのりやま）は、 東京都 西多摩郡 奥多摩町 にある 標高 1363.3 m の 山 。","https://ja.wikipedia.org/wiki/川苔山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度51分03秒東経139度06分25秒","東京都西多摩郡奥多摩町","1,363.3m","北緯35度51分03秒東経139度06分25秒﻿ / ﻿北緯35.85083度 東経139.10694度﻿ /35.85083; 139.10694座標:北緯35度51分03秒東経139度06分25秒﻿ / ﻿北緯35.85083度 東経139.10694度﻿ /35.85083; 139.10694","奥多摩","","","","","","","","","","","","","","",""
"雲取山","[12雲取山くもとりやま2,017m東京都埼玉県山梨県フシグロセンノウ地理院地図Google Map新・花の百名山日本百名山新日本百名山各都道府県の最高峰] 雲取山 （くもとりやま・くもとりさん  ）は、 東京都 ・ 埼玉県 ・ 山梨県 の 境界 にある 標高 2,017.13m  の 山 。東京都の最高峰であり、都内の山で2000mを越えるのは、この山のみとなっている。 ","https://ja.wikipedia.org/wiki/雲取山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度51分20秒東経138度56分38秒","日本東京都西多摩郡奥多摩町埼玉県秩父市山梨県北都留郡丹波山村","2,017.13m","北緯35度51分20秒東経138度56分38秒﻿ / ﻿北緯35.85556度 東経138.94389度﻿ /35.85556; 138.94389座標:北緯35度51分20秒東経138度56分38秒﻿ / ﻿北緯35.85556度 東経138.94389度﻿ /35.85556; 138.94389","秩父山地","","","","","","","","","","","","","","",""
"地蔵岳","[13地蔵岳じぞうだけ1,673m群馬県アツモリソウ地理院地図Google Map赤城山日本百名山] 赤城山 （あかぎさん、あかぎやま、 後述 ）は、 関東地方 の北部、 群馬県 のほぼ中央に位置する 山 。 太平洋プレート が オホーツクプレート に沈み込んでできた 島弧 型火山である。また、赤城山は、カルデラ湖を伴う カルデラ を持つ、関東地方で有数の 複成火山 である。","https://ja.wikipedia.org/wiki/赤城山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度33分39秒東経139度11分37秒","日本群馬県前橋市・桐生市・渋川市・沼田市・利根郡昭和村","1,827.6m","北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936座標:北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936","独立峰","複成火山（活火山ランクC）","","","","","","","","","","","","","",""
"黒檜山","[14黒檜山くろびさん1,827m群馬県クサタチバナ地理院地図Google Map赤城山日本百名山] 赤城山 （あかぎさん、あかぎやま、 後述 ）は、 関東地方 の北部、 群馬県 のほぼ中央に位置する 山 。 太平洋プレート が オホーツクプレート に沈み込んでできた 島弧 型火山である。また、赤城山は、カルデラ湖を伴う カルデラ を持つ、関東地方で有数の 複成火山 である。","https://ja.wikipedia.org/wiki/黒檜山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度33分39秒東経139度11分37秒","日本群馬県前橋市・桐生市・渋川市・沼田市・利根郡昭和村","1,827.6m","北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936座標:北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936","独立峰","複成火山（活火山ランクC）","","","","","","","","","","","","","",""
"至仏山","[15至仏山しぶつさん2,228m群馬県栃木県新潟県福島県アズマギク地理院地図Google Map尾瀬国立公園日本百名山] 至仏山 （しぶつさん、しふつさん）は、 群馬県 の北東部、 みなかみ町 と 片品村 との境界に位置する 標高 2,228.1mの 山 である。二等 三角点 「至仏山」が設置されている。 日本百名山 の1つに数えられており、 尾瀬国立公園  に属する。標高は オーストラリア大陸 の最高峰の コジオスコ とほぼ等しい。","https://ja.wikipedia.org/wiki/至仏山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度54分12.5秒東経139度10分23.7秒","日本群馬県みなかみ町・利根郡片品村","2,228.1m","北緯36度54分12.5秒東経139度10分23.7秒﻿ / ﻿北緯36.903472度 東経139.173250度﻿ /36.903472; 139.173250座標:北緯36度54分12.5秒東経139度10分23.7秒﻿ / ﻿北緯36.903472度 東経139.173250度﻿ /36.903472; 139.173250","越後山脈","","","","","","","","","","","","","","",""
"大岳山","[16大岳山おおだけさん1,266m東京都イワウチワ地理院地図Google Map日本二百名山] 大岳山 （おおだけさん、おおたけさん）は、 東京都 西多摩郡 檜原村 、 奥多摩町 の境界、 奥多摩 山域にある 標高 1,266.5 m の 山 。標高はさして高くないが、個性的な山容を備えた奥多摩の名峰である。 日本二百名山 及び 花の百名山 の一つに数えられる。多様な登山コースがあり、初心者から経験者まで幅広く楽しめる山である。","https://ja.wikipedia.org/wiki/大岳山_(東京都)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度45分54秒東経139度07分49秒","東京都西多摩郡檜原村・奥多摩町","1,266.4m","北緯35度45分54秒東経139度07分49秒﻿ / ﻿北緯35.76500度 東経139.13028度﻿ /35.76500; 139.13028座標:北緯35度45分54秒東経139度07分49秒﻿ / ﻿北緯35.76500度 東経139.13028度﻿ /35.76500; 139.13028","奥多摩","","","","","","","","","","","","","","",""
"高水山","[17高水山たかみずさん759m東京都ツルリンドウ地理院地図Google Map高水三山] 高水山 （たかみずさん）は 東京都 青梅市 にある標高759mの 山 である。 岩茸石山 （標高793m）、 惣岳山 （標高756m）と共に 高水三山 とよばれ、東京近郊のハイキングコースあるいは手頃な登山コースとして人気がある。","https://ja.wikipedia.org/wiki/高水山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度49分31.8秒東経139度11分32秒","日本東京都青梅市","759m","北緯35度49分31.8秒東経139度11分32秒﻿ / ﻿北緯35.825500度 東経139.19222度﻿ /35.825500; 139.19222座標:北緯35度49分31.8秒東経139度11分32秒﻿ / ﻿北緯35.825500度 東経139.19222度﻿ /35.825500; 139.19222","奥多摩","山塊","","","","","","","","","","","","","",""
"鶏頂山","[18鶏頂山けいちょうざん1,756m栃木県ショウジョウバカマ地理院地図Google Map那須火山帯高原山日本三百名山] 鶏頂山 （けいちょうざん）は 栃木県 日光市 にある 標高 1,765mの 火山 。山体は 日光国立公園 に属す。 日本三百名山 のひとつ（それは高原山系のことであり鶏頂山はそのピークのひとつに過ぎない）","https://ja.wikipedia.org/wiki/鶏頂山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度54分3秒東経139度45分46秒","栃木県日光市","1,765m","北緯36度54分3秒東経139度45分46秒﻿ / ﻿北緯36.90083度 東経139.76278度﻿ /36.90083; 139.76278","日光連山、那須火山帯","成層火山","","","","","","","","","","","","","",""
"大菩薩峠","[19大菩薩峠だいぼさつとうげ1,897m山梨県ギンバイソウ地理院地図Google Map大菩薩嶺新・花の百名山日本百名山] 大菩薩峠 （だいぼさつとうげ）は、 山梨県 甲州市 塩山上萩原と 北都留郡 小菅村 鞍部の境にある 峠 。 標高 1,897 m  。 大菩薩嶺 （標高2,057m）の南方約2kmに位置する尾根の鞍部である   。","https://ja.wikipedia.org/wiki/大菩薩峠","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度44分9秒東経138度51分12秒","山梨県甲州市・北都留郡小菅村","1,897m","","大菩薩連嶺・奥秩父山塊","","","","","","","","","","","","","","",""
"御岳山","[20御岳山みたけさん929m東京都オケラ地理院地図Google Map青梅市ケーブルカー新・花の百名山] 御岳山 （みたけさん）は、 東京都 青梅市 にある 標高 929mの 山 である。 武蔵御岳山 とも呼ばれる。古くから 山岳信仰 の対象となっており、山上には 武蔵御嶽神社 が建立されている。","https://ja.wikipedia.org/wiki/御岳山_(東京都)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度46分58.3秒東経139度8分58.2秒","日本東京都青梅市","929m","北緯35度46分58.3秒東経139度8分58.2秒﻿ / ﻿北緯35.782861度 東経139.149500度﻿ /35.782861; 139.149500座標:北緯35度46分58.3秒東経139度8分58.2秒﻿ / ﻿北緯35.782861度 東経139.149500度﻿ /35.782861; 139.149500","奥多摩","","","","","","","","","","","","","","",""
"生藤山","[21[[Image:画像募集中|128px] 生藤山 （しょうとうさん）は、 東京都 西多摩郡 檜原村 と 神奈川県 相模原市 緑区 との境界にある 標高 990.3mの 山 。 奥多摩 山域の 南 端。神奈川県の最 北 端。神奈川県立陣馬相模湖自然公園。藤野町十五名山。頂上に登る道も巻き道も両方ある。","https://ja.wikipedia.org/wiki/生藤山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度40分21秒東経139度07分56秒","日本東京都西多摩郡檜原村神奈川県相模原市緑区","990.3m","北緯35度40分21秒東経139度07分56秒﻿ / ﻿北緯35.67250度 東経139.13222度﻿ /35.67250; 139.13222座標:北緯35度40分21秒東経139度07分56秒﻿ / ﻿北緯35.67250度 東経139.13222度﻿ /35.67250; 139.13222","奥多摩","","","","","","","","","","","","","","",""
"石割山","[22石割山いしわれやま1,143m山梨県オオバギボウシ地理院地図Google Map山中湖の東北端] 石割山 （いしわりやま）は、 山梨県 南都留郡 山中湖村 ・同 忍野村 、 都留市 の境界にある 標高 1412 m の 山 である。 道志山塊 の山であり、北は 御正体山 、西は二十曲峠を経て 杓子山 へと連なる。山頂東側八合目の石割神社には割れ目のはいった大岩があり、山名の由来となっている  。山頂からは 富士山 を正面にして左下に 山中湖 、右に遠く 南アルプス までの展望が広がる。 山梨百名山 に選定されている。","https://ja.wikipedia.org/wiki/石割山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度27分01.7秒東経138度54分04.4秒","日本山梨県・山中湖村・忍野村・都留市","1,413m","北緯35度27分01.7秒東経138度54分04.4秒﻿ / ﻿北緯35.450472度 東経138.901222度﻿ /35.450472; 138.901222座標:北緯35度27分01.7秒東経138度54分04.4秒﻿ / ﻿北緯35.450472度 東経138.901222度﻿ /35.450472; 138.901222","道志山塊","","","","","","","","","","","","","","",""
"尾瀬沼","[23尾瀬沼おぜぬま1,410m福島県新潟県栃木県群馬県ギョウジャニンニク地理院地図Google Map尾瀬国立公園] 尾瀬沼 （おぜぬま）は、 群馬県 利根郡 片品村 と 福島県 南会津郡 檜枝岐村 にまたがって位置する 沼 。 尾瀬 地域にある。面積は1.81km 2  。 上毛かるた では「せ」の札において、「仙境尾瀬沼　花の原」と読まれる。 只見川 の一方の最上流に位置するため、標高は1660 mと高く、日本では、これより高く尾瀬沼より大きい湖沼・池は無い。","https://ja.wikipedia.org/wiki/尾瀬沼","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度55分33.3秒 東経139度18分16.2秒","","","","","","","","","","","","","","","","","","",""
"八幡平","[24八幡平はちまんたい1,613m秋田県岩手県イソツツジ地理院地図Google Map新・花の百名山日本百名山] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯39度57分28秒東経140度51分15秒","日本岩手県八幡平市秋田県仙北市・鹿角市","1,613.50m","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","奥羽山脈","成層火山","","","","","","","","","","","","","",""
"大滝根山","[25大滝根山おおたきねやま1,192m福島県シロヤシオ地理院地図Google Map新・花の百名山日本三百名山] 大滝根山 （おおたきねやま）は、 福島県 田村市 と 双葉郡 川内村 との境界にそびえる山である。 標高 1,192.1mで 阿武隈高地 の最高峰である。","https://ja.wikipedia.org/wiki/大滝根山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯37度21分18秒東経140度42分06秒","日本福島県田村市・双葉郡川内村","1,192.1m","北緯37度21分18秒東経140度42分06秒﻿ / ﻿北緯37.35500度 東経140.70167度﻿ /37.35500; 140.70167座標:北緯37度21分18秒東経140度42分06秒﻿ / ﻿北緯37.35500度 東経140.70167度﻿ /37.35500; 140.70167","阿武隈高地","","","","","","","","","","","","","","",""
"鎌倉岳","[26鎌倉岳かまくらだけ967m福島県コバノトネリコ地理院地図Google Map尾瀬国立公園] 鎌倉岳 （かまくらだけ）は、 阿武隈高地 中部、 福島県 田村市 常葉（ときわ）地区に位置する標高967mの山である  。 東北百名山 ならびに うつくしま百名山 の一つに選ばれている。","https://ja.wikipedia.org/wiki/鎌倉岳_(田村市)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯37度28分01秒東経140度41分20秒","日本福島県田村市","966.6m","北緯37度28分01秒東経140度41分20秒﻿ / ﻿北緯37.46694度 東経140.68889度﻿ /37.46694; 140.68889座標:北緯37度28分01秒東経140度41分20秒﻿ / ﻿北緯37.46694度 東経140.68889度﻿ /37.46694; 140.68889","阿武隈高地","","","","","","","","","","","","","","",""
"早池峰山","[27早池峰山はやちねさん1,917m岩手県チシマコザクラ地理院地図Google Mapハヤチネウスユキソウ新・花の百名山日本百名山] 早池峰山 （はやちねさん）は、 岩手県 にある 標高 1917mの 山 。 北上山地 の最高峰で 日本百名山  、 新日本百名山  、 花の百名山  、 新・花の百名山  及び 一等三角点百名山  に選定されている。 六角牛山 、 石上山 と共に「遠野三山」と呼ばれる  。山頂は 宮古市 、 遠野市 、 花巻市 の3つの市の境界となっている。","https://ja.wikipedia.org/wiki/早池峰山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯39度33分31秒東経141度29分19秒","日本岩手県宮古市・遠野市・花巻市","1917m","北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861座標:北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861","北上山地","","","","","","","","","","","","","","",""
"田代山","[28田代山たしろやま1,971m福島県キンコウカ地理院地図Google Map帝釈山脈尾瀬国立公園] 田代山 （たしろやま）は、 帝釈山脈 にある 標高 1,971mの 山 である。山頂は 福島県 南会津郡 南会津町 に位置するが、山体は南会津町と 栃木県 日光市 にまたがる。 尾瀬国立公園 の一部をなす。","https://ja.wikipedia.org/wiki/田代山_(帝釈山脈)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度58分27.8秒東経139度28分42.6秒","日本福島県南会津郡南会津町","1,971m","北緯36度58分27.8秒東経139度28分42.6秒﻿ / ﻿北緯36.974389度 東経139.478500度﻿ /36.974389; 139.478500座標:北緯36度58分27.8秒東経139度28分42.6秒﻿ / ﻿北緯36.974389度 東経139.478500度﻿ /36.974389; 139.478500","帝釈山脈","","","","","","","","","","","","","","",""
"鳥海山","[29鳥海山ちょうかいさん2,236m秋田県山形県チョウカイフスマ地理院地図Google Map新・花の百名山日本百名山新日本百名山各都道府県の最高峰] 鳥海山 （ちょうかいさん、ちょうかいざん  ）は、 山形県 と 秋田県 に跨がる 標高 2,236mの 活火山 。山頂に雪が積もった姿が富士山に類似しているため、 出羽富士 （でわふじ）とも呼ばれ親しまれている。秋田県では 秋田富士 （あきたふじ）、山形県では 庄内富士 （しょうないふじ）とも呼ばれている。古くからの名では鳥見山（とりみやま）という。 鳥海国定公園 に属する。 日本百名山  ・ 日本百景 の一つ。2007年（平成19年）に 日本の地質百選 に選定された。2009年（平成21年）に 国史跡 「鳥海山」として指定された。","https://ja.wikipedia.org/wiki/鳥海山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯39度05分57秒東経140度02分56秒","日本山形県飽海郡遊佐町・酒田市・秋田県由利本荘市・にかほ市","2,236m","北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889座標:北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889","出羽山地","成層火山","","","","","","","","","","","","","",""
"月山","[30月山がっさん1,984m山形県ウズラバハクサンチドリ地理院地図Google Map新・花の百名山日本百名山新日本百名山] 月山 （がっさん）は、 山形県 の中央部にあり、 出羽丘陵 の南部に位置する 標高 1,984mの 火山 。山域は 磐梯朝日国立公園 の特別区域に指定され、 日本百名山  、 新日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている。また、山麓は 月山山麓湧水群 として 名水百選  、 月山行人清水の森 として 水源の森百選 にも選定されている。","https://ja.wikipedia.org/wiki/月山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯38度32分56秒東経140度01分37秒","日本山形県鶴岡市・東田川郡庄内町・最上郡大蔵村・西村山郡西川町","1,984m","北緯38度32分56秒東経140度01分37秒﻿ / ﻿北緯38.54889度 東経140.02694度﻿ /38.54889; 140.02694﻿ (月山)座標:北緯38度32分56秒東経140度01分37秒﻿ / ﻿北緯38.54889度 東経140.02694度﻿ /38.54889; 140.02694﻿ (月山)","出羽山地","成層火山","","","","","","","","","","","","","",""
"羽黒山","[31羽黒山はぐろさん414m山形県ミヤマヨメナ地理院地図Google Map出羽三山] 羽黒山 （はぐろさん）は、 山形県 鶴岡市 にある 標高 414mの 山 。 出羽三山 の主峰である 月山 の北西山麓に位置する 丘陵 で、 独立峰 ではない。 修験道 を中心とした 山岳信仰 の山として知られる。","https://ja.wikipedia.org/wiki/羽黒山_(山形県)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯38度42分9.28秒東経139度58分54.75秒","日本山形県鶴岡市","414m","北緯38度42分9.28秒東経139度58分54.75秒﻿ / ﻿北緯38.7025778度 東経139.9818750度﻿ /38.7025778; 139.9818750座標:北緯38度42分9.28秒東経139度58分54.75秒﻿ / ﻿北緯38.7025778度 東経139.9818750度﻿ /38.7025778; 139.9818750","出羽山地","","","","","","","","","","","","","","",""
"栗駒山","[32栗駒山くりこまやま1,627m宮城県秋田県岩手県ヒナザクラ地理院地図Google Map新・花の百名山日本二百名山新日本百名山] 栗駒山 （くりこまやま）は、山体が 宮城県 、 秋田県 、 岩手県 の三県にまたがる 山 である。 標高 は1,626m  。山頂部は 宮城県 と 岩手県 の境界になっている。 奥羽山脈 に属し、 焼石岳 や 神室山 とともに 栗駒国定公園 や栗駒山・栃ヶ森周辺森林生態系保護地域として指定されている。 二百名山 の一つ。","https://ja.wikipedia.org/wiki/栗駒山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯38度57分39秒東経140度47分18秒","日本岩手県一関市宮城県栗原市秋田県湯沢市・雄勝郡東成瀬村","1,626m","北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833座標:北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833","奥羽山脈","成層火山(活火山ランクB)","1944年11月20日（昭和湖）","","","","","","","","","","","","",""
