"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"梅林駅 (広島県)","梅林駅 (広島県)（ばいりんえき・西日本旅客鉄道可部線）","https://ja.wikipedia.org/wiki/梅林駅_(広島県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度28分52.81秒東経132度29分41.48秒","B可部線","9.6km（横川起点）広島から12.6 km","西日本旅客鉄道（JR西日本）","地上駅","1910年（明治43年）12月25日","1面2線","広島市安佐南区八木三丁目2-37北緯34度28分52.81秒東経132度29分41.48秒﻿ / ﻿北緯34.4813361度 東経132.4948556度﻿ /34.4813361; 132.4948556座標:北緯34度28分52.81秒東経132度29分41.48秒﻿ / ﻿北緯34.4813361度 東経132.4948556度﻿ /34.4813361; 132.4948556","無人駅広島市内駅","JR-B11","ハリ","1,327人/日（降車客含まず）-2019年-","","","","","","","",""
"ハウステンボス駅","ハウステンボス駅","https://ja.wikipedia.org/wiki/ハウステンボス駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度5分30.02秒東経129度47分47.77秒","大村線","4.7 km（早岐起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1992年（平成4年）3月10日[1]","1面2線","長崎県佐世保市南風崎町417-2北緯33度5分30.02秒東経129度47分47.77秒","業務委託駅みどりの窓口有","","ハテ","1,382人/日（降車客含まず）-2019年-","","","","","","","",""
"南風崎駅","南風崎駅（はえのさきえき）","https://ja.wikipedia.org/wiki/南風崎駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度5分13.39秒東経129度48分4.44秒","大村線","5.6 km（早岐起点）","九州旅客鉄道（JR九州）","地上駅","1898年（明治31年）1月20日","2面2線","長崎県佐世保市南風崎町北緯33度5分13.39秒東経129度48分4.44秒﻿ / ﻿北緯33.0870528度 東経129.8012333度﻿ /33.0870528; 129.8012333﻿ (南風崎駅)","無人駅","","ハエ","12人/日（降車客含まず）-2016年-","28人/日-2016年-","","","","","","",""
"博多駅","博多駅（はかたえき）","https://ja.wikipedia.org/wiki/博多駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","九州旅客鉄道（JR九州・駅詳細）西日本旅客鉄道（JR西日本・駅詳細）福岡市交通局（福岡市地下鉄・駅詳細）","","","","福岡県福岡市博多区博多駅中央街","","","","","","","","","","","",""
"博多南駅","博多南駅（はかたみなみえき）","https://ja.wikipedia.org/wiki/博多南駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度31分6.3秒東経130度26分11.2秒","■博多南線","8.5 km（博多起点）","西日本旅客鉄道（JR西日本）","高架駅（盛土上）","1990年（平成2年）4月1日[1]","1面1線","福岡県春日市上白水八丁目166北緯33度31分6.3秒東経130度26分11.2秒﻿ / ﻿北緯33.518417度 東経130.436444度﻿ /33.518417; 130.436444座標:北緯33度31分6.3秒東経130度26分11.2秒﻿ / ﻿北緯33.518417度 東経130.436444度﻿ /33.518417; 130.436444","直営駅みどりの窓口有","","ハミ","","15,289人/日-2017年-","","","","","","",""
"計石駅","計石駅（はかりいしえき）","https://ja.wikipedia.org/wiki/計石駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度59分51.22秒東経136度26分3.75秒","■越美北線（九頭竜線）","越前花堂駅（起点）から24.4km福井駅から27.0 km","西日本旅客鉄道（JR西日本）","地上駅","1960年（昭和35年）12月15日","1面1線","福井県福井市計石町25字落合4-2北緯35度59分51.22秒東経136度26分3.75秒﻿ / ﻿北緯35.9975611度 東経136.4343750度﻿ /35.9975611; 136.4343750座標:北緯35度59分51.22秒東経136度26分3.75秒﻿ / ﻿北緯35.9975611度 東経136.4343750度﻿ /35.9975611; 136.4343750","無人駅","","ハイ","6人/日（降車客含まず）-2017年-","","","","","","","",""
"波川駅","波川駅（はかわえき）","https://ja.wikipedia.org/wiki/波川駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度32分37.39秒東経133度24分50.46秒","■土讃線","139.5 km（多度津起点）","四国旅客鉄道（JR四国）","地上駅","1964年（昭和39年）10月1日","1面1線","高知県吾川郡いの町波川北緯33度32分37.39秒東経133度24分50.46秒","無人駅","○K08","ハカ","","314[1]人/日-2019年-","","","","","","",""
"葉木駅","葉木駅（はきえき）","https://ja.wikipedia.org/wiki/葉木駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯32度24分37.3秒東経130度38分43.37秒","肥薩線","14.4 km（八代起点）","九州旅客鉄道（JR九州）","地上駅","1942年（昭和17年）12月21日*[1]","1面1線","熊本県八代市坂本町葉木1684北緯32度24分37.3秒東経130度38分43.37秒﻿ / ﻿北緯32.410361度 東経130.6453806度﻿ /32.410361; 130.6453806﻿ (葉木駅)","無人駅","","ハキ","21人/日（降車客含まず）-2015年-","","","","","","","",""
"萩駅","萩駅（はぎえき）","https://ja.wikipedia.org/wiki/萩駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度23分37.98秒東経131度24分3.93秒","■山陰本線","575.8 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1925年（大正14年）4月3日","2面2線","山口県萩市大字椿字濁渕3611北緯34度23分37.98秒東経131度24分3.93秒﻿ / ﻿北緯34.3938833度 東経131.4010917度﻿ /34.3938833; 131.4010917座標:北緯34度23分37.98秒東経131度24分3.93秒﻿ / ﻿北緯34.3938833度 東経131.4010917度﻿ /34.3938833; 131.4010917","無人駅","","ハキ","50人/日（降車客含まず）-2019年-","","","","","","","",""
"萩浦小学校前駅","萩浦小学校前駅（はぎうらしょうがっこうまええき）","https://ja.wikipedia.org/wiki/萩浦小学校前駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度44分53秒東経137度13分41.8秒","■富山港線","6.2 km（富山駅起点）","富山地方鉄道","地上駅","2006年4月29日","2面2線","富山県富山市西宮町北緯36度44分53秒東経137度13分41.8秒﻿ / ﻿北緯36.74806度 東経137.228278度﻿ /36.74806; 137.228278﻿ (萩浦小学校前駅*)座標:北緯36度44分53秒東経137度13分41.8秒﻿ / ﻿北緯36.74806度 東経137.228278度﻿ /36.74806; 137.228278﻿ (萩浦小学校前駅*)","旧駅は1939年2月8日開業、2006年3月1日廃止","C36","ロタ（転換前）","","159[1]人/日-2019年-","","","","","","",""
"萩野駅","萩野駅（はぎのえき）","https://ja.wikipedia.org/wiki/萩野駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯42度31分16.17秒東経141度18分21.70秒","■室蘭本線","107.8 km（長万部起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）","地上駅","1907年（明治40年）12月25日","2面3線","北海道白老郡白老町字萩野北緯42度31分16.17秒東経141度18分21.70秒﻿ / ﻿北緯42.5211583度 東経141.3060278度﻿ /42.5211583; 141.3060278﻿ (萩野駅)","無人駅","○H24","ハノ","","198人/日-2013年-","","","","","","",""
"萩の台駅","萩の台駅（はぎのだいえき）","https://ja.wikipedia.org/wiki/萩の台駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度39分23.94秒東経135度42分32.38秒","G生駒線","7.9 km（王寺起点）","近畿日本鉄道（近鉄）","地上駅（橋上駅）","1980年（昭和55年）4月23日","1面2線","奈良県生駒市萩の台一丁目3-1北緯34度39分23.94秒東経135度42分32.38秒﻿ / ﻿北緯34.6566500度 東経135.7089944度﻿ /34.6566500; 135.7089944座標:北緯34度39分23.94秒東経135度42分32.38秒﻿ / ﻿北緯34.6566500度 東経135.7089944度﻿ /34.6566500; 135.7089944",""," G21 ","ハキノ","1,397人/日（降車客含まず）-2018年-","","","","","","","",""
"萩ノ茶屋駅","萩ノ茶屋駅（はぎのちゃやえき）","https://ja.wikipedia.org/wiki/萩ノ茶屋駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度38分44.7秒東経135度29分56.8秒","■高野線*（線路名称上は南海本線）","なんばから2.0 km","南海電気鉄道","高架駅","1907年（明治40年）12月20日*（事業中）","1面2線","大阪市西成区萩之茶屋三丁目5番38号北緯34度38分44.7秒東経135度29分56.8秒﻿ / ﻿北緯34.645750度 東経135.499111度﻿ /34.645750; 135.499111座標:北緯34度38分44.7秒東経135度29分56.8秒﻿ / ﻿北緯34.645750度 東経135.499111度﻿ /34.645750; 135.499111","南海本線の列車は全て通過*高野線の起点は汐見橋","NK 04","","","","","1,553人/日-2019年-","","","","",""
"萩原天神駅","萩原天神駅（はぎはらてんじんえき）","https://ja.wikipedia.org/wiki/萩原天神駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度32分15.28秒東経135度32分4.18秒","■高野線","17.5 km（汐見橋起点）難波から16.8 km","南海電気鉄道","地上駅","1912年（大正元年）10月10日","2面2線","堺市東区日置荘原寺町94番地3北緯34度32分15.28秒東経135度32分4.18秒﻿ / ﻿北緯34.5375778度 東経135.5344944度﻿ /34.5375778; 135.5344944座標:北緯34度32分15.28秒東経135度32分4.18秒﻿ / ﻿北緯34.5375778度 東経135.5344944度﻿ /34.5375778; 135.5344944","無人駅","NK 62","","","","","7,550人/日-2019年-","","","","",""
"萩山駅","萩山駅（はぎやまえき）","https://ja.wikipedia.org/wiki/萩山駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度44分25.5秒東経139度28分38.8秒","■多摩湖線","4.6 km（国分寺起点）","西武鉄道","地上駅（橋上駅）","1928年（昭和3年）4月6日","2面3線","東京都東村山市萩山町二丁目1-1北緯35度44分25.5秒東経139度28分38.8秒﻿ / ﻿北緯35.740417度 東経139.477444度﻿ /35.740417; 139.477444座標:北緯35度44分25.5秒東経139度28分38.8秒﻿ / ﻿北緯35.740417度 東経139.477444度﻿ /35.740417; 139.477444","","ST04","","","10,118人/日-2019年-","","","","","","",""
"萩生駅","萩生駅（はぎゅうえき）","https://ja.wikipedia.org/wiki/萩生駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯38度3分43.86秒東経140度0分15.79秒","■米坂線","27.3 km（米沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1931年（昭和6年）8月10日","1面1線","山形県西置賜郡飯豊町大字萩生北緯38度3分43.86秒東経140度0分15.79秒座標:北緯38度3分43.86秒 東経140度0分15.79秒","無人駅","","ハウ","81人/日（降車客含まず）-2004年-","","","","","","","",""
"萩原駅 (愛知県)","萩原駅 (愛知県)（はぎわらえき・名鉄尾西線）","https://ja.wikipedia.org/wiki/萩原駅_(愛知県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度16分37秒東経136度45分27秒","尾西線","20.2 km（弥富起点）","名古屋鉄道","地上駅","1899年（明治32年）7月18日","2面2線","愛知県一宮市萩原町串作字荒神田面1414北緯35度16分37秒東経136度45分27秒﻿ / ﻿北緯35.27694度 東経136.75750度﻿ /35.27694; 136.75750座標:北緯35度16分37秒東経136度45分27秒﻿ / ﻿北緯35.27694度 東経136.75750度﻿ /35.27694; 136.75750","無人駅（駅集中管理システム導入駅）","BS  09 ","","","2,585人/日-2019年[1]-","","","","","","",""
"萩原駅 (福岡県)","萩原駅 (福岡県)（はぎわらえき・筑豊電気鉄道）","https://ja.wikipedia.org/wiki/萩原駅_(福岡県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度51分42.07秒東経130度44分58.5秒","筑豊電気鉄道線","1.7 km（黒崎駅前起点）","筑豊電気鉄道","地上駅","1963年（昭和38年）8月25日","2面2線","北九州市八幡西区萩原一丁目10-5北緯33度51分42.07秒東経130度44分58.5秒","無人駅","CK 04","","","952人/日-2019年-","","","","","","",""
"羽咋駅","羽咋駅（はくいえき）","https://ja.wikipedia.org/wiki/羽咋駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度53分47.89秒東経136度46分59.93秒","■七尾線","29.7 km（津幡起点）金沢から41.2 km","西日本旅客鉄道（JR西日本）*","地上駅","1898年（明治31年）4月24日[1]","2面3線[1]","石川県羽咋市川原町18北緯36度53分47.89秒東経136度46分59.93秒﻿ / ﻿北緯36.8966361度 東経136.7833139度﻿ /36.8966361; 136.7833139座標:北緯36度53分47.89秒東経136度46分59.93秒﻿ / ﻿北緯36.8966361度 東経136.7833139度﻿ /36.8966361; 136.7833139","直営駅みどりの券売機プラス設置駅[2][3]","","ハク","1,274人/日（降車客含まず）-2019年-","","","","","","","",""
"白山駅 (東京都)","白山駅 (東京都)（はくさんえき・都営地下鉄三田線）","https://ja.wikipedia.org/wiki/白山駅_(東京都)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度43分16.8秒東経139度45分7.5秒","●[1]三田線","12.7 km（目黒起点）","東京都交通局（都営地下鉄）","地下駅","1972年（昭和47年）6月30日","2面2線","東京都文京区白山五丁目36-10北緯35度43分16.8秒東経139度45分7.5秒﻿ / ﻿北緯35.721333度 東経139.752083度﻿ /35.721333; 139.752083座標:北緯35度43分16.8秒東経139度45分7.5秒﻿ / ﻿北緯35.721333度 東経139.752083度﻿ /35.721333; 139.752083","","I13[1]","白（駅名略称）","","51,183人/日-2019年-","","","","","","",""
"白山駅 (新潟県)","白山駅 (新潟県)（はくさんえき・東日本旅客鉄道越後線）","https://ja.wikipedia.org/wiki/白山駅_(新潟県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯37度54分44.00秒東経139度1分49.36秒","■越後線","80.7 km（柏崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1912年（大正元年）8月25日[1]","2面3線*","新潟市中央区白山浦[1]二丁目647北緯37度54分44.00秒東経139度1分49.36秒座標:北緯37度54分44.00秒 東経139度1分49.36秒","業務委託駅みどりの窓口有[1]","","ハク","5,360人/日（降車客含まず）-2019年-","","","","","","","",""
"白山長滝駅","白山長滝駅（はくさんながたきえき）","https://ja.wikipedia.org/wiki/白山長滝駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度55分10.78秒東経136度49分56.86秒","越美南線","70.9 km（美濃太田起点）","長良川鉄道","地上駅","1988年8月6日[1]","1面1線","岐阜県郡上市白鳥町長滝北緯35度55分10.78秒東経136度49分56.86秒﻿ / ﻿北緯35.9196611度 東経136.8324611度﻿ /35.9196611; 136.8324611座標:北緯35度55分10.78秒東経136度49分56.86秒﻿ / ﻿北緯35.9196611度 東経136.8324611度﻿ /35.9196611; 136.8324611","無人駅","36","ハク","3人/日（降車客含まず）-2015年-","","","","","","","",""
"白島駅","白島駅（はくしまえき・広島高速交通広島新交通1号線）","https://ja.wikipedia.org/wiki/白島駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度24分40.24秒東経132度27分46.13秒","広島新交通1号線","2.1 km（本通起点）","広島高速交通","高架駅","1994年（平成6年）8月20日[1]","1面2線","広島市中区白島北町18-20北緯34度24分40.24秒東経132度27分46.13秒﻿ / ﻿北緯34.4111778度 東経132.4628139度﻿ /34.4111778; 132.4628139﻿ (白島駅)座標:北緯34度24分40.24秒東経132度27分46.13秒﻿ / ﻿北緯34.4111778度 東経132.4628139度﻿ /34.4111778; 132.4628139﻿ (白島駅)","業務委託駅","","","1,460人/日（降車客含まず）-2018年-","2,948人/日-2018年-","","","","","","",""
"白島停留場","白島停留場（はくしまていりゅうじょう・広島電鉄白島線）","https://ja.wikipedia.org/wiki/白島停留場","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度24分15.2秒東経132度27分55.88秒","■白島線","1.2 km（八丁堀起点）","広島電鉄","地上駅","1912年（大正元年）11月23日","1面1線","広島市中区東白島町北緯34度24分15.2秒東経132度27分55.88秒﻿ / ﻿北緯34.404222度 東経132.4655222度﻿ /34.404222; 132.4655222﻿ (白島停留場)座標:北緯34度24分15.2秒東経132度27分55.88秒﻿ / ﻿北緯34.404222度 東経132.4655222度﻿ /34.404222; 132.4655222﻿ (白島停留場)","","●W5","","","1,707[1]人/日-2019年-","","","","","","",""
"柏農高校前駅","柏農高校前駅（はくのうこうこうまええき）","https://ja.wikipedia.org/wiki/柏農高校前駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯40度36分6.74秒東経140度33分52.28秒","弘南線","9.5 km（弘前起点）","弘南鉄道","地上駅","1980年（昭和55年）6月23日","1面1線","青森県平川市荒田南岡部18-3北緯40度36分6.74秒東経140度33分52.28秒﻿ / ﻿北緯40.6018722度 東経140.5645222度﻿ /40.6018722; 140.5645222座標:北緯40度36分6.74秒東経140度33分52.28秒﻿ / ﻿北緯40.6018722度 東経140.5645222度﻿ /40.6018722; 140.5645222","無人駅","","","","215人/日-2017年-","","","","","","",""
"白馬駅","白馬駅（はくばえき）","https://ja.wikipedia.org/wiki/白馬駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","■大糸線","59.7 km（松本起点）","東日本旅客鉄道（JR東日本）","地上駅","1932年（昭和7年）11月20日[2]","2面3線[1]","","直営駅（管理駅）話せる指定席券売機設置駅[3]","□13[報道 1]","ハク[1]","277人/日（降車客含まず）-2019年-","","","","","","","",""
"白馬大池駅","白馬大池駅（はくばおおいけえき）","https://ja.wikipedia.org/wiki/白馬大池駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","■大糸線","65.4 km（松本起点）","東日本旅客鉄道（JR東日本）","地上駅","1948年（昭和23年）9月25日[2]","1面1線[1]","","無人駅[1]1947年に仮乗降場として開設[1]。標高：593.9m[1]","□11[報道 1]","ハオ[1]","9人/日（降車客含まず）-2011年-","","","","","","","",""
"柏矢町駅","柏矢町駅（はくやちょうえき）","https://ja.wikipedia.org/wiki/柏矢町駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度19分23.35秒東経137度53分17.75秒","■大糸線","14.2 km（松本起点）","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）6月1日[3]","1面1線[1]","長野県安曇野市穂高柏原[1]北緯36度19分23.35秒東経137度53分17.75秒﻿ / ﻿北緯36.3231528度 東経137.8882639度﻿ /36.3231528; 137.8882639座標:北緯36度19分23.35秒東経137度53分17.75秒﻿ / ﻿北緯36.3231528度 東経137.8882639度﻿ /36.3231528; 137.8882639","簡易委託駅[1]標高：545.2m[1]","□33[2]","ハテ[1]","519人/日（降車客含まず）-2019年-","","","","","","","",""
"柏陽駅","柏陽駅（はくようえき）","https://ja.wikipedia.org/wiki/柏陽駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯43度49分30.03秒東経143度55分1.19秒","■石北本線","183.7 km（新旭川起点）","北海道旅客鉄道（JR北海道）","高架駅","1957年（昭和32年）12月1日","1面1線","北海道北見市並木町北緯43度49分30.03秒東経143度55分1.19秒座標:北緯43度49分30.03秒 東経143度55分1.19秒","無人駅","○A61","ハヨ","","430人/日-2014年-","","","","","","",""
"白楽駅","白楽駅（はくらくえき）","https://ja.wikipedia.org/wiki/白楽駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度29分22.9秒東経139度37分40.4秒","■東横線","21.4 km（渋谷起点）","東急電鉄","地上駅","1926年（大正15年）2月14日","2面2線","横浜市神奈川区白楽100北緯35度29分22.9秒東経139度37分40.4秒﻿ / ﻿北緯35.489694度 東経139.627889度﻿ /35.489694; 139.627889﻿ (白楽駅)座標:北緯35度29分22.9秒東経139度37分40.4秒﻿ / ﻿北緯35.489694度 東経139.627889度﻿ /35.489694; 139.627889﻿ (白楽駅)","東急電鉄直営駅","TY18","","","44,323人/日-2019年-","","","","","","",""
