"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","正式名称","愛称","専門分野"
"舞松原駅","舞松原駅（まいまつばらえき）","https://ja.wikipedia.org/wiki/舞松原駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度38分42.68秒東経130度27分18.38秒","JD香椎線","14.8 km（西戸崎起点）","九州旅客鉄道（JR九州）","福岡市東区舞松原五丁目26-13北緯33度38分42.68秒東経130度27分18.38秒﻿ / ﻿北緯33.6451889度 東経130.4551056度﻿ /33.6451889; 130.4551056座標:北緯33度38分42.68秒東経130度27分18.38秒﻿ / ﻿北緯33.6451889度 東経130.4551056度﻿ /33.6451889; 130.4551056","地上駅（橋上駅、掘割構造）","1994年（平成6年）3月1日","1面1線","無人駅駅集中管理システム（Smart Support Station）採用福岡市内駅","ママ","JD  08 ","1,018人/日（降車客含まず）-2019年-","","","","","","","",""
"前川駅 (千葉県)","前川駅 (千葉県)（まえかわえき・京葉臨海鉄道臨海本線）","https://ja.wikipedia.org/wiki/前川駅_(千葉県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度29分52.7秒東経140度2分48.6秒","■臨海本線","14.5 km（蘇我起点）","京葉臨海鉄道","千葉県市原市千種海岸北緯35度29分52.7秒東経140度2分48.6秒﻿ / ﻿北緯35.497972度 東経140.046833度﻿ /35.497972; 140.046833座標:北緯35度29分52.7秒東経140度2分48.6秒﻿ / ﻿北緯35.497972度 東経140.046833度﻿ /35.497972; 140.046833","地上駅","1965年（昭和40年）6月1日","","貨物駅","","","","","","","","","","",""
"前川駅 (新潟県)","前川駅 (新潟県)（まえかわえき・東日本旅客鉄道信越本線）","https://ja.wikipedia.org/wiki/前川駅_(新潟県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯37度24分6.65秒東経138度49分26.51秒","■信越本線","67.4 km（直江津起点）","東日本旅客鉄道（JR東日本）","新潟県長岡市上前島町[1]北緯37度24分6.65秒東経138度49分26.51秒﻿ / ﻿北緯37.4018472度 東経138.8240306度﻿ /37.4018472; 138.8240306座標:北緯37度24分6.65秒東経138度49分26.51秒﻿ / ﻿北緯37.4018472度 東経138.8240306度﻿ /37.4018472; 138.8240306","地上駅","1964年（昭和39年）8月15日[1]","2面2線[1]","無人駅[1]（上下線乗車証明書発行機のみ）","マワ","","28人/日（降車客含まず）-2010年-","","","","","","","",""
"前郷駅","前郷駅（まえごうえき）","https://ja.wikipedia.org/wiki/前郷駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯39度18分45.52秒東経140度6分45.90秒","鳥海山ろく線","11.7 km（羽後本荘起点）","由利高原鉄道","秋田県由利本荘市前郷北緯39度18分45.52秒東経140度6分45.90秒﻿ / ﻿北緯39.3126444度 東経140.1127500度﻿ /39.3126444; 140.1127500座標:北緯39度18分45.52秒東経140度6分45.90秒﻿ / ﻿北緯39.3126444度 東経140.1127500度﻿ /39.3126444; 140.1127500","地上駅","1922年（大正11年）8月1日","2面2線","","マウ","","","146人/日-2018年-","","","","","","",""
"前沢駅","前沢駅（まえさわえき）","https://ja.wikipedia.org/wiki/前沢駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯39度2分54.73秒東経141度7分34.06秒","■東北本線","459.9 km（東京起点）","東日本旅客鉄道（JR東日本）","岩手県奥州市前沢字三日町浦北緯39度2分54.73秒東経141度7分34.06秒座標:北緯39度2分54.73秒 東経141度7分34.06秒","地上駅（橋上駅）[1]","1890年（明治23年）11月1日[2]","2面3線[2]","業務委託駅","マサ","","508人/日（降車客含まず）-2019年-","","","","","","","",""
"前空駅","前空駅（まえぞらえき）","https://ja.wikipedia.org/wiki/前空駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度18分3.7秒東経132度17分21.9秒","R山陽本線","328.3 km（神戸起点）","西日本旅客鉄道（JR西日本）","広島県廿日市市前空五丁目3-3北緯34度18分3.7秒東経132度17分21.9秒﻿ / ﻿北緯34.301028度 東経132.289417度﻿ /34.301028; 132.289417座標:北緯34度18分3.7秒東経132度17分21.9秒﻿ / ﻿北緯34.301028度 東経132.289417度﻿ /34.301028; 132.289417","地上駅（橋上駅）","2000年（平成12年）3月11日","2面2線","業務委託駅みどりの窓口有","ソラ","JR-R11","2,150人/日（降車客含まず）-2018年-","","","","","","","",""
"前田南駅","前田南駅（まえだみなみえき）","https://ja.wikipedia.org/wiki/前田南駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯40度3分2.13秒東経140度24分8.21秒","■秋田内陸線","27.1 km（鷹巣起点）","秋田内陸縦貫鉄道","秋田県北秋田市五味堀字堂ノ前北緯40度3分2.13秒東経140度24分8.21秒﻿ / ﻿北緯40.0505917度 東経140.4022806度﻿ /40.0505917; 140.4022806座標:北緯40度3分2.13秒東経140度24分8.21秒﻿ / ﻿北緯40.0505917度 東経140.4022806度﻿ /40.0505917; 140.4022806","地上駅","1963年（昭和38年）12月10日","1面1線","無人駅","マミ","","","11人/日-2018年-","","","","","","",""
"前之浜駅","前之浜駅（まえのはまえき）","https://ja.wikipedia.org/wiki/前之浜駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯31度20分35.84秒東経130度33分25.92秒","指宿枕崎線","30.4 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","鹿児島県鹿児島市喜入前之浜町8080北緯31度20分35.84秒東経130度33分25.92秒","地上駅","1934年（昭和9年）12月19日","2面2線","無人駅","マエ","","71人/日（降車客含まず）-2015年-","148人/日-2015年-","","","","","","",""
"前橋駅","前橋駅（まえばしえき）","https://ja.wikipedia.org/wiki/前橋駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度22分59.65秒東経139度04分22.90秒","■両毛線","81.9km（小山起点）東京から尾久・高崎経由で115.0 km","東日本旅客鉄道（JR東日本）","群馬県前橋市表町二丁目367-1北緯36度22分59.65秒東経139度04分22.90秒﻿ / ﻿北緯36.3832361度 東経139.0730278度﻿ /36.3832361; 139.0730278座標:北緯36度22分59.65秒東経139度04分22.90秒﻿ / ﻿北緯36.3832361度 東経139.0730278度﻿ /36.3832361; 139.0730278","高架駅","1889年（明治22年）11月20日","2面3線","直営駅（管理駅）みどりの窓口有","マエ←マヘ","","10,511人/日（降車客含まず）-2019年-","","","","","","","",""
"前橋大島駅","前橋大島駅（まえばしおおしまえき）","https://ja.wikipedia.org/wiki/前橋大島駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度22分14.01秒東経139度06分34.62秒","■両毛線","78.1 km（小山起点）","東日本旅客鉄道（JR東日本）","群馬県前橋市天川大島町1324北緯36度22分14.01秒東経139度06分34.62秒﻿ / ﻿北緯36.3705583度 東経139.1096167度﻿ /36.3705583; 139.1096167座標:北緯36度22分14.01秒東経139度06分34.62秒﻿ / ﻿北緯36.3705583度 東経139.1096167度﻿ /36.3705583; 139.1096167","地上駅（橋上駅）","1999年（平成11年）3月12日[1]","2面2線[1]","業務委託駅[1]みどりの窓口有[1]","マオ","","1,627人/日（降車客含まず）-2019年-","","","","","","","",""
"前畑停留場","前畑停留場（まえはたていりゅうじょう）","https://ja.wikipedia.org/wiki/前畑停留場","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度45分56.79秒東経137度24分17.35秒","東田本線","2.5 km（駅前起点）","豊橋鉄道","愛知県豊橋市前畑町北緯34度45分56.79秒東経137度24分17.35秒﻿ / ﻿北緯34.7657750度 東経137.4048194度﻿ /34.7657750; 137.4048194座標:北緯34度45分56.79秒東経137度24分17.35秒﻿ / ﻿北緯34.7657750度 東経137.4048194度﻿ /34.7657750; 137.4048194","地上駅","1925年（大正14年）12月25日","2面2線","",""," 8 ","","","","","","","","",""
"前浜駅","前浜駅（まえはまえき）","https://ja.wikipedia.org/wiki/前浜駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度21分30.79秒東経129度44分9.35秒","■西九州線","32.4 km（有田起点）","松浦鉄道","長崎県松浦市調川町平尾免北緯33度21分30.79秒東経129度44分9.35秒","地上駅","1990年（平成2年）3月10日","1面1線","","","","","35人/日-2017年-","","","","","","",""
"前原駅","前原駅（まえばらえき）","https://ja.wikipedia.org/wiki/前原駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度42分3.7秒東経140度1分40.2秒","■新京成線","23.9 km（松戸起点）","新京成電鉄","千葉県船橋市前原西七丁目17番21号北緯35度42分3.7秒東経140度1分40.2秒﻿ / ﻿北緯35.701028度 東経140.027833度﻿ /35.701028; 140.027833座標:北緯35度42分3.7秒東経140度1分40.2秒﻿ / ﻿北緯35.701028度 東経140.027833度﻿ /35.701028; 140.027833","地上駅","1955年（昭和30年）4月21日","2面2線","","","SL22","","9,578人/日-2019年-","","","","","","",""
"前平公園駅","前平公園駅（まえひらこうえんえき）","https://ja.wikipedia.org/wiki/前平公園駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度26分59.38秒東経137度0分5.04秒","越美南線","1.7 km（美濃太田起点）","長良川鉄道","岐阜県美濃加茂市西町北緯35度26分59.38秒東経137度0分5.04秒﻿ / ﻿北緯35.4498278度 東経137.0014000度﻿ /35.4498278; 137.0014000座標:北緯35度26分59.38秒東経137度0分5.04秒﻿ / ﻿北緯35.4498278度 東経137.0014000度﻿ /35.4498278; 137.0014000","地上駅","1986年（昭和61年）12月11日[1]","1面1線","無人駅","マエ","1","","","","113人/日-2018年-","","58人/日（降車客含まず）-2018年-","","",""
"前谷地駅","前谷地駅（まえやちえき）","https://ja.wikipedia.org/wiki/前谷地駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度30分44.02秒東経141度11分37.2秒","■石巻線","12.8 km（小牛田起点）","東日本旅客鉄道（JR東日本）","宮城県石巻市前谷地字中埣136-4北緯38度30分44.02秒東経141度11分37.2秒座標:北緯38度30分44.02秒 東経141度11分37.2秒","地上駅","1912年（大正元年）10月28日[1]","2面3線[1]","無人駅[2][3]","マエ","","161人/日（降車客含まず）-2018年-","","","","","","","",""
"前山駅","前山駅（まえやまえき）","https://ja.wikipedia.org/wiki/前山駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯40度12分53.05秒東経140度18分44.56秒","■奥羽本線","379.5 km（福島起点）","東日本旅客鉄道（JR東日本）","秋田県北秋田市前山字綱前[1]北緯40度12分53.05秒東経140度18分44.56秒座標:北緯40度12分53.05秒 東経140度18分44.56秒","地上駅","1951年（昭和26年）3月1日[1]","2面2線[1]","無人駅[1]","マヘ","","","","","","","","","",""
"馬下駅","馬下駅（まおろしえき）","https://ja.wikipedia.org/wiki/馬下駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯37度44分15.47秒東経139度15分38.39秒","■磐越西線","158.4 km（郡山起点）","東日本旅客鉄道（JR東日本）","新潟県五泉市馬下[1]北緯37度44分15.47秒東経139度15分38.39秒座標:北緯37度44分15.47秒 東経139度15分38.39秒","地上駅","1910年（明治43年）10月25日[1]","2面3線[2]","無人駅[2]（自動券売機 有）","マロ","","","","","","","","","",""
"馬替駅","馬替駅（まがええき）","https://ja.wikipedia.org/wiki/馬替駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度31分22.96秒東経136度37分14.24秒","■石川線","5.5 km（野町起点）","北陸鉄道","石川県金沢市馬替3丁目300北緯36度31分22.96秒東経136度37分14.24秒﻿ / ﻿北緯36.5230444度 東経136.6206222度﻿ /36.5230444; 136.6206222座標:北緯36度31分22.96秒東経136度37分14.24秒﻿ / ﻿北緯36.5230444度 東経136.6206222度﻿ /36.5230444; 136.6206222","地上駅","1943年（昭和18年）2月1日","単式 1面1線","","","○I07","","265人/日-2017年-","","","","","","",""
"勾金駅","勾金駅（まがりかねえき）","https://ja.wikipedia.org/wiki/勾金駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","■田川線","23.6 km（行橋起点）","■平成筑豊鉄道","","地上駅","1885年（明治18年）8月15日","2面2線","無人駅","カネ","HC17","","","","","","","","",""
"曲沢駅","曲沢駅（まがりさわえき）","https://ja.wikipedia.org/wiki/曲沢駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯39度19分15.69秒東経140度6分7.85秒","鳥海山ろく線","10.3 km（羽後本荘起点）","由利高原鉄道","秋田県由利本荘市前郷北緯39度19分15.69秒東経140度6分7.85秒﻿ / ﻿北緯39.3210250度 東経140.1021806度﻿ /39.3210250; 140.1021806座標:北緯39度19分15.69秒東経140度6分7.85秒﻿ / ﻿北緯39.3210250度 東経140.1021806度﻿ /39.3210250; 140.1021806","地上駅","1989年（平成元年）10月29日[1]","1面1線","","マリ","","","2人/日-2018年-","","","","","","",""
"巻駅","巻駅（まきえき・東日本旅客鉄道越後線）","https://ja.wikipedia.org/wiki/巻駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯37度45分24.96秒東経138度52分22.44秒","■越後線","57.8 km（柏崎起点）","東日本旅客鉄道（JR東日本）","新潟市西蒲区巻甲[1]（巻六区）北緯37度45分24.96秒東経138度52分22.44秒座標:北緯37度45分24.96秒 東経138度52分22.44秒","地上駅","1912年（大正元年）8月25日[1]","2面2線[1]","業務委託駅みどりの窓口有[1]","マキ","","2,273人/日（降車客含まず）-2019年-","","","","","","","",""
"牧駅 (京都府)","牧駅 (京都府)（まきえき・京都丹後鉄道宮福線）","https://ja.wikipedia.org/wiki/牧駅_(京都府)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度20分16.74秒東経135度6分6.36秒","宮福線","5.1 km（*福知山起点）","WILLER TRAINS（京都丹後鉄道）","京都府福知山市牧北緯35度20分16.74秒東経135度6分6.36秒﻿ / ﻿北緯35.3379833度 東経135.1017667度﻿ /35.3379833; 135.1017667﻿ (牧駅)座標:北緯35度20分16.74秒東経135度6分6.36秒﻿ / ﻿北緯35.3379833度 東経135.1017667度﻿ /35.3379833; 135.1017667﻿ (牧駅)","地上駅（ホームは盛土上）","1988年（昭和63年）7月16日[1]","2面2線","無人駅* 正式な起点は宮津駅","","F4","14人/日（降車客含まず）-2018年-","","","","","","","",""
"牧駅 (大分県)","牧駅 (大分県)（まきえき・九州旅客鉄道日豊本線）","https://ja.wikipedia.org/wiki/牧駅_(大分県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度14分13.67秒東経131度38分16.28秒","■日豊本線","136.2 km（小倉起点）","九州旅客鉄道（JR九州）","大分県大分市大字牧1番地の385[1][2]北緯33度14分13.67秒東経131度38分16.28秒","地上駅","1987年（昭和62年）2月22日[3]","1面1線[1]","無人駅駅集中管理システム（Smart Support Station）採用","マキ","","728人/日（降車客含まず）-2019年-","","","","","","","",""
"牧落駅","牧落駅（まきおちえき）","https://ja.wikipedia.org/wiki/牧落駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度49分24.38秒東経135度27分57.06秒","■箕面線","2.7 km（石橋阪大前起点）大阪梅田から16.2 km","阪急電鉄","大阪府箕面市百楽荘1丁目1番6号[1]北緯34度49分24.38秒東経135度27分57.06秒﻿ / ﻿北緯34.8234389度 東経135.4658500度﻿ /34.8234389; 135.4658500座標:北緯34度49分24.38秒東経135度27分57.06秒﻿ / ﻿北緯34.8234389度 東経135.4658500度﻿ /34.8234389; 135.4658500","地上駅","1921年（大正10年）12月30日","2面2線","","","HK58","","（特定日）8,816人/日-2019年-","","","","","","",""
"牧志駅","牧志駅（まきしえき）","https://ja.wikipedia.org/wiki/牧志駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯26度13分2.09秒東経127度41分33.18秒","■沖縄都市モノレール線（ゆいレール）","7.7 km（那覇空港起点）","沖縄都市モノレール","沖縄県那覇市牧志三丁目272-5北緯26度13分2.09秒東経127度41分33.18秒﻿ / ﻿北緯26.2172472度 東経127.6925500度﻿ /26.2172472; 127.6925500座標:北緯26度13分2.09秒東経127度41分33.18秒﻿ / ﻿北緯26.2172472度 東経127.6925500度﻿ /26.2172472; 127.6925500","高架駅","2003年（平成15年）8月10日[1][2]","1面2線","","","9","1,282人/日（降車客含まず）-2020年-","","","","","","","",""
"マキノ駅","マキノ駅（西日本旅客鉄道湖西線）","https://ja.wikipedia.org/wiki/マキノ駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度27分40.63秒東経136度3分35.00秒","B湖西線","61.2km（山科起点）京都から66.7 km","西日本旅客鉄道（JR西日本）","滋賀県高島市マキノ町西浜神田1243北緯35度27分40.63秒東経136度3分35.00秒﻿ / ﻿北緯35.4612861度 東経136.0597222度﻿ /35.4612861; 136.0597222座標:北緯35度27分40.63秒東経136度3分35.00秒﻿ / ﻿北緯35.4612861度 東経136.0597222度﻿ /35.4612861; 136.0597222","高架駅","1974年（昭和49年）7月20日","2面2線","簡易委託駅","マキ","JR-B12","309人/日（降車客含まず）-2019年-","","","","","","","",""
"牧野駅","牧野駅（まきのえき・京阪本線）","https://ja.wikipedia.org/wiki/牧野駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度50分36.68秒東経135度39分55.48秒","■京阪本線","25.5 km（淀屋橋起点）","京阪電気鉄道","大阪府枚方市牧野阪二丁目4-2北緯34度50分36.68秒東経135度39分55.48秒﻿ / ﻿北緯34.8435222度 東経135.6654111度﻿ /34.8435222; 135.6654111﻿ (牧野駅)","地上駅","1910年（明治43年）4月15日","2面2線","","牧（駅名略称方式）","KH  23","","23,327人/日-2019年-","","","","","","",""
