"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗車人員,-統計年次-","乗降人員,-統計年次-","住所","公式サイト","所有者","総支配人"
"東青山駅","東青山駅（ひがしあおやまえき）","https://ja.wikipedia.org/wiki/東青山駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度40分33.24秒東経136度19分17.47秒","D大阪線","91.5 km（大阪上本町起点）","近畿日本鉄道（近鉄）","1930年（昭和5年）12月20日","高架駅（盛土上）","2面4線","三重県津市白山町上ノ村1074北緯34度40分33.24秒東経136度19分17.47秒﻿ / ﻿北緯34.6759000度 東経136.3215194度﻿ /34.6759000; 136.3215194座標:北緯34度40分33.24秒東経136度19分17.47秒﻿ / ﻿北緯34.6759000度 東経136.3215194度﻿ /34.6759000; 136.3215194","無人駅（自動券売機 有）","ヒア","36人/日（降車客含まず）-2019年-"," D56 ","","","","","","","",""
"東赤坂駅","東赤坂駅（ひがしあかさかえき）","https://ja.wikipedia.org/wiki/東赤坂駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度23分38.79秒東経136度36分3.22秒","養老線","47.5 km（桑名起点）","養老鉄道","1914年（大正3年）1月1日[1]","地上駅","2面2線","岐阜県安八郡神戸町大字中沢字村西124-6北緯35度23分38.79秒東経136度36分3.22秒﻿ / ﻿北緯35.3941083度 東経136.6008944度﻿ /35.3941083; 136.6008944座標:北緯35度23分38.79秒東経136度36分3.22秒﻿ / ﻿北緯35.3941083度 東経136.6008944度﻿ /35.3941083; 136.6008944","無人駅","","","","346人/日-2018年-","","","","","","",""
"東吾野駅","東吾野駅（ひがしあがのえき）","https://ja.wikipedia.org/wiki/東吾野駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度53分31.51秒東経139度15分38.45秒","■池袋線","53.8 km（池袋起点）","西武鉄道","1929年（昭和4年）9月10日","地上駅","1面2線","埼玉県飯能市平戸220北緯35度53分31.51秒東経139度15分38.45秒﻿ / ﻿北緯35.8920861度 東経139.2606806度﻿ /35.8920861; 139.2606806﻿ (東吾野駅)座標:北緯35度53分31.51秒東経139度15分38.45秒﻿ / ﻿北緯35.8920861度 東経139.2606806度﻿ /35.8920861; 139.2606806﻿ (東吾野駅)","","","","SI30","456人/日-2019年-","","","","","","",""
"東秋留駅","東秋留駅（ひがしあきるえき）","https://ja.wikipedia.org/wiki/東秋留駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度43分33.2秒東経139度18分39.3秒","■五日市線","3.5 km（拝島起点）","東日本旅客鉄道（JR東日本）","1925年（大正14年）4月21日[2]","地上駅","1面2線[1]","東京都あきる野市野辺458北緯35度43分33.2秒東経139度18分39.3秒﻿ / ﻿北緯35.725889度 東経139.310917度﻿ /35.725889; 139.310917座標:北緯35度43分33.2秒東経139度18分39.3秒﻿ / ﻿北緯35.725889度 東経139.310917度﻿ /35.725889; 139.310917","業務委託駅","ヒル","4,593人/日（降車客含まず）-2019年-","JC82","","","","","","","",""
"東旭川駅","東旭川駅（ひがしあさひかわえき）","https://ja.wikipedia.org/wiki/東旭川駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯43度46分35.3秒東経142度26分29.7秒","■石北本線","5.2 km（新旭川起点）","北海道旅客鉄道（JR北海道）","1922年（大正11年）11月4日","地上駅","2面2線","北海道旭川市東旭川北3条5丁目北緯43度46分35.3秒東経142度26分29.7秒﻿ / ﻿北緯43.776472度 東経142.441583度﻿ /43.776472; 142.441583﻿ (東旭川駅)","無人駅","ヒア","","○A32","44人/日-2014年-","","","","","","",""
"東あずま駅","東あずま駅（ひがしあずまえき）","https://ja.wikipedia.org/wiki/東あずま駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度42分25.4秒東経139度49分54.8秒","■亀戸線","2.0 km（曳舟起点）","東武鉄道","1928年（昭和3年）4月15日","地上駅","2面2線","東京都墨田区立花四丁目23-8北緯35度42分25.4秒東経139度49分54.8秒﻿ / ﻿北緯35.707056度 東経139.831889度﻿ /35.707056; 139.831889座標:北緯35度42分25.4秒東経139度49分54.8秒﻿ / ﻿北緯35.707056度 東経139.831889度﻿ /35.707056; 139.831889","","アマ","","TS42","8,099人/日-2019年-","","","","","","",""
"東我孫子駅","東我孫子駅（ひがしあびこえき）","https://ja.wikipedia.org/wiki/東我孫子駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度52分8.3秒東経140度2分51.3秒","■成田線（我孫子支線）","3.4 km（我孫子起点）","東日本旅客鉄道（JR東日本）","1950年（昭和25年）10月12日[1]","地上駅","2面2線","千葉県我孫子市下ケ戸北緯35度52分8.3秒東経140度2分51.3秒﻿ / ﻿北緯35.868972度 東経140.047583度﻿ /35.868972; 140.047583座標:北緯35度52分8.3秒東経140度2分51.3秒﻿ / ﻿北緯35.868972度 東経140.047583度﻿ /35.868972; 140.047583","無人駅（乗車駅証明書発行機 有）","ヒコ","729人/日（降車客含まず）-2006年-","","","","","","","","",""
"東甘木駅","東甘木駅（ひがしあまぎえき）","https://ja.wikipedia.org/wiki/東甘木駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯33度3分42.5秒東経130度27分49.9秒","■天神大牟田線","70.8 km（西鉄福岡（天神）起点）","西日本鉄道","1952年（昭和27年）1月6日","地上駅","2面2線","福岡県大牟田市大字甘木北緯33度3分42.5秒東経130度27分49.9秒﻿ / ﻿北緯33.061806度 東経130.463861度﻿ /33.061806; 130.463861座標:北緯33度3分42.5秒東経130度27分49.9秒﻿ / ﻿北緯33.061806度 東経130.463861度﻿ /33.061806; 130.463861","","","","T  47 ","381人/日-2019年-","","","","","","",""
"東池袋駅","東池袋駅（ひがしいけぶくろえき）","https://ja.wikipedia.org/wiki/東池袋駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度43分32.4秒東経139度43分10.2秒","●[1]有楽町線","12.4 km（和光市起点）","東京地下鉄（東京メトロ）","1974年（昭和49年）10月30日","地下駅","1面2線","東京都豊島区東池袋四丁目4-4北緯35度43分32.4秒東経139度43分10.2秒﻿ / ﻿北緯35.725667度 東経139.719500度﻿ /35.725667; 139.719500﻿ (東池袋駅)座標:北緯35度43分32.4秒東経139度43分10.2秒﻿ / ﻿北緯35.725667度 東経139.719500度﻿ /35.725667; 139.719500﻿ (東池袋駅)","","ヒケ","","Y10[1]","44,120人/日-2019年-","","","","","","",""
"東池袋駅","東池袋四丁目停留場（ひがしいけぶくろよんちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/東池袋駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度43分32.4秒東経139度43分10.2秒","●[1]有楽町線","12.4 km（和光市起点）","東京地下鉄（東京メトロ）","1974年（昭和49年）10月30日","地下駅","1面2線","東京都豊島区東池袋四丁目4-4北緯35度43分32.4秒東経139度43分10.2秒﻿ / ﻿北緯35.725667度 東経139.719500度﻿ /35.725667; 139.719500﻿ (東池袋駅)座標:北緯35度43分32.4秒東経139度43分10.2秒﻿ / ﻿北緯35.725667度 東経139.719500度﻿ /35.725667; 139.719500﻿ (東池袋駅)","","ヒケ","","Y10[1]","44,120人/日-2019年-","","","","","","",""
"東生駒駅","東生駒駅（ひがしいこまえき）","https://ja.wikipedia.org/wiki/東生駒駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度41分29.94秒東経135度42分35.27秒","A奈良線","15.4km（布施起点）大阪難波から21.5 km","近畿日本鉄道（近鉄）","1968年（昭和43年）3月20日","地上駅（盛土上）","1面2線","奈良県生駒市東生駒一丁目1-6北緯34度41分29.94秒東経135度42分35.27秒﻿ / ﻿北緯34.6916500度 東経135.7097972度﻿ /34.6916500; 135.7097972座標:北緯34度41分29.94秒東経135度42分35.27秒﻿ / ﻿北緯34.6916500度 東経135.7097972度﻿ /34.6916500; 135.7097972","","ヒコ","（全日）8,826人/日（降車客含まず）-2018年-"," A18 ","（特定日）17,682人/日-2018年-","","","","","","",""
"東諫早駅","東諫早駅（ひがしいさはやえき）","https://ja.wikipedia.org/wiki/東諫早駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯32度51分10.52秒東経130度3分42.47秒","■長崎本線","97.8 km（鳥栖起点）","九州旅客鉄道（JR九州）","1934年（昭和9年）3月24日","地上駅（盛土上）","2面2線[1]","長崎県諫早市福田町366-2北緯32度51分10.52秒東経130度3分42.47秒﻿ / ﻿北緯32.8529222度 東経130.0617972度﻿ /32.8529222; 130.0617972﻿ (東諫早駅)","無人駅[1]","ヒイ←ヒイハ","95人/日（降車客含まず）-2016年-","","","","","","","","",""
"東石黒駅","東石黒駅（ひがしいしぐろえき）","https://ja.wikipedia.org/wiki/東石黒駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯36度34分33.85秒東経136度53分53.34秒","■城端線","22.0 km（高岡起点）","西日本旅客鉄道（JR西日本）","1951年（昭和26年）8月10日","地上駅","1面1線","富山県南砺市下吉江2683-2北緯36度34分33.85秒東経136度53分53.34秒﻿ / ﻿北緯36.5760694度 東経136.8981500度﻿ /36.5760694; 136.8981500座標:北緯36度34分33.85秒東経136度53分53.34秒﻿ / ﻿北緯36.5760694度 東経136.8981500度﻿ /36.5760694; 136.8981500","無人駅","ヒク","28人/日（降車客含まず）-2018年-","","","","","","","","",""
"東一身田駅","東一身田駅（ひがしいしんでんえき）","https://ja.wikipedia.org/wiki/東一身田駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度45分30.95秒東経136度30分43.6秒","伊勢線","19.4 km（河原田起点）","伊勢鉄道","1973年（昭和48年）9月1日[1]","高架駅","1面1線","三重県津市一身田平野北緯34度45分30.95秒東経136度30分43.6秒﻿ / ﻿北緯34.7585972度 東経136.512111度﻿ /34.7585972; 136.512111座標:北緯34度45分30.95秒東経136度30分43.6秒﻿ / ﻿北緯34.7585972度 東経136.512111度﻿ /34.7585972; 136.512111","無人駅","","67人/日（降車客含まず）-2019年-","11","","","","","","","",""
"東市来駅","東市来駅（ひがしいちきえき）","https://ja.wikipedia.org/wiki/東市来駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯31度39分20.08秒東経131度20分50.21秒","■鹿児島本線","22.9km（川内起点）門司港から372.1 km","九州旅客鉄道（JR九州）","1913年（大正2年）10月11日","地上駅","1面2線","鹿児島県日置市東市来町長里2253-7北緯31度39分20.08秒東経131度20分50.21秒﻿ / ﻿北緯31.6555778度 東経131.3472806度﻿ /31.6555778; 131.3472806座標:北緯31度39分20.08秒東経131度20分50.21秒﻿ / ﻿北緯31.6555778度 東経131.3472806度﻿ /31.6555778; 131.3472806","簡易委託駅","ヒイ","341人/日（降車客含まず）-2019年-","","","","","","","","",""
"東岩瀬駅","東岩瀬駅（ひがしいわせえき）","https://ja.wikipedia.org/wiki/東岩瀬駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯36度45分8.5秒東経137度13分50.2秒","■富山港線","6.7 km（富山駅起点）","富山地方鉄道","2006年4月29日","地上駅","2面1線","富山県富山市岩瀬御蔵町北緯36度45分8.5秒東経137度13分50.2秒﻿ / ﻿北緯36.752361度 東経137.230611度﻿ /36.752361; 137.230611﻿ (東岩瀬駅*)座標:北緯36度45分8.5秒東経137度13分50.2秒﻿ / ﻿北緯36.752361度 東経137.230611度﻿ /36.752361; 137.230611﻿ (東岩瀬駅*)","旧駅は1924年9月20日開業、2006年3月1日廃止","ヒイ（転換前）","","C37","159[1]人/日-2019年-","","","","","","",""
"東岩槻駅","東岩槻駅（ひがしいわつきえき）","https://ja.wikipedia.org/wiki/東岩槻駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度57分48.10秒東経139度42分44.52秒","■野田線（東武アーバンパークライン）","10.9 km（大宮起点）","東武鉄道","1969年（昭和44年）12月1日","地上駅（橋上駅舎）","1面2線","さいたま市岩槻区東岩槻一丁目12-1北緯35度57分48.10秒東経139度42分44.52秒﻿ / ﻿北緯35.9633611度 東経139.7123667度﻿ /35.9633611; 139.7123667座標:北緯35度57分48.10秒東経139度42分44.52秒﻿ / ﻿北緯35.9633611度 東経139.7123667度﻿ /35.9633611; 139.7123667","業務委託駅","ヒツキ","","TD07","20,454人/日-2019年-","","","","","","",""
"東梅田駅","東梅田駅（ひがしうめだえき）","https://ja.wikipedia.org/wiki/東梅田駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度42分3.5秒東経135度29分58.4秒","●谷町線","10.3 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","1967年（昭和42年）3月24日","地下駅","2面2線","大阪市北区曽根崎二丁目北緯34度42分3.5秒東経135度29分58.4秒﻿ / ﻿北緯34.700972度 東経135.499556度﻿ /34.700972; 135.499556﻿ (東梅田駅)座標:北緯34度42分3.5秒東経135度29分58.4秒﻿ / ﻿北緯34.700972度 東経135.499556度﻿ /34.700972; 135.499556﻿ (東梅田駅)","","","69,846人/日（降車客含まず）-2020年-"," T20 ","140,902人/日-2020年-","梅田駅（Osaka Metro御堂筋線）西梅田駅（Osaka Metro四つ橋線）大阪梅田駅（阪急神戸本線・宝塚本線・京都本線）大阪梅田駅（阪神本線）大阪駅（JR神戸線・JR京都線・JR宝塚線・大阪環状線）北新地駅（JR東西線）","","","","","",""
"東浦駅","東浦駅（ひがしうらえき）","https://ja.wikipedia.org/wiki/東浦駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","","CE武豊線（JR東海）","6.8 km（大府起点）","東海旅客鉄道（JR東海）衣浦臨海鉄道","1944年（昭和19年）11月11日","地上駅","2面2線","","駅員無配置駅（集中旅客サービスシステム導入駅）","ウラ","1,897人/日（降車客含まず）-2019年-","CE  04 ","","","","","","","",""
"東浦和駅","東浦和駅（ひがしうらわえき）","https://ja.wikipedia.org/wiki/東浦和駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度51分50.8秒東経139度42分16.7秒","■武蔵野線","64.2 km（鶴見起点）府中本町から35.4 km","東日本旅客鉄道（JR東日本）","1973年（昭和48年）4月1日[1]","地上駅（掘割構造）","2面2線","さいたま市緑区東浦和一丁目[1]23-2北緯35度51分50.8秒東経139度42分16.7秒﻿ / ﻿北緯35.864111度 東経139.704639度﻿ /35.864111; 139.704639﻿ (東浦和駅)","業務委託駅[1]","ヒウ","28,923人/日（降車客含まず）-2019年-","JM24","","","","","","","",""
"東青梅駅","東青梅駅（ひがしおうめえき）","https://ja.wikipedia.org/wiki/東青梅駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度47分23.6秒東経139度16分20.3秒","■青梅線","17.2 km（立川起点）東京から54.7 km","東日本旅客鉄道（JR東日本）","1932年（昭和7年）10月1日[1]","地上駅（橋上駅）[1]","1面2線[1]","東京都青梅市東青梅一丁目9-1北緯35度47分23.6秒東経139度16分20.3秒﻿ / ﻿北緯35.789889度 東経139.272306度﻿ /35.789889; 139.272306座標:北緯35度47分23.6秒東経139度16分20.3秒﻿ / ﻿北緯35.789889度 東経139.272306度﻿ /35.789889; 139.272306","業務委託駅","アメ","6,493人/日（降車客含まず）-2019年-","JC61","","","","","","","",""
"東大垣駅","東大垣駅（ひがしおおがきえき）","https://ja.wikipedia.org/wiki/東大垣駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度22分30.62秒東経136度38分45.85秒","樽見線","2.7 km（大垣起点）","樽見鉄道","1956年（昭和31年）3月20日","地上駅","1面2線","岐阜県大垣市和合本町北緯35度22分30.62秒東経136度38分45.85秒﻿ / ﻿北緯35.3751722度 東経136.6460694度﻿ /35.3751722; 136.6460694座標:北緯35度22分30.62秒東経136度38分45.85秒﻿ / ﻿北緯35.3751722度 東経136.6460694度﻿ /35.3751722; 136.6460694","","","115人/日（降車客含まず）-2018年-","TR02","","","","","","","",""
"東大崎駅","東大崎駅（ひがしおおさきえき）","https://ja.wikipedia.org/wiki/東大崎駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","","■陸羽東線","19.1 km（小牛田起点）","東日本旅客鉄道（JR東日本）","1955年（昭和30年）2月15日","地上駅","1面1線","","無人駅","ヒオ","","","","","","","","","",""
"東大島駅","東大島駅（ひがしおおじまえき）","https://ja.wikipedia.org/wiki/東大島駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度41分23秒東経139度50分52.1秒","●[1]新宿線","14.1 km（新宿起点）","東京都交通局（都営地下鉄）","1978年（昭和53年）12月21日","高架駅（橋梁上）","2面2線","東京都江東区大島九丁目3-14北緯35度41分23秒東経139度50分52.1秒﻿ / ﻿北緯35.68972度 東経139.847806度﻿ /35.68972; 139.847806﻿ (東大島駅)座標:北緯35度41分23秒東経139度50分52.1秒﻿ / ﻿北緯35.68972度 東経139.847806度﻿ /35.68972; 139.847806﻿ (東大島駅)","業務委託駅","東（駅名略称）","","S16[1]","32,240人/日-2019年-","","","","","","",""
"東大館駅","東大館駅（ひがしおおだてえき）","https://ja.wikipedia.org/wiki/東大館駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯40度16分0.06秒東経140度33分16.51秒","■花輪線","103.3 km（好摩起点）","東日本旅客鉄道（JR東日本）","1914年（大正3年）7月1日","地上駅","1面1線","秋田県大館市常盤木町14-1北緯40度16分0.06秒東経140度33分16.51秒座標:北緯40度16分0.06秒 東経140度33分16.51秒","無人駅（乗車駅証明書発行機 有）","ヒテ","239人/日（降車客含まず）-2018年-","","","","","","","","",""
"東大手駅","東大手駅（ひがしおおてえき）","https://ja.wikipedia.org/wiki/東大手駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度11分0秒東経136度54分30秒","瀬戸線","1.5 km（栄町起点）","名古屋鉄道","1910年（明治43年）10月1日*1978年（昭和53年）8月20日**","地下駅","相対式 2面2線","愛知県名古屋市中区三の丸四丁目3-2北緯35度11分0秒東経136度54分30秒﻿ / ﻿北緯35.18333度 東経136.90833度﻿ /35.18333; 136.90833座標:北緯35度11分0秒東経136度54分30秒﻿ / ﻿北緯35.18333度 東経136.90833度﻿ /35.18333; 136.90833","* 1944年に休止。** 移転開業日。","","","ST  02 ","4,115人/日-2019年[1]-","","","","","","",""
"東大更駅","東大更駅（ひがしおおぶけえき）","https://ja.wikipedia.org/wiki/東大更駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯39度54分9.4秒東経141度8分33.2秒","■花輪線","4.9 km（好摩起点）","東日本旅客鉄道（JR東日本）","1960年（昭和35年）12月1日","地上駅","1面1線","岩手県八幡平市大更第7地割99北緯39度54分9.4秒東経141度8分33.2秒座標:北緯39度54分9.4秒 東経141度8分33.2秒","無人駅","ヒオ","","","","","","","","","",""
