"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"JA広島病院前駅","JA広島病院前駅（じぇいえーひろしまびょういんまええき）","https://ja.wikipedia.org/wiki/JA広島病院前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度20分38.2秒東経132度19分20.58秒","■宮島線","11.9 km（広電西広島起点）","広島電鉄","1998年（平成10年）9月1日","地上駅","広島県廿日市市地御前一丁目3-13[1]北緯34度20分38.2秒東経132度19分20.58秒﻿ / ﻿北緯34.343944度 東経132.3223833度﻿ /34.343944; 132.3223833﻿ (JA広島病院前駅)座標:北緯34度20分38.2秒東経132度19分20.58秒﻿ / ﻿北緯34.343944度 東経132.3223833度﻿ /34.343944; 132.3223833﻿ (JA広島病院前駅)","2面2線","","","","M35","1,549人/日-2018年-","","","","","","",""
"自衛隊前駅","自衛隊前駅（じえいたいまええき）","https://ja.wikipedia.org/wiki/自衛隊前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯43度0分22.4秒東経141度21分53.3秒","札幌市営地下鉄南北線","12.6 km（麻生起点）","札幌市交通局","1971年（昭和46年）12月16日","高架駅","札幌市南区澄川4条7丁目[1]北緯43度0分22.4秒東経141度21分53.3秒﻿ / ﻿北緯43.006222度 東経141.364806度﻿ /43.006222; 141.364806座標:北緯43度0分22.4秒東経141度21分53.3秒﻿ / ﻿北緯43.006222度 東経141.364806度﻿ /43.006222; 141.364806","2面2線","","","3,325人/日（降車客含まず）-2019年-","○N15[2]","","","","","","","",""
"Jヴィレッジ駅","Jヴィレッジ駅（じぇいびれっじえき）","https://ja.wikipedia.org/wiki/Jヴィレッジ駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯37度14分33.3秒東経141度0分27秒","■常磐線","235.9 km（日暮里起点）","東日本旅客鉄道（JR東日本）","2019年（平成31年）4月20日[報道 2][新聞 1]","地上駅","福島県双葉郡楢葉町大字山田岡字下岩沢1番地2[報道 1]北緯37度14分33.3秒東経141度0分27秒﻿ / ﻿北緯37.242583度 東経141.00750度﻿ /37.242583; 141.00750座標:北緯37度14分33.3秒東経141度0分27秒﻿ / ﻿北緯37.242583度 東経141.00750度﻿ /37.242583; 141.00750","2面2線","無人駅","イツ","","","","","","","","","",""
"汐入駅","汐入駅（しおいりえき・京急本線）","https://ja.wikipedia.org/wiki/汐入駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度16分48.8秒東経139度39分43.1秒","■本線","49.2 km（品川起点）","京浜急行電鉄","1930年（昭和5年）4月1日*","高架駅[1]","神奈川県横須賀市汐入町二丁目41北緯35度16分48.8秒東経139度39分43.1秒﻿ / ﻿北緯35.280222度 東経139.661972度﻿ /35.280222; 139.661972﻿ (汐入駅)座標:北緯35度16分48.8秒東経139度39分43.1秒﻿ / ﻿北緯35.280222度 東経139.661972度﻿ /35.280222; 139.661972﻿ (汐入駅)","2面2線","","","","KK58","18,162人/日-2019年-","","","","","","",""
"塩入駅","塩入駅（しおいりえき・四国旅客鉄道土讃線）","https://ja.wikipedia.org/wiki/塩入駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度9分21.72秒東経133度50分59.91秒","■土讃線","17.7 km（多度津起点）","四国旅客鉄道（JR四国）","1923年（大正12年）5月21日","地上駅","香川県仲多度郡まんのう町帆山北緯34度9分21.72秒東経133度50分59.91秒﻿ / ﻿北緯34.1560333度 東経133.8499750度﻿ /34.1560333; 133.8499750﻿ (塩入駅)座標:北緯34度9分21.72秒東経133度50分59.91秒﻿ / ﻿北緯34.1560333度 東経133.8499750度﻿ /34.1560333; 133.8499750﻿ (塩入駅)","2面2線","無人駅","シイ","","○D16","50[1]人/日-2019年-","","","","","","",""
"塩釜駅","塩釜駅（しおがまえき）","https://ja.wikipedia.org/wiki/塩釜駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯38度18分34.59秒東経141度0分34.78秒","■東北本線","365.2 km（東京起点）","東日本旅客鉄道（JR東日本）","1956年（昭和31年）7月9日[1]","地上駅","宮城県塩竈市東玉川町5-1北緯38度18分34.59秒東経141度0分34.78秒座標:北緯38度18分34.59秒 東経141度0分34.78秒","1面2線[1]","業務委託駅みどりの窓口有[1]","シホ","2,690人/日（降車客含まず）-2019年-","","","","","","","","",""
"塩釜口駅","塩釜口駅（しおがまぐちえき）","https://ja.wikipedia.org/wiki/塩釜口駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度7分56.9秒東経136度58分39.7秒","鶴舞線","16.4 km（上小田井起点）","名古屋市交通局（名古屋市営地下鉄）","1978年（昭和53年）10月1日","地下駅","名古屋市天白区塩釜口一丁目834北緯35度7分56.9秒東経136度58分39.7秒﻿ / ﻿北緯35.132472度 東経136.977694度﻿ /35.132472; 136.977694座標:北緯35度7分56.9秒東経136度58分39.7秒﻿ / ﻿北緯35.132472度 東経136.977694度﻿ /35.132472; 136.977694","1面2線","","","12,158人/日（降車客含まず）-2019年-","T16","24,025[1]人/日-2019年-","","","","","","",""
"塩狩駅","塩狩駅（しおかりえき）","https://ja.wikipedia.org/wiki/塩狩駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯43度58分3.5秒東経142度27分17秒","■宗谷本線","28.4 km（旭川起点）","北海道旅客鉄道（JR北海道）","1924年（大正13年）11月25日","地上駅","北海道上川郡和寒町字塩狩北緯43度58分3.5秒東経142度27分17秒座標:北緯43度58分3.5秒 東経142度27分17秒","2面2線","無人駅","シリ","","○W37","","","","","","","",""
"塩川駅","塩川駅（しおかわえき）","https://ja.wikipedia.org/wiki/塩川駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯37度35分40.12秒東経139度53分14.37秒","■磐越西線","75.1 km（郡山起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）*","1904年（明治37年）1月20日[1]","地上駅","福島県喜多方市塩川町字石橋851-2[1]北緯37度35分40.12秒東経139度53分14.37秒﻿ / ﻿北緯37.5944778度 東経139.8873250度﻿ /37.5944778; 139.8873250座標:北緯37度35分40.12秒東経139度53分14.37秒﻿ / ﻿北緯37.5944778度 東経139.8873250度﻿ /37.5944778; 139.8873250","2面3線","簡易委託駅","シオ←シヲ","264人/日（降車客含まず）-2019年-","","","","","","","","",""
"塩郷駅","塩郷駅（しおごうえき）","https://ja.wikipedia.org/wiki/塩郷駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度59分51.71秒東経138度5分26.16秒","大井川本線","24.3 km（金谷起点）","大井川鐵道","1930年（昭和5年）9月23日","地上駅","静岡県榛原郡川根本町下泉北緯34度59分51.71秒東経138度5分26.16秒﻿ / ﻿北緯34.9976972度 東経138.0906000度﻿ /34.9976972; 138.0906000座標:北緯34度59分51.71秒東経138度5分26.16秒﻿ / ﻿北緯34.9976972度 東経138.0906000度﻿ /34.9976972; 138.0906000","単式 1面1線","無人駅","","6人/日（降車客含まず）-2019年-","","15人/日-2019年-","","","","","","",""
"塩崎駅","塩崎駅（しおざきえき）","https://ja.wikipedia.org/wiki/塩崎駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度41分15.8秒東経138度29分15.1秒","■中央本線","142.7 km（東京起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）12月25日[2]","地上駅","山梨県甲斐市下今井100-3北緯35度41分15.8秒東経138度29分15.1秒座標:北緯35度41分15.8秒 東経138度29分15.1秒","2面2線","業務委託駅","シサ","1,036人/日（降車客含まず）-2019年-","CO45[1]","","","","","","","",""
"塩沢駅","塩沢駅（しおざわえき）","https://ja.wikipedia.org/wiki/塩沢駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯37度2分29秒東経138度50分54.6秒","■上越線（■北越急行ほくほく線*直通含む）","107.9 km（高崎起点）","東日本旅客鉄道（JR東日本）","1923年（大正12年）11月18日","地上駅","新潟県南魚沼市塩沢1229-2北緯37度2分29秒東経138度50分54.6秒﻿ / ﻿北緯37.04139度 東経138.848500度﻿ /37.04139; 138.848500﻿ (塩沢駅)座標:北緯37度2分29秒東経138度50分54.6秒﻿ / ﻿北緯37.04139度 東経138.848500度﻿ /37.04139; 138.848500﻿ (塩沢駅)","2面3線（実質2面2線）","業務委託駅","シオ","527人/日（降車客含まず）-2019年-","","","","","","","","",""
"塩尻駅","塩尻駅（しおじりえき）","https://ja.wikipedia.org/wiki/塩尻駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度6分51.61秒東経137度56分52.16秒","■中央本線（JR東日本中央東線・本線）CF中央本線（JR東海中央西線）**","222.1 km（東京起点）名古屋から174.8 km","東日本旅客鉄道（JR東日本）*東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","1902年（明治35年）12月15日[1]","地上駅[1]（橋上駅）","長野県塩尻市大門八番町[1]北緯36度6分51.61秒東経137度56分52.16秒﻿ / ﻿北緯36.1143361度 東経137.9478222度﻿ /36.1143361; 137.9478222座標:北緯36度6分51.61秒東経137度56分52.16秒﻿ / ﻿北緯36.1143361度 東経137.9478222度﻿ /36.1143361; 137.9478222","3面6線[1]","直営駅（管理駅）みどりの窓口有[1]標高：715.8 m[1]","ホシ[1]","4,351人/日（降車客含まず）-2019年-","","","","","","","","",""
