"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","最高峰","位置","所在海域","海岸線長","標高","都道府県","山系","人口密度","国","外部リンク","地方","郡","市町村コード","総人口","隣接自治体","種類"
"檜枝岐村","[017檜枝岐・野岩鉄道沿線福島県・栃木県] ","https://ja.wikipedia.org/wiki/檜枝岐村","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯37度1分26.9秒東経139度23分20.2秒","〒967-0525福島県南会津郡檜枝岐村字下ノ原880番地北緯37度1分26.9秒東経139度23分20.2秒﻿ / ﻿北緯37.024139度 東経139.388944度﻿ /37.024139; 139.388944座標:北緯37度1分26.9秒東経139度23分20.2秒﻿ / ﻿北緯37.024139度 東経139.388944度﻿ /37.024139; 139.388944","390.46km2","","","","","","","福島県","","1.36人/km2","日本","公式ウェブサイト","東北地方","南会津郡","07364-4","531人（推計人口、2021年6月1日）","南会津郡只見町、南会津町群馬県利根郡片品村新潟県魚沼市栃木県日光市",""
"裏磐梯","[018裏磐梯・雄国沼福島県] 磐梯高原 （ばんだいこうげん）は、裏磐梯または裏磐梯高原とも呼ばれ、 福島県 北部にある 磐梯山 、 安達太良山 、 吾妻山 に囲まれた標高800メートル程度の 高原 状の地域をいう。 磐梯朝日国立公園 に属する。","https://ja.wikipedia.org/wiki/裏磐梯","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"遠野市","[019遠野盆地岩手県] ","https://ja.wikipedia.org/wiki/遠野市","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯39度19分55.304秒東経141度31分58.39秒","〒028-0592岩手県遠野市中央通り9番1号北緯39度19分55.304秒東経141度31分58.39秒﻿ / ﻿北緯39.33202889度 東経141.5328861度﻿ /39.33202889; 141.5328861座標:北緯39度19分55.304秒東経141度31分58.39秒﻿ / ﻿北緯39.33202889度 東経141.5328861度﻿ /39.33202889; 141.5328861市庁舎位置遠野市役所庁舎（2017年12月17日撮影）","825.97km2","","","","","","","岩手県","","30.3人/km2","日本","公式ウェブサイト（日本語）","東北地方","","03208-5","25,022人（推計人口、2021年6月1日）","釜石市、花巻市、奥州市、宮古市、気仙郡住田町上閉伊郡：大槌町",""
"内間木洞","[020内間木洞岩手県] 内間木洞 （うちまぎどう）は 岩手県 久慈市 にある 鍾乳洞 。総延長は6,350mで 日本 で5番目に長い鍾乳洞である。","https://ja.wikipedia.org/wiki/内間木洞","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"重茂半島","[021重茂半島岩手県] 重茂半島 （おもえはんとう）は、 岩手県 南東部、 太平洋 に面する 半島 。無数の入り江と半島が連続する 三陸海岸 の中でも最大の半島。","https://ja.wikipedia.org/wiki/重茂半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"十二湖","[022十二湖・白神山地青森県] 十二湖 （じゅうにこ）は、 青森県 西津軽郡 深浦町 にある複数の 湖 の総称である。 白神山地 の一角で、 津軽国定公園 内にある。","https://ja.wikipedia.org/wiki/十二湖","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"飛島 (山形県)","[023飛島山形県] 飛島 （とびしま）は、 日本海 に浮かぶ 島 。 山形県 酒田市 に属する  。 離島振興対策実施地域 （ 1955年 指定）  。","https://ja.wikipedia.org/wiki/飛島_(山形県)","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯39度11分40秒東経139度33分0秒","日本山形県酒田市","2.73km²","68m","高森山","","日本海","10.2km","","","","","","","","","","","",""
"笹谷峠","[024笹谷峠宮城県・山形県] 笹谷峠 （ささやとうげ）は、 宮城県 と 山形県 とを結ぶ最古の 峠 である。標高906m。","https://ja.wikipedia.org/wiki/笹谷峠","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯38度13分41秒東経140度28分10秒","宮城県柴田郡川崎町・山形県山形市","","","","","","","906m","","蔵王連峰","","","","","","","","",""
"小笠原諸島","[025小笠原東京都] 小笠原諸島 （おがさわらしょとう）は、 東京都 小笠原村 の行政区域を指す。 東京都特別区 の南南東約1,000 キロメートル の 太平洋 上にある30余の 島々 からなる。総面積は104 平方キロメートル 。 南鳥島 、 沖ノ鳥島 を除いて 伊豆・小笠原・マリアナ島弧 （伊豆・小笠原弧）の一部をなす。小笠原諸島は別名を ボニン諸島 (Bonin Islands) という  。","https://ja.wikipedia.org/wiki/小笠原諸島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯27度4分40秒東経142度13分0秒","","106.1 km2(41.0 sq mi)","916 m (3,005 ft)","南硫黄島","","","","","東京都","","","","","","","","","",""
"上高地","[026上高地長野県] 上高地 （かみこうち）とは、 長野県 西部の 飛騨山脈 南部の 梓川 上流の 景勝地 である。 中部山岳国立公園 の一部ともなっており、国の 文化財 （ 特別名勝 ・ 特別天然記念物 ）に指定されている。 標高 約1,500 m 。全域が 松本市 に属する。「かみこうち」の名称は本来「神垣内」の 漢字 表記だが、後に現在の「上高地」の漢字表記が一般的となった。「神垣内」とは、 穂高神社 の祭神・「 穂高見命 」（ほたかみのみこと）が穂高岳に降臨し、この地（穂高神社奥宮と 明神池 ）で祀られていることに由来する。","https://ja.wikipedia.org/wiki/上高地","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"佐渡島","[027佐渡・外海府新潟県] 佐渡島 （さどがしま    、さどしま   ）は、 新潟県 西方沖に位置する 島 。全域が 新潟県 佐渡市 に属し、 佐渡弥彦米山国定公園 、 佐渡ジオパーク に含まれる。 人口 は52,135人（2020年5月1日現在）。","https://ja.wikipedia.org/wiki/佐渡島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯38度2分0秒東経138度22分0秒","日本（新潟県）","854.76km²","1,172m","金北山","","日本海","262.7km","","","","","","","","","","","",""
"秋山郷","[028秋山郷長野県・新潟県] 秋山郷 （あきやまごう）は、 新潟県 中魚沼郡 津南町 と 長野県 下水内郡 栄村 とにまたがる 中津川 沿いの地域の名称。東を 苗場山 、西を 鳥甲山 に挟まれた山間地域で、 日本の秘境100選 の1つである。新潟県側に8つ、長野県側に5つの集落がある  。","https://ja.wikipedia.org/wiki/秋山郷","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"遠山郷","[029遠山郷長野県] 遠山郷 （とおやまごう）は長野県の南端近く、 天竜川 の支流 遠山川 に沿って広がる山深い谷間の地域をいう。古くは旗本の 江儀遠山氏 の領地であった。行政区画上は、 飯田市 南信濃・飯田市上村（旧 下伊那郡 南信濃村 ・下伊那郡 上村 ）に位置する。信州三大秘境や  、 日本の秘境100選 のひとつに数えられている  。","https://ja.wikipedia.org/wiki/遠山郷","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"青木ヶ原","[030青木ヶ原樹海山梨県] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/青木ヶ原","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"尾瀬","[031尾瀬群馬県・新潟県・福島県] 尾瀬 （おぜ）は、 福島県 （ 南会津郡 檜枝岐村 ）・ 新潟県 （ 魚沼市 ）・ 群馬県 （ 利根郡 片品村 ）の3県にまたがる 高地 にある 盆地 状の 高原 であり、 阿賀野川 水系 最大の 支流 只見川 の源流域となっている。中心となる尾瀬ヶ原は約1万年前に形成されたと考えられる 湿原 である。 尾瀬国立公園 に指定され、 日本百景 に選定されている。","https://ja.wikipedia.org/wiki/尾瀬","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"奥鬼怒温泉郷","[032奥鬼怒栃木県] 奥鬼怒温泉郷 （おくきぬおんせんきょう）は、 栃木県 日光市 （旧国 下野国 ）川俣にある 温泉 の総称（ 温泉郷 ）である。 温泉郷のエリアは、一般に 女夫渕温泉 より先のエリアを指す。 鬼怒川 の源流部付近にあり、 鬼怒沼 、 尾瀬 への登山客の利用も多い。","https://ja.wikipedia.org/wiki/奥鬼怒温泉郷","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯36度52分7秒東経139度23分38秒","栃木県日光市川俣","","","","","","","","","","","","加仁湯八丁の湯日光沢温泉手白澤温泉","","","","","",""
"西沢渓谷と東沢渓谷","[033西沢渓谷山梨県] 西沢渓谷は 滝 や淵が連続して続く渓谷で トレッキング コースが整備され、比較的軽装でもその素晴らしさを堪能することができ、特に秋の紅葉は見事なので人気がある。コース最奥部には 日本の滝百選 に選ばれた、 七ツ釜五段ノ滝 （ 地図 ）や シャクナゲ の群落がある。トレッキングコースは危険防止のため、反時計回りの一方通行が推奨されており、最奥部からの折り返しは渓谷の右岸上方に残る森林鉄道跡（レールが残っている）の緩やかな道を辿り西沢渓谷の入口に戻る。","https://ja.wikipedia.org/wiki/西沢渓谷と東沢渓谷","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"大菩薩峠","[034大菩薩峠山梨県] 大菩薩峠 （だいぼさつとうげ）は、 山梨県 甲州市 塩山上萩原と 北都留郡 小菅村 鞍部の境にある 峠 。 標高 1,897 m  。 大菩薩嶺 （標高2,057m）の南方約2kmに位置する尾根の鞍部である   。","https://ja.wikipedia.org/wiki/大菩薩峠","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯35度44分9秒東経138度51分12秒","山梨県甲州市・北都留郡小菅村","","","","","","","1,897m","","大菩薩連嶺・奥秩父山塊","","","","","","","","",""
"上路の里 (存在しないページ)","[035上路の里新潟県]","https://ja.wikipedia.org/w/index.php?title=上路の里&amp;action=edit&amp;redlink=1","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"木曽谷","[036木曽路長野県] 木曽谷 （木曾谷、きそだに）とは、 木曽川 上流の 流域 を表す名称である。木曽川の浸食により形成された V字谷 状地形が延長約60kmにわたっており、その主線はおおむね北北東から南南西の方角に沿う。東南方面には 木曽山脈 （中央アルプス）が、西北方面には 御嶽山系 がある。現在の 長野県 南西部が主な地域である。地形的には 鳥居峠 以南の木曽川上流の流域をさすが、歴史的には 木曽路 をさすことがある  。木曽谷、木曾谷の表記については 木曽 を参照。","https://ja.wikipedia.org/wiki/木曽谷","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"奥裾花","[037奥裾花長野県] 奥裾花自然園 （おくすそばなしぜんえん）は、 長野県 長野市 鬼無里（旧 鬼無里（きなさ）村 ）の、 裾花川 上流域にある、 ブナ 林に囲まれた自然公園。大小5つの 池 および 湿原 と水路から成る。自生する ミズバショウ の本数は 尾瀬 を上回る81万本であり、本州随一。 日本の秘境100選 のひとつ。","https://ja.wikipedia.org/wiki/奥裾花","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"鍋倉山 (存在しないページ)","[038鍋倉山長野県・新潟県]","https://ja.wikipedia.org/w/index.php?title=鍋倉山&amp;action=edit&amp;redlink=1","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"奥日光","[039奥日光栃木県・群馬県] 奥日光 （おくにっこう）は、 栃木県 日光市 の 日光連山 から 金精峠 付近にかけての秘境を指す俗称である。一般的には 竜頭滝 より上の 日光連山 の西麓から 金精峠 の東麓にかけた地域を指し、狭義にはこの地域の 国有林 地のうち「奥日光」の住所地を指す。また 中禅寺湖 畔を含める場合や、日光市に接する 群馬県 利根郡 片品村 の金精峠西麓を含めることもある。","https://ja.wikipedia.org/wiki/奥日光","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"足尾銅山","[040足尾銅山跡栃木県] 足尾銅山 （あしおどうざん）は、 栃木県 上都賀郡 足尾町 （現在の 日光市 足尾地区）にあった 銅山 （ 銅 の 鉱山 ）。「足尾銅山跡」として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/足尾銅山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯36度38分0秒東経139度26分23秒","上都賀郡足尾町（現在の日光市足尾地区）","","","","","","","","","","","日本","","","","","","",""
"奥那須 (存在しないページ)","[041奥那須栃木県]","https://ja.wikipedia.org/w/index.php?title=奥那須&amp;action=edit&amp;redlink=1","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"奥秩父山塊","[042奥秩父/両神山埼玉県] 奥秩父山塊 （おくちちぶさんかい）とは、 野辺山高原 の南東に位置する 飯盛山 （1643 メートル ）から 雲取山 （2017メートル）および南は 三窪高原 まで、広くはそれに東は 奥多摩 エリア、北は 両神山 （1723メートル）付近、南は 大菩薩連嶺 までを加えた 山塊 で 関東山地 の中心部をなす。 奥秩父山地 （おくちちぶさんち）ともいう。","https://ja.wikipedia.org/wiki/奥秩父山塊","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯35度52分07秒東経138度40分15秒","東京都・埼玉県・山梨県・長野県","","","北奥千丈岳（2601m）","北緯35度52分07秒東経138度40分15秒﻿ / ﻿北緯35.86861度 東経138.67083度﻿ /35.86861; 138.67083座標:北緯35度52分07秒東経138度40分15秒﻿ / ﻿北緯35.86861度 東経138.67083度﻿ /35.86861; 138.67083","","","","","","","","","","","","","",""
"青ヶ島","[043青ヶ島東京都] 青ヶ島 （あおがしま）は、 伊豆諸島 に属する 火山島 で、本諸島の有人島としては最南端にある。日本の 気象庁 によって火山活動度ランクCの 活火山 に指定されており  、また、 常時観測火山 にも選定されている   。全島が 青ヶ島村 に属するが、産業に乏しく 本土 との往来も難しいため、人口減少が続いており、 2019年 においては170人程度しか 定住 していない。","https://ja.wikipedia.org/wiki/青ヶ島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯32度27分28秒東経139度45分33秒","日本東京都青ヶ島村","5.97km²","423m","大凸部","","太平洋(フィリピン海)","9km","","","","35.8人/ｋm²","","","","","","","",""
"奥久慈 (存在しないページ)","[044奥久慈茨城県]","https://ja.wikipedia.org/w/index.php?title=奥久慈&amp;action=edit&amp;redlink=1","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"黒部峡谷","[045黒部峡谷富山県] 黒部峡谷 （くろべきょうこく）は、 富山県 黒部市 、 黒部川 中流 - 上流にある 峡谷 （ V字谷 ）である。 飛騨山脈 北部を 立山連峰 と 後立山連峰 に分断する大規模な峡谷で、国の 特別天然記念物 （天然保護区域）及び 特別名勝 指定。 中部山岳国立公園 に含まれる。 清津渓谷 、 大杉谷 とともに 日本三大渓谷 に選定され、また 日本の秘境百選 の一つにも挙げられている。","https://ja.wikipedia.org/wiki/黒部峡谷","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"能登外浦海岸","[046能登外浦海岸石川県] 能登外浦海岸 （のとそとうらかいがん）とは、 能登半島 の外側、つまり、 富山湾 側ではない 日本海 外洋に面した側の海岸である。","https://ja.wikipedia.org/wiki/能登外浦海岸","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"白山市白峰","[047白山北麓石川県] 白山市白峰 （はくさんししらみね）は、 石川県 白山市 にある 重要伝統的建造物群保存地区 。白山市（旧： 石川郡 白峰村 ）白峰の一部、約10.7haの範囲である。","https://ja.wikipedia.org/wiki/白山市白峰","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯36度10分28秒東経136度37分33秒","石川県白山市","10.7ha","","","","","","","","","","","","","","","","",""
"五箇山","[048五箇山・白川郷富山県・岐阜県] 五箇山 （ごかやま）は、 富山県 の南西端にある 南砺市 の旧 平村 、旧 上平村 、旧 利賀村 を合わせた地域を指す。","https://ja.wikipedia.org/wiki/五箇山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"寸又峡","[049寸又峡・大井川源流静岡県] 寸又峡 （すまたきょう）は 静岡県 中部、 川根本町 にある 大井川 支流、 寸又川 の 峡谷 。全長16kmで、比高は100mに達する。","https://ja.wikipedia.org/wiki/寸又峡","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"柿田川","[050柿田川静岡県] 柿田川 （かきたがわ   、かきだがわ  ）とは、 静岡県 駿東郡 清水町 を流れる 狩野川 水系 の 一級河川 。","https://ja.wikipedia.org/wiki/柿田川","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"長良川","[051長良川上流岐阜県] 長良川 （ながらがわ）は、 岐阜県 郡上市 の 大日ヶ岳 に源を発し、 三重県 を経て 揖斐川 と合流し、 伊勢湾 に注ぐ 木曽川 水系の 一級河川 である。 濃尾平野 を流れる 木曽三川 のひとつ。なお、 下流 の一部では 愛知県 にも面し、岐阜県との 県境 を成している。 四万十川 ・ 柿田川 とともに「 日本三大清流 の一つ」と呼ばれる。","https://ja.wikipedia.org/wiki/長良川","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"岩村城","[052岩村城跡岐阜県] 岩村城 （いわむらじょう）は 岐阜県 恵那市 岩村町 にある中世の 日本の城 （ 山城跡 ）で、 岩村遠山氏 が建造し代々城主となっていたが、戦国時代末期に 団忠正 や 河尻秀隆 が城主となった時期もあった。 江戸時代 には 岩村藩 の城となった。付近は 霧 が多く発生するため、別名・霧ヶ城とも呼ばれる。 中津川市 の 苗木城 、 可児市 の 兼山城 と並び 岐阜 の三 山城 と称される。岐阜県指定史跡  。","https://ja.wikipedia.org/wiki/岩村城","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯35度21分35.75秒東経137度27分3.68秒","","","","","北緯35度21分35.75秒東経137度27分3.68秒﻿ / ﻿北緯35.3599306度 東経137.4510222度﻿ /35.3599306; 137.4510222","","","","","","","","","","","","","",""
