"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","種類","市場情報","本社所在地","設立"
"東栄駅","東栄駅（とうえいえき）","https://ja.wikipedia.org/wiki/東栄駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","CD飯田線","51.2 km（豊橋起点）","東海旅客鉄道（JR東海）","","地上駅","1933年（昭和8年）12月21日","1面2線","駅員無配置駅","トエ","","","66人/日（降車客含まず）-2019年-","","","","","","",""
"東海駅","東海駅（とうかいえき）","https://ja.wikipedia.org/wiki/東海駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","■常磐線","130.0 km（日暮里起点）","東日本旅客鉄道（JR東日本）","","地上駅（橋上駅）","1898年（明治31年）4月1日","2面3線","業務委託駅みどりの窓口有*1957年（昭和32年）に石神駅から改称","トカ","","","5,055人/日（降車客含まず）-2019年-","","","","","","",""
"東海学園前駅","東海学園前駅（とうかいがくえんまええき）","https://ja.wikipedia.org/wiki/東海学園前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯32度48分41.60秒東経130度44分34.30秒","■豊肥本線","140.2 km（熊本起点）","九州旅客鉄道（JR九州）","熊本市東区渡鹿九丁目1-1[1][2]北緯32度48分41.60秒東経130度44分34.30秒","地上駅","1986年（昭和61年）11月1日[1]","1面1線[1]","業務委託駅[2]","トカ","","","1,749人/日（降車客含まず）-2019年-","","","","","","",""
"東海大学前駅","東海大学前駅（とうかいだいがくまええき）","https://ja.wikipedia.org/wiki/東海大学前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度22分23秒東経139度16分16秒","小田原線","57.0 km（新宿起点）","小田急電鉄","神奈川県秦野市南矢名一丁目1-1北緯35度22分23秒東経139度16分16秒﻿ / ﻿北緯35.37306度 東経139.27111度﻿ /35.37306; 139.27111座標:北緯35度22分23秒東経139度16分16秒﻿ / ﻿北緯35.37306度 東経139.27111度﻿ /35.37306; 139.27111","地上駅（橋上駅）","1927年（昭和2年）4月1日*","2面2線","","","OH38","38,909人/日-2019年-","","","","","","","",""
"十日市町停留場","十日市町停留場（とうかいちまちていりゅうじょう）","https://ja.wikipedia.org/wiki/十日市町停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度23分50.46秒東経132度26分51.54秒","■本線","3.1 km（広島駅起点）","広島電鉄","広島市中区十日市町一丁目北緯34度23分50.46秒東経132度26分51.54秒﻿ / ﻿北緯34.3973500度 東経132.4476500度﻿ /34.3973500; 132.4476500﻿ (十日市町停留場)座標:北緯34度23分50.46秒東経132度26分51.54秒﻿ / ﻿北緯34.3973500度 東経132.4476500度﻿ /34.3973500; 132.4476500﻿ (十日市町停留場)","地上駅","1917年（大正6年）11月1日","3面3線","","","●M12","4,855[1]人/日-2019年-","","","","","","","",""
"東海通駅","東海通駅（とうかいどおりえき）","https://ja.wikipedia.org/wiki/東海通駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度6分48秒東経136度53分9.8秒","名港線","3.8 km（金山起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市港区東海通三丁目177北緯35度6分48秒東経136度53分9.8秒﻿ / ﻿北緯35.11333度 東経136.886056度﻿ /35.11333; 136.886056座標:北緯35度6分48秒東経136度53分9.8秒﻿ / ﻿北緯35.11333度 東経136.886056度﻿ /35.11333; 136.886056","地下駅","1971年（昭和46年）3月29日","2面2線","","","E04","14,689[1]人/日-2019年-","7,461人/日（降車客含まず）-2019年-","","","","","","",""
"東金駅","東金駅（とうがねえき）","https://ja.wikipedia.org/wiki/東金駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度33分36.9秒東経140度21分48.9秒","■東金線","5.8 km（大網起点）","東日本旅客鉄道（JR東日本）","千葉県東金市東金585北緯35度33分36.9秒東経140度21分48.9秒座標:北緯35度33分36.9秒 東経140度21分48.9秒","地上駅","1900年（明治33年）6月30日[1]","2面2線","業務委託駅","トカ","","","4,187人/日（降車客含まず）-2019年-","","","","","","",""
"東京駅","東京駅（とうきょうえき）","https://ja.wikipedia.org/wiki/東京駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）東京地下鉄（東京メトロ・駅詳細）","東京都千代田区丸の内一丁目","","","","","","","","","","","","","","",""
"東京貨物ターミナル駅","東京貨物ターミナル駅（とうきょうかもつターミナルえき）","https://ja.wikipedia.org/wiki/東京貨物ターミナル駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度35分45秒東経139度45分28秒","東海道本線貨物支線（東海道貨物線）","7.1 km（浜松町起点）","日本貨物鉄道（JR貨物）東日本旅客鉄道（JR東日本）**","東京都品川区八潮3丁目3-22北緯35度35分45秒東経139度45分28秒﻿ / ﻿北緯35.59583度 東経139.75778度﻿ /35.59583; 139.75778座標:北緯35度35分45秒東経139度45分28秒﻿ / ﻿北緯35.59583度 東経139.75778度﻿ /35.59583; 139.75778","地上駅","1973年（昭和48年）10月1日","","","タミ","","","","","","","","","",""
"東京国際クルーズターミナル駅","東京国際クルーズターミナル駅（とうきょうこくさいクルーズターミナルえき）","https://ja.wikipedia.org/wiki/東京国際クルーズターミナル駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度37分16.8秒東経139度46分23.1秒","東京臨海新交通臨海線","8.4 km（新橋起点）","ゆりかもめ","東京都江東区青海一丁目1-49北緯35度37分16.8秒東経139度46分23.1秒﻿ / ﻿北緯35.621333度 東経139.773083度﻿ /35.621333; 139.773083﻿ (東京国際クルーズターミナル駅)座標:北緯35度37分16.8秒東経139度46分23.1秒﻿ / ﻿北緯35.621333度 東経139.773083度﻿ /35.621333; 139.773083﻿ (東京国際クルーズターミナル駅)","高架駅","1995年（平成7年）11月1日[1]","1面2線","無人駅*2019年に船の科学館駅から改称。","","U08","3,537人/日-2018年-","1,674人/日（降車客含まず）-2018年-","","","","","","",""
"とうきょうスカイツリー駅","とうきょうスカイツリー駅","https://ja.wikipedia.org/wiki/とうきょうスカイツリー駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度42分37.3秒東経139度48分32.5秒","■伊勢崎線（東武スカイツリーライン）","1.1 km（浅草起点）","東武鉄道","東京都墨田区押上一丁目北緯35度42分37.3秒東経139度48分32.5秒﻿ / ﻿北緯35.710361度 東経139.809028度﻿ /35.710361; 139.809028座標:北緯35度42分37.3秒東経139度48分32.5秒﻿ / ﻿北緯35.710361度 東経139.809028度﻿ /35.710361; 139.809028","高架駅","1902年（明治35年）4月1日","1面2線","","","TS02","16,047人/日-2019年-","","","","","","","",""
"東京ディズニーシー・ステーション駅","東京ディズニーシー・ステーション駅（とうきょうディズニーシーステーションえき）","https://ja.wikipedia.org/wiki/東京ディズニーシー・ステーション駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度37分38.6秒東経139度53分22.1秒","ディズニーリゾートライン","3.7 km（リゾートゲートウェイ・ステーション起点）","舞浜リゾートライン","千葉県浦安市舞浜北緯35度37分38.6秒東経139度53分22.1秒﻿ / ﻿北緯35.627389度 東経139.889472度﻿ /35.627389; 139.889472﻿ (東京ディズニーシー・ステーション駅)","高架駅","2001年（平成13年）7月27日[1]","2面1線","","","","","24,017人/日（降車客含まず）-2018年-","","","","","","",""
"東京ディズニーランド・ステーション駅","東京ディズニーランド・ステーション駅（とうきょうディズニーランドステーションえき）","https://ja.wikipedia.org/wiki/東京ディズニーランド・ステーション駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度38分9.2秒東経139度52分43.1秒","ディズニーリゾートライン","0.6 km（リゾートゲートウェイ・ステーション起点）","舞浜リゾートライン","千葉県浦安市舞浜北緯35度38分9.2秒東経139度52分43.1秒﻿ / ﻿北緯35.635889度 東経139.878639度﻿ /35.635889; 139.878639﻿ (東京ディズニーランド・ステーション駅)","高架駅","2001年（平成13年）7月27日[1]","1面1線","","","","","10,453人/日（降車客含まず）-2018年-","","","","","","",""
"東京テレポート駅","東京テレポート駅（とうきょうテレポートえき）","https://ja.wikipedia.org/wiki/東京テレポート駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度37分39秒東経139度46分44秒","●りんかい線","4.9 km（新木場起点）","東京臨海高速鉄道","東京都江東区青海一丁目2-1北緯35度37分39秒東経139度46分44秒﻿ / ﻿北緯35.62750度 東経139.77889度﻿ /35.62750; 139.77889﻿ (東京テレポート駅)座標:北緯35度37分39秒東経139度46分44秒﻿ / ﻿北緯35.62750度 東経139.77889度﻿ /35.62750; 139.77889﻿ (東京テレポート駅)","地下駅","1996年（平成8年）3月30日[1]","1面2線","","テレ","R04","","34,652人/日（降車客含まず）-2019年-","","","","","","",""
"東京ビッグサイト駅","東京ビッグサイト駅（とうきょうビッグサイトえき）","https://ja.wikipedia.org/wiki/東京ビッグサイト駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度37分48.8秒東経139度47分28.9秒","東京臨海新交通臨海線","11.3 km（新橋起点）","ゆりかもめ","東京都江東区有明三丁目6-15北緯35度37分48.8秒東経139度47分28.9秒﻿ / ﻿北緯35.630222度 東経139.791361度﻿ /35.630222; 139.791361﻿ (東京ビッグサイト駅)座標:北緯35度37分48.8秒東経139度47分28.9秒﻿ / ﻿北緯35.630222度 東経139.791361度﻿ /35.630222; 139.791361﻿ (東京ビッグサイト駅)","高架駅","1995年（平成7年）11月1日[1]","1面2線","無人駅*2019年に国際展示場正門駅から改称。","","U11","20,444人/日-2018年-","10,134人/日（降車客含まず）-2018年-","","","","","","",""
"峠駅","峠駅（とうげえき）","https://ja.wikipedia.org/wiki/峠駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯37度48分42.82秒東経140度14分9.07秒","■奥羽本線（山形線）","24.5 km（福島起点）","東日本旅客鉄道（JR東日本）","山形県米沢市大字大沢字峠北緯37度48分42.82秒東経140度14分9.07秒座標:北緯37度48分42.82秒 東経140度14分9.07秒","地上駅","1899年（明治32年）8月1日","1面2線","無人駅","ウケ","","","10人/日（降車客含まず）-2004年-","","","","","","",""
"峠下駅","峠下駅（とうげしたえき）","https://ja.wikipedia.org/wiki/峠下駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯43度51分2.78秒東経141度49分8.00秒","留萌本線","28.3 km（深川起点）","北海道旅客鉄道（JR北海道）","北海道留萌市留萌村峠下北緯43度51分2.78秒東経141度49分8.00秒","地上駅","1910年（明治43年）11月23日","2面2線","無人駅","トタ","","","","","","","","","",""
"碓氷峠鉄道文化むら","とうげのゆ駅","https://ja.wikipedia.org/wiki/碓氷峠鉄道文化むら#トロッコ列車・シェルパ君","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度20分11.07秒東経138度44分1.13秒","","","","〒379-0301群馬県安中市松井田町横川407-16","","","","","","","","","","","www.usuitouge.com/bunkamura/index.php","","","",""
"桃源台駅","桃源台駅（とうげんだいえき）","https://ja.wikipedia.org/wiki/桃源台駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度14分16.3秒東経138度59分40.5秒","箱根ロープウェイ","4.0 km（早雲山起点）","箱根ロープウェイ","神奈川県足柄下郡箱根町元箱根164北緯35度14分16.3秒東経138度59分40.5秒﻿ / ﻿北緯35.237861度 東経138.994583度﻿ /35.237861; 138.994583座標:北緯35度14分16.3秒東経138度59分40.5秒﻿ / ﻿北緯35.237861度 東経138.994583度﻿ /35.237861; 138.994583","","1960年（昭和35年）9月7日","","標高741m","","OH65","","","","","","","","",""
"東港駅","東港駅（とうこうえき）","https://ja.wikipedia.org/wiki/東港駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度4分52.9秒東経136度54分13.3秒","東港線","3.8 km（笠寺起点）","","愛知県名古屋市南区滝春町12-3北緯35度4分52.9秒東経136度54分13.3秒﻿ / ﻿北緯35.081361度 東経136.903694度﻿ /35.081361; 136.903694座標:北緯35度4分52.9秒東経136度54分13.3秒﻿ / ﻿北緯35.081361度 東経136.903694度﻿ /35.081361; 136.903694","地上駅","1965年（昭和40年）8月20日","","貨物専用駅","","","","","","","","","","",""
"東郷駅","東郷駅（とうごうえき）","https://ja.wikipedia.org/wiki/東郷駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度47分40.96秒東経130度31分43.7秒","JA鹿児島本線","50.7 km（門司港起点）","九州旅客鉄道（JR九州）","福岡県宗像市田熊四丁目9-1北緯33度47分40.96秒東経130度31分43.7秒﻿ / ﻿北緯33.7947111度 東経130.528806度﻿ /33.7947111; 130.528806座標:北緯33度47分40.96秒東経130度31分43.7秒﻿ / ﻿北緯33.7947111度 東経130.528806度﻿ /33.7947111; 130.528806","地上駅（橋上駅）","1913年（大正2年）4月1日[1]","2面2線","業務委託駅みどりの窓口有","トウ","JA  13 ","","5,204人/日（降車客含まず）-2019年-","","","","","","",""
"東光寺駅","東光寺駅（とうこうじえき）","https://ja.wikipedia.org/wiki/東光寺駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯37度35分34.17秒東経138度56分33.59秒","■信越本線","91.1 km（直江津起点）","東日本旅客鉄道（JR東日本）","新潟県三条市金子新田[1]北緯37度35分34.17秒東経138度56分33.59秒﻿ / ﻿北緯37.5928250度 東経138.9426639度﻿ /37.5928250; 138.9426639座標:北緯37度35分34.17秒東経138度56分33.59秒﻿ / ﻿北緯37.5928250度 東経138.9426639度﻿ /37.5928250; 138.9426639","地上駅","1953年（昭和28年）7月1日*[1]","2面2線[1]","無人駅[1]（自動券売機 有）","トコ","","","","","","","","","",""
"道後温泉駅","道後温泉駅（どうごおんせんえき）","https://ja.wikipedia.org/wiki/道後温泉駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度51分1.5秒東経132度47分6秒","城南線","0.0 km（道後温泉起点）","伊予鉄道","愛媛県松山市道後町1丁目北緯33度51分1.5秒東経132度47分6秒座標:北緯33度51分1.5秒 東経132度47分6秒","地上駅","1895年8月22日","2面2線","","","24","3188[1]人/日-2015年-","","","","","","","",""
"道後公園停留場","道後公園停留場（どうごこうえんていりゅうじょう）","https://ja.wikipedia.org/wiki/道後公園停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度50分54.02秒東経132度47分5.77秒","城南線","0.3 km（道後温泉起点）","伊予鉄道","愛媛県松山市北緯33度50分54.02秒東経132度47分5.77秒座標:北緯33度50分54.02秒 東経132度47分5.77秒","地上駅","","2面2線","","","23","724[1]人/日-2015年-","","","","","","","",""
"道後山駅","道後山駅（どうごやまえき）","https://ja.wikipedia.org/wiki/道後山駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度0分39.22秒東経133度10分41.77秒","P芸備線","37.8km（備中神代起点）新見から44.2 km","西日本旅客鉄道（JR西日本）","広島県庄原市西城町高尾北緯35度0分39.22秒東経133度10分41.77秒﻿ / ﻿北緯35.0108944度 東経133.1782694度﻿ /35.0108944; 133.1782694座標:北緯35度0分39.22秒東経133度10分41.77秒﻿ / ﻿北緯35.0108944度 東経133.1782694度﻿ /35.0108944; 133.1782694","地上駅","1936年（昭和11年）11月21日","1面1線","無人駅","トコ","","","0人/日（降車客含まず）-2018年-","","","","","","",""
"東寺駅","東寺駅（とうじえき）","https://ja.wikipedia.org/wiki/東寺駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度58分47.59秒東経135度45分9.48秒","B京都線","0.9 km（京都起点）","近畿日本鉄道（近鉄）","京都市南区西九条蔵王町39北緯34度58分47.59秒東経135度45分9.48秒﻿ / ﻿北緯34.9798861度 東経135.7526333度﻿ /34.9798861; 135.7526333﻿ (東寺駅)座標:北緯34度58分47.59秒東経135度45分9.48秒﻿ / ﻿北緯34.9798861度 東経135.7526333度﻿ /34.9798861; 135.7526333﻿ (東寺駅)","高架駅","1928年（昭和3年）11月15日","2面2線","","トウシ"," B02 ","（全日）7,377人/日-2019年-","","","","","","","",""
"等持院・立命館大学衣笠キャンパス前駅","等持院・立命館大学衣笠キャンパス前駅（とうじいんりつめいかんだいがくきぬがさきゃんぱすまええき）","https://ja.wikipedia.org/wiki/等持院・立命館大学衣笠キャンパス前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度1分40.34秒東経135度43分26.28秒","■北野線","0.7 km（北野白梅町起点）","京福電気鉄道","京都市北区等持院西町北緯35度1分40.34秒東経135度43分26.28秒﻿ / ﻿北緯35.0278722度 東経135.7239667度﻿ /35.0278722; 135.7239667座標:北緯35度1分40.34秒東経135度43分26.28秒﻿ / ﻿北緯35.0278722度 東経135.7239667度﻿ /35.0278722; 135.7239667","地上駅","1925年（大正14年）11月3日","相対式2面2線","","","●B8","825人/日-2019年-","","","","","","","",""
"同志社前駅","同志社前駅（どうししゃまええき）","https://ja.wikipedia.org/wiki/同志社前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度48分19.22秒東経135度46分42.19秒","H片町線（学研都市線）","10.5 km（木津起点）","西日本旅客鉄道（JR西日本）","京都府京田辺市三山木垣ノ内61北緯34度48分19.22秒東経135度46分42.19秒﻿ / ﻿北緯34.8053389度 東経135.7783861度﻿ /34.8053389; 135.7783861座標:北緯34度48分19.22秒東経135度46分42.19秒﻿ / ﻿北緯34.8053389度 東経135.7783861度﻿ /34.8053389; 135.7783861","地上駅","1986年（昭和61年）4月1日","1面1線","業務委託駅","トシ","JR-H23","","4,637人/日（降車客含まず）-2019年-","興戸駅（近鉄京都線）","","","","","",""
"陶磁資料館南駅","陶磁資料館南駅（とうじしりょうかんみなみえき）","https://ja.wikipedia.org/wiki/陶磁資料館南駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度10分46秒東経137度5分50秒","■東部丘陵線（リニモ）","8.0 km（藤が丘起点）","愛知高速交通","愛知県豊田市八草町北緯35度10分46秒東経137度5分50秒﻿ / ﻿北緯35.17944度 東経137.09722度﻿ /35.17944; 137.09722座標:北緯35度10分46秒東経137度5分50秒﻿ / ﻿北緯35.17944度 東経137.09722度﻿ /35.17944; 137.09722","高架駅","2005年（平成17年）3月6日[1]","1面2線","シンボルマーク：","","L08","282人/日-2019年-","","","","","","","",""
"堂島駅","堂島駅（どうじまえき）","https://ja.wikipedia.org/wiki/堂島駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","■磐越西線","70.1 km（郡山起点）","東日本旅客鉄道（JR東日本）","","地上駅","1934年（昭和9年）11月1日[1]","1面1線[2]","無人駅[2]","トシ","","","33人/日（降車客含まず）-2004年-","","","","","","",""
