"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"八甲田山","11はっこうだおおだけ八甲田大岳八甲田山1,584.6地理院地図Googleマップ北緯40度39分32秒東経140度52分38秒﻿ / ﻿北緯40.658912度 東経140.877243度﻿ /40.658912; 140.877243﻿ (八甲田大岳)日本百名山新日本百名山新・花の百名山八甲田山","https://ja.wikipedia.org/wiki/ファイル:3_Peaks_Hakkōda.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"岩木山","12いわきさん岩木山岩木山1,624.7地理院地図Googleマップ北緯40度39分21秒東経140度18分11秒﻿ / ﻿北緯40.655920度 東経140.303069度﻿ /40.655920; 140.303069﻿ (岩木山)日本百名山新日本百名山","https://ja.wikipedia.org/wiki/ファイル:Iwakisan_01.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"白神岳","13しらかみだけ白神岳白神岳1,232.3地理院地図Googleマップ北緯40度30分13秒東経140度01分07秒﻿ / ﻿北緯40.503644度 東経140.018665度﻿ /40.503644; 140.018665﻿ (白神岳)日本二百名山新日本百名山ブナ原生林","https://ja.wikipedia.org/wiki/ファイル:Sirakami_dake.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"森吉山","14もりよしざん森吉山森吉山1,454.3地理院地図Googleマップ北緯39度58分36秒東経140度32分39秒﻿ / ﻿北緯39.976760度 東経140.544163度﻿ /39.976760; 140.544163﻿ (森吉山)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:Moriyosizan.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"岩手山","15いわてさん岩手山岩手山2,038.1地理院地図Googleマップ北緯39度51分09秒東経141度00分04秒﻿ / ﻿北緯39.852616度 東経141.001004度﻿ /39.852616; 141.001004﻿ (岩手山)日本百名山新日本百名山薬師岳","https://ja.wikipedia.org/wiki/ファイル:Iwate-san.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"秋田駒ヶ岳","16あきたこまがたけ秋田駒ガ岳駒ケ岳1,637.3地理院地図Googleマップ北緯39度45分40秒東経140度47分58秒﻿ / ﻿北緯39.761105度 東経140.799365度﻿ /39.761105; 140.799365﻿ (秋田駒ガ岳)日本二百名山新日本百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Akitakoma-take2.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"早池峰山","17はやちねさん早池峰山早池峯1,913.6地理院地図Googleマップ北緯39度33分30秒東経141度29分20秒﻿ / ﻿北緯39.558358度 東経141.489014度﻿ /39.558358; 141.489014﻿ (早池峰山)日本百名山新日本百名山花の百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:初冬の早池峰山.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"五葉山","18ごようざん五葉山五葉山1,340.9地理院地図Googleマップ北緯39度12分14秒東経141度43分45秒﻿ / ﻿北緯39.203978度 東経141.729101度﻿ /39.203978; 141.729101﻿ (五葉山)日本三百名山花の百名山","https://ja.wikipedia.org/wiki/ファイル:Mt_Gyozan.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"焼石岳","19やけいしだけ焼石岳焼石岳1,547.7地理院地図Googleマップ北緯39度09分49秒東経140度49分44秒﻿ / ﻿北緯39.163683度 東経140.828812度﻿ /39.163683; 140.828812﻿ (焼石岳)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:Yakiisidake.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"栗駒山","20くりこまやま栗駒山酢川岳1,626.7地理院地図Googleマップ北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.960922度 東経140.788403度﻿ /38.960922; 140.788403﻿ (栗駒山)日本二百名山新日本百名山花の百名山新・花の百名山須川岳","https://ja.wikipedia.org/wiki/ファイル:栗駒山.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鳥海山","21ちょうかいざん鳥海山鳥海山2,229.2地理院地図Googleマップ北緯39度05分58秒東経140度03分05秒﻿ / ﻿北緯39.099516度 東経140.051278度﻿ /39.099516; 140.051278﻿ (鳥海山)日本百名山新日本百名山花の百名山新・花の百名山七高山","https://ja.wikipedia.org/wiki/ファイル:Chokai-san2.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"月山","22がっさん月山月山1,980.0地理院地図Googleマップ北緯38度32分58秒東経140度01分37秒﻿ / ﻿北緯38.549461度 東経140.027015度﻿ /38.549461; 140.027015﻿ (月山)日本百名山新日本百名山花の百名山新・花の百名山出羽三山","https://ja.wikipedia.org/wiki/ファイル:Gassan.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"以東岳","23いとうだけ以東岳以東ケ岳1,772.0地理院地図Googleマップ北緯38度20分35秒東経139度50分57秒﻿ / ﻿北緯38.342958度 東経139.849045度﻿ /38.342958; 139.849045﻿ (以東岳)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:以東岳.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"飯豊山","24いいでさん飯豊山飯豊山2,105.2地理院地図Googleマップ北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.854834度 東経139.707095度﻿ /37.854834; 139.707095﻿ (飯豊山)日本百名山飯豊本山","https://ja.wikipedia.org/wiki/ファイル:Iidehonzan.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"蔵王連峰","25びょうぶだけ屏風岳屏風岳1,817.1地理院地図Googleマップ北緯38度05分40秒東経140度28分35秒﻿ / ﻿北緯38.094419度 東経140.476322度﻿ /38.094419; 140.476322﻿ (屏風岳)日本百名山蔵王連峰","https://ja.wikipedia.org/wiki/ファイル:蔵王連峰.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"博士山","26はかせやま博士山博士山1,482.0地理院地図Googleマップ北緯37度21分47秒東経139度42分53秒﻿ / ﻿北緯37.363167度 東経139.714738度﻿ /37.363167; 139.714738﻿ (博士山)","https://ja.wikipedia.org/wiki/ファイル:Mt._Hakaseyama_0811.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"七ヶ岳","27ななつがたけ七ガ岳七ツケ岳1,635.9地理院地図Googleマップ北緯37度07分27秒東経139度39分27秒﻿ / ﻿北緯37.124280度 東経139.657471度﻿ /37.124280; 139.657471﻿ (七ガ岳)日本三百名山七ヶ岳","https://ja.wikipedia.org/wiki/ファイル:Mt._Nanatsugatake_0811.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"浅草岳","28あさくさだけ浅草岳浅草岳1,585.5地理院地図Googleマップ北緯37度20分37秒東経139度14分01秒﻿ / ﻿北緯37.343589度 東経139.233565度﻿ /37.343589; 139.233565﻿ (浅草岳)日本三百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Mt._Asakusadake_0810.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"会津駒ヶ岳","29あいづこまがたけ会津駒ガ岳岩駒ケ岳2,132.6地理院地図Googleマップ北緯37度02分51秒東経139度21分14秒﻿ / ﻿北緯37.047601度 東経139.353789度﻿ /37.047601; 139.353789﻿ (会津駒ガ岳)日本百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:会津駒ヶ岳02.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"三本槍岳","30さんぼんやりだけ三本槍岳三倉山1,916.9地理院地図Googleマップ北緯37度09分01秒東経139度57分41秒﻿ / ﻿北緯37.150143度 東経139.961402度﻿ /37.150143; 139.961402﻿ (三本槍岳)日本百名山那須岳","https://ja.wikipedia.org/wiki/ファイル:Sanbonyaridake_080811.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"男体山","31なんたいさん男体山男体山2,484.2地理院地図Googleマップ北緯36度45分55秒東経139度29分27秒﻿ / ﻿北緯36.765141度 東経139.490821度﻿ /36.765141; 139.490821﻿ (男体山)日本百名山新日本百名山","https://ja.wikipedia.org/wiki/ファイル:Mount_nantai_and_lake_chuzenji.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"袈裟丸山","32画 像 募 集 中けさまるやま袈裟丸山袈裟丸山1,878.2地理院地図Googleマップ北緯36度37分40秒東経139度19分46秒﻿ / ﻿北緯36.627669度 東経139.329381度﻿ /36.627669; 139.329381﻿ (袈裟丸山)日本三百名山","https://ja.wikipedia.org/wiki/ファイル:Gthumb.svg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"赤城山","33じぞうだけ地蔵岳赤城山1,673.9地理院地図Googleマップ北緯36度32分28秒東経139度10分38秒﻿ / ﻿北緯36.541000度 東経139.177345度﻿ /36.541000; 139.177345﻿ (地蔵岳)花の百名山赤城山","https://ja.wikipedia.org/wiki/ファイル:Akagiyama_ono.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"武尊山","34ほたかやま武尊山武尊山2,158.0地理院地図Googleマップ北緯36度48分19秒東経139度07分57秒﻿ / ﻿北緯36.805190度 東経139.132594度﻿ /36.805190; 139.132594﻿ (武尊山)日本百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Mt_Joshu-Hotaka_2005.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"一ノ倉岳","35いちのくらだけ一ノ倉岳谷川富士1,974.2地理院地図Googleマップ北緯36度50分50秒東経138度55分28秒﻿ / ﻿北緯36.847111度 東経138.924356度﻿ /36.847111; 138.924356﻿ (一ノ倉岳)谷川連峰","https://ja.wikipedia.org/wiki/ファイル:Mt._Ichinokuradake.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"岩菅山","36いわすげやま岩菅山岩菅山2,295.0地理院地図Googleマップ北緯36度44分31秒東経138度33分34秒﻿ / ﻿北緯36.742041度 東経138.559518度﻿ /36.742041; 138.559518﻿ (岩菅山)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:Mount_Iwasuge.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"篭ノ登山","37ひがしかごのとやま東籠ノ塔山篭塔山2,227.2地理院地図Googleマップ北緯36度25分10秒東経138度26分50秒﻿ / ﻿北緯36.419306度 東経138.447163度﻿ /36.419306; 138.447163﻿ (東籠ノ塔山)","https://ja.wikipedia.org/wiki/ファイル:Mt._Kagonoto.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"雲取山","38くもとりやま雲取山雲取山2,017.1地理院地図Googleマップ北緯35度51分20秒東経138度56分38秒﻿ / ﻿北緯35.855508度 東経138.943911度﻿ /35.855508; 138.943911﻿ (雲取山)日本百名山新日本百名山花の百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Kumotori.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"丹沢山","39たんざわさん丹沢山丹沢山1,567.1地理院地図Googleマップ北緯35度28分27秒東経139度09分46秒﻿ / ﻿北緯35.474293度 東経139.162678度﻿ /35.474293; 139.162678﻿ (丹沢山)日本百名山","https://ja.wikipedia.org/wiki/ファイル:Tanzawa_Mountains_from_Mt.Bukka_01.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"武石峰","40画 像 募 集 中たけしみね武石峰武石嶺1,972.6地理院地図Googleマップ北緯36度14分50秒東経138度05分07秒﻿ / ﻿北緯36.247153度 東経138.085299度﻿ /36.247153; 138.085299﻿ (武石峰)武石峠、美ヶ原","https://ja.wikipedia.org/wiki/ファイル:Gthumb.svg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"蓼科山","41たてしなやま蓼科山蓼科山2,530.3地理院地図Googleマップ北緯36度06分13秒東経138度17分42秒﻿ / ﻿北緯36.103730度 東経138.295069度﻿ /36.103730; 138.295069﻿ (蓼科山)日本百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Tateshinayama-fuyu.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"八ヶ岳","42やつがたけ八ガ岳赤岳2,899.2地理院地図Googleマップ北緯35度58分15秒東経138度22分12秒﻿ / ﻿北緯35.970798度 東経138.370064度﻿ /35.970798; 138.370064﻿ (八ガ岳)日本百名山新日本百名山赤岳","https://ja.wikipedia.org/wiki/ファイル:Mount_Akadake_from_Yokodake_1997-8-3.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"甲斐駒ヶ岳","43かいこまがたけ甲斐駒ガ岳甲駒ケ岳2,965.6地理院地図Googleマップ北緯35度45分29秒東経138度14分12秒﻿ / ﻿北緯35.757923度 東経138.236800度﻿ /35.757923; 138.236800﻿ (甲斐駒ガ岳)日本百名山新日本百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Kaikomagatake_from_kurisawayama_1998_10_11.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"白馬岳","44しろうまだけ白馬岳白馬岳2,932.2地理院地図Googleマップ北緯36度45分31秒東経137度45分31秒﻿ / ﻿北緯36.758511度 東経137.758549度﻿ /36.758511; 137.758549﻿ (白馬岳)日本百名山新日本百名山花の百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Shiroumadake_from_maruyama_26_2000_7_30.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"前常念岳","45まえじょうねんだけ前常念岳常念岳2,661.8地理院地図Googleマップ北緯36度19分23秒東経137度44分17秒﻿ / ﻿北緯36.323034度 東経137.738099度﻿ /36.323034; 137.738099﻿ (前常念岳)常念岳","https://ja.wikipedia.org/wiki/ファイル:Mount_MaeJonen_from_Mitsumata_2001-11-22.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"前穂高岳","46まえほたかだけ前穂高岳穂高岳3,090.2地理院地図Googleマップ北緯36度16分55秒東経137度39分38秒﻿ / ﻿北緯36.281979度 東経137.660571度﻿ /36.281979; 137.660571﻿ (前穂高岳)穂高連峰","https://ja.wikipedia.org/wiki/ファイル:Hotakadake_from_Tokugotoge_1994-4-30.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鉢盛山","47はちもりやま鉢盛山鉢盛山2,446.4地理院地図Googleマップ北緯36度05分12秒東経137度45分17秒﻿ / ﻿北緯36.086650度 東経137.754847度﻿ /36.086650; 137.754847﻿ (鉢盛山)日本三百名山","https://ja.wikipedia.org/wiki/ファイル:Kohatimori_yama_from_hatimori_2008_4_25.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"木曽駒ヶ岳","48きそこまがたけ木曽駒ガ岳信駒ケ岳2,956.0地理院地図Googleマップ北緯35度47分22秒東経137度48分16秒﻿ / ﻿北緯35.789550度 東経137.804573度﻿ /35.789550; 137.804573﻿ (木曽駒ガ岳)日本百名山新日本百名山花の百名山","https://ja.wikipedia.org/wiki/ファイル:Mt.Kisokomagatake_from_Mt.Utsugidake_01.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"越後駒ヶ岳","49えちごこまがたけ越後駒ガ岳越駒ケ岳2,002.7地理院地図Googleマップ北緯37度07分25秒東経139度04分31秒﻿ / ﻿北緯37.123621度 東経139.075241度﻿ /37.123621; 139.075241﻿ (越後駒ガ岳)日本百名山","https://ja.wikipedia.org/wiki/ファイル:Mt.Echigo-Komagatake.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"割引岳","50わりめきだけ割引岳割引山1,930.9地理院地図Googleマップ北緯36度58分59秒東経138度57分17秒﻿ / ﻿北緯36.982956度 東経138.954735度﻿ /36.982956; 138.954735﻿ (割引岳)巻機山","https://ja.wikipedia.org/wiki/ファイル:巻機山.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"苗場山","51なえばさん苗場山苗場山2,145.3地理院地図Googleマップ北緯36度50分45秒東経138度41分25秒﻿ / ﻿北緯36.845936度 東経138.690315度﻿ /36.845936; 138.690315﻿ (苗場山)日本百名山花の百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Naebayama2.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"妙高山","52みょうこうさん妙高山妙高山2,445.9地理院地図Googleマップ北緯36度53分34秒東経138度06分47秒﻿ / ﻿北緯36.892715度 東経138.113193度﻿ /36.892715; 138.113193﻿ (妙高山)日本百名山新日本百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Myokousan_from_hiutiyama_1996_6_29.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"立山","53たてやま立山立山2,991.6地理院地図Googleマップ北緯36度34分21秒東経137度37分03秒﻿ / ﻿北緯36.572569度 東経137.617462度﻿ /36.572569; 137.617462﻿ (立山)日本百名山新日本百名山花の百名山雄山氷河が現存","https://ja.wikipedia.org/wiki/ファイル:20_Tateyama_from_Mikurigaike_1998-7-17.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大笠山","54おおがさやま大笠山大笠山1,821.8地理院地図Googleマップ北緯36度19分14秒東経136度47分23秒﻿ / ﻿北緯36.320451度 東経136.789586度﻿ /36.320451; 136.789586﻿ (大笠山)日本三百名山","https://ja.wikipedia.org/wiki/ファイル:Ogasayama_from_Maeoizurugatake_2010-10-17.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"白山","55はくさん白山白山2,702.2地理院地図Googleマップ北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.155064度 東経136.771446度﻿ /36.155064; 136.771446﻿ (白山)日本百名山新日本百名山花の百名山新・花の百名山御前峰","https://ja.wikipedia.org/wiki/ファイル:Hakusan_from_aburazaka_2003_5_5.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"荒島岳","56あらしまだけ荒島岳荒島岳1,523.5地理院地図Googleマップ北緯35度56分03秒東経136度36分05秒﻿ / ﻿北緯35.934289度 東経136.601272度﻿ /35.934289; 136.601272﻿ (荒島岳)日本百名山新日本百名山","https://ja.wikipedia.org/wiki/ファイル:Arashimadake_from_ojiroyama_2009_4_9.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"乗鞍岳","57のりくらだけ乗鞍岳乗鞍岳3,025.6地理院地図Googleマップ北緯36度06分23秒東経137度33分13秒﻿ / ﻿北緯36.106487度 東経137.553632度﻿ /36.106487; 137.553632﻿ (乗鞍岳)日本百名山新日本百名山剣ヶ峰","https://ja.wikipedia.org/wiki/ファイル:Norikuradake_from_nishiho_1995_10_7.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"御嶽山","58おんたけさん御嶽山御嶽山3,063.4地理院地図Googleマップ北緯35度53分35秒東経137度28分50秒﻿ / ﻿北緯35.893096度 東経137.480645度﻿ /35.893096; 137.480645﻿ (御嶽山)日本百名山新日本百名山花の百名山剣ヶ峰","https://ja.wikipedia.org/wiki/ファイル:Ontakesan_from_kohideyama_2002_10_30.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"御前岳 (岐阜県) (存在しないページ)","59ごぜんだけ御前岳御前岳1,816.5地理院地図Googleマップ北緯36度11分53秒東経136度57分37秒﻿ / ﻿北緯36.198159度 東経136.960188度﻿ /36.198159; 136.960188﻿ (御前岳)飛騨高地","https://ja.wikipedia.org/wiki/ファイル:Mount_Gozen_in_Hida_2008-04-21.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"能郷白山","60のうごうはくさん能郷白山能郷白山1,617.3地理院地図Googleマップ北緯35度45分45秒東経136度30分51秒﻿ / ﻿北緯35.762394度 東経136.514029度﻿ /35.762394; 136.514029﻿ (能郷白山)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:Nougouhakusan_from_south_2010-4-4.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
