"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録回","登録日","外部リンク","開駅日","登録路線","営業時間","所属路線","起点からの距離","供用開始日","備考","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"摩周温泉","[ましゅうおんせん摩周温泉（ましゅうおんせん）釧路・根室川上郡弟子屈町国道241号北海道-011] 道の駅摩周温泉 （みちのえき ましゅうおんせん）は、 北海道 川上郡 弟子屈町 にある 国道241号 の 道の駅 である。 2015年 （平成27年）1月に重点道の駅候補に選定された  。","https://ja.wikipedia.org/wiki/道の駅摩周温泉","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度29分33秒東経144度26分52秒","〒088-3203北海道川上郡弟子屈町湯の島3丁目5-5","第1回（01011）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1993年4月22日","国道241号","8:00 - 18:00（5月 - 10月）9:00 - 17:00（11月 - 4月）","","","","","","","","","","","",""
"おといねっぷ","[おといねっぷ道北中川郡音威子府村国道275号北海道-012] 道の駅おといねっぷ （みちのえき おといねっぷ）は、 北海道 中川郡 音威子府村 にある 国道275号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅おといねっぷ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度43分45秒東経142度15分28秒","〒098-2501北海道中川郡音威子府村字音威子府155","第1回（01012）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道40号","9：30-17：00（4月-9月）9：30-16：00（10月-3月）","","","","","","","","","","","",""
"かみゆうべつ温泉チューリップの湯","[かみゆうべつ温泉チューリップの湯（かみゆうべつおんせんチューリップのゆ）オホーツク紋別郡湧別町道道712号緑蔭中湧別停車場線北海道-013旧中湧別駅跡旧名「中湧別」] 道の駅かみゆうべつ温泉チューリップの湯 （みちのえき かみゆうべつおんせんチューリップのゆ）は、 北海道 紋別郡 湧別町 にある 北海道道712号緑蔭中湧別停車場線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅かみゆうべつ温泉チューリップの湯","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度11分3.6秒東経143度35分40.8秒","〒099-6324北海道紋別郡湧別町中湧別中町3020-1","第1回（01013）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月27日","北海道道712号緑蔭中湧別停車場線","10:00 - 22:00","","","","","","","","","","","",""
"いわない","[いわない道央岩内郡岩内町道道270号岩内港線北海道-014旧岩内駅跡] 道の駅いわない （みちのえき いわない）は、 北海道 岩内郡 岩内町 にある 北海道道270号岩内港線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅いわない","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度59分00秒東経140度31分00秒","〒045-0003北海道岩内郡岩内町字万代47-4","第1回（01014）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1993年4月22日","北海道道270号","9:00 - 18:00（4-10月）9:00 - 17:30（11-3月）","","","","","","","","","","","",""
"まるせっぷ","[まるせっぷオホーツク紋別郡遠軽町国道333号北海道-015] 道の駅まるせっぷ （みちのえき まるせっぷ）は、 北海道 紋別郡 遠軽町 にある 国道333号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅まるせっぷ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度59分48秒東経143度19分43秒","〒099-0207北海道紋別郡遠軽町丸瀬布元町42-2","第5回（01015）","1994年4月26日","国土交通省案内ページ全国道の駅連絡会ページ","1994年4月26日","国道333号","9:00 - 18:00（4-10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"厚岸グルメパーク","[あっけしグルメパーク厚岸グルメパーク（あっけしグルメパーク）釧路・根室厚岸郡厚岸町国道44号北海道-016] 道の駅厚岸グルメパーク （みちのえき あっけしグルメパーク）は、 北海道 厚岸郡 厚岸町 にある 国道44号 の 道の駅 である。愛称の「コンキリエ」とは、 イタリア語 で「貝の形をした食べ物」の意味であり、施設の外観は 牡蠣 をイメージしたものとなっている  。","https://ja.wikipedia.org/wiki/道の駅厚岸グルメパーク","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度03分28秒東経144度50分39秒","〒088-1119北海道厚岸郡厚岸町住の江2丁目2","（01016）","1994年4月26日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1994年4月26日","","9:00 - 20:00（4-10月）10:00 - 19:00（11-12月）10:00 - 18:00（1-3月)","","","","","","","","","","","",""
"サンフラワー北竜","[さんふらわーほくりゅうサンフラワー北竜（サンフラワーほくりゅう）道央雨竜郡北竜町国道275号北海道-017] 道の駅サンフラワー北竜 （みちのえき サンフラワーほくりゅう）は、 北海道 雨竜郡 北竜町 にある 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅サンフラワー北竜","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度45分04秒東経141度52分31秒","〒078-2511北海道雨竜郡北竜町字板谷163-2","第7回（01017）","1995年1月30日","国土交通省案内ページ全国道の駅連絡会ページ","1995年1月","国道275号","8:00 - 22:00","","","","","","","","","","","",""
"みついし","[みついし道央日高郡新ひだか町国道235号北海道-018] 道の駅みついし （みちのえき みついし）は、 北海道 日高郡 新ひだか町 にある 国道235号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅みついし","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度13分16秒東経142度38分03秒","〒059-3233北海道日高郡新ひだか町三石鳧舞161-2","第8回（01018）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1995年4月11日","国道235号","8:45 - 22:00（4-9月）8:00 - 17:30（10-3月）","","","","","","","","","","","",""
"あっさぶ","[あっさぶ道南檜山郡厚沢部町国道227号北海道-019] 道の駅あっさぶ （みちのえき あっさぶ）は、 北海道 檜山郡 厚沢部町 にある 国道227号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅あっさぶ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度55分00秒東経140度12分58秒","〒043-1112北海道檜山郡厚沢部町緑町72-1","第8回（01019）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1995年4月11日","国道227号","8:30 - 18:00（5 - 10月）9:00 - 17:00（11 - 4月）","","","","","","","","","","","",""
"よってけ!島牧","[よってけ!島牧（よってけしままき）道央島牧郡島牧村国道229号北海道-020 ] 道の駅よってけ!島牧 （みちのえき よってけしままき）は、 北海道 島牧郡 島牧村 にある 国道229号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅よってけ!島牧","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度41分12秒東経140度00分48秒","〒048-0631北海道島牧郡島牧村字千走11-1","第8回（01020）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年4月","国道229号","9:00 - 19:00（7-8月）9:00 - 17:00（9-6月）","","","","","","","","","","","",""
"てっくいランド大成","[てっくいランド大成（てっくいらんどたいせい）道南久遠郡せたな町国道229号北海道-021] 道の駅てっくいランド大成 （みちのえき てっくいランドたいせい）は、 北海道 久遠郡 せたな町 にある 国道229号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅てっくいランド大成","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度12分45秒東経139度52分36秒","〒043-0514北海道久遠郡せたな町大成区平浜378","第8回（01021）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1995年4月11日","国道229号","9:00 - 19:00（7月中旬-8月中旬）9：00 - 16:00（11-3月）9:00 - 17:00（上記以外）","","","","","","","","","","","",""
"オホーツク紋別","[おほーつくもんべつオホーツク紋別（オホーツクもんべつ）オホーツク紋別市道道304号紋別港線北海道-022 ] なお、道の駅施設を含む 紋別港 一帯は2014年（平成26年）1月24日に みなとオアシスもんべつ として みなとオアシス に登録されている  。","https://ja.wikipedia.org/wiki/道の駅オホーツク紋別","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度19分42秒東経143度22分30秒","〒094-0023北海道紋別市元紋別11-6","第8回（01022）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1995年4月11日","北海道道304号","9:00 - 17:00","","","","","","","","","","","",""
"YOU・遊・もり","[ゆうゆうもりYOU・遊・もり（ゆうゆうもり）道南茅部郡森町国道5号北海道-023 ] 道の駅YOU・遊・もり （みちのえき ゆうゆうもり）は、 北海道 茅部郡 森町 上台町にある 国道5号 の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅YOU・遊・もり","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度05分59秒東経140度34分05秒","〒049-2311北海道茅部郡森町字上台町326-18","第9回（01023）","1995年8月3日","国土交通省案内ページ全国道の駅連絡会ページ","1995年8月3日","国道5号","9:00 - 17:30（3-10月）9:00 - 17:00（11-2月）","","","","","","","","","","","",""
"おんねゆ温泉","[おんねゆ温泉（おんねゆおんせん）オホーツク北見市国道39号北海道-024 ] 道の駅おんねゆ温泉 （みちのえき おんねゆおんせん）は、 北海道 北見市 留辺蘂町にある 国道39号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅おんねゆ温泉","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度45分13秒東経143度30分02秒","〒091-0153北海道北見市留辺蘂町松山1-4","（01024）","1995年8月3日","国土交通省案内ページ全国道の駅連絡会ページ","1995年","","8:30 - 17:00（4-10月）9:00 - 16:30（11-3月）","","","","","","","","","","","",""
"ルート229元和台","[るーと229げんなだいルート229元和台（ルート229げんなだい）道南爾志郡乙部町国道229号北海道-025 ] 道の駅ルート229元和台 （みちのえき ルート229げんなだい）は、 北海道 爾志郡 乙部町 にある 国道229号 の 道の駅 であり、 とるぱ に指定されている。","https://ja.wikipedia.org/wiki/道の駅ルート229元和台","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度00分41秒東経140度06分22秒","〒043-0114北海道爾志郡乙部町字元和169","第9回（01025）","1995年8月3日","国土交通省案内ページ全国道の駅連絡会ページ","1995年8月3日","国道229号","8:30 - 18:00（4月-10月）9:00 - 16:00（11月-3月）","","","","","","","","","","","",""
"ハウスヤルビ奈井江","[はうすやるびないえハウスヤルビ奈井江（ハウスヤルビないえ）道央空知郡奈井江町国道12号北海道-026 ] 道の駅ハウスヤルビ奈井江 （みちのえき ハウスヤルビないえ）  は、 北海道 空知郡 奈井江町 にある 国道12号 の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅ハウスヤルビ奈井江","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度25分59秒東経141度53分20秒","〒079-0312北海道空知郡奈井江町字奈井江28-1","第10回（01026）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年4月16日","国道12号","9:00 - 18:00（4-9月）9:00 - 17:00（10-3月）","","","","","","","","","","","",""
"おびら鰊番屋","[おびら鰊番屋（おびらにしんばんや）道北留萌郡小平町国道232号北海道-027] 道の駅おびら鰊番屋 （みちのえき おびらにしんばんや）は、 北海道 留萌郡 小平町 にある 国道232号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅おびら鰊番屋","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度08分13秒東経141度39分18秒","〒078-3454北海道留萌郡小平町字鬼鹿広富","第10回（01027）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ","1996年4月16日","国道232号","8:00 - 17:00（5-10月）9:00 - 16:00（11-4月）","","","","","","","","","","","",""
"マリーンアイランド岡島","[まりーんあいらんどおかしまマリーンアイランド岡島（マリーンアイランドおかしま）道北枝幸郡枝幸町国道238号北海道-028 ] 道の駅マリーンアイランド岡島 （みちのえき マリーンアイランドおかしま）は、 北海道 枝幸郡 枝幸町 にある 国道238号 の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅マリーンアイランド岡島","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度52分42秒東経142度37分55秒","〒098-5802北海道枝幸郡枝幸町岡島1978-13","第10回（01028）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ","1996年9月1日","国道238号","9:00 - 16:30（4月下旬-6月、10月）9:00 - 17:00（7-9月）10:00 - 16:00（11月-4月下旬）","","","","","","","","","","","",""
"おこっぺ","[おこっぺオホーツク紋別郡興部町国道239号北海道-029旧興部駅跡] 道の駅おこっぺ （みちのえき おこっぺ）は、 北海道 紋別郡 興部町 にある 国道239号 の 道の駅 である。 廃駅 となった 興部駅 の駅跡に建てられている。","https://ja.wikipedia.org/wiki/道の駅おこっぺ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度28分10秒東経143度07分01秒","〒098-1614北海道紋別郡興部町幸町","第10回（01029）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ","1996年4月16日","国道239号","9:00 - 18:00（5-10月）9:00 - 17:00（11-4月）","","","","","","","","","","","",""
"阿寒丹頂の里","[あかんたんちょうのさと阿寒丹頂の里（あかんたんちょうのさと）釧路・根室釧路市国道240号北海道-030 ] 道の駅阿寒丹頂の里 （みちのえき あかんたんちょうのさと）は、 北海道 釧路市 阿寒町にある 国道240号 の 道の駅 である。愛称の「クレインズテラス」には、「タンチョウが集う憩いの場所」という意味を込めている。阿寒町観光振興公社が運営している。","https://ja.wikipedia.org/wiki/道の駅阿寒丹頂の里","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度8分39.0秒東経144度8分42.1秒","〒085-0245北海道釧路市阿寒町上阿寒23-36-1","（01030）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年4月16日","","9:00 - 18:00（5月から9月）9:00 - 17:00（10月から4月）観光案内所（10:00 - 16:00）","","","","","","","","","","","",""
"おとふけ","[おとふけ十勝河東郡音更町国道241号北海道-031 ] 道の駅おとふけ （みちのえき おとふけ）は、 北海道 河東郡 音更町 にある 国道241号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅おとふけ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度58分36秒東経143度12分27秒","〒080-0301北海道河東郡音更町木野大通西19丁目5","第10回（01031）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年4月16日","国道241号","9:30 - 18:30（5 - 10月）9:30 - 17:30（11 - 4月）","","","","","","","","","","","",""
"ピンネシリ","[ぴんねしりピンネシリ道北枝幸郡中頓別町国道275号北海道-032旧敏音知駅跡] 道の駅ピンネシリ （みちのえき ピンネシリ）は、 北海道 枝幸郡 中頓別町 にある 国道275号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅ピンネシリ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度52分39秒東経142度12分48秒","〒098-5113北海道枝幸郡中頓別町字敏音知72-7","第10回（01032）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年4月16日","国道275号","9:00 - 17:00","","","","","","","","","","","",""
"フォーレスト276大滝","[ふぉーれすと276おおたきフォーレスト276大滝（フォーレスト276おおたき）道央伊達市国道276号北海道-033休館中（再開時期未定[1] 道の駅フォーレスト276大滝 （みちのえき フォーレスト276おおたき）は、 北海道 伊達市 にある 国道276号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅フォーレスト276大滝","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度41分53秒東経141度07分49秒","〒052-0303北海道伊達市大滝区三階滝町637-5","第10回（01033）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ","1996年4月16日","国道276号","休業中","","","","","","","","","","","",""
"上ノ国もんじゅ","[かみのくにもんじゅ上ノ国もんじゅ（かみのくにもんじゅ）道南檜山郡上ノ国町国道228号北海道-034 ] 道の駅上ノ国もんじゅ （みちのえき かみのくにもんじゅ）は、 北海道 檜山郡 上ノ国町 にある 国道228号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅上ノ国もんじゅ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度48分31秒東経140度05分42秒","〒049-0602北海道檜山郡上ノ国町字原歌3","第11回（01034）","1996年8月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年8月5日","国道228号","10:00 - 18:00","","","","","","","","","","","",""
"オスコイ！かもえない","[おすこいかもえないオスコイ！かもえない道央古宇郡神恵内村国道229号北海道-035 ] 道の駅オスコイ!かもえない （みちのえき オスコイ!かもえない）は、 北海道 古宇郡 神恵内村 にある 国道229号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅オスコイ!かもえない","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度09分55秒東経140度23分09秒","〒045-0302北海道古宇郡神恵内村大字赤石村字大森34-1","第11回（01035）","1995年8月5日","国土交通省案内ページ全国道の駅連絡会ページ","1995年8月5日","国道229号","9:00 - 17:00","","","","","","","","","","","",""
"なかさつない","[なかさつない十勝河西郡中札内村国道236号北海道-036 ] 道の駅なかさつない （みちのえき なかさつない）は、 北海道 河西郡 中札内村 にある 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅なかさつない","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度41分32秒東経143度07分37秒","〒089-1330北海道河西郡中札内村大通南7丁目14","第11回（01036）","1996年8月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年10月4日","国道236号","9:00 - 19:00（4月から10月）9:00 - 17:00（11月から3月）","","","","","","","","","","","",""
"マオイの丘公園","[まおいのおかこうえんマオイの丘公園（マオイのおかこうえん）道央夕張郡長沼町国道274号北海道-037 ] 道の駅マオイの丘公園 （みちのえき マオイのおかこうえん）は、 北海道 夕張郡 長沼町 にある 国道274号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅マオイの丘公園","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度57分00秒東経141度43分00秒","〒069-1464北海道夕張郡長沼町東10線南7","（01037）","1996年8月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年","国道274号","9:00 - 18:00（4-11月）9:00 - 17:00（12-3月）","","","","","","","","","","","",""
"樹海ロード日高","[じゅかいロードひだか樹海ロード日高（じゅかいロードひだか）道央沙流郡日高町国道274号北海道-038] 道の駅樹海ロード日高 （みちのえき じゅかいロードひだか）は、 北海道 沙流郡 日高町 にある 国道274号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅樹海ロード日高","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度52分37秒東経142度26分31秒","〒055-2301北海道沙流郡日高町本町東1丁目298-1","第11回（01038）","1996年8月5日","国土交通省案内ページ全国道の駅連絡会ページ","1996年8月5日","国道274号","9:00 - 18:00（木曜日）9:00 - 20:00（上記以外）","","","","","","","","","","","",""
"そうべつ情報館i（アイ）","[そうべつ情報館i（アイ）（そうべつじょうほうかんアイ）道央有珠郡壮瞥町国道453号北海道-039旧名「そうべつサムズ」] 道の駅そうべつ情報館i(アイ) （みちのえき そうべつじょうほうかんアイ）は、 北海道 有珠郡 壮瞥町 にある 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅そうべつ情報館i(アイ)","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度33分32秒東経140度53分56秒","〒052-0101北海道有珠郡壮瞥町字滝之町384-1","第11回（01039）","1996年8月5日","国土交通省案内ページ全国道の駅連絡会ページ","1996年8月5日","国道453号","9:00 - 17:30（4-11月中旬）9:00 - 17:00（11月中旬-3月）","","","","","","","","","","","",""
