"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","城郭構造","築城年","廃城年","指定文化財","形状","規模","別名","築城主","遺構","史跡","主な城主","法人番号","天守構造","埋葬施設","出土品"
"橋津古墳群","[橋津古墳群（はしづこふんぐん）〔東伯郡湯梨浜町〕] 橋津古墳群 （はしづこふんぐん）は、 鳥取県 東伯郡 湯梨浜町 橋津にある 古墳群 である。1957年6月3日、 国史跡 に指定された  。","https://ja.wikipedia.org/wiki/橋津古墳群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度30分16秒 東経133度52分55秒","","","","","","","","","","","","","","","","","","",""
"倭文神社 (湯梨浜町)","[伯耆一宮経塚（ほうきいちのみやきょうづか）〔東伯郡湯梨浜町〕] 倭文神社 （しとりじんじゃ/しずりじんじゃ）は、 鳥取県 東伯郡 湯梨浜町 大字宮内にある 神社 。 式内社 、 伯耆国 一宮 。 旧社格 は 国幣小社 で、現在は 神社本庁 の 別表神社 。境内にある 経塚 は国の 史跡 に指定され、出土品は 国宝 に指定されている。","https://ja.wikipedia.org/wiki/倭文神社_(湯梨浜町)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度29分25.34秒東経133度54分10.68秒","北緯35度29分25.34秒東経133度54分10.68秒﻿ / ﻿北緯35.4903722度 東経133.9029667度﻿ /35.4903722; 133.9029667","鳥取県東伯郡湯梨浜町大字宮内754","","","","","","","","","","","","","","","","",""
"三徳山","[三徳山（みとくさん）〔東伯郡三朝町〕 -三仏寺] 三徳山 （みとくさん）は、 鳥取県 東伯郡 三朝町 にある山である。 標高 899.6 メートル 。706年に役行者により修験の霊地と定められたと伝わる。山名は蔵王・子守・勝手の三所権現を山内に祀り「福徳」「智徳」「寿徳」の３つの徳が授かる山の由来と、「 法身 （美しい）」「 般若 （にごりのない）」「 解脱 （働きのある心）」の3つの徳に由来する。麓には国宝投入堂を有する三徳山三佛寺が存在する。","https://ja.wikipedia.org/wiki/三徳山","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度23分09.3秒東経133度57分48.6秒","北緯35度23分09.3秒東経133度57分48.6秒﻿ / ﻿北緯35.385917度 東経133.963500度﻿ /35.385917; 133.963500座標:北緯35度23分09.3秒東経133度57分48.6秒﻿ / ﻿北緯35.385917度 東経133.963500度﻿ /35.385917; 133.963500","日本鳥取県東伯郡三朝町","","","","","","","","","","","","","","","","",""
"阿弥大寺古墳群 (存在しないページ)","[阿弥大寺古墳群（あみだいじこふんぐん）〔倉吉市〕]","https://ja.wikipedia.org/w/index.php?title=阿弥大寺古墳群&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大原廃寺塔跡 (存在しないページ)","[大原廃寺塔跡（おおはらはいじとうあと）〔倉吉市〕]","https://ja.wikipedia.org/w/index.php?title=大原廃寺塔跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大御堂廃寺跡","[大御堂廃寺跡（おおみどうはいじあと）〔倉吉市〕] 大御堂廃寺跡 （おおみどうはいじあと）は、 鳥取県 倉吉市 駄経寺町にある 古代 寺院 跡。元々の寺名は「 久米寺 」と推定される。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大御堂廃寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三明寺古墳","[三明寺古墳（さんみょうじこふん）〔倉吉市〕] 三明寺古墳 （さんみょうじこふん）は、 鳥取県 倉吉市 巌城（いわき）にある 古墳 。形状は 円墳 （または 方墳 ・多角形墳）。向山古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/三明寺古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度26分27.30秒東経133度49分55.95秒","北緯35度26分27.30秒東経133度49分55.95秒﻿ / ﻿北緯35.4409167度 東経133.8322083度﻿ /35.4409167; 133.8322083座標:北緯35度26分27.30秒東経133度49分55.95秒﻿ / ﻿北緯35.4409167度 東経133.8322083度﻿ /35.4409167; 133.8322083","鳥取県倉吉市巌城（字三明寺）","三明寺古墳","7世紀初頭（または7世紀前半）","","","","","円墳（または方墳・多角形墳）","直径18m高さ6m","","","","国の史跡「三明寺古墳」","","","","両袖式横穴式石室",""
"法華寺畑遺跡 (存在しないページ)","[法華寺畑遺跡（ほっけじばたいせき）]","https://ja.wikipedia.org/w/index.php?title=法華寺畑遺跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"不入岡遺跡 (存在しないページ)","[不入岡遺跡（ふにおかいせき）〔倉吉市〕伯耆国衙跡の近くの丘陵上で見つかった大規模な掘立柱建物郡で遺跡名は地名）]","https://ja.wikipedia.org/w/index.php?title=不入岡遺跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伯耆国分寺跡","[伯耆国分寺跡（ほうきこくぶんじあと）〔倉吉市〕] 伯耆国分寺跡 （ほうきこくぶんじあと）は、 鳥取県 倉吉市 国分寺にあった 伯耆国 の 国分寺 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/伯耆国分寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度25分57.2秒 東経133度47分23.3秒","","","","","","","","","","","","","","","","","","",""
"船上山","[船上山行宮跡（せんじょうさんあんぐうあと）〔東伯郡琴浦町〕] 船上山 （せんじょうさん）は、 鳥取県 東伯郡 琴浦町 にある 標高 687 メートル の山である。","https://ja.wikipedia.org/wiki/船上山","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度25分42秒東経133度35分29秒","北緯35度25分42秒東経133度35分29秒﻿ / ﻿北緯35.42833度 東経133.59139度﻿ /35.42833; 133.59139座標:北緯35度25分42秒東経133度35分29秒﻿ / ﻿北緯35.42833度 東経133.59139度﻿ /35.42833; 133.59139","日本鳥取県東伯郡琴浦町","","","","","","","","","","","","","","","","",""
"大山寺 (鳥取県大山町)","[大山寺旧境内（だいせんじきゅうけいだい）〔西伯郡大山町〕2016年10月3日] 大山寺 （だいせんじ）は 鳥取県 西伯郡 大山町 （ 大山隠岐国立公園 内） 伯耆大山 中腹にある 天台宗 別格本山の 寺 。 中国三十三観音 第二十九番。山号は角磐山。本尊は 地蔵菩薩 。","https://ja.wikipedia.org/wiki/大山寺_(鳥取県大山町)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度23分27.5秒東経133度32分5.6秒","北緯35度23分27.5秒東経133度32分5.6秒﻿ / ﻿北緯35.390972度 東経133.534889度﻿ /35.390972; 133.534889座標:北緯35度23分27.5秒東経133度32分5.6秒﻿ / ﻿北緯35.390972度 東経133.534889度﻿ /35.390972; 133.534889","鳥取県西伯郡大山町大山9","","","","","","","","","","","","","","4270005003562","","",""
"妻木晩田遺跡","[妻木晩田遺跡（むきばんだいせき）〔西伯郡大山町・米子市〕] 妻木晩田遺跡 （むきばんだいせき）は、 鳥取県 西伯郡 大山町 富岡・妻木・長田および 米子市 淀江町福岡にある 弥生時代 の集落 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/妻木晩田遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度27分54.3秒 東経133度26分46秒","","","","","","","","","","","","","","","","","","",""
"青木遺跡 (米子市)","[青木遺跡（あおきいせき）〔米子市〕] 青木遺跡 （あおきいせき）は、 鳥取県 米子市 永江、通称「長者原台地」の北東部に広がる 弥生時代 中期から 奈良時代 を中心とする集落遺跡。国指定の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/青木遺跡_(米子市)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度23分54.7秒 東経133度22分0.9秒","","","","","","","","","","","","","","","","","","",""
"上淀廃寺跡","[上淀廃寺跡（かみよどはいじあと）〔米子市〕] 上淀廃寺跡 （かみよどはいじあと）は、 鳥取県 米子市 淀江町福岡字櫻田・法行・垣サゴに所在する古代寺院の 遺跡 。淀江平野東側の丘陵裾に位置する。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/上淀廃寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度27分15.0秒 東経133度26分45.1秒","","","","","","","","","","","","","","","","","","",""
"福市遺跡","[福市遺跡（ふくいちいせき）〔米子市〕] 福市遺跡 （ふくいちいせき）は、 鳥取県 米子市 福市、通称「長者原台地」上に所在する 弥生時代 後期から 古墳時代 中期を中心とする集落遺跡。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/福市遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度24分8.9秒 東経133度22分5.7秒","","","","","","","","","","","","","","","","","","",""
"向山古墳群","[向山古墳群（むこうやまこふんぐん））〔米子市〕] 向山古墳群 （むこうやまこふんぐん）は、 鳥取県 米子市 淀江町福岡にある 古墳群 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/向山古墳群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度27分16.4秒 東経133度26分25.9秒","","","","","","","","","","","","","","","","","","",""
"米子城","[米子城跡（よなごじょうあと）〔米子市〕] 米子城 （よなごじょう）は、 鳥取県 米子市 久米町にあった 日本の城 。 久米城 、 湊山城 ともいう。 江戸時代 初期は 米子藩 （伯耆藩）の 藩庁 であった。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/米子城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度25分31.07秒東経133度19分26.31秒","北緯35度25分31.07秒東経133度19分26.31秒﻿ / ﻿北緯35.4252972度 東経133.3239750度﻿ /35.4252972; 133.3239750","","米子城","","梯郭式平山城（海城）","文明2年（1470年）頃","1871年","国の史跡","","","久米城、湊山金城","山名氏か?","石垣・枡形虎口・竪堀・石切丁場","","山名氏、尼子氏、吉川氏中村氏、加藤氏、池田氏","","不明4重（1596年）独立式望楼型4重5階（1601年）ともに非現存。詳細は同項の構造を参照","",""
"荒島古墳群 (存在しないページ)","[荒島古墳群（あらしまこふんぐん）〔安来市〕]","https://ja.wikipedia.org/w/index.php?title=荒島古墳群&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩舟古墳","[岩舟古墳（いわふねこふん）〔安来市〕] 岩舟古墳 （いわふねこふん）は、 島根県 安来市 岩舟町にある 古墳 。1948年12月18日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/岩舟古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度24分00秒 東経133度11分25秒","","","","","","","","","","","","","","","","","","",""
"仲仙寺古墳群","[仲仙寺古墳群（ちゅうせんじこふんぐん）〔安来市〕] 仲仙寺古墳群 （ちゅうせんじこふんぐん）は、 島根県 安来市 西赤江町にある 古墳群 。 1971年 8月12日に国の 史跡 に指定され、 1974年 12月23日に追加指定された  。","https://ja.wikipedia.org/wiki/仲仙寺古墳群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"月山富田城","[富田城跡（とだじょうあと）〔安来市〕1934年] 月山富田城 （がっさんとだじょう）は、 島根県 安来市 広瀬町富田に所在した 日本の城 。月山（標高183.9 m    ）に営まれる。戦国時代に 山陰 の覇者 尼子氏 が本拠を構え、170年間の尼子氏六代の盛衰の舞台となった。城郭跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/月山富田城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度21分39.42秒東経133度11分6.94秒","北緯35度21分39.42秒東経133度11分6.94秒﻿ / ﻿北緯35.3609500度 東経133.1852611度﻿ /35.3609500; 133.1852611","","月山富田城","","複郭式山城","1185年（文治元年）頃か","1611年（慶長16年）","国の史跡","","","月山城、富田月山城","佐々木義清か","石垣、曲輪、堀切、井戸","","尼子氏、吉川元春、堀尾吉晴","","なし","",""
"安来一里塚 (存在しないページ)","[安来一里塚（やすぎいちりづか）〔安来市〕]","https://ja.wikipedia.org/w/index.php?title=安来一里塚&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安部谷古墳 (存在しないページ)","[安部谷古墳（あべだにこふん）〔松江市〕]","https://ja.wikipedia.org/w/index.php?title=安部谷古墳&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊志見一里塚 (存在しないページ)","[伊志見一里塚（いじみいちりづか）〔松江市〕]","https://ja.wikipedia.org/w/index.php?title=伊志見一里塚&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石屋古墳","[石屋古墳（いしやこふん）〔松江市〕] 石屋古墳 （いしやこふん）は、 島根県 松江市 矢田町・東津田町にある 古墳 。1979年4月6日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/石屋古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度27分03秒 東経133度06分07秒","","","","","","","","","","","","","","","","","","",""
"出雲国府跡","[出雲国府跡（いずもこくふあと）〔松江市〕] 出雲国府跡 （いづもこくふあと）は、 島根県 松江市 大草町・山城町・竹矢町に所在する、 律令制 下の地方行政の中心地域である。 1971年 （ 昭和 46年） 12月13日 、国の史跡に指定される。","https://ja.wikipedia.org/wiki/出雲国府跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度25分40.6秒 東経133度6分15.1秒","","","","","","","","","","","","","","","","","","",""
"出雲国分寺跡 (存在しないページ)","[出雲国分寺跡附 古道（いずもこくぶんじあと つけたり こどう）〔松江市〕]","https://ja.wikipedia.org/w/index.php?title=出雲国分寺跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"出雲玉作跡","[出雲玉作跡（いずもたまつくりあと）〔松江市〕] 出雲玉作史跡公園 （いずもたまつくりしせきこうえん）は、 島根県 松江市 玉湯町 にある 考古遺跡 「 出雲玉作跡 」宮垣地区の保存と公開を目的として整備された 公園 である。公園全域が国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/出雲玉作跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度24分58.842秒東経133度0分44.59秒","","日本松江市","","","","","","","","","","","","","","","","",""
"岩屋寺跡古墳 (存在しないページ)","[岩屋寺跡古墳（いわやじあとこふん）〔松江市〕]","https://ja.wikipedia.org/w/index.php?title=岩屋寺跡古墳&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大庭鶏塚 (存在しないページ)","[大庭鶏塚（おおばにわとりづか）〔松江市〕]","https://ja.wikipedia.org/w/index.php?title=大庭鶏塚&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岡田山古墳","[岡田山古墳（おかだやまこふん）〔松江市〕] 岡田山古墳 （おかだやまこふん）は、 島根県 松江市 大草町の 台地 上にある7基の 古墳 からなる 古墳群 。古墳群だが「岡田山古墳」という名称で国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/岡田山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度25分40.2秒東経133度05分28.0秒","北緯35度25分40.2秒東経133度05分28.0秒﻿ / ﻿北緯35.427833度 東経133.091111度﻿ /35.427833; 133.091111座標:北緯35度25分40.2秒東経133度05分28.0秒﻿ / ﻿北緯35.427833度 東経133.091111度﻿ /35.427833; 133.091111","島根県松江市大草町","岡田山古墳群島根県内の位置","6世紀","","","","","","前方後方墳1基、円墳6基","出雲岡田山古墳","","","1965年（昭和40年）4月9日国指定1号墳・2号墳","","","","",""
