"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","文化財","法人番号","山号","創建年","宗派","本尊","開基","寺格","正式名","札所等","公式HP","面積","分類","開山","公式サイト","運営者","駐車場"
"妙心寺","[妙心寺退蔵院（京都府京都市右京区）] 妙心寺 （みょうしんじ）は、 京都市 右京区 花園 妙心寺町にある 臨済宗妙心寺派 の 大本山 の 寺院 。 山号 は正法山。本尊は 釈迦如来 。開基（創立者）は 花園天皇 。開山（初代住職）は 関山慧玄 （無相大師）。寺紋は花園紋（妙心寺八つ藤）。","https://ja.wikipedia.org/wiki/妙心寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度1分23.39秒東経135度43分12.67秒","京都府京都市右京区花園妙心寺町64","北緯35度1分23.39秒東経135度43分12.67秒﻿ / ﻿北緯35.0231639度 東経135.7201861度﻿ /35.0231639; 135.7201861座標:北緯35度1分23.39秒東経135度43分12.67秒﻿ / ﻿北緯35.0231639度 東経135.7201861度﻿ /35.0231639; 135.7201861","梵鐘、大燈国師墨蹟（国宝）仏殿、法堂、三門他（重要文化財）方丈庭園（国の史跡・名勝）","5130005001190","正法山","暦応5年/康永元年（1342年）","臨済宗妙心寺派","釈迦如来","花園法皇","大本山","正法山 妙心禅寺","","","","","関山慧玄","","",""
"天龍寺","[天龍寺曹源池庭園 （京都府京都市右京区）] 天龍寺 （てんりゅうじ）は、 京都市 右京区 嵯峨天龍寺芒ノ馬場町にある 臨済宗 天龍寺派 の 大本山 の 寺院 。 山号 は 霊亀山 （れいぎざん）。正式には 霊亀山天龍資聖禅寺 （れいぎざんてんりゅうしせいぜんじ）と号する。 本尊 は 釈迦如来 、 開基 （創立者）は 足利尊氏 、 開山 （初代住職）は 夢窓疎石 である。 足利将軍家 と 後醍醐天皇 ゆかりの禅寺として 京都五山 の第一位とされてきた。「 古都京都の文化財 」としてユネスコ 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/天龍寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分57.47秒東経135度40分25.58秒","京都府京都市右京区嵯峨天龍寺芒ノ馬場町68","北緯35度0分57.47秒東経135度40分25.58秒﻿ / ﻿北緯35.0159639度 東経135.6737722度﻿ /35.0159639; 135.6737722座標:北緯35度0分57.47秒東経135度40分25.58秒﻿ / ﻿北緯35.0159639度 東経135.6737722度﻿ /35.0159639; 135.6737722","庭園（特別名勝・史跡）絹本著色夢窓国師像3幅、絹本著色観世音菩薩像、木造釈迦如来坐像ほか（重要文化財）世界遺産","1130005001112","霊亀山（れいぎざん）","康永4年（1345年）","臨済宗天龍寺派","釈迦如来","足利尊氏","大本山、京都五山第一位","霊亀山天龍資聖禅寺","神仏霊場巡拝の道第88番（京都第8番）","京都 嵯峨嵐山 臨済宗大本山 天龍寺 公式ホームページ","","","夢窓疎石","","",""
"大徳寺","[大徳寺大仙院（京都府京都市北区）] 大徳寺 （だいとくじ、旧字体：大德寺）は、 京都府 京都市 北区 紫野大徳寺町にある 寺院 で、 臨済宗 大徳寺派の大本山である。山号は龍宝山（りゅうほうざん）。本尊は 釈迦如来 。開基（創立者）は大燈国師 宗峰妙超 で、 正中 2年（ 1325年 ）に正式に創立されている。","https://ja.wikipedia.org/wiki/大徳寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度2分38.10秒東経135度44分45.89秒","京都府京都市北区紫野大徳寺町53","北緯35度2分38.10秒東経135度44分45.89秒﻿ / ﻿北緯35.0439167度 東経135.7460806度﻿ /35.0439167; 135.7460806","方丈、唐門、絹本墨画淡彩観音猿鶴図ほか（国宝）勅使門、山門、仏殿、法堂、木造大燈国師坐像ほか（重要文化財）方丈庭園（非公開）（史跡・特別名勝）","3130005001234","龍宝山","正中2年（1325年）","臨済宗大徳寺派","釈迦如来","宗峰妙超","大本山京都五山→林下","龍宝山大徳寺","","","","","","","",""
"鹿苑寺","[鹿苑寺（金閣寺） （京都府京都市北区）] 鹿苑寺 （ろくおんじ）は、 京都市 北区 金閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。建物の内外に 金箔 が貼られた舎利殿から、 金閣寺 （きんかくじ）として知られている  。 山号 は北山。正式には、 北山鹿苑禅寺 （ほくざんろくおんぜんじ）と号する。","https://ja.wikipedia.org/wiki/鹿苑寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度2分21.85秒東経135度43分45.71秒","京都府京都市北区金閣寺町1","北緯35度2分21.85秒東経135度43分45.71秒﻿ / ﻿北緯35.0394028度 東経135.7293639度﻿ /35.0394028; 135.7293639﻿ (鹿苑寺)座標:北緯35度2分21.85秒東経135度43分45.71秒﻿ / ﻿北緯35.0394028度 東経135.7293639度﻿ /35.0394028; 135.7293639﻿ (鹿苑寺)","絹本著色足利義満像、大書院障壁画ほか（重要文化財）庭園（特別史跡、特別名勝）世界遺産","3130005001267","北山（ほくざん）","応永4年（1397年）","臨済宗相国寺派","観音菩薩（方丈本尊）","足利義満","相国寺境外塔頭","北山鹿苑禪寺","神仏霊場巡拝の道第93番（京都第13番）","臨済宗相国寺派 金閣寺","","","夢窓疎石（勧請）","","",""
"大徳寺","[大徳寺龍源院方丈庭園 （京都府京都市北区）] 大徳寺 （だいとくじ、旧字体：大德寺）は、 京都府 京都市 北区 紫野大徳寺町にある 寺院 で、 臨済宗 大徳寺派の大本山である。山号は龍宝山（りゅうほうざん）。本尊は 釈迦如来 。開基（創立者）は大燈国師 宗峰妙超 で、 正中 2年（ 1325年 ）に正式に創立されている。","https://ja.wikipedia.org/wiki/大徳寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度2分38.10秒東経135度44分45.89秒","京都府京都市北区紫野大徳寺町53","北緯35度2分38.10秒東経135度44分45.89秒﻿ / ﻿北緯35.0439167度 東経135.7460806度﻿ /35.0439167; 135.7460806","方丈、唐門、絹本墨画淡彩観音猿鶴図ほか（国宝）勅使門、山門、仏殿、法堂、木造大燈国師坐像ほか（重要文化財）方丈庭園（非公開）（史跡・特別名勝）","3130005001234","龍宝山","正中2年（1325年）","臨済宗大徳寺派","釈迦如来","宗峰妙超","大本山京都五山→林下","龍宝山大徳寺","","","","","","","",""
"慈照寺","[慈照寺（銀閣寺） （京都府京都市左京区）] 慈照寺 （じしょうじ）は、 京都市 左京区 銀閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。観音殿（銀閣）から 銀閣寺 （ぎんかくじ）として知られている。正式には、東山慈照禅寺（とうざんじしょうぜんじ）と号する。 山号 は 東山 （とうざん）。 開基 （創立者）は 足利義政 、 開山 は 夢窓疎石 とされているが、夢窓疎石は実際には当寺創建より1世紀ほど前の人物であり、勧請開山である。","https://ja.wikipedia.org/wiki/慈照寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度1分36.75秒東経135度47分53.7秒","京都府京都市左京区銀閣寺町2","北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)座標:北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)","観音殿、東求堂（国宝）絹本著色春屋妙葩像（重要文化財）庭園（特別名勝、特別史跡）世界遺産","4130005001290","東山（とうざん）","延徳2年（1490年）","相国寺派","釈迦如来","足利義政","相国寺境外塔頭","東山慈照禪寺","神仏霊場巡拝の道第109番（京都第29番）","臨済宗相国寺派 銀閣寺","","","夢窓疎石（勧請開山）","","",""
"高台寺","[高台寺圓徳院（京都府京都市東山区）] 高台寺 、 髙臺寺 （こうだいじ）は 京都府 京都市 東山区 にある 臨済宗 建仁寺 派の 寺院 。 山号 は 鷲峰山 （じゅぶさん）、寺号は詳しくは高台寿聖禅寺と称する。 豊臣秀吉 の正室である北政所（ 高台院 ）が秀吉の冥福を祈るため建立した寺院であり、寺号は北政所の落飾（仏門に入る）後の院号である高台院にちなむ。 釈迦如来 を本尊とする 禅宗 寺院であるとともに、秀吉と北政所を祀る霊廟としての性格をもった寺院である。","https://ja.wikipedia.org/wiki/高台寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分2.74秒東経135度46分52.01秒","京都府京都市東山区下河原通八坂鳥居前下る下河原町526","北緯35度0分2.74秒東経135度46分52.01秒﻿ / ﻿北緯35.0007611度 東経135.7811139度﻿ /35.0007611; 135.7811139座標:北緯35度0分2.74秒東経135度46分52.01秒﻿ / ﻿北緯35.0007611度 東経135.7811139度﻿ /35.0007611; 135.7811139","霊屋、開山堂、絹本着色豊臣秀吉像、豊臣秀吉消息ほか（重要文化財）","2130005001243","鷲峰山","慶長11年（1606年）","臨済宗建仁寺派","釈迦如来","高台院","","鷲峰山 高台寿聖禅寺","","","","","","","",""
"本法寺 (京都市)","[本法寺巴の庭 （京都府京都市上京区）] 本法寺 （ほんぽうじ）は、 京都府 京都市 上京区 にある、 日蓮宗 の本山（由緒寺院）。山号は叡昌山。塔頭が三院ある（ 尊陽院 、教行院、教蔵院）。","https://ja.wikipedia.org/wiki/本法寺_(京都市)","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度2分6秒東経135度45分7.8秒","京都府京都市上京区小川通寺之内上る本法寺前町617","北緯35度2分6秒東経135度45分7.8秒﻿ / ﻿北緯35.03500度 東経135.752167度﻿ /35.03500; 135.752167","紙本著色仏涅槃図（重要文化財）ほか","2130005002126","叡昌山","1436年（永享8年）","日蓮宗","三宝尊","本阿弥清信","本山","","洛中法華21ヶ寺","","","","日親","","",""
"旧大乗院庭園","[旧大乗院庭園（奈良県奈良市）] 旧大乗院庭園 （きゅうだいじょういんていえん）は 奈良県 奈良市 高畑町 にある 日本庭園 。国の 名勝 。","https://ja.wikipedia.org/wiki/旧大乗院庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度40分42秒 東経135度50分3秒","","","","","","","","","","","","","","","","","","",""
"太山寺 (神戸市)","[太山寺安養院庭園（兵庫県神戸市西区）] 太山寺 （たいさんじ）は、 兵庫県 神戸市 西区 にある 天台宗 の 寺院 。 山号 は三身山（さんしんざん）。 本尊 は 薬師如来 と 十一面観音 、 開基 （創立者）は 藤原宇合 と伝える。 新西国三十三箇所 第25番札所。","https://ja.wikipedia.org/wiki/太山寺_(神戸市)","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度41分46.8秒東経135度4分2.1秒","兵庫県神戸市西区伊川谷町前開224","北緯34度41分46.8秒東経135度4分2.1秒﻿ / ﻿北緯34.696333度 東経135.067250度﻿ /34.696333; 135.067250座標:北緯34度41分46.8秒東経135度4分2.1秒﻿ / ﻿北緯34.696333度 東経135.067250度﻿ /34.696333; 135.067250","本堂（国宝）仁王門、阿弥陀如来坐像ほか（重要文化財）","7140005001031","三身山（さんしんざん）","霊亀2年（716年）","天台宗","薬師如来、十一面観音","藤原宇合、元正天皇（勅願）","","","新西国三十三箇所第25番神戸十三仏霊場第4番神戸六地蔵第1番播州薬師霊場第1番明石西国観音霊場第23番（龍象院）・第26番","三身山「太山寺」","","","定恵（勧請開山）","","",""
"粉河寺","[粉河寺庭園 （和歌山県紀の川市）] 粉河寺 （こかわでら）は、 和歌山県 紀の川市 粉河 にある粉河観音宗の 総本山 の 寺院 。 山号 は風猛山（ふうもうざん、かざらぎさん）。 西国三十三所 第3番札所。 本尊 は 千手千眼観世音菩薩 。伝承によれば創建は 宝亀 元年（ 770年 ）、大伴孔子古（おおとものくじこ）によるとされる。","https://ja.wikipedia.org/wiki/粉河寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度16分51.46秒東経135度24分21.27秒","和歌山県紀の川市粉河2787","北緯34度16分51.46秒東経135度24分21.27秒﻿ / ﻿北緯34.2809611度 東経135.4059083度﻿ /34.2809611; 135.4059083座標:北緯34度16分51.46秒東経135度24分21.27秒﻿ / ﻿北緯34.2809611度 東経135.4059083度﻿ /34.2809611; 135.4059083","粉河寺縁起絵巻（国宝）大門・中門・本堂・千手堂（重要文化財）粉河寺庭園（国の名勝）","7170005003248","風猛山","伝・宝亀元年（770年）","粉河観音宗","千手千眼観音菩薩","伝・大伴孔子古","総本山","風猛山 粉河寺","西国三十三所第3番","粉河寺｜西国第三番札所｜厄除観音｜和歌山紀の川市","","","","","",""
"竹林寺 (高知市)","[竹林寺庭園 （高知県高知市）] 竹林寺 （ちくりんじ）は、 高知県 高知市 五台山 にある 真言宗智山派 の寺院。本尊は 文殊菩薩 。","https://ja.wikipedia.org/wiki/竹林寺_(高知市)","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯33度32分47.8秒東経133度34分38.9秒","高知県高知市五台山3577番地","北緯33度32分47.8秒東経133度34分38.9秒﻿ / ﻿北緯33.546611度 東経133.577472度﻿ /33.546611; 133.577472﻿ (竹林寺)座標:北緯33度32分47.8秒東経133度34分38.9秒﻿ / ﻿北緯33.546611度 東経133.577472度﻿ /33.546611; 133.577472﻿ (竹林寺)","本堂・木造文殊菩薩及侍者像5躯、木造大威徳明王像ほか（重要文化財）客殿、梵鐘、文殊菩薩坐像懸仏（県指定文化財）庭園（名勝）","5490005001139","五台山","（伝）724年","真言宗智山派","文殊菩薩","（伝）行基","","五台山 金色院 竹林寺","四国八十八箇所第31番","五台山竹林寺 四国霊場三十一番札所","","","","","",""
"旧観自在王院庭園","[旧観自在王院庭園] 観自在王院跡 （かんじざいおういんあと）とは、 岩手県 の 平泉 に 藤原基衡 の妻  が建設した寺院跡。","https://ja.wikipedia.org/wiki/旧観自在王院庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯38度59分17秒 東経141度6分37秒","","","","","","","","","","","","","","","","","","",""
"粉河寺","[粉河寺庭園] 粉河寺 （こかわでら）は、 和歌山県 紀の川市 粉河 にある粉河観音宗の 総本山 の 寺院 。 山号 は風猛山（ふうもうざん、かざらぎさん）。 西国三十三所 第3番札所。 本尊 は 千手千眼観世音菩薩 。伝承によれば創建は 宝亀 元年（ 770年 ）、大伴孔子古（おおとものくじこ）によるとされる。","https://ja.wikipedia.org/wiki/粉河寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度16分51.46秒東経135度24分21.27秒","和歌山県紀の川市粉河2787","北緯34度16分51.46秒東経135度24分21.27秒﻿ / ﻿北緯34.2809611度 東経135.4059083度﻿ /34.2809611; 135.4059083座標:北緯34度16分51.46秒東経135度24分21.27秒﻿ / ﻿北緯34.2809611度 東経135.4059083度﻿ /34.2809611; 135.4059083","粉河寺縁起絵巻（国宝）大門・中門・本堂・千手堂（重要文化財）粉河寺庭園（国の名勝）","7170005003248","風猛山","伝・宝亀元年（770年）","粉河観音宗","千手千眼観音菩薩","伝・大伴孔子古","総本山","風猛山 粉河寺","西国三十三所第3番","粉河寺｜西国第三番札所｜厄除観音｜和歌山紀の川市","","","","","",""
"東福寺","[東福寺庭園] 東福寺 （とうふくじ）は、 京都市 東山区 にある 臨済宗東福寺派 大本山 の 寺院 。 山号 は慧日山（えにちさん）。 京都五山 の第四位の 禅 寺として中世、近世を通じて栄えた。近代に入って規模が縮小されたとはいえ、今なお25か寺の 塔頭 （山内寺院）を有する大寺院である。紅葉の名所として有名である。「東福寺の伽藍面（がらんづら）」ともいう。","https://ja.wikipedia.org/wiki/東福寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度58分37.38秒東経135度46分26.74秒","京都府京都市東山区本町十五丁目778番地","北緯34度58分37.38秒東経135度46分26.74秒﻿ / ﻿北緯34.9770500度 東経135.7740944度﻿ /34.9770500; 135.7740944﻿ (東福寺)座標:北緯34度58分37.38秒東経135度46分26.74秒﻿ / ﻿北緯34.9770500度 東経135.7740944度﻿ /34.9770500; 135.7740944﻿ (東福寺)","三門、宋版太平御覧、絹本著色無準師範像ほか（国宝）常楽庵、禅堂、偃月橋、絹本著色釈迦三尊像、木造地蔵菩薩坐像ほか（重要文化財）庭園（国の名勝）","8130005001320","慧日山","嘉禎2年（1236年）","臨済宗東福寺派","釈迦如来","九条道家","大本山京都五山四位","慧日山 東福禅寺","","臨済宗大本山 東福寺 -日本最古の最大級の伽藍-","","","円爾","","",""
"西芳寺","[西芳寺庭園] 西芳寺 （さいほうじ）は、 京都市 西京区 松尾にある 臨済宗 の 仏教 寺院 。 天龍寺 の境外 塔頭 だったが、現在は離脱して 単立 寺院。 庭園 は約120種の 苔 に覆われ、 苔寺 （こけでら）の通称で知られる  。 山号 を洪隠山と称する。 本尊 は 阿弥陀如来 、 開山 は 行基 と伝え、中興開山は 夢窓疎石 である。「 古都京都の文化財 」としてユネスコ 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/西芳寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度59分31.06秒東経135度40分59.93秒","京都府京都市西京区松尾神ヶ谷町56","北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ /34.9919611; 135.6833139座標:北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ /34.9919611; 135.6833139","湘南亭・夢窓国師画像（重要文化財）庭園（特別名勝、史跡）世界遺産","6130005001735","洪隠山","(伝)天平年間（729年-749年）中興：暦応2年（1339年）","臨済宗系単立","阿弥陀如来","(伝)行基中興：夢窓疎石","","","","","","","","","",""
"大徳寺","[大徳寺龍源院] 大徳寺 （だいとくじ、旧字体：大德寺）は、 京都府 京都市 北区 紫野大徳寺町にある 寺院 で、 臨済宗 大徳寺派の大本山である。山号は龍宝山（りゅうほうざん）。本尊は 釈迦如来 。開基（創立者）は大燈国師 宗峰妙超 で、 正中 2年（ 1325年 ）に正式に創立されている。","https://ja.wikipedia.org/wiki/大徳寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度2分38.10秒東経135度44分45.89秒","京都府京都市北区紫野大徳寺町53","北緯35度2分38.10秒東経135度44分45.89秒﻿ / ﻿北緯35.0439167度 東経135.7460806度﻿ /35.0439167; 135.7460806","方丈、唐門、絹本墨画淡彩観音猿鶴図ほか（国宝）勅使門、山門、仏殿、法堂、木造大燈国師坐像ほか（重要文化財）方丈庭園（非公開）（史跡・特別名勝）","3130005001234","龍宝山","正中2年（1325年）","臨済宗大徳寺派","釈迦如来","宗峰妙超","大本山京都五山→林下","龍宝山大徳寺","","","","","","","",""
