"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","交差物件","全長","形式","幅","用途","建設","路線名","最大支間長","材料","管理者","竣工","開通","高さ","施工者","設計者,施工者","総延長","実延長"
"大橋 (目黒川)"," 大橋 （おおはし）は、 東京都 目黒区 大橋 の 目黒川 に架かる 国道246号 （玉川通り）の 橋 である。","https://ja.wikipedia.org/wiki/大橋_(目黒川)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾久橋"," 尾久橋 （おぐばし）は、 隅田川 にかかる 橋 、 都市計画道路 放射11号 尾久橋通り （ 東京都道58号台東川口線 ）を通す。北岸は 足立区 小台 1丁目、南岸は 荒川区 東尾久 8丁目。橋名は荒川区の地名にちなむ。","https://ja.wikipedia.org/wiki/尾久橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小台橋"," 小台橋 （おだいはし）は、 隅田川 にかかる 橋 、小台通り（ 東京都道458号白山小台線 ）を通す。北岸は 足立区 小台 2丁目、南岸は 荒川区 西尾久 3丁目。","https://ja.wikipedia.org/wiki/小台橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾竹橋"," 尾竹橋 （おたけばし）は、 隅田川 にかかる 橋 で 尾竹橋通り （ 東京都道313号上野尾竹橋線 ）を通す。南岸は 荒川区 町屋 六丁目と七丁目を分かち、北岸は 足立区 千住桜木二丁目。橋名はこの場所の足立区側にあった「 尾竹の渡し 」の名に因む。尾竹の渡しは元来お茶屋の渡しと呼ばれていたが、茶屋に「おたけさん」という女性がいたことから呼ばれたとされている  。","https://ja.wikipedia.org/wiki/尾竹橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"お茶の水橋"," お茶の水橋 （おちゃのみずばし）は、 東京都 千代田区 神田駿河台 一丁目と 文京区 湯島 二丁目の間を流れる 神田川 に架かる橋である。付近の駅名から「御茶ノ水橋」との表記も見られるが、正しくは「お茶の水橋」である  。","https://ja.wikipedia.org/wiki/お茶の水橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度42分0.7秒東経139度45分48.9秒","日本","東京都千代田区・文京区","神田川","80m","ゲルバー式ラーメン橋","23.8m","","1931年","","30.48m","鋼製","","","","","","","",""
"面影橋 (東京都)"," 面影橋 （おもかげばし）は、 東京都 を流れる 神田川 に架かる 橋 である。 面影橋停留場 そばにある単純な コンクリート 橋だが、 太田道灌 の逸話にある 山吹の里 の地とされ、 江戸時代 ・ 明治時代 には名所のひとつであった。","https://ja.wikipedia.org/wiki/面影橋_(東京都)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ガス橋"," ガス橋 （ガスばし）は、 多摩川 下流にかかる 橋 。","https://ja.wikipedia.org/wiki/ガス橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度33分47.7秒東経139度40分42.6秒","日本","東京都大田区-神奈川県川崎市中原区間","多摩川","","","","道路橋","","東京都道・神奈川県道111号大田神奈川線","","","","1960年","","","","","",""
"源水橋"," 源水橋 （げんすいはし）は、 東京都 豊島区 高田 3丁目の 神田川 に架かる 橋 である。","https://ja.wikipedia.org/wiki/源水橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高速大師橋"," 高速大師橋 （こうそくだいしばし）は、 東京都 大田区 と 神奈川県 川崎市 の間の 多摩川 に架かる、 首都高速横羽線 の 橋 である。","https://ja.wikipedia.org/wiki/高速大師橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度32分35秒東経139度44分32.8秒","日本","東京都大田区、神奈川県川崎市","多摩川","桁橋部292m、ラーメン橋部含め524m","3径間連続鋼床版桁橋","16.5m","高速道路","","首都高速神奈川1号横羽線","132m","鋼材","首都高速道路株式会社","","1968年11月28日","13m（東京湾の平均的な海面から道路面までの高さ）","","","",""
"後楽橋"," 後楽橋 （こうらくばし）は、 東京都 千代田区 と 文京区 の間を流れる 神田川 に架かる橋である。右岸（南側）が千代田区 神田三崎町 二・三丁目、左岸は文京区 後楽 一丁目となる。","https://ja.wikipedia.org/wiki/後楽橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度42分9.2秒東経139度45分6.7秒","日本","東京都千代田区・文京区","神田川","21m","上路式アーチ橋","22.56m","","1927年11月2日","","","鋼","","","","","","","",""
"笹目橋"," 笹目橋 （ささめばし）は、 東京都 板橋区 高島平 と 埼玉県 戸田市 堤外の間で 荒川 および 新河岸川 に架かる、 国道17号 新大宮バイパス および 都県道68号練馬川口線 （重複）の上り線の橋と下り線の橋と、それらの間にある 首都高速 5号池袋線 の橋の、計3本の密接する橋の名称である。橋の途中、板橋区 新河岸 の区域とわずかに 和光市 下新倉 の市域に掛かる。","https://ja.wikipedia.org/wiki/笹目橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白鬚橋"," 白鬚橋 （しらひげばし）は、 隅田川 にかかる 橋 で、 東京都道306号王子千住夢の島線 （ 明治通り ）を通す。西岸は 荒川区 南千住 三丁目と 台東区 橋場 二丁目を分かち、東岸は 墨田区 堤通 一丁目と二丁目を分かつ。橋名は東岸にある「 白鬚神社 」に因む。なお、白「 髭 」（くちひげの意）と誤記されることがあるが、白「 鬚 」（あごひげの意）が正しい表記である。","https://ja.wikipedia.org/wiki/白鬚橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白金桟道橋"," 白金桟道橋 （しろかねさんどうばし）は、 東京都 品川区 上大崎 2丁目の JR東日本 山手線 および 山手貨物線 （ 埼京線 ・ 湘南新宿ライン ）を跨ぐ人道橋である。 目黒駅 の北、約200mの場所に位置する。","https://ja.wikipedia.org/wiki/白金桟道橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度38分11.3秒東経139度42分53.9秒","日本","東京都品川区上大崎2丁目","","24.4m","上路固定リブアーチ桁橋","2m","","1926年","","","鋼（古軌条）","","","","","","","",""
"新荒川大橋"," 新荒川大橋 （しんあらかわおおはし）は、 埼玉県 川口市 舟戸町 と 東京都 北区 岩淵町 との間で 荒川 および 新河岸川 に架かる 国道122号 （ 岩槻街道 ・北本通り）の密接する2本の 橋 である。下り線が1966年竣工の橋、上り線が1970年竣工の橋となっている。","https://ja.wikipedia.org/wiki/新荒川大橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新板橋"," 新板橋 （しんいたばし）は、 東京都 板橋区 板橋区 、 氷川町 および 仲宿 で 石神井川 に架かる、 国道17号 （ 中山道 ）および 首都高速5号池袋線 の 橋 である。","https://ja.wikipedia.org/wiki/新板橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新神谷橋"," 新神谷橋 （しんかみやばし）は、 東京都 足立区 の 隅田川 にかかる 都市計画道路 環状七号 東京都道318号環状七号線 （ 環七通り ）の 橋 （ 水道 道路併用橋）である。","https://ja.wikipedia.org/wiki/新神谷橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"震災復興橋梁"," 震災復興再開発事業 （しんさいふっこうさいかいはつじぎょう）は、大規模 地震 によって受けた大規模な被害により生活基盤や都市機能が失われた地域について、都市機能の回復のみならず、災害をきっかけとした都市開発も加味して、都市基盤整備を行う事業を指す。多くは被害にあった市町村 地方自治体 が主導し、 国 もしくは 都道府県 の協力を仰いで数年の事業計画を立案後、被災者や地域住民との アセスメント 等を経て策定され、実行に移される。 行政 と 民意 との一致を見るまでに極めて多様な開発の展開を経ることが多い。近年では 1995年 1月17日 に発生した 阪神・淡路大震災 ( 兵庫県南部地震 )に対する各地の復興再開発事業が行われている。","https://ja.wikipedia.org/wiki/震災復興橋梁","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新宿大ガード"," 新宿大ガード （しんじゅくおおガード）は、 東京都 新宿区 新宿 と同区 西新宿 の境界線上に存在するガード（架道橋・ 鉄道橋 ）である。正式名称は 青梅街道架道橋 （おうめかいどうかどうきょう）。単に 大ガード と呼ぶ場合もある。線路上を200メートルほど南側に進むと 角筈ガード が存在する。","https://ja.wikipedia.org/wiki/新宿大ガード","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新多摩川大橋"," 新多摩川大橋 （しんたまがわおおはし）は、 多摩川 下流の、 東京都 世田谷区 野毛 地先から 神奈川県 川崎市 高津区 北見方地先の間にかかる道路橋である。","https://ja.wikipedia.org/wiki/新多摩川大橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度36分11.4秒東経139度38分11.9秒","日本","東京都世田谷区-神奈川県川崎市高津区間","多摩川","382.9m","ボックス型プレートガーター橋","30.8 m","道路橋","","第三京浜道路","","","東日本高速道路","1965年11月","","","","","",""
"新田橋 (東京都)"," 新田橋 （しんでんばし）は、 隅田川 にかかる 橋 。北岸は 東京都 足立区 新田 （しんでん）3丁目、南岸は 北区 豊島 8丁目。橋名は足立区の地名にちなむ。","https://ja.wikipedia.org/wiki/新田橋_(東京都)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水神大橋"," 水神大橋 （すいじんおおはし）は、 隅田川 にかかる 東京都道461号吾妻橋伊興町線 支線の 橋 。西岸は 荒川区 南千住 八丁目、東岸は 墨田区 堤通二丁目。橋名は東岸にある「 隅田川神社 （水神宮）」に因む。","https://ja.wikipedia.org/wiki/水神大橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水道橋 (神田川)"," 水道橋 （すいどうばし）は、 東京都 千代田区 と 文京区 の間を流れる 神田川 に架かる橋である。右岸（南側）が千代田区 神田三崎町 一・二丁目、左岸は上流側が文京区 後楽 一丁目、下流側が同 本郷 一丁目となる。文京区には 水道 という町名があるが、本橋より神田川沿いに2kmほど上流に離れている。","https://ja.wikipedia.org/wiki/水道橋_(神田川)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"隅田川駅跳上橋"," 隅田川駅跳上橋 （すみだがわえきはねあげばし）は、 東京都 荒川区 南千住 の 隅田川駅 構内に架設された跳上橋  である。可動橋で第一人者の 山本卯太郎 が設計。別称は、 日本石油 株式会社隅田川油槽所跳上橋である。","https://ja.wikipedia.org/wiki/隅田川駅跳上橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度44分4.3秒東経139度48分19.8秒","日本","東京都荒川区南千住","隅田川","17.88 メートル","可動橋","4.55 メートル","","1926年","","","","","","","","","山本卯太郎","",""
"隅田川橋梁群"," 隅田川橋梁群 （すみだがわきょうりょうぐん）は、 一級河川 である 隅田川 に架かる 橋梁 群。 江戸幕府 により5橋が架橋され、明治期に入ると大幅に増えた。2020年現在、30以上の道路橋や鉄道橋が架かっており、このうち26橋が徒歩で渡れる  。","https://ja.wikipedia.org/wiki/隅田川橋梁群","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千住大橋"," 千住大橋 （せんじゅおおはし）は、 隅田川 の 東京都区部 にかかる 橋 で、 国道4号 （ 日光街道 ）を通す。北岸は 足立区 千住橋戸町 、南岸は 荒川区 南千住 六丁目。旧橋（下り方向）・新橋（上り方向）の二橋で構成されており、旧橋の上流側に 東京都水道局 の 工業用水道 専用橋である千住 水管橋 がほぼ並行する。","https://ja.wikipedia.org/wiki/千住大橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千住汐入大橋"," 千住汐入大橋 （せんじゅしおいりおおはし）は、 隅田川 にかかる 橋 で、 東京都道314号言問大谷田線 （補助第109号線）を通す。北岸は 足立区 千住曙町、南岸は 荒川区 南千住 八丁目。橋名はもともとこの場所にあった渡船場、「 汐入の渡し 」にちなむ。","https://ja.wikipedia.org/wiki/千住汐入大橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"太鼓橋 (目黒区)"," 太鼓橋 （たいこばし）は、 目黒川 の橋であり、 行人坂 の西端である  。所在地は、 東京都 目黒区 下目黒 1丁目7番9号と同2丁目3番23号を結ぶ地点。","https://ja.wikipedia.org/wiki/太鼓橋_(目黒区)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大師橋"," 大師橋 （だいしばし  ）は、 多摩川 にかかる 橋 で、 東京都道・神奈川県道6号東京大師横浜線 （ 産業道路 ）を通す。名称の由来である 川崎大師 は大師橋の南西約1キロメートルのところにある。同橋は 川崎市 が管理している。","https://ja.wikipedia.org/wiki/大師橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度32分40.91秒東経139度44分28.55秒","日本","東京都大田区、神奈川県川崎市","多摩川","550.0m","上り線:2径間鋼斜張橋および2径間連続鋼箱桁下り線:2径間鋼斜張橋および4径間連続鋼箱桁","31.5m（有効幅員29.5m）、6車線","","1991年（平成3年）着工 - 2006年（平成18年）11月11日竣工","","203m","鋼材","","","","約50m（主塔部分）","","","",""
"高田橋 (東京都)"," 高田橋 （たかだばし）は、 東京都 豊島区 の 神田川 に架かる、 東京都道8号千代田練馬田無線 （新目白通り）の 橋 。下流側にある 高戸橋 の間に 妙正寺川 と合流している（正式には下落合）。","https://ja.wikipedia.org/wiki/高田橋_(東京都)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高戸橋"," 高戸橋 （たかとばし）は、 神田川 に架かる 橋 。名前の由来は旧町名の 豊島区 「 高田 」と 新宿区 「 戸塚 」の両町名を合成したものと考えられている。場所は新宿区と豊島区の境にあり、 新目白通り と 明治通り （環状5号）との 交差点 （高戸橋交差点）の北側である、明治通りの 池袋 方面にある。そして、高戸橋交差点の西側、新目白通りの 谷原 方面に同じ神田川に架かる 高田橋 がある。","https://ja.wikipedia.org/wiki/高戸橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"多摩川大橋"," 多摩川大橋 （たまがわおおはし）は、 多摩川 にかかる 国道1号 第二京浜 の 橋 である。 ガス橋 と 六郷橋 の間に位置し、 東京都 大田区 多摩川 と 神奈川県 川崎市 幸区 小向仲野町の間に架けられている。","https://ja.wikipedia.org/wiki/多摩川大橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度33分22.8秒東経139度41分46.4秒","日本","東京都大田区-神奈川県川崎市幸区間","多摩川","435.76m","ゲルバープレートガーダー橋","22.8 m","道路橋","","国道1号（第二京浜国道）","","","","1949年3月","","","","","",""
"多摩川橋梁 (東海道新幹線)"," 多摩川橋梁 （たまがわきょうりょう）は、 多摩川 下流にかかる 東日本旅客鉄道 （JR東日本） 品鶴線 の 鉄道橋 である。 河口 から12.6kmのところにあり、左岸（ 東京都 側）は 大田区 田園調布南、右岸（ 神奈川県 側）は 川崎市 中原区 上丸子山王町である。本橋梁は、主に 横須賀線 ・ 湘南新宿ライン 及び 相鉄・JR直通線 の列車が通過する。 多摩川で唯一、新幹線が走っている。","https://ja.wikipedia.org/wiki/多摩川橋梁_(東海道新幹線)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"多摩川橋梁 (東急東横線)"," 多摩川橋梁 （たまがわきょうりょう）は、 多摩川 の下流に架かる 東急電鉄 の鉄道橋である。","https://ja.wikipedia.org/wiki/多摩川橋梁_(東急東横線)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度35分13.5秒東経139度40分3秒","日本","東京都大田区-神奈川県川崎市中原区間","多摩川","","","","鉄道橋","","東急東横線東急目黒線","","","東急電鉄","1999年","","","","","",""
"多摩川橋梁 (品鶴線)"," 多摩川橋梁 （たまがわきょうりょう）は、 多摩川 下流にかかる 東日本旅客鉄道 （JR東日本） 品鶴線 の 鉄道橋 である。 河口 から12.6kmのところにあり、左岸（ 東京都 側）は 大田区 田園調布南、右岸（ 神奈川県 側）は 川崎市 中原区 上丸子山王町である。本橋梁は、主に 横須賀線 ・ 湘南新宿ライン 及び 相鉄・JR直通線 の列車が通過する。 多摩川で唯一、新幹線が走っている。","https://ja.wikipedia.org/wiki/多摩川橋梁_(品鶴線)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千登世橋"," 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯35度43分8.13秒 東経139度42分48.61秒 ﻿ / ﻿ 北緯35.7189250度 東経139.7135028度 ﻿ / 35.7189250; 139.7135028","https://ja.wikipedia.org/wiki/千登世橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"角筈ガード"," 角筈ガード （つのはずガード）は、 東京都 新宿区 新宿 三丁目（旧・ 角筈 一丁目）に所在するガード（ 跨道橋 ・ 鉄道橋 ）、およびその下部にある通路。","https://ja.wikipedia.org/wiki/角筈ガード","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"角筈橋"," 角筈橋 （つのはずばし）は 東京都 新宿区 西新宿 二丁目にある 橋 （ 跨道橋 ）。下部を 首都高速4号新宿線 が通過する。","https://ja.wikipedia.org/wiki/角筈橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","日本","東京都新宿区","","","","","","","","","","","","","","","","",""
"天現寺橋"," 天現寺橋 （てんげんじばし）は、 東京都 渋谷区 広尾 五丁目の 笄川 （こうがいがわ）および 渋谷川 にかかる橋である。古川水系の本流は天現寺橋のたもとの 笄川 の合流点までは古川と呼び、それより上流を渋谷川と呼ぶ。また天現寺橋と狸橋のあいだに港区と渋谷区の境界が通っている。","https://ja.wikipedia.org/wiki/天現寺橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東名高速道路多摩川橋"," 東名高速道路多摩川橋 （とうめいこうそくどうろたまがわばし）は 多摩川 を渡る 東名高速道路 の 橋 である。 東京都 世田谷区 から 神奈川県 川崎市 多摩区 へと架かる。","https://ja.wikipedia.org/wiki/東名高速道路多摩川橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度37分6.1秒東経139度35分45.4秒","日本","東京都世田谷区-神奈川県川崎市多摩区間","多摩川","","","","道路橋","","E1東名高速道路","","","中日本高速道路","","1968年4月25日","","","","",""
"豊島橋"," 豊島橋 （としまはし）は、 隅田川 にかかる 橋 、 東京都道307号王子金町江戸川線 を通す。北岸は 東京都 足立区 宮城 2丁目、南岸は 北区 豊島 5丁目。橋名は北区の地名にちなむ。","https://ja.wikipedia.org/wiki/豊島橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"戸田橋"," 戸田橋 （とだばし）は、 東京都 板橋区 舟渡 と 埼玉県 戸田市 堤外の間で 荒川 に架かる 国道17号 （ 中山道 ）の道路 橋 である。橋長519.0メートル、幅員21.0メートル。","https://ja.wikipedia.org/wiki/戸田橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
