"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"このプロジェクトについて、できること、情報を入手する場所","[コミュニティ・ポータル]","https://ja.wikipedia.org/wiki/Wikipedia:コミュニティ・ポータル","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"最近の出来事の背景を知る","[最近の出来事]","https://ja.wikipedia.org/wiki/Portal:最近の出来事","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"最近新規に作成されたページの一覧","[新しいページ]","https://ja.wikipedia.org/wiki/特別:新しいページ","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"このウィキにおける最近の更新の一覧 [r]","[最近の更新]","https://ja.wikipedia.org/wiki/特別:最近の更新","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"無作為に選択されたページを読み込む [x]","[おまかせ表示]","https://ja.wikipedia.org/wiki/特別:おまかせ表示","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"練習用のページ","[練習用ページ]","https://ja.wikipedia.org/wiki/Wikipedia:サンドボックス","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"画像やメディアファイルをウィキメディア・コモンズにアップロード","[アップロード (ウィキメディア・コモンズ)]","https://ja.wikipedia.org//commons.wikimedia.org/wiki/Special:UploadWizard?uselang=ja","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"情報を得る場所","[ヘルプ]","https://ja.wikipedia.org/wiki/Help:目次","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"プロジェクトについての意見交換","[井戸端]","https://ja.wikipedia.org/wiki/Wikipedia:井戸端","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"プロジェクトについてのお知らせ","[お知らせ]","https://ja.wikipedia.org/wiki/Wikipedia:お知らせ","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ウィキペディア・ソフトウェアのバグ報告","[バグの報告]","https://ja.wikipedia.org/wiki/Wikipedia:バグの報告","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ご支援ください","[寄付]","https://ja.wikipedia.org//donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&amp;utm_medium=sidebar&amp;utm_campaign=C13_ja.wikipedia.org&amp;uselang=ja","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ウィキペディアやウィキメディア財団に関する連絡先","[ウィキペディアに関するお問い合わせ]","https://ja.wikipedia.org/wiki/Wikipedia:連絡先","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ここにリンクしている全ウィキページの一覧 [j]","[リンク元]","https://ja.wikipedia.org/wiki/特別:リンク元/Category:石狩川の橋","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"このページからリンクしているページの最近の更新 [k]","[関連ページの更新状況]","https://ja.wikipedia.org/wiki/特別:関連ページの更新状況/Category:石狩川の橋","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ファイルをアップロードする [u]","[ファイルをアップロード]","https://ja.wikipedia.org/wiki/Wikipedia:ファイルのアップロード","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"特別ページの一覧 [q]","[特別ページ]","https://ja.wikipedia.org/wiki/特別:特別ページ一覧","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"このページのこの版への固定リンク","[この版への固定リンク]","https://ja.wikipedia.org/w/index.php?title=Category:石狩川の橋&amp;oldid=61845965","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"このページについての詳細情報","[ページ情報]","https://ja.wikipedia.org/w/index.php?title=Category:石狩川の橋&amp;action=info","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"関連付けられたデータリポジトリ項目へのリンク [g]","[ウィキデータ項目]","https://ja.wikipedia.orghttps://www.wikidata.org/wiki/Special:EntityPage/Q18988969","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"このページの印刷用ページ [p]","[印刷用バージョン]","https://ja.wikipedia.org/w/index.php?title=Category:石狩川の橋&amp;printable=yes","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"韓国語: 분류:이시카리강의 교량","[한국어]","https://ja.wikipedia.orghttps://ko.wikipedia.org/wiki/분류:이시카리강의_교량","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"特別:個人設定","[最終更新 2016年11月8日 (火) 02:37 （日時は個人設定で未設定ならばUTC）。]","https://ja.wikipedia.org/wiki/特別:個人設定#mw-prefsection-rendering","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"m:Privacy policy/ja","[プライバシー・ポリシー]","https://ja.wikipedia.orghttps://meta.wikimedia.org/wiki/Privacy_policy/ja","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Wikipedia:ウィキペディアについて","[ウィキペディアについて]","https://ja.wikipedia.org/wiki/Wikipedia:ウィキペディアについて","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Wikipedia:免責事項","[免責事項]","https://ja.wikipedia.org/wiki/Wikipedia:免責事項","Category:石狩川の橋","https://ja.wikipedia.org/wiki/Category:石狩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
