"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"喜多方駅","喜多方駅（きたかたえき）","https://ja.wikipedia.org/wiki/喜多方駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯37度38分38.59秒東経139度52分4.68秒","■磐越西線","81.2 km（郡山起点）","東日本旅客鉄道（JR東日本）","1904年（明治37年）1月20日[1]","地上駅","2面3線[2]","福島県喜多方市字町田下無番地[1]北緯37度38分38.59秒東経139度52分4.68秒座標:北緯37度38分38.59秒 東経139度52分4.68秒","業務委託駅みどりの窓口有[1]","キタ","","765人/日（降車客含まず）-2019年-","","","","","","","",""
"北方駅 (佐賀県)","北方駅 (佐賀県)（きたがたえき・九州旅客鉄道佐世保線）","https://ja.wikipedia.org/wiki/北方駅_(佐賀県)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度12分59.15秒東経130度4分58.32秒","■佐世保線","7.4 km（肥前山口起点）","九州旅客鉄道（JR九州）","1895年（明治28年）5月5日","地上駅","2面3線","佐賀県武雄市北方町大字志久535北緯33度12分59.15秒東経130度4分58.32秒﻿ / ﻿北緯33.2164306度 東経130.0828667度﻿ /33.2164306; 130.0828667﻿ (北方駅)","無人駅","キタ","","99人/日（降車客含まず）-2016年-","202人/日-2016年-","","","","","","",""
"北方駅 (福岡県)","北方駅 (福岡県)（きたがたえき・北九州高速鉄道小倉線）","https://ja.wikipedia.org/wiki/北方駅_(福岡県)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度50分56.8秒東経130度52分41.0秒","■小倉線","4.2 km（小倉起点）","北九州高速鉄道（モノレール）","1985年（昭和60年）1月9日[1]","高架駅","2面2線","北九州市小倉南区北方三丁目北緯33度50分56.8秒東経130度52分41.0秒","","","07","","4,148人/日-2019年-","","","","","","",""
"北方真桑駅","北方真桑駅（きたがたまくわえき）","https://ja.wikipedia.org/wiki/北方真桑駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度26分22.34秒東経136度40分27.50秒","樽見線","10.8 km（大垣起点）","樽見鉄道","1956年（昭和31年）3月20日","地上駅","1面2線","岐阜県本巣市上真桑北緯35度26分22.34秒東経136度40分27.50秒﻿ / ﻿北緯35.4395389度 東経136.6743056度﻿ /35.4395389; 136.6743056座標:北緯35度26分22.34秒東経136度40分27.50秒﻿ / ﻿北緯35.4395389度 東経136.6743056度﻿ /35.4395389; 136.6743056","","","","145人/日（降車客含まず）-2016年-","","","","","","","",""
"北金岡駅","北金岡駅（きたかなおかえき）","https://ja.wikipedia.org/wiki/北金岡駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯40度8分30.8秒東経140度3分48.5秒","■奥羽本線","349.4 km（福島起点）","東日本旅客鉄道（JR東日本）","1952年（昭和27年）2月25日[1]","地上駅","2面2線[1]","秋田県山本郡三種町志戸橋字新田[1]北緯40度8分30.8秒東経140度3分48.5秒座標:北緯40度8分30.8秒 東経140度3分48.5秒","無人駅[1]（乗車駅証明書発行機 有）","カオ","","70人/日（降車客含まず）-2008年-","","","","","","","",""
"北鹿沼駅","北鹿沼駅（きたかぬまえき）","https://ja.wikipedia.org/wiki/北鹿沼駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度34分52.88秒東経139度44分14.81秒","■日光線","69.8 km（東武動物公園起点）","東武鉄道","1931年（昭和6年）12月10日","地上駅","2面2線","栃木県鹿沼市玉田町724北緯36度34分52.88秒東経139度44分14.81秒﻿ / ﻿北緯36.5813556度 東経139.7374472度﻿ /36.5813556; 139.7374472﻿ (北鹿沼駅)座標:北緯36度34分52.88秒東経139度44分14.81秒﻿ / ﻿北緯36.5813556度 東経139.7374472度﻿ /36.5813556; 139.7374472﻿ (北鹿沼駅)","簡易委託駅","キカ","TN19","","185人/日-2019年-","","","","","","",""
"北金ケ沢駅","北金ケ沢駅（きたかねがさわえき）","https://ja.wikipedia.org/wiki/北金ケ沢駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","■五能線","90.6 km（東能代起点）","東日本旅客鉄道（JR東日本）","1931年（昭和6年）10月20日[1]","地上駅","2面2線[1]","","無人駅","キカ","","58人/日（降車客含まず）-2009年-","","","","","","","",""
"北鎌倉駅","北鎌倉駅（きたかまくらえき）","https://ja.wikipedia.org/wiki/北鎌倉駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度20分14秒東経139度32分42.5秒","■横須賀線■■湘南新宿ライン（宇都宮線直通）","2.3km（大船起点）東京から品鶴線経由で51.7 km","東日本旅客鉄道（JR東日本）","1927年（昭和2年）5月20日","地上駅","2面2線","神奈川県鎌倉市山ノ内501北緯35度20分14秒東経139度32分42.5秒﻿ / ﻿北緯35.33722度 東経139.545139度﻿ /35.33722; 139.545139﻿ (北鎌倉駅)","業務委託駅[1]","キラ","JO08JS08","8,771人/日（降車客含まず）-2019年-","","","","","","","",""
"北上駅","北上駅（きたかみえき）","https://ja.wikipedia.org/wiki/北上駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯39度16分54.60秒東経141度7分20.02秒","東北新幹線","487.5 km（東京起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）**","1890年（明治23年）11月1日[2]","高架駅（新幹線）地上駅（在来線）","2面3線（新幹線）2面4線（在来線）[1]","岩手県北上市大通り一丁目1-2北緯39度16分54.60秒東経141度7分20.02秒座標:北緯39度16分54.60秒 東経141度7分20.02秒","直営駅（管理駅）みどりの窓口有[1]","カミ[注 1]","","3,787人/日（降車客含まず）-2019年-","","","","","","","",""
"北川駅","北川駅（きたがわえき）","https://ja.wikipedia.org/wiki/北川駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","■日豊本線","243.2 km（小倉起点）","九州旅客鉄道（JR九州）","1949年（昭和24年）5月1日[1]","地上駅","1面2線[1]","","無人駅[1]","キワ","","24人/日（降車客含まず）-2015年-","","","","","","","",""
"北河内駅 (徳島県)","北河内駅 (徳島県)（きたがわちえき・四国旅客鉄道牟岐線）","https://ja.wikipedia.org/wiki/北河内駅_(徳島県)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度44分35.97秒東経134度32分7.41秒","■牟岐線","51.5 km（徳島起点）","四国旅客鉄道（JR四国）","1939年（昭和14年）12月14日","地上駅","1面1線","徳島県海部郡美波町北河内字本村148北緯33度44分35.97秒東経134度32分7.41秒﻿ / ﻿北緯33.7433250度 東経134.5353917度﻿ /33.7433250; 134.5353917座標:北緯33度44分35.97秒東経134度32分7.41秒﻿ / ﻿北緯33.7433250度 東経134.5353917度﻿ /33.7433250; 134.5353917","無人駅","キチ","○M20","","62[1]人/日-2019年-","","","","","","",""
"北九州貨物ターミナル駅","北九州貨物ターミナル駅（きたきゅうしゅうかもつターミナルえき）","https://ja.wikipedia.org/wiki/北九州貨物ターミナル駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度54分1秒東経130度55分34秒","鹿児島本線*","6.9* km（門司港起点）","日本貨物鉄道（JR貨物）","2002年（平成14年）3月23日[1]**","地上駅","","北九州市門司区大里新町11-3北緯33度54分1秒東経130度55分34秒﻿ / ﻿北緯33.90028度 東経130.92611度﻿ /33.90028; 130.92611座標:北緯33度54分1秒東経130度55分34秒﻿ / ﻿北緯33.90028度 東経130.92611度﻿ /33.90028; 130.92611","貨物専用駅","キカ","","","","","","","","","",""
"北楠駅","北楠駅（きたくすえき）","https://ja.wikipedia.org/wiki/北楠駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度54分57.79秒東経136度37分30.1秒","E名古屋線","36.2 km（伊勢中川起点）","近畿日本鉄道（近鉄）","1934年（昭和9年）6月30日*","地上駅","2面2線","三重県四日市市楠町北五味塚2048北緯34度54分57.79秒東経136度37分30.1秒﻿ / ﻿北緯34.9160528度 東経136.625028度﻿ /34.9160528; 136.625028座標:北緯34度54分57.79秒東経136度37分30.1秒﻿ / ﻿北緯34.9160528度 東経136.625028度﻿ /34.9160528; 136.625028","*1920年 - 1926年の間にも存在","キクス"," E25 ","1,039人/日（降車客含まず）-2019年-","","","","","","","",""
"北熊本駅","北熊本駅（きたくまもとえき）","https://ja.wikipedia.org/wiki/北熊本駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯32度49分38.98秒東経130度43分19.13秒","■■菊池線","3.4 km（上熊本起点）","熊本電気鉄道","1949年（昭和24年）4月1日","地上駅","2面3線","熊本県熊本市北区室園町1-1北緯32度49分38.98秒東経130度43分19.13秒﻿ / ﻿北緯32.8274944度 東経130.7219806度﻿ /32.8274944; 130.7219806座標:北緯32度49分38.98秒東経130度43分19.13秒﻿ / ﻿北緯32.8274944度 東経130.7219806度﻿ /32.8274944; 130.7219806","","","KD08","524人/日（降車客含まず）-2018年-","","","","","","","",""
"北久米駅","北久米駅（きたくめえき）","https://ja.wikipedia.org/wiki/北久米駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度49分9.54秒東経132度47分54.78秒","横河原線","3.9 km（松山市起点）","伊予鉄道","1967年1月1日","地上駅","島式 1面2線","愛媛県松山市北久米町北緯33度49分9.54秒東経132度47分54.78秒﻿ / ﻿北緯33.8193167度 東経132.7985500度﻿ /33.8193167; 132.7985500﻿ (北久米駅)","","","●IY14","","1,269[1]人/日-2019年-","","","","","","",""
"北久里浜駅","北久里浜駅（きたくりはまえき）","https://ja.wikipedia.org/wiki/北久里浜駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度14分58秒東経139度41分11秒","■久里浜線","1.7km（堀ノ内起点）品川から54.0 km","京浜急行電鉄","1942年（昭和17年）12月1日","地上駅","相対式 2面2線","神奈川県横須賀市根岸町2-29-1北緯35度14分58秒東経139度41分11秒﻿ / ﻿北緯35.24944度 東経139.68639度﻿ /35.24944; 139.68639﻿ (北久里浜駅)座標:北緯35度14分58秒東経139度41分11秒﻿ / ﻿北緯35.24944度 東経139.68639度﻿ /35.24944; 139.68639﻿ (北久里浜駅)","1963年11月1日湘南井田駅から改称","","KK66","","25,627人/日-2019年-","","","","","","",""
"北府駅","北府駅（きたごえき）","https://ja.wikipedia.org/wiki/北府駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度54分36秒東経136度10分0秒","福武線","0.6 km（越前武生駅起点）","福井鉄道","1924年（大正13年）2月23日","地上駅","2面2線","福井県越前市北府二丁目北緯35度54分36秒東経136度10分0秒﻿ / ﻿北緯35.91000度 東経136.16667度﻿ /35.91000; 136.16667座標:北緯35度54分36秒東経136度10分0秒﻿ / ﻿北緯35.91000度 東経136.16667度﻿ /35.91000; 136.16667","*2010年に西武生駅から改称[1]","","○F1","","229人/日-2019年-","","","","","","",""
"北郷駅","北郷駅（きたごうえき）","https://ja.wikipedia.org/wiki/北郷駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯31度40分41.7秒東経131度22分24.79秒","日南線","32.5 km（南宮崎起点）","九州旅客鉄道（JR九州）","1941年（昭和16年）10月28日[1]","地上駅","1面2線[1]","宮崎県日南市北郷町郷之原[1]北緯31度40分41.7秒東経131度22分24.79秒﻿ / ﻿北緯31.678250度 東経131.3735528度﻿ /31.678250; 131.3735528座標:北緯31度40分41.7秒東経131度22分24.79秒﻿ / ﻿北緯31.678250度 東経131.3735528度﻿ /31.678250; 131.3735528","無人駅[1]","キタ","","71人/日（降車客含まず）-2015年-","","","","","","","",""
"北河内駅 (山口県)","北河内駅 (山口県)（きたごうちえき・錦川鉄道錦川清流線）","https://ja.wikipedia.org/wiki/北河内駅_(山口県)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度10分32.82秒東経132度3分52.96秒","錦川清流線","13.9 km（川西起点）","錦川鉄道","1960年(昭和35年)11月1日","地上駅","1面2線","山口県岩国市天尾北緯34度10分32.82秒東経132度3分52.96秒﻿ / ﻿北緯34.1757833度 東経132.0647111度﻿ /34.1757833; 132.0647111﻿ (北河内駅)座標:北緯34度10分32.82秒東経132度3分52.96秒﻿ / ﻿北緯34.1757833度 東経132.0647111度﻿ /34.1757833; 132.0647111﻿ (北河内駅)","無人駅[2]1987年（昭和62年）7月25日に、岩日線から現在の第三セクターに転換。","キコ","","","25[1]人/日-2019年-","","","","","","",""
"北神戸駅","北神戸駅（きたごうどえき）","https://ja.wikipedia.org/wiki/北神戸駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度25分47.62秒東経136度35分40.39秒","養老線","51.9 km（桑名起点）","養老鉄道","1986年（昭和61年）3月27日","地上駅","1面1線","岐阜県安八郡神戸町大字北一色字別当野575-2北緯35度25分47.62秒東経136度35分40.39秒﻿ / ﻿北緯35.4298944度 東経136.5945528度﻿ /35.4298944; 136.5945528座標:北緯35度25分47.62秒東経136度35分40.39秒﻿ / ﻿北緯35.4298944度 東経136.5945528度﻿ /35.4298944; 136.5945528","無人駅","","","","505人/日-2018年-","","","","","","",""
"北鴻巣駅","北鴻巣駅（きたこうのすえき）","https://ja.wikipedia.org/wiki/北鴻巣駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度5分8.06秒東経139度28分37.35秒","■高崎線","24.3 km（大宮起点）東京から尾久経由で54.8 km","東日本旅客鉄道（JR東日本）","1984年（昭和59年）11月3日[1]","地上駅（橋上駅）","1面2線[1]","埼玉県鴻巣市赤見台一丁目5-1北緯36度5分8.06秒東経139度28分37.35秒﻿ / ﻿北緯36.0855722度 東経139.4770417度﻿ /36.0855722; 139.4770417﻿ (北鴻巣駅)","業務委託駅","キコ","","7,224人/日（降車客含まず）-2019年-","","","","","","","",""
"北小金駅","北小金駅（きたこがねえき）","https://ja.wikipedia.org/wiki/北小金駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度50分0.3秒東経139度55分52.7秒","■常磐線（各駅停車）（正式には常磐線）","22.0km（日暮里起点）綾瀬から14.3 km","東日本旅客鉄道（JR東日本）","1911年（明治44年）5月1日","地上駅（橋上駅）","1面2線","千葉県松戸市小金8-3北緯35度50分0.3秒東経139度55分52.7秒﻿ / ﻿北緯35.833417度 東経139.931306度﻿ /35.833417; 139.931306座標:北緯35度50分0.3秒東経139度55分52.7秒﻿ / ﻿北緯35.833417度 東経139.931306度﻿ /35.833417; 139.931306","業務委託駅","コネ","JL26","24,335人/日（降車客含まず）-2019年-","","","","","","","",""
"北国分駅","北国分駅（きたこくぶんえき）","https://ja.wikipedia.org/wiki/北国分駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度45分46.5秒東経139度54分49.8秒","■北総線","4.7 km（京成高砂起点）","北総鉄道","1991年（平成3年）3月31日[1]","半地下駅","2面2線","千葉県市川市堀之内三丁目21-1北緯35度45分46.5秒東経139度54分49.8秒座標:北緯35度45分46.5秒 東経139度54分49.8秒","","","HS03","","8,161人/日-2017年-","","","","","","",""
"北越谷駅","北越谷駅（きたこしがやえき）","https://ja.wikipedia.org/wiki/北越谷駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度54分7.34秒東経139度46分47.70秒","■伊勢崎線（東武スカイツリーライン）","26.0 km（浅草起点）","東武鉄道","1899年（明治32年）8月27日","高架駅","2面4線","埼玉県越谷市大沢三丁目4-23北緯35度54分7.34秒東経139度46分47.70秒﻿ / ﻿北緯35.9020389度 東経139.7799167度﻿ /35.9020389; 139.7799167﻿ (北越谷駅)座標:北緯35度54分7.34秒東経139度46分47.70秒﻿ / ﻿北緯35.9020389度 東経139.7799167度﻿ /35.9020389; 139.7799167﻿ (北越谷駅)","","キコヤ","TS22","","53,007人/日-2019年-","","","","","","",""
"北五泉駅","北五泉駅（きたごせんえき）","https://ja.wikipedia.org/wiki/北五泉駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯37度44分47.77秒東経139度10分11.47秒","■磐越西線","167.5 km（郡山起点）","東日本旅客鉄道（JR東日本）","1952年（昭和27年）2月20日[2]","地上駅","1面1線[1]","新潟県五泉市北五泉駅前993-3北緯37度44分47.77秒東経139度10分11.47秒座標:北緯37度44分47.77秒 東経139度10分11.47秒","無人駅[3]","キセ","","694人/日（降車客含まず）-2018年-","","","","","","","",""
"北小松駅","北小松駅（きたこまつえき）","https://ja.wikipedia.org/wiki/北小松駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度15分13.49秒東経135度58分14.45秒","B湖西線","34.5km（山科起点）京都から40.0 km","西日本旅客鉄道（JR西日本）","1974年（昭和49年）7月20日","高架駅","2面2線","滋賀県大津市北小松743-4北緯35度15分13.49秒東経135度58分14.45秒﻿ / ﻿北緯35.2537472度 東経135.9706806度﻿ /35.2537472; 135.9706806座標:北緯35度15分13.49秒東経135度58分14.45秒﻿ / ﻿北緯35.2537472度 東経135.9706806度﻿ /35.2537472; 135.9706806","業務委託駅","マツ","JR-B18","361人/日（降車客含まず）-2019年-","","","","","","","",""
"北坂戸駅","北坂戸駅（きたさかどえき）","https://ja.wikipedia.org/wiki/北坂戸駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度58分19.92秒東経139度23分48.52秒","■東上本線","42.7 km（池袋起点）","東武鉄道","1973年（昭和48年）8月21日","地上駅","1面2線","埼玉県坂戸市末広町1北緯35度58分19.92秒東経139度23分48.52秒﻿ / ﻿北緯35.9722000度 東経139.3968111度﻿ /35.9722000; 139.3968111﻿ (北坂戸駅)座標:北緯35度58分19.92秒東経139度23分48.52秒﻿ / ﻿北緯35.9722000度 東経139.3968111度﻿ /35.9722000; 139.3968111﻿ (北坂戸駅)","業務委託駅","キサト","TJ27","","20,020人/日-2019年-","","","","","","",""
"北佐世保駅","北佐世保駅（きたさせぼえき）","https://ja.wikipedia.org/wiki/北佐世保駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度11分13.49秒東経129度43分13.66秒","■西九州線","90.6 km（有田起点）","松浦鉄道","1935年（昭和10年）11月9日1988年（昭和63年）4月1日（転換）","地上駅","1面2線","長崎県佐世保市俵町北緯33度11分13.49秒東経129度43分13.66秒","","キサ","","","621人/日-2018年-","","","","","","",""
"北鯖江駅","北鯖江駅（きたさばええき）","https://ja.wikipedia.org/wiki/北鯖江駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度58分17秒東経136度11分54.5秒","■北陸本線","89.4 km（米原起点）","西日本旅客鉄道（JR西日本）","1955年（昭和30年）5月1日","地上駅","1面2線","福井県鯖江市下河端町61北緯35度58分17秒東経136度11分54.5秒﻿ / ﻿北緯35.97139度 東経136.198472度﻿ /35.97139; 136.198472座標:北緯35度58分17秒東経136度11分54.5秒﻿ / ﻿北緯35.97139度 東経136.198472度﻿ /35.97139; 136.198472","無人駅（自動券売機 有）","キサ","","514人/日（降車客含まず）-2019年-","","","","","","","",""
"北34条駅","北34条駅（きたさんじゅうよじょうえき）","https://ja.wikipedia.org/wiki/北34条駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度5分59.7秒東経141度20分31.6秒","札幌市営地下鉄南北線","1.0 km（麻生起点）","札幌市交通局","1978年（昭和53年）3月16日","地下駅","2面2線","札幌市北区北33条西4丁目北緯43度5分59.7秒東経141度20分31.6秒﻿ / ﻿北緯43.099917度 東経141.342111度﻿ /43.099917; 141.342111座標:北緯43度5分59.7秒東経141度20分31.6秒﻿ / ﻿北緯43.099917度 東経141.342111度﻿ /43.099917; 141.342111","","","○N02","7,197人/日（降車客含まず）-2019年-","","","","","","","",""
"北三条駅","北三条駅（きたさんじょうえき）","https://ja.wikipedia.org/wiki/北三条駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯37度37分57.58秒東経138度57分21.40秒","■弥彦線","15.4 km（弥彦起点）","東日本旅客鉄道（JR東日本）","1925年（大正14年）4月10日[1]","高架駅[1]","1面1線[1]","新潟県三条市元町[1]北緯37度37分57.58秒東経138度57分21.40秒","業務委託駅[1]","キン","","360人/日（降車客含まず）-2019年-","","","","","","","",""
"北参道駅","北参道駅（きたさんどうえき）","https://ja.wikipedia.org/wiki/北参道駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度40分41.4秒東経139度42分20.5秒","●[1]副都心線","18.0 km（和光市起点）","東京地下鉄（東京メトロ）","2008年（平成20年）6月14日[2][3]","地下駅","1面2線","東京都渋谷区千駄ヶ谷四丁目7-11北緯35度40分41.4秒東経139度42分20.5秒﻿ / ﻿北緯35.678167度 東経139.705694度﻿ /35.678167; 139.705694座標:北緯35度40分41.4秒東経139度42分20.5秒﻿ / ﻿北緯35.678167度 東経139.705694度﻿ /35.678167; 139.705694","","キト","F14[1]","","24,879人/日-2019年-","","","","","","",""
"北品川駅","北品川駅（きたしながわえき）","https://ja.wikipedia.org/wiki/北品川駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度37分19.4秒東経139度44分21.3秒","■本線","0.7 km（品川起点）","京浜急行電鉄（京急）","1904年（明治37年）5月8日","地上駅","相対式 2面2線","東京都品川区北品川一丁目1番4号北緯35度37分19.4秒東経139度44分21.3秒﻿ / ﻿北緯35.622056度 東経139.739250度﻿ /35.622056; 139.739250座標:北緯35度37分19.4秒東経139度44分21.3秒﻿ / ﻿北緯35.622056度 東経139.739250度﻿ /35.622056; 139.739250","","","KK02","","9,538人/日-2019年-","","","","","","",""
"北信太駅","北信太駅（きたしのだえき）","https://ja.wikipedia.org/wiki/北信太駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度30分35.91秒東経135度26分28.15秒","R阪和線","18.0 km（天王寺起点）","西日本旅客鉄道（JR西日本）","1932年（昭和7年）2月2日","地上駅","2面2線","大阪府和泉市太町61-29北緯34度30分35.91秒東経135度26分28.15秒﻿ / ﻿北緯34.5099750度 東経135.4411528度﻿ /34.5099750; 135.4411528座標:北緯34度30分35.91秒東経135度26分28.15秒﻿ / ﻿北緯34.5099750度 東経135.4411528度﻿ /34.5099750; 135.4411528","直営駅みどりの券売機プラス設置駅","キシ","JR-R35","6,164人/日（降車客含まず）-2018年-","","","","","","","",""
"北13条東駅","北13条東駅（きたじゅうさんじょうひがしえき）","https://ja.wikipedia.org/wiki/北13条東駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度4分36.78秒東経141度21分17.45秒","札幌市営地下鉄東豊線","5.4 km（栄町駅起点）","札幌市交通局","1988年（昭和63年）12月2日[1]","地下駅","2面2線","北海道札幌市東区北13条東2丁目北緯43度4分36.78秒東経141度21分17.45秒﻿ / ﻿北緯43.0768833度 東経141.3548472度﻿ /43.0768833; 141.3548472﻿ (北13条東駅)座標:北緯43度4分36.78秒東経141度21分17.45秒﻿ / ﻿北緯43.0768833度 東経141.3548472度﻿ /43.0768833; 141.3548472﻿ (北13条東駅)","","","○H06","3,725人/日（降車客含まず）-2019年-","","","","","","","",""
"北12条駅","北12条駅（きたじゅうにじょうえき）","https://ja.wikipedia.org/wiki/北12条駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度4分29.4秒東経141度20分54.4秒","札幌市営地下鉄南北線","3.9 km（麻生起点）","札幌市交通局","1971年（昭和46年）12月16日","地下駅","2面2線","札幌市北区北12条西4丁目北緯43度4分29.4秒東経141度20分54.4秒﻿ / ﻿北緯43.074833度 東経141.348444度﻿ /43.074833; 141.348444座標:北緯43度4分29.4秒東経141度20分54.4秒﻿ / ﻿北緯43.074833度 東経141.348444度﻿ /43.074833; 141.348444","","","○N05","4,972人/日（降車客含まず）-2019年-","","","","","","","",""
"北18条駅","北18条駅（きたじゅうはちじょうえき）","https://ja.wikipedia.org/wiki/北18条駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度4分53.6秒東経141度20分48.3秒","札幌市営地下鉄南北線","3.1 km（麻生起点）","札幌市交通局","1971年（昭和46年）12月16日","地下駅","2面2線","札幌市北区北18条西4丁目北緯43度4分53.6秒東経141度20分48.3秒﻿ / ﻿北緯43.081556度 東経141.346750度﻿ /43.081556; 141.346750座標:北緯43度4分53.6秒東経141度20分48.3秒﻿ / ﻿北緯43.081556度 東経141.346750度﻿ /43.081556; 141.346750","","","○N04","7,337人/日（降車客含まず）-2019年-","","","","","","","",""
"北条駅","北条駅（きたじょうえき）","https://ja.wikipedia.org/wiki/北条駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯37度20分17.91秒東経138度38分12.99秒","■信越本線","44.8 km（直江津起点）","東日本旅客鉄道（JR東日本）","1897年（明治30年）11月20日[1]","地上駅","2面2線[1]","新潟県柏崎市大字本条[1]2310-1北緯37度20分17.91秒東経138度38分12.99秒﻿ / ﻿北緯37.3383083度 東経138.6369417度﻿ /37.3383083; 138.6369417座標:北緯37度20分17.91秒東経138度38分12.99秒﻿ / ﻿北緯37.3383083度 東経138.6369417度﻿ /37.3383083; 138.6369417","無人駅[1]（自動券売機有）","キシ←キセ","","133人/日（降車客含まず）-2003年-","","","","","","","",""
